game,2010,7,20101024,201010240den,rai,"Oakland Raiders",59,den,"Denver Broncos",14
player,201010240den,rai,MillZa01,rush_att,0,,,,,
player,201010240den,rai,MillZa01,rush_yds,0,,,,,
player,201010240den,rai,MillZa01,rush_td,0,,,,,
player,201010240den,rai,MillZa01,rush_long,0,,,,,
player,201010240den,rai,MillZa01,targets,6,,,,,
player,201010240den,rai,MillZa01,rec,3,,,,,
player,201010240den,rai,MillZa01,rec_yds,65,,,,,
player,201010240den,rai,MillZa01,rec_td,1,,,,,
player,201010240den,rai,MillZa01,rec_long,43,,,,,
player,201010240den,rai,MillZa01,fumbles,0,,,,,
player,201010240den,rai,MillZa01,fumbles_lost,,,,,,
player,201010240den,rai,MillNi00,pass_cmp,0,,,,,
player,201010240den,rai,MillNi00,pass_att,0,,,,,
player,201010240den,rai,MillNi00,pass_yds,0,,,,,
player,201010240den,rai,MillNi00,pass_td,0,,,,,
player,201010240den,rai,MillNi00,pass_int,0,,,,,
player,201010240den,rai,MillNi00,pass_sacked,,,,,,
player,201010240den,rai,MillNi00,pass_sacked_yds,,,,,,
player,201010240den,rai,MillNi00,pass_long,0,,,,,
player,201010240den,rai,MillNi00,pass_rating,,,,,,
player,201010240den,rai,MillNi00,rush_att,0,,,,,
player,201010240den,rai,MillNi00,rush_yds,0,,,,,
player,201010240den,rai,MillNi00,rush_td,0,,,,,
player,201010240den,rai,MillNi00,rush_long,0,,,,,
player,201010240den,rai,MillNi00,targets,1,,,,,
player,201010240den,rai,MillNi00,rec,1,,,,,
player,201010240den,rai,MillNi00,rec_yds,32,,,,,
player,201010240den,rai,MillNi00,rec_td,0,,,,,
player,201010240den,rai,MillNi00,rec_long,32,,,,,
player,201010240den,rai,MillNi00,fumbles,0,,,,,
player,201010240den,rai,MillNi00,fumbles_lost,,,,,,
player,201010240den,rai,MurpLo00,pass_cmp,0,,,,,
player,201010240den,rai,MurpLo00,pass_att,0,,,,,
player,201010240den,rai,MurpLo00,pass_yds,0,,,,,
player,201010240den,rai,MurpLo00,pass_td,0,,,,,
player,201010240den,rai,MurpLo00,pass_int,0,,,,,
player,201010240den,rai,MurpLo00,pass_sacked,,,,,,
