game,2010,11,20101121,201011210nyj,htx,"Houston Texans",27,nyj,"New York Jets",30
player,201011210nyj,htx,JoneJa03,fumbles_lost,,,,,,
player,201011210nyj,htx,DreeJo00,pass_cmp,0,,,,,
player,201011210nyj,htx,DreeJo00,pass_att,0,,,,,
player,201011210nyj,htx,DreeJo00,pass_yds,0,,,,,
player,201011210nyj,htx,DreeJo00,pass_td,0,,,,,
player,201011210nyj,htx,DreeJo00,pass_int,0,,,,,
player,201011210nyj,htx,DreeJo00,pass_sacked,,,,,,
player,201011210nyj,htx,DreeJo00,pass_sacked_yds,,,,,,
player,201011210nyj,htx,DreeJo00,pass_long,0,,,,,
player,201011210nyj,htx,DreeJo00,pass_rating,,,,,,
player,201011210nyj,htx,DreeJo00,rush_att,0,,,,,
player,201011210nyj,htx,DreeJo00,rush_yds,0,,,,,
player,201011210nyj,htx,DreeJo00,rush_td,0,,,,,
player,201011210nyj,htx,DreeJo00,rush_long,0,,,,,
player,201011210nyj,htx,DreeJo00,targets,4,,,,,
player,201011210nyj,htx,DreeJo00,rec,4,,,,,
player,201011210nyj,htx,DreeJo00,rec_yds,106,,,,,
player,201011210nyj,htx,DreeJo00,rec_td,1,,,,,
player,201011210nyj,htx,DreeJo00,rec_long,43,,,,,
player,201011210nyj,htx,DreeJo00,fumbles,0,,,,,
player,201011210nyj,htx,DreeJo00,fumbles_lost,,,,,,
player,201011210nyj,htx,AndeDa01,pass_cmp,0,,,,,
player,201011210nyj,htx,AndeDa01,pass_att,0,,,,,
player,201011210nyj,htx,AndeDa01,pass_yds,0,,,,,
player,201011210nyj,htx,AndeDa01,pass_td,0,,,,,
player,201011210nyj,htx,AndeDa01,pass_int,0,,,,,
player,201011210nyj,htx,AndeDa01,pass_sacked,,,,,,
player,201011210nyj,htx,AndeDa01,pass_sacked_yds,,,,,,
player,201011210nyj,htx,AndeDa01,pass_long,0,,,,,
player,201011210nyj,htx,AndeDa01,pass_rating,,,,,,
player,201011210nyj,htx,AndeDa01,rush_att,0,,,,,
player,201011210nyj,htx,AndeDa01,rush_yds,0,,,,,
player,201011210nyj,htx,AndeDa01,rush_td,0,,,,,
player,201011210nyj,htx,AndeDa01,rush_long,0,,,,,
player,201011210nyj,htx,AndeDa01,targets,4,,,,,
player,201011210nyj,htx,AndeDa01,rec,2,,,,,
player,201011210nyj,htx,AndeDa01,rec_yds,38,,,,,
player,201011210nyj,htx,AndeDa01,rec_td,0,,,,,
player,201011210nyj,htx,AndeDa01,rec_long,35,,,,,
player,201011210nyj,htx,AndeDa01,fumbles,0,,,,,
player,201011210nyj,htx,AndeDa01,fumbles_lost,,,,,,
player,201011210nyj,htx,JohnAn02,pass_cmp,0,,,,,
player,201011210nyj,htx,JohnAn02,pass_att,0,,,,,
player,201011210nyj,htx,JohnAn02,pass_yds,0,,,,,
player,201011210nyj,htx,JohnAn02,pass_td,0,,,,,
player,201011210nyj,htx,JohnAn02,pass_int,0,,,,,
player,201011210nyj,htx,JohnAn02,pass_sacked,,,,,,
player,201011210nyj,htx,JohnAn02,pass_sacked_yds,,,,,,
player,201011210nyj,htx,JohnAn02,pass_long,0,,,,,
player,201011210nyj,htx,JohnAn02,pass_rating,,,,,,
player,201011210nyj,htx,JohnAn02,rush_att,0,,,,,
player,201011210nyj,htx,JohnAn02,rush_yds,0,,,,,
player,201011210nyj,htx,JohnAn02,rush_td,0,,,,,
player,201011210nyj,htx,JohnAn02,rush_long,0,,,,,
player,201011210nyj,htx,JohnAn02,targets,9,,,,,
player,201011210nyj,htx,JohnAn02,rec,4,,,,,
player,201011210nyj,htx,JohnAn02,rec_yds,32,,,,,
player,201011210nyj,htx,JohnAn02,rec_td,0,,,,,
player,201011210nyj,htx,JohnAn02,rec_long,20,,,,,
player,201011210nyj,htx,JohnAn02,fumbles,0,,,,,
player,201011210nyj,htx,JohnAn02,fumbles_lost,,,,,,
player,201011210nyj,htx,WaltKe00,pass_cmp,0,,,,,
player,201011210nyj,htx,WaltKe00,pass_att,0,,,,,
player,201011210nyj,htx,WaltKe00,pass_yds,0,,,,,
player,201011210nyj,htx,WaltKe00,pass_td,0,,,,,
player,201011210nyj,htx,WaltKe00,pass_int,0,,,,,
player,201011210nyj,htx,WaltKe00,pass_sacked,,,,,,
player,201011210nyj,htx,WaltKe00,pass_sacked_yds,,,,,,
player,201011210nyj,htx,WaltKe00,pass_long,0,,,,,
player,201011210nyj,htx,WaltKe00,pass_rating,,,,,,
player,201011210nyj,htx,WaltKe00,rush_att,0,,,,,
player,201011210nyj,htx,WaltKe00,rush_yds,0,,,,,
player,201011210nyj,htx,WaltKe00,rush_td,0,,,,,
player,201011210nyj,htx,WaltKe00,rush_long,0,,,,,
player,201011210nyj,htx,WaltKe00,targets,6,,,,,
player,201011210nyj,htx,WaltKe00,rec,2,,,,,
player,201011210nyj,htx,WaltKe00,rec_yds,16,,,,,
player,201011210nyj,htx,WaltKe00,rec_td,0,,,,,
player,201011210nyj,htx,WaltKe00,rec_long,13,,,,,
player,201011210nyj,htx,WaltKe00,fumbles,0,,,,,
player,201011210nyj,htx,WaltKe00,fumbles_lost,,,,,,
player,201011210nyj,htx,CaseJa00,pass_cmp,0,,,,,
player,201011210nyj,htx,CaseJa00,pass_att,0,,,,,
player,201011210nyj,htx,CaseJa00,pass_yds,0,,,,,
player,201011210nyj,htx,CaseJa00,pass_td,0,,,,,
player,201011210nyj,htx,CaseJa00,pass_int,0,,,,,
player,201011210nyj,htx,CaseJa00,pass_sacked,,,,,,
player,201011210nyj,htx,CaseJa00,pass_sacked_yds,,,,,,
player,201011210nyj,htx,CaseJa00,pass_long,0,,,,,
player,201011210nyj,htx,CaseJa00,pass_rating,,,,,,
player,201011210nyj,htx,CaseJa00,rush_att,0,,,,,
player,201011210nyj,htx,CaseJa00,rush_yds,0,,,,,
player,201011210nyj,htx,CaseJa00,rush_td,0,,,,,
player,201011210nyj,htx,CaseJa00,rush_long,0,,,,,
player,201011210nyj,htx,CaseJa00,targets,1,,,,,
player,201011210nyj,htx,CaseJa00,rec,1,,,,,
player,201011210nyj,htx,CaseJa00,rec_yds,3,,,,,
player,201011210nyj,htx,CaseJa00,rec_td,0,,,,,
player,201011210nyj,htx,CaseJa00,rec_long,3,,,,,
player,201011210nyj,htx,CaseJa00,fumbles,0,,,,,
player,201011210nyj,htx,CaseJa00,fumbles_lost,,,,,,
player,201011210nyj,htx,WardDe01,pass_cmp,0,,,,,
player,201011210nyj,htx,WardDe01,pass_att,0,,,,,
player,201011210nyj,htx,WardDe01,pass_yds,0,,,,,
player,201011210nyj,htx,WardDe01,pass_td,0,,,,,
player,201011210nyj,htx,WardDe01,pass_int,0,,,,,
player,201011210nyj,htx,WardDe01,pass_sacked,,,,,,
player,201011210nyj,htx,WardDe01,pass_sacked_yds,,,,,,
player,201011210nyj,htx,WardDe01,pass_long,0,,,,,
player,201011210nyj,htx,WardDe01,pass_rating,,,,,,
player,201011210nyj,htx,WardDe01,rush_att,2,,,,,
player,201011210nyj,htx,WardDe01,rush_yds,0,,,,,
player,201011210nyj,htx,WardDe01,rush_td,0,,,,,
player,201011210nyj,htx,WardDe01,rush_long,1,,,,,
player,201011210nyj,htx,WardDe01,targets,0,,,,,
player,201011210nyj,htx,WardDe01,rec,0,,,,,
player,201011210nyj,htx,WardDe01,rec_yds,0,,,,,
player,201011210nyj,htx,WardDe01,rec_td,0,,,,,
player,201011210nyj,htx,WardDe01,rec_long,0,,,,,
player,201011210nyj,htx,WardDe01,fumbles,0,,,,,
player,201011210nyj,htx,WardDe01,fumbles_lost,,,,,,
player,201011210nyj,nyj,SancMa00,pass_cmp,22,,,,,
player,201011210nyj,nyj,SancMa00,pass_att,38,,,,,
player,201011210nyj,nyj,SancMa00,pass_yds,315,,,,,
player,201011210nyj,nyj,SancMa00,pass_td,3,,,,,
player,201011210nyj,nyj,SancMa00,pass_int,1,,,,,
player,201011210nyj,nyj,SancMa00,pass_sacked,3,,,,,
player,201011210nyj,nyj,SancMa00,pass_sacked_yds,17,,,,,
player,201011210nyj,nyj,SancMa00,pass_long,42,,,,,
player,201011210nyj,nyj,SancMa00,pass_rating,100.2,,,,,
player,201011210nyj,nyj,SancMa00,rush_att,2,,,,,
player,201011210nyj,nyj,SancMa00,rush_yds,22,,,,,
player,201011210nyj,nyj,SancMa00,rush_td,0,,,,,
player,201011210nyj,nyj,SancMa00,rush_long,12,,,,,
player,201011210nyj,nyj,SancMa00,targets,0,,,,,
player,201011210nyj,nyj,SancMa00,rec,0,,,,,
player,201011210nyj,nyj,SancMa00,rec_yds,0,,,,,
player,201011210nyj,nyj,SancMa00,rec_td,0,,,,,
player,201011210nyj,nyj,SancMa00,rec_long,0,,,,,
player,201011210nyj,nyj,SancMa00,fumbles,0,,,,,
player,201011210nyj,nyj,SancMa00,fumbles_lost,,,,,,
player,201011210nyj,nyj,GreeSh00,pass_cmp,0,,,,,
player,201011210nyj,nyj,GreeSh00,pass_att,0,,,,,
player,201011210nyj,nyj,GreeSh00,pass_yds,0,,,,,
player,201011210nyj,nyj,GreeSh00,pass_td,0,,,,,
player,201011210nyj,nyj,GreeSh00,pass_int,0,,,,,
player,201011210nyj,nyj,GreeSh00,pass_sacked,,,,,,
player,201011210nyj,nyj,GreeSh00,pass_sacked_yds,,,,,,
player,201011210nyj,nyj,GreeSh00,pass_long,0,,,,,
player,201011210nyj,nyj,GreeSh00,pass_rating,,,,,,
player,201011210nyj,nyj,GreeSh00,rush_att,15,,,,,
player,201011210nyj,nyj,GreeSh00,rush_yds,42,,,,,
player,201011210nyj,nyj,GreeSh00,rush_td,0,,,,,
player,201011210nyj,nyj,GreeSh00,rush_long,12,,,,,
player,201011210nyj,nyj,GreeSh00,targets,1,,,,,
player,201011210nyj,nyj,GreeSh00,rec,0,,,,,
player,201011210nyj,nyj,GreeSh00,rec_yds,0,,,,,
player,201011210nyj,nyj,GreeSh00,rec_td,0,,,,,
player,201011210nyj,nyj,GreeSh00,rec_long,0,,,,,
player,201011210nyj,nyj,GreeSh00,fumbles,1,,,,,
player,201011210nyj,nyj,GreeSh00,fumbles_lost,1,,,,,
player,201011210nyj,nyj,TomlLa00,pass_cmp,0,,,,,
player,201011210nyj,nyj,TomlLa00,pass_att,0,,,,,
player,201011210nyj,nyj,TomlLa00,pass_yds,0,,,,,
player,201011210nyj,nyj,TomlLa00,pass_td,0,,,,,
player,201011210nyj,nyj,TomlLa00,pass_int,0,,,,,
player,201011210nyj,nyj,TomlLa00,pass_sacked,,,,,,
player,201011210nyj,nyj,TomlLa00,pass_sacked_yds,,,,,,
player,201011210nyj,nyj,TomlLa00,pass_long,0,,,,,
player,201011210nyj,nyj,TomlLa00,pass_rating,,,,,,
player,201011210nyj,nyj,TomlLa00,rush_att,12,,,,,
player,201011210nyj,nyj,TomlLa00,rush_yds,36,,,,,
player,201011210nyj,nyj,TomlLa00,rush_td,0,,,,,
player,201011210nyj,nyj,TomlLa00,rush_long,8,,,,,
player,201011210nyj,nyj,TomlLa00,targets,9,,,,,
player,201011210nyj,nyj,TomlLa00,rec,7,,,,,
player,201011210nyj,nyj,TomlLa00,rec_yds,71,,,,,
player,201011210nyj,nyj,TomlLa00,rec_td,0,,,,,
player,201011210nyj,nyj,TomlLa00,rec_long,21,,,,,
player,201011210nyj,nyj,TomlLa00,fumbles,0,,,,,
player,201011210nyj,nyj,TomlLa00,fumbles_lost,,,,,,
player,201011210nyj,nyj,RichTo00,pass_cmp,0,,,,,
player,201011210nyj,nyj,RichTo00,pass_att,0,,,,,
player,201011210nyj,nyj,RichTo00,pass_yds,0,,,,,
player,201011210nyj,nyj,RichTo00,pass_td,0,,,,,
player,201011210nyj,nyj,RichTo00,pass_int,0,,,,,
player,201011210nyj,nyj,RichTo00,pass_sacked,,,,,,
player,201011210nyj,nyj,RichTo00,pass_sacked_yds,,,,,,
player,201011210nyj,nyj,RichTo00,pass_long,0,,,,,
player,201011210nyj,nyj,RichTo00,pass_rating,,,,,,
player,201011210nyj,nyj,RichTo00,rush_att,1,,,,,
player,201011210nyj,nyj,RichTo00,rush_yds,2,,,,,
player,201011210nyj,nyj,RichTo00,rush_td,0,,,,,
player,201011210nyj,nyj,RichTo00,rush_long,2,,,,,
player,201011210nyj,nyj,RichTo00,targets,0,,,,,
player,201011210nyj,nyj,RichTo00,rec,0,,,,,
player,201011210nyj,nyj,RichTo00,rec_yds,0,,,,,
player,201011210nyj,nyj,RichTo00,rec_td,0,,,,,
player,201011210nyj,nyj,RichTo00,rec_long,0,,,,,
player,201011210nyj,nyj,RichTo00,fumbles,0,,,,,
player,201011210nyj,nyj,RichTo00,fumbles_lost,,,,,,
player,201011210nyj,nyj,SmitBr01,pass_cmp,0,,,,,
player,201011210nyj,nyj,SmitBr01,pass_att,0,,,,,
player,201011210nyj,nyj,SmitBr01,pass_yds,0,,,,,
player,201011210nyj,nyj,SmitBr01,pass_td,0,,,,,
player,201011210nyj,nyj,SmitBr01,pass_int,0,,,,,
player,201011210nyj,nyj,SmitBr01,pass_sacked,0,,,,,
player,201011210nyj,nyj,SmitBr01,pass_sacked_yds,,,,,,
player,201011210nyj,nyj,SmitBr01,pass_long,0,,,,,
player,201011210nyj,nyj,SmitBr01,pass_rating,,,,,,
player,201011210nyj,nyj,SmitBr01,rush_att,1,,,,,
player,201011210nyj,nyj,SmitBr01,rush_yds,1,,,,,
player,201011210nyj,nyj,SmitBr01,rush_td,0,,,,,
player,201011210nyj,nyj,SmitBr01,rush_long,1,,,,,
player,201011210nyj,nyj,SmitBr01,targets,2,,,,,
player,201011210nyj,nyj,SmitBr01,rec,1,,,,,
player,201011210nyj,nyj,SmitBr01,rec_yds,4,,,,,
player,201011210nyj,nyj,SmitBr01,rec_td,0,,,,,
player,201011210nyj,nyj,SmitBr01,rec_long,4,,,,,
player,201011210nyj,nyj,SmitBr01,fumbles,0,,,,,
player,201011210nyj,nyj,SmitBr01,fumbles_lost,,,,,,
player,201011210nyj,nyj,HolmSa00,pass_cmp,0,,,,,
player,201011210nyj,nyj,HolmSa00,pass_att,0,,,,,
player,201011210nyj,nyj,HolmSa00,pass_yds,0,,,,,
player,201011210nyj,nyj,HolmSa00,pass_td,0,,,,,
player,201011210nyj,nyj,HolmSa00,pass_int,0,,,,,
player,201011210nyj,nyj,HolmSa00,pass_sacked,,,,,,
player,201011210nyj,nyj,HolmSa00,pass_sacked_yds,,,,,,
player,201011210nyj,nyj,HolmSa00,pass_long,0,,,,,
player,201011210nyj,nyj,HolmSa00,pass_rating,,,,,,
player,201011210nyj,nyj,HolmSa00,rush_att,0,,,,,
player,201011210nyj,nyj,HolmSa00,rush_yds,0,,,,,
player,201011210nyj,nyj,HolmSa00,rush_td,0,,,,,
player,201011210nyj,nyj,HolmSa00,rush_long,0,,,,,
player,201011210nyj,nyj,HolmSa00,targets,12,,,,,
player,201011210nyj,nyj,HolmSa00,rec,7,,,,,
player,201011210nyj,nyj,HolmSa00,rec_yds,126,,,,,
player,201011210nyj,nyj,HolmSa00,rec_td,2,,,,,
player,201011210nyj,nyj,HolmSa00,rec_long,41,,,,,
player,201011210nyj,nyj,HolmSa00,fumbles,0,,,,,
player,201011210nyj,nyj,HolmSa00,fumbles_lost,,,,,,
player,201011210nyj,nyj,EdwaBr00,pass_cmp,0,,,,,
player,201011210nyj,nyj,EdwaBr00,pass_att,0,,,,,
player,201011210nyj,nyj,EdwaBr00,pass_yds,0,,,,,
player,201011210nyj,nyj,EdwaBr00,pass_td,0,,,,,
player,201011210nyj,nyj,EdwaBr00,pass_int,0,,,,,
player,201011210nyj,nyj,EdwaBr00,pass_sacked,,,,,,
player,201011210nyj,nyj,EdwaBr00,pass_sacked_yds,,,,,,
player,201011210nyj,nyj,EdwaBr00,pass_long,0,,,,,
player,201011210nyj,nyj,EdwaBr00,pass_rating,,,,,,
player,201011210nyj,nyj,EdwaBr00,rush_att,0,,,,,
player,201011210nyj,nyj,EdwaBr00,rush_yds,0,,,,,
player,201011210nyj,nyj,EdwaBr00,rush_td,0,,,,,
player,201011210nyj,nyj,EdwaBr00,rush_long,0,,,,,
player,201011210nyj,nyj,EdwaBr00,targets,6,,,,,
player,201011210nyj,nyj,EdwaBr00,rec,4,,,,,
player,201011210nyj,nyj,EdwaBr00,rec_yds,86,,,,,
player,201011210nyj,nyj,EdwaBr00,rec_td,1,,,,,
player,201011210nyj,nyj,EdwaBr00,rec_long,42,,,,,
player,201011210nyj,nyj,EdwaBr00,fumbles,0,,,,,
player,201011210nyj,nyj,EdwaBr00,fumbles_lost,,,,,,
player,201011210nyj,nyj,TurnPa00,pass_cmp,0,,,,,
player,201011210nyj,nyj,TurnPa00,pass_att,0,,,,,
player,201011210nyj,nyj,TurnPa00,pass_yds,0,,,,,
player,201011210nyj,nyj,TurnPa00,pass_td,0,,,,,
player,201011210nyj,nyj,TurnPa00,pass_int,0,,,,,
player,201011210nyj,nyj,TurnPa00,pass_sacked,,,,,,
player,201011210nyj,nyj,TurnPa00,pass_sacked_yds,,,,,,
player,201011210nyj,nyj,TurnPa00,pass_long,0,,,,,
player,201011210nyj,nyj,TurnPa00,pass_rating,,,,,,
player,201011210nyj,nyj,TurnPa00,rush_att,0,,,,,
player,201011210nyj,nyj,TurnPa00,rush_yds,0,,,,,
player,201011210nyj,nyj,TurnPa00,rush_td,0,,,,,
player,201011210nyj,nyj,TurnPa00,rush_long,0,,,,,
player,201011210nyj,nyj,TurnPa00,targets,1,,,,,
player,201011210nyj,nyj,TurnPa00,rec,1,,,,,
player,201011210nyj,nyj,TurnPa00,rec_yds,21,,,,,
player,201011210nyj,nyj,TurnPa00,rec_td,0,,,,,
player,201011210nyj,nyj,TurnPa00,rec_long,21,,,,,
player,201011210nyj,nyj,TurnPa00,fumbles,0,,,,,
player,201011210nyj,nyj,TurnPa00,fumbles_lost,,,,,,
player,201011210nyj,nyj,KellDu00,pass_cmp,0,,,,,
player,201011210nyj,nyj,KellDu00,pass_att,0,,,,,
player,201011210nyj,nyj,KellDu00,pass_yds,0,,,,,
player,201011210nyj,nyj,KellDu00,pass_td,0,,,,,
player,201011210nyj,nyj,KellDu00,pass_int,0,,,,,
player,201011210nyj,nyj,KellDu00,pass_sacked,,,,,,
player,201011210nyj,nyj,KellDu00,pass_sacked_yds,,,,,,
player,201011210nyj,nyj,KellDu00,pass_long,0,,,,,
player,201011210nyj,nyj,KellDu00,pass_rating,,,,,,
player,201011210nyj,nyj,KellDu00,rush_att,0,,,,,
player,201011210nyj,nyj,KellDu00,rush_yds,0,,,,,
player,201011210nyj,nyj,KellDu00,rush_td,0,,,,,
player,201011210nyj,nyj,KellDu00,rush_long,0,,,,,
player,201011210nyj,nyj,KellDu00,targets,6,,,,,
player,201011210nyj,nyj,KellDu00,rec,2,,,,,
player,201011210nyj,nyj,KellDu00,rec_yds,7,,,,,
player,201011210nyj,nyj,KellDu00,rec_td,0,,,,,
player,201011210nyj,nyj,KellDu00,rec_long,4,,,,,
player,201011210nyj,nyj,KellDu00,fumbles,0,,,,,
player,201011210nyj,nyj,KellDu00,fumbles_lost,,,,,,
player,201011210nyj,htx,BentKe20,def_int,1,,,,,
player,201011210nyj,htx,BentKe20,def_int_yds,18,,,,,
player,201011210nyj,htx,BentKe20,def_int_td,0,,,,,
player,201011210nyj,htx,BentKe20,def_int_long,18,,,,,
player,201011210nyj,htx,BentKe20,pass_defended,1,,,,,
player,201011210nyj,htx,BentKe20,sacks,0.0,,,,,
player,201011210nyj,htx,BentKe20,tackles_combined,8,,,,,
player,201011210nyj,htx,BentKe20,tackles_solo,6,,,,,
player,201011210nyj,htx,BentKe20,tackles_assists,2,,,,,
player,201011210nyj,htx,BentKe20,tackles_loss,2,,,,,
player,201011210nyj,htx,BentKe20,qb_hits,1,,,,,
player,201011210nyj,htx,BentKe20,fumbles_rec,1,,,,,
player,201011210nyj,htx,BentKe20,fumbles_rec_yds,8,,,,,
player,201011210nyj,htx,BentKe20,fumbles_rec_td,0,,,,,
player,201011210nyj,htx,BentKe20,fumbles_forced,0,,,,,
player,201011210nyj,htx,WillMa22,def_int,0,,,,,
player,201011210nyj,htx,WillMa22,def_int_yds,0,,,,,
player,201011210nyj,htx,WillMa22,def_int_td,0,,,,,
player,201011210nyj,htx,WillMa22,def_int_long,0,,,,,
player,201011210nyj,htx,WillMa22,pass_defended,0,,,,,
player,201011210nyj,htx,WillMa22,sacks,2.0,,,,,
player,201011210nyj,htx,WillMa22,tackles_combined,4,,,,,
player,201011210nyj,htx,WillMa22,tackles_solo,4,,,,,
player,201011210nyj,htx,WillMa22,tackles_assists,0,,,,,
player,201011210nyj,htx,WillMa22,tackles_loss,2,,,,,
player,201011210nyj,htx,WillMa22,qb_hits,2,,,,,
player,201011210nyj,htx,WillMa22,fumbles_rec,0,,,,,
player,201011210nyj,htx,WillMa22,fumbles_rec_yds,0,,,,,
player,201011210nyj,htx,WillMa22,fumbles_rec_td,0,,,,,
player,201011210nyj,htx,WillMa22,fumbles_forced,0,,,,,
player,201011210nyj,htx,LewiDa20,def_int,0,,,,,
player,201011210nyj,htx,LewiDa20,def_int_yds,0,,,,,
player,201011210nyj,htx,LewiDa20,def_int_td,0,,,,,
player,201011210nyj,htx,LewiDa20,def_int_long,0,,,,,
player,201011210nyj,htx,LewiDa20,pass_defended,0,,,,,
player,201011210nyj,htx,LewiDa20,sacks,1.0,,,,,
player,201011210nyj,htx,LewiDa20,tackles_combined,1,,,,,
player,201011210nyj,htx,LewiDa20,tackles_solo,1,,,,,
player,201011210nyj,htx,LewiDa20,tackles_assists,0,,,,,
player,201011210nyj,htx,LewiDa20,tackles_loss,1,,,,,
player,201011210nyj,htx,LewiDa20,qb_hits,1,,,,,
player,201011210nyj,htx,LewiDa20,fumbles_rec,0,,,,,
player,201011210nyj,htx,LewiDa20,fumbles_rec_yds,0,,,,,
player,201011210nyj,htx,LewiDa20,fumbles_rec_td,0,,,,,
player,201011210nyj,htx,LewiDa20,fumbles_forced,0,,,,,
player,201011210nyj,htx,SharDa01,def_int,0,,,,,
player,201011210nyj,htx,SharDa01,def_int_yds,0,,,,,
player,201011210nyj,htx,SharDa01,def_int_td,0,,,,,
player,201011210nyj,htx,SharDa01,def_int_long,0,,,,,
player,201011210nyj,htx,SharDa01,pass_defended,0,,,,,
player,201011210nyj,htx,SharDa01,sacks,0.0,,,,,
player,201011210nyj,htx,SharDa01,tackles_combined,7,,,,,
player,201011210nyj,htx,SharDa01,tackles_solo,5,,,,,
