game,2010,9,20101107,201011070phi,clt,"Indianapolis Colts",24,phi,"Philadelphia Eagles",26
player,201011070phi,clt,GarcPi00,pass_long,0,,,,,
player,201011070phi,clt,GarcPi00,pass_rating,,,,,,
player,201011070phi,clt,GarcPi00,rush_att,0,,,,,
player,201011070phi,clt,GarcPi00,rush_yds,0,,,,,
player,201011070phi,clt,GarcPi00,rush_td,0,,,,,
player,201011070phi,clt,GarcPi00,rush_long,0,,,,,
player,201011070phi,clt,GarcPi00,targets,7,,,,,
player,201011070phi,clt,GarcPi00,rec,2,,,,,
player,201011070phi,clt,GarcPi00,rec_yds,15,,,,,
player,201011070phi,clt,GarcPi00,rec_td,0,,,,,
player,201011070phi,clt,GarcPi00,rec_long,14,,,,,
player,201011070phi,clt,GarcPi00,fumbles,0,,,,,
player,201011070phi,clt,GarcPi00,fumbles_lost,,,,,,
player,201011070phi,clt,CollAu00,pass_cmp,0,,,,,
player,201011070phi,clt,CollAu00,pass_att,0,,,,,
player,201011070phi,clt,CollAu00,pass_yds,0,,,,,
player,201011070phi,clt,CollAu00,pass_td,0,,,,,
player,201011070phi,clt,CollAu00,pass_int,0,,,,,
player,201011070phi,clt,CollAu00,pass_sacked,,,,,,
player,201011070phi,clt,CollAu00,pass_sacked_yds,,,,,,
player,201011070phi,clt,CollAu00,pass_long,0,,,,,
player,201011070phi,clt,CollAu00,pass_rating,,,,,,
player,201011070phi,clt,CollAu00,rush_att,0,,,,,
player,201011070phi,clt,CollAu00,rush_yds,0,,,,,
player,201011070phi,clt,CollAu00,rush_td,0,,,,,
player,201011070phi,clt,CollAu00,rush_long,0,,,,,
player,201011070phi,clt,CollAu00,targets,1,,,,,
player,201011070phi,clt,CollAu00,rec,1,,,,,
player,201011070phi,clt,CollAu00,rec_yds,-1,,,,,
player,201011070phi,clt,CollAu00,rec_td,0,,,,,
player,201011070phi,clt,CollAu00,rec_long,-1,,,,,
player,201011070phi,clt,CollAu00,fumbles,0,,,,,
player,201011070phi,clt,CollAu00,fumbles_lost,,,,,,
player,201011070phi,clt,RobiGi21,pass_cmp,,,,,,
player,201011070phi,clt,RobiGi21,pass_att,,,,,,
player,201011070phi,clt,RobiGi21,pass_yds,,,,,,
player,201011070phi,clt,RobiGi21,pass_td,,,,,,
player,201011070phi,clt,RobiGi21,pass_int,,,,,,
player,201011070phi,clt,RobiGi21,pass_sacked,,,,,,
player,201011070phi,clt,RobiGi21,pass_sacked_yds,,,,,,
player,201011070phi,clt,RobiGi21,pass_long,,,,,,
player,201011070phi,clt,RobiGi21,pass_rating,,,,,,
player,201011070phi,clt,RobiGi21,rush_att,,,,,,
player,201011070phi,clt,RobiGi21,rush_yds,,,,,,
player,201011070phi,clt,RobiGi21,rush_td,,,,,,
player,201011070phi,clt,RobiGi21,rush_long,,,,,,
player,201011070phi,clt,RobiGi21,targets,2,,,,,
player,201011070phi,clt,RobiGi21,rec,0,,,,,
player,201011070phi,clt,RobiGi21,rec_yds,0,,,,,
player,201011070phi,clt,RobiGi21,rec_td,0,,,,,
player,201011070phi,clt,RobiGi21,rec_long,,,,,,
player,201011070phi,clt,RobiGi21,fumbles,,,,,,
player,201011070phi,clt,RobiGi21,fumbles_lost,,,,,,
player,201011070phi,phi,VickMi00,pass_cmp,17,,,,,
player,201011070phi,phi,VickMi00,pass_att,29,,,,,
player,201011070phi,phi,VickMi00,pass_yds,218,,,,,
player,201011070phi,phi,VickMi00,pass_td,1,,,,,
player,201011070phi,phi,VickMi00,pass_int,0,,,,,
player,201011070phi,phi,VickMi00,pass_sacked,3,,,,,
player,201011070phi,phi,VickMi00,pass_sacked_yds,11,,,,,
player,201011070phi,phi,VickMi00,pass_long,58,,,,,
player,201011070phi,phi,VickMi00,pass_rating,93.7,,,,,
player,201011070phi,phi,VickMi00,rush_att,10,,,,,
player,201011070phi,phi,VickMi00,rush_yds,74,,,,,
player,201011070phi,phi,VickMi00,rush_td,1,,,,,
player,201011070phi,phi,VickMi00,rush_long,32,,,,,
player,201011070phi,phi,VickMi00,targets,0,,,,,
player,201011070phi,phi,VickMi00,rec,0,,,,,
player,201011070phi,phi,VickMi00,rec_yds,0,,,,,
player,201011070phi,phi,VickMi00,rec_td,0,,,,,
player,201011070phi,phi,VickMi00,rec_long,0,,,,,
player,201011070phi,phi,VickMi00,fumbles,0,,,,,
player,201011070phi,phi,VickMi00,fumbles_lost,,,,,,
player,201011070phi,phi,McCoLe01,pass_cmp,0,,,,,
player,201011070phi,phi,McCoLe01,pass_att,0,,,,,
player,201011070phi,phi,McCoLe01,pass_yds,0,,,,,
player,201011070phi,phi,McCoLe01,pass_td,0,,,,,
player,201011070phi,phi,McCoLe01,pass_int,0,,,,,
player,201011070phi,phi,McCoLe01,pass_sacked,,,,,,
player,201011070phi,phi,McCoLe01,pass_sacked_yds,,,,,,
player,201011070phi,phi,McCoLe01,pass_long,0,,,,,
player,201011070phi,phi,McCoLe01,pass_rating,,,,,,
player,201011070phi,phi,McCoLe01,rush_att,16,,,,,
player,201011070phi,phi,McCoLe01,rush_yds,95,,,,,
player,201011070phi,phi,McCoLe01,rush_td,0,,,,,
player,201011070phi,phi,McCoLe01,rush_long,62,,,,,
player,201011070phi,phi,McCoLe01,targets,4,,,,,
player,201011070phi,phi,McCoLe01,rec,3,,,,,
player,201011070phi,phi,McCoLe01,rec_yds,8,,,,,
player,201011070phi,phi,McCoLe01,rec_td,0,,,,,
player,201011070phi,phi,McCoLe01,rec_long,5,,,,,
player,201011070phi,phi,McCoLe01,fumbles,0,,,,,
player,201011070phi,phi,McCoLe01,fumbles_lost,,,,,,
player,201011070phi,phi,JackDe00,pass_cmp,0,,,,,
player,201011070phi,phi,JackDe00,pass_att,0,,,,,
player,201011070phi,phi,JackDe00,pass_yds,0,,,,,
player,201011070phi,phi,JackDe00,pass_td,0,,,,,
player,201011070phi,phi,JackDe00,pass_int,0,,,,,
player,201011070phi,phi,JackDe00,pass_sacked,,,,,,
player,201011070phi,phi,JackDe00,pass_sacked_yds,,,,,,
player,201011070phi,phi,JackDe00,pass_long,0,,,,,
player,201011070phi,phi,JackDe00,pass_rating,,,,,,
player,201011070phi,phi,JackDe00,rush_att,3,,,,,
player,201011070phi,phi,JackDe00,rush_yds,20,,,,,
player,201011070phi,phi,JackDe00,rush_td,0,,,,,
player,201011070phi,phi,JackDe00,rush_long,11,,,,,
player,201011070phi,phi,JackDe00,targets,8,,,,,
player,201011070phi,phi,JackDe00,rec,7,,,,,
player,201011070phi,phi,JackDe00,rec_yds,109,,,,,
player,201011070phi,phi,JackDe00,rec_td,1,,,,,
player,201011070phi,phi,JackDe00,rec_long,58,,,,,
player,201011070phi,phi,JackDe00,fumbles,0,,,,,
player,201011070phi,phi,JackDe00,fumbles_lost,,,,,,
player,201011070phi,phi,HarrJe00,pass_cmp,0,,,,,
player,201011070phi,phi,HarrJe00,pass_att,0,,,,,
player,201011070phi,phi,HarrJe00,pass_yds,0,,,,,
player,201011070phi,phi,HarrJe00,pass_td,0,,,,,
player,201011070phi,phi,HarrJe00,pass_int,0,,,,,
player,201011070phi,phi,HarrJe00,pass_sacked,,,,,,
player,201011070phi,phi,HarrJe00,pass_sacked_yds,,,,,,
player,201011070phi,phi,HarrJe00,pass_long,0,,,,,
player,201011070phi,phi,HarrJe00,pass_rating,,,,,,
player,201011070phi,phi,HarrJe00,rush_att,2,,,,,
player,201011070phi,phi,HarrJe00,rush_yds,6,,,,,
player,201011070phi,phi,HarrJe00,rush_td,0,,,,,
player,201011070phi,phi,HarrJe00,rush_long,5,,,,,
player,201011070phi,phi,HarrJe00,targets,0,,,,,
player,201011070phi,phi,HarrJe00,rec,0,,,,,
player,201011070phi,phi,HarrJe00,rec_yds,0,,,,,
player,201011070phi,phi,HarrJe00,rec_td,0,,,,,
player,201011070phi,phi,HarrJe00,rec_long,0,,,,,
player,201011070phi,phi,HarrJe00,fumbles,0,,,,,
player,201011070phi,phi,HarrJe00,fumbles_lost,,,,,,
player,201011070phi,phi,MaclJe00,pass_cmp,0,,,,,
player,201011070phi,phi,MaclJe00,pass_att,0,,,,,
player,201011070phi,phi,MaclJe00,pass_yds,0,,,,,
player,201011070phi,phi,MaclJe00,pass_td,0,,,,,
player,201011070phi,phi,MaclJe00,pass_int,0,,,,,
player,201011070phi,phi,MaclJe00,pass_sacked,,,,,,
player,201011070phi,phi,MaclJe00,pass_sacked_yds,,,,,,
player,201011070phi,phi,MaclJe00,pass_long,0,,,,,
player,201011070phi,phi,MaclJe00,pass_rating,,,,,,
player,201011070phi,phi,MaclJe00,rush_att,0,,,,,
player,201011070phi,phi,MaclJe00,rush_yds,0,,,,,
player,201011070phi,phi,MaclJe00,rush_td,0,,,,,
player,201011070phi,phi,MaclJe00,rush_long,0,,,,,
player,201011070phi,phi,MaclJe00,targets,8,,,,,
player,201011070phi,phi,MaclJe00,rec,4,,,,,
player,201011070phi,phi,MaclJe00,rec_yds,48,,,,,
player,201011070phi,phi,MaclJe00,rec_td,0,,,,,
player,201011070phi,phi,MaclJe00,rec_long,22,,,,,
player,201011070phi,phi,MaclJe00,fumbles,0,,,,,
player,201011070phi,phi,MaclJe00,fumbles_lost,,,,,,
player,201011070phi,phi,AvanJa00,pass_cmp,0,,,,,
player,201011070phi,phi,AvanJa00,pass_att,0,,,,,
player,201011070phi,phi,AvanJa00,pass_yds,0,,,,,
player,201011070phi,phi,AvanJa00,pass_td,0,,,,,
player,201011070phi,phi,AvanJa00,pass_int,0,,,,,
player,201011070phi,phi,AvanJa00,pass_sacked,,,,,,
player,201011070phi,phi,AvanJa00,pass_sacked_yds,,,,,,
player,201011070phi,phi,AvanJa00,pass_long,0,,,,,
player,201011070phi,phi,AvanJa00,pass_rating,,,,,,
player,201011070phi,phi,AvanJa00,rush_att,0,,,,,
player,201011070phi,phi,AvanJa00,rush_yds,0,,,,,
player,201011070phi,phi,AvanJa00,rush_td,0,,,,,
player,201011070phi,phi,AvanJa00,rush_long,0,,,,,
player,201011070phi,phi,AvanJa00,targets,5,,,,,
player,201011070phi,phi,AvanJa00,rec,2,,,,,
player,201011070phi,phi,AvanJa00,rec_yds,41,,,,,
player,201011070phi,phi,AvanJa00,rec_td,0,,,,,
player,201011070phi,phi,AvanJa00,rec_long,34,,,,,
player,201011070phi,phi,AvanJa00,fumbles,0,,,,,
player,201011070phi,phi,AvanJa00,fumbles_lost,,,,,,
player,201011070phi,phi,SchmOw00,pass_cmp,0,,,,,
player,201011070phi,phi,SchmOw00,pass_att,0,,,,,
player,201011070phi,phi,SchmOw00,pass_yds,0,,,,,
player,201011070phi,phi,SchmOw00,pass_td,0,,,,,
player,201011070phi,phi,SchmOw00,pass_int,0,,,,,
player,201011070phi,phi,SchmOw00,pass_sacked,,,,,,
player,201011070phi,phi,SchmOw00,pass_sacked_yds,,,,,,
player,201011070phi,phi,SchmOw00,pass_long,0,,,,,
player,201011070phi,phi,SchmOw00,pass_rating,,,,,,
player,201011070phi,phi,SchmOw00,rush_att,0,,,,,
player,201011070phi,phi,SchmOw00,rush_yds,0,,,,,
player,201011070phi,phi,SchmOw00,rush_td,0,,,,,
player,201011070phi,phi,SchmOw00,rush_long,0,,,,,
player,201011070phi,phi,SchmOw00,targets,1,,,,,
player,201011070phi,phi,SchmOw00,rec,1,,,,,
player,201011070phi,phi,SchmOw00,rec_yds,12,,,,,
player,201011070phi,phi,SchmOw00,rec_td,0,,,,,
player,201011070phi,phi,SchmOw00,rec_long,12,,,,,
player,201011070phi,phi,SchmOw00,fumbles,0,,,,,
player,201011070phi,phi,SchmOw00,fumbles_lost,,,,,,
player,201011070phi,phi,CeleBr00,pass_cmp,,,,,,
player,201011070phi,phi,CeleBr00,pass_att,,,,,,
player,201011070phi,phi,CeleBr00,pass_yds,,,,,,
player,201011070phi,phi,CeleBr00,pass_td,,,,,,
player,201011070phi,phi,CeleBr00,pass_int,,,,,,
player,201011070phi,phi,CeleBr00,pass_sacked,,,,,,
player,201011070phi,phi,CeleBr00,pass_sacked_yds,,,,,,
player,201011070phi,phi,CeleBr00,pass_long,,,,,,
player,201011070phi,phi,CeleBr00,pass_rating,,,,,,
player,201011070phi,phi,CeleBr00,rush_att,,,,,,
player,201011070phi,phi,CeleBr00,rush_yds,,,,,,
player,201011070phi,phi,CeleBr00,rush_td,,,,,,
player,201011070phi,phi,CeleBr00,rush_long,,,,,,
player,201011070phi,phi,CeleBr00,targets,1,,,,,
player,201011070phi,phi,CeleBr00,rec,0,,,,,
player,201011070phi,phi,CeleBr00,rec_yds,0,,,,,
player,201011070phi,phi,CeleBr00,rec_td,0,,,,,
player,201011070phi,phi,CeleBr00,rec_long,,,,,,
player,201011070phi,phi,CeleBr00,fumbles,,,,,,
player,201011070phi,phi,CeleBr00,fumbles_lost,,,,,,
player,201011070phi,clt,HaglTy20,def_int,0,,,,,
player,201011070phi,clt,HaglTy20,def_int_yds,0,,,,,
player,201011070phi,clt,HaglTy20,def_int_td,0,,,,,
player,201011070phi,clt,HaglTy20,def_int_long,0,,,,,
player,201011070phi,clt,HaglTy20,pass_defended,0,,,,,
player,201011070phi,clt,HaglTy20,sacks,1.0,,,,,
player,201011070phi,clt,HaglTy20,tackles_combined,4,,,,,
player,201011070phi,clt,HaglTy20,tackles_solo,2,,,,,
player,201011070phi,clt,HaglTy20,tackles_assists,2,,,,,
player,201011070phi,clt,HaglTy20,tackles_loss,1,,,,,
player,201011070phi,clt,HaglTy20,qb_hits,1,,,,,
player,201011070phi,clt,HaglTy20,fumbles_rec,0,,,,,
player,201011070phi,clt,HaglTy20,fumbles_rec_yds,0,,,,,
player,201011070phi,clt,HaglTy20,fumbles_rec_td,0,,,,,
player,201011070phi,clt,HaglTy20,fumbles_forced,0,,,,,
player,201011070phi,clt,MathRo20,def_int,0,,,,,
player,201011070phi,clt,MathRo20,def_int_yds,0,,,,,
player,201011070phi,clt,MathRo20,def_int_td,0,,,,,
player,201011070phi,clt,MathRo20,def_int_long,0,,,,,
player,201011070phi,clt,MathRo20,pass_defended,0,,,,,
player,201011070phi,clt,MathRo20,sacks,1.0,,,,,
player,201011070phi,clt,MathRo20,tackles_combined,3,,,,,
player,201011070phi,clt,MathRo20,tackles_solo,3,,,,,
player,201011070phi,clt,MathRo20,tackles_assists,0,,,,,
player,201011070phi,clt,MathRo20,tackles_loss,0,,,,,
player,201011070phi,clt,MathRo20,qb_hits,1,,,,,
player,201011070phi,clt,MathRo20,fumbles_rec,0,,,,,
player,201011070phi,clt,MathRo20,fumbles_rec_yds,0,,,,,
player,201011070phi,clt,MathRo20,fumbles_rec_td,0,,,,,
player,201011070phi,clt,MathRo20,fumbles_forced,0,,,,,
player,201011070phi,clt,FostEr20,def_int,0,,,,,
player,201011070phi,clt,FostEr20,def_int_yds,0,,,,,
player,201011070phi,clt,FostEr20,def_int_td,0,,,,,
player,201011070phi,clt,FostEr20,def_int_long,0,,,,,
player,201011070phi,clt,FostEr20,pass_defended,1,,,,,
player,201011070phi,clt,FostEr20,sacks,1.0,,,,,
player,201011070phi,clt,FostEr20,tackles_combined,1,,,,,
player,201011070phi,clt,FostEr20,tackles_solo,1,,,,,
player,201011070phi,clt,FostEr20,tackles_assists,0,,,,,
player,201011070phi,clt,FostEr20,tackles_loss,1,,,,,
player,201011070phi,clt,FostEr20,qb_hits,1,,,,,
player,201011070phi,clt,FostEr20,fumbles_rec,0,,,,,
player,201011070phi,clt,FostEr20,fumbles_rec_yds,0,,,,,
player,201011070phi,clt,FostEr20,fumbles_rec_td,0,,,,,
player,201011070phi,clt,FostEr20,fumbles_forced,0,,,,,
player,201011070phi,clt,FranAa20,def_int,0,,,,,
player,201011070phi,clt,FranAa20,def_int_yds,0,,,,,
player,201011070phi,clt,FranAa20,def_int_td,0,,,,,
player,201011070phi,clt,FranAa20,def_int_long,0,,,,,
player,201011070phi,clt,FranAa20,pass_defended,0,,,,,
player,201011070phi,clt,FranAa20,sacks,0.0,,,,,
player,201011070phi,clt,FranAa20,tackles_combined,8,,,,,
player,201011070phi,clt,FranAa20,tackles_solo,7,,,,,
player,201011070phi,clt,FranAa20,tackles_assists,1,,,,,
player,201011070phi,clt,FranAa20,tackles_loss,1,,,,,
player,201011070phi,clt,FranAa20,qb_hits,0,,,,,
player,201011070phi,clt,FranAa20,fumbles_rec,0,,,,,
player,201011070phi,clt,FranAa20,fumbles_rec_yds,0,,,,,
player,201011070phi,clt,FranAa20,fumbles_rec_td,0,,,,,
player,201011070phi,clt,FranAa20,fumbles_forced,0,,,,,
player,201011070phi,clt,AngePa99,def_int,0,,,,,
player,201011070phi,clt,AngePa99,def_int_yds,0,,,,,
player,201011070phi,clt,AngePa99,def_int_td,0,,,,,
player,201011070phi,clt,AngePa99,def_int_long,0,,,,,
player,201011070phi,clt,AngePa99,pass_defended,0,,,,,
player,201011070phi,clt,AngePa99,sacks,0.0,,,,,
player,201011070phi,clt,AngePa99,tackles_combined,7,,,,,
player,201011070phi,clt,AngePa99,tackles_solo,7,,,,,
player,201011070phi,clt,AngePa99,tackles_assists,0,,,,,
player,201011070phi,clt,AngePa99,tackles_loss,0,,,,,
player,201011070phi,clt,AngePa99,qb_hits,0,,,,,
player,201011070phi,clt,AngePa99,fumbles_rec,0,,,,,
player,201011070phi,clt,AngePa99,fumbles_rec_yds,0,,,,,
player,201011070phi,clt,AngePa99,fumbles_rec_td,0,,,,,
player,201011070phi,clt,AngePa99,fumbles_forced,0,,,,,
player,201011070phi,clt,BethAn20,def_int,0,,,,,
player,201011070phi,clt,BethAn20,def_int_yds,0,,,,,
player,201011070phi,clt,BethAn20,def_int_td,0,,,,,
player,201011070phi,clt,BethAn20,def_int_long,0,,,,,
player,201011070phi,clt,BethAn20,pass_defended,0,,,,,
player,201011070phi,clt,BethAn20,sacks,0.0,,,,,
player,201011070phi,clt,BethAn20,tackles_combined,7,,,,,
player,201011070phi,clt,BethAn20,tackles_solo,5,,,,,
player,201011070phi,clt,BethAn20,tackles_assists,2,,,,,
player,201011070phi,clt,BethAn20,tackles_loss,1,,,,,
player,201011070phi,clt,BethAn20,qb_hits,0,,,,,
player,201011070phi,clt,BethAn20,fumbles_rec,0,,,,,
player,201011070phi,clt,BethAn20,fumbles_rec_yds,0,,,,,
player,201011070phi,clt,BethAn20,fumbles_rec_td,0,,,,,
player,201011070phi,clt,BethAn20,fumbles_forced,0,,,,,
player,201011070phi,clt,LaceJa99,def_int,0,,,,,
player,201011070phi,clt,LaceJa99,def_int_yds,0,,,,,
player,201011070phi,clt,LaceJa99,def_int_td,0,,,,,
player,201011070phi,clt,LaceJa99,def_int_long,0,,,,,
player,201011070phi,clt,LaceJa99,pass_defended,0,,,,,
