game,2010,10,20101114,201011140pit,nwe,"New England Patriots",39,pit,"Pittsburgh Steelers",26
player,201011140pit,nwe,GronRo00,rec_long,25,,,,,
player,201011140pit,nwe,GronRo00,fumbles,0,,,,,
player,201011140pit,nwe,GronRo00,fumbles_lost,,,,,,
player,201011140pit,nwe,BranDe00,pass_cmp,0,,,,,
player,201011140pit,nwe,BranDe00,pass_att,0,,,,,
player,201011140pit,nwe,BranDe00,pass_yds,0,,,,,
player,201011140pit,nwe,BranDe00,pass_td,0,,,,,
player,201011140pit,nwe,BranDe00,pass_int,0,,,,,
player,201011140pit,nwe,BranDe00,pass_sacked,,,,,,
player,201011140pit,nwe,BranDe00,pass_sacked_yds,,,,,,
player,201011140pit,nwe,BranDe00,pass_long,0,,,,,
player,201011140pit,nwe,BranDe00,pass_rating,,,,,,
player,201011140pit,nwe,BranDe00,rush_att,0,,,,,
player,201011140pit,nwe,BranDe00,rush_yds,0,,,,,
player,201011140pit,nwe,BranDe00,rush_td,0,,,,,
player,201011140pit,nwe,BranDe00,rush_long,0,,,,,
player,201011140pit,nwe,BranDe00,targets,8,,,,,
player,201011140pit,nwe,BranDe00,rec,7,,,,,
player,201011140pit,nwe,BranDe00,rec_yds,71,,,,,
player,201011140pit,nwe,BranDe00,rec_td,0,,,,,
player,201011140pit,nwe,BranDe00,rec_long,17,,,,,
player,201011140pit,nwe,BranDe00,fumbles,0,,,,,
player,201011140pit,nwe,BranDe00,fumbles_lost,,,,,,
player,201011140pit,nwe,TateBr00,pass_cmp,0,,,,,
player,201011140pit,nwe,TateBr00,pass_att,0,,,,,
player,201011140pit,nwe,TateBr00,pass_yds,0,,,,,
player,201011140pit,nwe,TateBr00,pass_td,0,,,,,
player,201011140pit,nwe,TateBr00,pass_int,0,,,,,
player,201011140pit,nwe,TateBr00,pass_sacked,,,,,,
player,201011140pit,nwe,TateBr00,pass_sacked_yds,,,,,,
player,201011140pit,nwe,TateBr00,pass_long,0,,,,,
player,201011140pit,nwe,TateBr00,pass_rating,,,,,,
player,201011140pit,nwe,TateBr00,rush_att,0,,,,,
player,201011140pit,nwe,TateBr00,rush_yds,0,,,,,
player,201011140pit,nwe,TateBr00,rush_td,0,,,,,
player,201011140pit,nwe,TateBr00,rush_long,0,,,,,
player,201011140pit,nwe,TateBr00,targets,4,,,,,
player,201011140pit,nwe,TateBr00,rec,2,,,,,
player,201011140pit,nwe,TateBr00,rec_yds,50,,,,,
player,201011140pit,nwe,TateBr00,rec_td,0,,,,,
player,201011140pit,nwe,TateBr00,rec_long,45,,,,,
player,201011140pit,nwe,TateBr00,fumbles,0,,,,,
player,201011140pit,nwe,TateBr00,fumbles_lost,,,,,,
player,201011140pit,nwe,CrumAl00,pass_cmp,0,,,,,
player,201011140pit,nwe,CrumAl00,pass_att,0,,,,,
player,201011140pit,nwe,CrumAl00,pass_yds,0,,,,,
player,201011140pit,nwe,CrumAl00,pass_td,0,,,,,
player,201011140pit,nwe,CrumAl00,pass_int,0,,,,,
player,201011140pit,nwe,CrumAl00,pass_sacked,,,,,,
player,201011140pit,nwe,CrumAl00,pass_sacked_yds,,,,,,
player,201011140pit,nwe,CrumAl00,pass_long,0,,,,,
player,201011140pit,nwe,CrumAl00,pass_rating,,,,,,
player,201011140pit,nwe,CrumAl00,rush_att,0,,,,,
player,201011140pit,nwe,CrumAl00,rush_yds,0,,,,,
player,201011140pit,nwe,CrumAl00,rush_td,0,,,,,
player,201011140pit,nwe,CrumAl00,rush_long,0,,,,,
player,201011140pit,nwe,CrumAl00,targets,1,,,,,
player,201011140pit,nwe,CrumAl00,rec,1,,,,,
player,201011140pit,nwe,CrumAl00,rec_yds,4,,,,,
player,201011140pit,nwe,CrumAl00,rec_td,0,,,,,
player,201011140pit,nwe,CrumAl00,rec_long,4,,,,,
player,201011140pit,nwe,CrumAl00,fumbles,0,,,,,
player,201011140pit,nwe,CrumAl00,fumbles_lost,,,,,,
player,201011140pit,nwe,HernAa00,pass_cmp,0,,,,,
player,201011140pit,nwe,HernAa00,pass_att,0,,,,,
player,201011140pit,nwe,HernAa00,pass_yds,0,,,,,
player,201011140pit,nwe,HernAa00,pass_td,0,,,,,
player,201011140pit,nwe,HernAa00,pass_int,0,,,,,
player,201011140pit,nwe,HernAa00,pass_sacked,,,,,,
player,201011140pit,nwe,HernAa00,pass_sacked_yds,,,,,,
player,201011140pit,nwe,HernAa00,pass_long,0,,,,,
player,201011140pit,nwe,HernAa00,pass_rating,,,,,,
player,201011140pit,nwe,HernAa00,rush_att,0,,,,,
player,201011140pit,nwe,HernAa00,rush_yds,0,,,,,
player,201011140pit,nwe,HernAa00,rush_td,0,,,,,
player,201011140pit,nwe,HernAa00,rush_long,0,,,,,
player,201011140pit,nwe,HernAa00,targets,2,,,,,
player,201011140pit,nwe,HernAa00,rec,0,,,,,
player,201011140pit,nwe,HernAa00,rec_yds,0,,,,,
player,201011140pit,nwe,HernAa00,rec_td,0,,,,,
player,201011140pit,nwe,HernAa00,rec_long,0,,,,,
player,201011140pit,nwe,HernAa00,fumbles,0,,,,,
player,201011140pit,nwe,HernAa00,fumbles_lost,,,,,,
player,201011140pit,pit,RoetBe00,pass_cmp,30,,,,,
player,201011140pit,pit,RoetBe00,pass_att,49,,,,,
player,201011140pit,pit,RoetBe00,pass_yds,387,,,,,
player,201011140pit,pit,RoetBe00,pass_td,3,,,,,
player,201011140pit,pit,RoetBe00,pass_int,1,,,,,
player,201011140pit,pit,RoetBe00,pass_sacked,5,,,,,
player,201011140pit,pit,RoetBe00,pass_sacked_yds,38,,,,,
player,201011140pit,pit,RoetBe00,pass_long,33,,,,,
player,201011140pit,pit,RoetBe00,pass_rating,97.9,,,,,
player,201011140pit,pit,RoetBe00,rush_att,1,,,,,
player,201011140pit,pit,RoetBe00,rush_yds,12,,,,,
player,201011140pit,pit,RoetBe00,rush_td,0,,,,,
player,201011140pit,pit,RoetBe00,rush_long,12,,,,,
player,201011140pit,pit,RoetBe00,targets,0,,,,,
player,201011140pit,pit,RoetBe00,rec,0,,,,,
player,201011140pit,pit,RoetBe00,rec_yds,0,,,,,
player,201011140pit,pit,RoetBe00,rec_td,0,,,,,
player,201011140pit,pit,RoetBe00,rec_long,0,,,,,
player,201011140pit,pit,RoetBe00,fumbles,0,,,,,
player,201011140pit,pit,RoetBe00,fumbles_lost,,,,,,
player,201011140pit,pit,MendRa00,pass_cmp,0,,,,,
player,201011140pit,pit,MendRa00,pass_att,0,,,,,
player,201011140pit,pit,MendRa00,pass_yds,0,,,,,
player,201011140pit,pit,MendRa00,pass_td,0,,,,,
player,201011140pit,pit,MendRa00,pass_int,0,,,,,
player,201011140pit,pit,MendRa00,pass_sacked,,,,,,
player,201011140pit,pit,MendRa00,pass_sacked_yds,,,,,,
player,201011140pit,pit,MendRa00,pass_long,0,,,,,
player,201011140pit,pit,MendRa00,pass_rating,,,,,,
player,201011140pit,pit,MendRa00,rush_att,11,,,,,
player,201011140pit,pit,MendRa00,rush_yds,50,,,,,
player,201011140pit,pit,MendRa00,rush_td,0,,,,,
player,201011140pit,pit,MendRa00,rush_long,34,,,,,
player,201011140pit,pit,MendRa00,targets,3,,,,,
player,201011140pit,pit,MendRa00,rec,2,,,,,
player,201011140pit,pit,MendRa00,rec_yds,5,,,,,
player,201011140pit,pit,MendRa00,rec_td,0,,,,,
player,201011140pit,pit,MendRa00,rec_long,3,,,,,
player,201011140pit,pit,MendRa00,fumbles,0,,,,,
player,201011140pit,pit,MendRa00,fumbles_lost,,,,,,
player,201011140pit,pit,MoorMe00,pass_cmp,0,,,,,
player,201011140pit,pit,MoorMe00,pass_att,0,,,,,
player,201011140pit,pit,MoorMe00,pass_yds,0,,,,,
player,201011140pit,pit,MoorMe00,pass_td,0,,,,,
player,201011140pit,pit,MoorMe00,pass_int,0,,,,,
player,201011140pit,pit,MoorMe00,pass_sacked,,,,,,
player,201011140pit,pit,MoorMe00,pass_sacked_yds,,,,,,
player,201011140pit,pit,MoorMe00,pass_long,0,,,,,
player,201011140pit,pit,MoorMe00,pass_rating,,,,,,
player,201011140pit,pit,MoorMe00,rush_att,4,,,,,
player,201011140pit,pit,MoorMe00,rush_yds,14,,,,,
player,201011140pit,pit,MoorMe00,rush_td,0,,,,,
player,201011140pit,pit,MoorMe00,rush_long,5,,,,,
player,201011140pit,pit,MoorMe00,targets,5,,,,,
player,201011140pit,pit,MoorMe00,rec,5,,,,,
player,201011140pit,pit,MoorMe00,rec_yds,79,,,,,
player,201011140pit,pit,MoorMe00,rec_td,0,,,,,
player,201011140pit,pit,MoorMe00,rec_long,29,,,,,
player,201011140pit,pit,MoorMe00,fumbles,0,,,,,
player,201011140pit,pit,MoorMe00,fumbles_lost,,,,,,
player,201011140pit,pit,WallMi00,pass_cmp,0,,,,,
player,201011140pit,pit,WallMi00,pass_att,0,,,,,
player,201011140pit,pit,WallMi00,pass_yds,0,,,,,
player,201011140pit,pit,WallMi00,pass_td,0,,,,,
player,201011140pit,pit,WallMi00,pass_int,0,,,,,
player,201011140pit,pit,WallMi00,pass_sacked,,,,,,
player,201011140pit,pit,WallMi00,pass_sacked_yds,,,,,,
player,201011140pit,pit,WallMi00,pass_long,0,,,,,
player,201011140pit,pit,WallMi00,pass_rating,,,,,,
player,201011140pit,pit,WallMi00,rush_att,0,,,,,
player,201011140pit,pit,WallMi00,rush_yds,0,,,,,
player,201011140pit,pit,WallMi00,rush_td,0,,,,,
player,201011140pit,pit,WallMi00,rush_long,0,,,,,
player,201011140pit,pit,WallMi00,targets,11,,,,,
player,201011140pit,pit,WallMi00,rec,8,,,,,
player,201011140pit,pit,WallMi00,rec_yds,136,,,,,
player,201011140pit,pit,WallMi00,rec_td,2,,,,,
player,201011140pit,pit,WallMi00,rec_long,33,,,,,
player,201011140pit,pit,WallMi00,fumbles,0,,,,,
player,201011140pit,pit,WallMi00,fumbles_lost,,,,,,
player,201011140pit,pit,RandAn00,pass_cmp,0,,,,,
player,201011140pit,pit,RandAn00,pass_att,0,,,,,
player,201011140pit,pit,RandAn00,pass_yds,0,,,,,
player,201011140pit,pit,RandAn00,pass_td,0,,,,,
player,201011140pit,pit,RandAn00,pass_int,0,,,,,
player,201011140pit,pit,RandAn00,pass_sacked,0,,,,,
player,201011140pit,pit,RandAn00,pass_sacked_yds,,,,,,
player,201011140pit,pit,RandAn00,pass_long,0,,,,,
player,201011140pit,pit,RandAn00,pass_rating,,,,,,
player,201011140pit,pit,RandAn00,rush_att,0,,,,,
player,201011140pit,pit,RandAn00,rush_yds,0,,,,,
player,201011140pit,pit,RandAn00,rush_td,0,,,,,
player,201011140pit,pit,RandAn00,rush_long,0,,,,,
player,201011140pit,pit,RandAn00,targets,9,,,,,
player,201011140pit,pit,RandAn00,rec,5,,,,,
player,201011140pit,pit,RandAn00,rec_yds,66,,,,,
player,201011140pit,pit,RandAn00,rec_td,0,,,,,
player,201011140pit,pit,RandAn00,rec_long,20,,,,,
player,201011140pit,pit,RandAn00,fumbles,0,,,,,
player,201011140pit,pit,RandAn00,fumbles_lost,,,,,,
player,201011140pit,pit,MillHe00,pass_cmp,0,,,,,
player,201011140pit,pit,MillHe00,pass_att,0,,,,,
player,201011140pit,pit,MillHe00,pass_yds,0,,,,,
player,201011140pit,pit,MillHe00,pass_td,0,,,,,
player,201011140pit,pit,MillHe00,pass_int,0,,,,,
player,201011140pit,pit,MillHe00,pass_sacked,,,,,,
player,201011140pit,pit,MillHe00,pass_sacked_yds,,,,,,
player,201011140pit,pit,MillHe00,pass_long,0,,,,,
player,201011140pit,pit,MillHe00,pass_rating,,,,,,
player,201011140pit,pit,MillHe00,rush_att,0,,,,,
player,201011140pit,pit,MillHe00,rush_yds,0,,,,,
player,201011140pit,pit,MillHe00,rush_td,0,,,,,
player,201011140pit,pit,MillHe00,rush_long,0,,,,,
player,201011140pit,pit,MillHe00,targets,9,,,,,
player,201011140pit,pit,MillHe00,rec,5,,,,,
player,201011140pit,pit,MillHe00,rec_yds,60,,,,,
player,201011140pit,pit,MillHe00,rec_td,0,,,,,
player,201011140pit,pit,MillHe00,rec_long,18,,,,,
player,201011140pit,pit,MillHe00,fumbles,0,,,,,
player,201011140pit,pit,MillHe00,fumbles_lost,,,,,,
player,201011140pit,pit,SandEm00,pass_cmp,0,,,,,
player,201011140pit,pit,SandEm00,pass_att,0,,,,,
player,201011140pit,pit,SandEm00,pass_yds,0,,,,,
player,201011140pit,pit,SandEm00,pass_td,0,,,,,
player,201011140pit,pit,SandEm00,pass_int,0,,,,,
player,201011140pit,pit,SandEm00,pass_sacked,,,,,,
player,201011140pit,pit,SandEm00,pass_sacked_yds,,,,,,
player,201011140pit,pit,SandEm00,pass_long,0,,,,,
player,201011140pit,pit,SandEm00,pass_rating,,,,,,
player,201011140pit,pit,SandEm00,rush_att,0,,,,,
player,201011140pit,pit,SandEm00,rush_yds,0,,,,,
player,201011140pit,pit,SandEm00,rush_td,0,,,,,
player,201011140pit,pit,SandEm00,rush_long,0,,,,,
player,201011140pit,pit,SandEm00,targets,9,,,,,
player,201011140pit,pit,SandEm00,rec,5,,,,,
player,201011140pit,pit,SandEm00,rec_yds,41,,,,,
player,201011140pit,pit,SandEm00,rec_td,1,,,,,
player,201011140pit,pit,SandEm00,rec_long,11,,,,,
player,201011140pit,pit,SandEm00,fumbles,0,,,,,
player,201011140pit,pit,SandEm00,fumbles_lost,,,,,,
player,201011140pit,pit,BattAr00,pass_cmp,0,,,,,
player,201011140pit,pit,BattAr00,pass_att,0,,,,,
player,201011140pit,pit,BattAr00,pass_yds,0,,,,,
player,201011140pit,pit,BattAr00,pass_td,0,,,,,
player,201011140pit,pit,BattAr00,pass_int,0,,,,,
player,201011140pit,pit,BattAr00,pass_sacked,,,,,,
player,201011140pit,pit,BattAr00,pass_sacked_yds,,,,,,
player,201011140pit,pit,BattAr00,pass_long,0,,,,,
player,201011140pit,pit,BattAr00,pass_rating,,,,,,
player,201011140pit,pit,BattAr00,rush_att,0,,,,,
player,201011140pit,pit,BattAr00,rush_yds,0,,,,,
player,201011140pit,pit,BattAr00,rush_td,0,,,,,
player,201011140pit,pit,BattAr00,rush_long,0,,,,,
player,201011140pit,pit,BattAr00,targets,1,,,,,
player,201011140pit,pit,BattAr00,rec,0,,,,,
player,201011140pit,pit,BattAr00,rec_yds,0,,,,,
player,201011140pit,pit,BattAr00,rec_td,0,,,,,
player,201011140pit,pit,BattAr00,rec_long,0,,,,,
player,201011140pit,pit,BattAr00,fumbles,0,,,,,
player,201011140pit,pit,BattAr00,fumbles_lost,,,,,,
player,201011140pit,pit,WardHi00,pass_cmp,,,,,,
player,201011140pit,pit,WardHi00,pass_att,,,,,,
player,201011140pit,pit,WardHi00,pass_yds,,,,,,
player,201011140pit,pit,WardHi00,pass_td,,,,,,
player,201011140pit,pit,WardHi00,pass_int,,,,,,
player,201011140pit,pit,WardHi00,pass_sacked,,,,,,
player,201011140pit,pit,WardHi00,pass_sacked_yds,,,,,,
player,201011140pit,pit,WardHi00,pass_long,,,,,,
player,201011140pit,pit,WardHi00,pass_rating,,,,,,
player,201011140pit,pit,WardHi00,rush_att,,,,,,
player,201011140pit,pit,WardHi00,rush_yds,,,,,,
player,201011140pit,pit,WardHi00,rush_td,,,,,,
player,201011140pit,pit,WardHi00,rush_long,,,,,,
player,201011140pit,pit,WardHi00,targets,1,,,,,
player,201011140pit,pit,WardHi00,rec,0,,,,,
player,201011140pit,pit,WardHi00,rec_yds,0,,,,,
player,201011140pit,pit,WardHi00,rec_td,0,,,,,
player,201011140pit,pit,WardHi00,rec_long,,,,,,
player,201011140pit,pit,WardHi00,fumbles,,,,,,
player,201011140pit,pit,WardHi00,fumbles_lost,,,,,,
player,201011140pit,nwe,SandJa21,def_int,1,,,,,
player,201011140pit,nwe,SandJa21,def_int_yds,32,,,,,
player,201011140pit,nwe,SandJa21,def_int_td,1,,,,,
player,201011140pit,nwe,SandJa21,def_int_long,32,,,,,
player,201011140pit,nwe,SandJa21,pass_defended,1,,,,,
player,201011140pit,nwe,SandJa21,sacks,0.0,,,,,
player,201011140pit,nwe,SandJa21,tackles_combined,4,,,,,
player,201011140pit,nwe,SandJa21,tackles_solo,3,,,,,
player,201011140pit,nwe,SandJa21,tackles_assists,1,,,,,
player,201011140pit,nwe,SandJa21,tackles_loss,0,,,,,
player,201011140pit,nwe,SandJa21,qb_hits,0,,,,,
player,201011140pit,nwe,SandJa21,fumbles_rec,0,,,,,
player,201011140pit,nwe,SandJa21,fumbles_rec_yds,0,,,,,
player,201011140pit,nwe,SandJa21,fumbles_rec_td,0,,,,,
player,201011140pit,nwe,SandJa21,fumbles_forced,0,,,,,
player,201011140pit,nwe,WrigMi20,def_int,0,,,,,
player,201011140pit,nwe,WrigMi20,def_int_yds,0,,,,,
player,201011140pit,nwe,WrigMi20,def_int_td,0,,,,,
player,201011140pit,nwe,WrigMi20,def_int_long,0,,,,,
player,201011140pit,nwe,WrigMi20,pass_defended,0,,,,,
player,201011140pit,nwe,WrigMi20,sacks,1.5,,,,,
player,201011140pit,nwe,WrigMi20,tackles_combined,3,,,,,
player,201011140pit,nwe,WrigMi20,tackles_solo,2,,,,,
player,201011140pit,nwe,WrigMi20,tackles_assists,1,,,,,
player,201011140pit,nwe,WrigMi20,tackles_loss,2,,,,,
player,201011140pit,nwe,WrigMi20,qb_hits,2,,,,,
player,201011140pit,nwe,WrigMi20,fumbles_rec,0,,,,,
player,201011140pit,nwe,WrigMi20,fumbles_rec_yds,0,,,,,
player,201011140pit,nwe,WrigMi20,fumbles_rec_td,0,,,,,
player,201011140pit,nwe,WrigMi20,fumbles_forced,0,,,,,
player,201011140pit,nwe,BantTu20,def_int,0,,,,,
player,201011140pit,nwe,BantTu20,def_int_yds,0,,,,,
player,201011140pit,nwe,BantTu20,def_int_td,0,,,,,
player,201011140pit,nwe,BantTu20,def_int_long,0,,,,,
player,201011140pit,nwe,BantTu20,pass_defended,0,,,,,
player,201011140pit,nwe,BantTu20,sacks,1.5,,,,,
player,201011140pit,nwe,BantTu20,tackles_combined,2,,,,,
player,201011140pit,nwe,BantTu20,tackles_solo,1,,,,,
player,201011140pit,nwe,BantTu20,tackles_assists,1,,,,,
player,201011140pit,nwe,BantTu20,tackles_loss,1,,,,,
player,201011140pit,nwe,BantTu20,qb_hits,2,,,,,
player,201011140pit,nwe,BantTu20,fumbles_rec,0,,,,,
player,201011140pit,nwe,BantTu20,fumbles_rec_yds,0,,,,,
player,201011140pit,nwe,BantTu20,fumbles_rec_td,0,,,,,
player,201011140pit,nwe,BantTu20,fumbles_forced,0,,,,,
player,201011140pit,nwe,GuytGa99,def_int,0,,,,,
player,201011140pit,nwe,GuytGa99,def_int_yds,0,,,,,
player,201011140pit,nwe,GuytGa99,def_int_td,0,,,,,
player,201011140pit,nwe,GuytGa99,def_int_long,0,,,,,
player,201011140pit,nwe,GuytGa99,pass_defended,1,,,,,
player,201011140pit,nwe,GuytGa99,sacks,1.0,,,,,
