game,2010,16,20101226,201012260chi,nyj,"New York Jets",34,chi,"Chicago Bears",38
player,201012260chi,nyj,CotcJe00,fumbles,0,,,,,
player,201012260chi,nyj,CotcJe00,fumbles_lost,,,,,,
player,201012260chi,nyj,HartBe00,pass_cmp,,,,,,
player,201012260chi,nyj,HartBe00,pass_att,,,,,,
player,201012260chi,nyj,HartBe00,pass_yds,,,,,,
player,201012260chi,nyj,HartBe00,pass_td,,,,,,
player,201012260chi,nyj,HartBe00,pass_int,,,,,,
player,201012260chi,nyj,HartBe00,pass_sacked,,,,,,
player,201012260chi,nyj,HartBe00,pass_sacked_yds,,,,,,
player,201012260chi,nyj,HartBe00,pass_long,,,,,,
player,201012260chi,nyj,HartBe00,pass_rating,,,,,,
player,201012260chi,nyj,HartBe00,rush_att,,,,,,
player,201012260chi,nyj,HartBe00,rush_yds,,,,,,
player,201012260chi,nyj,HartBe00,rush_td,,,,,,
player,201012260chi,nyj,HartBe00,rush_long,,,,,,
player,201012260chi,nyj,HartBe00,targets,1,,,,,
player,201012260chi,nyj,HartBe00,rec,0,,,,,
player,201012260chi,nyj,HartBe00,rec_yds,0,,,,,
player,201012260chi,nyj,HartBe00,rec_td,0,,,,,
player,201012260chi,nyj,HartBe00,rec_long,,,,,,
player,201012260chi,nyj,HartBe00,fumbles,,,,,,
player,201012260chi,nyj,HartBe00,fumbles_lost,,,,,,
player,201012260chi,chi,CutlJa00,pass_cmp,13,,,,,
player,201012260chi,chi,CutlJa00,pass_att,25,,,,,
player,201012260chi,chi,CutlJa00,pass_yds,215,,,,,
player,201012260chi,chi,CutlJa00,pass_td,3,,,,,
player,201012260chi,chi,CutlJa00,pass_int,1,,,,,
player,201012260chi,chi,CutlJa00,pass_sacked,2,,,,,
player,201012260chi,chi,CutlJa00,pass_sacked_yds,13,,,,,
player,201012260chi,chi,CutlJa00,pass_long,40,,,,,
player,201012260chi,chi,CutlJa00,pass_rating,104.2,,,,,
player,201012260chi,chi,CutlJa00,rush_att,4,,,,,
player,201012260chi,chi,CutlJa00,rush_yds,3,,,,,
player,201012260chi,chi,CutlJa00,rush_td,1,,,,,
player,201012260chi,chi,CutlJa00,rush_long,3,,,,,
player,201012260chi,chi,CutlJa00,targets,0,,,,,
player,201012260chi,chi,CutlJa00,rec,0,,,,,
player,201012260chi,chi,CutlJa00,rec_yds,0,,,,,
player,201012260chi,chi,CutlJa00,rec_td,0,,,,,
player,201012260chi,chi,CutlJa00,rec_long,0,,,,,
player,201012260chi,chi,CutlJa00,fumbles,0,,,,,
player,201012260chi,chi,CutlJa00,fumbles_lost,,,,,,
player,201012260chi,chi,FortMa00,pass_cmp,0,,,,,
player,201012260chi,chi,FortMa00,pass_att,0,,,,,
player,201012260chi,chi,FortMa00,pass_yds,0,,,,,
player,201012260chi,chi,FortMa00,pass_td,0,,,,,
player,201012260chi,chi,FortMa00,pass_int,0,,,,,
player,201012260chi,chi,FortMa00,pass_sacked,,,,,,
player,201012260chi,chi,FortMa00,pass_sacked_yds,,,,,,
player,201012260chi,chi,FortMa00,pass_long,0,,,,,
player,201012260chi,chi,FortMa00,pass_rating,,,,,,
player,201012260chi,chi,FortMa00,rush_att,19,,,,,
player,201012260chi,chi,FortMa00,rush_yds,113,,,,,
player,201012260chi,chi,FortMa00,rush_td,1,,,,,
player,201012260chi,chi,FortMa00,rush_long,32,,,,,
player,201012260chi,chi,FortMa00,targets,7,,,,,
player,201012260chi,chi,FortMa00,rec,4,,,,,
player,201012260chi,chi,FortMa00,rec_yds,56,,,,,
player,201012260chi,chi,FortMa00,rec_td,0,,,,,
player,201012260chi,chi,FortMa00,rec_long,24,,,,,
player,201012260chi,chi,FortMa00,fumbles,0,,,,,
player,201012260chi,chi,FortMa00,fumbles_lost,,,,,,
player,201012260chi,chi,TaylCh01,pass_cmp,0,,,,,
player,201012260chi,chi,TaylCh01,pass_att,0,,,,,
player,201012260chi,chi,TaylCh01,pass_yds,0,,,,,
player,201012260chi,chi,TaylCh01,pass_td,0,,,,,
player,201012260chi,chi,TaylCh01,pass_int,0,,,,,
player,201012260chi,chi,TaylCh01,pass_sacked,,,,,,
player,201012260chi,chi,TaylCh01,pass_sacked_yds,,,,,,
player,201012260chi,chi,TaylCh01,pass_long,0,,,,,
player,201012260chi,chi,TaylCh01,pass_rating,,,,,,
player,201012260chi,chi,TaylCh01,rush_att,4,,,,,
player,201012260chi,chi,TaylCh01,rush_yds,4,,,,,
player,201012260chi,chi,TaylCh01,rush_td,0,,,,,
player,201012260chi,chi,TaylCh01,rush_long,4,,,,,
player,201012260chi,chi,TaylCh01,targets,0,,,,,
player,201012260chi,chi,TaylCh01,rec,0,,,,,
player,201012260chi,chi,TaylCh01,rec_yds,0,,,,,
player,201012260chi,chi,TaylCh01,rec_td,0,,,,,
player,201012260chi,chi,TaylCh01,rec_long,0,,,,,
player,201012260chi,chi,TaylCh01,fumbles,0,,,,,
player,201012260chi,chi,TaylCh01,fumbles_lost,,,,,,
player,201012260chi,chi,KnoxJo00,pass_cmp,0,,,,,
player,201012260chi,chi,KnoxJo00,pass_att,0,,,,,
player,201012260chi,chi,KnoxJo00,pass_yds,0,,,,,
player,201012260chi,chi,KnoxJo00,pass_td,0,,,,,
player,201012260chi,chi,KnoxJo00,pass_int,0,,,,,
player,201012260chi,chi,KnoxJo00,pass_sacked,,,,,,
player,201012260chi,chi,KnoxJo00,pass_sacked_yds,,,,,,
player,201012260chi,chi,KnoxJo00,pass_long,0,,,,,
player,201012260chi,chi,KnoxJo00,pass_rating,,,,,,
player,201012260chi,chi,KnoxJo00,rush_att,0,,,,,
player,201012260chi,chi,KnoxJo00,rush_yds,0,,,,,
player,201012260chi,chi,KnoxJo00,rush_td,0,,,,,
player,201012260chi,chi,KnoxJo00,rush_long,0,,,,,
player,201012260chi,chi,KnoxJo00,targets,6,,,,,
player,201012260chi,chi,KnoxJo00,rec,4,,,,,
player,201012260chi,chi,KnoxJo00,rec_yds,92,,,,,
player,201012260chi,chi,KnoxJo00,rec_td,2,,,,,
player,201012260chi,chi,KnoxJo00,rec_long,40,,,,,
player,201012260chi,chi,KnoxJo00,fumbles,0,,,,,
player,201012260chi,chi,KnoxJo00,fumbles_lost,,,,,,
player,201012260chi,chi,HestDe99,pass_cmp,0,,,,,
player,201012260chi,chi,HestDe99,pass_att,0,,,,,
player,201012260chi,chi,HestDe99,pass_yds,0,,,,,
player,201012260chi,chi,HestDe99,pass_td,0,,,,,
player,201012260chi,chi,HestDe99,pass_int,0,,,,,
player,201012260chi,chi,HestDe99,pass_sacked,,,,,,
player,201012260chi,chi,HestDe99,pass_sacked_yds,,,,,,
player,201012260chi,chi,HestDe99,pass_long,0,,,,,
player,201012260chi,chi,HestDe99,pass_rating,,,,,,
player,201012260chi,chi,HestDe99,rush_att,0,,,,,
player,201012260chi,chi,HestDe99,rush_yds,0,,,,,
player,201012260chi,chi,HestDe99,rush_td,0,,,,,
player,201012260chi,chi,HestDe99,rush_long,0,,,,,
player,201012260chi,chi,HestDe99,targets,5,,,,,
player,201012260chi,chi,HestDe99,rec,3,,,,,
player,201012260chi,chi,HestDe99,rec_yds,48,,,,,
player,201012260chi,chi,HestDe99,rec_td,1,,,,,
player,201012260chi,chi,HestDe99,rec_long,25,,,,,
player,201012260chi,chi,HestDe99,fumbles,0,,,,,
player,201012260chi,chi,HestDe99,fumbles_lost,,,,,,
player,201012260chi,chi,BennEa00,pass_cmp,0,,,,,
player,201012260chi,chi,BennEa00,pass_att,0,,,,,
player,201012260chi,chi,BennEa00,pass_yds,0,,,,,
player,201012260chi,chi,BennEa00,pass_td,0,,,,,
player,201012260chi,chi,BennEa00,pass_int,0,,,,,
player,201012260chi,chi,BennEa00,pass_sacked,,,,,,
player,201012260chi,chi,BennEa00,pass_sacked_yds,,,,,,
player,201012260chi,chi,BennEa00,pass_long,0,,,,,
player,201012260chi,chi,BennEa00,pass_rating,,,,,,
player,201012260chi,chi,BennEa00,rush_att,0,,,,,
player,201012260chi,chi,BennEa00,rush_yds,0,,,,,
player,201012260chi,chi,BennEa00,rush_td,0,,,,,
player,201012260chi,chi,BennEa00,rush_long,0,,,,,
player,201012260chi,chi,BennEa00,targets,4,,,,,
player,201012260chi,chi,BennEa00,rec,1,,,,,
player,201012260chi,chi,BennEa00,rec_yds,14,,,,,
player,201012260chi,chi,BennEa00,rec_td,0,,,,,
player,201012260chi,chi,BennEa00,rec_long,14,,,,,
player,201012260chi,chi,BennEa00,fumbles,0,,,,,
player,201012260chi,chi,BennEa00,fumbles_lost,,,,,,
player,201012260chi,chi,OlseGr00,pass_cmp,0,,,,,
player,201012260chi,chi,OlseGr00,pass_att,0,,,,,
player,201012260chi,chi,OlseGr00,pass_yds,0,,,,,
player,201012260chi,chi,OlseGr00,pass_td,0,,,,,
player,201012260chi,chi,OlseGr00,pass_int,0,,,,,
player,201012260chi,chi,OlseGr00,pass_sacked,,,,,,
player,201012260chi,chi,OlseGr00,pass_sacked_yds,,,,,,
player,201012260chi,chi,OlseGr00,pass_long,0,,,,,
player,201012260chi,chi,OlseGr00,pass_rating,,,,,,
player,201012260chi,chi,OlseGr00,rush_att,0,,,,,
player,201012260chi,chi,OlseGr00,rush_yds,0,,,,,
player,201012260chi,chi,OlseGr00,rush_td,0,,,,,
player,201012260chi,chi,OlseGr00,rush_long,0,,,,,
player,201012260chi,chi,OlseGr00,targets,3,,,,,
player,201012260chi,chi,OlseGr00,rec,1,,,,,
player,201012260chi,chi,OlseGr00,rec_yds,5,,,,,
player,201012260chi,chi,OlseGr00,rec_td,0,,,,,
player,201012260chi,chi,OlseGr00,rec_long,5,,,,,
player,201012260chi,chi,OlseGr00,fumbles,0,,,,,
player,201012260chi,chi,OlseGr00,fumbles_lost,,,,,,
player,201012260chi,nyj,LoweDw99,def_int,1,,,,,
player,201012260chi,nyj,LoweDw99,def_int_yds,20,,,,,
player,201012260chi,nyj,LoweDw99,def_int_td,1,,,,,
player,201012260chi,nyj,LoweDw99,def_int_long,20,,,,,
player,201012260chi,nyj,LoweDw99,pass_defended,1,,,,,
player,201012260chi,nyj,LoweDw99,sacks,0.0,,,,,
player,201012260chi,nyj,LoweDw99,tackles_combined,2,,,,,
player,201012260chi,nyj,LoweDw99,tackles_solo,2,,,,,
player,201012260chi,nyj,LoweDw99,tackles_assists,0,,,,,
player,201012260chi,nyj,LoweDw99,tackles_loss,0,,,,,
player,201012260chi,nyj,LoweDw99,qb_hits,0,,,,,
player,201012260chi,nyj,LoweDw99,fumbles_rec,0,,,,,
player,201012260chi,nyj,LoweDw99,fumbles_rec_yds,0,,,,,
player,201012260chi,nyj,LoweDw99,fumbles_rec_td,0,,,,,
player,201012260chi,nyj,LoweDw99,fumbles_forced,0,,,,,
player,201012260chi,nyj,ThomBr21,def_int,0,,,,,
player,201012260chi,nyj,ThomBr21,def_int_yds,0,,,,,
player,201012260chi,nyj,ThomBr21,def_int_td,0,,,,,
player,201012260chi,nyj,ThomBr21,def_int_long,0,,,,,
player,201012260chi,nyj,ThomBr21,pass_defended,0,,,,,
player,201012260chi,nyj,ThomBr21,sacks,1.0,,,,,
player,201012260chi,nyj,ThomBr21,tackles_combined,3,,,,,
player,201012260chi,nyj,ThomBr21,tackles_solo,3,,,,,
player,201012260chi,nyj,ThomBr21,tackles_assists,0,,,,,
player,201012260chi,nyj,ThomBr21,tackles_loss,1,,,,,
player,201012260chi,nyj,ThomBr21,qb_hits,1,,,,,
player,201012260chi,nyj,ThomBr21,fumbles_rec,0,,,,,
player,201012260chi,nyj,ThomBr21,fumbles_rec_yds,0,,,,,
player,201012260chi,nyj,ThomBr21,fumbles_rec_td,0,,,,,
player,201012260chi,nyj,ThomBr21,fumbles_forced,0,,,,,
player,201012260chi,nyj,DixoMa00,def_int,0,,,,,
player,201012260chi,nyj,DixoMa00,def_int_yds,0,,,,,
player,201012260chi,nyj,DixoMa00,def_int_td,0,,,,,
player,201012260chi,nyj,DixoMa00,def_int_long,0,,,,,
player,201012260chi,nyj,DixoMa00,pass_defended,0,,,,,
player,201012260chi,nyj,DixoMa00,sacks,1.0,,,,,
player,201012260chi,nyj,DixoMa00,tackles_combined,1,,,,,
player,201012260chi,nyj,DixoMa00,tackles_solo,1,,,,,
player,201012260chi,nyj,DixoMa00,tackles_assists,0,,,,,
player,201012260chi,nyj,DixoMa00,tackles_loss,1,,,,,
player,201012260chi,nyj,DixoMa00,qb_hits,1,,,,,
player,201012260chi,nyj,DixoMa00,fumbles_rec,0,,,,,
player,201012260chi,nyj,DixoMa00,fumbles_rec_yds,0,,,,,
player,201012260chi,nyj,DixoMa00,fumbles_rec_td,0,,,,,
player,201012260chi,nyj,DixoMa00,fumbles_forced,0,,,,,
player,201012260chi,nyj,HarrDa99,def_int,0,,,,,
player,201012260chi,nyj,HarrDa99,def_int_yds,0,,,,,
player,201012260chi,nyj,HarrDa99,def_int_td,0,,,,,
player,201012260chi,nyj,HarrDa99,def_int_long,0,,,,,
player,201012260chi,nyj,HarrDa99,pass_defended,1,,,,,
player,201012260chi,nyj,HarrDa99,sacks,0.0,,,,,
player,201012260chi,nyj,HarrDa99,tackles_combined,4,,,,,
player,201012260chi,nyj,HarrDa99,tackles_solo,4,,,,,
player,201012260chi,nyj,HarrDa99,tackles_assists,0,,,,,
player,201012260chi,nyj,HarrDa99,tackles_loss,0,,,,,
player,201012260chi,nyj,HarrDa99,qb_hits,1,,,,,
player,201012260chi,nyj,HarrDa99,fumbles_rec,0,,,,,
player,201012260chi,nyj,HarrDa99,fumbles_rec_yds,0,,,,,
player,201012260chi,nyj,HarrDa99,fumbles_rec_td,0,,,,,
player,201012260chi,nyj,HarrDa99,fumbles_forced,0,,,,,
player,201012260chi,nyj,PaceCa20,def_int,0,,,,,
player,201012260chi,nyj,PaceCa20,def_int_yds,0,,,,,
player,201012260chi,nyj,PaceCa20,def_int_td,0,,,,,
player,201012260chi,nyj,PaceCa20,def_int_long,0,,,,,
player,201012260chi,nyj,PaceCa20,pass_defended,0,,,,,
player,201012260chi,nyj,PaceCa20,sacks,0.0,,,,,
player,201012260chi,nyj,PaceCa20,tackles_combined,4,,,,,
player,201012260chi,nyj,PaceCa20,tackles_solo,4,,,,,
player,201012260chi,nyj,PaceCa20,tackles_assists,0,,,,,
player,201012260chi,nyj,PaceCa20,tackles_loss,1,,,,,
player,201012260chi,nyj,PaceCa20,qb_hits,0,,,,,
player,201012260chi,nyj,PaceCa20,fumbles_rec,0,,,,,
player,201012260chi,nyj,PaceCa20,fumbles_rec_yds,0,,,,,
player,201012260chi,nyj,PaceCa20,fumbles_rec_td,0,,,,,
player,201012260chi,nyj,PaceCa20,fumbles_forced,0,,,,,
player,201012260chi,nyj,PoolBr20,def_int,0,,,,,
player,201012260chi,nyj,PoolBr20,def_int_yds,0,,,,,
player,201012260chi,nyj,PoolBr20,def_int_td,0,,,,,
player,201012260chi,nyj,PoolBr20,def_int_long,0,,,,,
player,201012260chi,nyj,PoolBr20,pass_defended,3,,,,,
player,201012260chi,nyj,PoolBr20,sacks,0.0,,,,,
player,201012260chi,nyj,PoolBr20,tackles_combined,4,,,,,
