game,2010,5,20101010,201010100crd,nor,"New Orleans Saints",20,crd,"Arizona Cardinals",30
player,201010100crd,crd,HallMa00,rec_yds,0,,,,,
player,201010100crd,crd,HallMa00,rec_td,0,,,,,
player,201010100crd,crd,HallMa00,rec_long,0,,,,,
player,201010100crd,crd,HallMa00,fumbles,2,,,,,
player,201010100crd,crd,HallMa00,fumbles_lost,0,,,,,
player,201010100crd,crd,AndeDe00,pass_cmp,1,,,,,
player,201010100crd,crd,AndeDe00,pass_att,2,,,,,
player,201010100crd,crd,AndeDe00,pass_yds,6,,,,,
player,201010100crd,crd,AndeDe00,pass_td,0,,,,,
player,201010100crd,crd,AndeDe00,pass_int,0,,,,,
player,201010100crd,crd,AndeDe00,pass_sacked,0,,,,,
player,201010100crd,crd,AndeDe00,pass_sacked_yds,0,,,,,
player,201010100crd,crd,AndeDe00,pass_long,6,,,,,
player,201010100crd,crd,AndeDe00,pass_rating,56.2,,,,,
player,201010100crd,crd,AndeDe00,rush_att,0,,,,,
player,201010100crd,crd,AndeDe00,rush_yds,0,,,,,
player,201010100crd,crd,AndeDe00,rush_td,0,,,,,
player,201010100crd,crd,AndeDe00,rush_long,0,,,,,
player,201010100crd,crd,AndeDe00,targets,0,,,,,
player,201010100crd,crd,AndeDe00,rec,0,,,,,
player,201010100crd,crd,AndeDe00,rec_yds,0,,,,,
player,201010100crd,crd,AndeDe00,rec_td,0,,,,,
player,201010100crd,crd,AndeDe00,rec_long,0,,,,,
player,201010100crd,crd,AndeDe00,fumbles,0,,,,,
player,201010100crd,crd,AndeDe00,fumbles_lost,,,,,,
player,201010100crd,crd,WellCh00,pass_cmp,0,,,,,
player,201010100crd,crd,WellCh00,pass_att,0,,,,,
player,201010100crd,crd,WellCh00,pass_yds,0,,,,,
player,201010100crd,crd,WellCh00,pass_td,0,,,,,
player,201010100crd,crd,WellCh00,pass_int,0,,,,,
player,201010100crd,crd,WellCh00,pass_sacked,0,,,,,
player,201010100crd,crd,WellCh00,pass_sacked_yds,0,,,,,
player,201010100crd,crd,WellCh00,pass_long,0,,,,,
player,201010100crd,crd,WellCh00,pass_rating,,,,,,
player,201010100crd,crd,WellCh00,rush_att,20,,,,,
player,201010100crd,crd,WellCh00,rush_yds,35,,,,,
player,201010100crd,crd,WellCh00,rush_td,0,,,,,
player,201010100crd,crd,WellCh00,rush_long,7,,,,,
player,201010100crd,crd,WellCh00,targets,1,,,,,
player,201010100crd,crd,WellCh00,rec,1,,,,,
player,201010100crd,crd,WellCh00,rec_yds,5,,,,,
player,201010100crd,crd,WellCh00,rec_td,0,,,,,
player,201010100crd,crd,WellCh00,rec_long,5,,,,,
player,201010100crd,crd,WellCh00,fumbles,1,,,,,
player,201010100crd,crd,WellCh00,fumbles_lost,0,,,,,
player,201010100crd,crd,HighTi00,pass_cmp,0,,,,,
player,201010100crd,crd,HighTi00,pass_att,0,,,,,
player,201010100crd,crd,HighTi00,pass_yds,0,,,,,
player,201010100crd,crd,HighTi00,pass_td,0,,,,,
player,201010100crd,crd,HighTi00,pass_int,0,,,,,
player,201010100crd,crd,HighTi00,pass_sacked,0,,,,,
player,201010100crd,crd,HighTi00,pass_sacked_yds,0,,,,,
player,201010100crd,crd,HighTi00,pass_long,0,,,,,
player,201010100crd,crd,HighTi00,pass_rating,,,,,,
player,201010100crd,crd,HighTi00,rush_att,4,,,,,
player,201010100crd,crd,HighTi00,rush_yds,6,,,,,
player,201010100crd,crd,HighTi00,rush_td,0,,,,,
player,201010100crd,crd,HighTi00,rush_long,3,,,,,
player,201010100crd,crd,HighTi00,targets,1,,,,,
player,201010100crd,crd,HighTi00,rec,0,,,,,
player,201010100crd,crd,HighTi00,rec_yds,0,,,,,
player,201010100crd,crd,HighTi00,rec_td,0,,,,,
player,201010100crd,crd,HighTi00,rec_long,0,,,,,
player,201010100crd,crd,HighTi00,fumbles,0,,,,,
player,201010100crd,crd,HighTi00,fumbles_lost,,,,,,
player,201010100crd,crd,FitzLa00,pass_cmp,0,,,,,
player,201010100crd,crd,FitzLa00,pass_att,0,,,,,
player,201010100crd,crd,FitzLa00,pass_yds,0,,,,,
player,201010100crd,crd,FitzLa00,pass_td,0,,,,,
player,201010100crd,crd,FitzLa00,pass_int,0,,,,,
player,201010100crd,crd,FitzLa00,pass_sacked,0,,,,,
player,201010100crd,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201010100crd,crd,FitzLa00,pass_long,0,,,,,
player,201010100crd,crd,FitzLa00,pass_rating,,,,,,
player,201010100crd,crd,FitzLa00,rush_att,0,,,,,
player,201010100crd,crd,FitzLa00,rush_yds,0,,,,,
player,201010100crd,crd,FitzLa00,rush_td,0,,,,,
player,201010100crd,crd,FitzLa00,rush_long,0,,,,,
player,201010100crd,crd,FitzLa00,targets,9,,,,,
player,201010100crd,crd,FitzLa00,rec,7,,,,,
player,201010100crd,crd,FitzLa00,rec_yds,93,,,,,
player,201010100crd,crd,FitzLa00,rec_td,0,,,,,
player,201010100crd,crd,FitzLa00,rec_long,26,,,,,
player,201010100crd,crd,FitzLa00,fumbles,0,,,,,
player,201010100crd,crd,FitzLa00,fumbles_lost,,,,,,
player,201010100crd,crd,PatrBe00,pass_cmp,0,,,,,
player,201010100crd,crd,PatrBe00,pass_att,0,,,,,
player,201010100crd,crd,PatrBe00,pass_yds,0,,,,,
player,201010100crd,crd,PatrBe00,pass_td,0,,,,,
player,201010100crd,crd,PatrBe00,pass_int,0,,,,,
player,201010100crd,crd,PatrBe00,pass_sacked,0,,,,,
player,201010100crd,crd,PatrBe00,pass_sacked_yds,0,,,,,
player,201010100crd,crd,PatrBe00,pass_long,0,,,,,
player,201010100crd,crd,PatrBe00,pass_rating,,,,,,
player,201010100crd,crd,PatrBe00,rush_att,0,,,,,
player,201010100crd,crd,PatrBe00,rush_yds,0,,,,,
player,201010100crd,crd,PatrBe00,rush_td,0,,,,,
player,201010100crd,crd,PatrBe00,rush_long,0,,,,,
player,201010100crd,crd,PatrBe00,targets,5,,,,,
player,201010100crd,crd,PatrBe00,rec,5,,,,,
player,201010100crd,crd,PatrBe00,rec_yds,30,,,,,
player,201010100crd,crd,PatrBe00,rec_td,0,,,,,
player,201010100crd,crd,PatrBe00,rec_long,11,,,,,
player,201010100crd,crd,PatrBe00,fumbles,1,,,,,
player,201010100crd,crd,PatrBe00,fumbles_lost,0,,,,,
player,201010100crd,crd,RobeAn00,pass_cmp,0,,,,,
player,201010100crd,crd,RobeAn00,pass_att,0,,,,,
player,201010100crd,crd,RobeAn00,pass_yds,0,,,,,
player,201010100crd,crd,RobeAn00,pass_td,0,,,,,
player,201010100crd,crd,RobeAn00,pass_int,0,,,,,
player,201010100crd,crd,RobeAn00,pass_sacked,0,,,,,
player,201010100crd,crd,RobeAn00,pass_sacked_yds,0,,,,,
player,201010100crd,crd,RobeAn00,pass_long,0,,,,,
player,201010100crd,crd,RobeAn00,pass_rating,,,,,,
player,201010100crd,crd,RobeAn00,rush_att,0,,,,,
player,201010100crd,crd,RobeAn00,rush_yds,0,,,,,
player,201010100crd,crd,RobeAn00,rush_td,0,,,,,
player,201010100crd,crd,RobeAn00,rush_long,0,,,,,
player,201010100crd,crd,RobeAn00,targets,3,,,,,
player,201010100crd,crd,RobeAn00,rec,2,,,,,
player,201010100crd,crd,RobeAn00,rec_yds,27,,,,,
player,201010100crd,crd,RobeAn00,rec_td,0,,,,,
player,201010100crd,crd,RobeAn00,rec_long,14,,,,,
player,201010100crd,crd,RobeAn00,fumbles,0,,,,,
player,201010100crd,crd,RobeAn00,fumbles_lost,,,,,,
player,201010100crd,crd,StepLa00,pass_cmp,0,,,,,
player,201010100crd,crd,StepLa00,pass_att,0,,,,,
player,201010100crd,crd,StepLa00,pass_yds,0,,,,,
player,201010100crd,crd,StepLa00,pass_td,0,,,,,
player,201010100crd,crd,StepLa00,pass_int,0,,,,,
player,201010100crd,crd,StepLa00,pass_sacked,0,,,,,
player,201010100crd,crd,StepLa00,pass_sacked_yds,0,,,,,
player,201010100crd,crd,StepLa00,pass_long,0,,,,,
player,201010100crd,crd,StepLa00,pass_rating,,,,,,
player,201010100crd,crd,StepLa00,rush_att,0,,,,,
player,201010100crd,crd,StepLa00,rush_yds,0,,,,,
player,201010100crd,crd,StepLa00,rush_td,0,,,,,
player,201010100crd,crd,StepLa00,rush_long,0,,,,,
player,201010100crd,crd,StepLa00,targets,1,,,,,
player,201010100crd,crd,StepLa00,rec,1,,,,,
player,201010100crd,crd,StepLa00,rec_yds,8,,,,,
player,201010100crd,crd,StepLa00,rec_td,0,,,,,
player,201010100crd,crd,StepLa00,rec_long,8,,,,,
player,201010100crd,crd,StepLa00,fumbles,0,,,,,
player,201010100crd,crd,StepLa00,fumbles_lost,,,,,,
player,201010100crd,crd,WillSt01,pass_cmp,0,,,,,
player,201010100crd,crd,WillSt01,pass_att,0,,,,,
player,201010100crd,crd,WillSt01,pass_yds,0,,,,,
player,201010100crd,crd,WillSt01,pass_td,0,,,,,
player,201010100crd,crd,WillSt01,pass_int,0,,,,,
player,201010100crd,crd,WillSt01,pass_sacked,0,,,,,
player,201010100crd,crd,WillSt01,pass_sacked_yds,0,,,,,
player,201010100crd,crd,WillSt01,pass_long,0,,,,,
player,201010100crd,crd,WillSt01,pass_rating,,,,,,
player,201010100crd,crd,WillSt01,rush_att,0,,,,,
player,201010100crd,crd,WillSt01,rush_yds,0,,,,,
player,201010100crd,crd,WillSt01,rush_td,0,,,,,
player,201010100crd,crd,WillSt01,rush_long,0,,,,,
player,201010100crd,crd,WillSt01,targets,2,,,,,
player,201010100crd,crd,WillSt01,rec,1,,,,,
player,201010100crd,crd,WillSt01,rec_yds,6,,,,,
player,201010100crd,crd,WillSt01,rec_td,0,,,,,
player,201010100crd,crd,WillSt01,rec_long,6,,,,,
player,201010100crd,crd,WillSt01,fumbles,0,,,,,
player,201010100crd,crd,WillSt01,fumbles_lost,,,,,,
player,201010100crd,crd,KomaMa00,pass_cmp,0,,,,,
player,201010100crd,crd,KomaMa00,pass_att,0,,,,,
player,201010100crd,crd,KomaMa00,pass_yds,0,,,,,
player,201010100crd,crd,KomaMa00,pass_td,0,,,,,
player,201010100crd,crd,KomaMa00,pass_int,0,,,,,
player,201010100crd,crd,KomaMa00,pass_sacked,0,,,,,
player,201010100crd,crd,KomaMa00,pass_sacked_yds,0,,,,,
player,201010100crd,crd,KomaMa00,pass_long,0,,,,,
player,201010100crd,crd,KomaMa00,pass_rating,,,,,,
player,201010100crd,crd,KomaMa00,rush_att,0,,,,,
player,201010100crd,crd,KomaMa00,rush_yds,0,,,,,
player,201010100crd,crd,KomaMa00,rush_td,0,,,,,
player,201010100crd,crd,KomaMa00,rush_long,0,,,,,
player,201010100crd,crd,KomaMa00,targets,3,,,,,
player,201010100crd,crd,KomaMa00,rec,1,,,,,
player,201010100crd,crd,KomaMa00,rec_yds,5,,,,,
player,201010100crd,crd,KomaMa00,rec_td,0,,,,,
player,201010100crd,crd,KomaMa00,rec_long,5,,,,,
player,201010100crd,crd,KomaMa00,fumbles,0,,,,,
player,201010100crd,crd,KomaMa00,fumbles_lost,,,,,,
player,201010100crd,crd,DrayJi00,pass_cmp,0,,,,,
player,201010100crd,crd,DrayJi00,pass_att,0,,,,,
player,201010100crd,crd,DrayJi00,pass_yds,0,,,,,
player,201010100crd,crd,DrayJi00,pass_td,0,,,,,
player,201010100crd,crd,DrayJi00,pass_int,0,,,,,
player,201010100crd,crd,DrayJi00,pass_sacked,0,,,,,
player,201010100crd,crd,DrayJi00,pass_sacked_yds,0,,,,,
player,201010100crd,crd,DrayJi00,pass_long,0,,,,,
player,201010100crd,crd,DrayJi00,pass_rating,,,,,,
player,201010100crd,crd,DrayJi00,rush_att,0,,,,,
player,201010100crd,crd,DrayJi00,rush_yds,0,,,,,
player,201010100crd,crd,DrayJi00,rush_td,0,,,,,
player,201010100crd,crd,DrayJi00,rush_long,0,,,,,
player,201010100crd,crd,DrayJi00,targets,1,,,,,
player,201010100crd,crd,DrayJi00,rec,0,,,,,
player,201010100crd,crd,DrayJi00,rec_yds,0,,,,,
player,201010100crd,crd,DrayJi00,rec_td,0,,,,,
player,201010100crd,crd,DrayJi00,rec_long,0,,,,,
player,201010100crd,crd,DrayJi00,fumbles,0,,,,,
player,201010100crd,crd,DrayJi00,fumbles_lost,,,,,,
player,201010100crd,crd,SpacSt00,pass_cmp,,,,,,
player,201010100crd,crd,SpacSt00,pass_att,,,,,,
player,201010100crd,crd,SpacSt00,pass_yds,,,,,,
player,201010100crd,crd,SpacSt00,pass_td,,,,,,
player,201010100crd,crd,SpacSt00,pass_int,,,,,,
player,201010100crd,crd,SpacSt00,pass_sacked,,,,,,
player,201010100crd,crd,SpacSt00,pass_sacked_yds,,,,,,
player,201010100crd,crd,SpacSt00,pass_long,,,,,,
player,201010100crd,crd,SpacSt00,pass_rating,,,,,,
player,201010100crd,crd,SpacSt00,rush_att,,,,,,
player,201010100crd,crd,SpacSt00,rush_yds,,,,,,
player,201010100crd,crd,SpacSt00,rush_td,,,,,,
player,201010100crd,crd,SpacSt00,rush_long,,,,,,
player,201010100crd,crd,SpacSt00,targets,2,,,,,
player,201010100crd,crd,SpacSt00,rec,0,,,,,
player,201010100crd,crd,SpacSt00,rec_yds,0,,,,,
player,201010100crd,crd,SpacSt00,rec_td,0,,,,,
player,201010100crd,crd,SpacSt00,rec_long,,,,,,
player,201010100crd,crd,SpacSt00,fumbles,,,,,,
player,201010100crd,crd,SpacSt00,fumbles_lost,,,,,,
player,201010100crd,nor,GreeJa22,def_int,1,,,,,
player,201010100crd,nor,GreeJa22,def_int_yds,26,,,,,
player,201010100crd,nor,GreeJa22,def_int_td,0,,,,,
player,201010100crd,nor,GreeJa22,def_int_long,26,,,,,
player,201010100crd,nor,GreeJa22,pass_defended,1,,,,,
player,201010100crd,nor,GreeJa22,sacks,0.0,,,,,
player,201010100crd,nor,GreeJa22,tackles_combined,5,,,,,
player,201010100crd,nor,GreeJa22,tackles_solo,5,,,,,
player,201010100crd,nor,GreeJa22,tackles_assists,0,,,,,
player,201010100crd,nor,GreeJa22,tackles_loss,0,,,,,
player,201010100crd,nor,GreeJa22,qb_hits,0,,,,,
player,201010100crd,nor,GreeJa22,fumbles_rec,0,,,,,
player,201010100crd,nor,GreeJa22,fumbles_rec_yds,0,,,,,
player,201010100crd,nor,GreeJa22,fumbles_rec_td,0,,,,,
player,201010100crd,nor,GreeJa22,fumbles_forced,0,,,,,
