game,2010,7,20101024,201010240nor,cle,"Cleveland Browns",30,nor,"New Orleans Saints",17
player,201010240nor,nor,JoneJu01,pass_sacked,,,,,,
player,201010240nor,nor,JoneJu01,pass_sacked_yds,,,,,,
player,201010240nor,nor,JoneJu01,pass_long,0,,,,,
player,201010240nor,nor,JoneJu01,pass_rating,,,,,,
player,201010240nor,nor,JoneJu01,rush_att,1,,,,,
player,201010240nor,nor,JoneJu01,rush_yds,6,,,,,
player,201010240nor,nor,JoneJu01,rush_td,0,,,,,
player,201010240nor,nor,JoneJu01,rush_long,6,,,,,
player,201010240nor,nor,JoneJu01,targets,1,,,,,
player,201010240nor,nor,JoneJu01,rec,1,,,,,
player,201010240nor,nor,JoneJu01,rec_yds,1,,,,,
player,201010240nor,nor,JoneJu01,rec_td,0,,,,,
player,201010240nor,nor,JoneJu01,rec_long,1,,,,,
player,201010240nor,nor,JoneJu01,fumbles,0,,,,,
player,201010240nor,nor,JoneJu01,fumbles_lost,,,,,,
player,201010240nor,nor,MeacRo00,pass_cmp,0,,,,,
player,201010240nor,nor,MeacRo00,pass_att,0,,,,,
player,201010240nor,nor,MeacRo00,pass_yds,0,,,,,
player,201010240nor,nor,MeacRo00,pass_td,0,,,,,
player,201010240nor,nor,MeacRo00,pass_int,0,,,,,
player,201010240nor,nor,MeacRo00,pass_sacked,,,,,,
player,201010240nor,nor,MeacRo00,pass_sacked_yds,,,,,,
player,201010240nor,nor,MeacRo00,pass_long,0,,,,,
player,201010240nor,nor,MeacRo00,pass_rating,,,,,,
player,201010240nor,nor,MeacRo00,rush_att,1,,,,,
player,201010240nor,nor,MeacRo00,rush_yds,2,,,,,
player,201010240nor,nor,MeacRo00,rush_td,0,,,,,
player,201010240nor,nor,MeacRo00,rush_long,2,,,,,
player,201010240nor,nor,MeacRo00,targets,5,,,,,
player,201010240nor,nor,MeacRo00,rec,2,,,,,
player,201010240nor,nor,MeacRo00,rec_yds,31,,,,,
player,201010240nor,nor,MeacRo00,rec_td,0,,,,,
player,201010240nor,nor,MeacRo00,rec_long,29,,,,,
player,201010240nor,nor,MeacRo00,fumbles,0,,,,,
player,201010240nor,nor,MeacRo00,fumbles_lost,,,,,,
player,201010240nor,nor,EvanHe00,pass_cmp,0,,,,,
player,201010240nor,nor,EvanHe00,pass_att,0,,,,,
player,201010240nor,nor,EvanHe00,pass_yds,0,,,,,
player,201010240nor,nor,EvanHe00,pass_td,0,,,,,
player,201010240nor,nor,EvanHe00,pass_int,0,,,,,
player,201010240nor,nor,EvanHe00,pass_sacked,,,,,,
player,201010240nor,nor,EvanHe00,pass_sacked_yds,,,,,,
player,201010240nor,nor,EvanHe00,pass_long,0,,,,,
player,201010240nor,nor,EvanHe00,pass_rating,,,,,,
player,201010240nor,nor,EvanHe00,rush_att,1,,,,,
player,201010240nor,nor,EvanHe00,rush_yds,2,,,,,
player,201010240nor,nor,EvanHe00,rush_td,0,,,,,
player,201010240nor,nor,EvanHe00,rush_long,2,,,,,
player,201010240nor,nor,EvanHe00,targets,0,,,,,
player,201010240nor,nor,EvanHe00,rec,0,,,,,
player,201010240nor,nor,EvanHe00,rec_yds,0,,,,,
player,201010240nor,nor,EvanHe00,rec_td,0,,,,,
player,201010240nor,nor,EvanHe00,rec_long,0,,,,,
player,201010240nor,nor,EvanHe00,fumbles,0,,,,,
player,201010240nor,nor,EvanHe00,fumbles_lost,,,,,,
player,201010240nor,nor,ColsMa00,pass_cmp,0,,,,,
player,201010240nor,nor,ColsMa00,pass_att,0,,,,,
player,201010240nor,nor,ColsMa00,pass_yds,0,,,,,
player,201010240nor,nor,ColsMa00,pass_td,0,,,,,
player,201010240nor,nor,ColsMa00,pass_int,0,,,,,
player,201010240nor,nor,ColsMa00,pass_sacked,,,,,,
player,201010240nor,nor,ColsMa00,pass_sacked_yds,,,,,,
player,201010240nor,nor,ColsMa00,pass_long,0,,,,,
player,201010240nor,nor,ColsMa00,pass_rating,,,,,,
player,201010240nor,nor,ColsMa00,rush_att,0,,,,,
player,201010240nor,nor,ColsMa00,rush_yds,0,,,,,
player,201010240nor,nor,ColsMa00,rush_td,0,,,,,
player,201010240nor,nor,ColsMa00,rush_long,0,,,,,
player,201010240nor,nor,ColsMa00,targets,14,,,,,
player,201010240nor,nor,ColsMa00,rec,10,,,,,
player,201010240nor,nor,ColsMa00,rec_yds,112,,,,,
player,201010240nor,nor,ColsMa00,rec_td,1,,,,,
player,201010240nor,nor,ColsMa00,rec_long,24,,,,,
player,201010240nor,nor,ColsMa00,fumbles,0,,,,,
player,201010240nor,nor,ColsMa00,fumbles_lost,,,,,,
player,201010240nor,nor,BettLa00,pass_cmp,0,,,,,
player,201010240nor,nor,BettLa00,pass_att,0,,,,,
player,201010240nor,nor,BettLa00,pass_yds,0,,,,,
player,201010240nor,nor,BettLa00,pass_td,0,,,,,
player,201010240nor,nor,BettLa00,pass_int,0,,,,,
player,201010240nor,nor,BettLa00,pass_sacked,,,,,,
player,201010240nor,nor,BettLa00,pass_sacked_yds,,,,,,
player,201010240nor,nor,BettLa00,pass_long,0,,,,,
player,201010240nor,nor,BettLa00,pass_rating,,,,,,
player,201010240nor,nor,BettLa00,rush_att,0,,,,,
player,201010240nor,nor,BettLa00,rush_yds,0,,,,,
player,201010240nor,nor,BettLa00,rush_td,0,,,,,
player,201010240nor,nor,BettLa00,rush_long,0,,,,,
player,201010240nor,nor,BettLa00,targets,10,,,,,
player,201010240nor,nor,BettLa00,rec,8,,,,,
player,201010240nor,nor,BettLa00,rec_yds,48,,,,,
player,201010240nor,nor,BettLa00,rec_td,0,,,,,
player,201010240nor,nor,BettLa00,rec_long,16,,,,,
player,201010240nor,nor,BettLa00,fumbles,0,,,,,
player,201010240nor,nor,BettLa00,fumbles_lost,,,,,,
