game,2010,17,20110102,201101020phi,dal,"Dallas Cowboys",14,phi,"Philadelphia Eagles",13
player,201101020phi,dal,BennMa00,pass_sacked_yds,,,,,,
player,201101020phi,dal,BennMa00,pass_long,0,,,,,
player,201101020phi,dal,BennMa00,pass_rating,,,,,,
player,201101020phi,dal,BennMa00,rush_att,0,,,,,
player,201101020phi,dal,BennMa00,rush_yds,0,,,,,
player,201101020phi,dal,BennMa00,rush_td,0,,,,,
player,201101020phi,dal,BennMa00,rush_long,0,,,,,
player,201101020phi,dal,BennMa00,targets,3,,,,,
player,201101020phi,dal,BennMa00,rec,2,,,,,
player,201101020phi,dal,BennMa00,rec_yds,11,,,,,
player,201101020phi,dal,BennMa00,rec_td,0,,,,,
player,201101020phi,dal,BennMa00,rec_long,11,,,,,
player,201101020phi,dal,BennMa00,fumbles,0,,,,,
player,201101020phi,dal,BennMa00,fumbles_lost,,,,,,
player,201101020phi,dal,WillRo04,pass_cmp,0,,,,,
player,201101020phi,dal,WillRo04,pass_att,0,,,,,
player,201101020phi,dal,WillRo04,pass_yds,0,,,,,
player,201101020phi,dal,WillRo04,pass_td,0,,,,,
player,201101020phi,dal,WillRo04,pass_int,0,,,,,
player,201101020phi,dal,WillRo04,pass_sacked,,,,,,
player,201101020phi,dal,WillRo04,pass_sacked_yds,,,,,,
player,201101020phi,dal,WillRo04,pass_long,0,,,,,
player,201101020phi,dal,WillRo04,pass_rating,,,,,,
player,201101020phi,dal,WillRo04,rush_att,0,,,,,
player,201101020phi,dal,WillRo04,rush_yds,0,,,,,
player,201101020phi,dal,WillRo04,rush_td,0,,,,,
player,201101020phi,dal,WillRo04,rush_long,0,,,,,
player,201101020phi,dal,WillRo04,targets,3,,,,,
player,201101020phi,dal,WillRo04,rec,1,,,,,
player,201101020phi,dal,WillRo04,rec_yds,6,,,,,
player,201101020phi,dal,WillRo04,rec_td,0,,,,,
player,201101020phi,dal,WillRo04,rec_long,6,,,,,
player,201101020phi,dal,WillRo04,fumbles,0,,,,,
player,201101020phi,dal,WillRo04,fumbles_lost,,,,,,
player,201101020phi,dal,JohnMa04,pass_cmp,0,,,,,
player,201101020phi,dal,JohnMa04,pass_att,0,,,,,
player,201101020phi,dal,JohnMa04,pass_yds,0,,,,,
player,201101020phi,dal,JohnMa04,pass_td,0,,,,,
player,201101020phi,dal,JohnMa04,pass_int,0,,,,,
player,201101020phi,dal,JohnMa04,pass_sacked,,,,,,
player,201101020phi,dal,JohnMa04,pass_sacked_yds,,,,,,
player,201101020phi,dal,JohnMa04,pass_long,0,,,,,
player,201101020phi,dal,JohnMa04,pass_rating,,,,,,
player,201101020phi,dal,JohnMa04,rush_att,0,,,,,
player,201101020phi,dal,JohnMa04,rush_yds,0,,,,,
player,201101020phi,dal,JohnMa04,rush_td,0,,,,,
player,201101020phi,dal,JohnMa04,rush_long,0,,,,,
player,201101020phi,dal,JohnMa04,targets,4,,,,,
player,201101020phi,dal,JohnMa04,rec,1,,,,,
player,201101020phi,dal,JohnMa04,rec_yds,6,,,,,
player,201101020phi,dal,JohnMa04,rec_td,0,,,,,
player,201101020phi,dal,JohnMa04,rec_long,6,,,,,
player,201101020phi,dal,JohnMa04,fumbles,0,,,,,
player,201101020phi,dal,JohnMa04,fumbles_lost,,,,,,
player,201101020phi,dal,AustMi00,pass_cmp,0,,,,,
player,201101020phi,dal,AustMi00,pass_att,0,,,,,
player,201101020phi,dal,AustMi00,pass_yds,0,,,,,
player,201101020phi,dal,AustMi00,pass_td,0,,,,,
player,201101020phi,dal,AustMi00,pass_int,0,,,,,
player,201101020phi,dal,AustMi00,pass_sacked,,,,,,
player,201101020phi,dal,AustMi00,pass_sacked_yds,,,,,,
player,201101020phi,dal,AustMi00,pass_long,0,,,,,
player,201101020phi,dal,AustMi00,pass_rating,,,,,,
player,201101020phi,dal,AustMi00,rush_att,1,,,,,
player,201101020phi,dal,AustMi00,rush_yds,-9,,,,,
player,201101020phi,dal,AustMi00,rush_td,0,,,,,
player,201101020phi,dal,AustMi00,rush_long,-9,,,,,
player,201101020phi,dal,AustMi00,targets,3,,,,,
player,201101020phi,dal,AustMi00,rec,2,,,,,
player,201101020phi,dal,AustMi00,rec_yds,62,,,,,
player,201101020phi,dal,AustMi00,rec_td,0,,,,,
player,201101020phi,dal,AustMi00,rec_long,31,,,,,
player,201101020phi,dal,AustMi00,fumbles,0,,,,,
player,201101020phi,dal,AustMi00,fumbles_lost,,,,,,
player,201101020phi,phi,KolbKe00,pass_cmp,18,,,,,
player,201101020phi,phi,KolbKe00,pass_att,36,,,,,
player,201101020phi,phi,KolbKe00,pass_yds,162,,,,,
player,201101020phi,phi,KolbKe00,pass_td,1,,,,,
player,201101020phi,phi,KolbKe00,pass_int,3,,,,,
player,201101020phi,phi,KolbKe00,pass_sacked,5,,,,,
player,201101020phi,phi,KolbKe00,pass_sacked_yds,39,,,,,
player,201101020phi,phi,KolbKe00,pass_long,48,,,,,
player,201101020phi,phi,KolbKe00,pass_rating,37.0,,,,,
player,201101020phi,phi,KolbKe00,rush_att,4,,,,,
player,201101020phi,phi,KolbKe00,rush_yds,9,,,,,
player,201101020phi,phi,KolbKe00,rush_td,0,,,,,
player,201101020phi,phi,KolbKe00,rush_long,10,,,,,
player,201101020phi,phi,KolbKe00,targets,0,,,,,
player,201101020phi,phi,KolbKe00,rec,0,,,,,
player,201101020phi,phi,KolbKe00,rec_yds,0,,,,,
player,201101020phi,phi,KolbKe00,rec_td,0,,,,,
player,201101020phi,phi,KolbKe00,rec_long,0,,,,,
player,201101020phi,phi,KolbKe00,fumbles,1,,,,,
player,201101020phi,phi,KolbKe00,fumbles_lost,1,,,,,
player,201101020phi,phi,HarrJe00,pass_cmp,0,,,,,
player,201101020phi,phi,HarrJe00,pass_att,0,,,,,
player,201101020phi,phi,HarrJe00,pass_yds,0,,,,,
player,201101020phi,phi,HarrJe00,pass_td,0,,,,,
player,201101020phi,phi,HarrJe00,pass_int,0,,,,,
player,201101020phi,phi,HarrJe00,pass_sacked,,,,,,
player,201101020phi,phi,HarrJe00,pass_sacked_yds,,,,,,
player,201101020phi,phi,HarrJe00,pass_long,0,,,,,
player,201101020phi,phi,HarrJe00,pass_rating,,,,,,
player,201101020phi,phi,HarrJe00,rush_att,21,,,,,
player,201101020phi,phi,HarrJe00,rush_yds,99,,,,,
player,201101020phi,phi,HarrJe00,rush_td,0,,,,,
player,201101020phi,phi,HarrJe00,rush_long,36,,,,,
player,201101020phi,phi,HarrJe00,targets,6,,,,,
player,201101020phi,phi,HarrJe00,rec,5,,,,,
player,201101020phi,phi,HarrJe00,rec_yds,17,,,,,
player,201101020phi,phi,HarrJe00,rec_td,0,,,,,
player,201101020phi,phi,HarrJe00,rec_long,8,,,,,
player,201101020phi,phi,HarrJe00,fumbles,1,,,,,
player,201101020phi,phi,HarrJe00,fumbles_lost,0,,,,,
player,201101020phi,phi,BuckEl00,pass_cmp,0,,,,,
player,201101020phi,phi,BuckEl00,pass_att,0,,,,,
player,201101020phi,phi,BuckEl00,pass_yds,0,,,,,
player,201101020phi,phi,BuckEl00,pass_td,0,,,,,
player,201101020phi,phi,BuckEl00,pass_int,0,,,,,
player,201101020phi,phi,BuckEl00,pass_sacked,,,,,,
player,201101020phi,phi,BuckEl00,pass_sacked_yds,,,,,,
player,201101020phi,phi,BuckEl00,pass_long,0,,,,,
player,201101020phi,phi,BuckEl00,pass_rating,,,,,,
player,201101020phi,phi,BuckEl00,rush_att,2,,,,,
player,201101020phi,phi,BuckEl00,rush_yds,11,,,,,
player,201101020phi,phi,BuckEl00,rush_td,0,,,,,
player,201101020phi,phi,BuckEl00,rush_long,10,,,,,
player,201101020phi,phi,BuckEl00,targets,1,,,,,
player,201101020phi,phi,BuckEl00,rec,0,,,,,
player,201101020phi,phi,BuckEl00,rec_yds,0,,,,,
player,201101020phi,phi,BuckEl00,rec_td,0,,,,,
player,201101020phi,phi,BuckEl00,rec_long,0,,,,,
player,201101020phi,phi,BuckEl00,fumbles,0,,,,,
player,201101020phi,phi,BuckEl00,fumbles_lost,,,,,,
player,201101020phi,phi,HallCh00,pass_cmp,0,,,,,
player,201101020phi,phi,HallCh00,pass_att,0,,,,,
player,201101020phi,phi,HallCh00,pass_yds,0,,,,,
player,201101020phi,phi,HallCh00,pass_td,0,,,,,
player,201101020phi,phi,HallCh00,pass_int,0,,,,,
player,201101020phi,phi,HallCh00,pass_sacked,,,,,,
player,201101020phi,phi,HallCh00,pass_sacked_yds,,,,,,
player,201101020phi,phi,HallCh00,pass_long,0,,,,,
player,201101020phi,phi,HallCh00,pass_rating,,,,,,
player,201101020phi,phi,HallCh00,rush_att,1,,,,,
player,201101020phi,phi,HallCh00,rush_yds,2,,,,,
player,201101020phi,phi,HallCh00,rush_td,0,,,,,
player,201101020phi,phi,HallCh00,rush_long,2,,,,,
player,201101020phi,phi,HallCh00,targets,8,,,,,
player,201101020phi,phi,HallCh00,rec,6,,,,,
player,201101020phi,phi,HallCh00,rec_yds,84,,,,,
player,201101020phi,phi,HallCh00,rec_td,1,,,,,
player,201101020phi,phi,HallCh00,rec_long,48,,,,,
player,201101020phi,phi,HallCh00,fumbles,0,,,,,
player,201101020phi,phi,HallCh00,fumbles_lost,,,,,,
player,201101020phi,phi,HarbCl00,pass_cmp,0,,,,,
player,201101020phi,phi,HarbCl00,pass_att,0,,,,,
player,201101020phi,phi,HarbCl00,pass_yds,0,,,,,
player,201101020phi,phi,HarbCl00,pass_td,0,,,,,
player,201101020phi,phi,HarbCl00,pass_int,0,,,,,
player,201101020phi,phi,HarbCl00,pass_sacked,,,,,,
player,201101020phi,phi,HarbCl00,pass_sacked_yds,,,,,,
player,201101020phi,phi,HarbCl00,pass_long,0,,,,,
player,201101020phi,phi,HarbCl00,pass_rating,,,,,,
player,201101020phi,phi,HarbCl00,rush_att,0,,,,,
player,201101020phi,phi,HarbCl00,rush_yds,0,,,,,
player,201101020phi,phi,HarbCl00,rush_td,0,,,,,
player,201101020phi,phi,HarbCl00,rush_long,0,,,,,
player,201101020phi,phi,HarbCl00,targets,9,,,,,
player,201101020phi,phi,HarbCl00,rec,4,,,,,
player,201101020phi,phi,HarbCl00,rec_yds,32,,,,,
player,201101020phi,phi,HarbCl00,rec_td,0,,,,,
player,201101020phi,phi,HarbCl00,rec_long,18,,,,,
player,201101020phi,phi,HarbCl00,fumbles,0,,,,,
player,201101020phi,phi,HarbCl00,fumbles_lost,,,,,,
player,201101020phi,phi,AvanJa00,pass_cmp,0,,,,,
player,201101020phi,phi,AvanJa00,pass_att,0,,,,,
player,201101020phi,phi,AvanJa00,pass_yds,0,,,,,
player,201101020phi,phi,AvanJa00,pass_td,0,,,,,
player,201101020phi,phi,AvanJa00,pass_int,0,,,,,
player,201101020phi,phi,AvanJa00,pass_sacked,,,,,,
player,201101020phi,phi,AvanJa00,pass_sacked_yds,,,,,,
player,201101020phi,phi,AvanJa00,pass_long,0,,,,,
player,201101020phi,phi,AvanJa00,pass_rating,,,,,,
player,201101020phi,phi,AvanJa00,rush_att,0,,,,,
