game,2010,16,20101226,201012260tam,sea,"Seattle Seahawks",15,tam,"Tampa Bay Buccaneers",38
player,201012260tam,sea,CarlJo00,rush_yds,0,,,,,
player,201012260tam,sea,CarlJo00,rush_td,0,,,,,
player,201012260tam,sea,CarlJo00,rush_long,0,,,,,
player,201012260tam,sea,CarlJo00,targets,4,,,,,
player,201012260tam,sea,CarlJo00,rec,3,,,,,
player,201012260tam,sea,CarlJo00,rec_yds,27,,,,,
player,201012260tam,sea,CarlJo00,rec_td,0,,,,,
player,201012260tam,sea,CarlJo00,rec_long,12,,,,,
player,201012260tam,sea,CarlJo00,fumbles,0,,,,,
player,201012260tam,sea,CarlJo00,fumbles_lost,,,,,,
player,201012260tam,sea,ObomBe00,pass_cmp,0,,,,,
player,201012260tam,sea,ObomBe00,pass_att,0,,,,,
player,201012260tam,sea,ObomBe00,pass_yds,0,,,,,
player,201012260tam,sea,ObomBe00,pass_td,0,,,,,
player,201012260tam,sea,ObomBe00,pass_int,0,,,,,
player,201012260tam,sea,ObomBe00,pass_sacked,,,,,,
player,201012260tam,sea,ObomBe00,pass_sacked_yds,,,,,,
player,201012260tam,sea,ObomBe00,pass_long,0,,,,,
player,201012260tam,sea,ObomBe00,pass_rating,,,,,,
player,201012260tam,sea,ObomBe00,rush_att,0,,,,,
player,201012260tam,sea,ObomBe00,rush_yds,0,,,,,
player,201012260tam,sea,ObomBe00,rush_td,0,,,,,
player,201012260tam,sea,ObomBe00,rush_long,0,,,,,
player,201012260tam,sea,ObomBe00,targets,4,,,,,
player,201012260tam,sea,ObomBe00,rec,2,,,,,
player,201012260tam,sea,ObomBe00,rec_yds,18,,,,,
player,201012260tam,sea,ObomBe00,rec_td,0,,,,,
player,201012260tam,sea,ObomBe00,rec_long,14,,,,,
player,201012260tam,sea,ObomBe00,fumbles,0,,,,,
player,201012260tam,sea,ObomBe00,fumbles_lost,,,,,,
player,201012260tam,sea,WillMi03,pass_cmp,0,,,,,
player,201012260tam,sea,WillMi03,pass_att,0,,,,,
player,201012260tam,sea,WillMi03,pass_yds,0,,,,,
player,201012260tam,sea,WillMi03,pass_td,0,,,,,
player,201012260tam,sea,WillMi03,pass_int,0,,,,,
player,201012260tam,sea,WillMi03,pass_sacked,,,,,,
player,201012260tam,sea,WillMi03,pass_sacked_yds,,,,,,
player,201012260tam,sea,WillMi03,pass_long,0,,,,,
player,201012260tam,sea,WillMi03,pass_rating,,,,,,
player,201012260tam,sea,WillMi03,rush_att,0,,,,,
player,201012260tam,sea,WillMi03,rush_yds,0,,,,,
player,201012260tam,sea,WillMi03,rush_td,0,,,,,
player,201012260tam,sea,WillMi03,rush_long,0,,,,,
player,201012260tam,sea,WillMi03,targets,4,,,,,
player,201012260tam,sea,WillMi03,rec,2,,,,,
player,201012260tam,sea,WillMi03,rec_yds,15,,,,,
player,201012260tam,sea,WillMi03,rec_td,0,,,,,
player,201012260tam,sea,WillMi03,rec_long,9,,,,,
player,201012260tam,sea,WillMi03,fumbles,0,,,,,
player,201012260tam,sea,WillMi03,fumbles_lost,,,,,,
player,201012260tam,sea,TateGo00,pass_cmp,0,,,,,
player,201012260tam,sea,TateGo00,pass_att,0,,,,,
player,201012260tam,sea,TateGo00,pass_yds,0,,,,,
player,201012260tam,sea,TateGo00,pass_td,0,,,,,
player,201012260tam,sea,TateGo00,pass_int,0,,,,,
player,201012260tam,sea,TateGo00,pass_sacked,,,,,,
player,201012260tam,sea,TateGo00,pass_sacked_yds,,,,,,
player,201012260tam,sea,TateGo00,pass_long,0,,,,,
player,201012260tam,sea,TateGo00,pass_rating,,,,,,
player,201012260tam,sea,TateGo00,rush_att,0,,,,,
player,201012260tam,sea,TateGo00,rush_yds,0,,,,,
player,201012260tam,sea,TateGo00,rush_td,0,,,,,
player,201012260tam,sea,TateGo00,rush_long,0,,,,,
player,201012260tam,sea,TateGo00,targets,3,,,,,
player,201012260tam,sea,TateGo00,rec,3,,,,,
player,201012260tam,sea,TateGo00,rec_yds,10,,,,,
player,201012260tam,sea,TateGo00,rec_td,0,,,,,
player,201012260tam,sea,TateGo00,rec_long,5,,,,,
player,201012260tam,sea,TateGo00,fumbles,0,,,,,
player,201012260tam,sea,TateGo00,fumbles_lost,,,,,,
player,201012260tam,sea,MorrCa00,pass_cmp,0,,,,,
player,201012260tam,sea,MorrCa00,pass_att,0,,,,,
player,201012260tam,sea,MorrCa00,pass_yds,0,,,,,
player,201012260tam,sea,MorrCa00,pass_td,0,,,,,
player,201012260tam,sea,MorrCa00,pass_int,0,,,,,
player,201012260tam,sea,MorrCa00,pass_sacked,,,,,,
player,201012260tam,sea,MorrCa00,pass_sacked_yds,,,,,,
player,201012260tam,sea,MorrCa00,pass_long,0,,,,,
player,201012260tam,sea,MorrCa00,pass_rating,,,,,,
player,201012260tam,sea,MorrCa00,rush_att,0,,,,,
player,201012260tam,sea,MorrCa00,rush_yds,0,,,,,
player,201012260tam,sea,MorrCa00,rush_td,0,,,,,
player,201012260tam,sea,MorrCa00,rush_long,0,,,,,
player,201012260tam,sea,MorrCa00,targets,3,,,,,
player,201012260tam,sea,MorrCa00,rec,1,,,,,
player,201012260tam,sea,MorrCa00,rec_yds,9,,,,,
player,201012260tam,sea,MorrCa00,rec_td,0,,,,,
