game,2010,12,20101128,201011280was,min,"Minnesota Vikings",17,was,"Washington Redskins",13
player,201011280was,was,CoolCh00,rush_att,0,,,,,
player,201011280was,was,CoolCh00,rush_yds,0,,,,,
player,201011280was,was,CoolCh00,rush_td,0,,,,,
player,201011280was,was,CoolCh00,rush_long,0,,,,,
player,201011280was,was,CoolCh00,targets,8,,,,,
player,201011280was,was,CoolCh00,rec,5,,,,,
player,201011280was,was,CoolCh00,rec_yds,49,,,,,
player,201011280was,was,CoolCh00,rec_td,0,,,,,
player,201011280was,was,CoolCh00,rec_long,19,,,,,
player,201011280was,was,CoolCh00,fumbles,0,,,,,
player,201011280was,was,CoolCh00,fumbles_lost,,,,,,
player,201011280was,was,MossSa00,pass_cmp,0,,,,,
player,201011280was,was,MossSa00,pass_att,0,,,,,
player,201011280was,was,MossSa00,pass_yds,0,,,,,
player,201011280was,was,MossSa00,pass_td,0,,,,,
player,201011280was,was,MossSa00,pass_int,0,,,,,
player,201011280was,was,MossSa00,pass_sacked,,,,,,
player,201011280was,was,MossSa00,pass_sacked_yds,,,,,,
player,201011280was,was,MossSa00,pass_long,0,,,,,
player,201011280was,was,MossSa00,pass_rating,,,,,,
player,201011280was,was,MossSa00,rush_att,0,,,,,
player,201011280was,was,MossSa00,rush_yds,0,,,,,
player,201011280was,was,MossSa00,rush_td,0,,,,,
player,201011280was,was,MossSa00,rush_long,0,,,,,
player,201011280was,was,MossSa00,targets,7,,,,,
player,201011280was,was,MossSa00,rec,5,,,,,
player,201011280was,was,MossSa00,rec_yds,40,,,,,
player,201011280was,was,MossSa00,rec_td,0,,,,,
player,201011280was,was,MossSa00,rec_long,15,,,,,
player,201011280was,was,MossSa00,fumbles,0,,,,,
player,201011280was,was,MossSa00,fumbles_lost,,,,,,
player,201011280was,was,DaviFr01,pass_cmp,0,,,,,
player,201011280was,was,DaviFr01,pass_att,0,,,,,
player,201011280was,was,DaviFr01,pass_yds,0,,,,,
player,201011280was,was,DaviFr01,pass_td,0,,,,,
player,201011280was,was,DaviFr01,pass_int,0,,,,,
