game,2010,3,20100926,201009260sea,sdg,"San Diego Chargers",20,sea,"Seattle Seahawks",27
player,201009260sea,sdg,NaanLe00,pass_att,0,,,,,
player,201009260sea,sdg,NaanLe00,pass_yds,0,,,,,
player,201009260sea,sdg,NaanLe00,pass_td,0,,,,,
player,201009260sea,sdg,NaanLe00,pass_int,0,,,,,
player,201009260sea,sdg,NaanLe00,pass_sacked,,,,,,
player,201009260sea,sdg,NaanLe00,pass_sacked_yds,,,,,,
player,201009260sea,sdg,NaanLe00,pass_long,0,,,,,
player,201009260sea,sdg,NaanLe00,pass_rating,,,,,,
player,201009260sea,sdg,NaanLe00,rush_att,2,,,,,
player,201009260sea,sdg,NaanLe00,rush_yds,-2,,,,,
player,201009260sea,sdg,NaanLe00,rush_td,0,,,,,
player,201009260sea,sdg,NaanLe00,rush_long,5,,,,,
player,201009260sea,sdg,NaanLe00,targets,8,,,,,
player,201009260sea,sdg,NaanLe00,rec,4,,,,,
player,201009260sea,sdg,NaanLe00,rec_yds,53,,,,,
player,201009260sea,sdg,NaanLe00,rec_td,0,,,,,
player,201009260sea,sdg,NaanLe00,rec_long,20,,,,,
player,201009260sea,sdg,NaanLe00,fumbles,1,,,,,
player,201009260sea,sdg,NaanLe00,fumbles_lost,1,,,,,
player,201009260sea,sea,HassMa00,pass_cmp,19,,,,,
player,201009260sea,sea,HassMa00,pass_att,32,,,,,
player,201009260sea,sea,HassMa00,pass_yds,220,,,,,
player,201009260sea,sea,HassMa00,pass_td,1,,,,,
player,201009260sea,sea,HassMa00,pass_int,1,,,,,
player,201009260sea,sea,HassMa00,pass_sacked,3,,,,,
player,201009260sea,sea,HassMa00,pass_sacked_yds,17,,,,,
player,201009260sea,sea,HassMa00,pass_long,41,,,,,
player,201009260sea,sea,HassMa00,pass_rating,77.6,,,,,
player,201009260sea,sea,HassMa00,rush_att,3,,,,,
player,201009260sea,sea,HassMa00,rush_yds,5,,,,,
player,201009260sea,sea,HassMa00,rush_td,0,,,,,
player,201009260sea,sea,HassMa00,rush_long,5,,,,,
player,201009260sea,sea,HassMa00,targets,0,,,,,
player,201009260sea,sea,HassMa00,rec,0,,,,,
player,201009260sea,sea,HassMa00,rec_yds,0,,,,,
player,201009260sea,sea,HassMa00,rec_td,0,,,,,
player,201009260sea,sea,HassMa00,rec_long,0,,,,,
player,201009260sea,sea,HassMa00,fumbles,0,,,,,
player,201009260sea,sea,HassMa00,fumbles_lost,,,,,,
