game,2010,16,20101223,201012230pit,car,"Carolina Panthers",3,pit,"Pittsburgh Steelers",27
player,201012230pit,car,KingJe00,rec_long,9,,,,,
player,201012230pit,car,KingJe00,fumbles,0,,,,,
player,201012230pit,car,KingJe00,fumbles_lost,,,,,,
player,201012230pit,car,GettDa00,pass_cmp,0,,,,,
player,201012230pit,car,GettDa00,pass_att,0,,,,,
player,201012230pit,car,GettDa00,pass_yds,0,,,,,
player,201012230pit,car,GettDa00,pass_td,0,,,,,
player,201012230pit,car,GettDa00,pass_int,0,,,,,
player,201012230pit,car,GettDa00,pass_sacked,,,,,,
player,201012230pit,car,GettDa00,pass_sacked_yds,,,,,,
player,201012230pit,car,GettDa00,pass_long,0,,,,,
player,201012230pit,car,GettDa00,pass_rating,,,,,,
player,201012230pit,car,GettDa00,rush_att,0,,,,,
player,201012230pit,car,GettDa00,rush_yds,0,,,,,
player,201012230pit,car,GettDa00,rush_td,0,,,,,
player,201012230pit,car,GettDa00,rush_long,0,,,,,
player,201012230pit,car,GettDa00,targets,3,,,,,
player,201012230pit,car,GettDa00,rec,1,,,,,
player,201012230pit,car,GettDa00,rec_yds,5,,,,,
player,201012230pit,car,GettDa00,rec_td,0,,,,,
player,201012230pit,car,GettDa00,rec_long,5,,,,,
player,201012230pit,car,GettDa00,fumbles,0,,,,,
player,201012230pit,car,GettDa00,fumbles_lost,,,,,,
player,201012230pit,car,RosaDa00,pass_cmp,0,,,,,
player,201012230pit,car,RosaDa00,pass_att,0,,,,,
player,201012230pit,car,RosaDa00,pass_yds,0,,,,,
player,201012230pit,car,RosaDa00,pass_td,0,,,,,
player,201012230pit,car,RosaDa00,pass_int,0,,,,,
player,201012230pit,car,RosaDa00,pass_sacked,,,,,,
player,201012230pit,car,RosaDa00,pass_sacked_yds,,,,,,
player,201012230pit,car,RosaDa00,pass_long,0,,,,,
player,201012230pit,car,RosaDa00,pass_rating,,,,,,
player,201012230pit,car,RosaDa00,rush_att,0,,,,,
player,201012230pit,car,RosaDa00,rush_yds,0,,,,,
player,201012230pit,car,RosaDa00,rush_td,0,,,,,
player,201012230pit,car,RosaDa00,rush_long,0,,,,,
player,201012230pit,car,RosaDa00,targets,5,,,,,
player,201012230pit,car,RosaDa00,rec,1,,,,,
player,201012230pit,car,RosaDa00,rec_yds,3,,,,,
player,201012230pit,car,RosaDa00,rec_td,0,,,,,
player,201012230pit,car,RosaDa00,rec_long,3,,,,,
player,201012230pit,car,RosaDa00,fumbles,0,,,,,
player,201012230pit,car,RosaDa00,fumbles_lost,,,,,,
player,201012230pit,car,LaFeBr00,pass_cmp,,,,,,
player,201012230pit,car,LaFeBr00,pass_att,,,,,,
player,201012230pit,car,LaFeBr00,pass_yds,,,,,,
player,201012230pit,car,LaFeBr00,pass_td,,,,,,
player,201012230pit,car,LaFeBr00,pass_int,,,,,,
player,201012230pit,car,LaFeBr00,pass_sacked,0,,,,,
player,201012230pit,car,LaFeBr00,pass_sacked_yds,,,,,,
player,201012230pit,car,LaFeBr00,pass_long,,,,,,
player,201012230pit,car,LaFeBr00,pass_rating,,,,,,
player,201012230pit,car,LaFeBr00,rush_att,,,,,,
player,201012230pit,car,LaFeBr00,rush_yds,,,,,,
player,201012230pit,car,LaFeBr00,rush_td,,,,,,
player,201012230pit,car,LaFeBr00,rush_long,,,,,,
player,201012230pit,car,LaFeBr00,targets,2,,,,,
player,201012230pit,car,LaFeBr00,rec,0,,,,,
player,201012230pit,car,LaFeBr00,rec_yds,0,,,,,
player,201012230pit,car,LaFeBr00,rec_td,0,,,,,
player,201012230pit,car,LaFeBr00,rec_long,,,,,,
player,201012230pit,car,LaFeBr00,fumbles,,,,,,
player,201012230pit,car,LaFeBr00,fumbles_lost,,,,,,
player,201012230pit,pit,RoetBe00,pass_cmp,22,,,,,
player,201012230pit,pit,RoetBe00,pass_att,32,,,,,
player,201012230pit,pit,RoetBe00,pass_yds,320,,,,,
player,201012230pit,pit,RoetBe00,pass_td,1,,,,,
player,201012230pit,pit,RoetBe00,pass_int,0,,,,,
player,201012230pit,pit,RoetBe00,pass_sacked,3,,,,,
player,201012230pit,pit,RoetBe00,pass_sacked_yds,27,,,,,
player,201012230pit,pit,RoetBe00,pass_long,43,,,,,
player,201012230pit,pit,RoetBe00,pass_rating,111.5,,,,,
player,201012230pit,pit,RoetBe00,rush_att,7,,,,,
player,201012230pit,pit,RoetBe00,rush_yds,2,,,,,
player,201012230pit,pit,RoetBe00,rush_td,1,,,,,
player,201012230pit,pit,RoetBe00,rush_long,3,,,,,
player,201012230pit,pit,RoetBe00,targets,0,,,,,
player,201012230pit,pit,RoetBe00,rec,0,,,,,
player,201012230pit,pit,RoetBe00,rec_yds,0,,,,,
player,201012230pit,pit,RoetBe00,rec_td,0,,,,,
player,201012230pit,pit,RoetBe00,rec_long,0,,,,,
player,201012230pit,pit,RoetBe00,fumbles,1,,,,,
player,201012230pit,pit,RoetBe00,fumbles_lost,2,,,,,
player,201012230pit,pit,MendRa00,pass_cmp,0,,,,,
player,201012230pit,pit,MendRa00,pass_att,0,,,,,
player,201012230pit,pit,MendRa00,pass_yds,0,,,,,
player,201012230pit,pit,MendRa00,pass_td,0,,,,,
player,201012230pit,pit,MendRa00,pass_int,0,,,,,
player,201012230pit,pit,MendRa00,pass_sacked,,,,,,
player,201012230pit,pit,MendRa00,pass_sacked_yds,,,,,,
player,201012230pit,pit,MendRa00,pass_long,0,,,,,
player,201012230pit,pit,MendRa00,pass_rating,,,,,,
player,201012230pit,pit,MendRa00,rush_att,18,,,,,
player,201012230pit,pit,MendRa00,rush_yds,65,,,,,
player,201012230pit,pit,MendRa00,rush_td,1,,,,,
player,201012230pit,pit,MendRa00,rush_long,35,,,,,
player,201012230pit,pit,MendRa00,targets,2,,,,,
player,201012230pit,pit,MendRa00,rec,2,,,,,
player,201012230pit,pit,MendRa00,rec_yds,18,,,,,
player,201012230pit,pit,MendRa00,rec_td,0,,,,,
player,201012230pit,pit,MendRa00,rec_long,18,,,,,
player,201012230pit,pit,MendRa00,fumbles,0,,,,,
player,201012230pit,pit,MendRa00,fumbles_lost,,,,,,
player,201012230pit,pit,RedmIs20,pass_cmp,0,,,,,
player,201012230pit,pit,RedmIs20,pass_att,0,,,,,
player,201012230pit,pit,RedmIs20,pass_yds,0,,,,,
player,201012230pit,pit,RedmIs20,pass_td,0,,,,,
player,201012230pit,pit,RedmIs20,pass_int,0,,,,,
player,201012230pit,pit,RedmIs20,pass_sacked,,,,,,
player,201012230pit,pit,RedmIs20,pass_sacked_yds,,,,,,
player,201012230pit,pit,RedmIs20,pass_long,0,,,,,
player,201012230pit,pit,RedmIs20,pass_rating,,,,,,
player,201012230pit,pit,RedmIs20,rush_att,4,,,,,
player,201012230pit,pit,RedmIs20,rush_yds,43,,,,,
player,201012230pit,pit,RedmIs20,rush_td,0,,,,,
player,201012230pit,pit,RedmIs20,rush_long,23,,,,,
player,201012230pit,pit,RedmIs20,targets,1,,,,,
player,201012230pit,pit,RedmIs20,rec,1,,,,,
player,201012230pit,pit,RedmIs20,rec_yds,2,,,,,
player,201012230pit,pit,RedmIs20,rec_td,0,,,,,
player,201012230pit,pit,RedmIs20,rec_long,2,,,,,
player,201012230pit,pit,RedmIs20,fumbles,1,,,,,
player,201012230pit,pit,RedmIs20,fumbles_lost,,,,,,
player,201012230pit,pit,MoorMe00,pass_cmp,0,,,,,
player,201012230pit,pit,MoorMe00,pass_att,0,,,,,
player,201012230pit,pit,MoorMe00,pass_yds,0,,,,,
player,201012230pit,pit,MoorMe00,pass_td,0,,,,,
player,201012230pit,pit,MoorMe00,pass_int,0,,,,,
player,201012230pit,pit,MoorMe00,pass_sacked,,,,,,
player,201012230pit,pit,MoorMe00,pass_sacked_yds,,,,,,
player,201012230pit,pit,MoorMe00,pass_long,0,,,,,
player,201012230pit,pit,MoorMe00,pass_rating,,,,,,
player,201012230pit,pit,MoorMe00,rush_att,4,,,,,
player,201012230pit,pit,MoorMe00,rush_yds,5,,,,,
player,201012230pit,pit,MoorMe00,rush_td,0,,,,,
player,201012230pit,pit,MoorMe00,rush_long,2,,,,,
player,201012230pit,pit,MoorMe00,targets,1,,,,,
player,201012230pit,pit,MoorMe00,rec,1,,,,,
player,201012230pit,pit,MoorMe00,rec_yds,11,,,,,
player,201012230pit,pit,MoorMe00,rec_td,0,,,,,
player,201012230pit,pit,MoorMe00,rec_long,11,,,,,
player,201012230pit,pit,MoorMe00,fumbles,0,,,,,
player,201012230pit,pit,MoorMe00,fumbles_lost,,,,,,
player,201012230pit,pit,WallMi00,pass_cmp,0,,,,,
player,201012230pit,pit,WallMi00,pass_att,0,,,,,
player,201012230pit,pit,WallMi00,pass_yds,0,,,,,
player,201012230pit,pit,WallMi00,pass_td,0,,,,,
player,201012230pit,pit,WallMi00,pass_int,0,,,,,
player,201012230pit,pit,WallMi00,pass_sacked,,,,,,
player,201012230pit,pit,WallMi00,pass_sacked_yds,,,,,,
player,201012230pit,pit,WallMi00,pass_long,0,,,,,
player,201012230pit,pit,WallMi00,pass_rating,,,,,,
player,201012230pit,pit,WallMi00,rush_att,0,,,,,
player,201012230pit,pit,WallMi00,rush_yds,0,,,,,
player,201012230pit,pit,WallMi00,rush_td,0,,,,,
player,201012230pit,pit,WallMi00,rush_long,0,,,,,
player,201012230pit,pit,WallMi00,targets,6,,,,,
player,201012230pit,pit,WallMi00,rec,4,,,,,
player,201012230pit,pit,WallMi00,rec_yds,104,,,,,
player,201012230pit,pit,WallMi00,rec_td,1,,,,,
player,201012230pit,pit,WallMi00,rec_long,43,,,,,
player,201012230pit,pit,WallMi00,fumbles,0,,,,,
player,201012230pit,pit,WallMi00,fumbles_lost,,,,,,
player,201012230pit,pit,MillHe00,pass_cmp,0,,,,,
player,201012230pit,pit,MillHe00,pass_att,0,,,,,
player,201012230pit,pit,MillHe00,pass_yds,0,,,,,
player,201012230pit,pit,MillHe00,pass_td,0,,,,,
player,201012230pit,pit,MillHe00,pass_int,0,,,,,
player,201012230pit,pit,MillHe00,pass_sacked,,,,,,
player,201012230pit,pit,MillHe00,pass_sacked_yds,,,,,,
player,201012230pit,pit,MillHe00,pass_long,0,,,,,
player,201012230pit,pit,MillHe00,pass_rating,,,,,,
player,201012230pit,pit,MillHe00,rush_att,0,,,,,
player,201012230pit,pit,MillHe00,rush_yds,0,,,,,
player,201012230pit,pit,MillHe00,rush_td,0,,,,,
player,201012230pit,pit,MillHe00,rush_long,0,,,,,
player,201012230pit,pit,MillHe00,targets,6,,,,,
player,201012230pit,pit,MillHe00,rec,5,,,,,
player,201012230pit,pit,MillHe00,rec_yds,73,,,,,
player,201012230pit,pit,MillHe00,rec_td,0,,,,,
player,201012230pit,pit,MillHe00,rec_long,20,,,,,
player,201012230pit,pit,MillHe00,fumbles,0,,,,,
player,201012230pit,pit,MillHe00,fumbles_lost,,,,,,
player,201012230pit,pit,SandEm00,pass_cmp,0,,,,,
player,201012230pit,pit,SandEm00,pass_att,0,,,,,
player,201012230pit,pit,SandEm00,pass_yds,0,,,,,
player,201012230pit,pit,SandEm00,pass_td,0,,,,,
player,201012230pit,pit,SandEm00,pass_int,0,,,,,
player,201012230pit,pit,SandEm00,pass_sacked,,,,,,
player,201012230pit,pit,SandEm00,pass_sacked_yds,,,,,,
player,201012230pit,pit,SandEm00,pass_long,0,,,,,
player,201012230pit,pit,SandEm00,pass_rating,,,,,,
player,201012230pit,pit,SandEm00,rush_att,0,,,,,
player,201012230pit,pit,SandEm00,rush_yds,0,,,,,
player,201012230pit,pit,SandEm00,rush_td,0,,,,,
player,201012230pit,pit,SandEm00,rush_long,0,,,,,
player,201012230pit,pit,SandEm00,targets,5,,,,,
player,201012230pit,pit,SandEm00,rec,4,,,,,
player,201012230pit,pit,SandEm00,rec_yds,54,,,,,
player,201012230pit,pit,SandEm00,rec_td,0,,,,,
player,201012230pit,pit,SandEm00,rec_long,35,,,,,
player,201012230pit,pit,SandEm00,fumbles,0,,,,,
player,201012230pit,pit,SandEm00,fumbles_lost,,,,,,
player,201012230pit,pit,WardHi00,pass_cmp,0,,,,,
player,201012230pit,pit,WardHi00,pass_att,0,,,,,
player,201012230pit,pit,WardHi00,pass_yds,0,,,,,
player,201012230pit,pit,WardHi00,pass_td,0,,,,,
player,201012230pit,pit,WardHi00,pass_int,0,,,,,
player,201012230pit,pit,WardHi00,pass_sacked,,,,,,
player,201012230pit,pit,WardHi00,pass_sacked_yds,,,,,,
player,201012230pit,pit,WardHi00,pass_long,0,,,,,
player,201012230pit,pit,WardHi00,pass_rating,,,,,,
player,201012230pit,pit,WardHi00,rush_att,0,,,,,
player,201012230pit,pit,WardHi00,rush_yds,0,,,,,
player,201012230pit,pit,WardHi00,rush_td,0,,,,,
player,201012230pit,pit,WardHi00,rush_long,0,,,,,
player,201012230pit,pit,WardHi00,targets,8,,,,,
player,201012230pit,pit,WardHi00,rec,3,,,,,
player,201012230pit,pit,WardHi00,rec_yds,38,,,,,
player,201012230pit,pit,WardHi00,rec_td,0,,,,,
player,201012230pit,pit,WardHi00,rec_long,23,,,,,
player,201012230pit,pit,WardHi00,fumbles,0,,,,,
player,201012230pit,pit,WardHi00,fumbles_lost,,,,,,
player,201012230pit,pit,BrowAn04,pass_cmp,0,,,,,
player,201012230pit,pit,BrowAn04,pass_att,0,,,,,
player,201012230pit,pit,BrowAn04,pass_yds,0,,,,,
player,201012230pit,pit,BrowAn04,pass_td,0,,,,,
player,201012230pit,pit,BrowAn04,pass_int,0,,,,,
player,201012230pit,pit,BrowAn04,pass_sacked,,,,,,
player,201012230pit,pit,BrowAn04,pass_sacked_yds,,,,,,
player,201012230pit,pit,BrowAn04,pass_long,0,,,,,
player,201012230pit,pit,BrowAn04,pass_rating,,,,,,
player,201012230pit,pit,BrowAn04,rush_att,0,,,,,
player,201012230pit,pit,BrowAn04,rush_yds,0,,,,,
player,201012230pit,pit,BrowAn04,rush_td,0,,,,,
player,201012230pit,pit,BrowAn04,rush_long,0,,,,,
player,201012230pit,pit,BrowAn04,targets,2,,,,,
player,201012230pit,pit,BrowAn04,rec,2,,,,,
player,201012230pit,pit,BrowAn04,rec_yds,20,,,,,
player,201012230pit,pit,BrowAn04,rec_td,0,,,,,
player,201012230pit,pit,BrowAn04,rec_long,13,,,,,
player,201012230pit,pit,BrowAn04,fumbles,0,,,,,
player,201012230pit,pit,BrowAn04,fumbles_lost,,,,,,
player,201012230pit,car,JohnCh98,def_int,0,,,,,
player,201012230pit,car,JohnCh98,def_int_yds,0,,,,,
player,201012230pit,car,JohnCh98,def_int_td,0,,,,,
player,201012230pit,car,JohnCh98,def_int_long,0,,,,,
player,201012230pit,car,JohnCh98,pass_defended,0,,,,,
player,201012230pit,car,JohnCh98,sacks,2.0,,,,,
player,201012230pit,car,JohnCh98,tackles_combined,4,,,,,
player,201012230pit,car,JohnCh98,tackles_solo,4,,,,,
player,201012230pit,car,JohnCh98,tackles_assists,0,,,,,
player,201012230pit,car,JohnCh98,tackles_loss,2,,,,,
player,201012230pit,car,JohnCh98,qb_hits,3,,,,,
player,201012230pit,car,JohnCh98,fumbles_rec,0,,,,,
player,201012230pit,car,JohnCh98,fumbles_rec_yds,0,,,,,
player,201012230pit,car,JohnCh98,fumbles_rec_td,0,,,,,
player,201012230pit,car,JohnCh98,fumbles_forced,0,,,,,
player,201012230pit,car,LandDe99,def_int,0,,,,,
player,201012230pit,car,LandDe99,def_int_yds,0,,,,,
player,201012230pit,car,LandDe99,def_int_td,0,,,,,
player,201012230pit,car,LandDe99,def_int_long,0,,,,,
player,201012230pit,car,LandDe99,pass_defended,0,,,,,
player,201012230pit,car,LandDe99,sacks,1.0,,,,,
player,201012230pit,car,LandDe99,tackles_combined,3,,,,,
player,201012230pit,car,LandDe99,tackles_solo,2,,,,,
player,201012230pit,car,LandDe99,tackles_assists,1,,,,,
player,201012230pit,car,LandDe99,tackles_loss,2,,,,,
player,201012230pit,car,LandDe99,qb_hits,1,,,,,
player,201012230pit,car,LandDe99,fumbles_rec,1,,,,,
player,201012230pit,car,LandDe99,fumbles_rec_yds,0,,,,,
player,201012230pit,car,LandDe99,fumbles_rec_td,0,,,,,
player,201012230pit,car,LandDe99,fumbles_forced,0,,,,,
player,201012230pit,car,MarsRi20,def_int,0,,,,,
player,201012230pit,car,MarsRi20,def_int_yds,0,,,,,
player,201012230pit,car,MarsRi20,def_int_td,0,,,,,
player,201012230pit,car,MarsRi20,def_int_long,0,,,,,
player,201012230pit,car,MarsRi20,pass_defended,0,,,,,
player,201012230pit,car,MarsRi20,sacks,0.0,,,,,
player,201012230pit,car,MarsRi20,tackles_combined,9,,,,,
player,201012230pit,car,MarsRi20,tackles_solo,7,,,,,
player,201012230pit,car,MarsRi20,tackles_assists,2,,,,,
player,201012230pit,car,MarsRi20,tackles_loss,0,,,,,
player,201012230pit,car,MarsRi20,qb_hits,0,,,,,
player,201012230pit,car,MarsRi20,fumbles_rec,0,,,,,
player,201012230pit,car,MarsRi20,fumbles_rec_yds,0,,,,,
player,201012230pit,car,MarsRi20,fumbles_rec_td,0,,,,,
player,201012230pit,car,MarsRi20,fumbles_forced,0,,,,,
player,201012230pit,car,HarrNi99,def_int,0,,,,,
player,201012230pit,car,HarrNi99,def_int_yds,0,,,,,
player,201012230pit,car,HarrNi99,def_int_td,0,,,,,
player,201012230pit,car,HarrNi99,def_int_long,0,,,,,
player,201012230pit,car,HarrNi99,pass_defended,0,,,,,
player,201012230pit,car,HarrNi99,sacks,0.0,,,,,
player,201012230pit,car,HarrNi99,tackles_combined,8,,,,,
player,201012230pit,car,HarrNi99,tackles_solo,7,,,,,
player,201012230pit,car,HarrNi99,tackles_assists,1,,,,,
player,201012230pit,car,HarrNi99,tackles_loss,0,,,,,
player,201012230pit,car,HarrNi99,qb_hits,0,,,,,
player,201012230pit,car,HarrNi99,fumbles_rec,1,,,,,
player,201012230pit,car,HarrNi99,fumbles_rec_yds,0,,,,,
player,201012230pit,car,HarrNi99,fumbles_rec_td,0,,,,,
player,201012230pit,car,HarrNi99,fumbles_forced,0,,,,,
player,201012230pit,car,AndeJa21,def_int,0,,,,,
player,201012230pit,car,AndeJa21,def_int_yds,0,,,,,
player,201012230pit,car,AndeJa21,def_int_td,0,,,,,
player,201012230pit,car,AndeJa21,def_int_long,0,,,,,
player,201012230pit,car,AndeJa21,pass_defended,0,,,,,
player,201012230pit,car,AndeJa21,sacks,0.0,,,,,
player,201012230pit,car,AndeJa21,tackles_combined,5,,,,,
player,201012230pit,car,AndeJa21,tackles_solo,5,,,,,
player,201012230pit,car,AndeJa21,tackles_assists,0,,,,,
player,201012230pit,car,AndeJa21,tackles_loss,0,,,,,
player,201012230pit,car,AndeJa21,qb_hits,0,,,,,
player,201012230pit,car,AndeJa21,fumbles_rec,0,,,,,
player,201012230pit,car,AndeJa21,fumbles_rec_yds,0,,,,,
player,201012230pit,car,AndeJa21,fumbles_rec_td,0,,,,,
player,201012230pit,car,AndeJa21,fumbles_forced,0,,,,,
player,201012230pit,car,GodfCh99,def_int,0,,,,,
player,201012230pit,car,GodfCh99,def_int_yds,0,,,,,
player,201012230pit,car,GodfCh99,def_int_td,0,,,,,
player,201012230pit,car,GodfCh99,def_int_long,0,,,,,
player,201012230pit,car,GodfCh99,pass_defended,1,,,,,
player,201012230pit,car,GodfCh99,sacks,0.0,,,,,
player,201012230pit,car,GodfCh99,tackles_combined,5,,,,,
player,201012230pit,car,GodfCh99,tackles_solo,5,,,,,
player,201012230pit,car,GodfCh99,tackles_assists,0,,,,,
player,201012230pit,car,GodfCh99,tackles_loss,0,,,,,
player,201012230pit,car,GodfCh99,qb_hits,0,,,,,
player,201012230pit,car,GodfCh99,fumbles_rec,0,,,,,
player,201012230pit,car,GodfCh99,fumbles_rec_yds,0,,,,,
player,201012230pit,car,GodfCh99,fumbles_rec_td,0,,,,,
player,201012230pit,car,GodfCh99,fumbles_forced,0,,,,,
player,201012230pit,car,BeasJo99,def_int,0,,,,,
player,201012230pit,car,BeasJo99,def_int_yds,0,,,,,
player,201012230pit,car,BeasJo99,def_int_td,0,,,,,
player,201012230pit,car,BeasJo99,def_int_long,0,,,,,
player,201012230pit,car,BeasJo99,pass_defended,0,,,,,
player,201012230pit,car,BeasJo99,sacks,0.0,,,,,
player,201012230pit,car,BeasJo99,tackles_combined,4,,,,,
player,201012230pit,car,BeasJo99,tackles_solo,4,,,,,
player,201012230pit,car,BeasJo99,tackles_assists,0,,,,,
player,201012230pit,car,BeasJo99,tackles_loss,0,,,,,
player,201012230pit,car,BeasJo99,qb_hits,0,,,,,
player,201012230pit,car,BeasJo99,fumbles_rec,0,,,,,
