game,2010,8,20101031,201010310ram,car,"Carolina Panthers",10,ram,"St. Louis Rams",20
player,201010310ram,car,StewJo00,targets,1,,,,,
player,201010310ram,car,StewJo00,rec,1,,,,,
player,201010310ram,car,StewJo00,rec_yds,8,,,,,
player,201010310ram,car,StewJo00,rec_td,0,,,,,
player,201010310ram,car,StewJo00,rec_long,8,,,,,
player,201010310ram,car,StewJo00,fumbles,0,,,,,
player,201010310ram,car,StewJo00,fumbles_lost,,,,,,
player,201010310ram,car,GoodMi00,pass_cmp,0,,,,,
player,201010310ram,car,GoodMi00,pass_att,0,,,,,
player,201010310ram,car,GoodMi00,pass_yds,0,,,,,
player,201010310ram,car,GoodMi00,pass_td,0,,,,,
player,201010310ram,car,GoodMi00,pass_int,0,,,,,
player,201010310ram,car,GoodMi00,pass_sacked,,,,,,
player,201010310ram,car,GoodMi00,pass_sacked_yds,,,,,,
player,201010310ram,car,GoodMi00,pass_long,0,,,,,
player,201010310ram,car,GoodMi00,pass_rating,,,,,,
player,201010310ram,car,GoodMi00,rush_att,1,,,,,
player,201010310ram,car,GoodMi00,rush_yds,1,,,,,
player,201010310ram,car,GoodMi00,rush_td,0,,,,,
player,201010310ram,car,GoodMi00,rush_long,1,,,,,
player,201010310ram,car,GoodMi00,targets,5,,,,,
player,201010310ram,car,GoodMi00,rec,4,,,,,
player,201010310ram,car,GoodMi00,rec_yds,16,,,,,
player,201010310ram,car,GoodMi00,rec_td,0,,,,,
player,201010310ram,car,GoodMi00,rec_long,8,,,,,
player,201010310ram,car,GoodMi00,fumbles,0,,,,,
player,201010310ram,car,GoodMi00,fumbles_lost,,,,,,
player,201010310ram,car,SmitSt01,pass_cmp,0,,,,,
player,201010310ram,car,SmitSt01,pass_att,0,,,,,
player,201010310ram,car,SmitSt01,pass_yds,0,,,,,
player,201010310ram,car,SmitSt01,pass_td,0,,,,,
player,201010310ram,car,SmitSt01,pass_int,0,,,,,
player,201010310ram,car,SmitSt01,pass_sacked,,,,,,
player,201010310ram,car,SmitSt01,pass_sacked_yds,,,,,,
player,201010310ram,car,SmitSt01,pass_long,0,,,,,
player,201010310ram,car,SmitSt01,pass_rating,,,,,,
player,201010310ram,car,SmitSt01,rush_att,0,,,,,
player,201010310ram,car,SmitSt01,rush_yds,0,,,,,
player,201010310ram,car,SmitSt01,rush_td,0,,,,,
player,201010310ram,car,SmitSt01,rush_long,0,,,,,
player,201010310ram,car,SmitSt01,targets,15,,,,,
player,201010310ram,car,SmitSt01,rec,9,,,,,
player,201010310ram,car,SmitSt01,rec_yds,85,,,,,
player,201010310ram,car,SmitSt01,rec_td,0,,,,,
player,201010310ram,car,SmitSt01,rec_long,20,,,,,
player,201010310ram,car,SmitSt01,fumbles,1,,,,,
player,201010310ram,car,SmitSt01,fumbles_lost,1,,,,,
player,201010310ram,car,LaFeBr00,pass_cmp,0,,,,,
player,201010310ram,car,LaFeBr00,pass_att,0,,,,,
player,201010310ram,car,LaFeBr00,pass_yds,0,,,,,
player,201010310ram,car,LaFeBr00,pass_td,0,,,,,
player,201010310ram,car,LaFeBr00,pass_int,0,,,,,
player,201010310ram,car,LaFeBr00,pass_sacked,0,,,,,
player,201010310ram,car,LaFeBr00,pass_sacked_yds,,,,,,
player,201010310ram,car,LaFeBr00,pass_long,0,,,,,
player,201010310ram,car,LaFeBr00,pass_rating,,,,,,
player,201010310ram,car,LaFeBr00,rush_att,0,,,,,
player,201010310ram,car,LaFeBr00,rush_yds,0,,,,,
player,201010310ram,car,LaFeBr00,rush_td,0,,,,,
player,201010310ram,car,LaFeBr00,rush_long,0,,,,,
player,201010310ram,car,LaFeBr00,targets,8,,,,,
player,201010310ram,car,LaFeBr00,rec,4,,,,,
player,201010310ram,car,LaFeBr00,rec_yds,40,,,,,
player,201010310ram,car,LaFeBr00,rec_td,1,,,,,
player,201010310ram,car,LaFeBr00,rec_long,17,,,,,
player,201010310ram,car,LaFeBr00,fumbles,0,,,,,
player,201010310ram,car,LaFeBr00,fumbles_lost,,,,,,
player,201010310ram,car,KingJe00,pass_cmp,0,,,,,
player,201010310ram,car,KingJe00,pass_att,0,,,,,
player,201010310ram,car,KingJe00,pass_yds,0,,,,,
player,201010310ram,car,KingJe00,pass_td,0,,,,,
player,201010310ram,car,KingJe00,pass_int,0,,,,,
player,201010310ram,car,KingJe00,pass_sacked,,,,,,
player,201010310ram,car,KingJe00,pass_sacked_yds,,,,,,
player,201010310ram,car,KingJe00,pass_long,0,,,,,
player,201010310ram,car,KingJe00,pass_rating,,,,,,
player,201010310ram,car,KingJe00,rush_att,0,,,,,
player,201010310ram,car,KingJe00,rush_yds,0,,,,,
player,201010310ram,car,KingJe00,rush_td,0,,,,,
player,201010310ram,car,KingJe00,rush_long,0,,,,,
player,201010310ram,car,KingJe00,targets,2,,,,,
player,201010310ram,car,KingJe00,rec,2,,,,,
player,201010310ram,car,KingJe00,rec_yds,22,,,,,
player,201010310ram,car,KingJe00,rec_td,0,,,,,
player,201010310ram,car,KingJe00,rec_long,13,,,,,
player,201010310ram,car,KingJe00,fumbles,0,,,,,
player,201010310ram,car,KingJe00,fumbles_lost,,,,,,
player,201010310ram,car,RosaDa00,pass_cmp,0,,,,,
player,201010310ram,car,RosaDa00,pass_att,0,,,,,
player,201010310ram,car,RosaDa00,pass_yds,0,,,,,
player,201010310ram,car,RosaDa00,pass_td,0,,,,,
player,201010310ram,car,RosaDa00,pass_int,0,,,,,
player,201010310ram,car,RosaDa00,pass_sacked,,,,,,
player,201010310ram,car,RosaDa00,pass_sacked_yds,,,,,,
player,201010310ram,car,RosaDa00,pass_long,0,,,,,
player,201010310ram,car,RosaDa00,pass_rating,,,,,,
player,201010310ram,car,RosaDa00,rush_att,0,,,,,
player,201010310ram,car,RosaDa00,rush_yds,0,,,,,
player,201010310ram,car,RosaDa00,rush_td,0,,,,,
player,201010310ram,car,RosaDa00,rush_long,0,,,,,
player,201010310ram,car,RosaDa00,targets,2,,,,,
player,201010310ram,car,RosaDa00,rec,2,,,,,
player,201010310ram,car,RosaDa00,rec_yds,16,,,,,
player,201010310ram,car,RosaDa00,rec_td,0,,,,,
player,201010310ram,car,RosaDa00,rec_long,12,,,,,
player,201010310ram,car,RosaDa00,fumbles,0,,,,,
player,201010310ram,car,RosaDa00,fumbles_lost,,,,,,
player,201010310ram,car,ClowDa00,pass_cmp,0,,,,,
player,201010310ram,car,ClowDa00,pass_att,0,,,,,
player,201010310ram,car,ClowDa00,pass_yds,0,,,,,
player,201010310ram,car,ClowDa00,pass_td,0,,,,,
player,201010310ram,car,ClowDa00,pass_int,0,,,,,
player,201010310ram,car,ClowDa00,pass_sacked,,,,,,
player,201010310ram,car,ClowDa00,pass_sacked_yds,,,,,,
player,201010310ram,car,ClowDa00,pass_long,0,,,,,
player,201010310ram,car,ClowDa00,pass_rating,,,,,,
player,201010310ram,car,ClowDa00,rush_att,0,,,,,
player,201010310ram,car,ClowDa00,rush_yds,0,,,,,
player,201010310ram,car,ClowDa00,rush_td,0,,,,,
player,201010310ram,car,ClowDa00,rush_long,0,,,,,
player,201010310ram,car,ClowDa00,targets,1,,,,,
player,201010310ram,car,ClowDa00,rec,1,,,,,
player,201010310ram,car,ClowDa00,rec_yds,7,,,,,
player,201010310ram,car,ClowDa00,rec_td,0,,,,,
player,201010310ram,car,ClowDa00,rec_long,7,,,,,
player,201010310ram,car,ClowDa00,fumbles,0,,,,,
player,201010310ram,car,ClowDa00,fumbles_lost,,,,,,
player,201010310ram,car,GettDa00,pass_cmp,0,,,,,
player,201010310ram,car,GettDa00,pass_att,0,,,,,
player,201010310ram,car,GettDa00,pass_yds,0,,,,,
player,201010310ram,car,GettDa00,pass_td,0,,,,,
player,201010310ram,car,GettDa00,pass_int,0,,,,,
player,201010310ram,car,GettDa00,pass_sacked,,,,,,
player,201010310ram,car,GettDa00,pass_sacked_yds,,,,,,
player,201010310ram,car,GettDa00,pass_long,0,,,,,
player,201010310ram,car,GettDa00,pass_rating,,,,,,
player,201010310ram,car,GettDa00,rush_att,1,,,,,
player,201010310ram,car,GettDa00,rush_yds,-11,,,,,
player,201010310ram,car,GettDa00,rush_td,0,,,,,
player,201010310ram,car,GettDa00,rush_long,-11,,,,,
player,201010310ram,car,GettDa00,targets,3,,,,,
player,201010310ram,car,GettDa00,rec,0,,,,,
player,201010310ram,car,GettDa00,rec_yds,0,,,,,
player,201010310ram,car,GettDa00,rec_td,0,,,,,
player,201010310ram,car,GettDa00,rec_long,0,,,,,
player,201010310ram,car,GettDa00,fumbles,0,,,,,
player,201010310ram,car,GettDa00,fumbles_lost,,,,,,
player,201010310ram,ram,BradSa00,pass_cmp,25,,,,,
player,201010310ram,ram,BradSa00,pass_att,32,,,,,
player,201010310ram,ram,BradSa00,pass_yds,191,,,,,
player,201010310ram,ram,BradSa00,pass_td,2,,,,,
player,201010310ram,ram,BradSa00,pass_int,0,,,,,
player,201010310ram,ram,BradSa00,pass_sacked,2,,,,,
player,201010310ram,ram,BradSa00,pass_sacked_yds,7,,,,,
player,201010310ram,ram,BradSa00,pass_long,33,,,,,
player,201010310ram,ram,BradSa00,pass_rating,112.4,,,,,
player,201010310ram,ram,BradSa00,rush_att,5,,,,,
player,201010310ram,ram,BradSa00,rush_yds,2,,,,,
player,201010310ram,ram,BradSa00,rush_td,0,,,,,
player,201010310ram,ram,BradSa00,rush_long,3,,,,,
player,201010310ram,ram,BradSa00,targets,0,,,,,
player,201010310ram,ram,BradSa00,rec,0,,,,,
player,201010310ram,ram,BradSa00,rec_yds,0,,,,,
player,201010310ram,ram,BradSa00,rec_td,0,,,,,
player,201010310ram,ram,BradSa00,rec_long,0,,,,,
player,201010310ram,ram,BradSa00,fumbles,1,,,,,
player,201010310ram,ram,BradSa00,fumbles_lost,0,,,,,
player,201010310ram,ram,JackSt00,pass_cmp,0,,,,,
player,201010310ram,ram,JackSt00,pass_att,0,,,,,
player,201010310ram,ram,JackSt00,pass_yds,0,,,,,
player,201010310ram,ram,JackSt00,pass_td,0,,,,,
player,201010310ram,ram,JackSt00,pass_int,0,,,,,
player,201010310ram,ram,JackSt00,pass_sacked,,,,,,
player,201010310ram,ram,JackSt00,pass_sacked_yds,,,,,,
player,201010310ram,ram,JackSt00,pass_long,0,,,,,
player,201010310ram,ram,JackSt00,pass_rating,,,,,,
player,201010310ram,ram,JackSt00,rush_att,23,,,,,
player,201010310ram,ram,JackSt00,rush_yds,59,,,,,
player,201010310ram,ram,JackSt00,rush_td,0,,,,,
player,201010310ram,ram,JackSt00,rush_long,14,,,,,
player,201010310ram,ram,JackSt00,targets,1,,,,,
player,201010310ram,ram,JackSt00,rec,1,,,,,
player,201010310ram,ram,JackSt00,rec_yds,4,,,,,
player,201010310ram,ram,JackSt00,rec_td,0,,,,,
player,201010310ram,ram,JackSt00,rec_long,4,,,,,
player,201010310ram,ram,JackSt00,fumbles,0,,,,,
player,201010310ram,ram,JackSt00,fumbles_lost,,,,,,
player,201010310ram,ram,DarbKe00,pass_cmp,0,,,,,
player,201010310ram,ram,DarbKe00,pass_att,0,,,,,
player,201010310ram,ram,DarbKe00,pass_yds,0,,,,,
player,201010310ram,ram,DarbKe00,pass_td,0,,,,,
player,201010310ram,ram,DarbKe00,pass_int,0,,,,,
player,201010310ram,ram,DarbKe00,pass_sacked,,,,,,
player,201010310ram,ram,DarbKe00,pass_sacked_yds,,,,,,
player,201010310ram,ram,DarbKe00,pass_long,0,,,,,
player,201010310ram,ram,DarbKe00,pass_rating,,,,,,
player,201010310ram,ram,DarbKe00,rush_att,1,,,,,
player,201010310ram,ram,DarbKe00,rush_yds,1,,,,,
player,201010310ram,ram,DarbKe00,rush_td,0,,,,,
player,201010310ram,ram,DarbKe00,rush_long,1,,,,,
player,201010310ram,ram,DarbKe00,targets,1,,,,,
player,201010310ram,ram,DarbKe00,rec,1,,,,,
player,201010310ram,ram,DarbKe00,rec_yds,5,,,,,
player,201010310ram,ram,DarbKe00,rec_td,0,,,,,
player,201010310ram,ram,DarbKe00,rec_long,5,,,,,
player,201010310ram,ram,DarbKe00,fumbles,0,,,,,
player,201010310ram,ram,DarbKe00,fumbles_lost,,,,,,
player,201010310ram,ram,GibsBr00,pass_cmp,0,,,,,
player,201010310ram,ram,GibsBr00,pass_att,0,,,,,
player,201010310ram,ram,GibsBr00,pass_yds,0,,,,,
player,201010310ram,ram,GibsBr00,pass_td,0,,,,,
player,201010310ram,ram,GibsBr00,pass_int,0,,,,,
player,201010310ram,ram,GibsBr00,pass_sacked,,,,,,
player,201010310ram,ram,GibsBr00,pass_sacked_yds,,,,,,
player,201010310ram,ram,GibsBr00,pass_long,0,,,,,
player,201010310ram,ram,GibsBr00,pass_rating,,,,,,
player,201010310ram,ram,GibsBr00,rush_att,0,,,,,
player,201010310ram,ram,GibsBr00,rush_yds,0,,,,,
player,201010310ram,ram,GibsBr00,rush_td,0,,,,,
player,201010310ram,ram,GibsBr00,rush_long,0,,,,,
player,201010310ram,ram,GibsBr00,targets,7,,,,,
player,201010310ram,ram,GibsBr00,rec,6,,,,,
player,201010310ram,ram,GibsBr00,rec_yds,67,,,,,
player,201010310ram,ram,GibsBr00,rec_td,0,,,,,
player,201010310ram,ram,GibsBr00,rec_long,33,,,,,
player,201010310ram,ram,GibsBr00,fumbles,0,,,,,
player,201010310ram,ram,GibsBr00,fumbles_lost,,,,,,
player,201010310ram,ram,FellDa00,pass_cmp,0,,,,,
player,201010310ram,ram,FellDa00,pass_att,0,,,,,
player,201010310ram,ram,FellDa00,pass_yds,0,,,,,
player,201010310ram,ram,FellDa00,pass_td,0,,,,,
player,201010310ram,ram,FellDa00,pass_int,0,,,,,
player,201010310ram,ram,FellDa00,pass_sacked,,,,,,
player,201010310ram,ram,FellDa00,pass_sacked_yds,,,,,,
player,201010310ram,ram,FellDa00,pass_long,0,,,,,
player,201010310ram,ram,FellDa00,pass_rating,,,,,,
player,201010310ram,ram,FellDa00,rush_att,0,,,,,
player,201010310ram,ram,FellDa00,rush_yds,0,,,,,
player,201010310ram,ram,FellDa00,rush_td,0,,,,,
player,201010310ram,ram,FellDa00,rush_long,0,,,,,
player,201010310ram,ram,FellDa00,targets,7,,,,,
player,201010310ram,ram,FellDa00,rec,4,,,,,
player,201010310ram,ram,FellDa00,rec_yds,35,,,,,
player,201010310ram,ram,FellDa00,rec_td,1,,,,,
player,201010310ram,ram,FellDa00,rec_long,23,,,,,
player,201010310ram,ram,FellDa00,fumbles,0,,,,,
player,201010310ram,ram,FellDa00,fumbles_lost,,,,,,
player,201010310ram,ram,RobiLa01,pass_cmp,0,,,,,
player,201010310ram,ram,RobiLa01,pass_att,0,,,,,
player,201010310ram,ram,RobiLa01,pass_yds,0,,,,,
player,201010310ram,ram,RobiLa01,pass_td,0,,,,,
player,201010310ram,ram,RobiLa01,pass_int,0,,,,,
player,201010310ram,ram,RobiLa01,pass_sacked,,,,,,
player,201010310ram,ram,RobiLa01,pass_sacked_yds,,,,,,
player,201010310ram,ram,RobiLa01,pass_long,0,,,,,
player,201010310ram,ram,RobiLa01,pass_rating,,,,,,
player,201010310ram,ram,RobiLa01,rush_att,0,,,,,
player,201010310ram,ram,RobiLa01,rush_yds,0,,,,,
player,201010310ram,ram,RobiLa01,rush_td,0,,,,,
player,201010310ram,ram,RobiLa01,rush_long,0,,,,,
player,201010310ram,ram,RobiLa01,targets,6,,,,,
player,201010310ram,ram,RobiLa01,rec,5,,,,,
player,201010310ram,ram,RobiLa01,rec_yds,33,,,,,
player,201010310ram,ram,RobiLa01,rec_td,0,,,,,
player,201010310ram,ram,RobiLa01,rec_long,16,,,,,
player,201010310ram,ram,RobiLa01,fumbles,0,,,,,
player,201010310ram,ram,RobiLa01,fumbles_lost,,,,,,
player,201010310ram,ram,AmenDa00,pass_cmp,0,,,,,
player,201010310ram,ram,AmenDa00,pass_att,0,,,,,
player,201010310ram,ram,AmenDa00,pass_yds,0,,,,,
player,201010310ram,ram,AmenDa00,pass_td,0,,,,,
player,201010310ram,ram,AmenDa00,pass_int,0,,,,,
player,201010310ram,ram,AmenDa00,pass_sacked,,,,,,
player,201010310ram,ram,AmenDa00,pass_sacked_yds,,,,,,
player,201010310ram,ram,AmenDa00,pass_long,0,,,,,
player,201010310ram,ram,AmenDa00,pass_rating,,,,,,
player,201010310ram,ram,AmenDa00,rush_att,0,,,,,
player,201010310ram,ram,AmenDa00,rush_yds,0,,,,,
player,201010310ram,ram,AmenDa00,rush_td,0,,,,,
player,201010310ram,ram,AmenDa00,rush_long,0,,,,,
player,201010310ram,ram,AmenDa00,targets,7,,,,,
player,201010310ram,ram,AmenDa00,rec,6,,,,,
player,201010310ram,ram,AmenDa00,rec_yds,28,,,,,
player,201010310ram,ram,AmenDa00,rec_td,1,,,,,
player,201010310ram,ram,AmenDa00,rec_long,9,,,,,
player,201010310ram,ram,AmenDa00,fumbles,0,,,,,
player,201010310ram,ram,AmenDa00,fumbles_lost,,,,,,
player,201010310ram,ram,HoomMi00,pass_cmp,0,,,,,
player,201010310ram,ram,HoomMi00,pass_att,0,,,,,
player,201010310ram,ram,HoomMi00,pass_yds,0,,,,,
player,201010310ram,ram,HoomMi00,pass_td,0,,,,,
player,201010310ram,ram,HoomMi00,pass_int,0,,,,,
player,201010310ram,ram,HoomMi00,pass_sacked,,,,,,
player,201010310ram,ram,HoomMi00,pass_sacked_yds,,,,,,
player,201010310ram,ram,HoomMi00,pass_long,0,,,,,
player,201010310ram,ram,HoomMi00,pass_rating,,,,,,
player,201010310ram,ram,HoomMi00,rush_att,0,,,,,
player,201010310ram,ram,HoomMi00,rush_yds,0,,,,,
player,201010310ram,ram,HoomMi00,rush_td,0,,,,,
player,201010310ram,ram,HoomMi00,rush_long,0,,,,,
player,201010310ram,ram,HoomMi00,targets,3,,,,,
player,201010310ram,ram,HoomMi00,rec,2,,,,,
player,201010310ram,ram,HoomMi00,rec_yds,19,,,,,
player,201010310ram,ram,HoomMi00,rec_td,0,,,,,
player,201010310ram,ram,HoomMi00,rec_long,15,,,,,
player,201010310ram,ram,HoomMi00,fumbles,0,,,,,
player,201010310ram,ram,HoomMi00,fumbles_lost,,,,,,
player,201010310ram,car,AndeJa21,def_int,0,,,,,
player,201010310ram,car,AndeJa21,def_int_yds,0,,,,,
player,201010310ram,car,AndeJa21,def_int_td,0,,,,,
player,201010310ram,car,AndeJa21,def_int_long,0,,,,,
player,201010310ram,car,AndeJa21,pass_defended,0,,,,,
player,201010310ram,car,AndeJa21,sacks,1.0,,,,,
player,201010310ram,car,AndeJa21,tackles_combined,8,,,,,
player,201010310ram,car,AndeJa21,tackles_solo,8,,,,,
player,201010310ram,car,AndeJa21,tackles_assists,0,,,,,
player,201010310ram,car,AndeJa21,tackles_loss,3,,,,,
player,201010310ram,car,AndeJa21,qb_hits,2,,,,,
player,201010310ram,car,AndeJa21,fumbles_rec,0,,,,,
player,201010310ram,car,AndeJa21,fumbles_rec_yds,0,,,,,
player,201010310ram,car,AndeJa21,fumbles_rec_td,0,,,,,
player,201010310ram,car,AndeJa21,fumbles_forced,0,,,,,
player,201010310ram,car,LandDe99,def_int,0,,,,,
player,201010310ram,car,LandDe99,def_int_yds,0,,,,,
player,201010310ram,car,LandDe99,def_int_td,0,,,,,
player,201010310ram,car,LandDe99,def_int_long,0,,,,,
player,201010310ram,car,LandDe99,pass_defended,0,,,,,
player,201010310ram,car,LandDe99,sacks,1.0,,,,,
player,201010310ram,car,LandDe99,tackles_combined,3,,,,,
player,201010310ram,car,LandDe99,tackles_solo,3,,,,,
player,201010310ram,car,LandDe99,tackles_assists,0,,,,,
player,201010310ram,car,LandDe99,tackles_loss,1,,,,,
player,201010310ram,car,LandDe99,qb_hits,0,,,,,
player,201010310ram,car,LandDe99,fumbles_rec,0,,,,,
player,201010310ram,car,LandDe99,fumbles_rec_yds,0,,,,,
player,201010310ram,car,LandDe99,fumbles_rec_td,0,,,,,
player,201010310ram,car,LandDe99,fumbles_forced,0,,,,,
player,201010310ram,car,MarsRi20,def_int,0,,,,,
player,201010310ram,car,MarsRi20,def_int_yds,0,,,,,
player,201010310ram,car,MarsRi20,def_int_td,0,,,,,
player,201010310ram,car,MarsRi20,def_int_long,0,,,,,
player,201010310ram,car,MarsRi20,pass_defended,0,,,,,
player,201010310ram,car,MarsRi20,sacks,0.0,,,,,
player,201010310ram,car,MarsRi20,tackles_combined,9,,,,,
player,201010310ram,car,MarsRi20,tackles_solo,9,,,,,
player,201010310ram,car,MarsRi20,tackles_assists,0,,,,,
player,201010310ram,car,MarsRi20,tackles_loss,1,,,,,
player,201010310ram,car,MarsRi20,qb_hits,0,,,,,
player,201010310ram,car,MarsRi20,fumbles_rec,0,,,,,
player,201010310ram,car,MarsRi20,fumbles_rec_yds,0,,,,,
player,201010310ram,car,MarsRi20,fumbles_rec_td,0,,,,,
player,201010310ram,car,MarsRi20,fumbles_forced,0,,,,,
player,201010310ram,car,MartSh99,def_int,0,,,,,
player,201010310ram,car,MartSh99,def_int_yds,0,,,,,
player,201010310ram,car,MartSh99,def_int_td,0,,,,,
player,201010310ram,car,MartSh99,def_int_long,0,,,,,
player,201010310ram,car,MartSh99,pass_defended,0,,,,,
player,201010310ram,car,MartSh99,sacks,0.0,,,,,
player,201010310ram,car,MartSh99,tackles_combined,9,,,,,
player,201010310ram,car,MartSh99,tackles_solo,8,,,,,
player,201010310ram,car,MartSh99,tackles_assists,1,,,,,
player,201010310ram,car,MartSh99,tackles_loss,0,,,,,
player,201010310ram,car,MartSh99,qb_hits,0,,,,,
player,201010310ram,car,MartSh99,fumbles_rec,0,,,,,
player,201010310ram,car,MartSh99,fumbles_rec_yds,0,,,,,
player,201010310ram,car,MartSh99,fumbles_rec_td,0,,,,,
player,201010310ram,car,MartSh99,fumbles_forced,0,,,,,
player,201010310ram,car,ConnDa99,def_int,0,,,,,
player,201010310ram,car,ConnDa99,def_int_yds,0,,,,,
player,201010310ram,car,ConnDa99,def_int_td,0,,,,,
player,201010310ram,car,ConnDa99,def_int_long,0,,,,,
player,201010310ram,car,ConnDa99,pass_defended,0,,,,,
player,201010310ram,car,ConnDa99,sacks,0.0,,,,,
player,201010310ram,car,ConnDa99,tackles_combined,7,,,,,
player,201010310ram,car,ConnDa99,tackles_solo,6,,,,,
player,201010310ram,car,ConnDa99,tackles_assists,1,,,,,
player,201010310ram,car,ConnDa99,tackles_loss,1,,,,,
player,201010310ram,car,ConnDa99,qb_hits,0,,,,,
player,201010310ram,car,ConnDa99,fumbles_rec,0,,,,,
player,201010310ram,car,ConnDa99,fumbles_rec_yds,0,,,,,
player,201010310ram,car,ConnDa99,fumbles_rec_td,0,,,,,
player,201010310ram,car,ConnDa99,fumbles_forced,0,,,,,
player,201010310ram,car,BeasJo99,def_int,0,,,,,
player,201010310ram,car,BeasJo99,def_int_yds,0,,,,,
player,201010310ram,car,BeasJo99,def_int_td,0,,,,,
player,201010310ram,car,BeasJo99,def_int_long,0,,,,,
player,201010310ram,car,BeasJo99,pass_defended,0,,,,,
player,201010310ram,car,BeasJo99,sacks,0.0,,,,,
player,201010310ram,car,BeasJo99,tackles_combined,4,,,,,
player,201010310ram,car,BeasJo99,tackles_solo,4,,,,,
player,201010310ram,car,BeasJo99,tackles_assists,0,,,,,
player,201010310ram,car,BeasJo99,tackles_loss,0,,,,,
player,201010310ram,car,BeasJo99,qb_hits,0,,,,,
player,201010310ram,car,BeasJo99,fumbles_rec,0,,,,,
player,201010310ram,car,BeasJo99,fumbles_rec_yds,0,,,,,
player,201010310ram,car,BeasJo99,fumbles_rec_td,0,,,,,
player,201010310ram,car,BeasJo99,fumbles_forced,0,,,,,
player,201010310ram,car,BrayTy20,def_int,0,,,,,
player,201010310ram,car,BrayTy20,def_int_yds,0,,,,,
player,201010310ram,car,BrayTy20,def_int_td,0,,,,,
player,201010310ram,car,BrayTy20,def_int_long,0,,,,,
player,201010310ram,car,BrayTy20,pass_defended,0,,,,,
player,201010310ram,car,BrayTy20,sacks,0.0,,,,,
player,201010310ram,car,BrayTy20,tackles_combined,3,,,,,
player,201010310ram,car,BrayTy20,tackles_solo,2,,,,,
player,201010310ram,car,BrayTy20,tackles_assists,1,,,,,
player,201010310ram,car,BrayTy20,tackles_loss,1,,,,,
player,201010310ram,car,BrayTy20,qb_hits,0,,,,,
