game,2010,11,20101118,201011180mia,chi,"Chicago Bears",16,mia,"Miami Dolphins",0
player,201011180mia,chi,OlseGr00,rec_yds,40,,,,,
player,201011180mia,chi,OlseGr00,rec_td,0,,,,,
player,201011180mia,chi,OlseGr00,rec_long,12,,,,,
player,201011180mia,chi,OlseGr00,fumbles,0,,,,,
player,201011180mia,chi,OlseGr00,fumbles_lost,,,,,,
player,201011180mia,chi,BennEa00,pass_cmp,0,,,,,
player,201011180mia,chi,BennEa00,pass_att,0,,,,,
player,201011180mia,chi,BennEa00,pass_yds,0,,,,,
player,201011180mia,chi,BennEa00,pass_td,0,,,,,
player,201011180mia,chi,BennEa00,pass_int,0,,,,,
player,201011180mia,chi,BennEa00,pass_sacked,,,,,,
player,201011180mia,chi,BennEa00,pass_sacked_yds,,,,,,
player,201011180mia,chi,BennEa00,pass_long,0,,,,,
player,201011180mia,chi,BennEa00,pass_rating,,,,,,
player,201011180mia,chi,BennEa00,rush_att,0,,,,,
player,201011180mia,chi,BennEa00,rush_yds,0,,,,,
player,201011180mia,chi,BennEa00,rush_td,0,,,,,
player,201011180mia,chi,BennEa00,rush_long,0,,,,,
player,201011180mia,chi,BennEa00,targets,3,,,,,
player,201011180mia,chi,BennEa00,rec,1,,,,,
player,201011180mia,chi,BennEa00,rec_yds,13,,,,,
player,201011180mia,chi,BennEa00,rec_td,0,,,,,
player,201011180mia,chi,BennEa00,rec_long,13,,,,,
player,201011180mia,chi,BennEa00,fumbles,0,,,,,
player,201011180mia,chi,BennEa00,fumbles_lost,,,,,,
player,201011180mia,chi,DaviKe01,pass_cmp,,,,,,
player,201011180mia,chi,DaviKe01,pass_att,,,,,,
player,201011180mia,chi,DaviKe01,pass_yds,,,,,,
player,201011180mia,chi,DaviKe01,pass_td,,,,,,
player,201011180mia,chi,DaviKe01,pass_int,,,,,,
player,201011180mia,chi,DaviKe01,pass_sacked,,,,,,
player,201011180mia,chi,DaviKe01,pass_sacked_yds,,,,,,
player,201011180mia,chi,DaviKe01,pass_long,,,,,,
player,201011180mia,chi,DaviKe01,pass_rating,,,,,,
player,201011180mia,chi,DaviKe01,rush_att,,,,,,
player,201011180mia,chi,DaviKe01,rush_yds,,,,,,
player,201011180mia,chi,DaviKe01,rush_td,,,,,,
player,201011180mia,chi,DaviKe01,rush_long,,,,,,
player,201011180mia,chi,DaviKe01,targets,1,,,,,
player,201011180mia,chi,DaviKe01,rec,0,,,,,
player,201011180mia,chi,DaviKe01,rec_yds,0,,,,,
player,201011180mia,chi,DaviKe01,rec_td,0,,,,,
player,201011180mia,chi,DaviKe01,rec_long,,,,,,
player,201011180mia,chi,DaviKe01,fumbles,,,,,,
player,201011180mia,chi,DaviKe01,fumbles_lost,,,,,,
player,201011180mia,mia,ThigTy00,pass_cmp,17,,,,,
player,201011180mia,mia,ThigTy00,pass_att,29,,,,,
player,201011180mia,mia,ThigTy00,pass_yds,187,,,,,
player,201011180mia,mia,ThigTy00,pass_td,0,,,,,
player,201011180mia,mia,ThigTy00,pass_int,1,,,,,
player,201011180mia,mia,ThigTy00,pass_sacked,6,,,,,
player,201011180mia,mia,ThigTy00,pass_sacked_yds,39,,,,,
player,201011180mia,mia,ThigTy00,pass_long,24,,,,,
player,201011180mia,mia,ThigTy00,pass_rating,63.4,,,,,
player,201011180mia,mia,ThigTy00,rush_att,6,,,,,
player,201011180mia,mia,ThigTy00,rush_yds,27,,,,,
player,201011180mia,mia,ThigTy00,rush_td,0,,,,,
player,201011180mia,mia,ThigTy00,rush_long,8,,,,,
player,201011180mia,mia,ThigTy00,targets,0,,,,,
player,201011180mia,mia,ThigTy00,rec,0,,,,,
player,201011180mia,mia,ThigTy00,rec_yds,0,,,,,
player,201011180mia,mia,ThigTy00,rec_td,0,,,,,
player,201011180mia,mia,ThigTy00,rec_long,0,,,,,
player,201011180mia,mia,ThigTy00,fumbles,1,,,,,
player,201011180mia,mia,ThigTy00,fumbles_lost,0,,,,,
player,201011180mia,mia,BrowRo05,pass_cmp,0,,,,,
player,201011180mia,mia,BrowRo05,pass_att,0,,,,,
player,201011180mia,mia,BrowRo05,pass_yds,0,,,,,
player,201011180mia,mia,BrowRo05,pass_td,0,,,,,
player,201011180mia,mia,BrowRo05,pass_int,0,,,,,
player,201011180mia,mia,BrowRo05,pass_sacked,0,,,,,
player,201011180mia,mia,BrowRo05,pass_sacked_yds,,,,,,
player,201011180mia,mia,BrowRo05,pass_long,0,,,,,
player,201011180mia,mia,BrowRo05,pass_rating,,,,,,
player,201011180mia,mia,BrowRo05,rush_att,3,,,,,
player,201011180mia,mia,BrowRo05,rush_yds,10,,,,,
player,201011180mia,mia,BrowRo05,rush_td,0,,,,,
player,201011180mia,mia,BrowRo05,rush_long,5,,,,,
player,201011180mia,mia,BrowRo05,targets,3,,,,,
player,201011180mia,mia,BrowRo05,rec,3,,,,,
player,201011180mia,mia,BrowRo05,rec_yds,19,,,,,
player,201011180mia,mia,BrowRo05,rec_td,0,,,,,
player,201011180mia,mia,BrowRo05,rec_long,9,,,,,
player,201011180mia,mia,BrowRo05,fumbles,0,,,,,
player,201011180mia,mia,BrowRo05,fumbles_lost,,,,,,
player,201011180mia,mia,WillRi00,pass_cmp,0,,,,,
player,201011180mia,mia,WillRi00,pass_att,0,,,,,
player,201011180mia,mia,WillRi00,pass_yds,0,,,,,
player,201011180mia,mia,WillRi00,pass_td,0,,,,,
player,201011180mia,mia,WillRi00,pass_int,0,,,,,
player,201011180mia,mia,WillRi00,pass_sacked,,,,,,
player,201011180mia,mia,WillRi00,pass_sacked_yds,,,,,,
player,201011180mia,mia,WillRi00,pass_long,0,,,,,
player,201011180mia,mia,WillRi00,pass_rating,,,,,,
player,201011180mia,mia,WillRi00,rush_att,3,,,,,
player,201011180mia,mia,WillRi00,rush_yds,1,,,,,
player,201011180mia,mia,WillRi00,rush_td,0,,,,,
player,201011180mia,mia,WillRi00,rush_long,2,,,,,
player,201011180mia,mia,WillRi00,targets,2,,,,,
player,201011180mia,mia,WillRi00,rec,1,,,,,
player,201011180mia,mia,WillRi00,rec_yds,12,,,,,
player,201011180mia,mia,WillRi00,rec_td,0,,,,,
player,201011180mia,mia,WillRi00,rec_long,12,,,,,
player,201011180mia,mia,WillRi00,fumbles,0,,,,,
player,201011180mia,mia,WillRi00,fumbles_lost,,,,,,
player,201011180mia,mia,CobbPa00,pass_cmp,0,,,,,
player,201011180mia,mia,CobbPa00,pass_att,0,,,,,
player,201011180mia,mia,CobbPa00,pass_yds,0,,,,,
player,201011180mia,mia,CobbPa00,pass_td,0,,,,,
player,201011180mia,mia,CobbPa00,pass_int,0,,,,,
player,201011180mia,mia,CobbPa00,pass_sacked,,,,,,
player,201011180mia,mia,CobbPa00,pass_sacked_yds,,,,,,
player,201011180mia,mia,CobbPa00,pass_long,0,,,,,
player,201011180mia,mia,CobbPa00,pass_rating,,,,,,
player,201011180mia,mia,CobbPa00,rush_att,1,,,,,
player,201011180mia,mia,CobbPa00,rush_yds,1,,,,,
player,201011180mia,mia,CobbPa00,rush_td,0,,,,,
player,201011180mia,mia,CobbPa00,rush_long,1,,,,,
player,201011180mia,mia,CobbPa00,targets,3,,,,,
player,201011180mia,mia,CobbPa00,rec,1,,,,,
player,201011180mia,mia,CobbPa00,rec_yds,0,,,,,
player,201011180mia,mia,CobbPa00,rec_td,0,,,,,
player,201011180mia,mia,CobbPa00,rec_long,0,,,,,
player,201011180mia,mia,CobbPa00,fumbles,0,,,,,
player,201011180mia,mia,CobbPa00,fumbles_lost,,,,,,
player,201011180mia,mia,HartBr00,pass_cmp,0,,,,,
player,201011180mia,mia,HartBr00,pass_att,0,,,,,
player,201011180mia,mia,HartBr00,pass_yds,0,,,,,
player,201011180mia,mia,HartBr00,pass_td,0,,,,,
player,201011180mia,mia,HartBr00,pass_int,0,,,,,
player,201011180mia,mia,HartBr00,pass_sacked,,,,,,
player,201011180mia,mia,HartBr00,pass_sacked_yds,,,,,,
player,201011180mia,mia,HartBr00,pass_long,0,,,,,
player,201011180mia,mia,HartBr00,pass_rating,,,,,,
player,201011180mia,mia,HartBr00,rush_att,0,,,,,
player,201011180mia,mia,HartBr00,rush_yds,0,,,,,
player,201011180mia,mia,HartBr00,rush_td,0,,,,,
player,201011180mia,mia,HartBr00,rush_long,0,,,,,
player,201011180mia,mia,HartBr00,targets,6,,,,,
player,201011180mia,mia,HartBr00,rec,5,,,,,
player,201011180mia,mia,HartBr00,rec_yds,70,,,,,
player,201011180mia,mia,HartBr00,rec_td,0,,,,,
player,201011180mia,mia,HartBr00,rec_long,24,,,,,
player,201011180mia,mia,HartBr00,fumbles,0,,,,,
player,201011180mia,mia,HartBr00,fumbles_lost,,,,,,
