game,2010,8,20101031,201010310rai,sea,"Seattle Seahawks",3,rai,"Oakland Raiders",33
player,201010310rai,sea,LyncMa00,pass_rating,,,,,,
player,201010310rai,sea,LyncMa00,rush_att,9,,,,,
player,201010310rai,sea,LyncMa00,rush_yds,7,,,,,
player,201010310rai,sea,LyncMa00,rush_td,0,,,,,
player,201010310rai,sea,LyncMa00,rush_long,7,,,,,
player,201010310rai,sea,LyncMa00,targets,0,,,,,
player,201010310rai,sea,LyncMa00,rec,0,,,,,
player,201010310rai,sea,LyncMa00,rec_yds,0,,,,,
player,201010310rai,sea,LyncMa00,rec_td,0,,,,,
player,201010310rai,sea,LyncMa00,rec_long,0,,,,,
player,201010310rai,sea,LyncMa00,fumbles,0,,,,,
player,201010310rai,sea,LyncMa00,fumbles_lost,,,,,,
player,201010310rai,sea,CarlJo00,pass_cmp,0,,,,,
player,201010310rai,sea,CarlJo00,pass_att,0,,,,,
player,201010310rai,sea,CarlJo00,pass_yds,0,,,,,
player,201010310rai,sea,CarlJo00,pass_td,0,,,,,
player,201010310rai,sea,CarlJo00,pass_int,0,,,,,
player,201010310rai,sea,CarlJo00,pass_sacked,,,,,,
player,201010310rai,sea,CarlJo00,pass_sacked_yds,,,,,,
player,201010310rai,sea,CarlJo00,pass_long,0,,,,,
player,201010310rai,sea,CarlJo00,pass_rating,,,,,,
player,201010310rai,sea,CarlJo00,rush_att,0,,,,,
player,201010310rai,sea,CarlJo00,rush_yds,0,,,,,
player,201010310rai,sea,CarlJo00,rush_td,0,,,,,
player,201010310rai,sea,CarlJo00,rush_long,0,,,,,
player,201010310rai,sea,CarlJo00,targets,4,,,,,
player,201010310rai,sea,CarlJo00,rec,3,,,,,
player,201010310rai,sea,CarlJo00,rec_yds,47,,,,,
player,201010310rai,sea,CarlJo00,rec_td,0,,,,,
player,201010310rai,sea,CarlJo00,rec_long,35,,,,,
player,201010310rai,sea,CarlJo00,fumbles,0,,,,,
player,201010310rai,sea,CarlJo00,fumbles_lost,,,,,,
player,201010310rai,sea,TateGo00,pass_cmp,0,,,,,
player,201010310rai,sea,TateGo00,pass_att,0,,,,,
player,201010310rai,sea,TateGo00,pass_yds,0,,,,,
player,201010310rai,sea,TateGo00,pass_td,0,,,,,
player,201010310rai,sea,TateGo00,pass_int,0,,,,,
player,201010310rai,sea,TateGo00,pass_sacked,,,,,,
player,201010310rai,sea,TateGo00,pass_sacked_yds,,,,,,
player,201010310rai,sea,TateGo00,pass_long,0,,,,,
player,201010310rai,sea,TateGo00,pass_rating,,,,,,
player,201010310rai,sea,TateGo00,rush_att,0,,,,,
player,201010310rai,sea,TateGo00,rush_yds,0,,,,,
player,201010310rai,sea,TateGo00,rush_td,0,,,,,
player,201010310rai,sea,TateGo00,rush_long,0,,,,,
player,201010310rai,sea,TateGo00,targets,7,,,,,
player,201010310rai,sea,TateGo00,rec,2,,,,,
player,201010310rai,sea,TateGo00,rec_yds,36,,,,,
player,201010310rai,sea,TateGo00,rec_td,0,,,,,
player,201010310rai,sea,TateGo00,rec_long,24,,,,,
player,201010310rai,sea,TateGo00,fumbles,0,,,,,
player,201010310rai,sea,TateGo00,fumbles_lost,,,,,,
player,201010310rai,sea,WillMi03,pass_cmp,0,,,,,
player,201010310rai,sea,WillMi03,pass_att,0,,,,,
player,201010310rai,sea,WillMi03,pass_yds,0,,,,,
player,201010310rai,sea,WillMi03,pass_td,0,,,,,
player,201010310rai,sea,WillMi03,pass_int,0,,,,,
player,201010310rai,sea,WillMi03,pass_sacked,,,,,,
player,201010310rai,sea,WillMi03,pass_sacked_yds,,,,,,
player,201010310rai,sea,WillMi03,pass_long,0,,,,,
player,201010310rai,sea,WillMi03,pass_rating,,,,,,
player,201010310rai,sea,WillMi03,rush_att,0,,,,,
player,201010310rai,sea,WillMi03,rush_yds,0,,,,,
player,201010310rai,sea,WillMi03,rush_td,0,,,,,
player,201010310rai,sea,WillMi03,rush_long,0,,,,,
player,201010310rai,sea,WillMi03,targets,5,,,,,
player,201010310rai,sea,WillMi03,rec,1,,,,,
player,201010310rai,sea,WillMi03,rec_yds,27,,,,,
player,201010310rai,sea,WillMi03,rec_td,0,,,,,
player,201010310rai,sea,WillMi03,rec_long,27,,,,,
player,201010310rai,sea,WillMi03,fumbles,0,,,,,
player,201010310rai,sea,WillMi03,fumbles_lost,,,,,,
player,201010310rai,sea,StokBr00,pass_cmp,0,,,,,
player,201010310rai,sea,StokBr00,pass_att,0,,,,,
player,201010310rai,sea,StokBr00,pass_yds,0,,,,,
player,201010310rai,sea,StokBr00,pass_td,0,,,,,
player,201010310rai,sea,StokBr00,pass_int,0,,,,,
player,201010310rai,sea,StokBr00,pass_sacked,,,,,,
player,201010310rai,sea,StokBr00,pass_sacked_yds,,,,,,
player,201010310rai,sea,StokBr00,pass_long,0,,,,,
player,201010310rai,sea,StokBr00,pass_rating,,,,,,
player,201010310rai,sea,StokBr00,rush_att,0,,,,,
player,201010310rai,sea,StokBr00,rush_yds,0,,,,,
player,201010310rai,sea,StokBr00,rush_td,0,,,,,
player,201010310rai,sea,StokBr00,rush_long,0,,,,,
player,201010310rai,sea,StokBr00,targets,1,,,,,
player,201010310rai,sea,StokBr00,rec,1,,,,,
player,201010310rai,sea,StokBr00,rec_yds,13,,,,,
player,201010310rai,sea,StokBr00,rec_td,0,,,,,
player,201010310rai,sea,StokBr00,rec_long,13,,,,,
player,201010310rai,sea,StokBr00,fumbles,0,,,,,
player,201010310rai,sea,StokBr00,fumbles_lost,,,,,,
player,201010310rai,sea,BakeCh00,pass_cmp,0,,,,,
player,201010310rai,sea,BakeCh00,pass_att,0,,,,,
player,201010310rai,sea,BakeCh00,pass_yds,0,,,,,
player,201010310rai,sea,BakeCh00,pass_td,0,,,,,
player,201010310rai,sea,BakeCh00,pass_int,0,,,,,
player,201010310rai,sea,BakeCh00,pass_sacked,,,,,,
player,201010310rai,sea,BakeCh00,pass_sacked_yds,,,,,,
player,201010310rai,sea,BakeCh00,pass_long,0,,,,,
player,201010310rai,sea,BakeCh00,pass_rating,,,,,,
player,201010310rai,sea,BakeCh00,rush_att,0,,,,,
player,201010310rai,sea,BakeCh00,rush_yds,0,,,,,
player,201010310rai,sea,BakeCh00,rush_td,0,,,,,
player,201010310rai,sea,BakeCh00,rush_long,0,,,,,
player,201010310rai,sea,BakeCh00,targets,1,,,,,
player,201010310rai,sea,BakeCh00,rec,1,,,,,
player,201010310rai,sea,BakeCh00,rec_yds,5,,,,,
player,201010310rai,sea,BakeCh00,rec_td,0,,,,,
player,201010310rai,sea,BakeCh00,rec_long,5,,,,,
player,201010310rai,sea,BakeCh00,fumbles,0,,,,,
player,201010310rai,sea,BakeCh00,fumbles_lost,,,,,,
player,201010310rai,sea,ObomBe00,pass_cmp,0,,,,,
player,201010310rai,sea,ObomBe00,pass_att,0,,,,,
player,201010310rai,sea,ObomBe00,pass_yds,0,,,,,
player,201010310rai,sea,ObomBe00,pass_td,0,,,,,
player,201010310rai,sea,ObomBe00,pass_int,0,,,,,
player,201010310rai,sea,ObomBe00,pass_sacked,,,,,,
player,201010310rai,sea,ObomBe00,pass_sacked_yds,,,,,,
player,201010310rai,sea,ObomBe00,pass_long,0,,,,,
player,201010310rai,sea,ObomBe00,pass_rating,,,,,,
player,201010310rai,sea,ObomBe00,rush_att,0,,,,,
player,201010310rai,sea,ObomBe00,rush_yds,0,,,,,
player,201010310rai,sea,ObomBe00,rush_td,0,,,,,
player,201010310rai,sea,ObomBe00,rush_long,0,,,,,
player,201010310rai,sea,ObomBe00,targets,3,,,,,
player,201010310rai,sea,ObomBe00,rec,1,,,,,
player,201010310rai,sea,ObomBe00,rec_yds,5,,,,,
player,201010310rai,sea,ObomBe00,rec_td,0,,,,,
player,201010310rai,sea,ObomBe00,rec_long,5,,,,,
player,201010310rai,sea,ObomBe00,fumbles,0,,,,,
player,201010310rai,sea,ObomBe00,fumbles_lost,,,,,,
player,201010310rai,sea,ButlDe00,pass_cmp,0,,,,,
player,201010310rai,sea,ButlDe00,pass_att,0,,,,,
player,201010310rai,sea,ButlDe00,pass_yds,0,,,,,
player,201010310rai,sea,ButlDe00,pass_td,0,,,,,
player,201010310rai,sea,ButlDe00,pass_int,0,,,,,
player,201010310rai,sea,ButlDe00,pass_sacked,,,,,,
player,201010310rai,sea,ButlDe00,pass_sacked_yds,,,,,,
player,201010310rai,sea,ButlDe00,pass_long,0,,,,,
player,201010310rai,sea,ButlDe00,pass_rating,,,,,,
player,201010310rai,sea,ButlDe00,rush_att,0,,,,,
player,201010310rai,sea,ButlDe00,rush_yds,0,,,,,
player,201010310rai,sea,ButlDe00,rush_td,0,,,,,
player,201010310rai,sea,ButlDe00,rush_long,0,,,,,
player,201010310rai,sea,ButlDe00,targets,5,,,,,
player,201010310rai,sea,ButlDe00,rec,1,,,,,
player,201010310rai,sea,ButlDe00,rec_yds,4,,,,,
player,201010310rai,sea,ButlDe00,rec_td,0,,,,,
player,201010310rai,sea,ButlDe00,rec_long,4,,,,,
player,201010310rai,sea,ButlDe00,fumbles,0,,,,,
player,201010310rai,sea,ButlDe00,fumbles_lost,,,,,,
player,201010310rai,rai,CampJa00,pass_cmp,15,,,,,
player,201010310rai,rai,CampJa00,pass_att,27,,,,,
player,201010310rai,rai,CampJa00,pass_yds,310,,,,,
player,201010310rai,rai,CampJa00,pass_td,2,,,,,
player,201010310rai,rai,CampJa00,pass_int,0,,,,,
player,201010310rai,rai,CampJa00,pass_sacked,2,,,,,
player,201010310rai,rai,CampJa00,pass_sacked_yds,4,,,,,
player,201010310rai,rai,CampJa00,pass_long,69,,,,,
player,201010310rai,rai,CampJa00,pass_rating,120.9,,,,,
player,201010310rai,rai,CampJa00,rush_att,4,,,,,
player,201010310rai,rai,CampJa00,rush_yds,4,,,,,
player,201010310rai,rai,CampJa00,rush_td,0,,,,,
player,201010310rai,rai,CampJa00,rush_long,3,,,,,
player,201010310rai,rai,CampJa00,targets,0,,,,,
player,201010310rai,rai,CampJa00,rec,0,,,,,
player,201010310rai,rai,CampJa00,rec_yds,0,,,,,
player,201010310rai,rai,CampJa00,rec_td,0,,,,,
player,201010310rai,rai,CampJa00,rec_long,0,,,,,
player,201010310rai,rai,CampJa00,fumbles,0,,,,,
player,201010310rai,rai,CampJa00,fumbles_lost,,,,,,
player,201010310rai,rai,McFaDa00,pass_cmp,0,,,,,
player,201010310rai,rai,McFaDa00,pass_att,0,,,,,
player,201010310rai,rai,McFaDa00,pass_yds,0,,,,,
player,201010310rai,rai,McFaDa00,pass_td,0,,,,,
player,201010310rai,rai,McFaDa00,pass_int,0,,,,,
player,201010310rai,rai,McFaDa00,pass_sacked,,,,,,
player,201010310rai,rai,McFaDa00,pass_sacked_yds,,,,,,
player,201010310rai,rai,McFaDa00,pass_long,0,,,,,
player,201010310rai,rai,McFaDa00,pass_rating,,,,,,
player,201010310rai,rai,McFaDa00,rush_att,21,,,,,
player,201010310rai,rai,McFaDa00,rush_yds,111,,,,,
player,201010310rai,rai,McFaDa00,rush_td,0,,,,,
player,201010310rai,rai,McFaDa00,rush_long,49,,,,,
player,201010310rai,rai,McFaDa00,targets,2,,,,,
player,201010310rai,rai,McFaDa00,rec,2,,,,,
player,201010310rai,rai,McFaDa00,rec_yds,24,,,,,
player,201010310rai,rai,McFaDa00,rec_td,0,,,,,
player,201010310rai,rai,McFaDa00,rec_long,13,,,,,
player,201010310rai,rai,McFaDa00,fumbles,0,,,,,
player,201010310rai,rai,McFaDa00,fumbles_lost,,,,,,
player,201010310rai,rai,BushMi00,pass_cmp,0,,,,,
player,201010310rai,rai,BushMi00,pass_att,0,,,,,
player,201010310rai,rai,BushMi00,pass_yds,0,,,,,
player,201010310rai,rai,BushMi00,pass_td,0,,,,,
player,201010310rai,rai,BushMi00,pass_int,0,,,,,
player,201010310rai,rai,BushMi00,pass_sacked,,,,,,
player,201010310rai,rai,BushMi00,pass_sacked_yds,,,,,,
player,201010310rai,rai,BushMi00,pass_long,0,,,,,
player,201010310rai,rai,BushMi00,pass_rating,,,,,,
player,201010310rai,rai,BushMi00,rush_att,9,,,,,
player,201010310rai,rai,BushMi00,rush_yds,51,,,,,
player,201010310rai,rai,BushMi00,rush_td,1,,,,,
player,201010310rai,rai,BushMi00,rush_long,30,,,,,
player,201010310rai,rai,BushMi00,targets,1,,,,,
player,201010310rai,rai,BushMi00,rec,1,,,,,
player,201010310rai,rai,BushMi00,rec_yds,55,,,,,
player,201010310rai,rai,BushMi00,rec_td,0,,,,,
player,201010310rai,rai,BushMi00,rec_long,55,,,,,
player,201010310rai,rai,BushMi00,fumbles,0,,,,,
player,201010310rai,rai,BushMi00,fumbles_lost,,,,,,
player,201010310rai,rai,ReecMa00,pass_cmp,0,,,,,
player,201010310rai,rai,ReecMa00,pass_att,0,,,,,
player,201010310rai,rai,ReecMa00,pass_yds,0,,,,,
player,201010310rai,rai,ReecMa00,pass_td,0,,,,,
player,201010310rai,rai,ReecMa00,pass_int,0,,,,,
player,201010310rai,rai,ReecMa00,pass_sacked,,,,,,
player,201010310rai,rai,ReecMa00,pass_sacked_yds,,,,,,
player,201010310rai,rai,ReecMa00,pass_long,0,,,,,
player,201010310rai,rai,ReecMa00,pass_rating,,,,,,
player,201010310rai,rai,ReecMa00,rush_att,2,,,,,
player,201010310rai,rai,ReecMa00,rush_yds,32,,,,,
player,201010310rai,rai,ReecMa00,rush_td,0,,,,,
player,201010310rai,rai,ReecMa00,rush_long,31,,,,,
player,201010310rai,rai,ReecMa00,targets,4,,,,,
player,201010310rai,rai,ReecMa00,rec,3,,,,,
player,201010310rai,rai,ReecMa00,rec_yds,90,,,,,
player,201010310rai,rai,ReecMa00,rec_td,1,,,,,
player,201010310rai,rai,ReecMa00,rec_long,51,,,,,
player,201010310rai,rai,ReecMa00,fumbles,0,,,,,
player,201010310rai,rai,ReecMa00,fumbles_lost,,,,,,
player,201010310rai,rai,HeywDa00,pass_cmp,0,,,,,
player,201010310rai,rai,HeywDa00,pass_att,0,,,,,
player,201010310rai,rai,HeywDa00,pass_yds,0,,,,,
player,201010310rai,rai,HeywDa00,pass_td,0,,,,,
player,201010310rai,rai,HeywDa00,pass_int,0,,,,,
player,201010310rai,rai,HeywDa00,pass_sacked,,,,,,
player,201010310rai,rai,HeywDa00,pass_sacked_yds,,,,,,
player,201010310rai,rai,HeywDa00,pass_long,0,,,,,
player,201010310rai,rai,HeywDa00,pass_rating,,,,,,
player,201010310rai,rai,HeywDa00,rush_att,1,,,,,
player,201010310rai,rai,HeywDa00,rush_yds,30,,,,,
player,201010310rai,rai,HeywDa00,rush_td,0,,,,,
player,201010310rai,rai,HeywDa00,rush_long,30,,,,,
player,201010310rai,rai,HeywDa00,targets,9,,,,,
player,201010310rai,rai,HeywDa00,rec,5,,,,,
player,201010310rai,rai,HeywDa00,rec_yds,105,,,,,
player,201010310rai,rai,HeywDa00,rec_td,1,,,,,
player,201010310rai,rai,HeywDa00,rec_long,69,,,,,
player,201010310rai,rai,HeywDa00,fumbles,0,,,,,
player,201010310rai,rai,HeywDa00,fumbles_lost,,,,,,
player,201010310rai,rai,FordJa01,pass_cmp,0,,,,,
player,201010310rai,rai,FordJa01,pass_att,0,,,,,
player,201010310rai,rai,FordJa01,pass_yds,0,,,,,
player,201010310rai,rai,FordJa01,pass_td,0,,,,,
player,201010310rai,rai,FordJa01,pass_int,0,,,,,
player,201010310rai,rai,FordJa01,pass_sacked,,,,,,
player,201010310rai,rai,FordJa01,pass_sacked_yds,,,,,,
player,201010310rai,rai,FordJa01,pass_long,0,,,,,
player,201010310rai,rai,FordJa01,pass_rating,,,,,,
player,201010310rai,rai,FordJa01,rush_att,1,,,,,
player,201010310rai,rai,FordJa01,rush_yds,11,,,,,
player,201010310rai,rai,FordJa01,rush_td,0,,,,,
player,201010310rai,rai,FordJa01,rush_long,11,,,,,
player,201010310rai,rai,FordJa01,targets,3,,,,,
player,201010310rai,rai,FordJa01,rec,2,,,,,
player,201010310rai,rai,FordJa01,rec_yds,22,,,,,
player,201010310rai,rai,FordJa01,rec_td,0,,,,,
player,201010310rai,rai,FordJa01,rec_long,13,,,,,
player,201010310rai,rai,FordJa01,fumbles,0,,,,,
player,201010310rai,rai,FordJa01,fumbles_lost,,,,,,
player,201010310rai,rai,MillZa01,pass_cmp,0,,,,,
player,201010310rai,rai,MillZa01,pass_att,0,,,,,
player,201010310rai,rai,MillZa01,pass_yds,0,,,,,
player,201010310rai,rai,MillZa01,pass_td,0,,,,,
player,201010310rai,rai,MillZa01,pass_int,0,,,,,
player,201010310rai,rai,MillZa01,pass_sacked,,,,,,
player,201010310rai,rai,MillZa01,pass_sacked_yds,,,,,,
player,201010310rai,rai,MillZa01,pass_long,0,,,,,
player,201010310rai,rai,MillZa01,pass_rating,,,,,,
player,201010310rai,rai,MillZa01,rush_att,0,,,,,
player,201010310rai,rai,MillZa01,rush_yds,0,,,,,
player,201010310rai,rai,MillZa01,rush_td,0,,,,,
player,201010310rai,rai,MillZa01,rush_long,0,,,,,
player,201010310rai,rai,MillZa01,targets,2,,,,,
player,201010310rai,rai,MillZa01,rec,1,,,,,
player,201010310rai,rai,MillZa01,rec_yds,8,,,,,
player,201010310rai,rai,MillZa01,rec_td,0,,,,,
player,201010310rai,rai,MillZa01,rec_long,8,,,,,
player,201010310rai,rai,MillZa01,fumbles,0,,,,,
player,201010310rai,rai,MillZa01,fumbles_lost,,,,,,
player,201010310rai,rai,BarnKh20,pass_cmp,0,,,,,
player,201010310rai,rai,BarnKh20,pass_att,0,,,,,
player,201010310rai,rai,BarnKh20,pass_yds,0,,,,,
player,201010310rai,rai,BarnKh20,pass_td,0,,,,,
player,201010310rai,rai,BarnKh20,pass_int,0,,,,,
player,201010310rai,rai,BarnKh20,pass_sacked,,,,,,
player,201010310rai,rai,BarnKh20,pass_sacked_yds,,,,,,
player,201010310rai,rai,BarnKh20,pass_long,0,,,,,
player,201010310rai,rai,BarnKh20,pass_rating,,,,,,
player,201010310rai,rai,BarnKh20,rush_att,0,,,,,
player,201010310rai,rai,BarnKh20,rush_yds,0,,,,,
player,201010310rai,rai,BarnKh20,rush_td,0,,,,,
player,201010310rai,rai,BarnKh20,rush_long,0,,,,,
player,201010310rai,rai,BarnKh20,targets,1,,,,,
player,201010310rai,rai,BarnKh20,rec,1,,,,,
player,201010310rai,rai,BarnKh20,rec_yds,6,,,,,
player,201010310rai,rai,BarnKh20,rec_td,0,,,,,
player,201010310rai,rai,BarnKh20,rec_long,6,,,,,
player,201010310rai,rai,BarnKh20,fumbles,0,,,,,
player,201010310rai,rai,BarnKh20,fumbles_lost,,,,,,
player,201010310rai,rai,SateSa20,pass_cmp,0,,,,,
player,201010310rai,rai,SateSa20,pass_att,0,,,,,
player,201010310rai,rai,SateSa20,pass_yds,0,,,,,
player,201010310rai,rai,SateSa20,pass_td,0,,,,,
player,201010310rai,rai,SateSa20,pass_int,0,,,,,
player,201010310rai,rai,SateSa20,pass_sacked,,,,,,
player,201010310rai,rai,SateSa20,pass_sacked_yds,,,,,,
player,201010310rai,rai,SateSa20,pass_long,0,,,,,
player,201010310rai,rai,SateSa20,pass_rating,,,,,,
player,201010310rai,rai,SateSa20,rush_att,1,,,,,
player,201010310rai,rai,SateSa20,rush_yds,0,,,,,
player,201010310rai,rai,SateSa20,rush_td,0,,,,,
player,201010310rai,rai,SateSa20,rush_long,0,,,,,
player,201010310rai,rai,SateSa20,targets,0,,,,,
player,201010310rai,rai,SateSa20,rec,0,,,,,
player,201010310rai,rai,SateSa20,rec_yds,0,,,,,
player,201010310rai,rai,SateSa20,rec_td,0,,,,,
player,201010310rai,rai,SateSa20,rec_long,0,,,,,
player,201010310rai,rai,SateSa20,fumbles,1,,,,,
player,201010310rai,rai,SateSa20,fumbles_lost,0,,,,,
player,201010310rai,rai,MillNi00,pass_cmp,0,,,,,
player,201010310rai,rai,MillNi00,pass_att,0,,,,,
player,201010310rai,rai,MillNi00,pass_yds,0,,,,,
player,201010310rai,rai,MillNi00,pass_td,0,,,,,
player,201010310rai,rai,MillNi00,pass_int,0,,,,,
player,201010310rai,rai,MillNi00,pass_sacked,,,,,,
player,201010310rai,rai,MillNi00,pass_sacked_yds,,,,,,
player,201010310rai,rai,MillNi00,pass_long,0,,,,,
player,201010310rai,rai,MillNi00,pass_rating,,,,,,
player,201010310rai,rai,MillNi00,rush_att,0,,,,,
player,201010310rai,rai,MillNi00,rush_yds,0,,,,,
player,201010310rai,rai,MillNi00,rush_td,0,,,,,
player,201010310rai,rai,MillNi00,rush_long,0,,,,,
player,201010310rai,rai,MillNi00,targets,1,,,,,
player,201010310rai,rai,MillNi00,rec,0,,,,,
player,201010310rai,rai,MillNi00,rec_yds,0,,,,,
player,201010310rai,rai,MillNi00,rec_td,0,,,,,
player,201010310rai,rai,MillNi00,rec_long,0,,,,,
player,201010310rai,rai,MillNi00,fumbles,0,,,,,
player,201010310rai,rai,MillNi00,fumbles_lost,,,,,,
player,201010310rai,rai,HiggJo00,pass_cmp,,,,,,
player,201010310rai,rai,HiggJo00,pass_att,,,,,,
player,201010310rai,rai,HiggJo00,pass_yds,,,,,,
player,201010310rai,rai,HiggJo00,pass_td,,,,,,
player,201010310rai,rai,HiggJo00,pass_int,,,,,,
player,201010310rai,rai,HiggJo00,pass_sacked,,,,,,
player,201010310rai,rai,HiggJo00,pass_sacked_yds,,,,,,
player,201010310rai,rai,HiggJo00,pass_long,,,,,,
player,201010310rai,rai,HiggJo00,pass_rating,,,,,,
player,201010310rai,rai,HiggJo00,rush_att,,,,,,
player,201010310rai,rai,HiggJo00,rush_yds,,,,,,
player,201010310rai,rai,HiggJo00,rush_td,,,,,,
player,201010310rai,rai,HiggJo00,rush_long,,,,,,
player,201010310rai,rai,HiggJo00,targets,3,,,,,
player,201010310rai,rai,HiggJo00,rec,0,,,,,
player,201010310rai,rai,HiggJo00,rec_yds,0,,,,,
player,201010310rai,rai,HiggJo00,rec_td,0,,,,,
player,201010310rai,rai,HiggJo00,rec_long,,,,,,
player,201010310rai,rai,HiggJo00,fumbles,,,,,,
player,201010310rai,rai,HiggJo00,fumbles_lost,,,,,,
