game,2010,11,20101121,201011210nor,sea,"Seattle Seahawks",19,nor,"New Orleans Saints",34
player,201011210nor,sea,CarlJo00,fumbles_lost,,,,,,
player,201011210nor,sea,WashLe00,pass_cmp,0,,,,,
player,201011210nor,sea,WashLe00,pass_att,0,,,,,
player,201011210nor,sea,WashLe00,pass_yds,0,,,,,
player,201011210nor,sea,WashLe00,pass_td,0,,,,,
player,201011210nor,sea,WashLe00,pass_int,0,,,,,
player,201011210nor,sea,WashLe00,pass_sacked,0,,,,,
player,201011210nor,sea,WashLe00,pass_sacked_yds,,,,,,
player,201011210nor,sea,WashLe00,pass_long,0,,,,,
player,201011210nor,sea,WashLe00,pass_rating,,,,,,
player,201011210nor,sea,WashLe00,rush_att,1,,,,,
player,201011210nor,sea,WashLe00,rush_yds,0,,,,,
player,201011210nor,sea,WashLe00,rush_td,0,,,,,
player,201011210nor,sea,WashLe00,rush_long,0,,,,,
player,201011210nor,sea,WashLe00,targets,1,,,,,
player,201011210nor,sea,WashLe00,rec,1,,,,,
player,201011210nor,sea,WashLe00,rec_yds,9,,,,,
player,201011210nor,sea,WashLe00,rec_td,0,,,,,
player,201011210nor,sea,WashLe00,rec_long,9,,,,,
player,201011210nor,sea,WashLe00,fumbles,0,,,,,
player,201011210nor,sea,WashLe00,fumbles_lost,,,,,,
player,201011210nor,sea,BakeCh00,pass_cmp,,,,,,
player,201011210nor,sea,BakeCh00,pass_att,,,,,,
player,201011210nor,sea,BakeCh00,pass_yds,,,,,,
player,201011210nor,sea,BakeCh00,pass_td,,,,,,
player,201011210nor,sea,BakeCh00,pass_int,,,,,,
player,201011210nor,sea,BakeCh00,pass_sacked,,,,,,
player,201011210nor,sea,BakeCh00,pass_sacked_yds,,,,,,
player,201011210nor,sea,BakeCh00,pass_long,,,,,,
player,201011210nor,sea,BakeCh00,pass_rating,,,,,,
player,201011210nor,sea,BakeCh00,rush_att,,,,,,
player,201011210nor,sea,BakeCh00,rush_yds,,,,,,
player,201011210nor,sea,BakeCh00,rush_td,,,,,,
player,201011210nor,sea,BakeCh00,rush_long,,,,,,
player,201011210nor,sea,BakeCh00,targets,2,,,,,
player,201011210nor,sea,BakeCh00,rec,0,,,,,
player,201011210nor,sea,BakeCh00,rec_yds,0,,,,,
player,201011210nor,sea,BakeCh00,rec_td,0,,,,,
player,201011210nor,sea,BakeCh00,rec_long,,,,,,
player,201011210nor,sea,BakeCh00,fumbles,,,,,,
player,201011210nor,sea,BakeCh00,fumbles_lost,,,,,,
player,201011210nor,nor,BreeDr00,pass_cmp,29,,,,,
player,201011210nor,nor,BreeDr00,pass_att,43,,,,,
player,201011210nor,nor,BreeDr00,pass_yds,382,,,,,
player,201011210nor,nor,BreeDr00,pass_td,4,,,,,
player,201011210nor,nor,BreeDr00,pass_int,2,,,,,
player,201011210nor,nor,BreeDr00,pass_sacked,0,,,,,
player,201011210nor,nor,BreeDr00,pass_sacked_yds,0,,,,,
player,201011210nor,nor,BreeDr00,pass_long,32,,,,,
player,201011210nor,nor,BreeDr00,pass_rating,106.9,,,,,
player,201011210nor,nor,BreeDr00,rush_att,0,,,,,
player,201011210nor,nor,BreeDr00,rush_yds,0,,,,,
player,201011210nor,nor,BreeDr00,rush_td,0,,,,,
player,201011210nor,nor,BreeDr00,rush_long,0,,,,,
player,201011210nor,nor,BreeDr00,targets,0,,,,,
player,201011210nor,nor,BreeDr00,rec,0,,,,,
player,201011210nor,nor,BreeDr00,rec_yds,0,,,,,
player,201011210nor,nor,BreeDr00,rec_td,0,,,,,
player,201011210nor,nor,BreeDr00,rec_long,0,,,,,
player,201011210nor,nor,BreeDr00,fumbles,0,,,,,
player,201011210nor,nor,BreeDr00,fumbles_lost,,,,,,
player,201011210nor,nor,IvorCh00,pass_cmp,0,,,,,
player,201011210nor,nor,IvorCh00,pass_att,0,,,,,
player,201011210nor,nor,IvorCh00,pass_yds,0,,,,,
player,201011210nor,nor,IvorCh00,pass_td,0,,,,,
player,201011210nor,nor,IvorCh00,pass_int,0,,,,,
player,201011210nor,nor,IvorCh00,pass_sacked,,,,,,
player,201011210nor,nor,IvorCh00,pass_sacked_yds,,,,,,
player,201011210nor,nor,IvorCh00,pass_long,0,,,,,
player,201011210nor,nor,IvorCh00,pass_rating,,,,,,
player,201011210nor,nor,IvorCh00,rush_att,23,,,,,
player,201011210nor,nor,IvorCh00,rush_yds,99,,,,,
player,201011210nor,nor,IvorCh00,rush_td,1,,,,,
player,201011210nor,nor,IvorCh00,rush_long,24,,,,,
player,201011210nor,nor,IvorCh00,targets,0,,,,,
player,201011210nor,nor,IvorCh00,rec,0,,,,,
player,201011210nor,nor,IvorCh00,rec_yds,0,,,,,
player,201011210nor,nor,IvorCh00,rec_td,0,,,,,
player,201011210nor,nor,IvorCh00,rec_long,0,,,,,
player,201011210nor,nor,IvorCh00,fumbles,0,,,,,
player,201011210nor,nor,IvorCh00,fumbles_lost,,,,,,
player,201011210nor,nor,MeacRo00,pass_cmp,0,,,,,
player,201011210nor,nor,MeacRo00,pass_att,0,,,,,
player,201011210nor,nor,MeacRo00,pass_yds,0,,,,,
player,201011210nor,nor,MeacRo00,pass_td,0,,,,,
player,201011210nor,nor,MeacRo00,pass_int,0,,,,,
player,201011210nor,nor,MeacRo00,pass_sacked,,,,,,
player,201011210nor,nor,MeacRo00,pass_sacked_yds,,,,,,
player,201011210nor,nor,MeacRo00,pass_long,0,,,,,
player,201011210nor,nor,MeacRo00,pass_rating,,,,,,
player,201011210nor,nor,MeacRo00,rush_att,1,,,,,
player,201011210nor,nor,MeacRo00,rush_yds,8,,,,,
player,201011210nor,nor,MeacRo00,rush_td,0,,,,,
player,201011210nor,nor,MeacRo00,rush_long,8,,,,,
player,201011210nor,nor,MeacRo00,targets,3,,,,,
player,201011210nor,nor,MeacRo00,rec,3,,,,,
player,201011210nor,nor,MeacRo00,rec_yds,50,,,,,
player,201011210nor,nor,MeacRo00,rec_td,2,,,,,
player,201011210nor,nor,MeacRo00,rec_long,32,,,,,
player,201011210nor,nor,MeacRo00,fumbles,0,,,,,
player,201011210nor,nor,MeacRo00,fumbles_lost,,,,,,
player,201011210nor,nor,JoneJu01,pass_cmp,0,,,,,
player,201011210nor,nor,JoneJu01,pass_att,0,,,,,
player,201011210nor,nor,JoneJu01,pass_yds,0,,,,,
player,201011210nor,nor,JoneJu01,pass_td,0,,,,,
player,201011210nor,nor,JoneJu01,pass_int,0,,,,,
player,201011210nor,nor,JoneJu01,pass_sacked,,,,,,
player,201011210nor,nor,JoneJu01,pass_sacked_yds,,,,,,
player,201011210nor,nor,JoneJu01,pass_long,0,,,,,
player,201011210nor,nor,JoneJu01,pass_rating,,,,,,
player,201011210nor,nor,JoneJu01,rush_att,4,,,,,
player,201011210nor,nor,JoneJu01,rush_yds,4,,,,,
player,201011210nor,nor,JoneJu01,rush_td,0,,,,,
player,201011210nor,nor,JoneJu01,rush_long,5,,,,,
player,201011210nor,nor,JoneJu01,targets,2,,,,,
player,201011210nor,nor,JoneJu01,rec,2,,,,,
player,201011210nor,nor,JoneJu01,rec_yds,8,,,,,
player,201011210nor,nor,JoneJu01,rec_td,0,,,,,
player,201011210nor,nor,JoneJu01,rec_long,5,,,,,
player,201011210nor,nor,JoneJu01,fumbles,0,,,,,
player,201011210nor,nor,JoneJu01,fumbles_lost,,,,,,
player,201011210nor,nor,HendDe00,pass_cmp,0,,,,,
player,201011210nor,nor,HendDe00,pass_att,0,,,,,
player,201011210nor,nor,HendDe00,pass_yds,0,,,,,
player,201011210nor,nor,HendDe00,pass_td,0,,,,,
player,201011210nor,nor,HendDe00,pass_int,0,,,,,
player,201011210nor,nor,HendDe00,pass_sacked,,,,,,
player,201011210nor,nor,HendDe00,pass_sacked_yds,,,,,,
player,201011210nor,nor,HendDe00,pass_long,0,,,,,
player,201011210nor,nor,HendDe00,pass_rating,,,,,,
player,201011210nor,nor,HendDe00,rush_att,1,,,,,
player,201011210nor,nor,HendDe00,rush_yds,1,,,,,
player,201011210nor,nor,HendDe00,rush_td,0,,,,,
player,201011210nor,nor,HendDe00,rush_long,1,,,,,
player,201011210nor,nor,HendDe00,targets,1,,,,,
player,201011210nor,nor,HendDe00,rec,1,,,,,
player,201011210nor,nor,HendDe00,rec_yds,17,,,,,
player,201011210nor,nor,HendDe00,rec_td,0,,,,,
player,201011210nor,nor,HendDe00,rec_long,17,,,,,
player,201011210nor,nor,HendDe00,fumbles,0,,,,,
player,201011210nor,nor,HendDe00,fumbles_lost,,,,,,
player,201011210nor,nor,ColsMa00,pass_cmp,0,,,,,
player,201011210nor,nor,ColsMa00,pass_att,0,,,,,
player,201011210nor,nor,ColsMa00,pass_yds,0,,,,,
player,201011210nor,nor,ColsMa00,pass_td,0,,,,,
player,201011210nor,nor,ColsMa00,pass_int,0,,,,,
player,201011210nor,nor,ColsMa00,pass_sacked,,,,,,
player,201011210nor,nor,ColsMa00,pass_sacked_yds,,,,,,
player,201011210nor,nor,ColsMa00,pass_long,0,,,,,
player,201011210nor,nor,ColsMa00,pass_rating,,,,,,
player,201011210nor,nor,ColsMa00,rush_att,0,,,,,
player,201011210nor,nor,ColsMa00,rush_yds,0,,,,,
player,201011210nor,nor,ColsMa00,rush_td,0,,,,,
player,201011210nor,nor,ColsMa00,rush_long,0,,,,,
player,201011210nor,nor,ColsMa00,targets,11,,,,,
player,201011210nor,nor,ColsMa00,rec,8,,,,,
player,201011210nor,nor,ColsMa00,rec_yds,113,,,,,
player,201011210nor,nor,ColsMa00,rec_td,2,,,,,
player,201011210nor,nor,ColsMa00,rec_long,23,,,,,
player,201011210nor,nor,ColsMa00,fumbles,0,,,,,
player,201011210nor,nor,ColsMa00,fumbles_lost,,,,,,
player,201011210nor,nor,GrahJi00,pass_cmp,0,,,,,
player,201011210nor,nor,GrahJi00,pass_att,0,,,,,
player,201011210nor,nor,GrahJi00,pass_yds,0,,,,,
player,201011210nor,nor,GrahJi00,pass_td,0,,,,,
player,201011210nor,nor,GrahJi00,pass_int,0,,,,,
