game,2010,7,20101024,201010240rav,buf,"Buffalo Bills",34,rav,"Baltimore Ravens",37
player,201010240rav,buf,ParrRo00,pass_int,0,,,,,
player,201010240rav,buf,ParrRo00,pass_sacked,,,,,,
player,201010240rav,buf,ParrRo00,pass_sacked_yds,,,,,,
player,201010240rav,buf,ParrRo00,pass_long,0,,,,,
player,201010240rav,buf,ParrRo00,pass_rating,,,,,,
player,201010240rav,buf,ParrRo00,rush_att,1,,,,,
player,201010240rav,buf,ParrRo00,rush_yds,6,,,,,
player,201010240rav,buf,ParrRo00,rush_td,0,,,,,
player,201010240rav,buf,ParrRo00,rush_long,6,,,,,
player,201010240rav,buf,ParrRo00,targets,12,,,,,
player,201010240rav,buf,ParrRo00,rec,8,,,,,
player,201010240rav,buf,ParrRo00,rec_yds,57,,,,,
player,201010240rav,buf,ParrRo00,rec_td,0,,,,,
player,201010240rav,buf,ParrRo00,rec_long,22,,,,,
player,201010240rav,buf,ParrRo00,fumbles,1,,,,,
player,201010240rav,buf,ParrRo00,fumbles_lost,0,,,,,
player,201010240rav,buf,JohnSt00,pass_cmp,0,,,,,
player,201010240rav,buf,JohnSt00,pass_att,0,,,,,
player,201010240rav,buf,JohnSt00,pass_yds,0,,,,,
player,201010240rav,buf,JohnSt00,pass_td,0,,,,,
player,201010240rav,buf,JohnSt00,pass_int,0,,,,,
player,201010240rav,buf,JohnSt00,pass_sacked,,,,,,
player,201010240rav,buf,JohnSt00,pass_sacked_yds,,,,,,
player,201010240rav,buf,JohnSt00,pass_long,0,,,,,
player,201010240rav,buf,JohnSt00,pass_rating,,,,,,
player,201010240rav,buf,JohnSt00,rush_att,0,,,,,
player,201010240rav,buf,JohnSt00,rush_yds,0,,,,,
player,201010240rav,buf,JohnSt00,rush_td,0,,,,,
player,201010240rav,buf,JohnSt00,rush_long,0,,,,,
player,201010240rav,buf,JohnSt00,targets,10,,,,,
player,201010240rav,buf,JohnSt00,rec,8,,,,,
player,201010240rav,buf,JohnSt00,rec_yds,158,,,,,
player,201010240rav,buf,JohnSt00,rec_td,1,,,,,
player,201010240rav,buf,JohnSt00,rec_long,43,,,,,
player,201010240rav,buf,JohnSt00,fumbles,0,,,,,
player,201010240rav,buf,JohnSt00,fumbles_lost,,,,,,
player,201010240rav,buf,EvanLe00,pass_cmp,0,,,,,
player,201010240rav,buf,EvanLe00,pass_att,0,,,,,
player,201010240rav,buf,EvanLe00,pass_yds,0,,,,,
player,201010240rav,buf,EvanLe00,pass_td,0,,,,,
player,201010240rav,buf,EvanLe00,pass_int,0,,,,,
player,201010240rav,buf,EvanLe00,pass_sacked,,,,,,
player,201010240rav,buf,EvanLe00,pass_sacked_yds,,,,,,
player,201010240rav,buf,EvanLe00,pass_long,0,,,,,
player,201010240rav,buf,EvanLe00,pass_rating,,,,,,
player,201010240rav,buf,EvanLe00,rush_att,0,,,,,
player,201010240rav,buf,EvanLe00,rush_yds,0,,,,,
player,201010240rav,buf,EvanLe00,rush_td,0,,,,,
player,201010240rav,buf,EvanLe00,rush_long,0,,,,,
player,201010240rav,buf,EvanLe00,targets,10,,,,,
player,201010240rav,buf,EvanLe00,rec,6,,,,,
player,201010240rav,buf,EvanLe00,rec_yds,105,,,,,
player,201010240rav,buf,EvanLe00,rec_td,3,,,,,
player,201010240rav,buf,EvanLe00,rec_long,33,,,,,
player,201010240rav,buf,EvanLe00,fumbles,0,,,,,
player,201010240rav,buf,EvanLe00,fumbles_lost,,,,,,
player,201010240rav,buf,NelsDa01,pass_cmp,0,,,,,
player,201010240rav,buf,NelsDa01,pass_att,0,,,,,
player,201010240rav,buf,NelsDa01,pass_yds,0,,,,,
player,201010240rav,buf,NelsDa01,pass_td,0,,,,,
player,201010240rav,buf,NelsDa01,pass_int,0,,,,,
player,201010240rav,buf,NelsDa01,pass_sacked,,,,,,
player,201010240rav,buf,NelsDa01,pass_sacked_yds,,,,,,
player,201010240rav,buf,NelsDa01,pass_long,0,,,,,
player,201010240rav,buf,NelsDa01,pass_rating,,,,,,
player,201010240rav,buf,NelsDa01,rush_att,0,,,,,
player,201010240rav,buf,NelsDa01,rush_yds,0,,,,,
player,201010240rav,buf,NelsDa01,rush_td,0,,,,,
player,201010240rav,buf,NelsDa01,rush_long,0,,,,,
player,201010240rav,buf,NelsDa01,targets,4,,,,,
player,201010240rav,buf,NelsDa01,rec,2,,,,,
player,201010240rav,buf,NelsDa01,rec_yds,25,,,,,
player,201010240rav,buf,NelsDa01,rec_td,0,,,,,
player,201010240rav,buf,NelsDa01,rec_long,16,,,,,
player,201010240rav,buf,NelsDa01,fumbles,0,,,,,
player,201010240rav,buf,NelsDa01,fumbles_lost,,,,,,
player,201010240rav,buf,NelsSh00,pass_cmp,0,,,,,
player,201010240rav,buf,NelsSh00,pass_att,0,,,,,
player,201010240rav,buf,NelsSh00,pass_yds,0,,,,,
player,201010240rav,buf,NelsSh00,pass_td,0,,,,,
player,201010240rav,buf,NelsSh00,pass_int,0,,,,,
player,201010240rav,buf,NelsSh00,pass_sacked,,,,,,
player,201010240rav,buf,NelsSh00,pass_sacked_yds,,,,,,
player,201010240rav,buf,NelsSh00,pass_long,0,,,,,
player,201010240rav,buf,NelsSh00,pass_rating,,,,,,
player,201010240rav,buf,NelsSh00,rush_att,0,,,,,
player,201010240rav,buf,NelsSh00,rush_yds,0,,,,,
player,201010240rav,buf,NelsSh00,rush_td,0,,,,,
player,201010240rav,buf,NelsSh00,rush_long,0,,,,,
player,201010240rav,buf,NelsSh00,targets,3,,,,,
player,201010240rav,buf,NelsSh00,rec,2,,,,,
player,201010240rav,buf,NelsSh00,rec_yds,16,,,,,
player,201010240rav,buf,NelsSh00,rec_td,0,,,,,
player,201010240rav,buf,NelsSh00,rec_long,12,,,,,
player,201010240rav,buf,NelsSh00,fumbles,1,,,,,
player,201010240rav,buf,NelsSh00,fumbles_lost,1,,,,,
player,201010240rav,buf,McInCo00,pass_cmp,0,,,,,
player,201010240rav,buf,McInCo00,pass_att,0,,,,,
player,201010240rav,buf,McInCo00,pass_yds,0,,,,,
player,201010240rav,buf,McInCo00,pass_td,0,,,,,
player,201010240rav,buf,McInCo00,pass_int,0,,,,,
player,201010240rav,buf,McInCo00,pass_sacked,,,,,,
player,201010240rav,buf,McInCo00,pass_sacked_yds,,,,,,
player,201010240rav,buf,McInCo00,pass_long,0,,,,,
player,201010240rav,buf,McInCo00,pass_rating,,,,,,
player,201010240rav,buf,McInCo00,rush_att,0,,,,,
player,201010240rav,buf,McInCo00,rush_yds,0,,,,,
player,201010240rav,buf,McInCo00,rush_td,0,,,,,
player,201010240rav,buf,McInCo00,rush_long,0,,,,,
player,201010240rav,buf,McInCo00,targets,1,,,,,
player,201010240rav,buf,McInCo00,rec,1,,,,,
player,201010240rav,buf,McInCo00,rec_yds,9,,,,,
player,201010240rav,buf,McInCo00,rec_td,0,,,,,
player,201010240rav,buf,McInCo00,rec_long,9,,,,,
player,201010240rav,buf,McInCo00,fumbles,0,,,,,
player,201010240rav,buf,McInCo00,fumbles_lost,,,,,,
player,201010240rav,buf,StupJo00,pass_cmp,0,,,,,
player,201010240rav,buf,StupJo00,pass_att,0,,,,,
player,201010240rav,buf,StupJo00,pass_yds,0,,,,,
player,201010240rav,buf,StupJo00,pass_td,0,,,,,
player,201010240rav,buf,StupJo00,pass_int,0,,,,,
player,201010240rav,buf,StupJo00,pass_sacked,,,,,,
player,201010240rav,buf,StupJo00,pass_sacked_yds,,,,,,
player,201010240rav,buf,StupJo00,pass_long,0,,,,,
player,201010240rav,buf,StupJo00,pass_rating,,,,,,
player,201010240rav,buf,StupJo00,rush_att,0,,,,,
player,201010240rav,buf,StupJo00,rush_yds,0,,,,,
player,201010240rav,buf,StupJo00,rush_td,0,,,,,
player,201010240rav,buf,StupJo00,rush_long,0,,,,,
player,201010240rav,buf,StupJo00,targets,1,,,,,
player,201010240rav,buf,StupJo00,rec,1,,,,,
player,201010240rav,buf,StupJo00,rec_yds,8,,,,,
player,201010240rav,buf,StupJo00,rec_td,0,,,,,
player,201010240rav,buf,StupJo00,rec_long,8,,,,,
player,201010240rav,buf,StupJo00,fumbles,0,,,,,
player,201010240rav,buf,StupJo00,fumbles_lost,,,,,,
player,201010240rav,rav,FlacJo00,pass_cmp,16,,,,,
player,201010240rav,rav,FlacJo00,pass_att,31,,,,,
player,201010240rav,rav,FlacJo00,pass_yds,250,,,,,
player,201010240rav,rav,FlacJo00,pass_td,3,,,,,
player,201010240rav,rav,FlacJo00,pass_int,0,,,,,
player,201010240rav,rav,FlacJo00,pass_sacked,2,,,,,
player,201010240rav,rav,FlacJo00,pass_sacked_yds,21,,,,,
player,201010240rav,rav,FlacJo00,pass_long,36,,,,,
player,201010240rav,rav,FlacJo00,pass_rating,111.0,,,,,
player,201010240rav,rav,FlacJo00,rush_att,2,,,,,
player,201010240rav,rav,FlacJo00,rush_yds,-1,,,,,
player,201010240rav,rav,FlacJo00,rush_td,0,,,,,
player,201010240rav,rav,FlacJo00,rush_long,0,,,,,
player,201010240rav,rav,FlacJo00,targets,0,,,,,
player,201010240rav,rav,FlacJo00,rec,0,,,,,
player,201010240rav,rav,FlacJo00,rec_yds,0,,,,,
player,201010240rav,rav,FlacJo00,rec_td,0,,,,,
player,201010240rav,rav,FlacJo00,rec_long,0,,,,,
player,201010240rav,rav,FlacJo00,fumbles,1,,,,,
player,201010240rav,rav,FlacJo00,fumbles_lost,1,,,,,
player,201010240rav,rav,RiceRa00,pass_cmp,0,,,,,
player,201010240rav,rav,RiceRa00,pass_att,0,,,,,
player,201010240rav,rav,RiceRa00,pass_yds,0,,,,,
player,201010240rav,rav,RiceRa00,pass_td,0,,,,,
player,201010240rav,rav,RiceRa00,pass_int,0,,,,,
player,201010240rav,rav,RiceRa00,pass_sacked,,,,,,
player,201010240rav,rav,RiceRa00,pass_sacked_yds,,,,,,
player,201010240rav,rav,RiceRa00,pass_long,0,,,,,
player,201010240rav,rav,RiceRa00,pass_rating,,,,,,
player,201010240rav,rav,RiceRa00,rush_att,16,,,,,
player,201010240rav,rav,RiceRa00,rush_yds,72,,,,,
player,201010240rav,rav,RiceRa00,rush_td,0,,,,,
player,201010240rav,rav,RiceRa00,rush_long,14,,,,,
player,201010240rav,rav,RiceRa00,targets,2,,,,,
player,201010240rav,rav,RiceRa00,rec,1,,,,,
player,201010240rav,rav,RiceRa00,rec_yds,1,,,,,
player,201010240rav,rav,RiceRa00,rec_td,0,,,,,
player,201010240rav,rav,RiceRa00,rec_long,1,,,,,
player,201010240rav,rav,RiceRa00,fumbles,0,,,,,
player,201010240rav,rav,RiceRa00,fumbles_lost,,,,,,
player,201010240rav,rav,McGaWi00,pass_cmp,0,,,,,
player,201010240rav,rav,McGaWi00,pass_att,0,,,,,
player,201010240rav,rav,McGaWi00,pass_yds,0,,,,,
player,201010240rav,rav,McGaWi00,pass_td,0,,,,,
player,201010240rav,rav,McGaWi00,pass_int,0,,,,,
player,201010240rav,rav,McGaWi00,pass_sacked,,,,,,
player,201010240rav,rav,McGaWi00,pass_sacked_yds,,,,,,
player,201010240rav,rav,McGaWi00,pass_long,0,,,,,
player,201010240rav,rav,McGaWi00,pass_rating,,,,,,
player,201010240rav,rav,McGaWi00,rush_att,11,,,,,
player,201010240rav,rav,McGaWi00,rush_yds,64,,,,,
player,201010240rav,rav,McGaWi00,rush_td,1,,,,,
player,201010240rav,rav,McGaWi00,rush_long,25,,,,,
player,201010240rav,rav,McGaWi00,targets,2,,,,,
player,201010240rav,rav,McGaWi00,rec,1,,,,,
player,201010240rav,rav,McGaWi00,rec_yds,10,,,,,
player,201010240rav,rav,McGaWi00,rec_td,0,,,,,
player,201010240rav,rav,McGaWi00,rec_long,10,,,,,
player,201010240rav,rav,McGaWi00,fumbles,0,,,,,
player,201010240rav,rav,McGaWi00,fumbles_lost,,,,,,
player,201010240rav,rav,BoldAn00,pass_cmp,0,,,,,
player,201010240rav,rav,BoldAn00,pass_att,0,,,,,
player,201010240rav,rav,BoldAn00,pass_yds,0,,,,,
player,201010240rav,rav,BoldAn00,pass_td,0,,,,,
player,201010240rav,rav,BoldAn00,pass_int,0,,,,,
player,201010240rav,rav,BoldAn00,pass_sacked,0,,,,,
player,201010240rav,rav,BoldAn00,pass_sacked_yds,,,,,,
player,201010240rav,rav,BoldAn00,pass_long,0,,,,,
player,201010240rav,rav,BoldAn00,pass_rating,,,,,,
player,201010240rav,rav,BoldAn00,rush_att,0,,,,,
player,201010240rav,rav,BoldAn00,rush_yds,0,,,,,
player,201010240rav,rav,BoldAn00,rush_td,0,,,,,
player,201010240rav,rav,BoldAn00,rush_long,0,,,,,
player,201010240rav,rav,BoldAn00,targets,13,,,,,
player,201010240rav,rav,BoldAn00,rec,6,,,,,
player,201010240rav,rav,BoldAn00,rec_yds,92,,,,,
player,201010240rav,rav,BoldAn00,rec_td,1,,,,,
player,201010240rav,rav,BoldAn00,rec_long,34,,,,,
player,201010240rav,rav,BoldAn00,fumbles,0,,,,,
player,201010240rav,rav,BoldAn00,fumbles_lost,,,,,,
player,201010240rav,rav,HeapTo00,pass_cmp,0,,,,,
player,201010240rav,rav,HeapTo00,pass_att,0,,,,,
player,201010240rav,rav,HeapTo00,pass_yds,0,,,,,
player,201010240rav,rav,HeapTo00,pass_td,0,,,,,
player,201010240rav,rav,HeapTo00,pass_int,0,,,,,
player,201010240rav,rav,HeapTo00,pass_sacked,,,,,,
player,201010240rav,rav,HeapTo00,pass_sacked_yds,,,,,,
player,201010240rav,rav,HeapTo00,pass_long,0,,,,,
player,201010240rav,rav,HeapTo00,pass_rating,,,,,,
player,201010240rav,rav,HeapTo00,rush_att,0,,,,,
player,201010240rav,rav,HeapTo00,rush_yds,0,,,,,
player,201010240rav,rav,HeapTo00,rush_td,0,,,,,
player,201010240rav,rav,HeapTo00,rush_long,0,,,,,
player,201010240rav,rav,HeapTo00,targets,5,,,,,
player,201010240rav,rav,HeapTo00,rec,3,,,,,
player,201010240rav,rav,HeapTo00,rec_yds,59,,,,,
player,201010240rav,rav,HeapTo00,rec_td,2,,,,,
player,201010240rav,rav,HeapTo00,rec_long,26,,,,,
player,201010240rav,rav,HeapTo00,fumbles,0,,,,,
player,201010240rav,rav,HeapTo00,fumbles_lost,,,,,,
player,201010240rav,rav,MasoDe00,pass_cmp,0,,,,,
player,201010240rav,rav,MasoDe00,pass_att,0,,,,,
player,201010240rav,rav,MasoDe00,pass_yds,0,,,,,
player,201010240rav,rav,MasoDe00,pass_td,0,,,,,
player,201010240rav,rav,MasoDe00,pass_int,0,,,,,
player,201010240rav,rav,MasoDe00,pass_sacked,,,,,,
player,201010240rav,rav,MasoDe00,pass_sacked_yds,,,,,,
player,201010240rav,rav,MasoDe00,pass_long,0,,,,,
player,201010240rav,rav,MasoDe00,pass_rating,,,,,,
player,201010240rav,rav,MasoDe00,rush_att,0,,,,,
player,201010240rav,rav,MasoDe00,rush_yds,0,,,,,
player,201010240rav,rav,MasoDe00,rush_td,0,,,,,
player,201010240rav,rav,MasoDe00,rush_long,0,,,,,
player,201010240rav,rav,MasoDe00,targets,3,,,,,
player,201010240rav,rav,MasoDe00,rec,2,,,,,
player,201010240rav,rav,MasoDe00,rec_yds,48,,,,,
player,201010240rav,rav,MasoDe00,rec_td,0,,,,,
player,201010240rav,rav,MasoDe00,rec_long,36,,,,,
player,201010240rav,rav,MasoDe00,fumbles,0,,,,,
player,201010240rav,rav,MasoDe00,fumbles_lost,,,,,,
player,201010240rav,rav,McClLe00,pass_cmp,0,,,,,
player,201010240rav,rav,McClLe00,pass_att,0,,,,,
player,201010240rav,rav,McClLe00,pass_yds,0,,,,,
player,201010240rav,rav,McClLe00,pass_td,0,,,,,
player,201010240rav,rav,McClLe00,pass_int,0,,,,,
player,201010240rav,rav,McClLe00,pass_sacked,,,,,,
player,201010240rav,rav,McClLe00,pass_sacked_yds,,,,,,
player,201010240rav,rav,McClLe00,pass_long,0,,,,,
player,201010240rav,rav,McClLe00,pass_rating,,,,,,
player,201010240rav,rav,McClLe00,rush_att,0,,,,,
player,201010240rav,rav,McClLe00,rush_yds,0,,,,,
player,201010240rav,rav,McClLe00,rush_td,0,,,,,
player,201010240rav,rav,McClLe00,rush_long,0,,,,,
player,201010240rav,rav,McClLe00,targets,2,,,,,
player,201010240rav,rav,McClLe00,rec,2,,,,,
player,201010240rav,rav,McClLe00,rec_yds,35,,,,,
player,201010240rav,rav,McClLe00,rec_td,0,,,,,
player,201010240rav,rav,McClLe00,rec_long,19,,,,,
player,201010240rav,rav,McClLe00,fumbles,0,,,,,
player,201010240rav,rav,McClLe00,fumbles_lost,,,,,,
player,201010240rav,rav,DickEd00,pass_cmp,0,,,,,
player,201010240rav,rav,DickEd00,pass_att,0,,,,,
player,201010240rav,rav,DickEd00,pass_yds,0,,,,,
player,201010240rav,rav,DickEd00,pass_td,0,,,,,
player,201010240rav,rav,DickEd00,pass_int,0,,,,,
player,201010240rav,rav,DickEd00,pass_sacked,,,,,,
player,201010240rav,rav,DickEd00,pass_sacked_yds,,,,,,
player,201010240rav,rav,DickEd00,pass_long,0,,,,,
player,201010240rav,rav,DickEd00,pass_rating,,,,,,
player,201010240rav,rav,DickEd00,rush_att,0,,,,,
player,201010240rav,rav,DickEd00,rush_yds,0,,,,,
player,201010240rav,rav,DickEd00,rush_td,0,,,,,
player,201010240rav,rav,DickEd00,rush_long,0,,,,,
player,201010240rav,rav,DickEd00,targets,2,,,,,
player,201010240rav,rav,DickEd00,rec,1,,,,,
player,201010240rav,rav,DickEd00,rec_yds,5,,,,,
player,201010240rav,rav,DickEd00,rec_td,0,,,,,
player,201010240rav,rav,DickEd00,rec_long,5,,,,,
player,201010240rav,rav,DickEd00,fumbles,0,,,,,
player,201010240rav,rav,DickEd00,fumbles_lost,,,,,,
player,201010240rav,rav,HousTJ00,pass_cmp,,,,,,
player,201010240rav,rav,HousTJ00,pass_att,,,,,,
player,201010240rav,rav,HousTJ00,pass_yds,,,,,,
player,201010240rav,rav,HousTJ00,pass_td,,,,,,
player,201010240rav,rav,HousTJ00,pass_int,,,,,,
player,201010240rav,rav,HousTJ00,pass_sacked,,,,,,
player,201010240rav,rav,HousTJ00,pass_sacked_yds,,,,,,
player,201010240rav,rav,HousTJ00,pass_long,,,,,,
player,201010240rav,rav,HousTJ00,pass_rating,,,,,,
player,201010240rav,rav,HousTJ00,rush_att,,,,,,
player,201010240rav,rav,HousTJ00,rush_yds,,,,,,
player,201010240rav,rav,HousTJ00,rush_td,,,,,,
player,201010240rav,rav,HousTJ00,rush_long,,,,,,
player,201010240rav,rav,HousTJ00,targets,2,,,,,
player,201010240rav,rav,HousTJ00,rec,0,,,,,
player,201010240rav,rav,HousTJ00,rec_yds,0,,,,,
player,201010240rav,rav,HousTJ00,rec_td,0,,,,,
player,201010240rav,rav,HousTJ00,rec_long,,,,,,
player,201010240rav,rav,HousTJ00,fumbles,,,,,,
player,201010240rav,rav,HousTJ00,fumbles_lost,,,,,,
player,201010240rav,buf,EdwaDw20,def_int,0,,,,,
player,201010240rav,buf,EdwaDw20,def_int_yds,0,,,,,
player,201010240rav,buf,EdwaDw20,def_int_td,0,,,,,
player,201010240rav,buf,EdwaDw20,def_int_long,0,,,,,
player,201010240rav,buf,EdwaDw20,pass_defended,1,,,,,
player,201010240rav,buf,EdwaDw20,sacks,1.0,,,,,
player,201010240rav,buf,EdwaDw20,tackles_combined,7,,,,,
player,201010240rav,buf,EdwaDw20,tackles_solo,5,,,,,
player,201010240rav,buf,EdwaDw20,tackles_assists,2,,,,,
player,201010240rav,buf,EdwaDw20,tackles_loss,1,,,,,
player,201010240rav,buf,EdwaDw20,qb_hits,1,,,,,
player,201010240rav,buf,EdwaDw20,fumbles_rec,0,,,,,
player,201010240rav,buf,EdwaDw20,fumbles_rec_yds,0,,,,,
player,201010240rav,buf,EdwaDw20,fumbles_rec_td,0,,,,,
player,201010240rav,buf,EdwaDw20,fumbles_forced,0,,,,,
player,201010240rav,buf,KelsCh21,def_int,0,,,,,
player,201010240rav,buf,KelsCh21,def_int_yds,0,,,,,
player,201010240rav,buf,KelsCh21,def_int_td,0,,,,,
player,201010240rav,buf,KelsCh21,def_int_long,0,,,,,
player,201010240rav,buf,KelsCh21,pass_defended,1,,,,,
player,201010240rav,buf,KelsCh21,sacks,0.5,,,,,
player,201010240rav,buf,KelsCh21,tackles_combined,3,,,,,
player,201010240rav,buf,KelsCh21,tackles_solo,1,,,,,
player,201010240rav,buf,KelsCh21,tackles_assists,2,,,,,
player,201010240rav,buf,KelsCh21,tackles_loss,0,,,,,
player,201010240rav,buf,KelsCh21,qb_hits,1,,,,,
player,201010240rav,buf,KelsCh21,fumbles_rec,0,,,,,
player,201010240rav,buf,KelsCh21,fumbles_rec_yds,0,,,,,
player,201010240rav,buf,KelsCh21,fumbles_rec_td,0,,,,,
player,201010240rav,buf,KelsCh21,fumbles_forced,0,,,,,
player,201010240rav,buf,MoatAr00,def_int,0,,,,,
player,201010240rav,buf,MoatAr00,def_int_yds,0,,,,,
player,201010240rav,buf,MoatAr00,def_int_td,0,,,,,
player,201010240rav,buf,MoatAr00,def_int_long,0,,,,,
player,201010240rav,buf,MoatAr00,pass_defended,0,,,,,
player,201010240rav,buf,MoatAr00,sacks,0.5,,,,,
player,201010240rav,buf,MoatAr00,tackles_combined,1,,,,,
player,201010240rav,buf,MoatAr00,tackles_solo,0,,,,,
player,201010240rav,buf,MoatAr00,tackles_assists,1,,,,,
player,201010240rav,buf,MoatAr00,tackles_loss,0,,,,,
player,201010240rav,buf,MoatAr00,qb_hits,1,,,,,
player,201010240rav,buf,MoatAr00,fumbles_rec,0,,,,,
player,201010240rav,buf,MoatAr00,fumbles_rec_yds,0,,,,,
player,201010240rav,buf,MoatAr00,fumbles_rec_td,0,,,,,
player,201010240rav,buf,MoatAr00,fumbles_forced,0,,,,,
player,201010240rav,buf,WhitDo20,def_int,0,,,,,
player,201010240rav,buf,WhitDo20,def_int_yds,0,,,,,
player,201010240rav,buf,WhitDo20,def_int_td,0,,,,,
player,201010240rav,buf,WhitDo20,def_int_long,0,,,,,
player,201010240rav,buf,WhitDo20,pass_defended,1,,,,,
player,201010240rav,buf,WhitDo20,sacks,0.0,,,,,
player,201010240rav,buf,WhitDo20,tackles_combined,8,,,,,
player,201010240rav,buf,WhitDo20,tackles_solo,7,,,,,
