game,2010,6,20101017,201010170den,nyj,"New York Jets",24,den,"Denver Broncos",20
player,201010170den,den,TeboTi00,fumbles,0,,,,,
player,201010170den,den,TeboTi00,fumbles_lost,,,,,,
player,201010170den,den,BuckCo00,pass_cmp,0,,,,,
player,201010170den,den,BuckCo00,pass_att,0,,,,,
player,201010170den,den,BuckCo00,pass_yds,0,,,,,
player,201010170den,den,BuckCo00,pass_td,0,,,,,
player,201010170den,den,BuckCo00,pass_int,0,,,,,
player,201010170den,den,BuckCo00,pass_sacked,,,,,,
player,201010170den,den,BuckCo00,pass_sacked_yds,,,,,,
player,201010170den,den,BuckCo00,pass_long,0,,,,,
player,201010170den,den,BuckCo00,pass_rating,,,,,,
player,201010170den,den,BuckCo00,rush_att,6,,,,,
player,201010170den,den,BuckCo00,rush_yds,20,,,,,
player,201010170den,den,BuckCo00,rush_td,0,,,,,
player,201010170den,den,BuckCo00,rush_long,13,,,,,
player,201010170den,den,BuckCo00,targets,0,,,,,
player,201010170den,den,BuckCo00,rec,0,,,,,
player,201010170den,den,BuckCo00,rec_yds,0,,,,,
player,201010170den,den,BuckCo00,rec_td,0,,,,,
player,201010170den,den,BuckCo00,rec_long,0,,,,,
player,201010170den,den,BuckCo00,fumbles,0,,,,,
player,201010170den,den,BuckCo00,fumbles_lost,,,,,,
player,201010170den,den,MaroLa00,pass_cmp,0,,,,,
player,201010170den,den,MaroLa00,pass_att,0,,,,,
player,201010170den,den,MaroLa00,pass_yds,0,,,,,
player,201010170den,den,MaroLa00,pass_td,0,,,,,
player,201010170den,den,MaroLa00,pass_int,0,,,,,
player,201010170den,den,MaroLa00,pass_sacked,,,,,,
player,201010170den,den,MaroLa00,pass_sacked_yds,,,,,,
player,201010170den,den,MaroLa00,pass_long,0,,,,,
player,201010170den,den,MaroLa00,pass_rating,,,,,,
player,201010170den,den,MaroLa00,rush_att,7,,,,,
player,201010170den,den,MaroLa00,rush_yds,18,,,,,
player,201010170den,den,MaroLa00,rush_td,0,,,,,
player,201010170den,den,MaroLa00,rush_long,9,,,,,
player,201010170den,den,MaroLa00,targets,0,,,,,
player,201010170den,den,MaroLa00,rec,0,,,,,
player,201010170den,den,MaroLa00,rec_yds,0,,,,,
player,201010170den,den,MaroLa00,rec_td,0,,,,,
player,201010170den,den,MaroLa00,rec_long,0,,,,,
player,201010170den,den,MaroLa00,fumbles,0,,,,,
player,201010170den,den,MaroLa00,fumbles_lost,,,,,,
player,201010170den,den,RoyaEd00,pass_cmp,0,,,,,
player,201010170den,den,RoyaEd00,pass_att,0,,,,,
player,201010170den,den,RoyaEd00,pass_yds,0,,,,,
player,201010170den,den,RoyaEd00,pass_td,0,,,,,
player,201010170den,den,RoyaEd00,pass_int,0,,,,,
player,201010170den,den,RoyaEd00,pass_sacked,,,,,,
player,201010170den,den,RoyaEd00,pass_sacked_yds,,,,,,
player,201010170den,den,RoyaEd00,pass_long,0,,,,,
player,201010170den,den,RoyaEd00,pass_rating,,,,,,
player,201010170den,den,RoyaEd00,rush_att,1,,,,,
player,201010170den,den,RoyaEd00,rush_yds,13,,,,,
player,201010170den,den,RoyaEd00,rush_td,0,,,,,
player,201010170den,den,RoyaEd00,rush_long,13,,,,,
player,201010170den,den,RoyaEd00,targets,10,,,,,
player,201010170den,den,RoyaEd00,rec,3,,,,,
player,201010170den,den,RoyaEd00,rec_yds,37,,,,,
player,201010170den,den,RoyaEd00,rec_td,0,,,,,
player,201010170den,den,RoyaEd00,rec_long,24,,,,,
player,201010170den,den,RoyaEd00,fumbles,0,,,,,
player,201010170den,den,RoyaEd00,fumbles_lost,,,,,,
player,201010170den,den,LarsSp99,pass_cmp,0,,,,,
player,201010170den,den,LarsSp99,pass_att,0,,,,,
player,201010170den,den,LarsSp99,pass_yds,0,,,,,
player,201010170den,den,LarsSp99,pass_td,0,,,,,
player,201010170den,den,LarsSp99,pass_int,0,,,,,
player,201010170den,den,LarsSp99,pass_sacked,,,,,,
player,201010170den,den,LarsSp99,pass_sacked_yds,,,,,,
player,201010170den,den,LarsSp99,pass_long,0,,,,,
player,201010170den,den,LarsSp99,pass_rating,,,,,,
player,201010170den,den,LarsSp99,rush_att,1,,,,,
player,201010170den,den,LarsSp99,rush_yds,1,,,,,
player,201010170den,den,LarsSp99,rush_td,0,,,,,
player,201010170den,den,LarsSp99,rush_long,1,,,,,
player,201010170den,den,LarsSp99,targets,0,,,,,
player,201010170den,den,LarsSp99,rec,0,,,,,
player,201010170den,den,LarsSp99,rec_yds,0,,,,,
player,201010170den,den,LarsSp99,rec_td,0,,,,,
player,201010170den,den,LarsSp99,rec_long,0,,,,,
player,201010170den,den,LarsSp99,fumbles,0,,,,,
player,201010170den,den,LarsSp99,fumbles_lost,,,,,,
player,201010170den,den,GaffJa00,pass_cmp,0,,,,,
player,201010170den,den,GaffJa00,pass_att,0,,,,,
player,201010170den,den,GaffJa00,pass_yds,0,,,,,
player,201010170den,den,GaffJa00,pass_td,0,,,,,
player,201010170den,den,GaffJa00,pass_int,0,,,,,
player,201010170den,den,GaffJa00,pass_sacked,,,,,,
player,201010170den,den,GaffJa00,pass_sacked_yds,,,,,,
player,201010170den,den,GaffJa00,pass_long,0,,,,,
player,201010170den,den,GaffJa00,pass_rating,,,,,,
player,201010170den,den,GaffJa00,rush_att,0,,,,,
player,201010170den,den,GaffJa00,rush_yds,0,,,,,
player,201010170den,den,GaffJa00,rush_td,0,,,,,
player,201010170den,den,GaffJa00,rush_long,0,,,,,
player,201010170den,den,GaffJa00,targets,8,,,,,
player,201010170den,den,GaffJa00,rec,6,,,,,
player,201010170den,den,GaffJa00,rec_yds,81,,,,,
player,201010170den,den,GaffJa00,rec_td,0,,,,,
player,201010170den,den,GaffJa00,rec_long,27,,,,,
player,201010170den,den,GaffJa00,fumbles,0,,,,,
player,201010170den,den,GaffJa00,fumbles_lost,,,,,,
player,201010170den,den,LloyBr00,pass_cmp,0,,,,,
player,201010170den,den,LloyBr00,pass_att,0,,,,,
player,201010170den,den,LloyBr00,pass_yds,0,,,,,
player,201010170den,den,LloyBr00,pass_td,0,,,,,
player,201010170den,den,LloyBr00,pass_int,0,,,,,
player,201010170den,den,LloyBr00,pass_sacked,,,,,,
player,201010170den,den,LloyBr00,pass_sacked_yds,,,,,,
player,201010170den,den,LloyBr00,pass_long,0,,,,,
player,201010170den,den,LloyBr00,pass_rating,,,,,,
player,201010170den,den,LloyBr00,rush_att,0,,,,,
player,201010170den,den,LloyBr00,rush_yds,0,,,,,
player,201010170den,den,LloyBr00,rush_td,0,,,,,
player,201010170den,den,LloyBr00,rush_long,0,,,,,
player,201010170den,den,LloyBr00,targets,10,,,,,
player,201010170den,den,LloyBr00,rec,4,,,,,
player,201010170den,den,LloyBr00,rec_yds,74,,,,,
player,201010170den,den,LloyBr00,rec_td,0,,,,,
player,201010170den,den,LloyBr00,rec_long,29,,,,,
player,201010170den,den,LloyBr00,fumbles,0,,,,,
player,201010170den,den,LloyBr00,fumbles_lost,,,,,,
player,201010170den,den,ThomDe03,pass_cmp,0,,,,,
player,201010170den,den,ThomDe03,pass_att,0,,,,,
player,201010170den,den,ThomDe03,pass_yds,0,,,,,
player,201010170den,den,ThomDe03,pass_td,0,,,,,
player,201010170den,den,ThomDe03,pass_int,0,,,,,
player,201010170den,den,ThomDe03,pass_sacked,,,,,,
player,201010170den,den,ThomDe03,pass_sacked_yds,,,,,,
player,201010170den,den,ThomDe03,pass_long,0,,,,,
player,201010170den,den,ThomDe03,pass_rating,,,,,,
player,201010170den,den,ThomDe03,rush_att,0,,,,,
player,201010170den,den,ThomDe03,rush_yds,0,,,,,
player,201010170den,den,ThomDe03,rush_td,0,,,,,
player,201010170den,den,ThomDe03,rush_long,0,,,,,
player,201010170den,den,ThomDe03,targets,4,,,,,
player,201010170den,den,ThomDe03,rec,1,,,,,
player,201010170den,den,ThomDe03,rec_yds,17,,,,,
player,201010170den,den,ThomDe03,rec_td,1,,,,,
player,201010170den,den,ThomDe03,rec_long,17,,,,,
player,201010170den,den,ThomDe03,fumbles,0,,,,,
player,201010170den,den,ThomDe03,fumbles_lost,,,,,,
player,201010170den,den,GrahDa00,pass_cmp,0,,,,,
player,201010170den,den,GrahDa00,pass_att,0,,,,,
player,201010170den,den,GrahDa00,pass_yds,0,,,,,
player,201010170den,den,GrahDa00,pass_td,0,,,,,
player,201010170den,den,GrahDa00,pass_int,0,,,,,
player,201010170den,den,GrahDa00,pass_sacked,,,,,,
player,201010170den,den,GrahDa00,pass_sacked_yds,,,,,,
player,201010170den,den,GrahDa00,pass_long,0,,,,,
player,201010170den,den,GrahDa00,pass_rating,,,,,,
player,201010170den,den,GrahDa00,rush_att,0,,,,,
player,201010170den,den,GrahDa00,rush_yds,0,,,,,
player,201010170den,den,GrahDa00,rush_td,0,,,,,
player,201010170den,den,GrahDa00,rush_long,0,,,,,
player,201010170den,den,GrahDa00,targets,2,,,,,
player,201010170den,den,GrahDa00,rec,0,,,,,
player,201010170den,den,GrahDa00,rec_yds,0,,,,,
player,201010170den,den,GrahDa00,rec_td,0,,,,,
player,201010170den,den,GrahDa00,rec_long,0,,,,,
player,201010170den,den,GrahDa00,fumbles,0,,,,,
player,201010170den,den,GrahDa00,fumbles_lost,,,,,,
player,201010170den,den,ColqBr00,pass_cmp,0,,,,,
player,201010170den,den,ColqBr00,pass_att,0,,,,,
player,201010170den,den,ColqBr00,pass_yds,0,,,,,
player,201010170den,den,ColqBr00,pass_td,0,,,,,
player,201010170den,den,ColqBr00,pass_int,0,,,,,
player,201010170den,den,ColqBr00,pass_sacked,,,,,,
player,201010170den,den,ColqBr00,pass_sacked_yds,,,,,,
player,201010170den,den,ColqBr00,pass_long,0,,,,,
player,201010170den,den,ColqBr00,pass_rating,,,,,,
player,201010170den,den,ColqBr00,rush_att,1,,,,,
player,201010170den,den,ColqBr00,rush_yds,0,,,,,
player,201010170den,den,ColqBr00,rush_td,0,,,,,
player,201010170den,den,ColqBr00,rush_long,0,,,,,
player,201010170den,den,ColqBr00,targets,0,,,,,
player,201010170den,den,ColqBr00,rec,0,,,,,
player,201010170den,den,ColqBr00,rec_yds,0,,,,,
player,201010170den,den,ColqBr00,rec_td,0,,,,,
player,201010170den,den,ColqBr00,rec_long,0,,,,,
player,201010170den,den,ColqBr00,fumbles,1,,,,,
player,201010170den,den,ColqBr00,fumbles_lost,0,,,,,
player,201010170den,nyj,PouhSi20,def_int,0,,,,,
player,201010170den,nyj,PouhSi20,def_int_yds,0,,,,,
player,201010170den,nyj,PouhSi20,def_int_td,0,,,,,
player,201010170den,nyj,PouhSi20,def_int_long,0,,,,,
player,201010170den,nyj,PouhSi20,pass_defended,1,,,,,
player,201010170den,nyj,PouhSi20,sacks,1.0,,,,,
player,201010170den,nyj,PouhSi20,tackles_combined,4,,,,,
player,201010170den,nyj,PouhSi20,tackles_solo,4,,,,,
player,201010170den,nyj,PouhSi20,tackles_assists,0,,,,,
player,201010170den,nyj,PouhSi20,tackles_loss,1,,,,,
player,201010170den,nyj,PouhSi20,qb_hits,1,,,,,
player,201010170den,nyj,PouhSi20,fumbles_rec,0,,,,,
player,201010170den,nyj,PouhSi20,fumbles_rec_yds,0,,,,,
player,201010170den,nyj,PouhSi20,fumbles_rec_td,0,,,,,
player,201010170den,nyj,PouhSi20,fumbles_forced,0,,,,,
player,201010170den,nyj,HarrDa99,def_int,0,,,,,
player,201010170den,nyj,HarrDa99,def_int_yds,0,,,,,
player,201010170den,nyj,HarrDa99,def_int_td,0,,,,,
player,201010170den,nyj,HarrDa99,def_int_long,0,,,,,
player,201010170den,nyj,HarrDa99,pass_defended,0,,,,,
player,201010170den,nyj,HarrDa99,sacks,0.0,,,,,
player,201010170den,nyj,HarrDa99,tackles_combined,8,,,,,
player,201010170den,nyj,HarrDa99,tackles_solo,7,,,,,
player,201010170den,nyj,HarrDa99,tackles_assists,1,,,,,
player,201010170den,nyj,HarrDa99,tackles_loss,1,,,,,
player,201010170den,nyj,HarrDa99,qb_hits,0,,,,,
player,201010170den,nyj,HarrDa99,fumbles_rec,0,,,,,
player,201010170den,nyj,HarrDa99,fumbles_rec_yds,0,,,,,
