game,2010,8,20101031,201010310kan,buf,"Buffalo Bills",10,kan,"Kansas City Chiefs",13
player,201010310kan,buf,JohnSt00,rush_long,0,,,,,
player,201010310kan,buf,JohnSt00,targets,10,,,,,
player,201010310kan,buf,JohnSt00,rec,5,,,,,
player,201010310kan,buf,JohnSt00,rec_yds,37,,,,,
player,201010310kan,buf,JohnSt00,rec_td,1,,,,,
player,201010310kan,buf,JohnSt00,rec_long,12,,,,,
player,201010310kan,buf,JohnSt00,fumbles,0,,,,,
player,201010310kan,buf,JohnSt00,fumbles_lost,,,,,,
player,201010310kan,buf,NelsDa01,pass_cmp,0,,,,,
player,201010310kan,buf,NelsDa01,pass_att,0,,,,,
player,201010310kan,buf,NelsDa01,pass_yds,0,,,,,
player,201010310kan,buf,NelsDa01,pass_td,0,,,,,
player,201010310kan,buf,NelsDa01,pass_int,0,,,,,
player,201010310kan,buf,NelsDa01,pass_sacked,,,,,,
player,201010310kan,buf,NelsDa01,pass_sacked_yds,,,,,,
player,201010310kan,buf,NelsDa01,pass_long,0,,,,,
player,201010310kan,buf,NelsDa01,pass_rating,,,,,,
player,201010310kan,buf,NelsDa01,rush_att,0,,,,,
player,201010310kan,buf,NelsDa01,rush_yds,0,,,,,
player,201010310kan,buf,NelsDa01,rush_td,0,,,,,
player,201010310kan,buf,NelsDa01,rush_long,0,,,,,
player,201010310kan,buf,NelsDa01,targets,5,,,,,
player,201010310kan,buf,NelsDa01,rec,3,,,,,
player,201010310kan,buf,NelsDa01,rec_yds,25,,,,,
player,201010310kan,buf,NelsDa01,rec_td,0,,,,,
player,201010310kan,buf,NelsDa01,rec_long,9,,,,,
player,201010310kan,buf,NelsDa01,fumbles,0,,,,,
player,201010310kan,buf,NelsDa01,fumbles_lost,,,,,,
player,201010310kan,kan,CassMa00,pass_cmp,14,,,,,
player,201010310kan,kan,CassMa00,pass_att,26,,,,,
player,201010310kan,kan,CassMa00,pass_yds,152,,,,,
player,201010310kan,kan,CassMa00,pass_td,1,,,,,
player,201010310kan,kan,CassMa00,pass_int,0,,,,,
player,201010310kan,kan,CassMa00,pass_sacked,3,,,,,
player,201010310kan,kan,CassMa00,pass_sacked_yds,12,,,,,
player,201010310kan,kan,CassMa00,pass_long,31,,,,,
player,201010310kan,kan,CassMa00,pass_rating,84.1,,,,,
player,201010310kan,kan,CassMa00,rush_att,2,,,,,
player,201010310kan,kan,CassMa00,rush_yds,13,,,,,
player,201010310kan,kan,CassMa00,rush_td,0,,,,,
player,201010310kan,kan,CassMa00,rush_long,8,,,,,
player,201010310kan,kan,CassMa00,targets,0,,,,,
player,201010310kan,kan,CassMa00,rec,0,,,,,
player,201010310kan,kan,CassMa00,rec_yds,0,,,,,
player,201010310kan,kan,CassMa00,rec_td,0,,,,,
player,201010310kan,kan,CassMa00,rec_long,0,,,,,
player,201010310kan,kan,CassMa00,fumbles,0,,,,,
player,201010310kan,kan,CassMa00,fumbles_lost,,,,,,
player,201010310kan,kan,CharJa00,pass_cmp,0,,,,,
player,201010310kan,kan,CharJa00,pass_att,0,,,,,
player,201010310kan,kan,CharJa00,pass_yds,0,,,,,
player,201010310kan,kan,CharJa00,pass_td,0,,,,,
player,201010310kan,kan,CharJa00,pass_int,0,,,,,
player,201010310kan,kan,CharJa00,pass_sacked,,,,,,
player,201010310kan,kan,CharJa00,pass_sacked_yds,,,,,,
player,201010310kan,kan,CharJa00,pass_long,0,,,,,
player,201010310kan,kan,CharJa00,pass_rating,,,,,,
player,201010310kan,kan,CharJa00,rush_att,22,,,,,
player,201010310kan,kan,CharJa00,rush_yds,177,,,,,
player,201010310kan,kan,CharJa00,rush_td,0,,,,,
player,201010310kan,kan,CharJa00,rush_long,32,,,,,
player,201010310kan,kan,CharJa00,targets,5,,,,,
player,201010310kan,kan,CharJa00,rec,4,,,,,
player,201010310kan,kan,CharJa00,rec_yds,61,,,,,
player,201010310kan,kan,CharJa00,rec_td,0,,,,,
player,201010310kan,kan,CharJa00,rec_long,31,,,,,
player,201010310kan,kan,CharJa00,fumbles,0,,,,,
player,201010310kan,kan,CharJa00,fumbles_lost,,,,,,
player,201010310kan,kan,JoneTh00,pass_cmp,0,,,,,
player,201010310kan,kan,JoneTh00,pass_att,0,,,,,
player,201010310kan,kan,JoneTh00,pass_yds,0,,,,,
player,201010310kan,kan,JoneTh00,pass_td,0,,,,,
player,201010310kan,kan,JoneTh00,pass_int,0,,,,,
player,201010310kan,kan,JoneTh00,pass_sacked,,,,,,
player,201010310kan,kan,JoneTh00,pass_sacked_yds,,,,,,
player,201010310kan,kan,JoneTh00,pass_long,0,,,,,
player,201010310kan,kan,JoneTh00,pass_rating,,,,,,
player,201010310kan,kan,JoneTh00,rush_att,19,,,,,
player,201010310kan,kan,JoneTh00,rush_yds,77,,,,,
player,201010310kan,kan,JoneTh00,rush_td,0,,,,,
player,201010310kan,kan,JoneTh00,rush_long,13,,,,,
player,201010310kan,kan,JoneTh00,targets,1,,,,,
player,201010310kan,kan,JoneTh00,rec,1,,,,,
player,201010310kan,kan,JoneTh00,rec_yds,5,,,,,
player,201010310kan,kan,JoneTh00,rec_td,0,,,,,
player,201010310kan,kan,JoneTh00,rec_long,5,,,,,
player,201010310kan,kan,JoneTh00,fumbles,0,,,,,
player,201010310kan,kan,JoneTh00,fumbles_lost,,,,,,
player,201010310kan,kan,BoweDw00,pass_cmp,0,,,,,
player,201010310kan,kan,BoweDw00,pass_att,0,,,,,
player,201010310kan,kan,BoweDw00,pass_yds,0,,,,,
player,201010310kan,kan,BoweDw00,pass_td,0,,,,,
player,201010310kan,kan,BoweDw00,pass_int,0,,,,,
player,201010310kan,kan,BoweDw00,pass_sacked,,,,,,
player,201010310kan,kan,BoweDw00,pass_sacked_yds,,,,,,
player,201010310kan,kan,BoweDw00,pass_long,0,,,,,
player,201010310kan,kan,BoweDw00,pass_rating,,,,,,
player,201010310kan,kan,BoweDw00,rush_att,1,,,,,
player,201010310kan,kan,BoweDw00,rush_yds,4,,,,,
player,201010310kan,kan,BoweDw00,rush_td,0,,,,,
player,201010310kan,kan,BoweDw00,rush_long,4,,,,,
player,201010310kan,kan,BoweDw00,targets,6,,,,,
player,201010310kan,kan,BoweDw00,rec,3,,,,,
player,201010310kan,kan,BoweDw00,rec_yds,16,,,,,
player,201010310kan,kan,BoweDw00,rec_td,1,,,,,
player,201010310kan,kan,BoweDw00,rec_long,8,,,,,
player,201010310kan,kan,BoweDw00,fumbles,0,,,,,
player,201010310kan,kan,BoweDw00,fumbles_lost,,,,,,
player,201010310kan,kan,BattJa00,pass_cmp,0,,,,,
player,201010310kan,kan,BattJa00,pass_att,0,,,,,
player,201010310kan,kan,BattJa00,pass_yds,0,,,,,
player,201010310kan,kan,BattJa00,pass_td,0,,,,,
player,201010310kan,kan,BattJa00,pass_int,0,,,,,
player,201010310kan,kan,BattJa00,pass_sacked,,,,,,
player,201010310kan,kan,BattJa00,pass_sacked_yds,,,,,,
player,201010310kan,kan,BattJa00,pass_long,0,,,,,
player,201010310kan,kan,BattJa00,pass_rating,,,,,,
player,201010310kan,kan,BattJa00,rush_att,1,,,,,
player,201010310kan,kan,BattJa00,rush_yds,3,,,,,
player,201010310kan,kan,BattJa00,rush_td,0,,,,,
player,201010310kan,kan,BattJa00,rush_long,3,,,,,
player,201010310kan,kan,BattJa00,targets,0,,,,,
player,201010310kan,kan,BattJa00,rec,0,,,,,
player,201010310kan,kan,BattJa00,rec_yds,0,,,,,
player,201010310kan,kan,BattJa00,rec_td,0,,,,,
player,201010310kan,kan,BattJa00,rec_long,0,,,,,
player,201010310kan,kan,BattJa00,fumbles,0,,,,,
player,201010310kan,kan,BattJa00,fumbles_lost,,,,,,
player,201010310kan,kan,MoeaTo00,pass_cmp,0,,,,,
player,201010310kan,kan,MoeaTo00,pass_att,0,,,,,
player,201010310kan,kan,MoeaTo00,pass_yds,0,,,,,
player,201010310kan,kan,MoeaTo00,pass_td,0,,,,,
player,201010310kan,kan,MoeaTo00,pass_int,0,,,,,
player,201010310kan,kan,MoeaTo00,pass_sacked,,,,,,
player,201010310kan,kan,MoeaTo00,pass_sacked_yds,,,,,,
player,201010310kan,kan,MoeaTo00,pass_long,0,,,,,
player,201010310kan,kan,MoeaTo00,pass_rating,,,,,,
player,201010310kan,kan,MoeaTo00,rush_att,0,,,,,
player,201010310kan,kan,MoeaTo00,rush_yds,0,,,,,
player,201010310kan,kan,MoeaTo00,rush_td,0,,,,,
player,201010310kan,kan,MoeaTo00,rush_long,0,,,,,
player,201010310kan,kan,MoeaTo00,targets,4,,,,,
player,201010310kan,kan,MoeaTo00,rec,3,,,,,
player,201010310kan,kan,MoeaTo00,rec_yds,45,,,,,
player,201010310kan,kan,MoeaTo00,rec_td,0,,,,,
player,201010310kan,kan,MoeaTo00,rec_long,18,,,,,
player,201010310kan,kan,MoeaTo00,fumbles,0,,,,,
player,201010310kan,kan,MoeaTo00,fumbles_lost,,,,,,
player,201010310kan,kan,PopeLe00,pass_cmp,0,,,,,
player,201010310kan,kan,PopeLe00,pass_att,0,,,,,
player,201010310kan,kan,PopeLe00,pass_yds,0,,,,,
player,201010310kan,kan,PopeLe00,pass_td,0,,,,,
player,201010310kan,kan,PopeLe00,pass_int,0,,,,,
player,201010310kan,kan,PopeLe00,pass_sacked,,,,,,
player,201010310kan,kan,PopeLe00,pass_sacked_yds,,,,,,
player,201010310kan,kan,PopeLe00,pass_long,0,,,,,
player,201010310kan,kan,PopeLe00,pass_rating,,,,,,
player,201010310kan,kan,PopeLe00,rush_att,0,,,,,
player,201010310kan,kan,PopeLe00,rush_yds,0,,,,,
player,201010310kan,kan,PopeLe00,rush_td,0,,,,,
player,201010310kan,kan,PopeLe00,rush_long,0,,,,,
player,201010310kan,kan,PopeLe00,targets,4,,,,,
player,201010310kan,kan,PopeLe00,rec,2,,,,,
player,201010310kan,kan,PopeLe00,rec_yds,20,,,,,
player,201010310kan,kan,PopeLe00,rec_td,0,,,,,
player,201010310kan,kan,PopeLe00,rec_long,14,,,,,
player,201010310kan,kan,PopeLe00,fumbles,0,,,,,
player,201010310kan,kan,PopeLe00,fumbles_lost,,,,,,
player,201010310kan,kan,CoppTe00,pass_cmp,0,,,,,
player,201010310kan,kan,CoppTe00,pass_att,0,,,,,
player,201010310kan,kan,CoppTe00,pass_yds,0,,,,,
player,201010310kan,kan,CoppTe00,pass_td,0,,,,,
player,201010310kan,kan,CoppTe00,pass_int,0,,,,,
player,201010310kan,kan,CoppTe00,pass_sacked,,,,,,
player,201010310kan,kan,CoppTe00,pass_sacked_yds,,,,,,
player,201010310kan,kan,CoppTe00,pass_long,0,,,,,
player,201010310kan,kan,CoppTe00,pass_rating,,,,,,
player,201010310kan,kan,CoppTe00,rush_att,0,,,,,
player,201010310kan,kan,CoppTe00,rush_yds,0,,,,,
player,201010310kan,kan,CoppTe00,rush_td,0,,,,,
player,201010310kan,kan,CoppTe00,rush_long,0,,,,,
player,201010310kan,kan,CoppTe00,targets,1,,,,,
player,201010310kan,kan,CoppTe00,rec,1,,,,,
player,201010310kan,kan,CoppTe00,rec_yds,5,,,,,
player,201010310kan,kan,CoppTe00,rec_td,0,,,,,
player,201010310kan,kan,CoppTe00,rec_long,5,,,,,
player,201010310kan,kan,CoppTe00,fumbles,0,,,,,
player,201010310kan,kan,CoppTe00,fumbles_lost,,,,,,
player,201010310kan,kan,ChamCh00,pass_cmp,,,,,,
player,201010310kan,kan,ChamCh00,pass_att,,,,,,
player,201010310kan,kan,ChamCh00,pass_yds,,,,,,
player,201010310kan,kan,ChamCh00,pass_td,,,,,,
player,201010310kan,kan,ChamCh00,pass_int,,,,,,
player,201010310kan,kan,ChamCh00,pass_sacked,,,,,,
player,201010310kan,kan,ChamCh00,pass_sacked_yds,,,,,,
player,201010310kan,kan,ChamCh00,pass_long,,,,,,
player,201010310kan,kan,ChamCh00,pass_rating,,,,,,
player,201010310kan,kan,ChamCh00,rush_att,,,,,,
player,201010310kan,kan,ChamCh00,rush_yds,,,,,,
player,201010310kan,kan,ChamCh00,rush_td,,,,,,
player,201010310kan,kan,ChamCh00,rush_long,,,,,,
player,201010310kan,kan,ChamCh00,targets,1,,,,,
player,201010310kan,kan,ChamCh00,rec,0,,,,,
player,201010310kan,kan,ChamCh00,rec_yds,0,,,,,
player,201010310kan,kan,ChamCh00,rec_td,0,,,,,
player,201010310kan,kan,ChamCh00,rec_long,,,,,,
player,201010310kan,kan,ChamCh00,fumbles,,,,,,
player,201010310kan,kan,ChamCh00,fumbles_lost,,,,,,
player,201010310kan,kan,TuckVe00,pass_cmp,,,,,,
player,201010310kan,kan,TuckVe00,pass_att,,,,,,
player,201010310kan,kan,TuckVe00,pass_yds,,,,,,
player,201010310kan,kan,TuckVe00,pass_td,,,,,,
player,201010310kan,kan,TuckVe00,pass_int,,,,,,
player,201010310kan,kan,TuckVe00,pass_sacked,,,,,,
player,201010310kan,kan,TuckVe00,pass_sacked_yds,,,,,,
player,201010310kan,kan,TuckVe00,pass_long,,,,,,
player,201010310kan,kan,TuckVe00,pass_rating,,,,,,
player,201010310kan,kan,TuckVe00,rush_att,,,,,,
player,201010310kan,kan,TuckVe00,rush_yds,,,,,,
player,201010310kan,kan,TuckVe00,rush_td,,,,,,
player,201010310kan,kan,TuckVe00,rush_long,,,,,,
player,201010310kan,kan,TuckVe00,targets,2,,,,,
player,201010310kan,kan,TuckVe00,rec,0,,,,,
player,201010310kan,kan,TuckVe00,rec_yds,0,,,,,
player,201010310kan,kan,TuckVe00,rec_td,0,,,,,
player,201010310kan,kan,TuckVe00,rec_long,,,,,,
player,201010310kan,kan,TuckVe00,fumbles,,,,,,
player,201010310kan,kan,TuckVe00,fumbles_lost,,,,,,
player,201010310kan,buf,WillKy20,def_int,0,,,,,
player,201010310kan,buf,WillKy20,def_int_yds,0,,,,,
player,201010310kan,buf,WillKy20,def_int_td,0,,,,,
player,201010310kan,buf,WillKy20,def_int_long,0,,,,,
player,201010310kan,buf,WillKy20,pass_defended,0,,,,,
player,201010310kan,buf,WillKy20,sacks,2.0,,,,,
player,201010310kan,buf,WillKy20,tackles_combined,9,,,,,
player,201010310kan,buf,WillKy20,tackles_solo,6,,,,,
player,201010310kan,buf,WillKy20,tackles_assists,3,,,,,
player,201010310kan,buf,WillKy20,tackles_loss,3,,,,,
player,201010310kan,buf,WillKy20,qb_hits,3,,,,,
player,201010310kan,buf,WillKy20,fumbles_rec,0,,,,,
player,201010310kan,buf,WillKy20,fumbles_rec_yds,0,,,,,
player,201010310kan,buf,WillKy20,fumbles_rec_td,0,,,,,
player,201010310kan,buf,WillKy20,fumbles_forced,0,,,,,
player,201010310kan,buf,StroMa01,def_int,0,,,,,
player,201010310kan,buf,StroMa01,def_int_yds,0,,,,,
player,201010310kan,buf,StroMa01,def_int_td,0,,,,,
player,201010310kan,buf,StroMa01,def_int_long,0,,,,,
player,201010310kan,buf,StroMa01,pass_defended,0,,,,,
player,201010310kan,buf,StroMa01,sacks,1.0,,,,,
player,201010310kan,buf,StroMa01,tackles_combined,4,,,,,
player,201010310kan,buf,StroMa01,tackles_solo,3,,,,,
player,201010310kan,buf,StroMa01,tackles_assists,1,,,,,
player,201010310kan,buf,StroMa01,tackles_loss,1,,,,,
player,201010310kan,buf,StroMa01,qb_hits,1,,,,,
player,201010310kan,buf,StroMa01,fumbles_rec,0,,,,,
player,201010310kan,buf,StroMa01,fumbles_rec_yds,0,,,,,
player,201010310kan,buf,StroMa01,fumbles_rec_td,0,,,,,
player,201010310kan,buf,StroMa01,fumbles_forced,0,,,,,
player,201010310kan,buf,PoluPa99,def_int,0,,,,,
player,201010310kan,buf,PoluPa99,def_int_yds,0,,,,,
player,201010310kan,buf,PoluPa99,def_int_td,0,,,,,
player,201010310kan,buf,PoluPa99,def_int_long,0,,,,,
player,201010310kan,buf,PoluPa99,pass_defended,1,,,,,
player,201010310kan,buf,PoluPa99,sacks,0.0,,,,,
player,201010310kan,buf,PoluPa99,tackles_combined,17,,,,,
player,201010310kan,buf,PoluPa99,tackles_solo,11,,,,,
player,201010310kan,buf,PoluPa99,tackles_assists,6,,,,,
player,201010310kan,buf,PoluPa99,tackles_loss,0,,,,,
player,201010310kan,buf,PoluPa99,qb_hits,0,,,,,
player,201010310kan,buf,PoluPa99,fumbles_rec,0,,,,,
player,201010310kan,buf,PoluPa99,fumbles_rec_yds,0,,,,,
player,201010310kan,buf,PoluPa99,fumbles_rec_td,0,,,,,
player,201010310kan,buf,PoluPa99,fumbles_forced,0,,,,,
player,201010310kan,buf,WhitDo20,def_int,0,,,,,
player,201010310kan,buf,WhitDo20,def_int_yds,0,,,,,
player,201010310kan,buf,WhitDo20,def_int_td,0,,,,,
player,201010310kan,buf,WhitDo20,def_int_long,0,,,,,
player,201010310kan,buf,WhitDo20,pass_defended,0,,,,,
player,201010310kan,buf,WhitDo20,sacks,0.0,,,,,
player,201010310kan,buf,WhitDo20,tackles_combined,11,,,,,
player,201010310kan,buf,WhitDo20,tackles_solo,7,,,,,
player,201010310kan,buf,WhitDo20,tackles_assists,4,,,,,
player,201010310kan,buf,WhitDo20,tackles_loss,0,,,,,
player,201010310kan,buf,WhitDo20,qb_hits,0,,,,,
player,201010310kan,buf,WhitDo20,fumbles_rec,0,,,,,
player,201010310kan,buf,WhitDo20,fumbles_rec_yds,0,,,,,
player,201010310kan,buf,WhitDo20,fumbles_rec_td,0,,,,,
player,201010310kan,buf,WhitDo20,fumbles_forced,0,,,,,
player,201010310kan,buf,EdwaDw20,def_int,0,,,,,
player,201010310kan,buf,EdwaDw20,def_int_yds,0,,,,,
player,201010310kan,buf,EdwaDw20,def_int_td,0,,,,,
player,201010310kan,buf,EdwaDw20,def_int_long,0,,,,,
player,201010310kan,buf,EdwaDw20,pass_defended,0,,,,,
player,201010310kan,buf,EdwaDw20,sacks,0.0,,,,,
player,201010310kan,buf,EdwaDw20,tackles_combined,6,,,,,
player,201010310kan,buf,EdwaDw20,tackles_solo,4,,,,,
player,201010310kan,buf,EdwaDw20,tackles_assists,2,,,,,
player,201010310kan,buf,EdwaDw20,tackles_loss,0,,,,,
player,201010310kan,buf,EdwaDw20,qb_hits,1,,,,,
player,201010310kan,buf,EdwaDw20,fumbles_rec,0,,,,,
player,201010310kan,buf,EdwaDw20,fumbles_rec_yds,0,,,,,
player,201010310kan,buf,EdwaDw20,fumbles_rec_td,0,,,,,
player,201010310kan,buf,EdwaDw20,fumbles_forced,0,,,,,
player,201010310kan,buf,McKeLe99,def_int,0,,,,,
player,201010310kan,buf,McKeLe99,def_int_yds,0,,,,,
player,201010310kan,buf,McKeLe99,def_int_td,0,,,,,
player,201010310kan,buf,McKeLe99,def_int_long,0,,,,,
player,201010310kan,buf,McKeLe99,pass_defended,0,,,,,
player,201010310kan,buf,McKeLe99,sacks,0.0,,,,,
player,201010310kan,buf,McKeLe99,tackles_combined,6,,,,,
player,201010310kan,buf,McKeLe99,tackles_solo,5,,,,,
player,201010310kan,buf,McKeLe99,tackles_assists,1,,,,,
player,201010310kan,buf,McKeLe99,tackles_loss,0,,,,,
player,201010310kan,buf,McKeLe99,qb_hits,0,,,,,
player,201010310kan,buf,McKeLe99,fumbles_rec,0,,,,,
player,201010310kan,buf,McKeLe99,fumbles_rec_yds,0,,,,,
player,201010310kan,buf,McKeLe99,fumbles_rec_td,0,,,,,
player,201010310kan,buf,McKeLe99,fumbles_forced,0,,,,,
player,201010310kan,buf,TorbRe20,def_int,0,,,,,
