game,2010,12,20101128,201011280nyg,jax,"Jacksonville Jaguars",20,nyg,"New York Giants",24
player,201011280nyg,jax,JennRa00,rec_td,0,,,,,
player,201011280nyg,jax,JennRa00,rec_long,0,,,,,
player,201011280nyg,jax,JennRa00,fumbles,0,,,,,
player,201011280nyg,jax,JennRa00,fumbles_lost,,,,,,
player,201011280nyg,jax,WalkMi01,pass_cmp,0,,,,,
player,201011280nyg,jax,WalkMi01,pass_att,0,,,,,
player,201011280nyg,jax,WalkMi01,pass_yds,0,,,,,
player,201011280nyg,jax,WalkMi01,pass_td,0,,,,,
player,201011280nyg,jax,WalkMi01,pass_int,0,,,,,
player,201011280nyg,jax,WalkMi01,pass_sacked,,,,,,
player,201011280nyg,jax,WalkMi01,pass_sacked_yds,,,,,,
player,201011280nyg,jax,WalkMi01,pass_long,0,,,,,
player,201011280nyg,jax,WalkMi01,pass_rating,,,,,,
player,201011280nyg,jax,WalkMi01,rush_att,0,,,,,
player,201011280nyg,jax,WalkMi01,rush_yds,0,,,,,
player,201011280nyg,jax,WalkMi01,rush_td,0,,,,,
player,201011280nyg,jax,WalkMi01,rush_long,0,,,,,
player,201011280nyg,jax,WalkMi01,targets,10,,,,,
player,201011280nyg,jax,WalkMi01,rec,4,,,,,
player,201011280nyg,jax,WalkMi01,rec_yds,48,,,,,
player,201011280nyg,jax,WalkMi01,rec_td,0,,,,,
player,201011280nyg,jax,WalkMi01,rec_long,21,,,,,
player,201011280nyg,jax,WalkMi01,fumbles,0,,,,,
player,201011280nyg,jax,WalkMi01,fumbles_lost,,,,,,
player,201011280nyg,jax,ThomMi01,pass_cmp,0,,,,,
player,201011280nyg,jax,ThomMi01,pass_att,0,,,,,
player,201011280nyg,jax,ThomMi01,pass_yds,0,,,,,
player,201011280nyg,jax,ThomMi01,pass_td,0,,,,,
player,201011280nyg,jax,ThomMi01,pass_int,0,,,,,
player,201011280nyg,jax,ThomMi01,pass_sacked,,,,,,
player,201011280nyg,jax,ThomMi01,pass_sacked_yds,,,,,,
player,201011280nyg,jax,ThomMi01,pass_long,0,,,,,
player,201011280nyg,jax,ThomMi01,pass_rating,,,,,,
player,201011280nyg,jax,ThomMi01,rush_att,0,,,,,
player,201011280nyg,jax,ThomMi01,rush_yds,0,,,,,
player,201011280nyg,jax,ThomMi01,rush_td,0,,,,,
player,201011280nyg,jax,ThomMi01,rush_long,0,,,,,
player,201011280nyg,jax,ThomMi01,targets,9,,,,,
player,201011280nyg,jax,ThomMi01,rec,6,,,,,
player,201011280nyg,jax,ThomMi01,rec_yds,46,,,,,
player,201011280nyg,jax,ThomMi01,rec_td,0,,,,,
player,201011280nyg,jax,ThomMi01,rec_long,14,,,,,
player,201011280nyg,jax,ThomMi01,fumbles,0,,,,,
player,201011280nyg,jax,ThomMi01,fumbles_lost,,,,,,
player,201011280nyg,jax,LewiMa00,pass_cmp,0,,,,,
player,201011280nyg,jax,LewiMa00,pass_att,0,,,,,
player,201011280nyg,jax,LewiMa00,pass_yds,0,,,,,
player,201011280nyg,jax,LewiMa00,pass_td,0,,,,,
player,201011280nyg,jax,LewiMa00,pass_int,0,,,,,
player,201011280nyg,jax,LewiMa00,pass_sacked,,,,,,
player,201011280nyg,jax,LewiMa00,pass_sacked_yds,,,,,,
player,201011280nyg,jax,LewiMa00,pass_long,0,,,,,
player,201011280nyg,jax,LewiMa00,pass_rating,,,,,,
player,201011280nyg,jax,LewiMa00,rush_att,0,,,,,
player,201011280nyg,jax,LewiMa00,rush_yds,0,,,,,
player,201011280nyg,jax,LewiMa00,rush_td,0,,,,,
player,201011280nyg,jax,LewiMa00,rush_long,0,,,,,
player,201011280nyg,jax,LewiMa00,targets,5,,,,,
player,201011280nyg,jax,LewiMa00,rec,3,,,,,
player,201011280nyg,jax,LewiMa00,rec_yds,36,,,,,
player,201011280nyg,jax,LewiMa00,rec_td,0,,,,,
player,201011280nyg,jax,LewiMa00,rec_long,16,,,,,
player,201011280nyg,jax,LewiMa00,fumbles,0,,,,,
player,201011280nyg,jax,LewiMa00,fumbles_lost,,,,,,
player,201011280nyg,jax,HillJa00,pass_cmp,0,,,,,
player,201011280nyg,jax,HillJa00,pass_att,0,,,,,
player,201011280nyg,jax,HillJa00,pass_yds,0,,,,,
player,201011280nyg,jax,HillJa00,pass_td,0,,,,,
player,201011280nyg,jax,HillJa00,pass_int,0,,,,,
player,201011280nyg,jax,HillJa00,pass_sacked,,,,,,
player,201011280nyg,jax,HillJa00,pass_sacked_yds,,,,,,
player,201011280nyg,jax,HillJa00,pass_long,0,,,,,
player,201011280nyg,jax,HillJa00,pass_rating,,,,,,
player,201011280nyg,jax,HillJa00,rush_att,0,,,,,
player,201011280nyg,jax,HillJa00,rush_yds,0,,,,,
player,201011280nyg,jax,HillJa00,rush_td,0,,,,,
player,201011280nyg,jax,HillJa00,rush_long,0,,,,,
player,201011280nyg,jax,HillJa00,targets,1,,,,,
player,201011280nyg,jax,HillJa00,rec,1,,,,,
player,201011280nyg,jax,HillJa00,rec_yds,15,,,,,
player,201011280nyg,jax,HillJa00,rec_td,0,,,,,
player,201011280nyg,jax,HillJa00,rec_long,15,,,,,
player,201011280nyg,jax,HillJa00,fumbles,0,,,,,
player,201011280nyg,jax,HillJa00,fumbles_lost,,,,,,
player,201011280nyg,jax,OsgoKa00,pass_cmp,0,,,,,
player,201011280nyg,jax,OsgoKa00,pass_att,0,,,,,
player,201011280nyg,jax,OsgoKa00,pass_yds,0,,,,,
player,201011280nyg,jax,OsgoKa00,pass_td,0,,,,,
player,201011280nyg,jax,OsgoKa00,pass_int,0,,,,,
player,201011280nyg,jax,OsgoKa00,pass_sacked,,,,,,
player,201011280nyg,jax,OsgoKa00,pass_sacked_yds,,,,,,
player,201011280nyg,jax,OsgoKa00,pass_long,0,,,,,
player,201011280nyg,jax,OsgoKa00,pass_rating,,,,,,
player,201011280nyg,jax,OsgoKa00,rush_att,0,,,,,
player,201011280nyg,jax,OsgoKa00,rush_yds,0,,,,,
player,201011280nyg,jax,OsgoKa00,rush_td,0,,,,,
player,201011280nyg,jax,OsgoKa00,rush_long,0,,,,,
player,201011280nyg,jax,OsgoKa00,targets,3,,,,,
player,201011280nyg,jax,OsgoKa00,rec,1,,,,,
player,201011280nyg,jax,OsgoKa00,rec_yds,6,,,,,
player,201011280nyg,jax,OsgoKa00,rec_td,0,,,,,
player,201011280nyg,jax,OsgoKa00,rec_long,6,,,,,
player,201011280nyg,jax,OsgoKa00,fumbles,0,,,,,
player,201011280nyg,jax,OsgoKa00,fumbles_lost,,,,,,
player,201011280nyg,jax,JoneGr01,pass_cmp,0,,,,,
player,201011280nyg,jax,JoneGr01,pass_att,0,,,,,
player,201011280nyg,jax,JoneGr01,pass_yds,0,,,,,
player,201011280nyg,jax,JoneGr01,pass_td,0,,,,,
player,201011280nyg,jax,JoneGr01,pass_int,0,,,,,
player,201011280nyg,jax,JoneGr01,pass_sacked,,,,,,
player,201011280nyg,jax,JoneGr01,pass_sacked_yds,,,,,,
player,201011280nyg,jax,JoneGr01,pass_long,0,,,,,
player,201011280nyg,jax,JoneGr01,pass_rating,,,,,,
player,201011280nyg,jax,JoneGr01,rush_att,0,,,,,
player,201011280nyg,jax,JoneGr01,rush_yds,0,,,,,
player,201011280nyg,jax,JoneGr01,rush_td,0,,,,,
player,201011280nyg,jax,JoneGr01,rush_long,0,,,,,
player,201011280nyg,jax,JoneGr01,targets,1,,,,,
player,201011280nyg,jax,JoneGr01,rec,1,,,,,
player,201011280nyg,jax,JoneGr01,rec_yds,2,,,,,
player,201011280nyg,jax,JoneGr01,rec_td,0,,,,,
player,201011280nyg,jax,JoneGr01,rec_long,2,,,,,
player,201011280nyg,jax,JoneGr01,fumbles,0,,,,,
player,201011280nyg,jax,JoneGr01,fumbles_lost,,,,,,
player,201011280nyg,jax,PottZa99,pass_cmp,,,,,,
player,201011280nyg,jax,PottZa99,pass_att,,,,,,
player,201011280nyg,jax,PottZa99,pass_yds,,,,,,
player,201011280nyg,jax,PottZa99,pass_td,,,,,,
player,201011280nyg,jax,PottZa99,pass_int,,,,,,
player,201011280nyg,jax,PottZa99,pass_sacked,,,,,,
player,201011280nyg,jax,PottZa99,pass_sacked_yds,,,,,,
player,201011280nyg,jax,PottZa99,pass_long,,,,,,
player,201011280nyg,jax,PottZa99,pass_rating,,,,,,
player,201011280nyg,jax,PottZa99,rush_att,,,,,,
player,201011280nyg,jax,PottZa99,rush_yds,,,,,,
player,201011280nyg,jax,PottZa99,rush_td,,,,,,
player,201011280nyg,jax,PottZa99,rush_long,,,,,,
player,201011280nyg,jax,PottZa99,targets,1,,,,,
player,201011280nyg,jax,PottZa99,rec,0,,,,,
player,201011280nyg,jax,PottZa99,rec_yds,0,,,,,
player,201011280nyg,jax,PottZa99,rec_td,0,,,,,
player,201011280nyg,jax,PottZa99,rec_long,,,,,,
player,201011280nyg,jax,PottZa99,fumbles,,,,,,
player,201011280nyg,jax,PottZa99,fumbles_lost,,,,,,
player,201011280nyg,nyg,MannEl00,pass_cmp,14,,,,,
player,201011280nyg,nyg,MannEl00,pass_att,24,,,,,
player,201011280nyg,nyg,MannEl00,pass_yds,226,,,,,
player,201011280nyg,nyg,MannEl00,pass_td,2,,,,,
player,201011280nyg,nyg,MannEl00,pass_int,0,,,,,
player,201011280nyg,nyg,MannEl00,pass_sacked,0,,,,,
player,201011280nyg,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201011280nyg,nyg,MannEl00,pass_long,32,,,,,
player,201011280nyg,nyg,MannEl00,pass_rating,117.7,,,,,
player,201011280nyg,nyg,MannEl00,rush_att,3,,,,,
player,201011280nyg,nyg,MannEl00,rush_yds,-1,,,,,
player,201011280nyg,nyg,MannEl00,rush_td,0,,,,,
player,201011280nyg,nyg,MannEl00,rush_long,1,,,,,
player,201011280nyg,nyg,MannEl00,targets,0,,,,,
player,201011280nyg,nyg,MannEl00,rec,0,,,,,
player,201011280nyg,nyg,MannEl00,rec_yds,0,,,,,
player,201011280nyg,nyg,MannEl00,rec_td,0,,,,,
player,201011280nyg,nyg,MannEl00,rec_long,0,,,,,
player,201011280nyg,nyg,MannEl00,fumbles,0,,,,,
player,201011280nyg,nyg,MannEl00,fumbles_lost,,,,,,
player,201011280nyg,nyg,JacoBr00,pass_cmp,0,,,,,
player,201011280nyg,nyg,JacoBr00,pass_att,0,,,,,
player,201011280nyg,nyg,JacoBr00,pass_yds,0,,,,,
player,201011280nyg,nyg,JacoBr00,pass_td,0,,,,,
player,201011280nyg,nyg,JacoBr00,pass_int,0,,,,,
player,201011280nyg,nyg,JacoBr00,pass_sacked,,,,,,
player,201011280nyg,nyg,JacoBr00,pass_sacked_yds,,,,,,
player,201011280nyg,nyg,JacoBr00,pass_long,0,,,,,
player,201011280nyg,nyg,JacoBr00,pass_rating,,,,,,
player,201011280nyg,nyg,JacoBr00,rush_att,14,,,,,
player,201011280nyg,nyg,JacoBr00,rush_yds,87,,,,,
player,201011280nyg,nyg,JacoBr00,rush_td,0,,,,,
player,201011280nyg,nyg,JacoBr00,rush_long,18,,,,,
player,201011280nyg,nyg,JacoBr00,targets,0,,,,,
player,201011280nyg,nyg,JacoBr00,rec,0,,,,,
player,201011280nyg,nyg,JacoBr00,rec_yds,0,,,,,
player,201011280nyg,nyg,JacoBr00,rec_td,0,,,,,
player,201011280nyg,nyg,JacoBr00,rec_long,0,,,,,
player,201011280nyg,nyg,JacoBr00,fumbles,0,,,,,
player,201011280nyg,nyg,JacoBr00,fumbles_lost,,,,,,
player,201011280nyg,nyg,BradAh00,pass_cmp,0,,,,,
player,201011280nyg,nyg,BradAh00,pass_att,0,,,,,
player,201011280nyg,nyg,BradAh00,pass_yds,0,,,,,
player,201011280nyg,nyg,BradAh00,pass_td,0,,,,,
player,201011280nyg,nyg,BradAh00,pass_int,0,,,,,
player,201011280nyg,nyg,BradAh00,pass_sacked,,,,,,
player,201011280nyg,nyg,BradAh00,pass_sacked_yds,,,,,,
player,201011280nyg,nyg,BradAh00,pass_long,0,,,,,
player,201011280nyg,nyg,BradAh00,pass_rating,,,,,,
player,201011280nyg,nyg,BradAh00,rush_att,9,,,,,
player,201011280nyg,nyg,BradAh00,rush_yds,49,,,,,
player,201011280nyg,nyg,BradAh00,rush_td,0,,,,,
player,201011280nyg,nyg,BradAh00,rush_long,27,,,,,
player,201011280nyg,nyg,BradAh00,targets,4,,,,,
player,201011280nyg,nyg,BradAh00,rec,4,,,,,
player,201011280nyg,nyg,BradAh00,rec_yds,34,,,,,
player,201011280nyg,nyg,BradAh00,rec_td,0,,,,,
player,201011280nyg,nyg,BradAh00,rec_long,12,,,,,
player,201011280nyg,nyg,BradAh00,fumbles,0,,,,,
player,201011280nyg,nyg,BradAh00,fumbles_lost,,,,,,
player,201011280nyg,nyg,BossKe00,pass_cmp,0,,,,,
player,201011280nyg,nyg,BossKe00,pass_att,0,,,,,
player,201011280nyg,nyg,BossKe00,pass_yds,0,,,,,
player,201011280nyg,nyg,BossKe00,pass_td,0,,,,,
player,201011280nyg,nyg,BossKe00,pass_int,0,,,,,
player,201011280nyg,nyg,BossKe00,pass_sacked,,,,,,
player,201011280nyg,nyg,BossKe00,pass_sacked_yds,,,,,,
player,201011280nyg,nyg,BossKe00,pass_long,0,,,,,
player,201011280nyg,nyg,BossKe00,pass_rating,,,,,,
player,201011280nyg,nyg,BossKe00,rush_att,0,,,,,
player,201011280nyg,nyg,BossKe00,rush_yds,0,,,,,
player,201011280nyg,nyg,BossKe00,rush_td,0,,,,,
player,201011280nyg,nyg,BossKe00,rush_long,0,,,,,
player,201011280nyg,nyg,BossKe00,targets,8,,,,,
player,201011280nyg,nyg,BossKe00,rec,3,,,,,
player,201011280nyg,nyg,BossKe00,rec_yds,74,,,,,
player,201011280nyg,nyg,BossKe00,rec_td,1,,,,,
player,201011280nyg,nyg,BossKe00,rec_long,32,,,,,
player,201011280nyg,nyg,BossKe00,fumbles,0,,,,,
player,201011280nyg,nyg,BossKe00,fumbles_lost,,,,,,
player,201011280nyg,nyg,MannMa01,pass_cmp,0,,,,,
player,201011280nyg,nyg,MannMa01,pass_att,0,,,,,
player,201011280nyg,nyg,MannMa01,pass_yds,0,,,,,
player,201011280nyg,nyg,MannMa01,pass_td,0,,,,,
player,201011280nyg,nyg,MannMa01,pass_int,0,,,,,
player,201011280nyg,nyg,MannMa01,pass_sacked,,,,,,
player,201011280nyg,nyg,MannMa01,pass_sacked_yds,,,,,,
player,201011280nyg,nyg,MannMa01,pass_long,0,,,,,
player,201011280nyg,nyg,MannMa01,pass_rating,,,,,,
player,201011280nyg,nyg,MannMa01,rush_att,0,,,,,
player,201011280nyg,nyg,MannMa01,rush_yds,0,,,,,
player,201011280nyg,nyg,MannMa01,rush_td,0,,,,,
player,201011280nyg,nyg,MannMa01,rush_long,0,,,,,
player,201011280nyg,nyg,MannMa01,targets,4,,,,,
player,201011280nyg,nyg,MannMa01,rec,3,,,,,
player,201011280nyg,nyg,MannMa01,rec_yds,61,,,,,
player,201011280nyg,nyg,MannMa01,rec_td,1,,,,,
player,201011280nyg,nyg,MannMa01,rec_long,26,,,,,
player,201011280nyg,nyg,MannMa01,fumbles,0,,,,,
player,201011280nyg,nyg,MannMa01,fumbles_lost,,,,,,
player,201011280nyg,nyg,BeckTr00,pass_cmp,0,,,,,
player,201011280nyg,nyg,BeckTr00,pass_att,0,,,,,
player,201011280nyg,nyg,BeckTr00,pass_yds,0,,,,,
player,201011280nyg,nyg,BeckTr00,pass_td,0,,,,,
player,201011280nyg,nyg,BeckTr00,pass_int,0,,,,,
player,201011280nyg,nyg,BeckTr00,pass_sacked,,,,,,
player,201011280nyg,nyg,BeckTr00,pass_sacked_yds,,,,,,
player,201011280nyg,nyg,BeckTr00,pass_long,0,,,,,
player,201011280nyg,nyg,BeckTr00,pass_rating,,,,,,
player,201011280nyg,nyg,BeckTr00,rush_att,0,,,,,
player,201011280nyg,nyg,BeckTr00,rush_yds,0,,,,,
player,201011280nyg,nyg,BeckTr00,rush_td,0,,,,,
player,201011280nyg,nyg,BeckTr00,rush_long,0,,,,,
player,201011280nyg,nyg,BeckTr00,targets,1,,,,,
player,201011280nyg,nyg,BeckTr00,rec,1,,,,,
player,201011280nyg,nyg,BeckTr00,rec_yds,29,,,,,
player,201011280nyg,nyg,BeckTr00,rec_td,0,,,,,
player,201011280nyg,nyg,BeckTr00,rec_long,29,,,,,
player,201011280nyg,nyg,BeckTr00,fumbles,0,,,,,
player,201011280nyg,nyg,BeckTr00,fumbles_lost,,,,,,
player,201011280nyg,nyg,HagaDe00,pass_cmp,0,,,,,
player,201011280nyg,nyg,HagaDe00,pass_att,0,,,,,
player,201011280nyg,nyg,HagaDe00,pass_yds,0,,,,,
player,201011280nyg,nyg,HagaDe00,pass_td,0,,,,,
player,201011280nyg,nyg,HagaDe00,pass_int,0,,,,,
player,201011280nyg,nyg,HagaDe00,pass_sacked,,,,,,
player,201011280nyg,nyg,HagaDe00,pass_sacked_yds,,,,,,
player,201011280nyg,nyg,HagaDe00,pass_long,0,,,,,
player,201011280nyg,nyg,HagaDe00,pass_rating,,,,,,
player,201011280nyg,nyg,HagaDe00,rush_att,0,,,,,
player,201011280nyg,nyg,HagaDe00,rush_yds,0,,,,,
player,201011280nyg,nyg,HagaDe00,rush_td,0,,,,,
player,201011280nyg,nyg,HagaDe00,rush_long,0,,,,,
player,201011280nyg,nyg,HagaDe00,targets,4,,,,,
player,201011280nyg,nyg,HagaDe00,rec,2,,,,,
player,201011280nyg,nyg,HagaDe00,rec_yds,21,,,,,
player,201011280nyg,nyg,HagaDe00,rec_td,0,,,,,
player,201011280nyg,nyg,HagaDe00,rec_long,15,,,,,
player,201011280nyg,nyg,HagaDe00,fumbles,0,,,,,
player,201011280nyg,nyg,HagaDe00,fumbles_lost,,,,,,
player,201011280nyg,nyg,WareDa00,pass_cmp,0,,,,,
player,201011280nyg,nyg,WareDa00,pass_att,0,,,,,
player,201011280nyg,nyg,WareDa00,pass_yds,0,,,,,
player,201011280nyg,nyg,WareDa00,pass_td,0,,,,,
player,201011280nyg,nyg,WareDa00,pass_int,0,,,,,
player,201011280nyg,nyg,WareDa00,pass_sacked,,,,,,
player,201011280nyg,nyg,WareDa00,pass_sacked_yds,,,,,,
player,201011280nyg,nyg,WareDa00,pass_long,0,,,,,
player,201011280nyg,nyg,WareDa00,pass_rating,,,,,,
player,201011280nyg,nyg,WareDa00,rush_att,0,,,,,
player,201011280nyg,nyg,WareDa00,rush_yds,0,,,,,
player,201011280nyg,nyg,WareDa00,rush_td,0,,,,,
player,201011280nyg,nyg,WareDa00,rush_long,0,,,,,
player,201011280nyg,nyg,WareDa00,targets,1,,,,,
player,201011280nyg,nyg,WareDa00,rec,1,,,,,
player,201011280nyg,nyg,WareDa00,rec_yds,7,,,,,
player,201011280nyg,nyg,WareDa00,rec_td,0,,,,,
player,201011280nyg,nyg,WareDa00,rec_long,7,,,,,
player,201011280nyg,nyg,WareDa00,fumbles,0,,,,,
player,201011280nyg,nyg,WareDa00,fumbles_lost,,,,,,
player,201011280nyg,nyg,ClayMi00,pass_cmp,,,,,,
player,201011280nyg,nyg,ClayMi00,pass_att,,,,,,
player,201011280nyg,nyg,ClayMi00,pass_yds,,,,,,
player,201011280nyg,nyg,ClayMi00,pass_td,,,,,,
player,201011280nyg,nyg,ClayMi00,pass_int,,,,,,
player,201011280nyg,nyg,ClayMi00,pass_sacked,,,,,,
player,201011280nyg,nyg,ClayMi00,pass_sacked_yds,,,,,,
player,201011280nyg,nyg,ClayMi00,pass_long,,,,,,
player,201011280nyg,nyg,ClayMi00,pass_rating,,,,,,
player,201011280nyg,nyg,ClayMi00,rush_att,,,,,,
player,201011280nyg,nyg,ClayMi00,rush_yds,,,,,,
player,201011280nyg,nyg,ClayMi00,rush_td,,,,,,
player,201011280nyg,nyg,ClayMi00,rush_long,,,,,,
player,201011280nyg,nyg,ClayMi00,targets,1,,,,,
player,201011280nyg,nyg,ClayMi00,rec,0,,,,,
player,201011280nyg,nyg,ClayMi00,rec_yds,0,,,,,
player,201011280nyg,nyg,ClayMi00,rec_td,0,,,,,
player,201011280nyg,nyg,ClayMi00,rec_long,,,,,,
player,201011280nyg,nyg,ClayMi00,fumbles,,,,,,
player,201011280nyg,nyg,ClayMi00,fumbles_lost,,,,,,
player,201011280nyg,jax,GreeCo99,def_int,0,,,,,
player,201011280nyg,jax,GreeCo99,def_int_yds,0,,,,,
player,201011280nyg,jax,GreeCo99,def_int_td,0,,,,,
player,201011280nyg,jax,GreeCo99,def_int_long,0,,,,,
player,201011280nyg,jax,GreeCo99,pass_defended,1,,,,,
player,201011280nyg,jax,GreeCo99,sacks,0.0,,,,,
player,201011280nyg,jax,GreeCo99,tackles_combined,11,,,,,
player,201011280nyg,jax,GreeCo99,tackles_solo,7,,,,,
player,201011280nyg,jax,GreeCo99,tackles_assists,4,,,,,
player,201011280nyg,jax,GreeCo99,tackles_loss,0,,,,,
player,201011280nyg,jax,GreeCo99,qb_hits,0,,,,,
player,201011280nyg,jax,GreeCo99,fumbles_rec,0,,,,,
player,201011280nyg,jax,GreeCo99,fumbles_rec_yds,0,,,,,
player,201011280nyg,jax,GreeCo99,fumbles_rec_td,0,,,,,
player,201011280nyg,jax,GreeCo99,fumbles_forced,0,,,,,
player,201011280nyg,jax,DuraJu99,def_int,0,,,,,
player,201011280nyg,jax,DuraJu99,def_int_yds,0,,,,,
player,201011280nyg,jax,DuraJu99,def_int_td,0,,,,,
player,201011280nyg,jax,DuraJu99,def_int_long,0,,,,,
player,201011280nyg,jax,DuraJu99,pass_defended,2,,,,,
player,201011280nyg,jax,DuraJu99,sacks,0.0,,,,,
player,201011280nyg,jax,DuraJu99,tackles_combined,7,,,,,
player,201011280nyg,jax,DuraJu99,tackles_solo,6,,,,,
player,201011280nyg,jax,DuraJu99,tackles_assists,1,,,,,
player,201011280nyg,jax,DuraJu99,tackles_loss,0,,,,,
player,201011280nyg,jax,DuraJu99,qb_hits,0,,,,,
player,201011280nyg,jax,DuraJu99,fumbles_rec,0,,,,,
player,201011280nyg,jax,DuraJu99,fumbles_rec_yds,0,,,,,
player,201011280nyg,jax,DuraJu99,fumbles_rec_td,0,,,,,
player,201011280nyg,jax,DuraJu99,fumbles_forced,0,,,,,
player,201011280nyg,jax,CareDo00,def_int,0,,,,,
player,201011280nyg,jax,CareDo00,def_int_yds,0,,,,,
player,201011280nyg,jax,CareDo00,def_int_td,0,,,,,
player,201011280nyg,jax,CareDo00,def_int_long,0,,,,,
player,201011280nyg,jax,CareDo00,pass_defended,0,,,,,
player,201011280nyg,jax,CareDo00,sacks,0.0,,,,,
