game,2010,10,20101114,201011140cle,nyj,"New York Jets",26,cle,"Cleveland Browns",20
player,201011140cle,nyj,TomlLa00,pass_sacked,,,,,,
player,201011140cle,nyj,TomlLa00,pass_sacked_yds,,,,,,
player,201011140cle,nyj,TomlLa00,pass_long,0,,,,,
player,201011140cle,nyj,TomlLa00,pass_rating,,,,,,
player,201011140cle,nyj,TomlLa00,rush_att,18,,,,,
player,201011140cle,nyj,TomlLa00,rush_yds,57,,,,,
player,201011140cle,nyj,TomlLa00,rush_td,0,,,,,
player,201011140cle,nyj,TomlLa00,rush_long,9,,,,,
player,201011140cle,nyj,TomlLa00,targets,10,,,,,
player,201011140cle,nyj,TomlLa00,rec,6,,,,,
player,201011140cle,nyj,TomlLa00,rec_yds,53,,,,,
player,201011140cle,nyj,TomlLa00,rec_td,0,,,,,
player,201011140cle,nyj,TomlLa00,rec_long,21,,,,,
player,201011140cle,nyj,TomlLa00,fumbles,0,,,,,
player,201011140cle,nyj,TomlLa00,fumbles_lost,,,,,,
player,201011140cle,nyj,SmitBr01,pass_cmp,0,,,,,
player,201011140cle,nyj,SmitBr01,pass_att,0,,,,,
player,201011140cle,nyj,SmitBr01,pass_yds,0,,,,,
player,201011140cle,nyj,SmitBr01,pass_td,0,,,,,
player,201011140cle,nyj,SmitBr01,pass_int,0,,,,,
player,201011140cle,nyj,SmitBr01,pass_sacked,0,,,,,
player,201011140cle,nyj,SmitBr01,pass_sacked_yds,,,,,,
player,201011140cle,nyj,SmitBr01,pass_long,0,,,,,
player,201011140cle,nyj,SmitBr01,pass_rating,,,,,,
player,201011140cle,nyj,SmitBr01,rush_att,5,,,,,
player,201011140cle,nyj,SmitBr01,rush_yds,39,,,,,
player,201011140cle,nyj,SmitBr01,rush_td,0,,,,,
player,201011140cle,nyj,SmitBr01,rush_long,16,,,,,
player,201011140cle,nyj,SmitBr01,targets,1,,,,,
player,201011140cle,nyj,SmitBr01,rec,1,,,,,
player,201011140cle,nyj,SmitBr01,rec_yds,6,,,,,
player,201011140cle,nyj,SmitBr01,rec_td,0,,,,,
player,201011140cle,nyj,SmitBr01,rec_long,6,,,,,
player,201011140cle,nyj,SmitBr01,fumbles,0,,,,,
player,201011140cle,nyj,SmitBr01,fumbles_lost,,,,,,
player,201011140cle,nyj,HolmSa00,pass_cmp,0,,,,,
player,201011140cle,nyj,HolmSa00,pass_att,0,,,,,
player,201011140cle,nyj,HolmSa00,pass_yds,0,,,,,
player,201011140cle,nyj,HolmSa00,pass_td,0,,,,,
player,201011140cle,nyj,HolmSa00,pass_int,0,,,,,
player,201011140cle,nyj,HolmSa00,pass_sacked,,,,,,
player,201011140cle,nyj,HolmSa00,pass_sacked_yds,,,,,,
player,201011140cle,nyj,HolmSa00,pass_long,0,,,,,
player,201011140cle,nyj,HolmSa00,pass_rating,,,,,,
player,201011140cle,nyj,HolmSa00,rush_att,0,,,,,
player,201011140cle,nyj,HolmSa00,rush_yds,0,,,,,
player,201011140cle,nyj,HolmSa00,rush_td,0,,,,,
player,201011140cle,nyj,HolmSa00,rush_long,0,,,,,
player,201011140cle,nyj,HolmSa00,targets,8,,,,,
player,201011140cle,nyj,HolmSa00,rec,5,,,,,
player,201011140cle,nyj,HolmSa00,rec_yds,76,,,,,
player,201011140cle,nyj,HolmSa00,rec_td,1,,,,,
player,201011140cle,nyj,HolmSa00,rec_long,37,,,,,
player,201011140cle,nyj,HolmSa00,fumbles,0,,,,,
player,201011140cle,nyj,HolmSa00,fumbles_lost,,,,,,
player,201011140cle,nyj,EdwaBr00,pass_cmp,0,,,,,
player,201011140cle,nyj,EdwaBr00,pass_att,0,,,,,
player,201011140cle,nyj,EdwaBr00,pass_yds,0,,,,,
player,201011140cle,nyj,EdwaBr00,pass_td,0,,,,,
player,201011140cle,nyj,EdwaBr00,pass_int,0,,,,,
player,201011140cle,nyj,EdwaBr00,pass_sacked,,,,,,
player,201011140cle,nyj,EdwaBr00,pass_sacked_yds,,,,,,
player,201011140cle,nyj,EdwaBr00,pass_long,0,,,,,
player,201011140cle,nyj,EdwaBr00,pass_rating,,,,,,
player,201011140cle,nyj,EdwaBr00,rush_att,0,,,,,
player,201011140cle,nyj,EdwaBr00,rush_yds,0,,,,,
player,201011140cle,nyj,EdwaBr00,rush_td,0,,,,,
player,201011140cle,nyj,EdwaBr00,rush_long,0,,,,,
player,201011140cle,nyj,EdwaBr00,targets,7,,,,,
player,201011140cle,nyj,EdwaBr00,rec,4,,,,,
player,201011140cle,nyj,EdwaBr00,rec_yds,59,,,,,
player,201011140cle,nyj,EdwaBr00,rec_td,0,,,,,
player,201011140cle,nyj,EdwaBr00,rec_long,22,,,,,
player,201011140cle,nyj,EdwaBr00,fumbles,0,,,,,
player,201011140cle,nyj,EdwaBr00,fumbles_lost,,,,,,
player,201011140cle,nyj,CotcJe00,pass_cmp,0,,,,,
player,201011140cle,nyj,CotcJe00,pass_att,0,,,,,
player,201011140cle,nyj,CotcJe00,pass_yds,0,,,,,
player,201011140cle,nyj,CotcJe00,pass_td,0,,,,,
player,201011140cle,nyj,CotcJe00,pass_int,0,,,,,
player,201011140cle,nyj,CotcJe00,pass_sacked,,,,,,
player,201011140cle,nyj,CotcJe00,pass_sacked_yds,,,,,,
player,201011140cle,nyj,CotcJe00,pass_long,0,,,,,
player,201011140cle,nyj,CotcJe00,pass_rating,,,,,,
player,201011140cle,nyj,CotcJe00,rush_att,0,,,,,
player,201011140cle,nyj,CotcJe00,rush_yds,0,,,,,
player,201011140cle,nyj,CotcJe00,rush_td,0,,,,,
player,201011140cle,nyj,CotcJe00,rush_long,0,,,,,
player,201011140cle,nyj,CotcJe00,targets,4,,,,,
player,201011140cle,nyj,CotcJe00,rec,3,,,,,
player,201011140cle,nyj,CotcJe00,rec_yds,43,,,,,
player,201011140cle,nyj,CotcJe00,rec_td,1,,,,,
player,201011140cle,nyj,CotcJe00,rec_long,25,,,,,
player,201011140cle,nyj,CotcJe00,fumbles,0,,,,,
player,201011140cle,nyj,CotcJe00,fumbles_lost,,,,,,
player,201011140cle,nyj,KellDu00,pass_cmp,0,,,,,
player,201011140cle,nyj,KellDu00,pass_att,0,,,,,
player,201011140cle,nyj,KellDu00,pass_yds,0,,,,,
player,201011140cle,nyj,KellDu00,pass_td,0,,,,,
player,201011140cle,nyj,KellDu00,pass_int,0,,,,,
player,201011140cle,nyj,KellDu00,pass_sacked,,,,,,
player,201011140cle,nyj,KellDu00,pass_sacked_yds,,,,,,
player,201011140cle,nyj,KellDu00,pass_long,0,,,,,
player,201011140cle,nyj,KellDu00,pass_rating,,,,,,
player,201011140cle,nyj,KellDu00,rush_att,0,,,,,
player,201011140cle,nyj,KellDu00,rush_yds,0,,,,,
player,201011140cle,nyj,KellDu00,rush_td,0,,,,,
player,201011140cle,nyj,KellDu00,rush_long,0,,,,,
player,201011140cle,nyj,KellDu00,targets,9,,,,,
player,201011140cle,nyj,KellDu00,rec,3,,,,,
player,201011140cle,nyj,KellDu00,rec_yds,25,,,,,
player,201011140cle,nyj,KellDu00,rec_td,0,,,,,
player,201011140cle,nyj,KellDu00,rec_long,16,,,,,
player,201011140cle,nyj,KellDu00,fumbles,0,,,,,
player,201011140cle,nyj,KellDu00,fumbles_lost,,,,,,
player,201011140cle,nyj,RichTo00,pass_cmp,0,,,,,
player,201011140cle,nyj,RichTo00,pass_att,0,,,,,
player,201011140cle,nyj,RichTo00,pass_yds,0,,,,,
player,201011140cle,nyj,RichTo00,pass_td,0,,,,,
player,201011140cle,nyj,RichTo00,pass_int,0,,,,,
player,201011140cle,nyj,RichTo00,pass_sacked,,,,,,
player,201011140cle,nyj,RichTo00,pass_sacked_yds,,,,,,
player,201011140cle,nyj,RichTo00,pass_long,0,,,,,
player,201011140cle,nyj,RichTo00,pass_rating,,,,,,
player,201011140cle,nyj,RichTo00,rush_att,0,,,,,
player,201011140cle,nyj,RichTo00,rush_yds,0,,,,,
player,201011140cle,nyj,RichTo00,rush_td,0,,,,,
player,201011140cle,nyj,RichTo00,rush_long,0,,,,,
player,201011140cle,nyj,RichTo00,targets,2,,,,,
player,201011140cle,nyj,RichTo00,rec,2,,,,,
player,201011140cle,nyj,RichTo00,rec_yds,15,,,,,
player,201011140cle,nyj,RichTo00,rec_td,0,,,,,
player,201011140cle,nyj,RichTo00,rec_long,14,,,,,
player,201011140cle,nyj,RichTo00,fumbles,0,,,,,
player,201011140cle,nyj,RichTo00,fumbles_lost,,,,,,
player,201011140cle,cle,McCoCo00,pass_cmp,18,,,,,
player,201011140cle,cle,McCoCo00,pass_att,31,,,,,
player,201011140cle,cle,McCoCo00,pass_yds,205,,,,,
player,201011140cle,cle,McCoCo00,pass_td,1,,,,,
player,201011140cle,cle,McCoCo00,pass_int,0,,,,,
player,201011140cle,cle,McCoCo00,pass_sacked,3,,,,,
player,201011140cle,cle,McCoCo00,pass_sacked_yds,9,,,,,
player,201011140cle,cle,McCoCo00,pass_long,37,,,,,
player,201011140cle,cle,McCoCo00,pass_rating,88.8,,,,,
player,201011140cle,cle,McCoCo00,rush_att,4,,,,,
player,201011140cle,cle,McCoCo00,rush_yds,11,,,,,
player,201011140cle,cle,McCoCo00,rush_td,0,,,,,
player,201011140cle,cle,McCoCo00,rush_long,6,,,,,
player,201011140cle,cle,McCoCo00,targets,0,,,,,
player,201011140cle,cle,McCoCo00,rec,0,,,,,
player,201011140cle,cle,McCoCo00,rec_yds,0,,,,,
player,201011140cle,cle,McCoCo00,rec_td,0,,,,,
player,201011140cle,cle,McCoCo00,rec_long,0,,,,,
player,201011140cle,cle,McCoCo00,fumbles,0,,,,,
player,201011140cle,cle,McCoCo00,fumbles_lost,,,,,,
player,201011140cle,cle,HillPe00,pass_cmp,0,,,,,
player,201011140cle,cle,HillPe00,pass_att,0,,,,,
player,201011140cle,cle,HillPe00,pass_yds,0,,,,,
player,201011140cle,cle,HillPe00,pass_td,0,,,,,
player,201011140cle,cle,HillPe00,pass_int,0,,,,,
player,201011140cle,cle,HillPe00,pass_sacked,0,,,,,
player,201011140cle,cle,HillPe00,pass_sacked_yds,,,,,,
player,201011140cle,cle,HillPe00,pass_long,0,,,,,
player,201011140cle,cle,HillPe00,pass_rating,,,,,,
player,201011140cle,cle,HillPe00,rush_att,19,,,,,
player,201011140cle,cle,HillPe00,rush_yds,82,,,,,
player,201011140cle,cle,HillPe00,rush_td,1,,,,,
player,201011140cle,cle,HillPe00,rush_long,14,,,,,
player,201011140cle,cle,HillPe00,targets,5,,,,,
player,201011140cle,cle,HillPe00,rec,4,,,,,
player,201011140cle,cle,HillPe00,rec_yds,27,,,,,
player,201011140cle,cle,HillPe00,rec_td,0,,,,,
player,201011140cle,cle,HillPe00,rec_long,12,,,,,
player,201011140cle,cle,HillPe00,fumbles,1,,,,,
player,201011140cle,cle,HillPe00,fumbles_lost,1,,,,,
player,201011140cle,cle,CribJo01,pass_cmp,0,,,,,
player,201011140cle,cle,CribJo01,pass_att,0,,,,,
player,201011140cle,cle,CribJo01,pass_yds,0,,,,,
player,201011140cle,cle,CribJo01,pass_td,0,,,,,
player,201011140cle,cle,CribJo01,pass_int,0,,,,,
player,201011140cle,cle,CribJo01,pass_sacked,0,,,,,
player,201011140cle,cle,CribJo01,pass_sacked_yds,,,,,,
player,201011140cle,cle,CribJo01,pass_long,0,,,,,
player,201011140cle,cle,CribJo01,pass_rating,,,,,,
player,201011140cle,cle,CribJo01,rush_att,1,,,,,
player,201011140cle,cle,CribJo01,rush_yds,14,,,,,
player,201011140cle,cle,CribJo01,rush_td,0,,,,,
player,201011140cle,cle,CribJo01,rush_long,14,,,,,
player,201011140cle,cle,CribJo01,targets,1,,,,,
player,201011140cle,cle,CribJo01,rec,1,,,,,
player,201011140cle,cle,CribJo01,rec_yds,37,,,,,
player,201011140cle,cle,CribJo01,rec_td,0,,,,,
player,201011140cle,cle,CribJo01,rec_long,37,,,,,
player,201011140cle,cle,CribJo01,fumbles,0,,,,,
player,201011140cle,cle,CribJo01,fumbles_lost,,,,,,
player,201011140cle,cle,WatsBe00,pass_cmp,0,,,,,
player,201011140cle,cle,WatsBe00,pass_att,0,,,,,
player,201011140cle,cle,WatsBe00,pass_yds,0,,,,,
player,201011140cle,cle,WatsBe00,pass_td,0,,,,,
player,201011140cle,cle,WatsBe00,pass_int,0,,,,,
player,201011140cle,cle,WatsBe00,pass_sacked,,,,,,
player,201011140cle,cle,WatsBe00,pass_sacked_yds,,,,,,
player,201011140cle,cle,WatsBe00,pass_long,0,,,,,
player,201011140cle,cle,WatsBe00,pass_rating,,,,,,
player,201011140cle,cle,WatsBe00,rush_att,0,,,,,
player,201011140cle,cle,WatsBe00,rush_yds,0,,,,,
player,201011140cle,cle,WatsBe00,rush_td,0,,,,,
player,201011140cle,cle,WatsBe00,rush_long,0,,,,,
player,201011140cle,cle,WatsBe00,targets,10,,,,,
player,201011140cle,cle,WatsBe00,rec,5,,,,,
player,201011140cle,cle,WatsBe00,rec_yds,74,,,,,
player,201011140cle,cle,WatsBe00,rec_td,0,,,,,
player,201011140cle,cle,WatsBe00,rec_long,19,,,,,
player,201011140cle,cle,WatsBe00,fumbles,0,,,,,
player,201011140cle,cle,WatsBe00,fumbles_lost,,,,,,
player,201011140cle,cle,StucCh20,pass_cmp,0,,,,,
player,201011140cle,cle,StucCh20,pass_att,0,,,,,
player,201011140cle,cle,StucCh20,pass_yds,0,,,,,
player,201011140cle,cle,StucCh20,pass_td,0,,,,,
player,201011140cle,cle,StucCh20,pass_int,0,,,,,
player,201011140cle,cle,StucCh20,pass_sacked,,,,,,
player,201011140cle,cle,StucCh20,pass_sacked_yds,,,,,,
player,201011140cle,cle,StucCh20,pass_long,0,,,,,
player,201011140cle,cle,StucCh20,pass_rating,,,,,,
player,201011140cle,cle,StucCh20,rush_att,0,,,,,
player,201011140cle,cle,StucCh20,rush_yds,0,,,,,
player,201011140cle,cle,StucCh20,rush_td,0,,,,,
player,201011140cle,cle,StucCh20,rush_long,0,,,,,
player,201011140cle,cle,StucCh20,targets,6,,,,,
player,201011140cle,cle,StucCh20,rec,4,,,,,
player,201011140cle,cle,StucCh20,rec_yds,27,,,,,
player,201011140cle,cle,StucCh20,rec_td,0,,,,,
player,201011140cle,cle,StucCh20,rec_long,10,,,,,
player,201011140cle,cle,StucCh20,fumbles,1,,,,,
player,201011140cle,cle,StucCh20,fumbles_lost,1,,,,,
player,201011140cle,cle,MoorEv00,pass_cmp,0,,,,,
player,201011140cle,cle,MoorEv00,pass_att,0,,,,,
player,201011140cle,cle,MoorEv00,pass_yds,0,,,,,
player,201011140cle,cle,MoorEv00,pass_td,0,,,,,
player,201011140cle,cle,MoorEv00,pass_int,0,,,,,
player,201011140cle,cle,MoorEv00,pass_sacked,,,,,,
player,201011140cle,cle,MoorEv00,pass_sacked_yds,,,,,,
player,201011140cle,cle,MoorEv00,pass_long,0,,,,,
player,201011140cle,cle,MoorEv00,pass_rating,,,,,,
player,201011140cle,cle,MoorEv00,rush_att,0,,,,,
player,201011140cle,cle,MoorEv00,rush_yds,0,,,,,
player,201011140cle,cle,MoorEv00,rush_td,0,,,,,
player,201011140cle,cle,MoorEv00,rush_long,0,,,,,
player,201011140cle,cle,MoorEv00,targets,3,,,,,
player,201011140cle,cle,MoorEv00,rec,1,,,,,
player,201011140cle,cle,MoorEv00,rec_yds,18,,,,,
player,201011140cle,cle,MoorEv00,rec_td,0,,,,,
player,201011140cle,cle,MoorEv00,rec_long,18,,,,,
player,201011140cle,cle,MoorEv00,fumbles,0,,,,,
player,201011140cle,cle,MoorEv00,fumbles_lost,,,,,,
player,201011140cle,cle,RoyaRo00,pass_cmp,0,,,,,
player,201011140cle,cle,RoyaRo00,pass_att,0,,,,,
player,201011140cle,cle,RoyaRo00,pass_yds,0,,,,,
player,201011140cle,cle,RoyaRo00,pass_td,0,,,,,
player,201011140cle,cle,RoyaRo00,pass_int,0,,,,,
player,201011140cle,cle,RoyaRo00,pass_sacked,,,,,,
player,201011140cle,cle,RoyaRo00,pass_sacked_yds,,,,,,
player,201011140cle,cle,RoyaRo00,pass_long,0,,,,,
player,201011140cle,cle,RoyaRo00,pass_rating,,,,,,
player,201011140cle,cle,RoyaRo00,rush_att,0,,,,,
player,201011140cle,cle,RoyaRo00,rush_yds,0,,,,,
player,201011140cle,cle,RoyaRo00,rush_td,0,,,,,
player,201011140cle,cle,RoyaRo00,rush_long,0,,,,,
player,201011140cle,cle,RoyaRo00,targets,1,,,,,
player,201011140cle,cle,RoyaRo00,rec,1,,,,,
player,201011140cle,cle,RoyaRo00,rec_yds,14,,,,,
player,201011140cle,cle,RoyaRo00,rec_td,0,,,,,
player,201011140cle,cle,RoyaRo00,rec_long,14,,,,,
player,201011140cle,cle,RoyaRo00,fumbles,0,,,,,
player,201011140cle,cle,RoyaRo00,fumbles_lost,,,,,,
player,201011140cle,cle,MassMo00,pass_cmp,0,,,,,
player,201011140cle,cle,MassMo00,pass_att,0,,,,,
player,201011140cle,cle,MassMo00,pass_yds,0,,,,,
player,201011140cle,cle,MassMo00,pass_td,0,,,,,
player,201011140cle,cle,MassMo00,pass_int,0,,,,,
player,201011140cle,cle,MassMo00,pass_sacked,0,,,,,
player,201011140cle,cle,MassMo00,pass_sacked_yds,,,,,,
player,201011140cle,cle,MassMo00,pass_long,0,,,,,
player,201011140cle,cle,MassMo00,pass_rating,,,,,,
player,201011140cle,cle,MassMo00,rush_att,0,,,,,
player,201011140cle,cle,MassMo00,rush_yds,0,,,,,
player,201011140cle,cle,MassMo00,rush_td,0,,,,,
player,201011140cle,cle,MassMo00,rush_long,0,,,,,
player,201011140cle,cle,MassMo00,targets,4,,,,,
player,201011140cle,cle,MassMo00,rec,2,,,,,
player,201011140cle,cle,MassMo00,rec_yds,8,,,,,
player,201011140cle,cle,MassMo00,rec_td,1,,,,,
player,201011140cle,cle,MassMo00,rec_long,5,,,,,
player,201011140cle,cle,MassMo00,fumbles,0,,,,,
player,201011140cle,cle,MassMo00,fumbles_lost,,,,,,
player,201011140cle,cle,ClayTh00,pass_cmp,0,,,,,
player,201011140cle,cle,ClayTh00,pass_att,0,,,,,
player,201011140cle,cle,ClayTh00,pass_yds,0,,,,,
player,201011140cle,cle,ClayTh00,pass_td,0,,,,,
player,201011140cle,cle,ClayTh00,pass_int,0,,,,,
player,201011140cle,cle,ClayTh00,pass_sacked,,,,,,
player,201011140cle,cle,ClayTh00,pass_sacked_yds,,,,,,
player,201011140cle,cle,ClayTh00,pass_long,0,,,,,
player,201011140cle,cle,ClayTh00,pass_rating,,,,,,
player,201011140cle,cle,ClayTh00,rush_att,1,,,,,
player,201011140cle,cle,ClayTh00,rush_yds,0,,,,,
player,201011140cle,cle,ClayTh00,rush_td,0,,,,,
player,201011140cle,cle,ClayTh00,rush_long,0,,,,,
player,201011140cle,cle,ClayTh00,targets,0,,,,,
player,201011140cle,cle,ClayTh00,rec,0,,,,,
player,201011140cle,cle,ClayTh00,rec_yds,0,,,,,
player,201011140cle,cle,ClayTh00,rec_td,0,,,,,
player,201011140cle,cle,ClayTh00,rec_long,0,,,,,
player,201011140cle,cle,ClayTh00,fumbles,0,,,,,
player,201011140cle,cle,ClayTh00,fumbles_lost,,,,,,
player,201011140cle,cle,VickLa00,pass_cmp,,,,,,
player,201011140cle,cle,VickLa00,pass_att,,,,,,
player,201011140cle,cle,VickLa00,pass_yds,,,,,,
player,201011140cle,cle,VickLa00,pass_td,,,,,,
player,201011140cle,cle,VickLa00,pass_int,,,,,,
player,201011140cle,cle,VickLa00,pass_sacked,,,,,,
player,201011140cle,cle,VickLa00,pass_sacked_yds,,,,,,
player,201011140cle,cle,VickLa00,pass_long,,,,,,
player,201011140cle,cle,VickLa00,pass_rating,,,,,,
player,201011140cle,cle,VickLa00,rush_att,,,,,,
player,201011140cle,cle,VickLa00,rush_yds,,,,,,
player,201011140cle,cle,VickLa00,rush_td,,,,,,
player,201011140cle,cle,VickLa00,rush_long,,,,,,
player,201011140cle,cle,VickLa00,targets,1,,,,,
player,201011140cle,cle,VickLa00,rec,0,,,,,
player,201011140cle,cle,VickLa00,rec_yds,0,,,,,
player,201011140cle,cle,VickLa00,rec_td,0,,,,,
player,201011140cle,cle,VickLa00,rec_long,,,,,,
player,201011140cle,cle,VickLa00,fumbles,,,,,,
player,201011140cle,cle,VickLa00,fumbles_lost,,,,,,
player,201011140cle,nyj,PaceCa20,def_int,0,,,,,
player,201011140cle,nyj,PaceCa20,def_int_yds,0,,,,,
player,201011140cle,nyj,PaceCa20,def_int_td,0,,,,,
player,201011140cle,nyj,PaceCa20,def_int_long,0,,,,,
player,201011140cle,nyj,PaceCa20,pass_defended,0,,,,,
player,201011140cle,nyj,PaceCa20,sacks,1.0,,,,,
player,201011140cle,nyj,PaceCa20,tackles_combined,7,,,,,
player,201011140cle,nyj,PaceCa20,tackles_solo,6,,,,,
player,201011140cle,nyj,PaceCa20,tackles_assists,1,,,,,
player,201011140cle,nyj,PaceCa20,tackles_loss,0,,,,,
player,201011140cle,nyj,PaceCa20,qb_hits,1,,,,,
player,201011140cle,nyj,PaceCa20,fumbles_rec,0,,,,,
player,201011140cle,nyj,PaceCa20,fumbles_rec_yds,0,,,,,
player,201011140cle,nyj,PaceCa20,fumbles_rec_td,0,,,,,
player,201011140cle,nyj,PaceCa20,fumbles_forced,0,,,,,
player,201011140cle,nyj,IhedJa00,def_int,0,,,,,
player,201011140cle,nyj,IhedJa00,def_int_yds,0,,,,,
player,201011140cle,nyj,IhedJa00,def_int_td,0,,,,,
player,201011140cle,nyj,IhedJa00,def_int_long,0,,,,,
player,201011140cle,nyj,IhedJa00,pass_defended,0,,,,,
player,201011140cle,nyj,IhedJa00,sacks,1.0,,,,,
player,201011140cle,nyj,IhedJa00,tackles_combined,3,,,,,
player,201011140cle,nyj,IhedJa00,tackles_solo,3,,,,,
player,201011140cle,nyj,IhedJa00,tackles_assists,0,,,,,
player,201011140cle,nyj,IhedJa00,tackles_loss,2,,,,,
player,201011140cle,nyj,IhedJa00,qb_hits,1,,,,,
player,201011140cle,nyj,IhedJa00,fumbles_rec,0,,,,,
player,201011140cle,nyj,IhedJa00,fumbles_rec_yds,0,,,,,
player,201011140cle,nyj,IhedJa00,fumbles_rec_td,0,,,,,
player,201011140cle,nyj,IhedJa00,fumbles_forced,0,,,,,
player,201011140cle,nyj,TaylJa03,def_int,0,,,,,
player,201011140cle,nyj,TaylJa03,def_int_yds,0,,,,,
player,201011140cle,nyj,TaylJa03,def_int_td,0,,,,,
player,201011140cle,nyj,TaylJa03,def_int_long,0,,,,,
player,201011140cle,nyj,TaylJa03,pass_defended,0,,,,,
player,201011140cle,nyj,TaylJa03,sacks,1.0,,,,,
player,201011140cle,nyj,TaylJa03,tackles_combined,2,,,,,
player,201011140cle,nyj,TaylJa03,tackles_solo,2,,,,,
player,201011140cle,nyj,TaylJa03,tackles_assists,0,,,,,
player,201011140cle,nyj,TaylJa03,tackles_loss,1,,,,,
player,201011140cle,nyj,TaylJa03,qb_hits,1,,,,,
player,201011140cle,nyj,TaylJa03,fumbles_rec,0,,,,,
player,201011140cle,nyj,TaylJa03,fumbles_rec_yds,0,,,,,
player,201011140cle,nyj,TaylJa03,fumbles_rec_td,0,,,,,
player,201011140cle,nyj,TaylJa03,fumbles_forced,0,,,,,
player,201011140cle,nyj,HarrDa99,def_int,0,,,,,
player,201011140cle,nyj,HarrDa99,def_int_yds,0,,,,,
