game,2010,2,20100919,201009190sdg,jax,"Jacksonville Jaguars",13,sdg,"San Diego Chargers",38
player,201009190sdg,jax,JoneGr01,pass_cmp,0,,,,,
player,201009190sdg,jax,JoneGr01,pass_att,0,,,,,
player,201009190sdg,jax,JoneGr01,pass_yds,0,,,,,
player,201009190sdg,jax,JoneGr01,pass_td,0,,,,,
player,201009190sdg,jax,JoneGr01,pass_int,0,,,,,
player,201009190sdg,jax,JoneGr01,pass_sacked,,,,,,
player,201009190sdg,jax,JoneGr01,pass_sacked_yds,,,,,,
player,201009190sdg,jax,JoneGr01,pass_long,0,,,,,
player,201009190sdg,jax,JoneGr01,pass_rating,,,,,,
player,201009190sdg,jax,JoneGr01,rush_att,0,,,,,
player,201009190sdg,jax,JoneGr01,rush_yds,0,,,,,
player,201009190sdg,jax,JoneGr01,rush_td,0,,,,,
player,201009190sdg,jax,JoneGr01,rush_long,0,,,,,
player,201009190sdg,jax,JoneGr01,targets,1,,,,,
player,201009190sdg,jax,JoneGr01,rec,1,,,,,
player,201009190sdg,jax,JoneGr01,rec_yds,5,,,,,
player,201009190sdg,jax,JoneGr01,rec_td,0,,,,,
player,201009190sdg,jax,JoneGr01,rec_long,5,,,,,
player,201009190sdg,jax,JoneGr01,fumbles,0,,,,,
player,201009190sdg,jax,JoneGr01,fumbles_lost,,,,,,
player,201009190sdg,jax,WilfEr00,pass_cmp,0,,,,,
player,201009190sdg,jax,WilfEr00,pass_att,0,,,,,
player,201009190sdg,jax,WilfEr00,pass_yds,0,,,,,
player,201009190sdg,jax,WilfEr00,pass_td,0,,,,,
player,201009190sdg,jax,WilfEr00,pass_int,0,,,,,
player,201009190sdg,jax,WilfEr00,pass_sacked,,,,,,
player,201009190sdg,jax,WilfEr00,pass_sacked_yds,,,,,,
player,201009190sdg,jax,WilfEr00,pass_long,0,,,,,
player,201009190sdg,jax,WilfEr00,pass_rating,,,,,,
player,201009190sdg,jax,WilfEr00,rush_att,0,,,,,
player,201009190sdg,jax,WilfEr00,rush_yds,0,,,,,
player,201009190sdg,jax,WilfEr00,rush_td,0,,,,,
player,201009190sdg,jax,WilfEr00,rush_long,0,,,,,
player,201009190sdg,jax,WilfEr00,targets,1,,,,,
player,201009190sdg,jax,WilfEr00,rec,1,,,,,
player,201009190sdg,jax,WilfEr00,rec_yds,3,,,,,
player,201009190sdg,jax,WilfEr00,rec_td,0,,,,,
player,201009190sdg,jax,WilfEr00,rec_long,3,,,,,
player,201009190sdg,jax,WilfEr00,fumbles,0,,,,,
player,201009190sdg,jax,WilfEr00,fumbles_lost,,,,,,
player,201009190sdg,jax,UndeTi00,pass_cmp,0,,,,,
player,201009190sdg,jax,UndeTi00,pass_att,0,,,,,
player,201009190sdg,jax,UndeTi00,pass_yds,0,,,,,
player,201009190sdg,jax,UndeTi00,pass_td,0,,,,,
player,201009190sdg,jax,UndeTi00,pass_int,0,,,,,
player,201009190sdg,jax,UndeTi00,pass_sacked,,,,,,
player,201009190sdg,jax,UndeTi00,pass_sacked_yds,,,,,,
player,201009190sdg,jax,UndeTi00,pass_long,0,,,,,
player,201009190sdg,jax,UndeTi00,pass_rating,,,,,,
player,201009190sdg,jax,UndeTi00,rush_att,0,,,,,
player,201009190sdg,jax,UndeTi00,rush_yds,0,,,,,
player,201009190sdg,jax,UndeTi00,rush_td,0,,,,,
player,201009190sdg,jax,UndeTi00,rush_long,0,,,,,
player,201009190sdg,jax,UndeTi00,targets,2,,,,,
player,201009190sdg,jax,UndeTi00,rec,0,,,,,
player,201009190sdg,jax,UndeTi00,rec_yds,0,,,,,
player,201009190sdg,jax,UndeTi00,rec_td,0,,,,,
player,201009190sdg,jax,UndeTi00,rec_long,0,,,,,
player,201009190sdg,jax,UndeTi00,fumbles,0,,,,,
player,201009190sdg,jax,UndeTi00,fumbles_lost,,,,,,
player,201009190sdg,jax,ThomMi01,pass_cmp,0,,,,,
player,201009190sdg,jax,ThomMi01,pass_att,0,,,,,
player,201009190sdg,jax,ThomMi01,pass_yds,0,,,,,
player,201009190sdg,jax,ThomMi01,pass_td,0,,,,,
player,201009190sdg,jax,ThomMi01,pass_int,0,,,,,
player,201009190sdg,jax,ThomMi01,pass_sacked,,,,,,
player,201009190sdg,jax,ThomMi01,pass_sacked_yds,,,,,,
player,201009190sdg,jax,ThomMi01,pass_long,0,,,,,
player,201009190sdg,jax,ThomMi01,pass_rating,,,,,,
player,201009190sdg,jax,ThomMi01,rush_att,1,,,,,
player,201009190sdg,jax,ThomMi01,rush_yds,-1,,,,,
player,201009190sdg,jax,ThomMi01,rush_td,0,,,,,
player,201009190sdg,jax,ThomMi01,rush_long,-1,,,,,
player,201009190sdg,jax,ThomMi01,targets,8,,,,,
player,201009190sdg,jax,ThomMi01,rec,4,,,,,
player,201009190sdg,jax,ThomMi01,rec_yds,43,,,,,
player,201009190sdg,jax,ThomMi01,rec_td,0,,,,,
player,201009190sdg,jax,ThomMi01,rec_long,20,,,,,
player,201009190sdg,jax,ThomMi01,fumbles,0,,,,,
player,201009190sdg,jax,ThomMi01,fumbles_lost,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_cmp,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_att,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_yds,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_td,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_int,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_sacked,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_sacked_yds,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_long,,,,,,
player,201009190sdg,jax,OsgoKa00,pass_rating,,,,,,
player,201009190sdg,jax,OsgoKa00,rush_att,,,,,,
player,201009190sdg,jax,OsgoKa00,rush_yds,,,,,,
player,201009190sdg,jax,OsgoKa00,rush_td,,,,,,
player,201009190sdg,jax,OsgoKa00,rush_long,,,,,,
player,201009190sdg,jax,OsgoKa00,targets,2,,,,,
player,201009190sdg,jax,OsgoKa00,rec,0,,,,,
player,201009190sdg,jax,OsgoKa00,rec_yds,0,,,,,
player,201009190sdg,jax,OsgoKa00,rec_td,0,,,,,
player,201009190sdg,jax,OsgoKa00,rec_long,,,,,,
player,201009190sdg,jax,OsgoKa00,fumbles,,,,,,
player,201009190sdg,jax,OsgoKa00,fumbles_lost,,,,,,
player,201009190sdg,sdg,RivePh00,pass_cmp,22,,,,,
player,201009190sdg,sdg,RivePh00,pass_att,29,,,,,
player,201009190sdg,sdg,RivePh00,pass_yds,334,,,,,
player,201009190sdg,sdg,RivePh00,pass_td,3,,,,,
player,201009190sdg,sdg,RivePh00,pass_int,2,,,,,
player,201009190sdg,sdg,RivePh00,pass_sacked,1,,,,,
player,201009190sdg,sdg,RivePh00,pass_sacked_yds,8,,,,,
player,201009190sdg,sdg,RivePh00,pass_long,54,,,,,
player,201009190sdg,sdg,RivePh00,pass_rating,119.0,,,,,
player,201009190sdg,sdg,RivePh00,rush_att,0,,,,,
player,201009190sdg,sdg,RivePh00,rush_yds,0,,,,,
player,201009190sdg,sdg,RivePh00,rush_td,0,,,,,
player,201009190sdg,sdg,RivePh00,rush_long,0,,,,,
player,201009190sdg,sdg,RivePh00,targets,0,,,,,
player,201009190sdg,sdg,RivePh00,rec,0,,,,,
player,201009190sdg,sdg,RivePh00,rec_yds,0,,,,,
player,201009190sdg,sdg,RivePh00,rec_td,0,,,,,
player,201009190sdg,sdg,RivePh00,rec_long,0,,,,,
player,201009190sdg,sdg,RivePh00,fumbles,0,,,,,
player,201009190sdg,sdg,RivePh00,fumbles_lost,,,,,,
player,201009190sdg,sdg,TolbMi00,pass_cmp,0,,,,,
player,201009190sdg,sdg,TolbMi00,pass_att,0,,,,,
player,201009190sdg,sdg,TolbMi00,pass_yds,0,,,,,
player,201009190sdg,sdg,TolbMi00,pass_td,0,,,,,
player,201009190sdg,sdg,TolbMi00,pass_int,0,,,,,
player,201009190sdg,sdg,TolbMi00,pass_sacked,,,,,,
player,201009190sdg,sdg,TolbMi00,pass_sacked_yds,,,,,,
player,201009190sdg,sdg,TolbMi00,pass_long,0,,,,,
player,201009190sdg,sdg,TolbMi00,pass_rating,,,,,,
player,201009190sdg,sdg,TolbMi00,rush_att,16,,,,,
player,201009190sdg,sdg,TolbMi00,rush_yds,82,,,,,
player,201009190sdg,sdg,TolbMi00,rush_td,2,,,,,
player,201009190sdg,sdg,TolbMi00,rush_long,29,,,,,
player,201009190sdg,sdg,TolbMi00,targets,1,,,,,
player,201009190sdg,sdg,TolbMi00,rec,1,,,,,
player,201009190sdg,sdg,TolbMi00,rec_yds,13,,,,,
player,201009190sdg,sdg,TolbMi00,rec_td,0,,,,,
player,201009190sdg,sdg,TolbMi00,rec_long,13,,,,,
player,201009190sdg,sdg,TolbMi00,fumbles,0,,,,,
player,201009190sdg,sdg,TolbMi00,fumbles_lost,,,,,,
player,201009190sdg,sdg,SproDa00,pass_cmp,0,,,,,
player,201009190sdg,sdg,SproDa00,pass_att,0,,,,,
player,201009190sdg,sdg,SproDa00,pass_yds,0,,,,,
player,201009190sdg,sdg,SproDa00,pass_td,0,,,,,
player,201009190sdg,sdg,SproDa00,pass_int,0,,,,,
player,201009190sdg,sdg,SproDa00,pass_sacked,,,,,,
player,201009190sdg,sdg,SproDa00,pass_sacked_yds,,,,,,
player,201009190sdg,sdg,SproDa00,pass_long,0,,,,,
player,201009190sdg,sdg,SproDa00,pass_rating,,,,,,
player,201009190sdg,sdg,SproDa00,rush_att,5,,,,,
player,201009190sdg,sdg,SproDa00,rush_yds,37,,,,,
player,201009190sdg,sdg,SproDa00,rush_td,0,,,,,
player,201009190sdg,sdg,SproDa00,rush_long,34,,,,,
player,201009190sdg,sdg,SproDa00,targets,4,,,,,
player,201009190sdg,sdg,SproDa00,rec,4,,,,,
player,201009190sdg,sdg,SproDa00,rec_yds,63,,,,,
player,201009190sdg,sdg,SproDa00,rec_td,0,,,,,
player,201009190sdg,sdg,SproDa00,rec_long,43,,,,,
player,201009190sdg,sdg,SproDa00,fumbles,0,,,,,
player,201009190sdg,sdg,SproDa00,fumbles_lost,,,,,,
player,201009190sdg,sdg,MathRy00,pass_cmp,0,,,,,
player,201009190sdg,sdg,MathRy00,pass_att,0,,,,,
player,201009190sdg,sdg,MathRy00,pass_yds,0,,,,,
player,201009190sdg,sdg,MathRy00,pass_td,0,,,,,
player,201009190sdg,sdg,MathRy00,pass_int,0,,,,,
player,201009190sdg,sdg,MathRy00,pass_sacked,,,,,,
player,201009190sdg,sdg,MathRy00,pass_sacked_yds,,,,,,
player,201009190sdg,sdg,MathRy00,pass_long,0,,,,,
player,201009190sdg,sdg,MathRy00,pass_rating,,,,,,
player,201009190sdg,sdg,MathRy00,rush_att,5,,,,,
player,201009190sdg,sdg,MathRy00,rush_yds,26,,,,,
player,201009190sdg,sdg,MathRy00,rush_td,0,,,,,
player,201009190sdg,sdg,MathRy00,rush_long,15,,,,,
player,201009190sdg,sdg,MathRy00,targets,2,,,,,
player,201009190sdg,sdg,MathRy00,rec,2,,,,,
player,201009190sdg,sdg,MathRy00,rec_yds,29,,,,,
player,201009190sdg,sdg,MathRy00,rec_td,0,,,,,
player,201009190sdg,sdg,MathRy00,rec_long,17,,,,,
player,201009190sdg,sdg,MathRy00,fumbles,1,,,,,
player,201009190sdg,sdg,MathRy00,fumbles_lost,1,,,,,
player,201009190sdg,sdg,HestJa00,pass_cmp,0,,,,,
player,201009190sdg,sdg,HestJa00,pass_att,0,,,,,
player,201009190sdg,sdg,HestJa00,pass_yds,0,,,,,
player,201009190sdg,sdg,HestJa00,pass_td,0,,,,,
player,201009190sdg,sdg,HestJa00,pass_int,0,,,,,
player,201009190sdg,sdg,HestJa00,pass_sacked,,,,,,
player,201009190sdg,sdg,HestJa00,pass_sacked_yds,,,,,,
player,201009190sdg,sdg,HestJa00,pass_long,0,,,,,
player,201009190sdg,sdg,HestJa00,pass_rating,,,,,,
player,201009190sdg,sdg,HestJa00,rush_att,3,,,,,
player,201009190sdg,sdg,HestJa00,rush_yds,7,,,,,
player,201009190sdg,sdg,HestJa00,rush_td,0,,,,,
player,201009190sdg,sdg,HestJa00,rush_long,4,,,,,
player,201009190sdg,sdg,HestJa00,targets,0,,,,,
player,201009190sdg,sdg,HestJa00,rec,0,,,,,
player,201009190sdg,sdg,HestJa00,rec_yds,0,,,,,
player,201009190sdg,sdg,HestJa00,rec_td,0,,,,,
player,201009190sdg,sdg,HestJa00,rec_long,0,,,,,
player,201009190sdg,sdg,HestJa00,fumbles,0,,,,,
player,201009190sdg,sdg,HestJa00,fumbles_lost,,,,,,
player,201009190sdg,sdg,FloyMa00,pass_cmp,0,,,,,
player,201009190sdg,sdg,FloyMa00,pass_att,0,,,,,
player,201009190sdg,sdg,FloyMa00,pass_yds,0,,,,,
player,201009190sdg,sdg,FloyMa00,pass_td,0,,,,,
player,201009190sdg,sdg,FloyMa00,pass_int,0,,,,,
player,201009190sdg,sdg,FloyMa00,pass_sacked,,,,,,
player,201009190sdg,sdg,FloyMa00,pass_sacked_yds,,,,,,
player,201009190sdg,sdg,FloyMa00,pass_long,0,,,,,
player,201009190sdg,sdg,FloyMa00,pass_rating,,,,,,
player,201009190sdg,sdg,FloyMa00,rush_att,0,,,,,
player,201009190sdg,sdg,FloyMa00,rush_yds,0,,,,,
player,201009190sdg,sdg,FloyMa00,rush_td,0,,,,,
player,201009190sdg,sdg,FloyMa00,rush_long,0,,,,,
player,201009190sdg,sdg,FloyMa00,targets,4,,,,,
player,201009190sdg,sdg,FloyMa00,rec,3,,,,,
player,201009190sdg,sdg,FloyMa00,rec_yds,95,,,,,
player,201009190sdg,sdg,FloyMa00,rec_td,1,,,,,
player,201009190sdg,sdg,FloyMa00,rec_long,54,,,,,
player,201009190sdg,sdg,FloyMa00,fumbles,0,,,,,
player,201009190sdg,sdg,FloyMa00,fumbles_lost,,,,,,
player,201009190sdg,sdg,GateAn00,pass_cmp,0,,,,,
player,201009190sdg,sdg,GateAn00,pass_att,0,,,,,
player,201009190sdg,sdg,GateAn00,pass_yds,0,,,,,
player,201009190sdg,sdg,GateAn00,pass_td,0,,,,,
player,201009190sdg,sdg,GateAn00,pass_int,0,,,,,
player,201009190sdg,sdg,GateAn00,pass_sacked,,,,,,
player,201009190sdg,sdg,GateAn00,pass_sacked_yds,,,,,,
player,201009190sdg,sdg,GateAn00,pass_long,0,,,,,
player,201009190sdg,sdg,GateAn00,pass_rating,,,,,,
player,201009190sdg,sdg,GateAn00,rush_att,0,,,,,
player,201009190sdg,sdg,GateAn00,rush_yds,0,,,,,
player,201009190sdg,sdg,GateAn00,rush_td,0,,,,,
player,201009190sdg,sdg,GateAn00,rush_long,0,,,,,
player,201009190sdg,sdg,GateAn00,targets,7,,,,,
player,201009190sdg,sdg,GateAn00,rec,5,,,,,
player,201009190sdg,sdg,GateAn00,rec_yds,57,,,,,
player,201009190sdg,sdg,GateAn00,rec_td,2,,,,,
player,201009190sdg,sdg,GateAn00,rec_long,26,,,,,
player,201009190sdg,sdg,GateAn00,fumbles,0,,,,,
player,201009190sdg,sdg,GateAn00,fumbles_lost,,,,,,
player,201009190sdg,sdg,DaviCr00,pass_cmp,0,,,,,
player,201009190sdg,sdg,DaviCr00,pass_att,0,,,,,
player,201009190sdg,sdg,DaviCr00,pass_yds,0,,,,,
player,201009190sdg,sdg,DaviCr00,pass_td,0,,,,,
player,201009190sdg,sdg,DaviCr00,pass_int,0,,,,,
player,201009190sdg,sdg,DaviCr00,pass_sacked,,,,,,
player,201009190sdg,sdg,DaviCr00,pass_sacked_yds,,,,,,
player,201009190sdg,sdg,DaviCr00,pass_long,0,,,,,
player,201009190sdg,sdg,DaviCr00,pass_rating,,,,,,
player,201009190sdg,sdg,DaviCr00,rush_att,0,,,,,
player,201009190sdg,sdg,DaviCr00,rush_yds,0,,,,,
player,201009190sdg,sdg,DaviCr00,rush_td,0,,,,,
player,201009190sdg,sdg,DaviCr00,rush_long,0,,,,,
player,201009190sdg,sdg,DaviCr00,targets,6,,,,,
player,201009190sdg,sdg,DaviCr00,rec,5,,,,,
player,201009190sdg,sdg,DaviCr00,rec_yds,48,,,,,
player,201009190sdg,sdg,DaviCr00,rec_td,0,,,,,
player,201009190sdg,sdg,DaviCr00,rec_long,21,,,,,
player,201009190sdg,sdg,DaviCr00,fumbles,0,,,,,
player,201009190sdg,sdg,DaviCr00,fumbles_lost,,,,,,
player,201009190sdg,sdg,CrayPa00,pass_cmp,0,,,,,
player,201009190sdg,sdg,CrayPa00,pass_att,0,,,,,
player,201009190sdg,sdg,CrayPa00,pass_yds,0,,,,,
player,201009190sdg,sdg,CrayPa00,pass_td,0,,,,,
player,201009190sdg,sdg,CrayPa00,pass_int,0,,,,,
player,201009190sdg,sdg,CrayPa00,pass_sacked,0,,,,,
player,201009190sdg,sdg,CrayPa00,pass_sacked_yds,,,,,,
player,201009190sdg,sdg,CrayPa00,pass_long,0,,,,,
player,201009190sdg,sdg,CrayPa00,pass_rating,,,,,,
player,201009190sdg,sdg,CrayPa00,rush_att,0,,,,,
player,201009190sdg,sdg,CrayPa00,rush_yds,0,,,,,
player,201009190sdg,sdg,CrayPa00,rush_td,0,,,,,
player,201009190sdg,sdg,CrayPa00,rush_long,0,,,,,
player,201009190sdg,sdg,CrayPa00,targets,1,,,,,
player,201009190sdg,sdg,CrayPa00,rec,1,,,,,
player,201009190sdg,sdg,CrayPa00,rec_yds,15,,,,,
