game,2010,16,20101226,201012260buf,nwe,"New England Patriots",34,buf,"Buffalo Bills",3
player,201012260buf,nwe,CrumAl00,rush_att,0,,,,,
player,201012260buf,nwe,CrumAl00,rush_yds,0,,,,,
player,201012260buf,nwe,CrumAl00,rush_td,0,,,,,
player,201012260buf,nwe,CrumAl00,rush_long,0,,,,,
player,201012260buf,nwe,CrumAl00,targets,1,,,,,
player,201012260buf,nwe,CrumAl00,rec,1,,,,,
player,201012260buf,nwe,CrumAl00,rec_yds,4,,,,,
player,201012260buf,nwe,CrumAl00,rec_td,1,,,,,
player,201012260buf,nwe,CrumAl00,rec_long,4,,,,,
player,201012260buf,nwe,CrumAl00,fumbles,0,,,,,
player,201012260buf,nwe,CrumAl00,fumbles_lost,,,,,,
player,201012260buf,nwe,MorrSa00,pass_cmp,0,,,,,
player,201012260buf,nwe,MorrSa00,pass_att,0,,,,,
player,201012260buf,nwe,MorrSa00,pass_yds,0,,,,,
player,201012260buf,nwe,MorrSa00,pass_td,0,,,,,
player,201012260buf,nwe,MorrSa00,pass_int,0,,,,,
player,201012260buf,nwe,MorrSa00,pass_sacked,,,,,,
player,201012260buf,nwe,MorrSa00,pass_sacked_yds,,,,,,
player,201012260buf,nwe,MorrSa00,pass_long,0,,,,,
player,201012260buf,nwe,MorrSa00,pass_rating,,,,,,
player,201012260buf,nwe,MorrSa00,rush_att,0,,,,,
player,201012260buf,nwe,MorrSa00,rush_yds,0,,,,,
player,201012260buf,nwe,MorrSa00,rush_td,0,,,,,
player,201012260buf,nwe,MorrSa00,rush_long,0,,,,,
player,201012260buf,nwe,MorrSa00,targets,1,,,,,
player,201012260buf,nwe,MorrSa00,rec,1,,,,,
player,201012260buf,nwe,MorrSa00,rec_yds,3,,,,,
player,201012260buf,nwe,MorrSa00,rec_td,0,,,,,
player,201012260buf,nwe,MorrSa00,rec_long,3,,,,,
player,201012260buf,nwe,MorrSa00,fumbles,0,,,,,
player,201012260buf,nwe,MorrSa00,fumbles_lost,,,,,,
player,201012260buf,nwe,HoyeBr00,pass_cmp,0,,,,,
player,201012260buf,nwe,HoyeBr00,pass_att,0,,,,,
player,201012260buf,nwe,HoyeBr00,pass_yds,0,,,,,
player,201012260buf,nwe,HoyeBr00,pass_td,0,,,,,
player,201012260buf,nwe,HoyeBr00,pass_int,0,,,,,
player,201012260buf,nwe,HoyeBr00,pass_sacked,0,,,,,
player,201012260buf,nwe,HoyeBr00,pass_sacked_yds,,,,,,
player,201012260buf,nwe,HoyeBr00,pass_long,0,,,,,
player,201012260buf,nwe,HoyeBr00,pass_rating,,,,,,
player,201012260buf,nwe,HoyeBr00,rush_att,4,,,,,
player,201012260buf,nwe,HoyeBr00,rush_yds,-2,,,,,
player,201012260buf,nwe,HoyeBr00,rush_td,0,,,,,
player,201012260buf,nwe,HoyeBr00,rush_long,1,,,,,
player,201012260buf,nwe,HoyeBr00,targets,0,,,,,
player,201012260buf,nwe,HoyeBr00,rec,0,,,,,
player,201012260buf,nwe,HoyeBr00,rec_yds,0,,,,,
player,201012260buf,nwe,HoyeBr00,rec_td,0,,,,,
player,201012260buf,nwe,HoyeBr00,rec_long,0,,,,,
player,201012260buf,nwe,HoyeBr00,fumbles,0,,,,,
player,201012260buf,nwe,HoyeBr00,fumbles_lost,,,,,,
player,201012260buf,nwe,TaylFr00,pass_cmp,0,,,,,
player,201012260buf,nwe,TaylFr00,pass_att,0,,,,,
player,201012260buf,nwe,TaylFr00,pass_yds,0,,,,,
player,201012260buf,nwe,TaylFr00,pass_td,0,,,,,
player,201012260buf,nwe,TaylFr00,pass_int,0,,,,,
player,201012260buf,nwe,TaylFr00,pass_sacked,,,,,,
player,201012260buf,nwe,TaylFr00,pass_sacked_yds,,,,,,
player,201012260buf,nwe,TaylFr00,pass_long,0,,,,,
player,201012260buf,nwe,TaylFr00,pass_rating,,,,,,
player,201012260buf,nwe,TaylFr00,rush_att,1,,,,,
player,201012260buf,nwe,TaylFr00,rush_yds,-3,,,,,
player,201012260buf,nwe,TaylFr00,rush_td,0,,,,,
player,201012260buf,nwe,TaylFr00,rush_long,-3,,,,,
player,201012260buf,nwe,TaylFr00,targets,1,,,,,
player,201012260buf,nwe,TaylFr00,rec,0,,,,,
player,201012260buf,nwe,TaylFr00,rec_yds,0,,,,,
player,201012260buf,nwe,TaylFr00,rec_td,0,,,,,
player,201012260buf,nwe,TaylFr00,rec_long,0,,,,,
player,201012260buf,nwe,TaylFr00,fumbles,0,,,,,
player,201012260buf,nwe,TaylFr00,fumbles_lost,,,,,,
player,201012260buf,buf,FitzRy00,pass_cmp,18,,,,,
player,201012260buf,buf,FitzRy00,pass_att,37,,,,,
player,201012260buf,buf,FitzRy00,pass_yds,251,,,,,
player,201012260buf,buf,FitzRy00,pass_td,0,,,,,
player,201012260buf,buf,FitzRy00,pass_int,3,,,,,
player,201012260buf,buf,FitzRy00,pass_sacked,3,,,,,
player,201012260buf,buf,FitzRy00,pass_sacked_yds,7,,,,,
player,201012260buf,buf,FitzRy00,pass_long,41,,,,,
player,201012260buf,buf,FitzRy00,pass_rating,37.1,,,,,
player,201012260buf,buf,FitzRy00,rush_att,1,,,,,
player,201012260buf,buf,FitzRy00,rush_yds,14,,,,,
player,201012260buf,buf,FitzRy00,rush_td,0,,,,,
player,201012260buf,buf,FitzRy00,rush_long,14,,,,,
player,201012260buf,buf,FitzRy00,targets,0,,,,,
player,201012260buf,buf,FitzRy00,rec,0,,,,,
player,201012260buf,buf,FitzRy00,rec_yds,0,,,,,
player,201012260buf,buf,FitzRy00,rec_td,0,,,,,
player,201012260buf,buf,FitzRy00,rec_long,0,,,,,
player,201012260buf,buf,FitzRy00,fumbles,2,,,,,
player,201012260buf,buf,FitzRy00,fumbles_lost,2,,,,,
player,201012260buf,buf,JackFr02,pass_cmp,0,,,,,
player,201012260buf,buf,JackFr02,pass_att,0,,,,,
player,201012260buf,buf,JackFr02,pass_yds,0,,,,,
player,201012260buf,buf,JackFr02,pass_td,0,,,,,
player,201012260buf,buf,JackFr02,pass_int,0,,,,,
player,201012260buf,buf,JackFr02,pass_sacked,,,,,,
player,201012260buf,buf,JackFr02,pass_sacked_yds,,,,,,
player,201012260buf,buf,JackFr02,pass_long,0,,,,,
player,201012260buf,buf,JackFr02,pass_rating,,,,,,
player,201012260buf,buf,JackFr02,rush_att,13,,,,,
player,201012260buf,buf,JackFr02,rush_yds,81,,,,,
player,201012260buf,buf,JackFr02,rush_td,0,,,,,
player,201012260buf,buf,JackFr02,rush_long,27,,,,,
player,201012260buf,buf,JackFr02,targets,3,,,,,
player,201012260buf,buf,JackFr02,rec,2,,,,,
player,201012260buf,buf,JackFr02,rec_yds,11,,,,,
player,201012260buf,buf,JackFr02,rec_td,0,,,,,
player,201012260buf,buf,JackFr02,rec_long,8,,,,,
player,201012260buf,buf,JackFr02,fumbles,0,,,,,
player,201012260buf,buf,JackFr02,fumbles_lost,,,,,,
player,201012260buf,buf,SpilC.00,pass_cmp,0,,,,,
player,201012260buf,buf,SpilC.00,pass_att,0,,,,,
player,201012260buf,buf,SpilC.00,pass_yds,0,,,,,
player,201012260buf,buf,SpilC.00,pass_td,0,,,,,
player,201012260buf,buf,SpilC.00,pass_int,0,,,,,
player,201012260buf,buf,SpilC.00,pass_sacked,,,,,,
player,201012260buf,buf,SpilC.00,pass_sacked_yds,,,,,,
player,201012260buf,buf,SpilC.00,pass_long,0,,,,,
player,201012260buf,buf,SpilC.00,pass_rating,,,,,,
player,201012260buf,buf,SpilC.00,rush_att,6,,,,,
player,201012260buf,buf,SpilC.00,rush_yds,30,,,,,
player,201012260buf,buf,SpilC.00,rush_td,0,,,,,
player,201012260buf,buf,SpilC.00,rush_long,7,,,,,
player,201012260buf,buf,SpilC.00,targets,3,,,,,
player,201012260buf,buf,SpilC.00,rec,2,,,,,
player,201012260buf,buf,SpilC.00,rec_yds,54,,,,,
player,201012260buf,buf,SpilC.00,rec_td,0,,,,,
player,201012260buf,buf,SpilC.00,rec_long,41,,,,,
player,201012260buf,buf,SpilC.00,fumbles,2,,,,,
player,201012260buf,buf,SpilC.00,fumbles_lost,2,,,,,
player,201012260buf,buf,RoosNa00,pass_cmp,0,,,,,
player,201012260buf,buf,RoosNa00,pass_att,0,,,,,
player,201012260buf,buf,RoosNa00,pass_yds,0,,,,,
player,201012260buf,buf,RoosNa00,pass_td,0,,,,,
player,201012260buf,buf,RoosNa00,pass_int,0,,,,,
player,201012260buf,buf,RoosNa00,pass_sacked,,,,,,
player,201012260buf,buf,RoosNa00,pass_sacked_yds,,,,,,
player,201012260buf,buf,RoosNa00,pass_long,0,,,,,
player,201012260buf,buf,RoosNa00,pass_rating,,,,,,
player,201012260buf,buf,RoosNa00,rush_att,0,,,,,
player,201012260buf,buf,RoosNa00,rush_yds,0,,,,,
player,201012260buf,buf,RoosNa00,rush_td,0,,,,,
player,201012260buf,buf,RoosNa00,rush_long,0,,,,,
player,201012260buf,buf,RoosNa00,targets,8,,,,,
player,201012260buf,buf,RoosNa00,rec,4,,,,,
player,201012260buf,buf,RoosNa00,rec_yds,74,,,,,
player,201012260buf,buf,RoosNa00,rec_td,0,,,,,
player,201012260buf,buf,RoosNa00,rec_long,30,,,,,
player,201012260buf,buf,RoosNa00,fumbles,0,,,,,
player,201012260buf,buf,RoosNa00,fumbles_lost,,,,,,
player,201012260buf,buf,JohnSt00,pass_cmp,0,,,,,
player,201012260buf,buf,JohnSt00,pass_att,0,,,,,
player,201012260buf,buf,JohnSt00,pass_yds,0,,,,,
player,201012260buf,buf,JohnSt00,pass_td,0,,,,,
player,201012260buf,buf,JohnSt00,pass_int,0,,,,,
player,201012260buf,buf,JohnSt00,pass_sacked,,,,,,
player,201012260buf,buf,JohnSt00,pass_sacked_yds,,,,,,
player,201012260buf,buf,JohnSt00,pass_long,0,,,,,
player,201012260buf,buf,JohnSt00,pass_rating,,,,,,
player,201012260buf,buf,JohnSt00,rush_att,0,,,,,
player,201012260buf,buf,JohnSt00,rush_yds,0,,,,,
player,201012260buf,buf,JohnSt00,rush_td,0,,,,,
player,201012260buf,buf,JohnSt00,rush_long,0,,,,,
player,201012260buf,buf,JohnSt00,targets,10,,,,,
player,201012260buf,buf,JohnSt00,rec,5,,,,,
player,201012260buf,buf,JohnSt00,rec_yds,58,,,,,
player,201012260buf,buf,JohnSt00,rec_td,0,,,,,
player,201012260buf,buf,JohnSt00,rec_long,16,,,,,
player,201012260buf,buf,JohnSt00,fumbles,0,,,,,
player,201012260buf,buf,JohnSt00,fumbles_lost,,,,,,
player,201012260buf,buf,JoneDo00,pass_cmp,0,,,,,
player,201012260buf,buf,JoneDo00,pass_att,0,,,,,
player,201012260buf,buf,JoneDo00,pass_yds,0,,,,,
player,201012260buf,buf,JoneDo00,pass_td,0,,,,,
player,201012260buf,buf,JoneDo00,pass_int,0,,,,,
player,201012260buf,buf,JoneDo00,pass_sacked,,,,,,
player,201012260buf,buf,JoneDo00,pass_sacked_yds,,,,,,
player,201012260buf,buf,JoneDo00,pass_long,0,,,,,
player,201012260buf,buf,JoneDo00,pass_rating,,,,,,
player,201012260buf,buf,JoneDo00,rush_att,0,,,,,
player,201012260buf,buf,JoneDo00,rush_yds,0,,,,,
player,201012260buf,buf,JoneDo00,rush_td,0,,,,,
player,201012260buf,buf,JoneDo00,rush_long,0,,,,,
player,201012260buf,buf,JoneDo00,targets,12,,,,,
player,201012260buf,buf,JoneDo00,rec,5,,,,,
player,201012260buf,buf,JoneDo00,rec_yds,54,,,,,
player,201012260buf,buf,JoneDo00,rec_td,0,,,,,
player,201012260buf,buf,JoneDo00,rec_long,40,,,,,
player,201012260buf,buf,JoneDo00,fumbles,0,,,,,
player,201012260buf,buf,JoneDo00,fumbles_lost,,,,,,
player,201012260buf,buf,NelsDa01,pass_cmp,,,,,,
player,201012260buf,buf,NelsDa01,pass_att,,,,,,
player,201012260buf,buf,NelsDa01,pass_yds,,,,,,
player,201012260buf,buf,NelsDa01,pass_td,,,,,,
player,201012260buf,buf,NelsDa01,pass_int,,,,,,
player,201012260buf,buf,NelsDa01,pass_sacked,,,,,,
player,201012260buf,buf,NelsDa01,pass_sacked_yds,,,,,,
player,201012260buf,buf,NelsDa01,pass_long,,,,,,
player,201012260buf,buf,NelsDa01,pass_rating,,,,,,
player,201012260buf,buf,NelsDa01,rush_att,,,,,,
player,201012260buf,buf,NelsDa01,rush_yds,,,,,,
player,201012260buf,buf,NelsDa01,rush_td,,,,,,
player,201012260buf,buf,NelsDa01,rush_long,,,,,,
player,201012260buf,buf,NelsDa01,targets,1,,,,,
player,201012260buf,buf,NelsDa01,rec,0,,,,,
player,201012260buf,buf,NelsDa01,rec_yds,0,,,,,
player,201012260buf,buf,NelsDa01,rec_td,0,,,,,
player,201012260buf,buf,NelsDa01,rec_long,,,,,,
player,201012260buf,buf,NelsDa01,fumbles,,,,,,
player,201012260buf,buf,NelsDa01,fumbles_lost,,,,,,
player,201012260buf,nwe,FletDa00,def_int,1,,,,,
player,201012260buf,nwe,FletDa00,def_int_yds,0,,,,,
player,201012260buf,nwe,FletDa00,def_int_td,0,,,,,
player,201012260buf,nwe,FletDa00,def_int_long,0,,,,,
player,201012260buf,nwe,FletDa00,pass_defended,1,,,,,
player,201012260buf,nwe,FletDa00,sacks,1.0,,,,,
player,201012260buf,nwe,FletDa00,tackles_combined,3,,,,,
player,201012260buf,nwe,FletDa00,tackles_solo,1,,,,,
player,201012260buf,nwe,FletDa00,tackles_assists,2,,,,,
player,201012260buf,nwe,FletDa00,tackles_loss,0,,,,,
player,201012260buf,nwe,FletDa00,qb_hits,1,,,,,
player,201012260buf,nwe,FletDa00,fumbles_rec,1,,,,,
player,201012260buf,nwe,FletDa00,fumbles_rec_yds,0,,,,,
player,201012260buf,nwe,FletDa00,fumbles_rec_td,0,,,,,
player,201012260buf,nwe,FletDa00,fumbles_forced,0,,,,,
player,201012260buf,nwe,ChunPa99,def_int,1,,,,,
player,201012260buf,nwe,ChunPa99,def_int_yds,19,,,,,
player,201012260buf,nwe,ChunPa99,def_int_td,0,,,,,
player,201012260buf,nwe,ChunPa99,def_int_long,19,,,,,
player,201012260buf,nwe,ChunPa99,pass_defended,2,,,,,
player,201012260buf,nwe,ChunPa99,sacks,0.0,,,,,
player,201012260buf,nwe,ChunPa99,tackles_combined,7,,,,,
player,201012260buf,nwe,ChunPa99,tackles_solo,7,,,,,
player,201012260buf,nwe,ChunPa99,tackles_assists,0,,,,,
player,201012260buf,nwe,ChunPa99,tackles_loss,0,,,,,
player,201012260buf,nwe,ChunPa99,qb_hits,0,,,,,
player,201012260buf,nwe,ChunPa99,fumbles_rec,0,,,,,
player,201012260buf,nwe,ChunPa99,fumbles_rec_yds,0,,,,,
player,201012260buf,nwe,ChunPa99,fumbles_rec_td,0,,,,,
player,201012260buf,nwe,ChunPa99,fumbles_forced,0,,,,,
player,201012260buf,nwe,PageJa20,def_int,1,,,,,
player,201012260buf,nwe,PageJa20,def_int_yds,0,,,,,
player,201012260buf,nwe,PageJa20,def_int_td,0,,,,,
player,201012260buf,nwe,PageJa20,def_int_long,0,,,,,
player,201012260buf,nwe,PageJa20,pass_defended,1,,,,,
player,201012260buf,nwe,PageJa20,sacks,0.0,,,,,
player,201012260buf,nwe,PageJa20,tackles_combined,1,,,,,
player,201012260buf,nwe,PageJa20,tackles_solo,0,,,,,
player,201012260buf,nwe,PageJa20,tackles_assists,1,,,,,
player,201012260buf,nwe,PageJa20,tackles_loss,0,,,,,
player,201012260buf,nwe,PageJa20,qb_hits,0,,,,,
player,201012260buf,nwe,PageJa20,fumbles_rec,0,,,,,
player,201012260buf,nwe,PageJa20,fumbles_rec_yds,0,,,,,
player,201012260buf,nwe,PageJa20,fumbles_rec_td,0,,,,,
player,201012260buf,nwe,PageJa20,fumbles_forced,0,,,,,
player,201012260buf,nwe,GuytGa99,def_int,0,,,,,
player,201012260buf,nwe,GuytGa99,def_int_yds,0,,,,,
player,201012260buf,nwe,GuytGa99,def_int_td,0,,,,,
player,201012260buf,nwe,GuytGa99,def_int_long,0,,,,,
player,201012260buf,nwe,GuytGa99,pass_defended,2,,,,,
player,201012260buf,nwe,GuytGa99,sacks,1.0,,,,,
player,201012260buf,nwe,GuytGa99,tackles_combined,6,,,,,
player,201012260buf,nwe,GuytGa99,tackles_solo,3,,,,,
player,201012260buf,nwe,GuytGa99,tackles_assists,3,,,,,
player,201012260buf,nwe,GuytGa99,tackles_loss,0,,,,,
player,201012260buf,nwe,GuytGa99,qb_hits,0,,,,,
player,201012260buf,nwe,GuytGa99,fumbles_rec,0,,,,,
player,201012260buf,nwe,GuytGa99,fumbles_rec_yds,0,,,,,
player,201012260buf,nwe,GuytGa99,fumbles_rec_td,0,,,,,
player,201012260buf,nwe,GuytGa99,fumbles_forced,1,,,,,
player,201012260buf,nwe,LoveKy00,def_int,0,,,,,
player,201012260buf,nwe,LoveKy00,def_int_yds,0,,,,,
player,201012260buf,nwe,LoveKy00,def_int_td,0,,,,,
player,201012260buf,nwe,LoveKy00,def_int_long,0,,,,,
