game,2010,8,20101101,201011010clt,htx,"Houston Texans",17,clt,"Indianapolis Colts",30
player,201011010clt,htx,LeacVo00,fumbles_lost,,,,,,
player,201011010clt,htx,JoneJa03,pass_cmp,0,,,,,
player,201011010clt,htx,JoneJa03,pass_att,0,,,,,
player,201011010clt,htx,JoneJa03,pass_yds,0,,,,,
player,201011010clt,htx,JoneJa03,pass_td,0,,,,,
player,201011010clt,htx,JoneJa03,pass_int,0,,,,,
player,201011010clt,htx,JoneJa03,pass_sacked,,,,,,
player,201011010clt,htx,JoneJa03,pass_sacked_yds,,,,,,
player,201011010clt,htx,JoneJa03,pass_long,0,,,,,
player,201011010clt,htx,JoneJa03,pass_rating,,,,,,
player,201011010clt,htx,JoneJa03,rush_att,0,,,,,
player,201011010clt,htx,JoneJa03,rush_yds,0,,,,,
player,201011010clt,htx,JoneJa03,rush_td,0,,,,,
player,201011010clt,htx,JoneJa03,rush_long,0,,,,,
player,201011010clt,htx,JoneJa03,targets,5,,,,,
player,201011010clt,htx,JoneJa03,rec,2,,,,,
player,201011010clt,htx,JoneJa03,rec_yds,6,,,,,
player,201011010clt,htx,JoneJa03,rec_td,0,,,,,
player,201011010clt,htx,JoneJa03,rec_long,5,,,,,
player,201011010clt,htx,JoneJa03,fumbles,1,,,,,
player,201011010clt,htx,JoneJa03,fumbles_lost,0,,,,,
player,201011010clt,htx,DreeJo00,pass_cmp,,,,,,
player,201011010clt,htx,DreeJo00,pass_att,,,,,,
player,201011010clt,htx,DreeJo00,pass_yds,,,,,,
player,201011010clt,htx,DreeJo00,pass_td,,,,,,
player,201011010clt,htx,DreeJo00,pass_int,,,,,,
player,201011010clt,htx,DreeJo00,pass_sacked,,,,,,
player,201011010clt,htx,DreeJo00,pass_sacked_yds,,,,,,
player,201011010clt,htx,DreeJo00,pass_long,,,,,,
player,201011010clt,htx,DreeJo00,pass_rating,,,,,,
player,201011010clt,htx,DreeJo00,rush_att,,,,,,
player,201011010clt,htx,DreeJo00,rush_yds,,,,,,
player,201011010clt,htx,DreeJo00,rush_td,,,,,,
player,201011010clt,htx,DreeJo00,rush_long,,,,,,
player,201011010clt,htx,DreeJo00,targets,1,,,,,
player,201011010clt,htx,DreeJo00,rec,0,,,,,
player,201011010clt,htx,DreeJo00,rec_yds,0,,,,,
player,201011010clt,htx,DreeJo00,rec_td,0,,,,,
player,201011010clt,htx,DreeJo00,rec_long,,,,,,
player,201011010clt,htx,DreeJo00,fumbles,,,,,,
player,201011010clt,htx,DreeJo00,fumbles_lost,,,,,,
player,201011010clt,htx,WaltKe00,pass_cmp,,,,,,
player,201011010clt,htx,WaltKe00,pass_att,,,,,,
player,201011010clt,htx,WaltKe00,pass_yds,,,,,,
player,201011010clt,htx,WaltKe00,pass_td,,,,,,
player,201011010clt,htx,WaltKe00,pass_int,,,,,,
player,201011010clt,htx,WaltKe00,pass_sacked,,,,,,
player,201011010clt,htx,WaltKe00,pass_sacked_yds,,,,,,
player,201011010clt,htx,WaltKe00,pass_long,,,,,,
player,201011010clt,htx,WaltKe00,pass_rating,,,,,,
player,201011010clt,htx,WaltKe00,rush_att,,,,,,
player,201011010clt,htx,WaltKe00,rush_yds,,,,,,
player,201011010clt,htx,WaltKe00,rush_td,,,,,,
player,201011010clt,htx,WaltKe00,rush_long,,,,,,
player,201011010clt,htx,WaltKe00,targets,5,,,,,
player,201011010clt,htx,WaltKe00,rec,0,,,,,
player,201011010clt,htx,WaltKe00,rec_yds,0,,,,,
player,201011010clt,htx,WaltKe00,rec_td,0,,,,,
player,201011010clt,htx,WaltKe00,rec_long,,,,,,
player,201011010clt,htx,WaltKe00,fumbles,,,,,,
player,201011010clt,htx,WaltKe00,fumbles_lost,,,,,,
player,201011010clt,clt,MannPe00,pass_cmp,26,,,,,
player,201011010clt,clt,MannPe00,pass_att,45,,,,,
player,201011010clt,clt,MannPe00,pass_yds,268,,,,,
player,201011010clt,clt,MannPe00,pass_td,2,,,,,
player,201011010clt,clt,MannPe00,pass_int,0,,,,,
player,201011010clt,clt,MannPe00,pass_sacked,1,,,,,
player,201011010clt,clt,MannPe00,pass_sacked_yds,9,,,,,
player,201011010clt,clt,MannPe00,pass_long,34,,,,,
player,201011010clt,clt,MannPe00,pass_rating,89.9,,,,,
player,201011010clt,clt,MannPe00,rush_att,4,,,,,
player,201011010clt,clt,MannPe00,rush_yds,3,,,,,
player,201011010clt,clt,MannPe00,rush_td,0,,,,,
player,201011010clt,clt,MannPe00,rush_long,6,,,,,
player,201011010clt,clt,MannPe00,targets,0,,,,,
player,201011010clt,clt,MannPe00,rec,0,,,,,
player,201011010clt,clt,MannPe00,rec_yds,0,,,,,
player,201011010clt,clt,MannPe00,rec_td,0,,,,,
player,201011010clt,clt,MannPe00,rec_long,0,,,,,
player,201011010clt,clt,MannPe00,fumbles,0,,,,,
player,201011010clt,clt,MannPe00,fumbles_lost,,,,,,
player,201011010clt,clt,HartMi00,pass_cmp,0,,,,,
player,201011010clt,clt,HartMi00,pass_att,0,,,,,
player,201011010clt,clt,HartMi00,pass_yds,0,,,,,
player,201011010clt,clt,HartMi00,pass_td,0,,,,,
player,201011010clt,clt,HartMi00,pass_int,0,,,,,
player,201011010clt,clt,HartMi00,pass_sacked,,,,,,
player,201011010clt,clt,HartMi00,pass_sacked_yds,,,,,,
player,201011010clt,clt,HartMi00,pass_long,0,,,,,
player,201011010clt,clt,HartMi00,pass_rating,,,,,,
player,201011010clt,clt,HartMi00,rush_att,12,,,,,
player,201011010clt,clt,HartMi00,rush_yds,84,,,,,
