game,2010,13,20101205,201012050mia,cle,"Cleveland Browns",13,mia,"Miami Dolphins",10
player,201012050mia,mia,WallRo01,rush_yds,0,,,,,
player,201012050mia,mia,WallRo01,rush_td,0,,,,,
player,201012050mia,mia,WallRo01,rush_long,0,,,,,
player,201012050mia,mia,WallRo01,targets,3,,,,,
player,201012050mia,mia,WallRo01,rec,1,,,,,
player,201012050mia,mia,WallRo01,rec_yds,9,,,,,
player,201012050mia,mia,WallRo01,rec_td,0,,,,,
player,201012050mia,mia,WallRo01,rec_long,9,,,,,
player,201012050mia,mia,WallRo01,fumbles,0,,,,,
player,201012050mia,mia,WallRo01,fumbles_lost,,,,,,
player,201012050mia,mia,HartBr00,pass_cmp,0,,,,,
player,201012050mia,mia,HartBr00,pass_att,0,,,,,
player,201012050mia,mia,HartBr00,pass_yds,0,,,,,
player,201012050mia,mia,HartBr00,pass_td,0,,,,,
player,201012050mia,mia,HartBr00,pass_int,0,,,,,
player,201012050mia,mia,HartBr00,pass_sacked,,,,,,
player,201012050mia,mia,HartBr00,pass_sacked_yds,,,,,,
player,201012050mia,mia,HartBr00,pass_long,0,,,,,
player,201012050mia,mia,HartBr00,pass_rating,,,,,,
player,201012050mia,mia,HartBr00,rush_att,0,,,,,
player,201012050mia,mia,HartBr00,rush_yds,0,,,,,
player,201012050mia,mia,HartBr00,rush_td,0,,,,,
player,201012050mia,mia,HartBr00,rush_long,0,,,,,
player,201012050mia,mia,HartBr00,targets,4,,,,,
player,201012050mia,mia,HartBr00,rec,0,,,,,
player,201012050mia,mia,HartBr00,rec_yds,0,,,,,
player,201012050mia,mia,HartBr00,rec_td,0,,,,,
player,201012050mia,mia,HartBr00,rec_long,0,,,,,
player,201012050mia,mia,HartBr00,fumbles,0,,,,,
player,201012050mia,mia,HartBr00,fumbles_lost,,,,,,
player,201012050mia,mia,PoliLo00,pass_cmp,0,,,,,
player,201012050mia,mia,PoliLo00,pass_att,0,,,,,
player,201012050mia,mia,PoliLo00,pass_yds,0,,,,,
player,201012050mia,mia,PoliLo00,pass_td,0,,,,,
player,201012050mia,mia,PoliLo00,pass_int,0,,,,,
player,201012050mia,mia,PoliLo00,pass_sacked,,,,,,
player,201012050mia,mia,PoliLo00,pass_sacked_yds,,,,,,
player,201012050mia,mia,PoliLo00,pass_long,0,,,,,
player,201012050mia,mia,PoliLo00,pass_rating,,,,,,
player,201012050mia,mia,PoliLo00,rush_att,1,,,,,
player,201012050mia,mia,PoliLo00,rush_yds,-1,,,,,
player,201012050mia,mia,PoliLo00,rush_td,0,,,,,
player,201012050mia,mia,PoliLo00,rush_long,-1,,,,,
player,201012050mia,mia,PoliLo00,targets,1,,,,,
player,201012050mia,mia,PoliLo00,rec,0,,,,,
player,201012050mia,mia,PoliLo00,rec_yds,0,,,,,
player,201012050mia,mia,PoliLo00,rec_td,0,,,,,
player,201012050mia,mia,PoliLo00,rec_long,0,,,,,
player,201012050mia,mia,PoliLo00,fumbles,0,,,,,
player,201012050mia,mia,PoliLo00,fumbles_lost,,,,,,
player,201012050mia,mia,MoorMa02,pass_cmp,,,,,,
player,201012050mia,mia,MoorMa02,pass_att,,,,,,
player,201012050mia,mia,MoorMa02,pass_yds,,,,,,
player,201012050mia,mia,MoorMa02,pass_td,,,,,,
player,201012050mia,mia,MoorMa02,pass_int,,,,,,
player,201012050mia,mia,MoorMa02,pass_sacked,,,,,,
player,201012050mia,mia,MoorMa02,pass_sacked_yds,,,,,,
player,201012050mia,mia,MoorMa02,pass_long,,,,,,
player,201012050mia,mia,MoorMa02,pass_rating,,,,,,
player,201012050mia,mia,MoorMa02,rush_att,,,,,,
player,201012050mia,mia,MoorMa02,rush_yds,,,,,,
player,201012050mia,mia,MoorMa02,rush_td,,,,,,
player,201012050mia,mia,MoorMa02,rush_long,,,,,,
player,201012050mia,mia,MoorMa02,targets,2,,,,,
player,201012050mia,mia,MoorMa02,rec,0,,,,,
player,201012050mia,mia,MoorMa02,rec_yds,0,,,,,
player,201012050mia,mia,MoorMa02,rec_td,0,,,,,
player,201012050mia,mia,MoorMa02,rec_long,,,,,,
player,201012050mia,mia,MoorMa02,fumbles,,,,,,
player,201012050mia,mia,MoorMa02,fumbles_lost,,,,,,
player,201012050mia,cle,ElamAb20,def_int,1,,,,,
player,201012050mia,cle,ElamAb20,def_int_yds,18,,,,,
player,201012050mia,cle,ElamAb20,def_int_td,0,,,,,
player,201012050mia,cle,ElamAb20,def_int_long,18,,,,,
player,201012050mia,cle,ElamAb20,pass_defended,1,,,,,
player,201012050mia,cle,ElamAb20,sacks,0.0,,,,,
player,201012050mia,cle,ElamAb20,tackles_combined,7,,,,,
player,201012050mia,cle,ElamAb20,tackles_solo,5,,,,,
player,201012050mia,cle,ElamAb20,tackles_assists,2,,,,,
player,201012050mia,cle,ElamAb20,tackles_loss,0,,,,,
player,201012050mia,cle,ElamAb20,qb_hits,0,,,,,
player,201012050mia,cle,ElamAb20,fumbles_rec,0,,,,,
player,201012050mia,cle,ElamAb20,fumbles_rec_yds,0,,,,,
player,201012050mia,cle,ElamAb20,fumbles_rec_td,0,,,,,
player,201012050mia,cle,ElamAb20,fumbles_forced,0,,,,,
player,201012050mia,cle,HadeJo99,def_int,1,,,,,
player,201012050mia,cle,HadeJo99,def_int_yds,0,,,,,
player,201012050mia,cle,HadeJo99,def_int_td,0,,,,,
player,201012050mia,cle,HadeJo99,def_int_long,0,,,,,
player,201012050mia,cle,HadeJo99,pass_defended,4,,,,,
player,201012050mia,cle,HadeJo99,sacks,0.0,,,,,
player,201012050mia,cle,HadeJo99,tackles_combined,6,,,,,
player,201012050mia,cle,HadeJo99,tackles_solo,5,,,,,
player,201012050mia,cle,HadeJo99,tackles_assists,1,,,,,
player,201012050mia,cle,HadeJo99,tackles_loss,0,,,,,
player,201012050mia,cle,HadeJo99,qb_hits,0,,,,,
player,201012050mia,cle,HadeJo99,fumbles_rec,0,,,,,
player,201012050mia,cle,HadeJo99,fumbles_rec_yds,0,,,,,
player,201012050mia,cle,HadeJo99,fumbles_rec_td,0,,,,,
player,201012050mia,cle,HadeJo99,fumbles_forced,0,,,,,
player,201012050mia,cle,AdamMi21,def_int,1,,,,,
player,201012050mia,cle,AdamMi21,def_int_yds,25,,,,,
player,201012050mia,cle,AdamMi21,def_int_td,0,,,,,
player,201012050mia,cle,AdamMi21,def_int_long,25,,,,,
player,201012050mia,cle,AdamMi21,pass_defended,1,,,,,
player,201012050mia,cle,AdamMi21,sacks,0.0,,,,,
player,201012050mia,cle,AdamMi21,tackles_combined,3,,,,,
player,201012050mia,cle,AdamMi21,tackles_solo,3,,,,,
player,201012050mia,cle,AdamMi21,tackles_assists,0,,,,,
player,201012050mia,cle,AdamMi21,tackles_loss,0,,,,,
player,201012050mia,cle,AdamMi21,qb_hits,0,,,,,
player,201012050mia,cle,AdamMi21,fumbles_rec,0,,,,,
player,201012050mia,cle,AdamMi21,fumbles_rec_yds,0,,,,,
player,201012050mia,cle,AdamMi21,fumbles_rec_td,0,,,,,
player,201012050mia,cle,AdamMi21,fumbles_forced,0,,,,,
player,201012050mia,cle,RogeSh99,def_int,0,,,,,
player,201012050mia,cle,RogeSh99,def_int_yds,0,,,,,
player,201012050mia,cle,RogeSh99,def_int_td,0,,,,,
player,201012050mia,cle,RogeSh99,def_int_long,0,,,,,
player,201012050mia,cle,RogeSh99,pass_defended,0,,,,,
player,201012050mia,cle,RogeSh99,sacks,1.0,,,,,
player,201012050mia,cle,RogeSh99,tackles_combined,3,,,,,
player,201012050mia,cle,RogeSh99,tackles_solo,3,,,,,
player,201012050mia,cle,RogeSh99,tackles_assists,0,,,,,
player,201012050mia,cle,RogeSh99,tackles_loss,1,,,,,
player,201012050mia,cle,RogeSh99,qb_hits,1,,,,,
player,201012050mia,cle,RogeSh99,fumbles_rec,0,,,,,
player,201012050mia,cle,RogeSh99,fumbles_rec_yds,0,,,,,
player,201012050mia,cle,RogeSh99,fumbles_rec_td,0,,,,,
player,201012050mia,cle,RogeSh99,fumbles_forced,0,,,,,
player,201012050mia,cle,ColeKe20,def_int,0,,,,,
player,201012050mia,cle,ColeKe20,def_int_yds,0,,,,,
player,201012050mia,cle,ColeKe20,def_int_td,0,,,,,
player,201012050mia,cle,ColeKe20,def_int_long,0,,,,,
player,201012050mia,cle,ColeKe20,pass_defended,0,,,,,
player,201012050mia,cle,ColeKe20,sacks,0.0,,,,,
player,201012050mia,cle,ColeKe20,tackles_combined,5,,,,,
player,201012050mia,cle,ColeKe20,tackles_solo,3,,,,,
player,201012050mia,cle,ColeKe20,tackles_assists,2,,,,,
player,201012050mia,cle,ColeKe20,tackles_loss,0,,,,,
player,201012050mia,cle,ColeKe20,qb_hits,0,,,,,
player,201012050mia,cle,ColeKe20,fumbles_rec,0,,,,,
player,201012050mia,cle,ColeKe20,fumbles_rec_yds,0,,,,,
player,201012050mia,cle,ColeKe20,fumbles_rec_td,0,,,,,
player,201012050mia,cle,ColeKe20,fumbles_forced,0,,,,,
player,201012050mia,cle,WardT.99,def_int,0,,,,,
player,201012050mia,cle,WardT.99,def_int_yds,0,,,,,
player,201012050mia,cle,WardT.99,def_int_td,0,,,,,
player,201012050mia,cle,WardT.99,def_int_long,0,,,,,
player,201012050mia,cle,WardT.99,pass_defended,0,,,,,
player,201012050mia,cle,WardT.99,sacks,0.0,,,,,
player,201012050mia,cle,WardT.99,tackles_combined,5,,,,,
player,201012050mia,cle,WardT.99,tackles_solo,4,,,,,
player,201012050mia,cle,WardT.99,tackles_assists,1,,,,,
player,201012050mia,cle,WardT.99,tackles_loss,1,,,,,
player,201012050mia,cle,WardT.99,qb_hits,0,,,,,
player,201012050mia,cle,WardT.99,fumbles_rec,0,,,,,
player,201012050mia,cle,WardT.99,fumbles_rec_yds,0,,,,,
player,201012050mia,cle,WardT.99,fumbles_rec_td,0,,,,,
player,201012050mia,cle,WardT.99,fumbles_forced,0,,,,,
player,201012050mia,cle,BoweDa20,def_int,0,,,,,
player,201012050mia,cle,BoweDa20,def_int_yds,0,,,,,
player,201012050mia,cle,BoweDa20,def_int_td,0,,,,,
player,201012050mia,cle,BoweDa20,def_int_long,0,,,,,
player,201012050mia,cle,BoweDa20,pass_defended,3,,,,,
player,201012050mia,cle,BoweDa20,sacks,0.0,,,,,
player,201012050mia,cle,BoweDa20,tackles_combined,4,,,,,
player,201012050mia,cle,BoweDa20,tackles_solo,3,,,,,
player,201012050mia,cle,BoweDa20,tackles_assists,1,,,,,
player,201012050mia,cle,BoweDa20,tackles_loss,0,,,,,
player,201012050mia,cle,BoweDa20,qb_hits,0,,,,,
player,201012050mia,cle,BoweDa20,fumbles_rec,0,,,,,
player,201012050mia,cle,BoweDa20,fumbles_rec_yds,0,,,,,
player,201012050mia,cle,BoweDa20,fumbles_rec_td,0,,,,,
player,201012050mia,cle,BoweDa20,fumbles_forced,0,,,,,
player,201012050mia,cle,RothMa20,def_int,0,,,,,
player,201012050mia,cle,RothMa20,def_int_yds,0,,,,,
player,201012050mia,cle,RothMa20,def_int_td,0,,,,,
player,201012050mia,cle,RothMa20,def_int_long,0,,,,,
player,201012050mia,cle,RothMa20,pass_defended,0,,,,,
player,201012050mia,cle,RothMa20,sacks,0.0,,,,,
player,201012050mia,cle,RothMa20,tackles_combined,4,,,,,
player,201012050mia,cle,RothMa20,tackles_solo,4,,,,,
