game,2010,15,20101219,201012190tam,det,"Detroit Lions",23,tam,"Tampa Bay Buccaneers",20
player,201012190tam,det,PettBr00,pass_cmp,0,,,,,
player,201012190tam,det,PettBr00,pass_att,0,,,,,
player,201012190tam,det,PettBr00,pass_yds,0,,,,,
player,201012190tam,det,PettBr00,pass_td,0,,,,,
player,201012190tam,det,PettBr00,pass_int,0,,,,,
player,201012190tam,det,PettBr00,pass_sacked,,,,,,
player,201012190tam,det,PettBr00,pass_sacked_yds,,,,,,
player,201012190tam,det,PettBr00,pass_long,0,,,,,
player,201012190tam,det,PettBr00,pass_rating,,,,,,
player,201012190tam,det,PettBr00,rush_att,0,,,,,
player,201012190tam,det,PettBr00,rush_yds,0,,,,,
player,201012190tam,det,PettBr00,rush_td,0,,,,,
player,201012190tam,det,PettBr00,rush_long,0,,,,,
player,201012190tam,det,PettBr00,targets,3,,,,,
player,201012190tam,det,PettBr00,rec,2,,,,,
player,201012190tam,det,PettBr00,rec_yds,25,,,,,
player,201012190tam,det,PettBr00,rec_td,0,,,,,
player,201012190tam,det,PettBr00,rec_long,13,,,,,
player,201012190tam,det,PettBr00,fumbles,0,,,,,
player,201012190tam,det,PettBr00,fumbles_lost,,,,,,
player,201012190tam,det,JohnBr02,pass_cmp,0,,,,,
player,201012190tam,det,JohnBr02,pass_att,0,,,,,
player,201012190tam,det,JohnBr02,pass_yds,0,,,,,
player,201012190tam,det,JohnBr02,pass_td,0,,,,,
player,201012190tam,det,JohnBr02,pass_int,0,,,,,
player,201012190tam,det,JohnBr02,pass_sacked,,,,,,
player,201012190tam,det,JohnBr02,pass_sacked_yds,,,,,,
player,201012190tam,det,JohnBr02,pass_long,0,,,,,
player,201012190tam,det,JohnBr02,pass_rating,,,,,,
player,201012190tam,det,JohnBr02,rush_att,0,,,,,
player,201012190tam,det,JohnBr02,rush_yds,0,,,,,
player,201012190tam,det,JohnBr02,rush_td,0,,,,,
player,201012190tam,det,JohnBr02,rush_long,0,,,,,
player,201012190tam,det,JohnBr02,targets,6,,,,,
player,201012190tam,det,JohnBr02,rec,1,,,,,
player,201012190tam,det,JohnBr02,rec_yds,19,,,,,
player,201012190tam,det,JohnBr02,rec_td,0,,,,,
player,201012190tam,det,JohnBr02,rec_long,19,,,,,
player,201012190tam,det,JohnBr02,fumbles,0,,,,,
player,201012190tam,det,JohnBr02,fumbles_lost,,,,,,
player,201012190tam,det,ScheTo00,pass_cmp,0,,,,,
player,201012190tam,det,ScheTo00,pass_att,0,,,,,
player,201012190tam,det,ScheTo00,pass_yds,0,,,,,
player,201012190tam,det,ScheTo00,pass_td,0,,,,,
player,201012190tam,det,ScheTo00,pass_int,0,,,,,
player,201012190tam,det,ScheTo00,pass_sacked,,,,,,
player,201012190tam,det,ScheTo00,pass_sacked_yds,,,,,,
player,201012190tam,det,ScheTo00,pass_long,0,,,,,
player,201012190tam,det,ScheTo00,pass_rating,,,,,,
player,201012190tam,det,ScheTo00,rush_att,0,,,,,
player,201012190tam,det,ScheTo00,rush_yds,0,,,,,
player,201012190tam,det,ScheTo00,rush_td,0,,,,,
player,201012190tam,det,ScheTo00,rush_long,0,,,,,
player,201012190tam,det,ScheTo00,targets,4,,,,,
player,201012190tam,det,ScheTo00,rec,3,,,,,
player,201012190tam,det,ScheTo00,rec_yds,18,,,,,
player,201012190tam,det,ScheTo00,rec_td,0,,,,,
player,201012190tam,det,ScheTo00,rec_long,12,,,,,
player,201012190tam,det,ScheTo00,fumbles,0,,,,,
player,201012190tam,det,ScheTo00,fumbles_lost,,,,,,
player,201012190tam,tam,FreeJo00,pass_cmp,21,,,,,
player,201012190tam,tam,FreeJo00,pass_att,32,,,,,
player,201012190tam,tam,FreeJo00,pass_yds,251,,,,,
player,201012190tam,tam,FreeJo00,pass_td,1,,,,,
player,201012190tam,tam,FreeJo00,pass_int,0,,,,,
player,201012190tam,tam,FreeJo00,pass_sacked,3,,,,,
player,201012190tam,tam,FreeJo00,pass_sacked_yds,25,,,,,
player,201012190tam,tam,FreeJo00,pass_long,26,,,,,
player,201012190tam,tam,FreeJo00,pass_rating,99.9,,,,,
player,201012190tam,tam,FreeJo00,rush_att,5,,,,,
player,201012190tam,tam,FreeJo00,rush_yds,29,,,,,
player,201012190tam,tam,FreeJo00,rush_td,0,,,,,
player,201012190tam,tam,FreeJo00,rush_long,14,,,,,
player,201012190tam,tam,FreeJo00,targets,0,,,,,
player,201012190tam,tam,FreeJo00,rec,0,,,,,
player,201012190tam,tam,FreeJo00,rec_yds,0,,,,,
player,201012190tam,tam,FreeJo00,rec_td,0,,,,,
player,201012190tam,tam,FreeJo00,rec_long,0,,,,,
player,201012190tam,tam,FreeJo00,fumbles,0,,,,,
player,201012190tam,tam,FreeJo00,fumbles_lost,,,,,,
player,201012190tam,tam,JohnJo05,pass_cmp,1,,,,,
player,201012190tam,tam,JohnJo05,pass_att,1,,,,,
player,201012190tam,tam,JohnJo05,pass_yds,1,,,,,
player,201012190tam,tam,JohnJo05,pass_td,0,,,,,
player,201012190tam,tam,JohnJo05,pass_int,0,,,,,
player,201012190tam,tam,JohnJo05,pass_sacked,0,,,,,
player,201012190tam,tam,JohnJo05,pass_sacked_yds,0,,,,,
player,201012190tam,tam,JohnJo05,pass_long,1,,,,,
player,201012190tam,tam,JohnJo05,pass_rating,79.2,,,,,
player,201012190tam,tam,JohnJo05,rush_att,0,,,,,
player,201012190tam,tam,JohnJo05,rush_yds,0,,,,,
player,201012190tam,tam,JohnJo05,rush_td,0,,,,,
player,201012190tam,tam,JohnJo05,rush_long,0,,,,,
player,201012190tam,tam,JohnJo05,targets,0,,,,,
player,201012190tam,tam,JohnJo05,rec,0,,,,,
player,201012190tam,tam,JohnJo05,rec_yds,0,,,,,
player,201012190tam,tam,JohnJo05,rec_td,0,,,,,
player,201012190tam,tam,JohnJo05,rec_long,0,,,,,
player,201012190tam,tam,JohnJo05,fumbles,0,,,,,
player,201012190tam,tam,JohnJo05,fumbles_lost,,,,,,
player,201012190tam,tam,BlouLe00,pass_cmp,0,,,,,
player,201012190tam,tam,BlouLe00,pass_att,0,,,,,
player,201012190tam,tam,BlouLe00,pass_yds,0,,,,,
player,201012190tam,tam,BlouLe00,pass_td,0,,,,,
player,201012190tam,tam,BlouLe00,pass_int,0,,,,,
player,201012190tam,tam,BlouLe00,pass_sacked,,,,,,
player,201012190tam,tam,BlouLe00,pass_sacked_yds,,,,,,
player,201012190tam,tam,BlouLe00,pass_long,0,,,,,
player,201012190tam,tam,BlouLe00,pass_rating,,,,,,
player,201012190tam,tam,BlouLe00,rush_att,15,,,,,
player,201012190tam,tam,BlouLe00,rush_yds,110,,,,,
player,201012190tam,tam,BlouLe00,rush_td,1,,,,,
player,201012190tam,tam,BlouLe00,rush_long,39,,,,,
player,201012190tam,tam,BlouLe00,targets,0,,,,,
player,201012190tam,tam,BlouLe00,rec,0,,,,,
player,201012190tam,tam,BlouLe00,rec_yds,0,,,,,
player,201012190tam,tam,BlouLe00,rec_td,0,,,,,
player,201012190tam,tam,BlouLe00,rec_long,0,,,,,
player,201012190tam,tam,BlouLe00,fumbles,0,,,,,
player,201012190tam,tam,BlouLe00,fumbles_lost,,,,,,
player,201012190tam,tam,WillCa02,pass_cmp,0,,,,,
player,201012190tam,tam,WillCa02,pass_att,0,,,,,
player,201012190tam,tam,WillCa02,pass_yds,0,,,,,
player,201012190tam,tam,WillCa02,pass_td,0,,,,,
player,201012190tam,tam,WillCa02,pass_int,0,,,,,
player,201012190tam,tam,WillCa02,pass_sacked,,,,,,
player,201012190tam,tam,WillCa02,pass_sacked_yds,,,,,,
player,201012190tam,tam,WillCa02,pass_long,0,,,,,
player,201012190tam,tam,WillCa02,pass_rating,,,,,,
player,201012190tam,tam,WillCa02,rush_att,7,,,,,
player,201012190tam,tam,WillCa02,rush_yds,38,,,,,
player,201012190tam,tam,WillCa02,rush_td,0,,,,,
player,201012190tam,tam,WillCa02,rush_long,10,,,,,
player,201012190tam,tam,WillCa02,targets,3,,,,,
player,201012190tam,tam,WillCa02,rec,2,,,,,
player,201012190tam,tam,WillCa02,rec_yds,26,,,,,
player,201012190tam,tam,WillCa02,rec_td,0,,,,,
player,201012190tam,tam,WillCa02,rec_long,18,,,,,
player,201012190tam,tam,WillCa02,fumbles,0,,,,,
player,201012190tam,tam,WillCa02,fumbles_lost,,,,,,
player,201012190tam,tam,WillMi04,pass_cmp,0,,,,,
player,201012190tam,tam,WillMi04,pass_att,0,,,,,
player,201012190tam,tam,WillMi04,pass_yds,0,,,,,
player,201012190tam,tam,WillMi04,pass_td,0,,,,,
player,201012190tam,tam,WillMi04,pass_int,0,,,,,
player,201012190tam,tam,WillMi04,pass_sacked,,,,,,
player,201012190tam,tam,WillMi04,pass_sacked_yds,,,,,,
player,201012190tam,tam,WillMi04,pass_long,0,,,,,
player,201012190tam,tam,WillMi04,pass_rating,,,,,,
player,201012190tam,tam,WillMi04,rush_att,0,,,,,
player,201012190tam,tam,WillMi04,rush_yds,0,,,,,
player,201012190tam,tam,WillMi04,rush_td,0,,,,,
player,201012190tam,tam,WillMi04,rush_long,0,,,,,
player,201012190tam,tam,WillMi04,targets,11,,,,,
player,201012190tam,tam,WillMi04,rec,6,,,,,
player,201012190tam,tam,WillMi04,rec_yds,96,,,,,
player,201012190tam,tam,WillMi04,rec_td,1,,,,,
player,201012190tam,tam,WillMi04,rec_long,26,,,,,
player,201012190tam,tam,WillMi04,fumbles,0,,,,,
player,201012190tam,tam,WillMi04,fumbles_lost,,,,,,
player,201012190tam,tam,WinsKe01,pass_cmp,0,,,,,
player,201012190tam,tam,WinsKe01,pass_att,0,,,,,
player,201012190tam,tam,WinsKe01,pass_yds,0,,,,,
player,201012190tam,tam,WinsKe01,pass_td,0,,,,,
player,201012190tam,tam,WinsKe01,pass_int,0,,,,,
player,201012190tam,tam,WinsKe01,pass_sacked,,,,,,
player,201012190tam,tam,WinsKe01,pass_sacked_yds,,,,,,
player,201012190tam,tam,WinsKe01,pass_long,0,,,,,
player,201012190tam,tam,WinsKe01,pass_rating,,,,,,
player,201012190tam,tam,WinsKe01,rush_att,0,,,,,
player,201012190tam,tam,WinsKe01,rush_yds,0,,,,,
player,201012190tam,tam,WinsKe01,rush_td,0,,,,,
player,201012190tam,tam,WinsKe01,rush_long,0,,,,,
player,201012190tam,tam,WinsKe01,targets,6,,,,,
player,201012190tam,tam,WinsKe01,rec,4,,,,,
player,201012190tam,tam,WinsKe01,rec_yds,46,,,,,
player,201012190tam,tam,WinsKe01,rec_td,0,,,,,
player,201012190tam,tam,WinsKe01,rec_long,15,,,,,
player,201012190tam,tam,WinsKe01,fumbles,0,,,,,
player,201012190tam,tam,WinsKe01,fumbles_lost,,,,,,
player,201012190tam,tam,BennAr00,pass_cmp,0,,,,,
player,201012190tam,tam,BennAr00,pass_att,0,,,,,
player,201012190tam,tam,BennAr00,pass_yds,0,,,,,
