game,2010,16,20101226,201012260kan,oti,"Tennessee Titans",14,kan,"Kansas City Chiefs",34
player,201012260kan,kan,MoeaTo00,pass_sacked_yds,,,,,,
player,201012260kan,kan,MoeaTo00,pass_long,0,,,,,
player,201012260kan,kan,MoeaTo00,pass_rating,,,,,,
player,201012260kan,kan,MoeaTo00,rush_att,0,,,,,
player,201012260kan,kan,MoeaTo00,rush_yds,0,,,,,
player,201012260kan,kan,MoeaTo00,rush_td,0,,,,,
player,201012260kan,kan,MoeaTo00,rush_long,0,,,,,
player,201012260kan,kan,MoeaTo00,targets,7,,,,,
player,201012260kan,kan,MoeaTo00,rec,5,,,,,
player,201012260kan,kan,MoeaTo00,rec_yds,63,,,,,
player,201012260kan,kan,MoeaTo00,rec_td,0,,,,,
player,201012260kan,kan,MoeaTo00,rec_long,19,,,,,
player,201012260kan,kan,MoeaTo00,fumbles,0,,,,,
player,201012260kan,kan,MoeaTo00,fumbles_lost,,,,,,
player,201012260kan,kan,ChamCh00,pass_cmp,0,,,,,
player,201012260kan,kan,ChamCh00,pass_att,0,,,,,
player,201012260kan,kan,ChamCh00,pass_yds,0,,,,,
player,201012260kan,kan,ChamCh00,pass_td,0,,,,,
player,201012260kan,kan,ChamCh00,pass_int,0,,,,,
player,201012260kan,kan,ChamCh00,pass_sacked,,,,,,
player,201012260kan,kan,ChamCh00,pass_sacked_yds,,,,,,
player,201012260kan,kan,ChamCh00,pass_long,0,,,,,
player,201012260kan,kan,ChamCh00,pass_rating,,,,,,
player,201012260kan,kan,ChamCh00,rush_att,0,,,,,
player,201012260kan,kan,ChamCh00,rush_yds,0,,,,,
player,201012260kan,kan,ChamCh00,rush_td,0,,,,,
player,201012260kan,kan,ChamCh00,rush_long,0,,,,,
player,201012260kan,kan,ChamCh00,targets,6,,,,,
player,201012260kan,kan,ChamCh00,rec,3,,,,,
player,201012260kan,kan,ChamCh00,rec_yds,17,,,,,
player,201012260kan,kan,ChamCh00,rec_td,0,,,,,
player,201012260kan,kan,ChamCh00,rec_long,11,,,,,
