game,2010,13,20101205,201012050cin,nor,"New Orleans Saints",34,cin,"Cincinnati Bengals",30
player,201012050cin,nor,MeacRo00,pass_cmp,0,,,,,
player,201012050cin,nor,MeacRo00,pass_att,0,,,,,
player,201012050cin,nor,MeacRo00,pass_yds,0,,,,,
player,201012050cin,nor,MeacRo00,pass_td,0,,,,,
player,201012050cin,nor,MeacRo00,pass_int,0,,,,,
player,201012050cin,nor,MeacRo00,pass_sacked,,,,,,
player,201012050cin,nor,MeacRo00,pass_sacked_yds,,,,,,
player,201012050cin,nor,MeacRo00,pass_long,0,,,,,
player,201012050cin,nor,MeacRo00,pass_rating,,,,,,
player,201012050cin,nor,MeacRo00,rush_att,0,,,,,
player,201012050cin,nor,MeacRo00,rush_yds,0,,,,,
player,201012050cin,nor,MeacRo00,rush_td,0,,,,,
player,201012050cin,nor,MeacRo00,rush_long,0,,,,,
player,201012050cin,nor,MeacRo00,targets,3,,,,,
player,201012050cin,nor,MeacRo00,rec,3,,,,,
player,201012050cin,nor,MeacRo00,rec_yds,106,,,,,
player,201012050cin,nor,MeacRo00,rec_td,1,,,,,
player,201012050cin,nor,MeacRo00,rec_long,52,,,,,
player,201012050cin,nor,MeacRo00,fumbles,0,,,,,
player,201012050cin,nor,MeacRo00,fumbles_lost,,,,,,
player,201012050cin,nor,GrahJi00,pass_cmp,0,,,,,
player,201012050cin,nor,GrahJi00,pass_att,0,,,,,
player,201012050cin,nor,GrahJi00,pass_yds,0,,,,,
player,201012050cin,nor,GrahJi00,pass_td,0,,,,,
player,201012050cin,nor,GrahJi00,pass_int,0,,,,,
player,201012050cin,nor,GrahJi00,pass_sacked,,,,,,
player,201012050cin,nor,GrahJi00,pass_sacked_yds,,,,,,
player,201012050cin,nor,GrahJi00,pass_long,0,,,,,
player,201012050cin,nor,GrahJi00,pass_rating,,,,,,
player,201012050cin,nor,GrahJi00,rush_att,0,,,,,
player,201012050cin,nor,GrahJi00,rush_yds,0,,,,,
player,201012050cin,nor,GrahJi00,rush_td,0,,,,,
player,201012050cin,nor,GrahJi00,rush_long,0,,,,,
player,201012050cin,nor,GrahJi00,targets,3,,,,,
player,201012050cin,nor,GrahJi00,rec,3,,,,,
player,201012050cin,nor,GrahJi00,rec_yds,72,,,,,
player,201012050cin,nor,GrahJi00,rec_td,0,,,,,
player,201012050cin,nor,GrahJi00,rec_long,52,,,,,
player,201012050cin,nor,GrahJi00,fumbles,0,,,,,
player,201012050cin,nor,GrahJi00,fumbles_lost,,,,,,
player,201012050cin,nor,ColsMa00,pass_cmp,0,,,,,
player,201012050cin,nor,ColsMa00,pass_att,0,,,,,
player,201012050cin,nor,ColsMa00,pass_yds,0,,,,,
player,201012050cin,nor,ColsMa00,pass_td,0,,,,,
player,201012050cin,nor,ColsMa00,pass_int,0,,,,,
player,201012050cin,nor,ColsMa00,pass_sacked,,,,,,
player,201012050cin,nor,ColsMa00,pass_sacked_yds,,,,,,
player,201012050cin,nor,ColsMa00,pass_long,0,,,,,
player,201012050cin,nor,ColsMa00,pass_rating,,,,,,
player,201012050cin,nor,ColsMa00,rush_att,0,,,,,
player,201012050cin,nor,ColsMa00,rush_yds,0,,,,,
player,201012050cin,nor,ColsMa00,rush_td,0,,,,,
player,201012050cin,nor,ColsMa00,rush_long,0,,,,,
player,201012050cin,nor,ColsMa00,targets,4,,,,,
player,201012050cin,nor,ColsMa00,rec,3,,,,,
player,201012050cin,nor,ColsMa00,rec_yds,65,,,,,
player,201012050cin,nor,ColsMa00,rec_td,1,,,,,
player,201012050cin,nor,ColsMa00,rec_long,43,,,,,
player,201012050cin,nor,ColsMa00,fumbles,0,,,,,
player,201012050cin,nor,ColsMa00,fumbles_lost,,,,,,
player,201012050cin,nor,MoorLa00,pass_cmp,0,,,,,
player,201012050cin,nor,MoorLa00,pass_att,0,,,,,
player,201012050cin,nor,MoorLa00,pass_yds,0,,,,,
player,201012050cin,nor,MoorLa00,pass_td,0,,,,,
player,201012050cin,nor,MoorLa00,pass_int,0,,,,,
player,201012050cin,nor,MoorLa00,pass_sacked,,,,,,
player,201012050cin,nor,MoorLa00,pass_sacked_yds,,,,,,
player,201012050cin,nor,MoorLa00,pass_long,0,,,,,
player,201012050cin,nor,MoorLa00,pass_rating,,,,,,
player,201012050cin,nor,MoorLa00,rush_att,0,,,,,
player,201012050cin,nor,MoorLa00,rush_yds,0,,,,,
player,201012050cin,nor,MoorLa00,rush_td,0,,,,,
player,201012050cin,nor,MoorLa00,rush_long,0,,,,,
player,201012050cin,nor,MoorLa00,targets,7,,,,,
player,201012050cin,nor,MoorLa00,rec,6,,,,,
player,201012050cin,nor,MoorLa00,rec_yds,36,,,,,
player,201012050cin,nor,MoorLa00,rec_td,0,,,,,
player,201012050cin,nor,MoorLa00,rec_long,9,,,,,
player,201012050cin,nor,MoorLa00,fumbles,0,,,,,
player,201012050cin,nor,MoorLa00,fumbles_lost,,,,,,
player,201012050cin,nor,ShocJe00,pass_cmp,0,,,,,
player,201012050cin,nor,ShocJe00,pass_att,0,,,,,
player,201012050cin,nor,ShocJe00,pass_yds,0,,,,,
player,201012050cin,nor,ShocJe00,pass_td,0,,,,,
player,201012050cin,nor,ShocJe00,pass_int,0,,,,,
player,201012050cin,nor,ShocJe00,pass_sacked,,,,,,
player,201012050cin,nor,ShocJe00,pass_sacked_yds,,,,,,
player,201012050cin,nor,ShocJe00,pass_long,0,,,,,
player,201012050cin,nor,ShocJe00,pass_rating,,,,,,
player,201012050cin,nor,ShocJe00,rush_att,0,,,,,
player,201012050cin,nor,ShocJe00,rush_yds,0,,,,,
player,201012050cin,nor,ShocJe00,rush_td,0,,,,,
player,201012050cin,nor,ShocJe00,rush_long,0,,,,,
player,201012050cin,nor,ShocJe00,targets,3,,,,,
player,201012050cin,nor,ShocJe00,rec,2,,,,,
player,201012050cin,nor,ShocJe00,rec_yds,28,,,,,
player,201012050cin,nor,ShocJe00,rec_td,0,,,,,
player,201012050cin,nor,ShocJe00,rec_long,18,,,,,
player,201012050cin,nor,ShocJe00,fumbles,0,,,,,
player,201012050cin,nor,ShocJe00,fumbles_lost,,,,,,
player,201012050cin,nor,ThomDa02,pass_cmp,0,,,,,
player,201012050cin,nor,ThomDa02,pass_att,0,,,,,
player,201012050cin,nor,ThomDa02,pass_yds,0,,,,,
player,201012050cin,nor,ThomDa02,pass_td,0,,,,,
player,201012050cin,nor,ThomDa02,pass_int,0,,,,,
player,201012050cin,nor,ThomDa02,pass_sacked,,,,,,
player,201012050cin,nor,ThomDa02,pass_sacked_yds,,,,,,
player,201012050cin,nor,ThomDa02,pass_long,0,,,,,
player,201012050cin,nor,ThomDa02,pass_rating,,,,,,
player,201012050cin,nor,ThomDa02,rush_att,0,,,,,
player,201012050cin,nor,ThomDa02,rush_yds,0,,,,,
player,201012050cin,nor,ThomDa02,rush_td,0,,,,,
player,201012050cin,nor,ThomDa02,rush_long,0,,,,,
player,201012050cin,nor,ThomDa02,targets,1,,,,,
player,201012050cin,nor,ThomDa02,rec,0,,,,,
player,201012050cin,nor,ThomDa02,rec_yds,0,,,,,
player,201012050cin,nor,ThomDa02,rec_td,0,,,,,
player,201012050cin,nor,ThomDa02,rec_long,0,,,,,
player,201012050cin,nor,ThomDa02,fumbles,0,,,,,
player,201012050cin,nor,ThomDa02,fumbles_lost,,,,,,
player,201012050cin,nor,HendDe00,pass_cmp,0,,,,,
player,201012050cin,nor,HendDe00,pass_att,0,,,,,
player,201012050cin,nor,HendDe00,pass_yds,0,,,,,
player,201012050cin,nor,HendDe00,pass_td,0,,,,,
player,201012050cin,nor,HendDe00,pass_int,0,,,,,
player,201012050cin,nor,HendDe00,pass_sacked,,,,,,
player,201012050cin,nor,HendDe00,pass_sacked_yds,,,,,,
player,201012050cin,nor,HendDe00,pass_long,0,,,,,
player,201012050cin,nor,HendDe00,pass_rating,,,,,,
player,201012050cin,nor,HendDe00,rush_att,0,,,,,
player,201012050cin,nor,HendDe00,rush_yds,0,,,,,
player,201012050cin,nor,HendDe00,rush_td,0,,,,,
player,201012050cin,nor,HendDe00,rush_long,0,,,,,
player,201012050cin,nor,HendDe00,targets,1,,,,,
player,201012050cin,nor,HendDe00,rec,1,,,,,
player,201012050cin,nor,HendDe00,rec_yds,0,,,,,
player,201012050cin,nor,HendDe00,rec_td,0,,,,,
player,201012050cin,nor,HendDe00,rec_long,0,,,,,
player,201012050cin,nor,HendDe00,fumbles,0,,,,,
player,201012050cin,nor,HendDe00,fumbles_lost,,,,,,
player,201012050cin,cin,PalmCa00,pass_cmp,23,,,,,
player,201012050cin,cin,PalmCa00,pass_att,33,,,,,
player,201012050cin,cin,PalmCa00,pass_yds,249,,,,,
player,201012050cin,cin,PalmCa00,pass_td,1,,,,,
player,201012050cin,cin,PalmCa00,pass_int,0,,,,,
player,201012050cin,cin,PalmCa00,pass_sacked,3,,,,,
player,201012050cin,cin,PalmCa00,pass_sacked_yds,34,,,,,
player,201012050cin,cin,PalmCa00,pass_long,33,,,,,
player,201012050cin,cin,PalmCa00,pass_rating,101.7,,,,,
player,201012050cin,cin,PalmCa00,rush_att,0,,,,,
player,201012050cin,cin,PalmCa00,rush_yds,0,,,,,
player,201012050cin,cin,PalmCa00,rush_td,0,,,,,
player,201012050cin,cin,PalmCa00,rush_long,0,,,,,
player,201012050cin,cin,PalmCa00,targets,0,,,,,
player,201012050cin,cin,PalmCa00,rec,0,,,,,
player,201012050cin,cin,PalmCa00,rec_yds,0,,,,,
player,201012050cin,cin,PalmCa00,rec_td,0,,,,,
player,201012050cin,cin,PalmCa00,rec_long,0,,,,,
player,201012050cin,cin,PalmCa00,fumbles,0,,,,,
player,201012050cin,cin,PalmCa00,fumbles_lost,,,,,,
player,201012050cin,cin,BensCe00,pass_cmp,0,,,,,
player,201012050cin,cin,BensCe00,pass_att,0,,,,,
player,201012050cin,cin,BensCe00,pass_yds,0,,,,,
player,201012050cin,cin,BensCe00,pass_td,0,,,,,
player,201012050cin,cin,BensCe00,pass_int,0,,,,,
player,201012050cin,cin,BensCe00,pass_sacked,,,,,,
player,201012050cin,cin,BensCe00,pass_sacked_yds,,,,,,
player,201012050cin,cin,BensCe00,pass_long,0,,,,,
player,201012050cin,cin,BensCe00,pass_rating,,,,,,
player,201012050cin,cin,BensCe00,rush_att,19,,,,,
player,201012050cin,cin,BensCe00,rush_yds,49,,,,,
player,201012050cin,cin,BensCe00,rush_td,2,,,,,
player,201012050cin,cin,BensCe00,rush_long,7,,,,,
player,201012050cin,cin,BensCe00,targets,2,,,,,
player,201012050cin,cin,BensCe00,rec,2,,,,,
player,201012050cin,cin,BensCe00,rec_yds,14,,,,,
player,201012050cin,cin,BensCe00,rec_td,0,,,,,
player,201012050cin,cin,BensCe00,rec_long,11,,,,,
player,201012050cin,cin,BensCe00,fumbles,1,,,,,
player,201012050cin,cin,BensCe00,fumbles_lost,0,,,,,
player,201012050cin,cin,ScotBe00,pass_cmp,0,,,,,
player,201012050cin,cin,ScotBe00,pass_att,0,,,,,
player,201012050cin,cin,ScotBe00,pass_yds,0,,,,,
player,201012050cin,cin,ScotBe00,pass_td,0,,,,,
player,201012050cin,cin,ScotBe00,pass_int,0,,,,,
player,201012050cin,cin,ScotBe00,pass_sacked,,,,,,
player,201012050cin,cin,ScotBe00,pass_sacked_yds,,,,,,
player,201012050cin,cin,ScotBe00,pass_long,0,,,,,
player,201012050cin,cin,ScotBe00,pass_rating,,,,,,
player,201012050cin,cin,ScotBe00,rush_att,6,,,,,
player,201012050cin,cin,ScotBe00,rush_yds,43,,,,,
player,201012050cin,cin,ScotBe00,rush_td,0,,,,,
player,201012050cin,cin,ScotBe00,rush_long,18,,,,,
player,201012050cin,cin,ScotBe00,targets,0,,,,,
player,201012050cin,cin,ScotBe00,rec,0,,,,,
player,201012050cin,cin,ScotBe00,rec_yds,0,,,,,
player,201012050cin,cin,ScotBe00,rec_td,0,,,,,
player,201012050cin,cin,ScotBe00,rec_long,0,,,,,
player,201012050cin,cin,ScotBe00,fumbles,0,,,,,
player,201012050cin,cin,ScotBe00,fumbles_lost,,,,,,
player,201012050cin,cin,LeonBr00,pass_cmp,0,,,,,
player,201012050cin,cin,LeonBr00,pass_att,0,,,,,
player,201012050cin,cin,LeonBr00,pass_yds,0,,,,,
player,201012050cin,cin,LeonBr00,pass_td,0,,,,,
player,201012050cin,cin,LeonBr00,pass_int,0,,,,,
player,201012050cin,cin,LeonBr00,pass_sacked,,,,,,
player,201012050cin,cin,LeonBr00,pass_sacked_yds,,,,,,
player,201012050cin,cin,LeonBr00,pass_long,0,,,,,
player,201012050cin,cin,LeonBr00,pass_rating,,,,,,
player,201012050cin,cin,LeonBr00,rush_att,1,,,,,
player,201012050cin,cin,LeonBr00,rush_yds,4,,,,,
player,201012050cin,cin,LeonBr00,rush_td,0,,,,,
player,201012050cin,cin,LeonBr00,rush_long,4,,,,,
player,201012050cin,cin,LeonBr00,targets,4,,,,,
player,201012050cin,cin,LeonBr00,rec,3,,,,,
player,201012050cin,cin,LeonBr00,rec_yds,24,,,,,
player,201012050cin,cin,LeonBr00,rec_td,0,,,,,
player,201012050cin,cin,LeonBr00,rec_long,14,,,,,
player,201012050cin,cin,LeonBr00,fumbles,0,,,,,
player,201012050cin,cin,LeonBr00,fumbles_lost,,,,,,
player,201012050cin,cin,JohnCh01,pass_cmp,0,,,,,
player,201012050cin,cin,JohnCh01,pass_att,0,,,,,
player,201012050cin,cin,JohnCh01,pass_yds,0,,,,,
player,201012050cin,cin,JohnCh01,pass_td,0,,,,,
player,201012050cin,cin,JohnCh01,pass_int,0,,,,,
player,201012050cin,cin,JohnCh01,pass_sacked,0,,,,,
player,201012050cin,cin,JohnCh01,pass_sacked_yds,0,,,,,
player,201012050cin,cin,JohnCh01,pass_long,0,,,,,
player,201012050cin,cin,JohnCh01,pass_rating,,,,,,
player,201012050cin,cin,JohnCh01,rush_att,0,,,,,
player,201012050cin,cin,JohnCh01,rush_yds,0,,,,,
player,201012050cin,cin,JohnCh01,rush_td,0,,,,,
player,201012050cin,cin,JohnCh01,rush_long,0,,,,,
player,201012050cin,cin,JohnCh01,targets,10,,,,,
player,201012050cin,cin,JohnCh01,rec,5,,,,,
player,201012050cin,cin,JohnCh01,rec_yds,96,,,,,
player,201012050cin,cin,JohnCh01,rec_td,0,,,,,
player,201012050cin,cin,JohnCh01,rec_long,33,,,,,
player,201012050cin,cin,JohnCh01,fumbles,0,,,,,
player,201012050cin,cin,JohnCh01,fumbles_lost,,,,,,
player,201012050cin,cin,OwenTe00,pass_cmp,0,,,,,
player,201012050cin,cin,OwenTe00,pass_att,0,,,,,
player,201012050cin,cin,OwenTe00,pass_yds,0,,,,,
player,201012050cin,cin,OwenTe00,pass_td,0,,,,,
player,201012050cin,cin,OwenTe00,pass_int,0,,,,,
player,201012050cin,cin,OwenTe00,pass_sacked,,,,,,
player,201012050cin,cin,OwenTe00,pass_sacked_yds,,,,,,
player,201012050cin,cin,OwenTe00,pass_long,0,,,,,
player,201012050cin,cin,OwenTe00,pass_rating,,,,,,
player,201012050cin,cin,OwenTe00,rush_att,0,,,,,
player,201012050cin,cin,OwenTe00,rush_yds,0,,,,,
player,201012050cin,cin,OwenTe00,rush_td,0,,,,,
player,201012050cin,cin,OwenTe00,rush_long,0,,,,,
player,201012050cin,cin,OwenTe00,targets,9,,,,,
player,201012050cin,cin,OwenTe00,rec,6,,,,,
player,201012050cin,cin,OwenTe00,rec_yds,47,,,,,
player,201012050cin,cin,OwenTe00,rec_td,1,,,,,
player,201012050cin,cin,OwenTe00,rec_long,20,,,,,
player,201012050cin,cin,OwenTe00,fumbles,0,,,,,
player,201012050cin,cin,OwenTe00,fumbles_lost,,,,,,
player,201012050cin,cin,GresJe00,pass_cmp,0,,,,,
player,201012050cin,cin,GresJe00,pass_att,0,,,,,
player,201012050cin,cin,GresJe00,pass_yds,0,,,,,
player,201012050cin,cin,GresJe00,pass_td,0,,,,,
player,201012050cin,cin,GresJe00,pass_int,0,,,,,
player,201012050cin,cin,GresJe00,pass_sacked,,,,,,
player,201012050cin,cin,GresJe00,pass_sacked_yds,,,,,,
player,201012050cin,cin,GresJe00,pass_long,0,,,,,
player,201012050cin,cin,GresJe00,pass_rating,,,,,,
player,201012050cin,cin,GresJe00,rush_att,0,,,,,
player,201012050cin,cin,GresJe00,rush_yds,0,,,,,
player,201012050cin,cin,GresJe00,rush_td,0,,,,,
player,201012050cin,cin,GresJe00,rush_long,0,,,,,
player,201012050cin,cin,GresJe00,targets,4,,,,,
player,201012050cin,cin,GresJe00,rec,3,,,,,
player,201012050cin,cin,GresJe00,rec_yds,43,,,,,
player,201012050cin,cin,GresJe00,rec_td,0,,,,,
player,201012050cin,cin,GresJe00,rec_long,23,,,,,
player,201012050cin,cin,GresJe00,fumbles,0,,,,,
player,201012050cin,cin,GresJe00,fumbles_lost,,,,,,
player,201012050cin,cin,ShipJo00,pass_cmp,0,,,,,
player,201012050cin,cin,ShipJo00,pass_att,0,,,,,
player,201012050cin,cin,ShipJo00,pass_yds,0,,,,,
player,201012050cin,cin,ShipJo00,pass_td,0,,,,,
player,201012050cin,cin,ShipJo00,pass_int,0,,,,,
player,201012050cin,cin,ShipJo00,pass_sacked,,,,,,
player,201012050cin,cin,ShipJo00,pass_sacked_yds,,,,,,
player,201012050cin,cin,ShipJo00,pass_long,0,,,,,
player,201012050cin,cin,ShipJo00,pass_rating,,,,,,
player,201012050cin,cin,ShipJo00,rush_att,0,,,,,
player,201012050cin,cin,ShipJo00,rush_yds,0,,,,,
player,201012050cin,cin,ShipJo00,rush_td,0,,,,,
player,201012050cin,cin,ShipJo00,rush_long,0,,,,,
player,201012050cin,cin,ShipJo00,targets,4,,,,,
player,201012050cin,cin,ShipJo00,rec,4,,,,,
player,201012050cin,cin,ShipJo00,rec_yds,25,,,,,
player,201012050cin,cin,ShipJo00,rec_td,0,,,,,
player,201012050cin,cin,ShipJo00,rec_long,8,,,,,
player,201012050cin,cin,ShipJo00,fumbles,0,,,,,
player,201012050cin,cin,ShipJo00,fumbles_lost,,,,,,
player,201012050cin,nor,HarpRo21,def_int,0,,,,,
player,201012050cin,nor,HarpRo21,def_int_yds,0,,,,,
player,201012050cin,nor,HarpRo21,def_int_td,0,,,,,
player,201012050cin,nor,HarpRo21,def_int_long,0,,,,,
player,201012050cin,nor,HarpRo21,pass_defended,0,,,,,
player,201012050cin,nor,HarpRo21,sacks,1.0,,,,,
player,201012050cin,nor,HarpRo21,tackles_combined,10,,,,,
player,201012050cin,nor,HarpRo21,tackles_solo,6,,,,,
player,201012050cin,nor,HarpRo21,tackles_assists,4,,,,,
player,201012050cin,nor,HarpRo21,tackles_loss,2,,,,,
player,201012050cin,nor,HarpRo21,qb_hits,1,,,,,
player,201012050cin,nor,HarpRo21,fumbles_rec,0,,,,,
player,201012050cin,nor,HarpRo21,fumbles_rec_yds,0,,,,,
player,201012050cin,nor,HarpRo21,fumbles_rec_td,0,,,,,
player,201012050cin,nor,HarpRo21,fumbles_forced,0,,,,,
player,201012050cin,nor,VilmJo99,def_int,0,,,,,
player,201012050cin,nor,VilmJo99,def_int_yds,0,,,,,
player,201012050cin,nor,VilmJo99,def_int_td,0,,,,,
player,201012050cin,nor,VilmJo99,def_int_long,0,,,,,
player,201012050cin,nor,VilmJo99,pass_defended,0,,,,,
player,201012050cin,nor,VilmJo99,sacks,1.0,,,,,
player,201012050cin,nor,VilmJo99,tackles_combined,8,,,,,
player,201012050cin,nor,VilmJo99,tackles_solo,3,,,,,
player,201012050cin,nor,VilmJo99,tackles_assists,5,,,,,
player,201012050cin,nor,VilmJo99,tackles_loss,1,,,,,
player,201012050cin,nor,VilmJo99,qb_hits,2,,,,,
player,201012050cin,nor,VilmJo99,fumbles_rec,0,,,,,
player,201012050cin,nor,VilmJo99,fumbles_rec_yds,0,,,,,
player,201012050cin,nor,VilmJo99,fumbles_rec_td,0,,,,,
player,201012050cin,nor,VilmJo99,fumbles_forced,0,,,,,
player,201012050cin,nor,ElliSe99,def_int,0,,,,,
player,201012050cin,nor,ElliSe99,def_int_yds,0,,,,,
player,201012050cin,nor,ElliSe99,def_int_td,0,,,,,
player,201012050cin,nor,ElliSe99,def_int_long,0,,,,,
player,201012050cin,nor,ElliSe99,pass_defended,0,,,,,
player,201012050cin,nor,ElliSe99,sacks,1.0,,,,,
player,201012050cin,nor,ElliSe99,tackles_combined,3,,,,,
player,201012050cin,nor,ElliSe99,tackles_solo,2,,,,,
player,201012050cin,nor,ElliSe99,tackles_assists,1,,,,,
player,201012050cin,nor,ElliSe99,tackles_loss,1,,,,,
player,201012050cin,nor,ElliSe99,qb_hits,1,,,,,
player,201012050cin,nor,ElliSe99,fumbles_rec,0,,,,,
player,201012050cin,nor,ElliSe99,fumbles_rec_yds,0,,,,,
player,201012050cin,nor,ElliSe99,fumbles_rec_td,0,,,,,
player,201012050cin,nor,ElliSe99,fumbles_forced,1,,,,,
player,201012050cin,nor,PortTr99,def_int,0,,,,,
player,201012050cin,nor,PortTr99,def_int_yds,0,,,,,
player,201012050cin,nor,PortTr99,def_int_td,0,,,,,
player,201012050cin,nor,PortTr99,def_int_long,0,,,,,
player,201012050cin,nor,PortTr99,pass_defended,1,,,,,
player,201012050cin,nor,PortTr99,sacks,0.0,,,,,
player,201012050cin,nor,PortTr99,tackles_combined,7,,,,,
player,201012050cin,nor,PortTr99,tackles_solo,5,,,,,
