game,2010,1,20100912,201009120jax,den,"Denver Broncos",17,jax,"Jacksonville Jaguars",24
player,201009120jax,jax,JennRa00,rec_yds,4,,,,,
player,201009120jax,jax,JennRa00,rec_td,0,,,,,
player,201009120jax,jax,JennRa00,rec_long,4,,,,,
player,201009120jax,jax,JennRa00,fumbles,0,,,,,
player,201009120jax,jax,JennRa00,fumbles_lost,,,,,,
player,201009120jax,jax,ThomMi01,pass_cmp,0,,,,,
player,201009120jax,jax,ThomMi01,pass_att,0,,,,,
player,201009120jax,jax,ThomMi01,pass_yds,0,,,,,
player,201009120jax,jax,ThomMi01,pass_td,0,,,,,
player,201009120jax,jax,ThomMi01,pass_int,0,,,,,
player,201009120jax,jax,ThomMi01,pass_sacked,,,,,,
player,201009120jax,jax,ThomMi01,pass_sacked_yds,,,,,,
player,201009120jax,jax,ThomMi01,pass_long,0,,,,,
player,201009120jax,jax,ThomMi01,pass_rating,,,,,,
player,201009120jax,jax,ThomMi01,rush_att,0,,,,,
player,201009120jax,jax,ThomMi01,rush_yds,0,,,,,
player,201009120jax,jax,ThomMi01,rush_td,0,,,,,
player,201009120jax,jax,ThomMi01,rush_long,0,,,,,
player,201009120jax,jax,ThomMi01,targets,7,,,,,
player,201009120jax,jax,ThomMi01,rec,6,,,,,
player,201009120jax,jax,ThomMi01,rec_yds,89,,,,,
player,201009120jax,jax,ThomMi01,rec_td,0,,,,,
player,201009120jax,jax,ThomMi01,rec_long,26,,,,,
player,201009120jax,jax,ThomMi01,fumbles,0,,,,,
player,201009120jax,jax,ThomMi01,fumbles_lost,,,,,,
player,201009120jax,jax,LewiMa00,pass_cmp,0,,,,,
player,201009120jax,jax,LewiMa00,pass_att,0,,,,,
player,201009120jax,jax,LewiMa00,pass_yds,0,,,,,
player,201009120jax,jax,LewiMa00,pass_td,0,,,,,
player,201009120jax,jax,LewiMa00,pass_int,0,,,,,
player,201009120jax,jax,LewiMa00,pass_sacked,,,,,,
player,201009120jax,jax,LewiMa00,pass_sacked_yds,,,,,,
player,201009120jax,jax,LewiMa00,pass_long,0,,,,,
player,201009120jax,jax,LewiMa00,pass_rating,,,,,,
player,201009120jax,jax,LewiMa00,rush_att,0,,,,,
player,201009120jax,jax,LewiMa00,rush_yds,0,,,,,
player,201009120jax,jax,LewiMa00,rush_td,0,,,,,
player,201009120jax,jax,LewiMa00,rush_long,0,,,,,
player,201009120jax,jax,LewiMa00,targets,2,,,,,
player,201009120jax,jax,LewiMa00,rec,2,,,,,
player,201009120jax,jax,LewiMa00,rec_yds,31,,,,,
player,201009120jax,jax,LewiMa00,rec_td,2,,,,,
player,201009120jax,jax,LewiMa00,rec_long,21,,,,,
player,201009120jax,jax,LewiMa00,fumbles,0,,,,,
player,201009120jax,jax,LewiMa00,fumbles_lost,,,,,,
player,201009120jax,jax,OsgoKa00,pass_cmp,0,,,,,
player,201009120jax,jax,OsgoKa00,pass_att,0,,,,,
player,201009120jax,jax,OsgoKa00,pass_yds,0,,,,,
player,201009120jax,jax,OsgoKa00,pass_td,0,,,,,
player,201009120jax,jax,OsgoKa00,pass_int,0,,,,,
player,201009120jax,jax,OsgoKa00,pass_sacked,,,,,,
player,201009120jax,jax,OsgoKa00,pass_sacked_yds,,,,,,
player,201009120jax,jax,OsgoKa00,pass_long,0,,,,,
player,201009120jax,jax,OsgoKa00,pass_rating,,,,,,
player,201009120jax,jax,OsgoKa00,rush_att,0,,,,,
player,201009120jax,jax,OsgoKa00,rush_yds,0,,,,,
player,201009120jax,jax,OsgoKa00,rush_td,0,,,,,
player,201009120jax,jax,OsgoKa00,rush_long,0,,,,,
player,201009120jax,jax,OsgoKa00,targets,1,,,,,
player,201009120jax,jax,OsgoKa00,rec,1,,,,,
player,201009120jax,jax,OsgoKa00,rec_yds,24,,,,,
player,201009120jax,jax,OsgoKa00,rec_td,1,,,,,
player,201009120jax,jax,OsgoKa00,rec_long,24,,,,,
player,201009120jax,jax,OsgoKa00,fumbles,0,,,,,
player,201009120jax,jax,OsgoKa00,fumbles_lost,,,,,,
player,201009120jax,jax,MillZa02,pass_cmp,0,,,,,
player,201009120jax,jax,MillZa02,pass_att,0,,,,,
player,201009120jax,jax,MillZa02,pass_yds,0,,,,,
player,201009120jax,jax,MillZa02,pass_td,0,,,,,
player,201009120jax,jax,MillZa02,pass_int,0,,,,,
player,201009120jax,jax,MillZa02,pass_sacked,,,,,,
player,201009120jax,jax,MillZa02,pass_sacked_yds,,,,,,
player,201009120jax,jax,MillZa02,pass_long,0,,,,,
player,201009120jax,jax,MillZa02,pass_rating,,,,,,
player,201009120jax,jax,MillZa02,rush_att,0,,,,,
player,201009120jax,jax,MillZa02,rush_yds,0,,,,,
player,201009120jax,jax,MillZa02,rush_td,0,,,,,
player,201009120jax,jax,MillZa02,rush_long,0,,,,,
player,201009120jax,jax,MillZa02,targets,2,,,,,
player,201009120jax,jax,MillZa02,rec,2,,,,,
player,201009120jax,jax,MillZa02,rec_yds,8,,,,,
player,201009120jax,jax,MillZa02,rec_td,0,,,,,
player,201009120jax,jax,MillZa02,rec_long,6,,,,,
player,201009120jax,jax,MillZa02,fumbles,0,,,,,
player,201009120jax,jax,MillZa02,fumbles_lost,,,,,,
player,201009120jax,jax,JoneGr01,pass_cmp,0,,,,,
player,201009120jax,jax,JoneGr01,pass_att,0,,,,,
player,201009120jax,jax,JoneGr01,pass_yds,0,,,,,
player,201009120jax,jax,JoneGr01,pass_td,0,,,,,
player,201009120jax,jax,JoneGr01,pass_int,0,,,,,
player,201009120jax,jax,JoneGr01,pass_sacked,,,,,,
player,201009120jax,jax,JoneGr01,pass_sacked_yds,,,,,,
player,201009120jax,jax,JoneGr01,pass_long,0,,,,,
player,201009120jax,jax,JoneGr01,pass_rating,,,,,,
player,201009120jax,jax,JoneGr01,rush_att,0,,,,,
player,201009120jax,jax,JoneGr01,rush_yds,0,,,,,
player,201009120jax,jax,JoneGr01,rush_td,0,,,,,
player,201009120jax,jax,JoneGr01,rush_long,0,,,,,
player,201009120jax,jax,JoneGr01,targets,1,,,,,
player,201009120jax,jax,JoneGr01,rec,1,,,,,
player,201009120jax,jax,JoneGr01,rec_yds,-1,,,,,
player,201009120jax,jax,JoneGr01,rec_td,0,,,,,
player,201009120jax,jax,JoneGr01,rec_long,-1,,,,,
player,201009120jax,jax,JoneGr01,fumbles,0,,,,,
player,201009120jax,jax,JoneGr01,fumbles_lost,,,,,,
player,201009120jax,jax,MattJo22,pass_cmp,,,,,,
player,201009120jax,jax,MattJo22,pass_att,,,,,,
player,201009120jax,jax,MattJo22,pass_yds,,,,,,
player,201009120jax,jax,MattJo22,pass_td,,,,,,
player,201009120jax,jax,MattJo22,pass_int,,,,,,
player,201009120jax,jax,MattJo22,pass_sacked,,,,,,
player,201009120jax,jax,MattJo22,pass_sacked_yds,,,,,,
player,201009120jax,jax,MattJo22,pass_long,,,,,,
player,201009120jax,jax,MattJo22,pass_rating,,,,,,
player,201009120jax,jax,MattJo22,rush_att,,,,,,
player,201009120jax,jax,MattJo22,rush_yds,,,,,,
player,201009120jax,jax,MattJo22,rush_td,,,,,,
player,201009120jax,jax,MattJo22,rush_long,,,,,,
player,201009120jax,jax,MattJo22,targets,1,,,,,
player,201009120jax,jax,MattJo22,rec,0,,,,,
player,201009120jax,jax,MattJo22,rec_yds,0,,,,,
player,201009120jax,jax,MattJo22,rec_td,0,,,,,
player,201009120jax,jax,MattJo22,rec_long,,,,,,
player,201009120jax,jax,MattJo22,fumbles,,,,,,
player,201009120jax,jax,MattJo22,fumbles_lost,,,,,,
player,201009120jax,jax,WalkMi01,pass_cmp,,,,,,
player,201009120jax,jax,WalkMi01,pass_att,,,,,,
player,201009120jax,jax,WalkMi01,pass_yds,,,,,,
player,201009120jax,jax,WalkMi01,pass_td,,,,,,
player,201009120jax,jax,WalkMi01,pass_int,,,,,,
player,201009120jax,jax,WalkMi01,pass_sacked,,,,,,
player,201009120jax,jax,WalkMi01,pass_sacked_yds,,,,,,
player,201009120jax,jax,WalkMi01,pass_long,,,,,,
player,201009120jax,jax,WalkMi01,pass_rating,,,,,,
player,201009120jax,jax,WalkMi01,rush_att,,,,,,
player,201009120jax,jax,WalkMi01,rush_yds,,,,,,
player,201009120jax,jax,WalkMi01,rush_td,,,,,,
player,201009120jax,jax,WalkMi01,rush_long,,,,,,
player,201009120jax,jax,WalkMi01,targets,2,,,,,
player,201009120jax,jax,WalkMi01,rec,0,,,,,
player,201009120jax,jax,WalkMi01,rec_yds,0,,,,,
player,201009120jax,jax,WalkMi01,rec_td,0,,,,,
player,201009120jax,jax,WalkMi01,rec_long,,,,,,
player,201009120jax,jax,WalkMi01,fumbles,,,,,,
player,201009120jax,jax,WalkMi01,fumbles_lost,,,,,,
player,201009120jax,den,AyerRo99,def_int,0,,,,,
player,201009120jax,den,AyerRo99,def_int_yds,0,,,,,
player,201009120jax,den,AyerRo99,def_int_td,0,,,,,
player,201009120jax,den,AyerRo99,def_int_long,0,,,,,
player,201009120jax,den,AyerRo99,pass_defended,0,,,,,
player,201009120jax,den,AyerRo99,sacks,1.0,,,,,
player,201009120jax,den,AyerRo99,tackles_combined,5,,,,,
player,201009120jax,den,AyerRo99,tackles_solo,4,,,,,
player,201009120jax,den,AyerRo99,tackles_assists,1,,,,,
player,201009120jax,den,AyerRo99,tackles_loss,1,,,,,
player,201009120jax,den,AyerRo99,qb_hits,4,,,,,
player,201009120jax,den,AyerRo99,fumbles_rec,0,,,,,
player,201009120jax,den,AyerRo99,fumbles_rec_yds,0,,,,,
player,201009120jax,den,AyerRo99,fumbles_rec_td,0,,,,,
player,201009120jax,den,AyerRo99,fumbles_forced,0,,,,,
player,201009120jax,den,WillD.20,def_int,0,,,,,
player,201009120jax,den,WillD.20,def_int_yds,0,,,,,
player,201009120jax,den,WillD.20,def_int_td,0,,,,,
player,201009120jax,den,WillD.20,def_int_long,0,,,,,
player,201009120jax,den,WillD.20,pass_defended,0,,,,,
player,201009120jax,den,WillD.20,sacks,0.0,,,,,
player,201009120jax,den,WillD.20,tackles_combined,11,,,,,
player,201009120jax,den,WillD.20,tackles_solo,9,,,,,
player,201009120jax,den,WillD.20,tackles_assists,2,,,,,
player,201009120jax,den,WillD.20,tackles_loss,0,,,,,
player,201009120jax,den,WillD.20,qb_hits,0,,,,,
player,201009120jax,den,WillD.20,fumbles_rec,0,,,,,
player,201009120jax,den,WillD.20,fumbles_rec_yds,0,,,,,
player,201009120jax,den,WillD.20,fumbles_rec_td,0,,,,,
player,201009120jax,den,WillD.20,fumbles_forced,0,,,,,
player,201009120jax,den,HaggMa20,def_int,0,,,,,
player,201009120jax,den,HaggMa20,def_int_yds,0,,,,,
player,201009120jax,den,HaggMa20,def_int_td,0,,,,,
player,201009120jax,den,HaggMa20,def_int_long,0,,,,,
player,201009120jax,den,HaggMa20,pass_defended,0,,,,,
player,201009120jax,den,HaggMa20,sacks,0.0,,,,,
player,201009120jax,den,HaggMa20,tackles_combined,5,,,,,
player,201009120jax,den,HaggMa20,tackles_solo,5,,,,,
player,201009120jax,den,HaggMa20,tackles_assists,0,,,,,
player,201009120jax,den,HaggMa20,tackles_loss,0,,,,,
player,201009120jax,den,HaggMa20,qb_hits,0,,,,,
