game,2010,6,20101017,201010170ram,sdg,"San Diego Chargers",17,ram,"St. Louis Rams",20
player,201010170ram,sdg,GateAn00,rush_att,0,,,,,
player,201010170ram,sdg,GateAn00,rush_yds,0,,,,,
player,201010170ram,sdg,GateAn00,rush_td,0,,,,,
player,201010170ram,sdg,GateAn00,rush_long,0,,,,,
player,201010170ram,sdg,GateAn00,targets,3,,,,,
player,201010170ram,sdg,GateAn00,rec,2,,,,,
player,201010170ram,sdg,GateAn00,rec_yds,12,,,,,
player,201010170ram,sdg,GateAn00,rec_td,0,,,,,
player,201010170ram,sdg,GateAn00,rec_long,9,,,,,
player,201010170ram,sdg,GateAn00,fumbles,0,,,,,
player,201010170ram,sdg,GateAn00,fumbles_lost,,,,,,
player,201010170ram,sdg,McMiRa01,pass_cmp,0,,,,,
player,201010170ram,sdg,McMiRa01,pass_att,0,,,,,
player,201010170ram,sdg,McMiRa01,pass_yds,0,,,,,
player,201010170ram,sdg,McMiRa01,pass_td,0,,,,,
player,201010170ram,sdg,McMiRa01,pass_int,0,,,,,
player,201010170ram,sdg,McMiRa01,pass_sacked,,,,,,
player,201010170ram,sdg,McMiRa01,pass_sacked_yds,,,,,,
player,201010170ram,sdg,McMiRa01,pass_long,0,,,,,
player,201010170ram,sdg,McMiRa01,pass_rating,,,,,,
player,201010170ram,sdg,McMiRa01,rush_att,0,,,,,
player,201010170ram,sdg,McMiRa01,rush_yds,0,,,,,
player,201010170ram,sdg,McMiRa01,rush_td,0,,,,,
player,201010170ram,sdg,McMiRa01,rush_long,0,,,,,
player,201010170ram,sdg,McMiRa01,targets,2,,,,,
player,201010170ram,sdg,McMiRa01,rec,0,,,,,
player,201010170ram,sdg,McMiRa01,rec_yds,0,,,,,
player,201010170ram,sdg,McMiRa01,rec_td,0,,,,,
player,201010170ram,sdg,McMiRa01,rec_long,0,,,,,
player,201010170ram,sdg,McMiRa01,fumbles,0,,,,,
player,201010170ram,sdg,McMiRa01,fumbles_lost,,,,,,
player,201010170ram,sdg,GoodRi00,pass_cmp,0,,,,,
player,201010170ram,sdg,GoodRi00,pass_att,0,,,,,
player,201010170ram,sdg,GoodRi00,pass_yds,0,,,,,
player,201010170ram,sdg,GoodRi00,pass_td,0,,,,,
player,201010170ram,sdg,GoodRi00,pass_int,0,,,,,
player,201010170ram,sdg,GoodRi00,pass_sacked,,,,,,
player,201010170ram,sdg,GoodRi00,pass_sacked_yds,,,,,,
player,201010170ram,sdg,GoodRi00,pass_long,0,,,,,
