game,2010,17,20110102,201101020den,sdg,"San Diego Chargers",33,den,"Denver Broncos",28
player,201101020den,sdg,SperKo00,fumbles,0,,,,,
player,201101020den,sdg,SperKo00,fumbles_lost,,,,,,
player,201101020den,sdg,AjirSe00,pass_cmp,0,,,,,
player,201101020den,sdg,AjirSe00,pass_att,0,,,,,
player,201101020den,sdg,AjirSe00,pass_yds,0,,,,,
player,201101020den,sdg,AjirSe00,pass_td,0,,,,,
player,201101020den,sdg,AjirSe00,pass_int,0,,,,,
player,201101020den,sdg,AjirSe00,pass_sacked,,,,,,
player,201101020den,sdg,AjirSe00,pass_sacked_yds,,,,,,
player,201101020den,sdg,AjirSe00,pass_long,0,,,,,
player,201101020den,sdg,AjirSe00,pass_rating,,,,,,
player,201101020den,sdg,AjirSe00,rush_att,0,,,,,
player,201101020den,sdg,AjirSe00,rush_yds,0,,,,,
player,201101020den,sdg,AjirSe00,rush_td,0,,,,,
player,201101020den,sdg,AjirSe00,rush_long,0,,,,,
player,201101020den,sdg,AjirSe00,targets,2,,,,,
player,201101020den,sdg,AjirSe00,rec,1,,,,,
player,201101020den,sdg,AjirSe00,rec_yds,17,,,,,
player,201101020den,sdg,AjirSe00,rec_td,0,,,,,
player,201101020den,sdg,AjirSe00,rec_long,17,,,,,
player,201101020den,sdg,AjirSe00,fumbles,0,,,,,
player,201101020den,sdg,AjirSe00,fumbles_lost,,,,,,
player,201101020den,sdg,WilsKr00,pass_cmp,0,,,,,
player,201101020den,sdg,WilsKr00,pass_att,0,,,,,
player,201101020den,sdg,WilsKr00,pass_yds,0,,,,,
player,201101020den,sdg,WilsKr00,pass_td,0,,,,,
player,201101020den,sdg,WilsKr00,pass_int,0,,,,,
player,201101020den,sdg,WilsKr00,pass_sacked,0,,,,,
player,201101020den,sdg,WilsKr00,pass_sacked_yds,0,,,,,
player,201101020den,sdg,WilsKr00,pass_long,0,,,,,
player,201101020den,sdg,WilsKr00,pass_rating,,,,,,
player,201101020den,sdg,WilsKr00,rush_att,0,,,,,
player,201101020den,sdg,WilsKr00,rush_yds,0,,,,,
player,201101020den,sdg,WilsKr00,rush_td,0,,,,,
player,201101020den,sdg,WilsKr00,rush_long,0,,,,,
player,201101020den,sdg,WilsKr00,targets,,,,,,
player,201101020den,sdg,WilsKr00,rec,1,,,,,
player,201101020den,sdg,WilsKr00,rec_yds,3,,,,,
player,201101020den,sdg,WilsKr00,rec_td,0,,,,,
player,201101020den,sdg,WilsKr00,rec_long,3,,,,,
player,201101020den,sdg,WilsKr00,fumbles,0,,,,,
player,201101020den,sdg,WilsKr00,fumbles_lost,,,,,,
player,201101020den,sdg,WilsKi00,pass_cmp,,,,,,
player,201101020den,sdg,WilsKi00,pass_att,,,,,,
player,201101020den,sdg,WilsKi00,pass_yds,,,,,,
player,201101020den,sdg,WilsKi00,pass_td,,,,,,
player,201101020den,sdg,WilsKi00,pass_int,,,,,,
player,201101020den,sdg,WilsKi00,pass_sacked,,,,,,
player,201101020den,sdg,WilsKi00,pass_sacked_yds,,,,,,
player,201101020den,sdg,WilsKi00,pass_long,,,,,,
player,201101020den,sdg,WilsKi00,pass_rating,,,,,,
player,201101020den,sdg,WilsKi00,rush_att,,,,,,
player,201101020den,sdg,WilsKi00,rush_yds,,,,,,
