game,2010,5,20101010,201010100rav,den,"Denver Broncos",17,rav,"Baltimore Ravens",31
player,201010100rav,den,ThomDe03,rush_yds,0,,,,,
player,201010100rav,den,ThomDe03,rush_td,0,,,,,
player,201010100rav,den,ThomDe03,rush_long,0,,,,,
player,201010100rav,den,ThomDe03,targets,2,,,,,
player,201010100rav,den,ThomDe03,rec,2,,,,,
player,201010100rav,den,ThomDe03,rec_yds,12,,,,,
player,201010100rav,den,ThomDe03,rec_td,0,,,,,
player,201010100rav,den,ThomDe03,rec_long,10,,,,,
player,201010100rav,den,ThomDe03,fumbles,1,,,,,
player,201010100rav,den,ThomDe03,fumbles_lost,1,,,,,
player,201010100rav,den,GronDa00,pass_cmp,0,,,,,
player,201010100rav,den,GronDa00,pass_att,0,,,,,
player,201010100rav,den,GronDa00,pass_yds,0,,,,,
player,201010100rav,den,GronDa00,pass_td,0,,,,,
player,201010100rav,den,GronDa00,pass_int,0,,,,,
player,201010100rav,den,GronDa00,pass_sacked,,,,,,
player,201010100rav,den,GronDa00,pass_sacked_yds,,,,,,
player,201010100rav,den,GronDa00,pass_long,0,,,,,
player,201010100rav,den,GronDa00,pass_rating,,,,,,
player,201010100rav,den,GronDa00,rush_att,0,,,,,
player,201010100rav,den,GronDa00,rush_yds,0,,,,,
player,201010100rav,den,GronDa00,rush_td,0,,,,,
player,201010100rav,den,GronDa00,rush_long,0,,,,,
player,201010100rav,den,GronDa00,targets,2,,,,,
player,201010100rav,den,GronDa00,rec,1,,,,,
player,201010100rav,den,GronDa00,rec_yds,9,,,,,
player,201010100rav,den,GronDa00,rec_td,0,,,,,
player,201010100rav,den,GronDa00,rec_long,9,,,,,
player,201010100rav,den,GronDa00,fumbles,0,,,,,
player,201010100rav,den,GronDa00,fumbles_lost,,,,,,
player,201010100rav,den,BrowAn03,pass_cmp,0,,,,,
player,201010100rav,den,BrowAn03,pass_att,0,,,,,
player,201010100rav,den,BrowAn03,pass_yds,0,,,,,
player,201010100rav,den,BrowAn03,pass_td,0,,,,,
player,201010100rav,den,BrowAn03,pass_int,0,,,,,
player,201010100rav,den,BrowAn03,pass_sacked,,,,,,
player,201010100rav,den,BrowAn03,pass_sacked_yds,,,,,,
player,201010100rav,den,BrowAn03,pass_long,0,,,,,
player,201010100rav,den,BrowAn03,pass_rating,,,,,,
player,201010100rav,den,BrowAn03,rush_att,2,,,,,
player,201010100rav,den,BrowAn03,rush_yds,-1,,,,,
player,201010100rav,den,BrowAn03,rush_td,0,,,,,
player,201010100rav,den,BrowAn03,rush_long,0,,,,,
player,201010100rav,den,BrowAn03,targets,0,,,,,
player,201010100rav,den,BrowAn03,rec,0,,,,,
player,201010100rav,den,BrowAn03,rec_yds,0,,,,,
player,201010100rav,den,BrowAn03,rec_td,0,,,,,
player,201010100rav,den,BrowAn03,rec_long,0,,,,,
player,201010100rav,den,BrowAn03,fumbles,0,,,,,
player,201010100rav,den,BrowAn03,fumbles_lost,,,,,,
player,201010100rav,rav,FlacJo00,pass_cmp,14,,,,,
player,201010100rav,rav,FlacJo00,pass_att,25,,,,,
player,201010100rav,rav,FlacJo00,pass_yds,196,,,,,
player,201010100rav,rav,FlacJo00,pass_td,0,,,,,
player,201010100rav,rav,FlacJo00,pass_int,0,,,,,
player,201010100rav,rav,FlacJo00,pass_sacked,1,,,,,
player,201010100rav,rav,FlacJo00,pass_sacked_yds,14,,,,,
player,201010100rav,rav,FlacJo00,pass_long,58,,,,,
player,201010100rav,rav,FlacJo00,pass_rating,81.4,,,,,
player,201010100rav,rav,FlacJo00,rush_att,5,,,,,
player,201010100rav,rav,FlacJo00,rush_yds,20,,,,,
player,201010100rav,rav,FlacJo00,rush_td,1,,,,,
player,201010100rav,rav,FlacJo00,rush_long,9,,,,,
player,201010100rav,rav,FlacJo00,targets,0,,,,,
player,201010100rav,rav,FlacJo00,rec,0,,,,,
player,201010100rav,rav,FlacJo00,rec_yds,0,,,,,
player,201010100rav,rav,FlacJo00,rec_td,0,,,,,
player,201010100rav,rav,FlacJo00,rec_long,0,,,,,
player,201010100rav,rav,FlacJo00,fumbles,0,,,,,
player,201010100rav,rav,FlacJo00,fumbles_lost,,,,,,
player,201010100rav,rav,RiceRa00,pass_cmp,0,,,,,
player,201010100rav,rav,RiceRa00,pass_att,0,,,,,
player,201010100rav,rav,RiceRa00,pass_yds,0,,,,,
player,201010100rav,rav,RiceRa00,pass_td,0,,,,,
player,201010100rav,rav,RiceRa00,pass_int,0,,,,,
player,201010100rav,rav,RiceRa00,pass_sacked,,,,,,
player,201010100rav,rav,RiceRa00,pass_sacked_yds,,,,,,
player,201010100rav,rav,RiceRa00,pass_long,0,,,,,
player,201010100rav,rav,RiceRa00,pass_rating,,,,,,
player,201010100rav,rav,RiceRa00,rush_att,27,,,,,
player,201010100rav,rav,RiceRa00,rush_yds,133,,,,,
player,201010100rav,rav,RiceRa00,rush_td,2,,,,,
player,201010100rav,rav,RiceRa00,rush_long,18,,,,,
player,201010100rav,rav,RiceRa00,targets,4,,,,,
player,201010100rav,rav,RiceRa00,rec,4,,,,,
player,201010100rav,rav,RiceRa00,rec_yds,26,,,,,
player,201010100rav,rav,RiceRa00,rec_td,0,,,,,
player,201010100rav,rav,RiceRa00,rec_long,12,,,,,
player,201010100rav,rav,RiceRa00,fumbles,0,,,,,
player,201010100rav,rav,RiceRa00,fumbles_lost,,,,,,
player,201010100rav,rav,McGaWi00,pass_cmp,0,,,,,
player,201010100rav,rav,McGaWi00,pass_att,0,,,,,
player,201010100rav,rav,McGaWi00,pass_yds,0,,,,,
player,201010100rav,rav,McGaWi00,pass_td,0,,,,,
player,201010100rav,rav,McGaWi00,pass_int,0,,,,,
player,201010100rav,rav,McGaWi00,pass_sacked,,,,,,
player,201010100rav,rav,McGaWi00,pass_sacked_yds,,,,,,
player,201010100rav,rav,McGaWi00,pass_long,0,,,,,
player,201010100rav,rav,McGaWi00,pass_rating,,,,,,
player,201010100rav,rav,McGaWi00,rush_att,10,,,,,
player,201010100rav,rav,McGaWi00,rush_yds,67,,,,,
player,201010100rav,rav,McGaWi00,rush_td,1,,,,,
player,201010100rav,rav,McGaWi00,rush_long,30,,,,,
player,201010100rav,rav,McGaWi00,targets,0,,,,,
player,201010100rav,rav,McGaWi00,rec,0,,,,,
player,201010100rav,rav,McGaWi00,rec_yds,0,,,,,
player,201010100rav,rav,McGaWi00,rec_td,0,,,,,
player,201010100rav,rav,McGaWi00,rec_long,0,,,,,
player,201010100rav,rav,McGaWi00,fumbles,0,,,,,
player,201010100rav,rav,McGaWi00,fumbles_lost,,,,,,
player,201010100rav,rav,McClLe00,pass_cmp,0,,,,,
player,201010100rav,rav,McClLe00,pass_att,0,,,,,
player,201010100rav,rav,McClLe00,pass_yds,0,,,,,
player,201010100rav,rav,McClLe00,pass_td,0,,,,,
player,201010100rav,rav,McClLe00,pass_int,0,,,,,
player,201010100rav,rav,McClLe00,pass_sacked,,,,,,
player,201010100rav,rav,McClLe00,pass_sacked_yds,,,,,,
player,201010100rav,rav,McClLe00,pass_long,0,,,,,
player,201010100rav,rav,McClLe00,pass_rating,,,,,,
player,201010100rav,rav,McClLe00,rush_att,5,,,,,
player,201010100rav,rav,McClLe00,rush_yds,13,,,,,
player,201010100rav,rav,McClLe00,rush_td,0,,,,,
player,201010100rav,rav,McClLe00,rush_long,6,,,,,
player,201010100rav,rav,McClLe00,targets,2,,,,,
player,201010100rav,rav,McClLe00,rec,2,,,,,
player,201010100rav,rav,McClLe00,rec_yds,11,,,,,
player,201010100rav,rav,McClLe00,rec_td,0,,,,,
player,201010100rav,rav,McClLe00,rec_long,12,,,,,
player,201010100rav,rav,McClLe00,fumbles,0,,,,,
player,201010100rav,rav,McClLe00,fumbles_lost,,,,,,
player,201010100rav,rav,DickEd00,pass_cmp,0,,,,,
player,201010100rav,rav,DickEd00,pass_att,0,,,,,
player,201010100rav,rav,DickEd00,pass_yds,0,,,,,
player,201010100rav,rav,DickEd00,pass_td,0,,,,,
player,201010100rav,rav,DickEd00,pass_int,0,,,,,
player,201010100rav,rav,DickEd00,pass_sacked,,,,,,
player,201010100rav,rav,DickEd00,pass_sacked_yds,,,,,,
player,201010100rav,rav,DickEd00,pass_long,0,,,,,
player,201010100rav,rav,DickEd00,pass_rating,,,,,,
player,201010100rav,rav,DickEd00,rush_att,0,,,,,
player,201010100rav,rav,DickEd00,rush_yds,0,,,,,
player,201010100rav,rav,DickEd00,rush_td,0,,,,,
player,201010100rav,rav,DickEd00,rush_long,0,,,,,
player,201010100rav,rav,DickEd00,targets,2,,,,,
player,201010100rav,rav,DickEd00,rec,1,,,,,
player,201010100rav,rav,DickEd00,rec_yds,58,,,,,
player,201010100rav,rav,DickEd00,rec_td,0,,,,,
player,201010100rav,rav,DickEd00,rec_long,58,,,,,
player,201010100rav,rav,DickEd00,fumbles,0,,,,,
player,201010100rav,rav,DickEd00,fumbles_lost,,,,,,
player,201010100rav,rav,MasoDe00,pass_cmp,0,,,,,
player,201010100rav,rav,MasoDe00,pass_att,0,,,,,
player,201010100rav,rav,MasoDe00,pass_yds,0,,,,,
player,201010100rav,rav,MasoDe00,pass_td,0,,,,,
player,201010100rav,rav,MasoDe00,pass_int,0,,,,,
player,201010100rav,rav,MasoDe00,pass_sacked,,,,,,
player,201010100rav,rav,MasoDe00,pass_sacked_yds,,,,,,
player,201010100rav,rav,MasoDe00,pass_long,0,,,,,
player,201010100rav,rav,MasoDe00,pass_rating,,,,,,
player,201010100rav,rav,MasoDe00,rush_att,0,,,,,
player,201010100rav,rav,MasoDe00,rush_yds,0,,,,,
player,201010100rav,rav,MasoDe00,rush_td,0,,,,,
player,201010100rav,rav,MasoDe00,rush_long,0,,,,,
player,201010100rav,rav,MasoDe00,targets,6,,,,,
player,201010100rav,rav,MasoDe00,rec,3,,,,,
player,201010100rav,rav,MasoDe00,rec_yds,47,,,,,
player,201010100rav,rav,MasoDe00,rec_td,0,,,,,
player,201010100rav,rav,MasoDe00,rec_long,19,,,,,
player,201010100rav,rav,MasoDe00,fumbles,0,,,,,
player,201010100rav,rav,MasoDe00,fumbles_lost,,,,,,
player,201010100rav,rav,HousTJ00,pass_cmp,0,,,,,
player,201010100rav,rav,HousTJ00,pass_att,0,,,,,
player,201010100rav,rav,HousTJ00,pass_yds,0,,,,,
player,201010100rav,rav,HousTJ00,pass_td,0,,,,,
player,201010100rav,rav,HousTJ00,pass_int,0,,,,,
player,201010100rav,rav,HousTJ00,pass_sacked,,,,,,
player,201010100rav,rav,HousTJ00,pass_sacked_yds,,,,,,
player,201010100rav,rav,HousTJ00,pass_long,0,,,,,
player,201010100rav,rav,HousTJ00,pass_rating,,,,,,
player,201010100rav,rav,HousTJ00,rush_att,0,,,,,
player,201010100rav,rav,HousTJ00,rush_yds,0,,,,,
player,201010100rav,rav,HousTJ00,rush_td,0,,,,,
player,201010100rav,rav,HousTJ00,rush_long,0,,,,,
player,201010100rav,rav,HousTJ00,targets,3,,,,,
player,201010100rav,rav,HousTJ00,rec,2,,,,,
player,201010100rav,rav,HousTJ00,rec_yds,24,,,,,
player,201010100rav,rav,HousTJ00,rec_td,0,,,,,
player,201010100rav,rav,HousTJ00,rec_long,17,,,,,
player,201010100rav,rav,HousTJ00,fumbles,0,,,,,
player,201010100rav,rav,HousTJ00,fumbles_lost,,,,,,
player,201010100rav,rav,HeapTo00,pass_cmp,0,,,,,
player,201010100rav,rav,HeapTo00,pass_att,0,,,,,
player,201010100rav,rav,HeapTo00,pass_yds,0,,,,,
player,201010100rav,rav,HeapTo00,pass_td,0,,,,,
player,201010100rav,rav,HeapTo00,pass_int,0,,,,,
player,201010100rav,rav,HeapTo00,pass_sacked,,,,,,
player,201010100rav,rav,HeapTo00,pass_sacked_yds,,,,,,
player,201010100rav,rav,HeapTo00,pass_long,0,,,,,
player,201010100rav,rav,HeapTo00,pass_rating,,,,,,
player,201010100rav,rav,HeapTo00,rush_att,0,,,,,
player,201010100rav,rav,HeapTo00,rush_yds,0,,,,,
player,201010100rav,rav,HeapTo00,rush_td,0,,,,,
player,201010100rav,rav,HeapTo00,rush_long,0,,,,,
player,201010100rav,rav,HeapTo00,targets,5,,,,,
player,201010100rav,rav,HeapTo00,rec,1,,,,,
player,201010100rav,rav,HeapTo00,rec_yds,22,,,,,
player,201010100rav,rav,HeapTo00,rec_td,0,,,,,
player,201010100rav,rav,HeapTo00,rec_long,22,,,,,
player,201010100rav,rav,HeapTo00,fumbles,0,,,,,
player,201010100rav,rav,HeapTo00,fumbles_lost,,,,,,
player,201010100rav,rav,BoldAn00,pass_cmp,0,,,,,
player,201010100rav,rav,BoldAn00,pass_att,0,,,,,
player,201010100rav,rav,BoldAn00,pass_yds,0,,,,,
player,201010100rav,rav,BoldAn00,pass_td,0,,,,,
player,201010100rav,rav,BoldAn00,pass_int,0,,,,,
player,201010100rav,rav,BoldAn00,pass_sacked,0,,,,,
player,201010100rav,rav,BoldAn00,pass_sacked_yds,,,,,,
player,201010100rav,rav,BoldAn00,pass_long,0,,,,,
player,201010100rav,rav,BoldAn00,pass_rating,,,,,,
player,201010100rav,rav,BoldAn00,rush_att,0,,,,,
player,201010100rav,rav,BoldAn00,rush_yds,0,,,,,
player,201010100rav,rav,BoldAn00,rush_td,0,,,,,
player,201010100rav,rav,BoldAn00,rush_long,0,,,,,
player,201010100rav,rav,BoldAn00,targets,3,,,,,
player,201010100rav,rav,BoldAn00,rec,1,,,,,
player,201010100rav,rav,BoldAn00,rec_yds,8,,,,,
player,201010100rav,rav,BoldAn00,rec_td,0,,,,,
player,201010100rav,rav,BoldAn00,rec_long,8,,,,,
player,201010100rav,rav,BoldAn00,fumbles,0,,,,,
player,201010100rav,rav,BoldAn00,fumbles_lost,,,,,,
player,201010100rav,den,HuntJa24,def_int,0,,,,,
player,201010100rav,den,HuntJa24,def_int_yds,0,,,,,
player,201010100rav,den,HuntJa24,def_int_td,0,,,,,
player,201010100rav,den,HuntJa24,def_int_long,0,,,,,
player,201010100rav,den,HuntJa24,pass_defended,0,,,,,
player,201010100rav,den,HuntJa24,sacks,1.0,,,,,
player,201010100rav,den,HuntJa24,tackles_combined,9,,,,,
player,201010100rav,den,HuntJa24,tackles_solo,6,,,,,
player,201010100rav,den,HuntJa24,tackles_assists,3,,,,,
player,201010100rav,den,HuntJa24,tackles_loss,1,,,,,
player,201010100rav,den,HuntJa24,qb_hits,1,,,,,
player,201010100rav,den,HuntJa24,fumbles_rec,0,,,,,
player,201010100rav,den,HuntJa24,fumbles_rec_yds,0,,,,,
player,201010100rav,den,HuntJa24,fumbles_rec_td,0,,,,,
player,201010100rav,den,HuntJa24,fumbles_forced,0,,,,,
