game,2010,1,20100912,201009120pit,atl,"Atlanta Falcons",9,pit,"Pittsburgh Steelers",15
player,201009120pit,atl,FinnBr00,pass_att,,,,,,
player,201009120pit,atl,FinnBr00,pass_yds,,,,,,
player,201009120pit,atl,FinnBr00,pass_td,,,,,,
player,201009120pit,atl,FinnBr00,pass_int,,,,,,
player,201009120pit,atl,FinnBr00,pass_sacked,,,,,,
player,201009120pit,atl,FinnBr00,pass_sacked_yds,,,,,,
player,201009120pit,atl,FinnBr00,pass_long,,,,,,
player,201009120pit,atl,FinnBr00,pass_rating,,,,,,
player,201009120pit,atl,FinnBr00,rush_att,,,,,,
player,201009120pit,atl,FinnBr00,rush_yds,,,,,,
player,201009120pit,atl,FinnBr00,rush_td,,,,,,
player,201009120pit,atl,FinnBr00,rush_long,,,,,,
player,201009120pit,atl,FinnBr00,targets,1,,,,,
player,201009120pit,atl,FinnBr00,rec,0,,,,,
player,201009120pit,atl,FinnBr00,rec_yds,0,,,,,
player,201009120pit,atl,FinnBr00,rec_td,0,,,,,
player,201009120pit,atl,FinnBr00,rec_long,,,,,,
player,201009120pit,atl,FinnBr00,fumbles,,,,,,
player,201009120pit,atl,FinnBr00,fumbles_lost,,,,,,
player,201009120pit,pit,DixoDe00,pass_cmp,18,,,,,
player,201009120pit,pit,DixoDe00,pass_att,26,,,,,
player,201009120pit,pit,DixoDe00,pass_yds,236,,,,,
player,201009120pit,pit,DixoDe00,pass_td,0,,,,,
player,201009120pit,pit,DixoDe00,pass_int,1,,,,,
player,201009120pit,pit,DixoDe00,pass_sacked,3,,,,,
player,201009120pit,pit,DixoDe00,pass_sacked_yds,25,,,,,
player,201009120pit,pit,DixoDe00,pass_long,52,,,,,
player,201009120pit,pit,DixoDe00,pass_rating,81.6,,,,,
player,201009120pit,pit,DixoDe00,rush_att,2,,,,,
player,201009120pit,pit,DixoDe00,rush_yds,4,,,,,
player,201009120pit,pit,DixoDe00,rush_td,0,,,,,
player,201009120pit,pit,DixoDe00,rush_long,2,,,,,
player,201009120pit,pit,DixoDe00,targets,0,,,,,
player,201009120pit,pit,DixoDe00,rec,0,,,,,
player,201009120pit,pit,DixoDe00,rec_yds,0,,,,,
player,201009120pit,pit,DixoDe00,rec_td,0,,,,,
player,201009120pit,pit,DixoDe00,rec_long,0,,,,,
player,201009120pit,pit,DixoDe00,fumbles,0,,,,,
player,201009120pit,pit,DixoDe00,fumbles_lost,,,,,,
player,201009120pit,pit,MendRa00,pass_cmp,0,,,,,
player,201009120pit,pit,MendRa00,pass_att,0,,,,,
player,201009120pit,pit,MendRa00,pass_yds,0,,,,,
player,201009120pit,pit,MendRa00,pass_td,0,,,,,
player,201009120pit,pit,MendRa00,pass_int,0,,,,,
player,201009120pit,pit,MendRa00,pass_sacked,,,,,,
player,201009120pit,pit,MendRa00,pass_sacked_yds,,,,,,
player,201009120pit,pit,MendRa00,pass_long,0,,,,,
