game,2010,10,20101114,201011140mia,oti,"Tennessee Titans",17,mia,"Miami Dolphins",29
player,201011140mia,oti,WashNa00,rush_att,0,,,,,
player,201011140mia,oti,WashNa00,rush_yds,0,,,,,
player,201011140mia,oti,WashNa00,rush_td,0,,,,,
player,201011140mia,oti,WashNa00,rush_long,0,,,,,
player,201011140mia,oti,WashNa00,targets,9,,,,,
player,201011140mia,oti,WashNa00,rec,3,,,,,
player,201011140mia,oti,WashNa00,rec_yds,26,,,,,
player,201011140mia,oti,WashNa00,rec_td,1,,,,,
player,201011140mia,oti,WashNa00,rec_long,14,,,,,
player,201011140mia,oti,WashNa00,fumbles,0,,,,,
player,201011140mia,oti,WashNa00,fumbles_lost,,,,,,
player,201011140mia,oti,GageJu00,pass_cmp,0,,,,,
player,201011140mia,oti,GageJu00,pass_att,0,,,,,
player,201011140mia,oti,GageJu00,pass_yds,0,,,,,
player,201011140mia,oti,GageJu00,pass_td,0,,,,,
player,201011140mia,oti,GageJu00,pass_int,0,,,,,
player,201011140mia,oti,GageJu00,pass_sacked,,,,,,
player,201011140mia,oti,GageJu00,pass_sacked_yds,,,,,,
player,201011140mia,oti,GageJu00,pass_long,0,,,,,
player,201011140mia,oti,GageJu00,pass_rating,,,,,,
player,201011140mia,oti,GageJu00,rush_att,0,,,,,
player,201011140mia,oti,GageJu00,rush_yds,0,,,,,
player,201011140mia,oti,GageJu00,rush_td,0,,,,,
player,201011140mia,oti,GageJu00,rush_long,0,,,,,
player,201011140mia,oti,GageJu00,targets,9,,,,,
player,201011140mia,oti,GageJu00,rec,3,,,,,
player,201011140mia,oti,GageJu00,rec_yds,18,,,,,
player,201011140mia,oti,GageJu00,rec_td,0,,,,,
player,201011140mia,oti,GageJu00,rec_long,11,,,,,
player,201011140mia,oti,GageJu00,fumbles,0,,,,,
player,201011140mia,oti,GageJu00,fumbles_lost,,,,,,
player,201011140mia,oti,HallAh00,pass_cmp,0,,,,,
player,201011140mia,oti,HallAh00,pass_att,0,,,,,
player,201011140mia,oti,HallAh00,pass_yds,0,,,,,
player,201011140mia,oti,HallAh00,pass_td,0,,,,,
player,201011140mia,oti,HallAh00,pass_int,0,,,,,
player,201011140mia,oti,HallAh00,pass_sacked,,,,,,
player,201011140mia,oti,HallAh00,pass_sacked_yds,,,,,,
player,201011140mia,oti,HallAh00,pass_long,0,,,,,
player,201011140mia,oti,HallAh00,pass_rating,,,,,,
player,201011140mia,oti,HallAh00,rush_att,0,,,,,
player,201011140mia,oti,HallAh00,rush_yds,0,,,,,
player,201011140mia,oti,HallAh00,rush_td,0,,,,,
player,201011140mia,oti,HallAh00,rush_long,0,,,,,
player,201011140mia,oti,HallAh00,targets,2,,,,,
player,201011140mia,oti,HallAh00,rec,2,,,,,
player,201011140mia,oti,HallAh00,rec_yds,11,,,,,
player,201011140mia,oti,HallAh00,rec_td,0,,,,,
player,201011140mia,oti,HallAh00,rec_long,8,,,,,
player,201011140mia,oti,HallAh00,fumbles,0,,,,,
player,201011140mia,oti,HallAh00,fumbles_lost,,,,,,
player,201011140mia,oti,StevCr00,pass_cmp,,,,,,
player,201011140mia,oti,StevCr00,pass_att,,,,,,
player,201011140mia,oti,StevCr00,pass_yds,,,,,,
player,201011140mia,oti,StevCr00,pass_td,,,,,,
player,201011140mia,oti,StevCr00,pass_int,,,,,,
player,201011140mia,oti,StevCr00,pass_sacked,,,,,,
player,201011140mia,oti,StevCr00,pass_sacked_yds,,,,,,
player,201011140mia,oti,StevCr00,pass_long,,,,,,
player,201011140mia,oti,StevCr00,pass_rating,,,,,,
player,201011140mia,oti,StevCr00,rush_att,,,,,,
player,201011140mia,oti,StevCr00,rush_yds,,,,,,
player,201011140mia,oti,StevCr00,rush_td,,,,,,
player,201011140mia,oti,StevCr00,rush_long,,,,,,
player,201011140mia,oti,StevCr00,targets,1,,,,,
player,201011140mia,oti,StevCr00,rec,0,,,,,
player,201011140mia,oti,StevCr00,rec_yds,0,,,,,
player,201011140mia,oti,StevCr00,rec_td,0,,,,,
player,201011140mia,oti,StevCr00,rec_long,,,,,,
player,201011140mia,oti,StevCr00,fumbles,,,,,,
player,201011140mia,oti,StevCr00,fumbles_lost,,,,,,
player,201011140mia,mia,HennCh01,pass_cmp,19,,,,,
player,201011140mia,mia,HennCh01,pass_att,28,,,,,
player,201011140mia,mia,HennCh01,pass_yds,240,,,,,
player,201011140mia,mia,HennCh01,pass_td,1,,,,,
player,201011140mia,mia,HennCh01,pass_int,1,,,,,
player,201011140mia,mia,HennCh01,pass_sacked,1,,,,,
player,201011140mia,mia,HennCh01,pass_sacked_yds,7,,,,,
player,201011140mia,mia,HennCh01,pass_long,54,,,,,
player,201011140mia,mia,HennCh01,pass_rating,91.4,,,,,
player,201011140mia,mia,HennCh01,rush_att,2,,,,,
player,201011140mia,mia,HennCh01,rush_yds,3,,,,,
player,201011140mia,mia,HennCh01,rush_td,0,,,,,
player,201011140mia,mia,HennCh01,rush_long,2,,,,,
player,201011140mia,mia,HennCh01,targets,0,,,,,
player,201011140mia,mia,HennCh01,rec,0,,,,,
player,201011140mia,mia,HennCh01,rec_yds,0,,,,,
player,201011140mia,mia,HennCh01,rec_td,0,,,,,
player,201011140mia,mia,HennCh01,rec_long,0,,,,,
player,201011140mia,mia,HennCh01,fumbles,0,,,,,
player,201011140mia,mia,HennCh01,fumbles_lost,,,,,,
player,201011140mia,mia,ThigTy00,pass_cmp,4,,,,,
player,201011140mia,mia,ThigTy00,pass_att,6,,,,,
player,201011140mia,mia,ThigTy00,pass_yds,64,,,,,
player,201011140mia,mia,ThigTy00,pass_td,1,,,,,
player,201011140mia,mia,ThigTy00,pass_int,0,,,,,
player,201011140mia,mia,ThigTy00,pass_sacked,0,,,,,
player,201011140mia,mia,ThigTy00,pass_sacked_yds,0,,,,,
player,201011140mia,mia,ThigTy00,pass_long,31,,,,,
player,201011140mia,mia,ThigTy00,pass_rating,141.7,,,,,
player,201011140mia,mia,ThigTy00,rush_att,2,,,,,
player,201011140mia,mia,ThigTy00,rush_yds,5,,,,,
player,201011140mia,mia,ThigTy00,rush_td,0,,,,,
player,201011140mia,mia,ThigTy00,rush_long,7,,,,,
player,201011140mia,mia,ThigTy00,targets,0,,,,,
player,201011140mia,mia,ThigTy00,rec,0,,,,,
player,201011140mia,mia,ThigTy00,rec_yds,0,,,,,
player,201011140mia,mia,ThigTy00,rec_td,0,,,,,
player,201011140mia,mia,ThigTy00,rec_long,0,,,,,
player,201011140mia,mia,ThigTy00,fumbles,0,,,,,
player,201011140mia,mia,ThigTy00,fumbles_lost,,,,,,
player,201011140mia,mia,PennCh01,pass_cmp,1,,,,,
player,201011140mia,mia,PennCh01,pass_att,2,,,,,
player,201011140mia,mia,PennCh01,pass_yds,19,,,,,
player,201011140mia,mia,PennCh01,pass_td,0,,,,,
player,201011140mia,mia,PennCh01,pass_int,0,,,,,
player,201011140mia,mia,PennCh01,pass_sacked,0,,,,,
player,201011140mia,mia,PennCh01,pass_sacked_yds,0,,,,,
player,201011140mia,mia,PennCh01,pass_long,19,,,,,
player,201011140mia,mia,PennCh01,pass_rating,83.3,,,,,
player,201011140mia,mia,PennCh01,rush_att,0,,,,,
player,201011140mia,mia,PennCh01,rush_yds,0,,,,,
player,201011140mia,mia,PennCh01,rush_td,0,,,,,
player,201011140mia,mia,PennCh01,rush_long,0,,,,,
player,201011140mia,mia,PennCh01,targets,0,,,,,
player,201011140mia,mia,PennCh01,rec,0,,,,,
player,201011140mia,mia,PennCh01,rec_yds,0,,,,,
player,201011140mia,mia,PennCh01,rec_td,0,,,,,
player,201011140mia,mia,PennCh01,rec_long,0,,,,,
player,201011140mia,mia,PennCh01,fumbles,0,,,,,
player,201011140mia,mia,PennCh01,fumbles_lost,,,,,,
player,201011140mia,mia,MarsBr00,pass_cmp,0,,,,,
player,201011140mia,mia,MarsBr00,pass_att,1,,,,,
player,201011140mia,mia,MarsBr00,pass_yds,0,,,,,
player,201011140mia,mia,MarsBr00,pass_td,0,,,,,
player,201011140mia,mia,MarsBr00,pass_int,0,,,,,
player,201011140mia,mia,MarsBr00,pass_sacked,0,,,,,
player,201011140mia,mia,MarsBr00,pass_sacked_yds,0,,,,,
player,201011140mia,mia,MarsBr00,pass_long,0,,,,,
player,201011140mia,mia,MarsBr00,pass_rating,39.6,,,,,
player,201011140mia,mia,MarsBr00,rush_att,0,,,,,
player,201011140mia,mia,MarsBr00,rush_yds,0,,,,,
player,201011140mia,mia,MarsBr00,rush_td,0,,,,,
player,201011140mia,mia,MarsBr00,rush_long,0,,,,,
player,201011140mia,mia,MarsBr00,targets,7,,,,,
player,201011140mia,mia,MarsBr00,rec,3,,,,,
player,201011140mia,mia,MarsBr00,rec_yds,34,,,,,
player,201011140mia,mia,MarsBr00,rec_td,0,,,,,
player,201011140mia,mia,MarsBr00,rec_long,16,,,,,
player,201011140mia,mia,MarsBr00,fumbles,0,,,,,
player,201011140mia,mia,MarsBr00,fumbles_lost,,,,,,
player,201011140mia,mia,WillRi00,pass_cmp,0,,,,,
player,201011140mia,mia,WillRi00,pass_att,0,,,,,
player,201011140mia,mia,WillRi00,pass_yds,0,,,,,
player,201011140mia,mia,WillRi00,pass_td,0,,,,,
player,201011140mia,mia,WillRi00,pass_int,0,,,,,
player,201011140mia,mia,WillRi00,pass_sacked,,,,,,
player,201011140mia,mia,WillRi00,pass_sacked_yds,,,,,,
player,201011140mia,mia,WillRi00,pass_long,0,,,,,
player,201011140mia,mia,WillRi00,pass_rating,,,,,,
player,201011140mia,mia,WillRi00,rush_att,11,,,,,
player,201011140mia,mia,WillRi00,rush_yds,64,,,,,
player,201011140mia,mia,WillRi00,rush_td,0,,,,,
player,201011140mia,mia,WillRi00,rush_long,23,,,,,
player,201011140mia,mia,WillRi00,targets,2,,,,,
player,201011140mia,mia,WillRi00,rec,2,,,,,
player,201011140mia,mia,WillRi00,rec_yds,6,,,,,
player,201011140mia,mia,WillRi00,rec_td,0,,,,,
player,201011140mia,mia,WillRi00,rec_long,5,,,,,
player,201011140mia,mia,WillRi00,fumbles,1,,,,,
player,201011140mia,mia,WillRi00,fumbles_lost,0,,,,,
player,201011140mia,mia,BrowRo05,pass_cmp,0,,,,,
player,201011140mia,mia,BrowRo05,pass_att,0,,,,,
player,201011140mia,mia,BrowRo05,pass_yds,0,,,,,
player,201011140mia,mia,BrowRo05,pass_td,0,,,,,
player,201011140mia,mia,BrowRo05,pass_int,0,,,,,
player,201011140mia,mia,BrowRo05,pass_sacked,0,,,,,
player,201011140mia,mia,BrowRo05,pass_sacked_yds,,,,,,
player,201011140mia,mia,BrowRo05,pass_long,0,,,,,
player,201011140mia,mia,BrowRo05,pass_rating,,,,,,
player,201011140mia,mia,BrowRo05,rush_att,12,,,,,
player,201011140mia,mia,BrowRo05,rush_yds,11,,,,,
player,201011140mia,mia,BrowRo05,rush_td,1,,,,,
player,201011140mia,mia,BrowRo05,rush_long,6,,,,,
player,201011140mia,mia,BrowRo05,targets,2,,,,,
player,201011140mia,mia,BrowRo05,rec,0,,,,,
player,201011140mia,mia,BrowRo05,rec_yds,0,,,,,
player,201011140mia,mia,BrowRo05,rec_td,0,,,,,
player,201011140mia,mia,BrowRo05,rec_long,0,,,,,
player,201011140mia,mia,BrowRo05,fumbles,0,,,,,
player,201011140mia,mia,BrowRo05,fumbles_lost,,,,,,
player,201011140mia,mia,PoliLo00,pass_cmp,0,,,,,
player,201011140mia,mia,PoliLo00,pass_att,0,,,,,
player,201011140mia,mia,PoliLo00,pass_yds,0,,,,,
player,201011140mia,mia,PoliLo00,pass_td,0,,,,,
player,201011140mia,mia,PoliLo00,pass_int,0,,,,,
player,201011140mia,mia,PoliLo00,pass_sacked,,,,,,
player,201011140mia,mia,PoliLo00,pass_sacked_yds,,,,,,
player,201011140mia,mia,PoliLo00,pass_long,0,,,,,
player,201011140mia,mia,PoliLo00,pass_rating,,,,,,
player,201011140mia,mia,PoliLo00,rush_att,2,,,,,
player,201011140mia,mia,PoliLo00,rush_yds,4,,,,,
player,201011140mia,mia,PoliLo00,rush_td,0,,,,,
player,201011140mia,mia,PoliLo00,rush_long,2,,,,,
player,201011140mia,mia,PoliLo00,targets,1,,,,,
player,201011140mia,mia,PoliLo00,rec,1,,,,,
player,201011140mia,mia,PoliLo00,rec_yds,11,,,,,
player,201011140mia,mia,PoliLo00,rec_td,0,,,,,
player,201011140mia,mia,PoliLo00,rec_long,11,,,,,
player,201011140mia,mia,PoliLo00,fumbles,0,,,,,
player,201011140mia,mia,PoliLo00,fumbles_lost,,,,,,
player,201011140mia,mia,CobbPa00,pass_cmp,0,,,,,
player,201011140mia,mia,CobbPa00,pass_att,0,,,,,
player,201011140mia,mia,CobbPa00,pass_yds,0,,,,,
player,201011140mia,mia,CobbPa00,pass_td,0,,,,,
player,201011140mia,mia,CobbPa00,pass_int,0,,,,,
player,201011140mia,mia,CobbPa00,pass_sacked,,,,,,
player,201011140mia,mia,CobbPa00,pass_sacked_yds,,,,,,
player,201011140mia,mia,CobbPa00,pass_long,0,,,,,
player,201011140mia,mia,CobbPa00,pass_rating,,,,,,
player,201011140mia,mia,CobbPa00,rush_att,1,,,,,
player,201011140mia,mia,CobbPa00,rush_yds,1,,,,,
player,201011140mia,mia,CobbPa00,rush_td,0,,,,,
player,201011140mia,mia,CobbPa00,rush_long,1,,,,,
player,201011140mia,mia,CobbPa00,targets,4,,,,,
player,201011140mia,mia,CobbPa00,rec,3,,,,,
player,201011140mia,mia,CobbPa00,rec_yds,35,,,,,
player,201011140mia,mia,CobbPa00,rec_td,1,,,,,
player,201011140mia,mia,CobbPa00,rec_long,13,,,,,
player,201011140mia,mia,CobbPa00,fumbles,0,,,,,
player,201011140mia,mia,CobbPa00,fumbles_lost,,,,,,
player,201011140mia,mia,FasaAn00,pass_cmp,0,,,,,
player,201011140mia,mia,FasaAn00,pass_att,0,,,,,
player,201011140mia,mia,FasaAn00,pass_yds,0,,,,,
player,201011140mia,mia,FasaAn00,pass_td,0,,,,,
player,201011140mia,mia,FasaAn00,pass_int,0,,,,,
player,201011140mia,mia,FasaAn00,pass_sacked,,,,,,
player,201011140mia,mia,FasaAn00,pass_sacked_yds,,,,,,
player,201011140mia,mia,FasaAn00,pass_long,0,,,,,
player,201011140mia,mia,FasaAn00,pass_rating,,,,,,
player,201011140mia,mia,FasaAn00,rush_att,0,,,,,
player,201011140mia,mia,FasaAn00,rush_yds,0,,,,,
player,201011140mia,mia,FasaAn00,rush_td,0,,,,,
player,201011140mia,mia,FasaAn00,rush_long,0,,,,,
player,201011140mia,mia,FasaAn00,targets,7,,,,,
player,201011140mia,mia,FasaAn00,rec,5,,,,,
player,201011140mia,mia,FasaAn00,rec_yds,107,,,,,
player,201011140mia,mia,FasaAn00,rec_td,1,,,,,
player,201011140mia,mia,FasaAn00,rec_long,31,,,,,
player,201011140mia,mia,FasaAn00,fumbles,0,,,,,
player,201011140mia,mia,FasaAn00,fumbles_lost,,,,,,
player,201011140mia,mia,HartBr00,pass_cmp,0,,,,,
player,201011140mia,mia,HartBr00,pass_att,0,,,,,
player,201011140mia,mia,HartBr00,pass_yds,0,,,,,
player,201011140mia,mia,HartBr00,pass_td,0,,,,,
player,201011140mia,mia,HartBr00,pass_int,0,,,,,
player,201011140mia,mia,HartBr00,pass_sacked,,,,,,
player,201011140mia,mia,HartBr00,pass_sacked_yds,,,,,,
player,201011140mia,mia,HartBr00,pass_long,0,,,,,
player,201011140mia,mia,HartBr00,pass_rating,,,,,,
player,201011140mia,mia,HartBr00,rush_att,0,,,,,
player,201011140mia,mia,HartBr00,rush_yds,0,,,,,
player,201011140mia,mia,HartBr00,rush_td,0,,,,,
player,201011140mia,mia,HartBr00,rush_long,0,,,,,
player,201011140mia,mia,HartBr00,targets,7,,,,,
player,201011140mia,mia,HartBr00,rec,5,,,,,
player,201011140mia,mia,HartBr00,rec_yds,98,,,,,
player,201011140mia,mia,HartBr00,rec_td,0,,,,,
player,201011140mia,mia,HartBr00,rec_long,54,,,,,
player,201011140mia,mia,HartBr00,fumbles,0,,,,,
player,201011140mia,mia,HartBr00,fumbles_lost,,,,,,
player,201011140mia,mia,BessDa00,pass_cmp,0,,,,,
