game,2010,8,20101031,201010310dal,jax,"Jacksonville Jaguars",35,dal,"Dallas Cowboys",17
player,201010310dal,dal,AustMi00,rec_long,35,,,,,
player,201010310dal,dal,AustMi00,fumbles,0,,,,,
player,201010310dal,dal,AustMi00,fumbles_lost,,,,,,
player,201010310dal,dal,WittJa00,pass_cmp,0,,,,,
player,201010310dal,dal,WittJa00,pass_att,0,,,,,
player,201010310dal,dal,WittJa00,pass_yds,0,,,,,
player,201010310dal,dal,WittJa00,pass_td,0,,,,,
player,201010310dal,dal,WittJa00,pass_int,0,,,,,
player,201010310dal,dal,WittJa00,pass_sacked,,,,,,
player,201010310dal,dal,WittJa00,pass_sacked_yds,,,,,,
player,201010310dal,dal,WittJa00,pass_long,0,,,,,
player,201010310dal,dal,WittJa00,pass_rating,,,,,,
player,201010310dal,dal,WittJa00,rush_att,0,,,,,
player,201010310dal,dal,WittJa00,rush_yds,0,,,,,
player,201010310dal,dal,WittJa00,rush_td,0,,,,,
player,201010310dal,dal,WittJa00,rush_long,0,,,,,
player,201010310dal,dal,WittJa00,targets,12,,,,,
player,201010310dal,dal,WittJa00,rec,10,,,,,
player,201010310dal,dal,WittJa00,rec_yds,97,,,,,
player,201010310dal,dal,WittJa00,rec_td,1,,,,,
player,201010310dal,dal,WittJa00,rec_long,27,,,,,
player,201010310dal,dal,WittJa00,fumbles,0,,,,,
player,201010310dal,dal,WittJa00,fumbles_lost,,,,,,
player,201010310dal,dal,BryaDe01,pass_cmp,0,,,,,
player,201010310dal,dal,BryaDe01,pass_att,0,,,,,
player,201010310dal,dal,BryaDe01,pass_yds,0,,,,,
player,201010310dal,dal,BryaDe01,pass_td,0,,,,,
player,201010310dal,dal,BryaDe01,pass_int,0,,,,,
player,201010310dal,dal,BryaDe01,pass_sacked,,,,,,
player,201010310dal,dal,BryaDe01,pass_sacked_yds,,,,,,
player,201010310dal,dal,BryaDe01,pass_long,0,,,,,
player,201010310dal,dal,BryaDe01,pass_rating,,,,,,
player,201010310dal,dal,BryaDe01,rush_att,0,,,,,
player,201010310dal,dal,BryaDe01,rush_yds,0,,,,,
player,201010310dal,dal,BryaDe01,rush_td,0,,,,,
player,201010310dal,dal,BryaDe01,rush_long,0,,,,,
player,201010310dal,dal,BryaDe01,targets,9,,,,,
player,201010310dal,dal,BryaDe01,rec,7,,,,,
player,201010310dal,dal,BryaDe01,rec_yds,84,,,,,
player,201010310dal,dal,BryaDe01,rec_td,0,,,,,
player,201010310dal,dal,BryaDe01,rec_long,29,,,,,
player,201010310dal,dal,BryaDe01,fumbles,0,,,,,
player,201010310dal,dal,BryaDe01,fumbles_lost,,,,,,
player,201010310dal,dal,ChoiTa00,pass_cmp,0,,,,,
player,201010310dal,dal,ChoiTa00,pass_att,0,,,,,
player,201010310dal,dal,ChoiTa00,pass_yds,0,,,,,
player,201010310dal,dal,ChoiTa00,pass_td,0,,,,,
player,201010310dal,dal,ChoiTa00,pass_int,0,,,,,
player,201010310dal,dal,ChoiTa00,pass_sacked,,,,,,
player,201010310dal,dal,ChoiTa00,pass_sacked_yds,,,,,,
player,201010310dal,dal,ChoiTa00,pass_long,0,,,,,
player,201010310dal,dal,ChoiTa00,pass_rating,,,,,,
player,201010310dal,dal,ChoiTa00,rush_att,0,,,,,
player,201010310dal,dal,ChoiTa00,rush_yds,0,,,,,
player,201010310dal,dal,ChoiTa00,rush_td,0,,,,,
player,201010310dal,dal,ChoiTa00,rush_long,0,,,,,
player,201010310dal,dal,ChoiTa00,targets,4,,,,,
player,201010310dal,dal,ChoiTa00,rec,4,,,,,
player,201010310dal,dal,ChoiTa00,rec_yds,27,,,,,
player,201010310dal,dal,ChoiTa00,rec_td,0,,,,,
player,201010310dal,dal,ChoiTa00,rec_long,15,,,,,
player,201010310dal,dal,ChoiTa00,fumbles,0,,,,,
player,201010310dal,dal,ChoiTa00,fumbles_lost,,,,,,
player,201010310dal,dal,WillRo04,pass_cmp,0,,,,,
player,201010310dal,dal,WillRo04,pass_att,0,,,,,
player,201010310dal,dal,WillRo04,pass_yds,0,,,,,
player,201010310dal,dal,WillRo04,pass_td,0,,,,,
player,201010310dal,dal,WillRo04,pass_int,0,,,,,
player,201010310dal,dal,WillRo04,pass_sacked,,,,,,
