game,2010,11,20101121,201011210kan,crd,"Arizona Cardinals",13,kan,"Kansas City Chiefs",31
player,201011210kan,kan,BoweDw00,pass_td,0,,,,,
player,201011210kan,kan,BoweDw00,pass_int,0,,,,,
player,201011210kan,kan,BoweDw00,pass_sacked,,,,,,
player,201011210kan,kan,BoweDw00,pass_sacked_yds,,,,,,
player,201011210kan,kan,BoweDw00,pass_long,0,,,,,
player,201011210kan,kan,BoweDw00,pass_rating,,,,,,
player,201011210kan,kan,BoweDw00,rush_att,0,,,,,
player,201011210kan,kan,BoweDw00,rush_yds,0,,,,,
player,201011210kan,kan,BoweDw00,rush_td,0,,,,,
player,201011210kan,kan,BoweDw00,rush_long,0,,,,,
player,201011210kan,kan,BoweDw00,targets,8,,,,,
player,201011210kan,kan,BoweDw00,rec,6,,,,,
player,201011210kan,kan,BoweDw00,rec_yds,109,,,,,
player,201011210kan,kan,BoweDw00,rec_td,2,,,,,
player,201011210kan,kan,BoweDw00,rec_long,38,,,,,
player,201011210kan,kan,BoweDw00,fumbles,0,,,,,
player,201011210kan,kan,BoweDw00,fumbles_lost,,,,,,
player,201011210kan,kan,OConJa00,pass_cmp,0,,,,,
player,201011210kan,kan,OConJa00,pass_att,0,,,,,
player,201011210kan,kan,OConJa00,pass_yds,0,,,,,
player,201011210kan,kan,OConJa00,pass_td,0,,,,,
player,201011210kan,kan,OConJa00,pass_int,0,,,,,
player,201011210kan,kan,OConJa00,pass_sacked,,,,,,
player,201011210kan,kan,OConJa00,pass_sacked_yds,,,,,,
player,201011210kan,kan,OConJa00,pass_long,0,,,,,
player,201011210kan,kan,OConJa00,pass_rating,,,,,,
player,201011210kan,kan,OConJa00,rush_att,0,,,,,
player,201011210kan,kan,OConJa00,rush_yds,0,,,,,
player,201011210kan,kan,OConJa00,rush_td,0,,,,,
player,201011210kan,kan,OConJa00,rush_long,0,,,,,
player,201011210kan,kan,OConJa00,targets,2,,,,,
player,201011210kan,kan,OConJa00,rec,2,,,,,
player,201011210kan,kan,OConJa00,rec_yds,24,,,,,
player,201011210kan,kan,OConJa00,rec_td,0,,,,,
player,201011210kan,kan,OConJa00,rec_long,18,,,,,
player,201011210kan,kan,OConJa00,fumbles,0,,,,,
player,201011210kan,kan,OConJa00,fumbles_lost,,,,,,
player,201011210kan,kan,TuckVe00,pass_cmp,0,,,,,
player,201011210kan,kan,TuckVe00,pass_att,0,,,,,
player,201011210kan,kan,TuckVe00,pass_yds,0,,,,,
player,201011210kan,kan,TuckVe00,pass_td,0,,,,,
player,201011210kan,kan,TuckVe00,pass_int,0,,,,,
player,201011210kan,kan,TuckVe00,pass_sacked,,,,,,
player,201011210kan,kan,TuckVe00,pass_sacked_yds,,,,,,
player,201011210kan,kan,TuckVe00,pass_long,0,,,,,
player,201011210kan,kan,TuckVe00,pass_rating,,,,,,
player,201011210kan,kan,TuckVe00,rush_att,0,,,,,
player,201011210kan,kan,TuckVe00,rush_yds,0,,,,,
player,201011210kan,kan,TuckVe00,rush_td,0,,,,,
player,201011210kan,kan,TuckVe00,rush_long,0,,,,,
player,201011210kan,kan,TuckVe00,targets,4,,,,,
player,201011210kan,kan,TuckVe00,rec,1,,,,,
player,201011210kan,kan,TuckVe00,rec_yds,13,,,,,
player,201011210kan,kan,TuckVe00,rec_td,0,,,,,
player,201011210kan,kan,TuckVe00,rec_long,13,,,,,
player,201011210kan,kan,TuckVe00,fumbles,0,,,,,
player,201011210kan,kan,TuckVe00,fumbles_lost,,,,,,
player,201011210kan,kan,CoppTe00,pass_cmp,0,,,,,
player,201011210kan,kan,CoppTe00,pass_att,0,,,,,
player,201011210kan,kan,CoppTe00,pass_yds,0,,,,,
player,201011210kan,kan,CoppTe00,pass_td,0,,,,,
player,201011210kan,kan,CoppTe00,pass_int,0,,,,,
player,201011210kan,kan,CoppTe00,pass_sacked,,,,,,
player,201011210kan,kan,CoppTe00,pass_sacked_yds,,,,,,
player,201011210kan,kan,CoppTe00,pass_long,0,,,,,
player,201011210kan,kan,CoppTe00,pass_rating,,,,,,
player,201011210kan,kan,CoppTe00,rush_att,0,,,,,
player,201011210kan,kan,CoppTe00,rush_yds,0,,,,,
player,201011210kan,kan,CoppTe00,rush_td,0,,,,,
player,201011210kan,kan,CoppTe00,rush_long,0,,,,,
player,201011210kan,kan,CoppTe00,targets,1,,,,,
player,201011210kan,kan,CoppTe00,rec,1,,,,,
player,201011210kan,kan,CoppTe00,rec_yds,5,,,,,
player,201011210kan,kan,CoppTe00,rec_td,0,,,,,
player,201011210kan,kan,CoppTe00,rec_long,5,,,,,
player,201011210kan,kan,CoppTe00,fumbles,0,,,,,
player,201011210kan,kan,CoppTe00,fumbles_lost,,,,,,
player,201011210kan,kan,ChamCh00,pass_cmp,0,,,,,
player,201011210kan,kan,ChamCh00,pass_att,0,,,,,
player,201011210kan,kan,ChamCh00,pass_yds,0,,,,,
player,201011210kan,kan,ChamCh00,pass_td,0,,,,,
player,201011210kan,kan,ChamCh00,pass_int,0,,,,,
player,201011210kan,kan,ChamCh00,pass_sacked,,,,,,
player,201011210kan,kan,ChamCh00,pass_sacked_yds,,,,,,
player,201011210kan,kan,ChamCh00,pass_long,0,,,,,
player,201011210kan,kan,ChamCh00,pass_rating,,,,,,
player,201011210kan,kan,ChamCh00,rush_att,0,,,,,
player,201011210kan,kan,ChamCh00,rush_yds,0,,,,,
player,201011210kan,kan,ChamCh00,rush_td,0,,,,,
player,201011210kan,kan,ChamCh00,rush_long,0,,,,,
player,201011210kan,kan,ChamCh00,targets,2,,,,,
player,201011210kan,kan,ChamCh00,rec,1,,,,,
player,201011210kan,kan,ChamCh00,rec_yds,4,,,,,
player,201011210kan,kan,ChamCh00,rec_td,0,,,,,
player,201011210kan,kan,ChamCh00,rec_long,4,,,,,
player,201011210kan,kan,ChamCh00,fumbles,0,,,,,
player,201011210kan,kan,ChamCh00,fumbles_lost,,,,,,
player,201011210kan,kan,VrabMi20,pass_cmp,0,,,,,
player,201011210kan,kan,VrabMi20,pass_att,0,,,,,
player,201011210kan,kan,VrabMi20,pass_yds,0,,,,,
player,201011210kan,kan,VrabMi20,pass_td,0,,,,,
player,201011210kan,kan,VrabMi20,pass_int,0,,,,,
player,201011210kan,kan,VrabMi20,pass_sacked,,,,,,
player,201011210kan,kan,VrabMi20,pass_sacked_yds,,,,,,
player,201011210kan,kan,VrabMi20,pass_long,0,,,,,
player,201011210kan,kan,VrabMi20,pass_rating,,,,,,
player,201011210kan,kan,VrabMi20,rush_att,0,,,,,
player,201011210kan,kan,VrabMi20,rush_yds,0,,,,,
player,201011210kan,kan,VrabMi20,rush_td,0,,,,,
player,201011210kan,kan,VrabMi20,rush_long,0,,,,,
player,201011210kan,kan,VrabMi20,targets,1,,,,,
player,201011210kan,kan,VrabMi20,rec,0,,,,,
player,201011210kan,kan,VrabMi20,rec_yds,0,,,,,
player,201011210kan,kan,VrabMi20,rec_td,0,,,,,
player,201011210kan,kan,VrabMi20,rec_long,0,,,,,
player,201011210kan,kan,VrabMi20,fumbles,0,,,,,
player,201011210kan,kan,VrabMi20,fumbles_lost,,,,,,
player,201011210kan,kan,CastTi20,pass_cmp,0,,,,,
player,201011210kan,kan,CastTi20,pass_att,0,,,,,
player,201011210kan,kan,CastTi20,pass_yds,0,,,,,
player,201011210kan,kan,CastTi20,pass_td,0,,,,,
player,201011210kan,kan,CastTi20,pass_int,0,,,,,
player,201011210kan,kan,CastTi20,pass_sacked,,,,,,
player,201011210kan,kan,CastTi20,pass_sacked_yds,,,,,,
player,201011210kan,kan,CastTi20,pass_long,0,,,,,
player,201011210kan,kan,CastTi20,pass_rating,,,,,,
player,201011210kan,kan,CastTi20,rush_att,1,,,,,
player,201011210kan,kan,CastTi20,rush_yds,0,,,,,
player,201011210kan,kan,CastTi20,rush_td,0,,,,,
player,201011210kan,kan,CastTi20,rush_long,0,,,,,
player,201011210kan,kan,CastTi20,targets,0,,,,,
player,201011210kan,kan,CastTi20,rec,0,,,,,
player,201011210kan,kan,CastTi20,rec_yds,0,,,,,
player,201011210kan,kan,CastTi20,rec_td,0,,,,,
player,201011210kan,kan,CastTi20,rec_long,0,,,,,
player,201011210kan,kan,CastTi20,fumbles,0,,,,,
player,201011210kan,kan,CastTi20,fumbles_lost,,,,,,
player,201011210kan,kan,BattJa00,pass_cmp,0,,,,,
player,201011210kan,kan,BattJa00,pass_att,0,,,,,
player,201011210kan,kan,BattJa00,pass_yds,0,,,,,
player,201011210kan,kan,BattJa00,pass_td,0,,,,,
player,201011210kan,kan,BattJa00,pass_int,0,,,,,
player,201011210kan,kan,BattJa00,pass_sacked,,,,,,
player,201011210kan,kan,BattJa00,pass_sacked_yds,,,,,,
player,201011210kan,kan,BattJa00,pass_long,0,,,,,
player,201011210kan,kan,BattJa00,pass_rating,,,,,,
player,201011210kan,kan,BattJa00,rush_att,1,,,,,
player,201011210kan,kan,BattJa00,rush_yds,0,,,,,
player,201011210kan,kan,BattJa00,rush_td,0,,,,,
player,201011210kan,kan,BattJa00,rush_long,0,,,,,
player,201011210kan,kan,BattJa00,targets,0,,,,,
player,201011210kan,kan,BattJa00,rec,0,,,,,
player,201011210kan,kan,BattJa00,rec_yds,0,,,,,
player,201011210kan,kan,BattJa00,rec_td,0,,,,,
player,201011210kan,kan,BattJa00,rec_long,0,,,,,
player,201011210kan,kan,BattJa00,fumbles,0,,,,,
player,201011210kan,kan,BattJa00,fumbles_lost,,,,,,
player,201011210kan,kan,PopeLe00,pass_cmp,,,,,,
player,201011210kan,kan,PopeLe00,pass_att,,,,,,
player,201011210kan,kan,PopeLe00,pass_yds,,,,,,
player,201011210kan,kan,PopeLe00,pass_td,,,,,,
player,201011210kan,kan,PopeLe00,pass_int,,,,,,
player,201011210kan,kan,PopeLe00,pass_sacked,,,,,,
player,201011210kan,kan,PopeLe00,pass_sacked_yds,,,,,,
player,201011210kan,kan,PopeLe00,pass_long,,,,,,
player,201011210kan,kan,PopeLe00,pass_rating,,,,,,
player,201011210kan,kan,PopeLe00,rush_att,,,,,,
player,201011210kan,kan,PopeLe00,rush_yds,,,,,,
player,201011210kan,kan,PopeLe00,rush_td,,,,,,
player,201011210kan,kan,PopeLe00,rush_long,,,,,,
player,201011210kan,kan,PopeLe00,targets,1,,,,,
player,201011210kan,kan,PopeLe00,rec,0,,,,,
player,201011210kan,kan,PopeLe00,rec_yds,0,,,,,
player,201011210kan,kan,PopeLe00,rec_td,0,,,,,
player,201011210kan,kan,PopeLe00,rec_long,,,,,,
player,201011210kan,kan,PopeLe00,fumbles,,,,,,
player,201011210kan,kan,PopeLe00,fumbles_lost,,,,,,
player,201011210kan,crd,WilsAd99,def_int,0,,,,,
player,201011210kan,crd,WilsAd99,def_int_yds,0,,,,,
player,201011210kan,crd,WilsAd99,def_int_td,0,,,,,
player,201011210kan,crd,WilsAd99,def_int_long,0,,,,,
player,201011210kan,crd,WilsAd99,pass_defended,1,,,,,
player,201011210kan,crd,WilsAd99,sacks,0.0,,,,,
player,201011210kan,crd,WilsAd99,tackles_combined,7,,,,,
player,201011210kan,crd,WilsAd99,tackles_solo,7,,,,,
player,201011210kan,crd,WilsAd99,tackles_assists,0,,,,,
player,201011210kan,crd,WilsAd99,tackles_loss,1,,,,,
player,201011210kan,crd,WilsAd99,qb_hits,0,,,,,
player,201011210kan,crd,WilsAd99,fumbles_rec,0,,,,,
player,201011210kan,crd,WilsAd99,fumbles_rec_yds,0,,,,,
player,201011210kan,crd,WilsAd99,fumbles_rec_td,0,,,,,
player,201011210kan,crd,WilsAd99,fumbles_forced,0,,,,,
