game,2010,8,20101031,201010310cin,mia,"Miami Dolphins",22,cin,"Cincinnati Bengals",14
player,201010310cin,mia,MarsBr00,rush_long,0,,,,,
player,201010310cin,mia,MarsBr00,targets,7,,,,,
player,201010310cin,mia,MarsBr00,rec,5,,,,,
player,201010310cin,mia,MarsBr00,rec_yds,64,,,,,
player,201010310cin,mia,MarsBr00,rec_td,0,,,,,
player,201010310cin,mia,MarsBr00,rec_long,25,,,,,
player,201010310cin,mia,MarsBr00,fumbles,0,,,,,
player,201010310cin,mia,MarsBr00,fumbles_lost,,,,,,
player,201010310cin,mia,BessDa00,pass_cmp,0,,,,,
player,201010310cin,mia,BessDa00,pass_att,0,,,,,
player,201010310cin,mia,BessDa00,pass_yds,0,,,,,
player,201010310cin,mia,BessDa00,pass_td,0,,,,,
player,201010310cin,mia,BessDa00,pass_int,0,,,,,
player,201010310cin,mia,BessDa00,pass_sacked,,,,,,
player,201010310cin,mia,BessDa00,pass_sacked_yds,,,,,,
player,201010310cin,mia,BessDa00,pass_long,0,,,,,
player,201010310cin,mia,BessDa00,pass_rating,,,,,,
player,201010310cin,mia,BessDa00,rush_att,0,,,,,
player,201010310cin,mia,BessDa00,rush_yds,0,,,,,
player,201010310cin,mia,BessDa00,rush_td,0,,,,,
player,201010310cin,mia,BessDa00,rush_long,0,,,,,
player,201010310cin,mia,BessDa00,targets,9,,,,,
player,201010310cin,mia,BessDa00,rec,7,,,,,
player,201010310cin,mia,BessDa00,rec_yds,53,,,,,
player,201010310cin,mia,BessDa00,rec_td,0,,,,,
player,201010310cin,mia,BessDa00,rec_long,20,,,,,
player,201010310cin,mia,BessDa00,fumbles,1,,,,,
player,201010310cin,mia,BessDa00,fumbles_lost,1,,,,,
player,201010310cin,mia,FasaAn00,pass_cmp,0,,,,,
player,201010310cin,mia,FasaAn00,pass_att,0,,,,,
player,201010310cin,mia,FasaAn00,pass_yds,0,,,,,
player,201010310cin,mia,FasaAn00,pass_td,0,,,,,
player,201010310cin,mia,FasaAn00,pass_int,0,,,,,
player,201010310cin,mia,FasaAn00,pass_sacked,,,,,,
player,201010310cin,mia,FasaAn00,pass_sacked_yds,,,,,,
player,201010310cin,mia,FasaAn00,pass_long,0,,,,,
player,201010310cin,mia,FasaAn00,pass_rating,,,,,,
player,201010310cin,mia,FasaAn00,rush_att,0,,,,,
player,201010310cin,mia,FasaAn00,rush_yds,0,,,,,
player,201010310cin,mia,FasaAn00,rush_td,0,,,,,
