game,2010,11,20101121,201011210oti,was,"Washington Redskins",19,oti,"Tennessee Titans",16
player,201011210oti,was,McNaDo00,pass_rating,81.7,,,,,
player,201011210oti,was,McNaDo00,rush_att,1,,,,,
player,201011210oti,was,McNaDo00,rush_yds,4,,,,,
player,201011210oti,was,McNaDo00,rush_td,0,,,,,
player,201011210oti,was,McNaDo00,rush_long,4,,,,,
player,201011210oti,was,McNaDo00,targets,0,,,,,
player,201011210oti,was,McNaDo00,rec,0,,,,,
player,201011210oti,was,McNaDo00,rec_yds,0,,,,,
player,201011210oti,was,McNaDo00,rec_td,0,,,,,
player,201011210oti,was,McNaDo00,rec_long,0,,,,,
player,201011210oti,was,McNaDo00,fumbles,1,,,,,
player,201011210oti,was,McNaDo00,fumbles_lost,0,,,,,
player,201011210oti,was,WillKe03,pass_cmp,0,,,,,
player,201011210oti,was,WillKe03,pass_att,0,,,,,
player,201011210oti,was,WillKe03,pass_yds,0,,,,,
player,201011210oti,was,WillKe03,pass_td,0,,,,,
player,201011210oti,was,WillKe03,pass_int,0,,,,,
player,201011210oti,was,WillKe03,pass_sacked,,,,,,
player,201011210oti,was,WillKe03,pass_sacked_yds,,,,,,
player,201011210oti,was,WillKe03,pass_long,0,,,,,
player,201011210oti,was,WillKe03,pass_rating,,,,,,
player,201011210oti,was,WillKe03,rush_att,23,,,,,
player,201011210oti,was,WillKe03,rush_yds,68,,,,,
player,201011210oti,was,WillKe03,rush_td,0,,,,,
player,201011210oti,was,WillKe03,rush_long,14,,,,,
player,201011210oti,was,WillKe03,targets,8,,,,,
player,201011210oti,was,WillKe03,rec,6,,,,,
player,201011210oti,was,WillKe03,rec_yds,27,,,,,
player,201011210oti,was,WillKe03,rec_td,0,,,,,
player,201011210oti,was,WillKe03,rec_long,12,,,,,
player,201011210oti,was,WillKe03,fumbles,0,,,,,
player,201011210oti,was,WillKe03,fumbles_lost,,,,,,
player,201011210oti,was,PortCl00,pass_cmp,0,,,,,
player,201011210oti,was,PortCl00,pass_att,0,,,,,
player,201011210oti,was,PortCl00,pass_yds,0,,,,,
player,201011210oti,was,PortCl00,pass_td,0,,,,,
player,201011210oti,was,PortCl00,pass_int,0,,,,,
player,201011210oti,was,PortCl00,pass_sacked,,,,,,
player,201011210oti,was,PortCl00,pass_sacked_yds,,,,,,
player,201011210oti,was,PortCl00,pass_long,0,,,,,
player,201011210oti,was,PortCl00,pass_rating,,,,,,
player,201011210oti,was,PortCl00,rush_att,5,,,,,
player,201011210oti,was,PortCl00,rush_yds,32,,,,,
player,201011210oti,was,PortCl00,rush_td,0,,,,,
player,201011210oti,was,PortCl00,rush_long,11,,,,,
player,201011210oti,was,PortCl00,targets,2,,,,,
player,201011210oti,was,PortCl00,rec,1,,,,,
player,201011210oti,was,PortCl00,rec_yds,14,,,,,
player,201011210oti,was,PortCl00,rec_td,0,,,,,
player,201011210oti,was,PortCl00,rec_long,14,,,,,
player,201011210oti,was,PortCl00,fumbles,0,,,,,
player,201011210oti,was,PortCl00,fumbles_lost,,,,,,
player,201011210oti,was,YounDa01,pass_cmp,0,,,,,
player,201011210oti,was,YounDa01,pass_att,0,,,,,
player,201011210oti,was,YounDa01,pass_yds,0,,,,,
player,201011210oti,was,YounDa01,pass_td,0,,,,,
player,201011210oti,was,YounDa01,pass_int,0,,,,,
player,201011210oti,was,YounDa01,pass_sacked,,,,,,
player,201011210oti,was,YounDa01,pass_sacked_yds,,,,,,
player,201011210oti,was,YounDa01,pass_long,0,,,,,
player,201011210oti,was,YounDa01,pass_rating,,,,,,
player,201011210oti,was,YounDa01,rush_att,3,,,,,
player,201011210oti,was,YounDa01,rush_yds,3,,,,,
player,201011210oti,was,YounDa01,rush_td,0,,,,,
player,201011210oti,was,YounDa01,rush_long,3,,,,,
player,201011210oti,was,YounDa01,targets,0,,,,,
player,201011210oti,was,YounDa01,rec,0,,,,,
player,201011210oti,was,YounDa01,rec_yds,0,,,,,
player,201011210oti,was,YounDa01,rec_td,0,,,,,
player,201011210oti,was,YounDa01,rec_long,0,,,,,
player,201011210oti,was,YounDa01,fumbles,0,,,,,
player,201011210oti,was,YounDa01,fumbles_lost,,,,,,
player,201011210oti,was,MossSa00,pass_cmp,0,,,,,
player,201011210oti,was,MossSa00,pass_att,0,,,,,
player,201011210oti,was,MossSa00,pass_yds,0,,,,,
player,201011210oti,was,MossSa00,pass_td,0,,,,,
player,201011210oti,was,MossSa00,pass_int,0,,,,,
player,201011210oti,was,MossSa00,pass_sacked,,,,,,
player,201011210oti,was,MossSa00,pass_sacked_yds,,,,,,
player,201011210oti,was,MossSa00,pass_long,0,,,,,
player,201011210oti,was,MossSa00,pass_rating,,,,,,
player,201011210oti,was,MossSa00,rush_att,0,,,,,
player,201011210oti,was,MossSa00,rush_yds,0,,,,,
player,201011210oti,was,MossSa00,rush_td,0,,,,,
player,201011210oti,was,MossSa00,rush_long,0,,,,,
player,201011210oti,was,MossSa00,targets,9,,,,,
player,201011210oti,was,MossSa00,rec,6,,,,,
player,201011210oti,was,MossSa00,rec_yds,106,,,,,
player,201011210oti,was,MossSa00,rec_td,1,,,,,
player,201011210oti,was,MossSa00,rec_long,48,,,,,
player,201011210oti,was,MossSa00,fumbles,1,,,,,
player,201011210oti,was,MossSa00,fumbles_lost,0,,,,,
player,201011210oti,was,CoolCh00,pass_cmp,0,,,,,
player,201011210oti,was,CoolCh00,pass_att,0,,,,,
player,201011210oti,was,CoolCh00,pass_yds,0,,,,,
player,201011210oti,was,CoolCh00,pass_td,0,,,,,
player,201011210oti,was,CoolCh00,pass_int,0,,,,,
player,201011210oti,was,CoolCh00,pass_sacked,,,,,,
player,201011210oti,was,CoolCh00,pass_sacked_yds,,,,,,
player,201011210oti,was,CoolCh00,pass_long,0,,,,,
player,201011210oti,was,CoolCh00,pass_rating,,,,,,
player,201011210oti,was,CoolCh00,rush_att,0,,,,,
player,201011210oti,was,CoolCh00,rush_yds,0,,,,,
player,201011210oti,was,CoolCh00,rush_td,0,,,,,
player,201011210oti,was,CoolCh00,rush_long,0,,,,,
player,201011210oti,was,CoolCh00,targets,9,,,,,
player,201011210oti,was,CoolCh00,rec,7,,,,,
player,201011210oti,was,CoolCh00,rec_yds,91,,,,,
player,201011210oti,was,CoolCh00,rec_td,0,,,,,
player,201011210oti,was,CoolCh00,rec_long,26,,,,,
player,201011210oti,was,CoolCh00,fumbles,0,,,,,
player,201011210oti,was,CoolCh00,fumbles_lost,,,,,,
player,201011210oti,was,DaviFr01,pass_cmp,0,,,,,
player,201011210oti,was,DaviFr01,pass_att,0,,,,,
player,201011210oti,was,DaviFr01,pass_yds,0,,,,,
player,201011210oti,was,DaviFr01,pass_td,0,,,,,
player,201011210oti,was,DaviFr01,pass_int,0,,,,,
player,201011210oti,was,DaviFr01,pass_sacked,,,,,,
player,201011210oti,was,DaviFr01,pass_sacked_yds,,,,,,
player,201011210oti,was,DaviFr01,pass_long,0,,,,,
player,201011210oti,was,DaviFr01,pass_rating,,,,,,
player,201011210oti,was,DaviFr01,rush_att,0,,,,,
player,201011210oti,was,DaviFr01,rush_yds,0,,,,,
player,201011210oti,was,DaviFr01,rush_td,0,,,,,
player,201011210oti,was,DaviFr01,rush_long,0,,,,,
player,201011210oti,was,DaviFr01,targets,4,,,,,
player,201011210oti,was,DaviFr01,rec,2,,,,,
player,201011210oti,was,DaviFr01,rec_yds,44,,,,,
player,201011210oti,was,DaviFr01,rec_td,0,,,,,
player,201011210oti,was,DaviFr01,rec_long,23,,,,,
player,201011210oti,was,DaviFr01,fumbles,0,,,,,
player,201011210oti,was,DaviFr01,fumbles_lost,,,,,,
player,201011210oti,was,ArmsAn00,pass_cmp,0,,,,,
player,201011210oti,was,ArmsAn00,pass_att,0,,,,,
player,201011210oti,was,ArmsAn00,pass_yds,0,,,,,
player,201011210oti,was,ArmsAn00,pass_td,0,,,,,
player,201011210oti,was,ArmsAn00,pass_int,0,,,,,
player,201011210oti,was,ArmsAn00,pass_sacked,,,,,,
player,201011210oti,was,ArmsAn00,pass_sacked_yds,,,,,,
player,201011210oti,was,ArmsAn00,pass_long,0,,,,,
player,201011210oti,was,ArmsAn00,pass_rating,,,,,,
player,201011210oti,was,ArmsAn00,rush_att,0,,,,,
player,201011210oti,was,ArmsAn00,rush_yds,0,,,,,
player,201011210oti,was,ArmsAn00,rush_td,0,,,,,
player,201011210oti,was,ArmsAn00,rush_long,0,,,,,
player,201011210oti,was,ArmsAn00,targets,7,,,,,
player,201011210oti,was,ArmsAn00,rec,3,,,,,
player,201011210oti,was,ArmsAn00,rec_yds,41,,,,,
player,201011210oti,was,ArmsAn00,rec_td,0,,,,,
player,201011210oti,was,ArmsAn00,rec_long,19,,,,,
player,201011210oti,was,ArmsAn00,fumbles,0,,,,,
player,201011210oti,was,ArmsAn00,fumbles_lost,,,,,,
player,201011210oti,was,GallJo00,pass_cmp,0,,,,,
player,201011210oti,was,GallJo00,pass_att,0,,,,,
player,201011210oti,was,GallJo00,pass_yds,0,,,,,
player,201011210oti,was,GallJo00,pass_td,0,,,,,
player,201011210oti,was,GallJo00,pass_int,0,,,,,
player,201011210oti,was,GallJo00,pass_sacked,,,,,,
player,201011210oti,was,GallJo00,pass_sacked_yds,,,,,,
player,201011210oti,was,GallJo00,pass_long,0,,,,,
player,201011210oti,was,GallJo00,pass_rating,,,,,,
player,201011210oti,was,GallJo00,rush_att,0,,,,,
player,201011210oti,was,GallJo00,rush_yds,0,,,,,
player,201011210oti,was,GallJo00,rush_td,0,,,,,
player,201011210oti,was,GallJo00,rush_long,0,,,,,
player,201011210oti,was,GallJo00,targets,6,,,,,
player,201011210oti,was,GallJo00,rec,3,,,,,
player,201011210oti,was,GallJo00,rec_yds,32,,,,,
player,201011210oti,was,GallJo00,rec_td,0,,,,,
player,201011210oti,was,GallJo00,rec_long,20,,,,,
player,201011210oti,was,GallJo00,fumbles,0,,,,,
player,201011210oti,was,GallJo00,fumbles_lost,,,,,,
player,201011210oti,was,BankBr00,pass_cmp,0,,,,,
player,201011210oti,was,BankBr00,pass_att,0,,,,,
player,201011210oti,was,BankBr00,pass_yds,0,,,,,
player,201011210oti,was,BankBr00,pass_td,0,,,,,
player,201011210oti,was,BankBr00,pass_int,0,,,,,
player,201011210oti,was,BankBr00,pass_sacked,,,,,,
player,201011210oti,was,BankBr00,pass_sacked_yds,,,,,,
player,201011210oti,was,BankBr00,pass_long,0,,,,,
player,201011210oti,was,BankBr00,pass_rating,,,,,,
player,201011210oti,was,BankBr00,rush_att,0,,,,,
player,201011210oti,was,BankBr00,rush_yds,0,,,,,
player,201011210oti,was,BankBr00,rush_td,0,,,,,
player,201011210oti,was,BankBr00,rush_long,0,,,,,
player,201011210oti,was,BankBr00,targets,1,,,,,
player,201011210oti,was,BankBr00,rec,1,,,,,
player,201011210oti,was,BankBr00,rec_yds,15,,,,,
player,201011210oti,was,BankBr00,rec_td,0,,,,,
player,201011210oti,was,BankBr00,rec_long,15,,,,,
player,201011210oti,was,BankBr00,fumbles,0,,,,,
player,201011210oti,was,BankBr00,fumbles_lost,,,,,,
player,201011210oti,was,SellMi00,pass_cmp,0,,,,,
player,201011210oti,was,SellMi00,pass_att,0,,,,,
player,201011210oti,was,SellMi00,pass_yds,0,,,,,
player,201011210oti,was,SellMi00,pass_td,0,,,,,
player,201011210oti,was,SellMi00,pass_int,0,,,,,
player,201011210oti,was,SellMi00,pass_sacked,,,,,,
player,201011210oti,was,SellMi00,pass_sacked_yds,,,,,,
player,201011210oti,was,SellMi00,pass_long,0,,,,,
player,201011210oti,was,SellMi00,pass_rating,,,,,,
player,201011210oti,was,SellMi00,rush_att,1,,,,,
player,201011210oti,was,SellMi00,rush_yds,0,,,,,
player,201011210oti,was,SellMi00,rush_td,0,,,,,
player,201011210oti,was,SellMi00,rush_long,0,,,,,
player,201011210oti,was,SellMi00,targets,2,,,,,
player,201011210oti,was,SellMi00,rec,1,,,,,
player,201011210oti,was,SellMi00,rec_yds,6,,,,,
player,201011210oti,was,SellMi00,rec_td,0,,,,,
player,201011210oti,was,SellMi00,rec_long,6,,,,,
player,201011210oti,was,SellMi00,fumbles,0,,,,,
player,201011210oti,was,SellMi00,fumbles_lost,,,,,,
player,201011210oti,oti,YounVi00,pass_cmp,12,,,,,
player,201011210oti,oti,YounVi00,pass_att,16,,,,,
player,201011210oti,oti,YounVi00,pass_yds,165,,,,,
player,201011210oti,oti,YounVi00,pass_td,0,,,,,
player,201011210oti,oti,YounVi00,pass_int,0,,,,,
player,201011210oti,oti,YounVi00,pass_sacked,1,,,,,
player,201011210oti,oti,YounVi00,pass_sacked_yds,5,,,,,
player,201011210oti,oti,YounVi00,pass_long,37,,,,,
player,201011210oti,oti,YounVi00,pass_rating,107.6,,,,,
player,201011210oti,oti,YounVi00,rush_att,3,,,,,
player,201011210oti,oti,YounVi00,rush_yds,20,,,,,
player,201011210oti,oti,YounVi00,rush_td,0,,,,,
player,201011210oti,oti,YounVi00,rush_long,11,,,,,
player,201011210oti,oti,YounVi00,targets,0,,,,,
player,201011210oti,oti,YounVi00,rec,0,,,,,
player,201011210oti,oti,YounVi00,rec_yds,0,,,,,
player,201011210oti,oti,YounVi00,rec_td,0,,,,,
player,201011210oti,oti,YounVi00,rec_long,0,,,,,
player,201011210oti,oti,YounVi00,fumbles,1,,,,,
player,201011210oti,oti,YounVi00,fumbles_lost,1,,,,,
player,201011210oti,oti,SmitRu01,pass_cmp,3,,,,,
player,201011210oti,oti,SmitRu01,pass_att,9,,,,,
player,201011210oti,oti,SmitRu01,pass_yds,62,,,,,
player,201011210oti,oti,SmitRu01,pass_td,0,,,,,
player,201011210oti,oti,SmitRu01,pass_int,1,,,,,
player,201011210oti,oti,SmitRu01,pass_sacked,0,,,,,
player,201011210oti,oti,SmitRu01,pass_sacked_yds,0,,,,,
player,201011210oti,oti,SmitRu01,pass_long,52,,,,,
player,201011210oti,oti,SmitRu01,pass_rating,19.0,,,,,
player,201011210oti,oti,SmitRu01,rush_att,0,,,,,
player,201011210oti,oti,SmitRu01,rush_yds,0,,,,,
player,201011210oti,oti,SmitRu01,rush_td,0,,,,,
player,201011210oti,oti,SmitRu01,rush_long,0,,,,,
player,201011210oti,oti,SmitRu01,targets,0,,,,,
player,201011210oti,oti,SmitRu01,rec,0,,,,,
player,201011210oti,oti,SmitRu01,rec_yds,0,,,,,
player,201011210oti,oti,SmitRu01,rec_td,0,,,,,
player,201011210oti,oti,SmitRu01,rec_long,0,,,,,
player,201011210oti,oti,SmitRu01,fumbles,0,,,,,
player,201011210oti,oti,SmitRu01,fumbles_lost,,,,,,
player,201011210oti,oti,JohnCh04,pass_cmp,0,,,,,
player,201011210oti,oti,JohnCh04,pass_att,0,,,,,
player,201011210oti,oti,JohnCh04,pass_yds,0,,,,,
player,201011210oti,oti,JohnCh04,pass_td,0,,,,,
player,201011210oti,oti,JohnCh04,pass_int,0,,,,,
player,201011210oti,oti,JohnCh04,pass_sacked,,,,,,
player,201011210oti,oti,JohnCh04,pass_sacked_yds,,,,,,
player,201011210oti,oti,JohnCh04,pass_long,0,,,,,
player,201011210oti,oti,JohnCh04,pass_rating,,,,,,
player,201011210oti,oti,JohnCh04,rush_att,21,,,,,
player,201011210oti,oti,JohnCh04,rush_yds,130,,,,,
player,201011210oti,oti,JohnCh04,rush_td,0,,,,,
player,201011210oti,oti,JohnCh04,rush_long,29,,,,,
player,201011210oti,oti,JohnCh04,targets,3,,,,,
player,201011210oti,oti,JohnCh04,rec,2,,,,,
player,201011210oti,oti,JohnCh04,rec_yds,6,,,,,
player,201011210oti,oti,JohnCh04,rec_td,0,,,,,
player,201011210oti,oti,JohnCh04,rec_long,4,,,,,
player,201011210oti,oti,JohnCh04,fumbles,0,,,,,
player,201011210oti,oti,JohnCh04,fumbles_lost,,,,,,
player,201011210oti,oti,RingJa00,pass_cmp,0,,,,,
player,201011210oti,oti,RingJa00,pass_att,0,,,,,
player,201011210oti,oti,RingJa00,pass_yds,0,,,,,
player,201011210oti,oti,RingJa00,pass_td,0,,,,,
player,201011210oti,oti,RingJa00,pass_int,0,,,,,
player,201011210oti,oti,RingJa00,pass_sacked,,,,,,
player,201011210oti,oti,RingJa00,pass_sacked_yds,,,,,,
player,201011210oti,oti,RingJa00,pass_long,0,,,,,
player,201011210oti,oti,RingJa00,pass_rating,,,,,,
player,201011210oti,oti,RingJa00,rush_att,1,,,,,
player,201011210oti,oti,RingJa00,rush_yds,1,,,,,
player,201011210oti,oti,RingJa00,rush_td,0,,,,,
player,201011210oti,oti,RingJa00,rush_long,1,,,,,
player,201011210oti,oti,RingJa00,targets,0,,,,,
player,201011210oti,oti,RingJa00,rec,0,,,,,
player,201011210oti,oti,RingJa00,rec_yds,0,,,,,
player,201011210oti,oti,RingJa00,rec_td,0,,,,,
player,201011210oti,oti,RingJa00,rec_long,0,,,,,
player,201011210oti,oti,RingJa00,fumbles,0,,,,,
player,201011210oti,oti,RingJa00,fumbles_lost,,,,,,
player,201011210oti,oti,WashNa00,pass_cmp,0,,,,,
player,201011210oti,oti,WashNa00,pass_att,0,,,,,
player,201011210oti,oti,WashNa00,pass_yds,0,,,,,
player,201011210oti,oti,WashNa00,pass_td,0,,,,,
player,201011210oti,oti,WashNa00,pass_int,0,,,,,
player,201011210oti,oti,WashNa00,pass_sacked,,,,,,
player,201011210oti,oti,WashNa00,pass_sacked_yds,,,,,,
player,201011210oti,oti,WashNa00,pass_long,0,,,,,
player,201011210oti,oti,WashNa00,pass_rating,,,,,,
player,201011210oti,oti,WashNa00,rush_att,0,,,,,
player,201011210oti,oti,WashNa00,rush_yds,0,,,,,
player,201011210oti,oti,WashNa00,rush_td,0,,,,,
player,201011210oti,oti,WashNa00,rush_long,0,,,,,
player,201011210oti,oti,WashNa00,targets,9,,,,,
player,201011210oti,oti,WashNa00,rec,5,,,,,
player,201011210oti,oti,WashNa00,rec_yds,117,,,,,
player,201011210oti,oti,WashNa00,rec_td,0,,,,,
player,201011210oti,oti,WashNa00,rec_long,52,,,,,
player,201011210oti,oti,WashNa00,fumbles,0,,,,,
player,201011210oti,oti,WashNa00,fumbles_lost,,,,,,
player,201011210oti,oti,ScaiBo00,pass_cmp,0,,,,,
player,201011210oti,oti,ScaiBo00,pass_att,0,,,,,
player,201011210oti,oti,ScaiBo00,pass_yds,0,,,,,
player,201011210oti,oti,ScaiBo00,pass_td,0,,,,,
player,201011210oti,oti,ScaiBo00,pass_int,0,,,,,
player,201011210oti,oti,ScaiBo00,pass_sacked,,,,,,
player,201011210oti,oti,ScaiBo00,pass_sacked_yds,,,,,,
player,201011210oti,oti,ScaiBo00,pass_long,0,,,,,
player,201011210oti,oti,ScaiBo00,pass_rating,,,,,,
player,201011210oti,oti,ScaiBo00,rush_att,0,,,,,
player,201011210oti,oti,ScaiBo00,rush_yds,0,,,,,
player,201011210oti,oti,ScaiBo00,rush_td,0,,,,,
player,201011210oti,oti,ScaiBo00,rush_long,0,,,,,
player,201011210oti,oti,ScaiBo00,targets,6,,,,,
player,201011210oti,oti,ScaiBo00,rec,4,,,,,
player,201011210oti,oti,ScaiBo00,rec_yds,51,,,,,
player,201011210oti,oti,ScaiBo00,rec_td,0,,,,,
player,201011210oti,oti,ScaiBo00,rec_long,30,,,,,
player,201011210oti,oti,ScaiBo00,fumbles,0,,,,,
player,201011210oti,oti,ScaiBo00,fumbles_lost,,,,,,
player,201011210oti,oti,GageJu00,pass_cmp,0,,,,,
player,201011210oti,oti,GageJu00,pass_att,0,,,,,
player,201011210oti,oti,GageJu00,pass_yds,0,,,,,
player,201011210oti,oti,GageJu00,pass_td,0,,,,,
player,201011210oti,oti,GageJu00,pass_int,0,,,,,
player,201011210oti,oti,GageJu00,pass_sacked,,,,,,
player,201011210oti,oti,GageJu00,pass_sacked_yds,,,,,,
player,201011210oti,oti,GageJu00,pass_long,0,,,,,
player,201011210oti,oti,GageJu00,pass_rating,,,,,,
player,201011210oti,oti,GageJu00,rush_att,0,,,,,
player,201011210oti,oti,GageJu00,rush_yds,0,,,,,
player,201011210oti,oti,GageJu00,rush_td,0,,,,,
player,201011210oti,oti,GageJu00,rush_long,0,,,,,
player,201011210oti,oti,GageJu00,targets,1,,,,,
player,201011210oti,oti,GageJu00,rec,1,,,,,
player,201011210oti,oti,GageJu00,rec_yds,23,,,,,
player,201011210oti,oti,GageJu00,rec_td,0,,,,,
player,201011210oti,oti,GageJu00,rec_long,23,,,,,
player,201011210oti,oti,GageJu00,fumbles,0,,,,,
player,201011210oti,oti,GageJu00,fumbles_lost,,,,,,
player,201011210oti,oti,HallAh00,pass_cmp,0,,,,,
player,201011210oti,oti,HallAh00,pass_att,0,,,,,
player,201011210oti,oti,HallAh00,pass_yds,0,,,,,
player,201011210oti,oti,HallAh00,pass_td,0,,,,,
player,201011210oti,oti,HallAh00,pass_int,0,,,,,
player,201011210oti,oti,HallAh00,pass_sacked,,,,,,
player,201011210oti,oti,HallAh00,pass_sacked_yds,,,,,,
player,201011210oti,oti,HallAh00,pass_long,0,,,,,
player,201011210oti,oti,HallAh00,pass_rating,,,,,,
player,201011210oti,oti,HallAh00,rush_att,0,,,,,
player,201011210oti,oti,HallAh00,rush_yds,0,,,,,
player,201011210oti,oti,HallAh00,rush_td,0,,,,,
player,201011210oti,oti,HallAh00,rush_long,0,,,,,
player,201011210oti,oti,HallAh00,targets,1,,,,,
player,201011210oti,oti,HallAh00,rec,1,,,,,
player,201011210oti,oti,HallAh00,rec_yds,19,,,,,
player,201011210oti,oti,HallAh00,rec_td,0,,,,,
player,201011210oti,oti,HallAh00,rec_long,19,,,,,
player,201011210oti,oti,HallAh00,fumbles,0,,,,,
player,201011210oti,oti,HallAh00,fumbles_lost,,,,,,
player,201011210oti,oti,CookJa02,pass_cmp,0,,,,,
player,201011210oti,oti,CookJa02,pass_att,0,,,,,
player,201011210oti,oti,CookJa02,pass_yds,0,,,,,
player,201011210oti,oti,CookJa02,pass_td,0,,,,,
player,201011210oti,oti,CookJa02,pass_int,0,,,,,
player,201011210oti,oti,CookJa02,pass_sacked,,,,,,
player,201011210oti,oti,CookJa02,pass_sacked_yds,,,,,,
player,201011210oti,oti,CookJa02,pass_long,0,,,,,
player,201011210oti,oti,CookJa02,pass_rating,,,,,,
player,201011210oti,oti,CookJa02,rush_att,0,,,,,
player,201011210oti,oti,CookJa02,rush_yds,0,,,,,
player,201011210oti,oti,CookJa02,rush_td,0,,,,,
player,201011210oti,oti,CookJa02,rush_long,0,,,,,
player,201011210oti,oti,CookJa02,targets,2,,,,,
player,201011210oti,oti,CookJa02,rec,2,,,,,
player,201011210oti,oti,CookJa02,rec_yds,11,,,,,
player,201011210oti,oti,CookJa02,rec_td,0,,,,,
player,201011210oti,oti,CookJa02,rec_long,6,,,,,
player,201011210oti,oti,CookJa02,fumbles,0,,,,,
player,201011210oti,oti,CookJa02,fumbles_lost,,,,,,
player,201011210oti,oti,MossRa00,pass_cmp,,,,,,
player,201011210oti,oti,MossRa00,pass_att,,,,,,
player,201011210oti,oti,MossRa00,pass_yds,,,,,,
player,201011210oti,oti,MossRa00,pass_td,,,,,,
player,201011210oti,oti,MossRa00,pass_int,,,,,,
player,201011210oti,oti,MossRa00,pass_sacked,,,,,,
player,201011210oti,oti,MossRa00,pass_sacked_yds,,,,,,
player,201011210oti,oti,MossRa00,pass_long,,,,,,
player,201011210oti,oti,MossRa00,pass_rating,,,,,,
player,201011210oti,oti,MossRa00,rush_att,,,,,,
player,201011210oti,oti,MossRa00,rush_yds,,,,,,
player,201011210oti,oti,MossRa00,rush_td,,,,,,
player,201011210oti,oti,MossRa00,rush_long,,,,,,
player,201011210oti,oti,MossRa00,targets,3,,,,,
player,201011210oti,oti,MossRa00,rec,0,,,,,
player,201011210oti,oti,MossRa00,rec_yds,0,,,,,
player,201011210oti,oti,MossRa00,rec_td,0,,,,,
player,201011210oti,oti,MossRa00,rec_long,,,,,,
player,201011210oti,oti,MossRa00,fumbles,,,,,,
player,201011210oti,oti,MossRa00,fumbles_lost,,,,,,
player,201011210oti,was,BuchPh20,def_int,1,,,,,
player,201011210oti,was,BuchPh20,def_int_yds,43,,,,,
player,201011210oti,was,BuchPh20,def_int_td,0,,,,,
player,201011210oti,was,BuchPh20,def_int_long,43,,,,,
player,201011210oti,was,BuchPh20,pass_defended,2,,,,,
player,201011210oti,was,BuchPh20,sacks,0.0,,,,,
player,201011210oti,was,BuchPh20,tackles_combined,6,,,,,
player,201011210oti,was,BuchPh20,tackles_solo,6,,,,,
player,201011210oti,was,BuchPh20,tackles_assists,0,,,,,
player,201011210oti,was,BuchPh20,tackles_loss,0,,,,,
player,201011210oti,was,BuchPh20,qb_hits,0,,,,,
player,201011210oti,was,BuchPh20,fumbles_rec,1,,,,,
player,201011210oti,was,BuchPh20,fumbles_rec_yds,0,,,,,
player,201011210oti,was,BuchPh20,fumbles_rec_td,0,,,,,
player,201011210oti,was,BuchPh20,fumbles_forced,0,,,,,
player,201011210oti,was,HollVo20,def_int,0,,,,,
player,201011210oti,was,HollVo20,def_int_yds,0,,,,,
player,201011210oti,was,HollVo20,def_int_td,0,,,,,
player,201011210oti,was,HollVo20,def_int_long,0,,,,,
player,201011210oti,was,HollVo20,pass_defended,0,,,,,
player,201011210oti,was,HollVo20,sacks,1.0,,,,,
player,201011210oti,was,HollVo20,tackles_combined,2,,,,,
player,201011210oti,was,HollVo20,tackles_solo,2,,,,,
player,201011210oti,was,HollVo20,tackles_assists,0,,,,,
player,201011210oti,was,HollVo20,tackles_loss,1,,,,,
player,201011210oti,was,HollVo20,qb_hits,2,,,,,
player,201011210oti,was,HollVo20,fumbles_rec,0,,,,,
player,201011210oti,was,HollVo20,fumbles_rec_yds,0,,,,,
