game,2010,16,20101226,201012260jax,was,"Washington Redskins",20,jax,"Jacksonville Jaguars",17
player,201012260jax,was,WillKe03,rush_yds,8,,,,,
player,201012260jax,was,WillKe03,rush_td,0,,,,,
player,201012260jax,was,WillKe03,rush_long,10,,,,,
player,201012260jax,was,WillKe03,targets,3,,,,,
player,201012260jax,was,WillKe03,rec,1,,,,,
player,201012260jax,was,WillKe03,rec_yds,4,,,,,
player,201012260jax,was,WillKe03,rec_td,0,,,,,
player,201012260jax,was,WillKe03,rec_long,4,,,,,
player,201012260jax,was,WillKe03,fumbles,0,,,,,
player,201012260jax,was,WillKe03,fumbles_lost,,,,,,
player,201012260jax,was,SellMi00,pass_cmp,0,,,,,
player,201012260jax,was,SellMi00,pass_att,0,,,,,
player,201012260jax,was,SellMi00,pass_yds,0,,,,,
player,201012260jax,was,SellMi00,pass_td,0,,,,,
player,201012260jax,was,SellMi00,pass_int,0,,,,,
player,201012260jax,was,SellMi00,pass_sacked,,,,,,
player,201012260jax,was,SellMi00,pass_sacked_yds,,,,,,
player,201012260jax,was,SellMi00,pass_long,0,,,,,
player,201012260jax,was,SellMi00,pass_rating,,,,,,
player,201012260jax,was,SellMi00,rush_att,1,,,,,
player,201012260jax,was,SellMi00,rush_yds,1,,,,,
player,201012260jax,was,SellMi00,rush_td,0,,,,,
player,201012260jax,was,SellMi00,rush_long,1,,,,,
player,201012260jax,was,SellMi00,targets,2,,,,,
player,201012260jax,was,SellMi00,rec,0,,,,,
player,201012260jax,was,SellMi00,rec_yds,0,,,,,
player,201012260jax,was,SellMi00,rec_td,0,,,,,
player,201012260jax,was,SellMi00,rec_long,0,,,,,
player,201012260jax,was,SellMi00,fumbles,0,,,,,
player,201012260jax,was,SellMi00,fumbles_lost,,,,,,
player,201012260jax,was,MossSa00,pass_cmp,0,,,,,
player,201012260jax,was,MossSa00,pass_att,0,,,,,
player,201012260jax,was,MossSa00,pass_yds,0,,,,,
player,201012260jax,was,MossSa00,pass_td,0,,,,,
player,201012260jax,was,MossSa00,pass_int,0,,,,,
player,201012260jax,was,MossSa00,pass_sacked,,,,,,
player,201012260jax,was,MossSa00,pass_sacked_yds,,,,,,
player,201012260jax,was,MossSa00,pass_long,0,,,,,
player,201012260jax,was,MossSa00,pass_rating,,,,,,
player,201012260jax,was,MossSa00,rush_att,0,,,,,
player,201012260jax,was,MossSa00,rush_yds,0,,,,,
player,201012260jax,was,MossSa00,rush_td,0,,,,,
player,201012260jax,was,MossSa00,rush_long,0,,,,,
player,201012260jax,was,MossSa00,targets,9,,,,,
player,201012260jax,was,MossSa00,rec,5,,,,,
player,201012260jax,was,MossSa00,rec_yds,85,,,,,
player,201012260jax,was,MossSa00,rec_td,0,,,,,
player,201012260jax,was,MossSa00,rec_long,38,,,,,
player,201012260jax,was,MossSa00,fumbles,0,,,,,
player,201012260jax,was,MossSa00,fumbles_lost,,,,,,
player,201012260jax,was,CoolCh00,pass_cmp,0,,,,,
player,201012260jax,was,CoolCh00,pass_att,0,,,,,
player,201012260jax,was,CoolCh00,pass_yds,0,,,,,
player,201012260jax,was,CoolCh00,pass_td,0,,,,,
player,201012260jax,was,CoolCh00,pass_int,0,,,,,
player,201012260jax,was,CoolCh00,pass_sacked,,,,,,
player,201012260jax,was,CoolCh00,pass_sacked_yds,,,,,,
player,201012260jax,was,CoolCh00,pass_long,0,,,,,
player,201012260jax,was,CoolCh00,pass_rating,,,,,,
player,201012260jax,was,CoolCh00,rush_att,0,,,,,
player,201012260jax,was,CoolCh00,rush_yds,0,,,,,
player,201012260jax,was,CoolCh00,rush_td,0,,,,,
player,201012260jax,was,CoolCh00,rush_long,0,,,,,
player,201012260jax,was,CoolCh00,targets,11,,,,,
player,201012260jax,was,CoolCh00,rec,5,,,,,
player,201012260jax,was,CoolCh00,rec_yds,48,,,,,
player,201012260jax,was,CoolCh00,rec_td,0,,,,,
player,201012260jax,was,CoolCh00,rec_long,12,,,,,
player,201012260jax,was,CoolCh00,fumbles,0,,,,,
player,201012260jax,was,CoolCh00,fumbles_lost,,,,,,
player,201012260jax,was,ArmsAn00,pass_cmp,0,,,,,
player,201012260jax,was,ArmsAn00,pass_att,0,,,,,
player,201012260jax,was,ArmsAn00,pass_yds,0,,,,,
player,201012260jax,was,ArmsAn00,pass_td,0,,,,,
player,201012260jax,was,ArmsAn00,pass_int,0,,,,,
player,201012260jax,was,ArmsAn00,pass_sacked,,,,,,
player,201012260jax,was,ArmsAn00,pass_sacked_yds,,,,,,
player,201012260jax,was,ArmsAn00,pass_long,0,,,,,
player,201012260jax,was,ArmsAn00,pass_rating,,,,,,
player,201012260jax,was,ArmsAn00,rush_att,0,,,,,
player,201012260jax,was,ArmsAn00,rush_yds,0,,,,,
player,201012260jax,was,ArmsAn00,rush_td,0,,,,,
player,201012260jax,was,ArmsAn00,rush_long,0,,,,,
player,201012260jax,was,ArmsAn00,targets,3,,,,,
player,201012260jax,was,ArmsAn00,rec,2,,,,,
player,201012260jax,was,ArmsAn00,rec_yds,15,,,,,
player,201012260jax,was,ArmsAn00,rec_td,0,,,,,
player,201012260jax,was,ArmsAn00,rec_long,12,,,,,
player,201012260jax,was,ArmsAn00,fumbles,0,,,,,
player,201012260jax,was,ArmsAn00,fumbles_lost,,,,,,
player,201012260jax,was,WillRo05,pass_cmp,0,,,,,
player,201012260jax,was,WillRo05,pass_att,0,,,,,
player,201012260jax,was,WillRo05,pass_yds,0,,,,,
player,201012260jax,was,WillRo05,pass_td,0,,,,,
player,201012260jax,was,WillRo05,pass_int,0,,,,,
player,201012260jax,was,WillRo05,pass_sacked,,,,,,
player,201012260jax,was,WillRo05,pass_sacked_yds,,,,,,
player,201012260jax,was,WillRo05,pass_long,0,,,,,
player,201012260jax,was,WillRo05,pass_rating,,,,,,
player,201012260jax,was,WillRo05,rush_att,0,,,,,
player,201012260jax,was,WillRo05,rush_yds,0,,,,,
player,201012260jax,was,WillRo05,rush_td,0,,,,,
player,201012260jax,was,WillRo05,rush_long,0,,,,,
player,201012260jax,was,WillRo05,targets,2,,,,,
player,201012260jax,was,WillRo05,rec,1,,,,,
player,201012260jax,was,WillRo05,rec_yds,10,,,,,
player,201012260jax,was,WillRo05,rec_td,0,,,,,
player,201012260jax,was,WillRo05,rec_long,10,,,,,
player,201012260jax,was,WillRo05,fumbles,0,,,,,
player,201012260jax,was,WillRo05,fumbles_lost,,,,,,
player,201012260jax,was,DaviFr01,pass_cmp,0,,,,,
player,201012260jax,was,DaviFr01,pass_att,0,,,,,
player,201012260jax,was,DaviFr01,pass_yds,0,,,,,
player,201012260jax,was,DaviFr01,pass_td,0,,,,,
player,201012260jax,was,DaviFr01,pass_int,0,,,,,
player,201012260jax,was,DaviFr01,pass_sacked,,,,,,
player,201012260jax,was,DaviFr01,pass_sacked_yds,,,,,,
player,201012260jax,was,DaviFr01,pass_long,0,,,,,
player,201012260jax,was,DaviFr01,pass_rating,,,,,,
player,201012260jax,was,DaviFr01,rush_att,0,,,,,
player,201012260jax,was,DaviFr01,rush_yds,0,,,,,
player,201012260jax,was,DaviFr01,rush_td,0,,,,,
player,201012260jax,was,DaviFr01,rush_long,0,,,,,
player,201012260jax,was,DaviFr01,targets,4,,,,,
player,201012260jax,was,DaviFr01,rec,2,,,,,
player,201012260jax,was,DaviFr01,rec_yds,10,,,,,
player,201012260jax,was,DaviFr01,rec_td,1,,,,,
player,201012260jax,was,DaviFr01,rec_long,9,,,,,
player,201012260jax,was,DaviFr01,fumbles,0,,,,,
player,201012260jax,was,DaviFr01,fumbles_lost,,,,,,
player,201012260jax,was,AustTe00,pass_cmp,0,,,,,
player,201012260jax,was,AustTe00,pass_att,0,,,,,
player,201012260jax,was,AustTe00,pass_yds,0,,,,,
player,201012260jax,was,AustTe00,pass_td,0,,,,,
player,201012260jax,was,AustTe00,pass_int,0,,,,,
player,201012260jax,was,AustTe00,pass_sacked,,,,,,
player,201012260jax,was,AustTe00,pass_sacked_yds,,,,,,
player,201012260jax,was,AustTe00,pass_long,0,,,,,
player,201012260jax,was,AustTe00,pass_rating,,,,,,
player,201012260jax,was,AustTe00,rush_att,0,,,,,
player,201012260jax,was,AustTe00,rush_yds,0,,,,,
player,201012260jax,was,AustTe00,rush_td,0,,,,,
player,201012260jax,was,AustTe00,rush_long,0,,,,,
player,201012260jax,was,AustTe00,targets,2,,,,,
player,201012260jax,was,AustTe00,rec,1,,,,,
player,201012260jax,was,AustTe00,rec_yds,6,,,,,
player,201012260jax,was,AustTe00,rec_td,0,,,,,
player,201012260jax,was,AustTe00,rec_long,6,,,,,
player,201012260jax,was,AustTe00,fumbles,0,,,,,
player,201012260jax,was,AustTe00,fumbles_lost,,,,,,
player,201012260jax,jax,GarrDa00,pass_cmp,22,,,,,
player,201012260jax,jax,GarrDa00,pass_att,38,,,,,
player,201012260jax,jax,GarrDa00,pass_yds,299,,,,,
player,201012260jax,jax,GarrDa00,pass_td,1,,,,,
player,201012260jax,jax,GarrDa00,pass_int,2,,,,,
player,201012260jax,jax,GarrDa00,pass_sacked,4,,,,,
player,201012260jax,jax,GarrDa00,pass_sacked_yds,41,,,,,
player,201012260jax,jax,GarrDa00,pass_long,37,,,,,
player,201012260jax,jax,GarrDa00,pass_rating,70.0,,,,,
player,201012260jax,jax,GarrDa00,rush_att,6,,,,,
player,201012260jax,jax,GarrDa00,rush_yds,39,,,,,
player,201012260jax,jax,GarrDa00,rush_td,1,,,,,
player,201012260jax,jax,GarrDa00,rush_long,20,,,,,
player,201012260jax,jax,GarrDa00,targets,0,,,,,
player,201012260jax,jax,GarrDa00,rec,0,,,,,
player,201012260jax,jax,GarrDa00,rec_yds,0,,,,,
player,201012260jax,jax,GarrDa00,rec_td,0,,,,,
player,201012260jax,jax,GarrDa00,rec_long,0,,,,,
player,201012260jax,jax,GarrDa00,fumbles,2,,,,,
player,201012260jax,jax,GarrDa00,fumbles_lost,0,,,,,
player,201012260jax,jax,JennRa00,pass_cmp,0,,,,,
player,201012260jax,jax,JennRa00,pass_att,0,,,,,
player,201012260jax,jax,JennRa00,pass_yds,0,,,,,
player,201012260jax,jax,JennRa00,pass_td,0,,,,,
player,201012260jax,jax,JennRa00,pass_int,0,,,,,
player,201012260jax,jax,JennRa00,pass_sacked,,,,,,
player,201012260jax,jax,JennRa00,pass_sacked_yds,,,,,,
player,201012260jax,jax,JennRa00,pass_long,0,,,,,
player,201012260jax,jax,JennRa00,pass_rating,,,,,,
player,201012260jax,jax,JennRa00,rush_att,15,,,,,
player,201012260jax,jax,JennRa00,rush_yds,32,,,,,
player,201012260jax,jax,JennRa00,rush_td,0,,,,,
player,201012260jax,jax,JennRa00,rush_long,8,,,,,
player,201012260jax,jax,JennRa00,targets,4,,,,,
player,201012260jax,jax,JennRa00,rec,4,,,,,
player,201012260jax,jax,JennRa00,rec_yds,29,,,,,
player,201012260jax,jax,JennRa00,rec_td,0,,,,,
player,201012260jax,jax,JennRa00,rec_long,14,,,,,
player,201012260jax,jax,JennRa00,fumbles,0,,,,,
player,201012260jax,jax,JennRa00,fumbles_lost,,,,,,
player,201012260jax,jax,ThomMi01,pass_cmp,0,,,,,
player,201012260jax,jax,ThomMi01,pass_att,0,,,,,
player,201012260jax,jax,ThomMi01,pass_yds,0,,,,,
player,201012260jax,jax,ThomMi01,pass_td,0,,,,,
player,201012260jax,jax,ThomMi01,pass_int,0,,,,,
player,201012260jax,jax,ThomMi01,pass_sacked,,,,,,
player,201012260jax,jax,ThomMi01,pass_sacked_yds,,,,,,
player,201012260jax,jax,ThomMi01,pass_long,0,,,,,
player,201012260jax,jax,ThomMi01,pass_rating,,,,,,
player,201012260jax,jax,ThomMi01,rush_att,1,,,,,
player,201012260jax,jax,ThomMi01,rush_yds,4,,,,,
player,201012260jax,jax,ThomMi01,rush_td,0,,,,,
player,201012260jax,jax,ThomMi01,rush_long,4,,,,,
player,201012260jax,jax,ThomMi01,targets,9,,,,,
player,201012260jax,jax,ThomMi01,rec,6,,,,,
player,201012260jax,jax,ThomMi01,rec_yds,96,,,,,
player,201012260jax,jax,ThomMi01,rec_td,1,,,,,
player,201012260jax,jax,ThomMi01,rec_long,26,,,,,
player,201012260jax,jax,ThomMi01,fumbles,0,,,,,
player,201012260jax,jax,ThomMi01,fumbles_lost,,,,,,
player,201012260jax,jax,KariDe00,pass_cmp,0,,,,,
player,201012260jax,jax,KariDe00,pass_att,0,,,,,
player,201012260jax,jax,KariDe00,pass_yds,0,,,,,
player,201012260jax,jax,KariDe00,pass_td,0,,,,,
player,201012260jax,jax,KariDe00,pass_int,0,,,,,
player,201012260jax,jax,KariDe00,pass_sacked,,,,,,
player,201012260jax,jax,KariDe00,pass_sacked_yds,,,,,,
player,201012260jax,jax,KariDe00,pass_long,0,,,,,
player,201012260jax,jax,KariDe00,pass_rating,,,,,,
player,201012260jax,jax,KariDe00,rush_att,1,,,,,
player,201012260jax,jax,KariDe00,rush_yds,3,,,,,
player,201012260jax,jax,KariDe00,rush_td,0,,,,,
player,201012260jax,jax,KariDe00,rush_long,3,,,,,
player,201012260jax,jax,KariDe00,targets,0,,,,,
player,201012260jax,jax,KariDe00,rec,0,,,,,
player,201012260jax,jax,KariDe00,rec_yds,0,,,,,
player,201012260jax,jax,KariDe00,rec_td,0,,,,,
player,201012260jax,jax,KariDe00,rec_long,0,,,,,
player,201012260jax,jax,KariDe00,fumbles,0,,,,,
player,201012260jax,jax,KariDe00,fumbles_lost,,,,,,
player,201012260jax,jax,HillJa00,pass_cmp,0,,,,,
player,201012260jax,jax,HillJa00,pass_att,0,,,,,
player,201012260jax,jax,HillJa00,pass_yds,0,,,,,
player,201012260jax,jax,HillJa00,pass_td,0,,,,,
player,201012260jax,jax,HillJa00,pass_int,0,,,,,
player,201012260jax,jax,HillJa00,pass_sacked,,,,,,
player,201012260jax,jax,HillJa00,pass_sacked_yds,,,,,,
player,201012260jax,jax,HillJa00,pass_long,0,,,,,
player,201012260jax,jax,HillJa00,pass_rating,,,,,,
player,201012260jax,jax,HillJa00,rush_att,0,,,,,
player,201012260jax,jax,HillJa00,rush_yds,0,,,,,
player,201012260jax,jax,HillJa00,rush_td,0,,,,,
player,201012260jax,jax,HillJa00,rush_long,0,,,,,
player,201012260jax,jax,HillJa00,targets,9,,,,,
player,201012260jax,jax,HillJa00,rec,4,,,,,
player,201012260jax,jax,HillJa00,rec_yds,77,,,,,
player,201012260jax,jax,HillJa00,rec_td,0,,,,,
player,201012260jax,jax,HillJa00,rec_long,37,,,,,
player,201012260jax,jax,HillJa00,fumbles,0,,,,,
player,201012260jax,jax,HillJa00,fumbles_lost,,,,,,
player,201012260jax,jax,LewiMa00,pass_cmp,0,,,,,
player,201012260jax,jax,LewiMa00,pass_att,0,,,,,
player,201012260jax,jax,LewiMa00,pass_yds,0,,,,,
player,201012260jax,jax,LewiMa00,pass_td,0,,,,,
player,201012260jax,jax,LewiMa00,pass_int,0,,,,,
player,201012260jax,jax,LewiMa00,pass_sacked,,,,,,
player,201012260jax,jax,LewiMa00,pass_sacked_yds,,,,,,
player,201012260jax,jax,LewiMa00,pass_long,0,,,,,
player,201012260jax,jax,LewiMa00,pass_rating,,,,,,
player,201012260jax,jax,LewiMa00,rush_att,0,,,,,
player,201012260jax,jax,LewiMa00,rush_yds,0,,,,,
player,201012260jax,jax,LewiMa00,rush_td,0,,,,,
player,201012260jax,jax,LewiMa00,rush_long,0,,,,,
player,201012260jax,jax,LewiMa00,targets,7,,,,,
player,201012260jax,jax,LewiMa00,rec,3,,,,,
player,201012260jax,jax,LewiMa00,rec_yds,37,,,,,
player,201012260jax,jax,LewiMa00,rec_td,0,,,,,
player,201012260jax,jax,LewiMa00,rec_long,26,,,,,
player,201012260jax,jax,LewiMa00,fumbles,0,,,,,
player,201012260jax,jax,LewiMa00,fumbles_lost,,,,,,
player,201012260jax,jax,WalkMi01,pass_cmp,0,,,,,
player,201012260jax,jax,WalkMi01,pass_att,0,,,,,
player,201012260jax,jax,WalkMi01,pass_yds,0,,,,,
player,201012260jax,jax,WalkMi01,pass_td,0,,,,,
player,201012260jax,jax,WalkMi01,pass_int,0,,,,,
player,201012260jax,jax,WalkMi01,pass_sacked,,,,,,
player,201012260jax,jax,WalkMi01,pass_sacked_yds,,,,,,
player,201012260jax,jax,WalkMi01,pass_long,0,,,,,
player,201012260jax,jax,WalkMi01,pass_rating,,,,,,
player,201012260jax,jax,WalkMi01,rush_att,0,,,,,
player,201012260jax,jax,WalkMi01,rush_yds,0,,,,,
player,201012260jax,jax,WalkMi01,rush_td,0,,,,,
player,201012260jax,jax,WalkMi01,rush_long,0,,,,,
player,201012260jax,jax,WalkMi01,targets,1,,,,,
player,201012260jax,jax,WalkMi01,rec,1,,,,,
player,201012260jax,jax,WalkMi01,rec_yds,31,,,,,
player,201012260jax,jax,WalkMi01,rec_td,0,,,,,
player,201012260jax,jax,WalkMi01,rec_long,31,,,,,
player,201012260jax,jax,WalkMi01,fumbles,0,,,,,
player,201012260jax,jax,WalkMi01,fumbles_lost,,,,,,
player,201012260jax,jax,BoleBr00,pass_cmp,0,,,,,
player,201012260jax,jax,BoleBr00,pass_att,0,,,,,
player,201012260jax,jax,BoleBr00,pass_yds,0,,,,,
player,201012260jax,jax,BoleBr00,pass_td,0,,,,,
player,201012260jax,jax,BoleBr00,pass_int,0,,,,,
player,201012260jax,jax,BoleBr00,pass_sacked,,,,,,
player,201012260jax,jax,BoleBr00,pass_sacked_yds,,,,,,
player,201012260jax,jax,BoleBr00,pass_long,0,,,,,
player,201012260jax,jax,BoleBr00,pass_rating,,,,,,
player,201012260jax,jax,BoleBr00,rush_att,0,,,,,
player,201012260jax,jax,BoleBr00,rush_yds,0,,,,,
player,201012260jax,jax,BoleBr00,rush_td,0,,,,,
player,201012260jax,jax,BoleBr00,rush_long,0,,,,,
player,201012260jax,jax,BoleBr00,targets,3,,,,,
player,201012260jax,jax,BoleBr00,rec,1,,,,,
player,201012260jax,jax,BoleBr00,rec_yds,15,,,,,
player,201012260jax,jax,BoleBr00,rec_td,0,,,,,
player,201012260jax,jax,BoleBr00,rec_long,15,,,,,
player,201012260jax,jax,BoleBr00,fumbles,0,,,,,
player,201012260jax,jax,BoleBr00,fumbles_lost,,,,,,
player,201012260jax,jax,PottZa99,pass_cmp,0,,,,,
player,201012260jax,jax,PottZa99,pass_att,0,,,,,
player,201012260jax,jax,PottZa99,pass_yds,0,,,,,
player,201012260jax,jax,PottZa99,pass_td,0,,,,,
player,201012260jax,jax,PottZa99,pass_int,0,,,,,
player,201012260jax,jax,PottZa99,pass_sacked,,,,,,
player,201012260jax,jax,PottZa99,pass_sacked_yds,,,,,,
player,201012260jax,jax,PottZa99,pass_long,0,,,,,
player,201012260jax,jax,PottZa99,pass_rating,,,,,,
player,201012260jax,jax,PottZa99,rush_att,0,,,,,
player,201012260jax,jax,PottZa99,rush_yds,0,,,,,
player,201012260jax,jax,PottZa99,rush_td,0,,,,,
player,201012260jax,jax,PottZa99,rush_long,0,,,,,
player,201012260jax,jax,PottZa99,targets,3,,,,,
player,201012260jax,jax,PottZa99,rec,2,,,,,
player,201012260jax,jax,PottZa99,rec_yds,14,,,,,
player,201012260jax,jax,PottZa99,rec_td,0,,,,,
player,201012260jax,jax,PottZa99,rec_long,8,,,,,
player,201012260jax,jax,PottZa99,fumbles,0,,,,,
player,201012260jax,jax,PottZa99,fumbles_lost,,,,,,
player,201012260jax,jax,MillZa02,pass_cmp,0,,,,,
player,201012260jax,jax,MillZa02,pass_att,0,,,,,
player,201012260jax,jax,MillZa02,pass_yds,0,,,,,
player,201012260jax,jax,MillZa02,pass_td,0,,,,,
player,201012260jax,jax,MillZa02,pass_int,0,,,,,
player,201012260jax,jax,MillZa02,pass_sacked,,,,,,
player,201012260jax,jax,MillZa02,pass_sacked_yds,,,,,,
player,201012260jax,jax,MillZa02,pass_long,0,,,,,
player,201012260jax,jax,MillZa02,pass_rating,,,,,,
player,201012260jax,jax,MillZa02,rush_att,0,,,,,
player,201012260jax,jax,MillZa02,rush_yds,0,,,,,
player,201012260jax,jax,MillZa02,rush_td,0,,,,,
player,201012260jax,jax,MillZa02,rush_long,0,,,,,
player,201012260jax,jax,MillZa02,targets,1,,,,,
player,201012260jax,jax,MillZa02,rec,0,,,,,
player,201012260jax,jax,MillZa02,rec_yds,0,,,,,
player,201012260jax,jax,MillZa02,rec_td,0,,,,,
player,201012260jax,jax,MillZa02,rec_long,0,,,,,
player,201012260jax,jax,MillZa02,fumbles,0,,,,,
player,201012260jax,jax,MillZa02,fumbles_lost,,,,,,
player,201012260jax,jax,JoneGr01,pass_cmp,0,,,,,
player,201012260jax,jax,JoneGr01,pass_att,0,,,,,
player,201012260jax,jax,JoneGr01,pass_yds,0,,,,,
player,201012260jax,jax,JoneGr01,pass_td,0,,,,,
player,201012260jax,jax,JoneGr01,pass_int,0,,,,,
player,201012260jax,jax,JoneGr01,pass_sacked,,,,,,
player,201012260jax,jax,JoneGr01,pass_sacked_yds,,,,,,
player,201012260jax,jax,JoneGr01,pass_long,0,,,,,
player,201012260jax,jax,JoneGr01,pass_rating,,,,,,
player,201012260jax,jax,JoneGr01,rush_att,0,,,,,
player,201012260jax,jax,JoneGr01,rush_yds,0,,,,,
player,201012260jax,jax,JoneGr01,rush_td,0,,,,,
player,201012260jax,jax,JoneGr01,rush_long,0,,,,,
player,201012260jax,jax,JoneGr01,targets,1,,,,,
player,201012260jax,jax,JoneGr01,rec,1,,,,,
player,201012260jax,jax,JoneGr01,rec_yds,0,,,,,
player,201012260jax,jax,JoneGr01,rec_td,0,,,,,
player,201012260jax,jax,JoneGr01,rec_long,0,,,,,
player,201012260jax,jax,JoneGr01,fumbles,0,,,,,
player,201012260jax,jax,JoneGr01,fumbles_lost,,,,,,
player,201012260jax,was,BarnKe99,def_int,1,,,,,
player,201012260jax,was,BarnKe99,def_int_yds,8,,,,,
player,201012260jax,was,BarnKe99,def_int_td,0,,,,,
player,201012260jax,was,BarnKe99,def_int_long,8,,,,,
player,201012260jax,was,BarnKe99,pass_defended,1,,,,,
player,201012260jax,was,BarnKe99,sacks,0.0,,,,,
player,201012260jax,was,BarnKe99,tackles_combined,3,,,,,
player,201012260jax,was,BarnKe99,tackles_solo,3,,,,,
player,201012260jax,was,BarnKe99,tackles_assists,0,,,,,
player,201012260jax,was,BarnKe99,tackles_loss,0,,,,,
player,201012260jax,was,BarnKe99,qb_hits,0,,,,,
player,201012260jax,was,BarnKe99,fumbles_rec,0,,,,,
player,201012260jax,was,BarnKe99,fumbles_rec_yds,0,,,,,
player,201012260jax,was,BarnKe99,fumbles_rec_td,0,,,,,
player,201012260jax,was,BarnKe99,fumbles_forced,0,,,,,
player,201012260jax,was,RogeCa20,def_int,1,,,,,
player,201012260jax,was,RogeCa20,def_int_yds,38,,,,,
player,201012260jax,was,RogeCa20,def_int_td,0,,,,,
player,201012260jax,was,RogeCa20,def_int_long,38,,,,,
player,201012260jax,was,RogeCa20,pass_defended,2,,,,,
player,201012260jax,was,RogeCa20,sacks,0.0,,,,,
player,201012260jax,was,RogeCa20,tackles_combined,3,,,,,
player,201012260jax,was,RogeCa20,tackles_solo,3,,,,,
player,201012260jax,was,RogeCa20,tackles_assists,0,,,,,
player,201012260jax,was,RogeCa20,tackles_loss,0,,,,,
