game,2010,13,20101205,201012050min,buf,"Buffalo Bills",14,min,"Minnesota Vikings",38
player,201012050min,buf,SpilC.00,pass_sacked,,,,,,
player,201012050min,buf,SpilC.00,pass_sacked_yds,,,,,,
player,201012050min,buf,SpilC.00,pass_long,0,,,,,
player,201012050min,buf,SpilC.00,pass_rating,,,,,,
player,201012050min,buf,SpilC.00,rush_att,7,,,,,
player,201012050min,buf,SpilC.00,rush_yds,35,,,,,
player,201012050min,buf,SpilC.00,rush_td,0,,,,,
player,201012050min,buf,SpilC.00,rush_long,20,,,,,
player,201012050min,buf,SpilC.00,targets,2,,,,,
player,201012050min,buf,SpilC.00,rec,2,,,,,
player,201012050min,buf,SpilC.00,rec_yds,1,,,,,
player,201012050min,buf,SpilC.00,rec_td,0,,,,,
player,201012050min,buf,SpilC.00,rec_long,4,,,,,
player,201012050min,buf,SpilC.00,fumbles,0,,,,,
player,201012050min,buf,SpilC.00,fumbles_lost,,,,,,
player,201012050min,buf,JoneDo00,pass_cmp,0,,,,,
player,201012050min,buf,JoneDo00,pass_att,0,,,,,
player,201012050min,buf,JoneDo00,pass_yds,0,,,,,
player,201012050min,buf,JoneDo00,pass_td,0,,,,,
player,201012050min,buf,JoneDo00,pass_int,0,,,,,
player,201012050min,buf,JoneDo00,pass_sacked,,,,,,
player,201012050min,buf,JoneDo00,pass_sacked_yds,,,,,,
player,201012050min,buf,JoneDo00,pass_long,0,,,,,
player,201012050min,buf,JoneDo00,pass_rating,,,,,,
player,201012050min,buf,JoneDo00,rush_att,1,,,,,
player,201012050min,buf,JoneDo00,rush_yds,2,,,,,
player,201012050min,buf,JoneDo00,rush_td,0,,,,,
player,201012050min,buf,JoneDo00,rush_long,2,,,,,
player,201012050min,buf,JoneDo00,targets,3,,,,,
player,201012050min,buf,JoneDo00,rec,1,,,,,
player,201012050min,buf,JoneDo00,rec_yds,1,,,,,
player,201012050min,buf,JoneDo00,rec_td,0,,,,,
player,201012050min,buf,JoneDo00,rec_long,1,,,,,
player,201012050min,buf,JoneDo00,fumbles,0,,,,,
player,201012050min,buf,JoneDo00,fumbles_lost,,,,,,
player,201012050min,buf,EvanLe00,pass_cmp,0,,,,,
player,201012050min,buf,EvanLe00,pass_att,0,,,,,
player,201012050min,buf,EvanLe00,pass_yds,0,,,,,
player,201012050min,buf,EvanLe00,pass_td,0,,,,,
player,201012050min,buf,EvanLe00,pass_int,0,,,,,
player,201012050min,buf,EvanLe00,pass_sacked,,,,,,
player,201012050min,buf,EvanLe00,pass_sacked_yds,,,,,,
player,201012050min,buf,EvanLe00,pass_long,0,,,,,
player,201012050min,buf,EvanLe00,pass_rating,,,,,,
player,201012050min,buf,EvanLe00,rush_att,0,,,,,
player,201012050min,buf,EvanLe00,rush_yds,0,,,,,
player,201012050min,buf,EvanLe00,rush_td,0,,,,,
player,201012050min,buf,EvanLe00,rush_long,0,,,,,
player,201012050min,buf,EvanLe00,targets,6,,,,,
player,201012050min,buf,EvanLe00,rec,3,,,,,
player,201012050min,buf,EvanLe00,rec_yds,72,,,,,
player,201012050min,buf,EvanLe00,rec_td,0,,,,,
player,201012050min,buf,EvanLe00,rec_long,26,,,,,
player,201012050min,buf,EvanLe00,fumbles,0,,,,,
player,201012050min,buf,EvanLe00,fumbles_lost,,,,,,
player,201012050min,buf,JohnSt00,pass_cmp,0,,,,,
player,201012050min,buf,JohnSt00,pass_att,0,,,,,
player,201012050min,buf,JohnSt00,pass_yds,0,,,,,
player,201012050min,buf,JohnSt00,pass_td,0,,,,,
player,201012050min,buf,JohnSt00,pass_int,0,,,,,
player,201012050min,buf,JohnSt00,pass_sacked,,,,,,
player,201012050min,buf,JohnSt00,pass_sacked_yds,,,,,,
player,201012050min,buf,JohnSt00,pass_long,0,,,,,
player,201012050min,buf,JohnSt00,pass_rating,,,,,,
player,201012050min,buf,JohnSt00,rush_att,0,,,,,
player,201012050min,buf,JohnSt00,rush_yds,0,,,,,
player,201012050min,buf,JohnSt00,rush_td,0,,,,,
player,201012050min,buf,JohnSt00,rush_long,0,,,,,
player,201012050min,buf,JohnSt00,targets,4,,,,,
player,201012050min,buf,JohnSt00,rec,2,,,,,
player,201012050min,buf,JohnSt00,rec_yds,36,,,,,
player,201012050min,buf,JohnSt00,rec_td,0,,,,,
player,201012050min,buf,JohnSt00,rec_long,28,,,,,
player,201012050min,buf,JohnSt00,fumbles,0,,,,,
player,201012050min,buf,JohnSt00,fumbles_lost,,,,,,
player,201012050min,buf,NelsDa01,pass_cmp,0,,,,,
player,201012050min,buf,NelsDa01,pass_att,0,,,,,
player,201012050min,buf,NelsDa01,pass_yds,0,,,,,
player,201012050min,buf,NelsDa01,pass_td,0,,,,,
player,201012050min,buf,NelsDa01,pass_int,0,,,,,
player,201012050min,buf,NelsDa01,pass_sacked,,,,,,
player,201012050min,buf,NelsDa01,pass_sacked_yds,,,,,,
player,201012050min,buf,NelsDa01,pass_long,0,,,,,
player,201012050min,buf,NelsDa01,pass_rating,,,,,,
player,201012050min,buf,NelsDa01,rush_att,0,,,,,
player,201012050min,buf,NelsDa01,rush_yds,0,,,,,
player,201012050min,buf,NelsDa01,rush_td,0,,,,,
player,201012050min,buf,NelsDa01,rush_long,0,,,,,
player,201012050min,buf,NelsDa01,targets,4,,,,,
player,201012050min,buf,NelsDa01,rec,4,,,,,
player,201012050min,buf,NelsDa01,rec_yds,34,,,,,
player,201012050min,buf,NelsDa01,rec_td,1,,,,,
player,201012050min,buf,NelsDa01,rec_long,12,,,,,
player,201012050min,buf,NelsDa01,fumbles,0,,,,,
player,201012050min,buf,NelsDa01,fumbles_lost,,,,,,
player,201012050min,buf,McInCo00,pass_cmp,0,,,,,
player,201012050min,buf,McInCo00,pass_att,0,,,,,
player,201012050min,buf,McInCo00,pass_yds,0,,,,,
player,201012050min,buf,McInCo00,pass_td,0,,,,,
player,201012050min,buf,McInCo00,pass_int,0,,,,,
player,201012050min,buf,McInCo00,pass_sacked,,,,,,
player,201012050min,buf,McInCo00,pass_sacked_yds,,,,,,
player,201012050min,buf,McInCo00,pass_long,0,,,,,
player,201012050min,buf,McInCo00,pass_rating,,,,,,
player,201012050min,buf,McInCo00,rush_att,0,,,,,
player,201012050min,buf,McInCo00,rush_yds,0,,,,,
player,201012050min,buf,McInCo00,rush_td,0,,,,,
player,201012050min,buf,McInCo00,rush_long,0,,,,,
player,201012050min,buf,McInCo00,targets,2,,,,,
player,201012050min,buf,McInCo00,rec,1,,,,,
player,201012050min,buf,McInCo00,rec_yds,8,,,,,
player,201012050min,buf,McInCo00,rec_td,0,,,,,
player,201012050min,buf,McInCo00,rec_long,8,,,,,
player,201012050min,buf,McInCo00,fumbles,1,,,,,
player,201012050min,buf,McInCo00,fumbles_lost,1,,,,,
player,201012050min,buf,MartDa00,pass_cmp,0,,,,,
player,201012050min,buf,MartDa00,pass_att,0,,,,,
player,201012050min,buf,MartDa00,pass_yds,0,,,,,
player,201012050min,buf,MartDa00,pass_td,0,,,,,
player,201012050min,buf,MartDa00,pass_int,0,,,,,
player,201012050min,buf,MartDa00,pass_sacked,,,,,,
player,201012050min,buf,MartDa00,pass_sacked_yds,,,,,,
player,201012050min,buf,MartDa00,pass_long,0,,,,,
player,201012050min,buf,MartDa00,pass_rating,,,,,,
player,201012050min,buf,MartDa00,rush_att,0,,,,,
player,201012050min,buf,MartDa00,rush_yds,0,,,,,
player,201012050min,buf,MartDa00,rush_td,0,,,,,
player,201012050min,buf,MartDa00,rush_long,0,,,,,
player,201012050min,buf,MartDa00,targets,1,,,,,
player,201012050min,buf,MartDa00,rec,1,,,,,
player,201012050min,buf,MartDa00,rec_yds,0,,,,,
player,201012050min,buf,MartDa00,rec_td,0,,,,,
player,201012050min,buf,MartDa00,rec_long,0,,,,,
player,201012050min,buf,MartDa00,fumbles,0,,,,,
player,201012050min,buf,MartDa00,fumbles_lost,,,,,,
player,201012050min,min,JackTa00,pass_cmp,15,,,,,
player,201012050min,min,JackTa00,pass_att,22,,,,,
player,201012050min,min,JackTa00,pass_yds,187,,,,,
player,201012050min,min,JackTa00,pass_td,2,,,,,
player,201012050min,min,JackTa00,pass_int,3,,,,,
player,201012050min,min,JackTa00,pass_sacked,1,,,,,
player,201012050min,min,JackTa00,pass_sacked_yds,10,,,,,
player,201012050min,min,JackTa00,pass_long,46,,,,,
player,201012050min,min,JackTa00,pass_rating,85.0,,,,,
player,201012050min,min,JackTa00,rush_att,2,,,,,
player,201012050min,min,JackTa00,rush_yds,22,,,,,
player,201012050min,min,JackTa00,rush_td,0,,,,,
player,201012050min,min,JackTa00,rush_long,13,,,,,
player,201012050min,min,JackTa00,targets,0,,,,,
player,201012050min,min,JackTa00,rec,0,,,,,
player,201012050min,min,JackTa00,rec_yds,0,,,,,
player,201012050min,min,JackTa00,rec_td,0,,,,,
player,201012050min,min,JackTa00,rec_long,0,,,,,
player,201012050min,min,JackTa00,fumbles,0,,,,,
player,201012050min,min,JackTa00,fumbles_lost,,,,,,
player,201012050min,min,FavrBr00,pass_cmp,0,,,,,
player,201012050min,min,FavrBr00,pass_att,1,,,,,
player,201012050min,min,FavrBr00,pass_yds,0,,,,,
player,201012050min,min,FavrBr00,pass_td,0,,,,,
player,201012050min,min,FavrBr00,pass_int,1,,,,,
player,201012050min,min,FavrBr00,pass_sacked,0,,,,,
player,201012050min,min,FavrBr00,pass_sacked_yds,0,,,,,
player,201012050min,min,FavrBr00,pass_long,0,,,,,
player,201012050min,min,FavrBr00,pass_rating,0.0,,,,,
player,201012050min,min,FavrBr00,rush_att,0,,,,,
player,201012050min,min,FavrBr00,rush_yds,0,,,,,
player,201012050min,min,FavrBr00,rush_td,0,,,,,
player,201012050min,min,FavrBr00,rush_long,0,,,,,
player,201012050min,min,FavrBr00,targets,0,,,,,
player,201012050min,min,FavrBr00,rec,0,,,,,
player,201012050min,min,FavrBr00,rec_yds,0,,,,,
player,201012050min,min,FavrBr00,rec_td,0,,,,,
player,201012050min,min,FavrBr00,rec_long,0,,,,,
player,201012050min,min,FavrBr00,fumbles,0,,,,,
player,201012050min,min,FavrBr00,fumbles_lost,,,,,,
player,201012050min,min,PeteAd01,pass_cmp,0,,,,,
player,201012050min,min,PeteAd01,pass_att,0,,,,,
player,201012050min,min,PeteAd01,pass_yds,0,,,,,
player,201012050min,min,PeteAd01,pass_td,0,,,,,
player,201012050min,min,PeteAd01,pass_int,0,,,,,
player,201012050min,min,PeteAd01,pass_sacked,,,,,,
player,201012050min,min,PeteAd01,pass_sacked_yds,,,,,,
player,201012050min,min,PeteAd01,pass_long,0,,,,,
player,201012050min,min,PeteAd01,pass_rating,,,,,,
player,201012050min,min,PeteAd01,rush_att,16,,,,,
player,201012050min,min,PeteAd01,rush_yds,107,,,,,
player,201012050min,min,PeteAd01,rush_td,3,,,,,
player,201012050min,min,PeteAd01,rush_long,43,,,,,
player,201012050min,min,PeteAd01,targets,1,,,,,
player,201012050min,min,PeteAd01,rec,1,,,,,
player,201012050min,min,PeteAd01,rec_yds,1,,,,,
player,201012050min,min,PeteAd01,rec_td,0,,,,,
player,201012050min,min,PeteAd01,rec_long,1,,,,,
player,201012050min,min,PeteAd01,fumbles,0,,,,,
player,201012050min,min,PeteAd01,fumbles_lost,,,,,,
player,201012050min,min,GerhTo00,pass_cmp,0,,,,,
player,201012050min,min,GerhTo00,pass_att,0,,,,,
player,201012050min,min,GerhTo00,pass_yds,0,,,,,
player,201012050min,min,GerhTo00,pass_td,0,,,,,
player,201012050min,min,GerhTo00,pass_int,0,,,,,
player,201012050min,min,GerhTo00,pass_sacked,,,,,,
player,201012050min,min,GerhTo00,pass_sacked_yds,,,,,,
player,201012050min,min,GerhTo00,pass_long,0,,,,,
player,201012050min,min,GerhTo00,pass_rating,,,,,,
player,201012050min,min,GerhTo00,rush_att,12,,,,,
player,201012050min,min,GerhTo00,rush_yds,54,,,,,
player,201012050min,min,GerhTo00,rush_td,0,,,,,
player,201012050min,min,GerhTo00,rush_long,13,,,,,
player,201012050min,min,GerhTo00,targets,2,,,,,
player,201012050min,min,GerhTo00,rec,1,,,,,
player,201012050min,min,GerhTo00,rec_yds,-2,,,,,
player,201012050min,min,GerhTo00,rec_td,0,,,,,
player,201012050min,min,GerhTo00,rec_long,-2,,,,,
player,201012050min,min,GerhTo00,fumbles,0,,,,,
player,201012050min,min,GerhTo00,fumbles_lost,,,,,,
player,201012050min,min,YounAl01,pass_cmp,0,,,,,
player,201012050min,min,YounAl01,pass_att,0,,,,,
player,201012050min,min,YounAl01,pass_yds,0,,,,,
player,201012050min,min,YounAl01,pass_td,0,,,,,
player,201012050min,min,YounAl01,pass_int,0,,,,,
player,201012050min,min,YounAl01,pass_sacked,,,,,,
player,201012050min,min,YounAl01,pass_sacked_yds,,,,,,
player,201012050min,min,YounAl01,pass_long,0,,,,,
player,201012050min,min,YounAl01,pass_rating,,,,,,
player,201012050min,min,YounAl01,rush_att,10,,,,,
player,201012050min,min,YounAl01,rush_yds,27,,,,,
player,201012050min,min,YounAl01,rush_td,0,,,,,
player,201012050min,min,YounAl01,rush_long,6,,,,,
player,201012050min,min,YounAl01,targets,0,,,,,
player,201012050min,min,YounAl01,rec,0,,,,,
player,201012050min,min,YounAl01,rec_yds,0,,,,,
player,201012050min,min,YounAl01,rec_td,0,,,,,
player,201012050min,min,YounAl01,rec_long,0,,,,,
player,201012050min,min,YounAl01,fumbles,0,,,,,
player,201012050min,min,YounAl01,fumbles_lost,,,,,,
player,201012050min,min,RiceSi01,pass_cmp,0,,,,,
player,201012050min,min,RiceSi01,pass_att,0,,,,,
player,201012050min,min,RiceSi01,pass_yds,0,,,,,
player,201012050min,min,RiceSi01,pass_td,0,,,,,
player,201012050min,min,RiceSi01,pass_int,0,,,,,
player,201012050min,min,RiceSi01,pass_sacked,,,,,,
player,201012050min,min,RiceSi01,pass_sacked_yds,,,,,,
player,201012050min,min,RiceSi01,pass_long,0,,,,,
player,201012050min,min,RiceSi01,pass_rating,,,,,,
player,201012050min,min,RiceSi01,rush_att,0,,,,,
player,201012050min,min,RiceSi01,rush_yds,0,,,,,
player,201012050min,min,RiceSi01,rush_td,0,,,,,
player,201012050min,min,RiceSi01,rush_long,0,,,,,
player,201012050min,min,RiceSi01,targets,6,,,,,
player,201012050min,min,RiceSi01,rec,5,,,,,
player,201012050min,min,RiceSi01,rec_yds,105,,,,,
player,201012050min,min,RiceSi01,rec_td,2,,,,,
player,201012050min,min,RiceSi01,rec_long,46,,,,,
player,201012050min,min,RiceSi01,fumbles,0,,,,,
player,201012050min,min,RiceSi01,fumbles_lost,,,,,,
player,201012050min,min,CamaGr00,pass_cmp,0,,,,,
player,201012050min,min,CamaGr00,pass_att,0,,,,,
player,201012050min,min,CamaGr00,pass_yds,0,,,,,
player,201012050min,min,CamaGr00,pass_td,0,,,,,
player,201012050min,min,CamaGr00,pass_int,0,,,,,
player,201012050min,min,CamaGr00,pass_sacked,,,,,,
player,201012050min,min,CamaGr00,pass_sacked_yds,,,,,,
player,201012050min,min,CamaGr00,pass_long,0,,,,,
player,201012050min,min,CamaGr00,pass_rating,,,,,,
player,201012050min,min,CamaGr00,rush_att,0,,,,,
player,201012050min,min,CamaGr00,rush_yds,0,,,,,
player,201012050min,min,CamaGr00,rush_td,0,,,,,
player,201012050min,min,CamaGr00,rush_long,0,,,,,
player,201012050min,min,CamaGr00,targets,5,,,,,
player,201012050min,min,CamaGr00,rec,2,,,,,
player,201012050min,min,CamaGr00,rec_yds,27,,,,,
player,201012050min,min,CamaGr00,rec_td,0,,,,,
player,201012050min,min,CamaGr00,rec_long,20,,,,,
player,201012050min,min,CamaGr00,fumbles,0,,,,,
player,201012050min,min,CamaGr00,fumbles_lost,,,,,,
player,201012050min,min,KleiJi00,pass_cmp,0,,,,,
player,201012050min,min,KleiJi00,pass_att,0,,,,,
player,201012050min,min,KleiJi00,pass_yds,0,,,,,
player,201012050min,min,KleiJi00,pass_td,0,,,,,
player,201012050min,min,KleiJi00,pass_int,0,,,,,
player,201012050min,min,KleiJi00,pass_sacked,,,,,,
player,201012050min,min,KleiJi00,pass_sacked_yds,,,,,,
player,201012050min,min,KleiJi00,pass_long,0,,,,,
player,201012050min,min,KleiJi00,pass_rating,,,,,,
player,201012050min,min,KleiJi00,rush_att,0,,,,,
player,201012050min,min,KleiJi00,rush_yds,0,,,,,
player,201012050min,min,KleiJi00,rush_td,0,,,,,
player,201012050min,min,KleiJi00,rush_long,0,,,,,
player,201012050min,min,KleiJi00,targets,3,,,,,
player,201012050min,min,KleiJi00,rec,3,,,,,
player,201012050min,min,KleiJi00,rec_yds,25,,,,,
player,201012050min,min,KleiJi00,rec_td,0,,,,,
player,201012050min,min,KleiJi00,rec_long,12,,,,,
player,201012050min,min,KleiJi00,fumbles,0,,,,,
player,201012050min,min,KleiJi00,fumbles_lost,,,,,,
player,201012050min,min,ShiaVi00,pass_cmp,0,,,,,
player,201012050min,min,ShiaVi00,pass_att,0,,,,,
player,201012050min,min,ShiaVi00,pass_yds,0,,,,,
player,201012050min,min,ShiaVi00,pass_td,0,,,,,
player,201012050min,min,ShiaVi00,pass_int,0,,,,,
player,201012050min,min,ShiaVi00,pass_sacked,,,,,,
player,201012050min,min,ShiaVi00,pass_sacked_yds,,,,,,
player,201012050min,min,ShiaVi00,pass_long,0,,,,,
player,201012050min,min,ShiaVi00,pass_rating,,,,,,
player,201012050min,min,ShiaVi00,rush_att,0,,,,,
player,201012050min,min,ShiaVi00,rush_yds,0,,,,,
player,201012050min,min,ShiaVi00,rush_td,0,,,,,
player,201012050min,min,ShiaVi00,rush_long,0,,,,,
player,201012050min,min,ShiaVi00,targets,3,,,,,
player,201012050min,min,ShiaVi00,rec,2,,,,,
player,201012050min,min,ShiaVi00,rec_yds,17,,,,,
player,201012050min,min,ShiaVi00,rec_td,0,,,,,
player,201012050min,min,ShiaVi00,rec_long,15,,,,,
player,201012050min,min,ShiaVi00,fumbles,0,,,,,
player,201012050min,min,ShiaVi00,fumbles_lost,,,,,,
player,201012050min,min,BerrBe00,pass_cmp,0,,,,,
player,201012050min,min,BerrBe00,pass_att,0,,,,,
player,201012050min,min,BerrBe00,pass_yds,0,,,,,
player,201012050min,min,BerrBe00,pass_td,0,,,,,
player,201012050min,min,BerrBe00,pass_int,0,,,,,
player,201012050min,min,BerrBe00,pass_sacked,,,,,,
player,201012050min,min,BerrBe00,pass_sacked_yds,,,,,,
player,201012050min,min,BerrBe00,pass_long,0,,,,,
player,201012050min,min,BerrBe00,pass_rating,,,,,,
player,201012050min,min,BerrBe00,rush_att,0,,,,,
player,201012050min,min,BerrBe00,rush_yds,0,,,,,
player,201012050min,min,BerrBe00,rush_td,0,,,,,
player,201012050min,min,BerrBe00,rush_long,0,,,,,
player,201012050min,min,BerrBe00,targets,3,,,,,
player,201012050min,min,BerrBe00,rec,1,,,,,
player,201012050min,min,BerrBe00,rec_yds,14,,,,,
player,201012050min,min,BerrBe00,rec_td,0,,,,,
player,201012050min,min,BerrBe00,rec_long,14,,,,,
player,201012050min,min,BerrBe00,fumbles,0,,,,,
player,201012050min,min,BerrBe00,fumbles_lost,,,,,,
player,201012050min,buf,FlorDr20,def_int,2,,,,,
player,201012050min,buf,FlorDr20,def_int_yds,40,,,,,
player,201012050min,buf,FlorDr20,def_int_td,1,,,,,
player,201012050min,buf,FlorDr20,def_int_long,40,,,,,
player,201012050min,buf,FlorDr20,pass_defended,2,,,,,
player,201012050min,buf,FlorDr20,sacks,0.0,,,,,
player,201012050min,buf,FlorDr20,tackles_combined,2,,,,,
player,201012050min,buf,FlorDr20,tackles_solo,2,,,,,
player,201012050min,buf,FlorDr20,tackles_assists,0,,,,,
player,201012050min,buf,FlorDr20,tackles_loss,0,,,,,
player,201012050min,buf,FlorDr20,qb_hits,0,,,,,
player,201012050min,buf,FlorDr20,fumbles_rec,0,,,,,
player,201012050min,buf,FlorDr20,fumbles_rec_yds,0,,,,,
player,201012050min,buf,FlorDr20,fumbles_rec_td,0,,,,,
player,201012050min,buf,FlorDr20,fumbles_forced,0,,,,,
player,201012050min,buf,McKeLe99,def_int,1,,,,,
player,201012050min,buf,McKeLe99,def_int_yds,0,,,,,
player,201012050min,buf,McKeLe99,def_int_td,0,,,,,
player,201012050min,buf,McKeLe99,def_int_long,0,,,,,
player,201012050min,buf,McKeLe99,pass_defended,1,,,,,
player,201012050min,buf,McKeLe99,sacks,0.0,,,,,
player,201012050min,buf,McKeLe99,tackles_combined,7,,,,,
player,201012050min,buf,McKeLe99,tackles_solo,6,,,,,
player,201012050min,buf,McKeLe99,tackles_assists,1,,,,,
player,201012050min,buf,McKeLe99,tackles_loss,0,,,,,
player,201012050min,buf,McKeLe99,qb_hits,0,,,,,
player,201012050min,buf,McKeLe99,fumbles_rec,0,,,,,
player,201012050min,buf,McKeLe99,fumbles_rec_yds,0,,,,,
player,201012050min,buf,McKeLe99,fumbles_rec_td,0,,,,,
player,201012050min,buf,McKeLe99,fumbles_forced,0,,,,,
player,201012050min,buf,WhitDo20,def_int,1,,,,,
player,201012050min,buf,WhitDo20,def_int_yds,37,,,,,
player,201012050min,buf,WhitDo20,def_int_td,0,,,,,
player,201012050min,buf,WhitDo20,def_int_long,37,,,,,
player,201012050min,buf,WhitDo20,pass_defended,1,,,,,
player,201012050min,buf,WhitDo20,sacks,0.0,,,,,
player,201012050min,buf,WhitDo20,tackles_combined,7,,,,,
player,201012050min,buf,WhitDo20,tackles_solo,5,,,,,
player,201012050min,buf,WhitDo20,tackles_assists,2,,,,,
player,201012050min,buf,WhitDo20,tackles_loss,0,,,,,
player,201012050min,buf,WhitDo20,qb_hits,0,,,,,
player,201012050min,buf,WhitDo20,fumbles_rec,0,,,,,
player,201012050min,buf,WhitDo20,fumbles_rec_yds,0,,,,,
player,201012050min,buf,WhitDo20,fumbles_rec_td,0,,,,,
player,201012050min,buf,WhitDo20,fumbles_forced,0,,,,,
player,201012050min,buf,PoluPa99,def_int,0,,,,,
player,201012050min,buf,PoluPa99,def_int_yds,0,,,,,
player,201012050min,buf,PoluPa99,def_int_td,0,,,,,
player,201012050min,buf,PoluPa99,def_int_long,0,,,,,
player,201012050min,buf,PoluPa99,pass_defended,0,,,,,
player,201012050min,buf,PoluPa99,sacks,1.0,,,,,
player,201012050min,buf,PoluPa99,tackles_combined,15,,,,,
player,201012050min,buf,PoluPa99,tackles_solo,11,,,,,
player,201012050min,buf,PoluPa99,tackles_assists,4,,,,,
player,201012050min,buf,PoluPa99,tackles_loss,2,,,,,
player,201012050min,buf,PoluPa99,qb_hits,1,,,,,
player,201012050min,buf,PoluPa99,fumbles_rec,0,,,,,
player,201012050min,buf,PoluPa99,fumbles_rec_yds,0,,,,,
player,201012050min,buf,PoluPa99,fumbles_rec_td,0,,,,,
player,201012050min,buf,PoluPa99,fumbles_forced,0,,,,,
player,201012050min,buf,AyodAk20,def_int,0,,,,,
player,201012050min,buf,AyodAk20,def_int_yds,0,,,,,
player,201012050min,buf,AyodAk20,def_int_td,0,,,,,
player,201012050min,buf,AyodAk20,def_int_long,0,,,,,
player,201012050min,buf,AyodAk20,pass_defended,1,,,,,
player,201012050min,buf,AyodAk20,sacks,0.0,,,,,
player,201012050min,buf,AyodAk20,tackles_combined,10,,,,,
player,201012050min,buf,AyodAk20,tackles_solo,6,,,,,
player,201012050min,buf,AyodAk20,tackles_assists,4,,,,,
player,201012050min,buf,AyodAk20,tackles_loss,0,,,,,
player,201012050min,buf,AyodAk20,qb_hits,0,,,,,
player,201012050min,buf,AyodAk20,fumbles_rec,0,,,,,
player,201012050min,buf,AyodAk20,fumbles_rec_yds,0,,,,,
player,201012050min,buf,AyodAk20,fumbles_rec_td,0,,,,,
