game,2010,6,20101017,201010170min,dal,"Dallas Cowboys",21,min,"Minnesota Vikings",24
player,201010170min,min,FavrBr00,pass_sacked_yds,25,,,,,
player,201010170min,min,FavrBr00,pass_long,20,,,,,
player,201010170min,min,FavrBr00,pass_rating,106.9,,,,,
player,201010170min,min,FavrBr00,rush_att,1,,,,,
player,201010170min,min,FavrBr00,rush_yds,0,,,,,
player,201010170min,min,FavrBr00,rush_td,0,,,,,
player,201010170min,min,FavrBr00,rush_long,0,,,,,
player,201010170min,min,FavrBr00,targets,0,,,,,
player,201010170min,min,FavrBr00,rec,0,,,,,
player,201010170min,min,FavrBr00,rec_yds,0,,,,,
player,201010170min,min,FavrBr00,rec_td,0,,,,,
player,201010170min,min,FavrBr00,rec_long,0,,,,,
player,201010170min,min,FavrBr00,fumbles,1,,,,,
player,201010170min,min,FavrBr00,fumbles_lost,1,,,,,
player,201010170min,min,PeteAd01,pass_cmp,0,,,,,
player,201010170min,min,PeteAd01,pass_att,0,,,,,
player,201010170min,min,PeteAd01,pass_yds,0,,,,,
player,201010170min,min,PeteAd01,pass_td,0,,,,,
player,201010170min,min,PeteAd01,pass_int,0,,,,,
player,201010170min,min,PeteAd01,pass_sacked,,,,,,
player,201010170min,min,PeteAd01,pass_sacked_yds,,,,,,
player,201010170min,min,PeteAd01,pass_long,0,,,,,
player,201010170min,min,PeteAd01,pass_rating,,,,,,
player,201010170min,min,PeteAd01,rush_att,24,,,,,
player,201010170min,min,PeteAd01,rush_yds,73,,,,,
player,201010170min,min,PeteAd01,rush_td,1,,,,,
player,201010170min,min,PeteAd01,rush_long,15,,,,,
player,201010170min,min,PeteAd01,targets,1,,,,,
player,201010170min,min,PeteAd01,rec,1,,,,,
player,201010170min,min,PeteAd01,rec_yds,-2,,,,,
player,201010170min,min,PeteAd01,rec_td,0,,,,,
player,201010170min,min,PeteAd01,rec_long,-2,,,,,
player,201010170min,min,PeteAd01,fumbles,0,,,,,
player,201010170min,min,PeteAd01,fumbles_lost,,,,,,
player,201010170min,min,HarvPe00,pass_cmp,0,,,,,
player,201010170min,min,HarvPe00,pass_att,0,,,,,
player,201010170min,min,HarvPe00,pass_yds,0,,,,,
player,201010170min,min,HarvPe00,pass_td,0,,,,,
player,201010170min,min,HarvPe00,pass_int,0,,,,,
player,201010170min,min,HarvPe00,pass_sacked,,,,,,
player,201010170min,min,HarvPe00,pass_sacked_yds,,,,,,
player,201010170min,min,HarvPe00,pass_long,0,,,,,
player,201010170min,min,HarvPe00,pass_rating,,,,,,
player,201010170min,min,HarvPe00,rush_att,2,,,,,
player,201010170min,min,HarvPe00,rush_yds,18,,,,,
player,201010170min,min,HarvPe00,rush_td,0,,,,,
player,201010170min,min,HarvPe00,rush_long,11,,,,,
player,201010170min,min,HarvPe00,targets,6,,,,,
player,201010170min,min,HarvPe00,rec,3,,,,,
player,201010170min,min,HarvPe00,rec_yds,21,,,,,
player,201010170min,min,HarvPe00,rec_td,0,,,,,
player,201010170min,min,HarvPe00,rec_long,10,,,,,
player,201010170min,min,HarvPe00,fumbles,0,,,,,
player,201010170min,min,HarvPe00,fumbles_lost,,,,,,
player,201010170min,min,GerhTo00,pass_cmp,0,,,,,
player,201010170min,min,GerhTo00,pass_att,0,,,,,
player,201010170min,min,GerhTo00,pass_yds,0,,,,,
player,201010170min,min,GerhTo00,pass_td,0,,,,,
player,201010170min,min,GerhTo00,pass_int,0,,,,,
player,201010170min,min,GerhTo00,pass_sacked,,,,,,
player,201010170min,min,GerhTo00,pass_sacked_yds,,,,,,
player,201010170min,min,GerhTo00,pass_long,0,,,,,
player,201010170min,min,GerhTo00,pass_rating,,,,,,
player,201010170min,min,GerhTo00,rush_att,1,,,,,
player,201010170min,min,GerhTo00,rush_yds,4,,,,,
player,201010170min,min,GerhTo00,rush_td,0,,,,,
player,201010170min,min,GerhTo00,rush_long,4,,,,,
player,201010170min,min,GerhTo00,targets,0,,,,,
player,201010170min,min,GerhTo00,rec,0,,,,,
player,201010170min,min,GerhTo00,rec_yds,0,,,,,
player,201010170min,min,GerhTo00,rec_td,0,,,,,
player,201010170min,min,GerhTo00,rec_long,0,,,,,
player,201010170min,min,GerhTo00,fumbles,0,,,,,
player,201010170min,min,GerhTo00,fumbles_lost,,,,,,
player,201010170min,min,MossRa00,pass_cmp,0,,,,,
player,201010170min,min,MossRa00,pass_att,0,,,,,
player,201010170min,min,MossRa00,pass_yds,0,,,,,
player,201010170min,min,MossRa00,pass_td,0,,,,,
player,201010170min,min,MossRa00,pass_int,0,,,,,
player,201010170min,min,MossRa00,pass_sacked,,,,,,
player,201010170min,min,MossRa00,pass_sacked_yds,,,,,,
player,201010170min,min,MossRa00,pass_long,0,,,,,
player,201010170min,min,MossRa00,pass_rating,,,,,,
player,201010170min,min,MossRa00,rush_att,0,,,,,
player,201010170min,min,MossRa00,rush_yds,0,,,,,
player,201010170min,min,MossRa00,rush_td,0,,,,,
player,201010170min,min,MossRa00,rush_long,0,,,,,
player,201010170min,min,MossRa00,targets,6,,,,,
player,201010170min,min,MossRa00,rec,5,,,,,
player,201010170min,min,MossRa00,rec_yds,55,,,,,
player,201010170min,min,MossRa00,rec_td,0,,,,,
player,201010170min,min,MossRa00,rec_long,18,,,,,
player,201010170min,min,MossRa00,fumbles,0,,,,,
player,201010170min,min,MossRa00,fumbles_lost,,,,,,
player,201010170min,min,KleiJi00,pass_cmp,0,,,,,
player,201010170min,min,KleiJi00,pass_att,0,,,,,
player,201010170min,min,KleiJi00,pass_yds,0,,,,,
player,201010170min,min,KleiJi00,pass_td,0,,,,,
player,201010170min,min,KleiJi00,pass_int,0,,,,,
player,201010170min,min,KleiJi00,pass_sacked,,,,,,
player,201010170min,min,KleiJi00,pass_sacked_yds,,,,,,
player,201010170min,min,KleiJi00,pass_long,0,,,,,
player,201010170min,min,KleiJi00,pass_rating,,,,,,
player,201010170min,min,KleiJi00,rush_att,0,,,,,
player,201010170min,min,KleiJi00,rush_yds,0,,,,,
player,201010170min,min,KleiJi00,rush_td,0,,,,,
player,201010170min,min,KleiJi00,rush_long,0,,,,,
player,201010170min,min,KleiJi00,targets,2,,,,,
player,201010170min,min,KleiJi00,rec,2,,,,,
player,201010170min,min,KleiJi00,rec_yds,25,,,,,
player,201010170min,min,KleiJi00,rec_td,0,,,,,
player,201010170min,min,KleiJi00,rec_long,20,,,,,
player,201010170min,min,KleiJi00,fumbles,0,,,,,
player,201010170min,min,KleiJi00,fumbles_lost,,,,,,
player,201010170min,min,CamaGr00,pass_cmp,0,,,,,
player,201010170min,min,CamaGr00,pass_att,0,,,,,
player,201010170min,min,CamaGr00,pass_yds,0,,,,,
player,201010170min,min,CamaGr00,pass_td,0,,,,,
player,201010170min,min,CamaGr00,pass_int,0,,,,,
player,201010170min,min,CamaGr00,pass_sacked,,,,,,
player,201010170min,min,CamaGr00,pass_sacked_yds,,,,,,
player,201010170min,min,CamaGr00,pass_long,0,,,,,
player,201010170min,min,CamaGr00,pass_rating,,,,,,
player,201010170min,min,CamaGr00,rush_att,0,,,,,
player,201010170min,min,CamaGr00,rush_yds,0,,,,,
player,201010170min,min,CamaGr00,rush_td,0,,,,,
player,201010170min,min,CamaGr00,rush_long,0,,,,,
player,201010170min,min,CamaGr00,targets,2,,,,,
player,201010170min,min,CamaGr00,rec,2,,,,,
player,201010170min,min,CamaGr00,rec_yds,15,,,,,
player,201010170min,min,CamaGr00,rec_td,1,,,,,
player,201010170min,min,CamaGr00,rec_long,10,,,,,
player,201010170min,min,CamaGr00,fumbles,0,,,,,
player,201010170min,min,CamaGr00,fumbles_lost,,,,,,
player,201010170min,min,BerrBe00,pass_cmp,0,,,,,
player,201010170min,min,BerrBe00,pass_att,0,,,,,
player,201010170min,min,BerrBe00,pass_yds,0,,,,,
player,201010170min,min,BerrBe00,pass_td,0,,,,,
player,201010170min,min,BerrBe00,pass_int,0,,,,,
player,201010170min,min,BerrBe00,pass_sacked,,,,,,
player,201010170min,min,BerrBe00,pass_sacked_yds,,,,,,
player,201010170min,min,BerrBe00,pass_long,0,,,,,
player,201010170min,min,BerrBe00,pass_rating,,,,,,
player,201010170min,min,BerrBe00,rush_att,0,,,,,
player,201010170min,min,BerrBe00,rush_yds,0,,,,,
player,201010170min,min,BerrBe00,rush_td,0,,,,,
player,201010170min,min,BerrBe00,rush_long,0,,,,,
player,201010170min,min,BerrBe00,targets,2,,,,,
player,201010170min,min,BerrBe00,rec,1,,,,,
player,201010170min,min,BerrBe00,rec_yds,4,,,,,
player,201010170min,min,BerrBe00,rec_td,0,,,,,
player,201010170min,min,BerrBe00,rec_long,4,,,,,
player,201010170min,min,BerrBe00,fumbles,0,,,,,
player,201010170min,min,BerrBe00,fumbles_lost,,,,,,
player,201010170min,dal,SensGe20,def_int,0,,,,,
player,201010170min,dal,SensGe20,def_int_yds,0,,,,,
player,201010170min,dal,SensGe20,def_int_td,0,,,,,
player,201010170min,dal,SensGe20,def_int_long,0,,,,,
player,201010170min,dal,SensGe20,pass_defended,0,,,,,
player,201010170min,dal,SensGe20,sacks,1.0,,,,,
player,201010170min,dal,SensGe20,tackles_combined,7,,,,,
player,201010170min,dal,SensGe20,tackles_solo,7,,,,,
player,201010170min,dal,SensGe20,tackles_assists,0,,,,,
player,201010170min,dal,SensGe20,tackles_loss,2,,,,,
player,201010170min,dal,SensGe20,qb_hits,1,,,,,
player,201010170min,dal,SensGe20,fumbles_rec,0,,,,,
player,201010170min,dal,SensGe20,fumbles_rec_yds,0,,,,,
player,201010170min,dal,SensGe20,fumbles_rec_td,0,,,,,
player,201010170min,dal,SensGe20,fumbles_forced,0,,,,,
player,201010170min,dal,WareDe99,def_int,0,,,,,
player,201010170min,dal,WareDe99,def_int_yds,0,,,,,
player,201010170min,dal,WareDe99,def_int_td,0,,,,,
player,201010170min,dal,WareDe99,def_int_long,0,,,,,
player,201010170min,dal,WareDe99,pass_defended,0,,,,,
player,201010170min,dal,WareDe99,sacks,1.0,,,,,
player,201010170min,dal,WareDe99,tackles_combined,5,,,,,
player,201010170min,dal,WareDe99,tackles_solo,4,,,,,
player,201010170min,dal,WareDe99,tackles_assists,1,,,,,
player,201010170min,dal,WareDe99,tackles_loss,1,,,,,
player,201010170min,dal,WareDe99,qb_hits,1,,,,,
player,201010170min,dal,WareDe99,fumbles_rec,0,,,,,
player,201010170min,dal,WareDe99,fumbles_rec_yds,0,,,,,
player,201010170min,dal,WareDe99,fumbles_rec_td,0,,,,,
player,201010170min,dal,WareDe99,fumbles_forced,0,,,,,
player,201010170min,dal,RatlJa20,def_int,0,,,,,
player,201010170min,dal,RatlJa20,def_int_yds,0,,,,,
player,201010170min,dal,RatlJa20,def_int_td,0,,,,,
player,201010170min,dal,RatlJa20,def_int_long,0,,,,,
player,201010170min,dal,RatlJa20,pass_defended,0,,,,,
player,201010170min,dal,RatlJa20,sacks,1.0,,,,,
player,201010170min,dal,RatlJa20,tackles_combined,3,,,,,
player,201010170min,dal,RatlJa20,tackles_solo,1,,,,,
player,201010170min,dal,RatlJa20,tackles_assists,2,,,,,
player,201010170min,dal,RatlJa20,tackles_loss,1,,,,,
player,201010170min,dal,RatlJa20,qb_hits,2,,,,,
player,201010170min,dal,RatlJa20,fumbles_rec,0,,,,,
player,201010170min,dal,RatlJa20,fumbles_rec_yds,0,,,,,
player,201010170min,dal,RatlJa20,fumbles_rec_td,0,,,,,
player,201010170min,dal,RatlJa20,fumbles_forced,0,,,,,
player,201010170min,dal,JameBr20,def_int,0,,,,,
player,201010170min,dal,JameBr20,def_int_yds,0,,,,,
player,201010170min,dal,JameBr20,def_int_td,0,,,,,
player,201010170min,dal,JameBr20,def_int_long,0,,,,,
player,201010170min,dal,JameBr20,pass_defended,0,,,,,
player,201010170min,dal,JameBr20,sacks,0.0,,,,,
player,201010170min,dal,JameBr20,tackles_combined,10,,,,,
player,201010170min,dal,JameBr20,tackles_solo,9,,,,,
player,201010170min,dal,JameBr20,tackles_assists,1,,,,,
player,201010170min,dal,JameBr20,tackles_loss,2,,,,,
player,201010170min,dal,JameBr20,qb_hits,0,,,,,
player,201010170min,dal,JameBr20,fumbles_rec,1,,,,,
player,201010170min,dal,JameBr20,fumbles_rec_yds,0,,,,,
player,201010170min,dal,JameBr20,fumbles_rec_td,0,,,,,
player,201010170min,dal,JameBr20,fumbles_forced,0,,,,,
player,201010170min,dal,BrooKe00,def_int,0,,,,,
player,201010170min,dal,BrooKe00,def_int_yds,0,,,,,
player,201010170min,dal,BrooKe00,def_int_td,0,,,,,
player,201010170min,dal,BrooKe00,def_int_long,0,,,,,
player,201010170min,dal,BrooKe00,pass_defended,0,,,,,
player,201010170min,dal,BrooKe00,sacks,0.0,,,,,
player,201010170min,dal,BrooKe00,tackles_combined,5,,,,,
player,201010170min,dal,BrooKe00,tackles_solo,3,,,,,
player,201010170min,dal,BrooKe00,tackles_assists,2,,,,,
player,201010170min,dal,BrooKe00,tackles_loss,0,,,,,
player,201010170min,dal,BrooKe00,qb_hits,1,,,,,
player,201010170min,dal,BrooKe00,fumbles_rec,0,,,,,
player,201010170min,dal,BrooKe00,fumbles_rec_yds,0,,,,,
player,201010170min,dal,BrooKe00,fumbles_rec_td,0,,,,,
player,201010170min,dal,BrooKe00,fumbles_forced,0,,,,,
player,201010170min,dal,JenkMi99,def_int,0,,,,,
player,201010170min,dal,JenkMi99,def_int_yds,0,,,,,
player,201010170min,dal,JenkMi99,def_int_td,0,,,,,
player,201010170min,dal,JenkMi99,def_int_long,0,,,,,
player,201010170min,dal,JenkMi99,pass_defended,1,,,,,
player,201010170min,dal,JenkMi99,sacks,0.0,,,,,
player,201010170min,dal,JenkMi99,tackles_combined,5,,,,,
player,201010170min,dal,JenkMi99,tackles_solo,5,,,,,
player,201010170min,dal,JenkMi99,tackles_assists,0,,,,,
player,201010170min,dal,JenkMi99,tackles_loss,0,,,,,
player,201010170min,dal,JenkMi99,qb_hits,0,,,,,
player,201010170min,dal,JenkMi99,fumbles_rec,0,,,,,
player,201010170min,dal,JenkMi99,fumbles_rec_yds,0,,,,,
player,201010170min,dal,JenkMi99,fumbles_rec_td,0,,,,,
player,201010170min,dal,JenkMi99,fumbles_forced,0,,,,,
player,201010170min,dal,HollJe00,def_int,0,,,,,
player,201010170min,dal,HollJe00,def_int_yds,0,,,,,
player,201010170min,dal,HollJe00,def_int_td,0,,,,,
player,201010170min,dal,HollJe00,def_int_long,0,,,,,
player,201010170min,dal,HollJe00,pass_defended,0,,,,,
player,201010170min,dal,HollJe00,sacks,0.0,,,,,
player,201010170min,dal,HollJe00,tackles_combined,3,,,,,
player,201010170min,dal,HollJe00,tackles_solo,2,,,,,
player,201010170min,dal,HollJe00,tackles_assists,1,,,,,
player,201010170min,dal,HollJe00,tackles_loss,0,,,,,
player,201010170min,dal,HollJe00,qb_hits,0,,,,,
player,201010170min,dal,HollJe00,fumbles_rec,0,,,,,
player,201010170min,dal,HollJe00,fumbles_rec_yds,0,,,,,
player,201010170min,dal,HollJe00,fumbles_rec_td,0,,,,,
player,201010170min,dal,HollJe00,fumbles_forced,0,,,,,
player,201010170min,dal,NewmTe20,def_int,0,,,,,
player,201010170min,dal,NewmTe20,def_int_yds,0,,,,,
player,201010170min,dal,NewmTe20,def_int_td,0,,,,,
player,201010170min,dal,NewmTe20,def_int_long,0,,,,,
player,201010170min,dal,NewmTe20,pass_defended,0,,,,,
player,201010170min,dal,NewmTe20,sacks,0.0,,,,,
player,201010170min,dal,NewmTe20,tackles_combined,3,,,,,
player,201010170min,dal,NewmTe20,tackles_solo,3,,,,,
player,201010170min,dal,NewmTe20,tackles_assists,0,,,,,
