game,2010,4,20101003,201010030nyg,chi,"Chicago Bears",3,nyg,"New York Giants",17
player,201010030nyg,chi,HaniCa00,pass_long,26,,,,,
player,201010030nyg,chi,HaniCa00,pass_rating,102.1,,,,,
player,201010030nyg,chi,HaniCa00,rush_att,0,,,,,
player,201010030nyg,chi,HaniCa00,rush_yds,0,,,,,
player,201010030nyg,chi,HaniCa00,rush_td,0,,,,,
player,201010030nyg,chi,HaniCa00,rush_long,0,,,,,
player,201010030nyg,chi,HaniCa00,targets,0,,,,,
player,201010030nyg,chi,HaniCa00,rec,0,,,,,
player,201010030nyg,chi,HaniCa00,rec_yds,0,,,,,
player,201010030nyg,chi,HaniCa00,rec_td,0,,,,,
player,201010030nyg,chi,HaniCa00,rec_long,0,,,,,
player,201010030nyg,chi,HaniCa00,fumbles,0,,,,,
player,201010030nyg,chi,HaniCa00,fumbles_lost,,,,,,
player,201010030nyg,chi,FortMa00,pass_cmp,0,,,,,
player,201010030nyg,chi,FortMa00,pass_att,0,,,,,
player,201010030nyg,chi,FortMa00,pass_yds,0,,,,,
player,201010030nyg,chi,FortMa00,pass_td,0,,,,,
player,201010030nyg,chi,FortMa00,pass_int,0,,,,,
player,201010030nyg,chi,FortMa00,pass_sacked,,,,,,
player,201010030nyg,chi,FortMa00,pass_sacked_yds,,,,,,
player,201010030nyg,chi,FortMa00,pass_long,0,,,,,
player,201010030nyg,chi,FortMa00,pass_rating,,,,,,
player,201010030nyg,chi,FortMa00,rush_att,12,,,,,
player,201010030nyg,chi,FortMa00,rush_yds,26,,,,,
player,201010030nyg,chi,FortMa00,rush_td,0,,,,,
player,201010030nyg,chi,FortMa00,rush_long,8,,,,,
player,201010030nyg,chi,FortMa00,targets,3,,,,,
player,201010030nyg,chi,FortMa00,rec,2,,,,,
player,201010030nyg,chi,FortMa00,rec_yds,7,,,,,
player,201010030nyg,chi,FortMa00,rec_td,0,,,,,
player,201010030nyg,chi,FortMa00,rec_long,6,,,,,
player,201010030nyg,chi,FortMa00,fumbles,0,,,,,
player,201010030nyg,chi,FortMa00,fumbles_lost,,,,,,
player,201010030nyg,chi,TaylCh01,pass_cmp,0,,,,,
player,201010030nyg,chi,TaylCh01,pass_att,0,,,,,
player,201010030nyg,chi,TaylCh01,pass_yds,0,,,,,
player,201010030nyg,chi,TaylCh01,pass_td,0,,,,,
player,201010030nyg,chi,TaylCh01,pass_int,0,,,,,
player,201010030nyg,chi,TaylCh01,pass_sacked,,,,,,
player,201010030nyg,chi,TaylCh01,pass_sacked_yds,,,,,,
player,201010030nyg,chi,TaylCh01,pass_long,0,,,,,
player,201010030nyg,chi,TaylCh01,pass_rating,,,,,,
player,201010030nyg,chi,TaylCh01,rush_att,3,,,,,
player,201010030nyg,chi,TaylCh01,rush_yds,22,,,,,
player,201010030nyg,chi,TaylCh01,rush_td,0,,,,,
player,201010030nyg,chi,TaylCh01,rush_long,11,,,,,
player,201010030nyg,chi,TaylCh01,targets,0,,,,,
player,201010030nyg,chi,TaylCh01,rec,0,,,,,
player,201010030nyg,chi,TaylCh01,rec_yds,0,,,,,
player,201010030nyg,chi,TaylCh01,rec_td,0,,,,,
player,201010030nyg,chi,TaylCh01,rec_long,0,,,,,
player,201010030nyg,chi,TaylCh01,fumbles,0,,,,,
player,201010030nyg,chi,TaylCh01,fumbles_lost,,,,,,
player,201010030nyg,chi,HestDe99,pass_cmp,0,,,,,
player,201010030nyg,chi,HestDe99,pass_att,0,,,,,
player,201010030nyg,chi,HestDe99,pass_yds,0,,,,,
player,201010030nyg,chi,HestDe99,pass_td,0,,,,,
player,201010030nyg,chi,HestDe99,pass_int,0,,,,,
player,201010030nyg,chi,HestDe99,pass_sacked,,,,,,
player,201010030nyg,chi,HestDe99,pass_sacked_yds,,,,,,
player,201010030nyg,chi,HestDe99,pass_long,0,,,,,
player,201010030nyg,chi,HestDe99,pass_rating,,,,,,
player,201010030nyg,chi,HestDe99,rush_att,1,,,,,
player,201010030nyg,chi,HestDe99,rush_yds,11,,,,,
player,201010030nyg,chi,HestDe99,rush_td,0,,,,,
player,201010030nyg,chi,HestDe99,rush_long,11,,,,,
player,201010030nyg,chi,HestDe99,targets,5,,,,,
player,201010030nyg,chi,HestDe99,rec,3,,,,,
player,201010030nyg,chi,HestDe99,rec_yds,16,,,,,
player,201010030nyg,chi,HestDe99,rec_td,0,,,,,
player,201010030nyg,chi,HestDe99,rec_long,8,,,,,
player,201010030nyg,chi,HestDe99,fumbles,0,,,,,
player,201010030nyg,chi,HestDe99,fumbles_lost,,,,,,
player,201010030nyg,chi,OlseGr00,pass_cmp,0,,,,,
player,201010030nyg,chi,OlseGr00,pass_att,0,,,,,
player,201010030nyg,chi,OlseGr00,pass_yds,0,,,,,
player,201010030nyg,chi,OlseGr00,pass_td,0,,,,,
player,201010030nyg,chi,OlseGr00,pass_int,0,,,,,
player,201010030nyg,chi,OlseGr00,pass_sacked,,,,,,
player,201010030nyg,chi,OlseGr00,pass_sacked_yds,,,,,,
player,201010030nyg,chi,OlseGr00,pass_long,0,,,,,
player,201010030nyg,chi,OlseGr00,pass_rating,,,,,,
player,201010030nyg,chi,OlseGr00,rush_att,0,,,,,
player,201010030nyg,chi,OlseGr00,rush_yds,0,,,,,
player,201010030nyg,chi,OlseGr00,rush_td,0,,,,,
player,201010030nyg,chi,OlseGr00,rush_long,0,,,,,
player,201010030nyg,chi,OlseGr00,targets,9,,,,,
player,201010030nyg,chi,OlseGr00,rec,5,,,,,
player,201010030nyg,chi,OlseGr00,rec_yds,39,,,,,
player,201010030nyg,chi,OlseGr00,rec_td,0,,,,,
player,201010030nyg,chi,OlseGr00,rec_long,19,,,,,
player,201010030nyg,chi,OlseGr00,fumbles,0,,,,,
player,201010030nyg,chi,OlseGr00,fumbles_lost,,,,,,
player,201010030nyg,chi,BennEa00,pass_cmp,0,,,,,
player,201010030nyg,chi,BennEa00,pass_att,0,,,,,
player,201010030nyg,chi,BennEa00,pass_yds,0,,,,,
player,201010030nyg,chi,BennEa00,pass_td,0,,,,,
player,201010030nyg,chi,BennEa00,pass_int,0,,,,,
player,201010030nyg,chi,BennEa00,pass_sacked,,,,,,
player,201010030nyg,chi,BennEa00,pass_sacked_yds,,,,,,
player,201010030nyg,chi,BennEa00,pass_long,0,,,,,
player,201010030nyg,chi,BennEa00,pass_rating,,,,,,
player,201010030nyg,chi,BennEa00,rush_att,0,,,,,
player,201010030nyg,chi,BennEa00,rush_yds,0,,,,,
player,201010030nyg,chi,BennEa00,rush_td,0,,,,,
player,201010030nyg,chi,BennEa00,rush_long,0,,,,,
player,201010030nyg,chi,BennEa00,targets,5,,,,,
player,201010030nyg,chi,BennEa00,rec,4,,,,,
player,201010030nyg,chi,BennEa00,rec_yds,26,,,,,
player,201010030nyg,chi,BennEa00,rec_td,0,,,,,
player,201010030nyg,chi,BennEa00,rec_long,9,,,,,
player,201010030nyg,chi,BennEa00,fumbles,0,,,,,
player,201010030nyg,chi,BennEa00,fumbles_lost,,,,,,
player,201010030nyg,chi,KnoxJo00,pass_cmp,0,,,,,
player,201010030nyg,chi,KnoxJo00,pass_att,0,,,,,
player,201010030nyg,chi,KnoxJo00,pass_yds,0,,,,,
player,201010030nyg,chi,KnoxJo00,pass_td,0,,,,,
player,201010030nyg,chi,KnoxJo00,pass_int,0,,,,,
player,201010030nyg,chi,KnoxJo00,pass_sacked,,,,,,
player,201010030nyg,chi,KnoxJo00,pass_sacked_yds,,,,,,
player,201010030nyg,chi,KnoxJo00,pass_long,0,,,,,
player,201010030nyg,chi,KnoxJo00,pass_rating,,,,,,
player,201010030nyg,chi,KnoxJo00,rush_att,0,,,,,
player,201010030nyg,chi,KnoxJo00,rush_yds,0,,,,,
player,201010030nyg,chi,KnoxJo00,rush_td,0,,,,,
player,201010030nyg,chi,KnoxJo00,rush_long,0,,,,,
player,201010030nyg,chi,KnoxJo00,targets,2,,,,,
player,201010030nyg,chi,KnoxJo00,rec,1,,,,,
player,201010030nyg,chi,KnoxJo00,rec_yds,26,,,,,
player,201010030nyg,chi,KnoxJo00,rec_td,0,,,,,
player,201010030nyg,chi,KnoxJo00,rec_long,26,,,,,
player,201010030nyg,chi,KnoxJo00,fumbles,0,,,,,
player,201010030nyg,chi,KnoxJo00,fumbles_lost,,,,,,
player,201010030nyg,nyg,MannEl00,pass_cmp,18,,,,,
player,201010030nyg,nyg,MannEl00,pass_att,30,,,,,
player,201010030nyg,nyg,MannEl00,pass_yds,195,,,,,
player,201010030nyg,nyg,MannEl00,pass_td,0,,,,,
player,201010030nyg,nyg,MannEl00,pass_int,0,,,,,
player,201010030nyg,nyg,MannEl00,pass_sacked,2,,,,,
player,201010030nyg,nyg,MannEl00,pass_sacked_yds,12,,,,,
player,201010030nyg,nyg,MannEl00,pass_long,30,,,,,
player,201010030nyg,nyg,MannEl00,pass_rating,79.2,,,,,
player,201010030nyg,nyg,MannEl00,rush_att,3,,,,,
player,201010030nyg,nyg,MannEl00,rush_yds,-2,,,,,
player,201010030nyg,nyg,MannEl00,rush_td,0,,,,,
player,201010030nyg,nyg,MannEl00,rush_long,0,,,,,
player,201010030nyg,nyg,MannEl00,targets,0,,,,,
player,201010030nyg,nyg,MannEl00,rec,0,,,,,
player,201010030nyg,nyg,MannEl00,rec_yds,0,,,,,
player,201010030nyg,nyg,MannEl00,rec_td,0,,,,,
player,201010030nyg,nyg,MannEl00,rec_long,0,,,,,
player,201010030nyg,nyg,MannEl00,fumbles,2,,,,,
player,201010030nyg,nyg,MannEl00,fumbles_lost,2,,,,,
player,201010030nyg,nyg,BradAh00,pass_cmp,0,,,,,
player,201010030nyg,nyg,BradAh00,pass_att,0,,,,,
player,201010030nyg,nyg,BradAh00,pass_yds,0,,,,,
player,201010030nyg,nyg,BradAh00,pass_td,0,,,,,
player,201010030nyg,nyg,BradAh00,pass_int,0,,,,,
player,201010030nyg,nyg,BradAh00,pass_sacked,,,,,,
player,201010030nyg,nyg,BradAh00,pass_sacked_yds,,,,,,
player,201010030nyg,nyg,BradAh00,pass_long,0,,,,,
player,201010030nyg,nyg,BradAh00,pass_rating,,,,,,
player,201010030nyg,nyg,BradAh00,rush_att,23,,,,,
player,201010030nyg,nyg,BradAh00,rush_yds,129,,,,,
player,201010030nyg,nyg,BradAh00,rush_td,1,,,,,
player,201010030nyg,nyg,BradAh00,rush_long,25,,,,,
player,201010030nyg,nyg,BradAh00,targets,3,,,,,
player,201010030nyg,nyg,BradAh00,rec,2,,,,,
player,201010030nyg,nyg,BradAh00,rec_yds,14,,,,,
player,201010030nyg,nyg,BradAh00,rec_td,0,,,,,
player,201010030nyg,nyg,BradAh00,rec_long,11,,,,,
player,201010030nyg,nyg,BradAh00,fumbles,1,,,,,
player,201010030nyg,nyg,BradAh00,fumbles_lost,1,,,,,
player,201010030nyg,nyg,JacoBr00,pass_cmp,0,,,,,
player,201010030nyg,nyg,JacoBr00,pass_att,0,,,,,
player,201010030nyg,nyg,JacoBr00,pass_yds,0,,,,,
player,201010030nyg,nyg,JacoBr00,pass_td,0,,,,,
player,201010030nyg,nyg,JacoBr00,pass_int,0,,,,,
player,201010030nyg,nyg,JacoBr00,pass_sacked,,,,,,
player,201010030nyg,nyg,JacoBr00,pass_sacked_yds,,,,,,
player,201010030nyg,nyg,JacoBr00,pass_long,0,,,,,
player,201010030nyg,nyg,JacoBr00,pass_rating,,,,,,
player,201010030nyg,nyg,JacoBr00,rush_att,6,,,,,
player,201010030nyg,nyg,JacoBr00,rush_yds,62,,,,,
player,201010030nyg,nyg,JacoBr00,rush_td,1,,,,,
player,201010030nyg,nyg,JacoBr00,rush_long,29,,,,,
player,201010030nyg,nyg,JacoBr00,targets,1,,,,,
player,201010030nyg,nyg,JacoBr00,rec,1,,,,,
player,201010030nyg,nyg,JacoBr00,rec_yds,4,,,,,
player,201010030nyg,nyg,JacoBr00,rec_td,0,,,,,
player,201010030nyg,nyg,JacoBr00,rec_long,4,,,,,
player,201010030nyg,nyg,JacoBr00,fumbles,0,,,,,
player,201010030nyg,nyg,JacoBr00,fumbles_lost,,,,,,
player,201010030nyg,nyg,NickHa01,pass_cmp,0,,,,,
player,201010030nyg,nyg,NickHa01,pass_att,0,,,,,
player,201010030nyg,nyg,NickHa01,pass_yds,0,,,,,
player,201010030nyg,nyg,NickHa01,pass_td,0,,,,,
player,201010030nyg,nyg,NickHa01,pass_int,0,,,,,
player,201010030nyg,nyg,NickHa01,pass_sacked,,,,,,
player,201010030nyg,nyg,NickHa01,pass_sacked_yds,,,,,,
player,201010030nyg,nyg,NickHa01,pass_long,0,,,,,
player,201010030nyg,nyg,NickHa01,pass_rating,,,,,,
player,201010030nyg,nyg,NickHa01,rush_att,0,,,,,
player,201010030nyg,nyg,NickHa01,rush_yds,0,,,,,
player,201010030nyg,nyg,NickHa01,rush_td,0,,,,,
player,201010030nyg,nyg,NickHa01,rush_long,0,,,,,
player,201010030nyg,nyg,NickHa01,targets,9,,,,,
player,201010030nyg,nyg,NickHa01,rec,8,,,,,
player,201010030nyg,nyg,NickHa01,rec_yds,110,,,,,
player,201010030nyg,nyg,NickHa01,rec_td,0,,,,,
player,201010030nyg,nyg,NickHa01,rec_long,30,,,,,
player,201010030nyg,nyg,NickHa01,fumbles,0,,,,,
player,201010030nyg,nyg,NickHa01,fumbles_lost,,,,,,
player,201010030nyg,nyg,SmitSt02,pass_cmp,0,,,,,
player,201010030nyg,nyg,SmitSt02,pass_att,0,,,,,
player,201010030nyg,nyg,SmitSt02,pass_yds,0,,,,,
player,201010030nyg,nyg,SmitSt02,pass_td,0,,,,,
player,201010030nyg,nyg,SmitSt02,pass_int,0,,,,,
player,201010030nyg,nyg,SmitSt02,pass_sacked,,,,,,
player,201010030nyg,nyg,SmitSt02,pass_sacked_yds,,,,,,
player,201010030nyg,nyg,SmitSt02,pass_long,0,,,,,
player,201010030nyg,nyg,SmitSt02,pass_rating,,,,,,
player,201010030nyg,nyg,SmitSt02,rush_att,0,,,,,
player,201010030nyg,nyg,SmitSt02,rush_yds,0,,,,,
player,201010030nyg,nyg,SmitSt02,rush_td,0,,,,,
player,201010030nyg,nyg,SmitSt02,rush_long,0,,,,,
player,201010030nyg,nyg,SmitSt02,targets,8,,,,,
player,201010030nyg,nyg,SmitSt02,rec,4,,,,,
player,201010030nyg,nyg,SmitSt02,rec_yds,30,,,,,
player,201010030nyg,nyg,SmitSt02,rec_td,0,,,,,
player,201010030nyg,nyg,SmitSt02,rec_long,9,,,,,
player,201010030nyg,nyg,SmitSt02,fumbles,0,,,,,
player,201010030nyg,nyg,SmitSt02,fumbles_lost,,,,,,
player,201010030nyg,nyg,BeckTr00,pass_cmp,0,,,,,
player,201010030nyg,nyg,BeckTr00,pass_att,0,,,,,
player,201010030nyg,nyg,BeckTr00,pass_yds,0,,,,,
player,201010030nyg,nyg,BeckTr00,pass_td,0,,,,,
player,201010030nyg,nyg,BeckTr00,pass_int,0,,,,,
player,201010030nyg,nyg,BeckTr00,pass_sacked,,,,,,
player,201010030nyg,nyg,BeckTr00,pass_sacked_yds,,,,,,
player,201010030nyg,nyg,BeckTr00,pass_long,0,,,,,
player,201010030nyg,nyg,BeckTr00,pass_rating,,,,,,
player,201010030nyg,nyg,BeckTr00,rush_att,0,,,,,
player,201010030nyg,nyg,BeckTr00,rush_yds,0,,,,,
player,201010030nyg,nyg,BeckTr00,rush_td,0,,,,,
player,201010030nyg,nyg,BeckTr00,rush_long,0,,,,,
player,201010030nyg,nyg,BeckTr00,targets,2,,,,,
player,201010030nyg,nyg,BeckTr00,rec,1,,,,,
player,201010030nyg,nyg,BeckTr00,rec_yds,25,,,,,
player,201010030nyg,nyg,BeckTr00,rec_td,0,,,,,
player,201010030nyg,nyg,BeckTr00,rec_long,25,,,,,
player,201010030nyg,nyg,BeckTr00,fumbles,0,,,,,
player,201010030nyg,nyg,BeckTr00,fumbles_lost,,,,,,
player,201010030nyg,nyg,BossKe00,pass_cmp,0,,,,,
player,201010030nyg,nyg,BossKe00,pass_att,0,,,,,
player,201010030nyg,nyg,BossKe00,pass_yds,0,,,,,
player,201010030nyg,nyg,BossKe00,pass_td,0,,,,,
player,201010030nyg,nyg,BossKe00,pass_int,0,,,,,
player,201010030nyg,nyg,BossKe00,pass_sacked,,,,,,
player,201010030nyg,nyg,BossKe00,pass_sacked_yds,,,,,,
player,201010030nyg,nyg,BossKe00,pass_long,0,,,,,
player,201010030nyg,nyg,BossKe00,pass_rating,,,,,,
player,201010030nyg,nyg,BossKe00,rush_att,0,,,,,
player,201010030nyg,nyg,BossKe00,rush_yds,0,,,,,
player,201010030nyg,nyg,BossKe00,rush_td,0,,,,,
player,201010030nyg,nyg,BossKe00,rush_long,0,,,,,
player,201010030nyg,nyg,BossKe00,targets,5,,,,,
player,201010030nyg,nyg,BossKe00,rec,1,,,,,
player,201010030nyg,nyg,BossKe00,rec_yds,11,,,,,
player,201010030nyg,nyg,BossKe00,rec_td,0,,,,,
player,201010030nyg,nyg,BossKe00,rec_long,11,,,,,
player,201010030nyg,nyg,BossKe00,fumbles,0,,,,,
player,201010030nyg,nyg,BossKe00,fumbles_lost,,,,,,
player,201010030nyg,nyg,HedgMa00,pass_cmp,0,,,,,
player,201010030nyg,nyg,HedgMa00,pass_att,0,,,,,
player,201010030nyg,nyg,HedgMa00,pass_yds,0,,,,,
player,201010030nyg,nyg,HedgMa00,pass_td,0,,,,,
player,201010030nyg,nyg,HedgMa00,pass_int,0,,,,,
player,201010030nyg,nyg,HedgMa00,pass_sacked,,,,,,
player,201010030nyg,nyg,HedgMa00,pass_sacked_yds,,,,,,
player,201010030nyg,nyg,HedgMa00,pass_long,0,,,,,
player,201010030nyg,nyg,HedgMa00,pass_rating,,,,,,
player,201010030nyg,nyg,HedgMa00,rush_att,0,,,,,
player,201010030nyg,nyg,HedgMa00,rush_yds,0,,,,,
player,201010030nyg,nyg,HedgMa00,rush_td,0,,,,,
player,201010030nyg,nyg,HedgMa00,rush_long,0,,,,,
player,201010030nyg,nyg,HedgMa00,targets,1,,,,,
player,201010030nyg,nyg,HedgMa00,rec,1,,,,,
player,201010030nyg,nyg,HedgMa00,rec_yds,1,,,,,
player,201010030nyg,nyg,HedgMa00,rec_td,0,,,,,
player,201010030nyg,nyg,HedgMa00,rec_long,1,,,,,
player,201010030nyg,nyg,HedgMa00,fumbles,0,,,,,
player,201010030nyg,nyg,HedgMa00,fumbles_lost,,,,,,
player,201010030nyg,nyg,MannMa01,pass_cmp,,,,,,
player,201010030nyg,nyg,MannMa01,pass_att,,,,,,
player,201010030nyg,nyg,MannMa01,pass_yds,,,,,,
player,201010030nyg,nyg,MannMa01,pass_td,,,,,,
player,201010030nyg,nyg,MannMa01,pass_int,,,,,,
player,201010030nyg,nyg,MannMa01,pass_sacked,,,,,,
player,201010030nyg,nyg,MannMa01,pass_sacked_yds,,,,,,
player,201010030nyg,nyg,MannMa01,pass_long,,,,,,
player,201010030nyg,nyg,MannMa01,pass_rating,,,,,,
player,201010030nyg,nyg,MannMa01,rush_att,,,,,,
player,201010030nyg,nyg,MannMa01,rush_yds,,,,,,
player,201010030nyg,nyg,MannMa01,rush_td,,,,,,
player,201010030nyg,nyg,MannMa01,rush_long,,,,,,
player,201010030nyg,nyg,MannMa01,targets,1,,,,,
player,201010030nyg,nyg,MannMa01,rec,0,,,,,
player,201010030nyg,nyg,MannMa01,rec_yds,0,,,,,
player,201010030nyg,nyg,MannMa01,rec_td,0,,,,,
player,201010030nyg,nyg,MannMa01,rec_long,,,,,,
player,201010030nyg,nyg,MannMa01,fumbles,,,,,,
player,201010030nyg,nyg,MannMa01,fumbles_lost,,,,,,
player,201010030nyg,chi,PeppJu99,def_int,0,,,,,
player,201010030nyg,chi,PeppJu99,def_int_yds,0,,,,,
player,201010030nyg,chi,PeppJu99,def_int_td,0,,,,,
player,201010030nyg,chi,PeppJu99,def_int_long,0,,,,,
player,201010030nyg,chi,PeppJu99,pass_defended,1,,,,,
player,201010030nyg,chi,PeppJu99,sacks,1.0,,,,,
player,201010030nyg,chi,PeppJu99,tackles_combined,4,,,,,
player,201010030nyg,chi,PeppJu99,tackles_solo,3,,,,,
player,201010030nyg,chi,PeppJu99,tackles_assists,1,,,,,
player,201010030nyg,chi,PeppJu99,tackles_loss,1,,,,,
player,201010030nyg,chi,PeppJu99,qb_hits,2,,,,,
player,201010030nyg,chi,PeppJu99,fumbles_rec,0,,,,,
player,201010030nyg,chi,PeppJu99,fumbles_rec_yds,0,,,,,
player,201010030nyg,chi,PeppJu99,fumbles_rec_td,0,,,,,
player,201010030nyg,chi,PeppJu99,fumbles_forced,1,,,,,
player,201010030nyg,chi,IdonIs20,def_int,0,,,,,
player,201010030nyg,chi,IdonIs20,def_int_yds,0,,,,,
player,201010030nyg,chi,IdonIs20,def_int_td,0,,,,,
player,201010030nyg,chi,IdonIs20,def_int_long,0,,,,,
player,201010030nyg,chi,IdonIs20,pass_defended,0,,,,,
player,201010030nyg,chi,IdonIs20,sacks,1.0,,,,,
player,201010030nyg,chi,IdonIs20,tackles_combined,3,,,,,
player,201010030nyg,chi,IdonIs20,tackles_solo,2,,,,,
player,201010030nyg,chi,IdonIs20,tackles_assists,1,,,,,
player,201010030nyg,chi,IdonIs20,tackles_loss,1,,,,,
player,201010030nyg,chi,IdonIs20,qb_hits,1,,,,,
player,201010030nyg,chi,IdonIs20,fumbles_rec,0,,,,,
player,201010030nyg,chi,IdonIs20,fumbles_rec_yds,0,,,,,
player,201010030nyg,chi,IdonIs20,fumbles_rec_td,0,,,,,
player,201010030nyg,chi,IdonIs20,fumbles_forced,0,,,,,
player,201010030nyg,chi,MannDa21,def_int,0,,,,,
player,201010030nyg,chi,MannDa21,def_int_yds,0,,,,,
player,201010030nyg,chi,MannDa21,def_int_td,0,,,,,
player,201010030nyg,chi,MannDa21,def_int_long,0,,,,,
player,201010030nyg,chi,MannDa21,pass_defended,0,,,,,
player,201010030nyg,chi,MannDa21,sacks,0.0,,,,,
player,201010030nyg,chi,MannDa21,tackles_combined,11,,,,,
player,201010030nyg,chi,MannDa21,tackles_solo,8,,,,,
player,201010030nyg,chi,MannDa21,tackles_assists,3,,,,,
player,201010030nyg,chi,MannDa21,tackles_loss,0,,,,,
player,201010030nyg,chi,MannDa21,qb_hits,0,,,,,
player,201010030nyg,chi,MannDa21,fumbles_rec,0,,,,,
player,201010030nyg,chi,MannDa21,fumbles_rec_yds,0,,,,,
player,201010030nyg,chi,MannDa21,fumbles_rec_td,0,,,,,
player,201010030nyg,chi,MannDa21,fumbles_forced,0,,,,,
player,201010030nyg,chi,TinoPi20,def_int,0,,,,,
player,201010030nyg,chi,TinoPi20,def_int_yds,0,,,,,
player,201010030nyg,chi,TinoPi20,def_int_td,0,,,,,
player,201010030nyg,chi,TinoPi20,def_int_long,0,,,,,
player,201010030nyg,chi,TinoPi20,pass_defended,0,,,,,
player,201010030nyg,chi,TinoPi20,sacks,0.0,,,,,
player,201010030nyg,chi,TinoPi20,tackles_combined,7,,,,,
player,201010030nyg,chi,TinoPi20,tackles_solo,6,,,,,
player,201010030nyg,chi,TinoPi20,tackles_assists,1,,,,,
player,201010030nyg,chi,TinoPi20,tackles_loss,1,,,,,
