game,2010,15,20101219,201012190cin,cle,"Cleveland Browns",17,cin,"Cincinnati Bengals",19
player,201012190cin,cin,PalmCa00,rec_td,0,,,,,
player,201012190cin,cin,PalmCa00,rec_long,0,,,,,
player,201012190cin,cin,PalmCa00,fumbles,0,,,,,
player,201012190cin,cin,PalmCa00,fumbles_lost,,,,,,
player,201012190cin,cin,BensCe00,pass_cmp,0,,,,,
player,201012190cin,cin,BensCe00,pass_att,0,,,,,
player,201012190cin,cin,BensCe00,pass_yds,0,,,,,
player,201012190cin,cin,BensCe00,pass_td,0,,,,,
player,201012190cin,cin,BensCe00,pass_int,0,,,,,
player,201012190cin,cin,BensCe00,pass_sacked,,,,,,
player,201012190cin,cin,BensCe00,pass_sacked_yds,,,,,,
player,201012190cin,cin,BensCe00,pass_long,0,,,,,
player,201012190cin,cin,BensCe00,pass_rating,,,,,,
player,201012190cin,cin,BensCe00,rush_att,31,,,,,
player,201012190cin,cin,BensCe00,rush_yds,150,,,,,
player,201012190cin,cin,BensCe00,rush_td,1,,,,,
player,201012190cin,cin,BensCe00,rush_long,18,,,,,
player,201012190cin,cin,BensCe00,targets,1,,,,,
player,201012190cin,cin,BensCe00,rec,0,,,,,
player,201012190cin,cin,BensCe00,rec_yds,0,,,,,
player,201012190cin,cin,BensCe00,rec_td,0,,,,,
player,201012190cin,cin,BensCe00,rec_long,0,,,,,
player,201012190cin,cin,BensCe00,fumbles,0,,,,,
player,201012190cin,cin,BensCe00,fumbles_lost,,,,,,
player,201012190cin,cin,ScotBe00,pass_cmp,0,,,,,
player,201012190cin,cin,ScotBe00,pass_att,0,,,,,
player,201012190cin,cin,ScotBe00,pass_yds,0,,,,,
player,201012190cin,cin,ScotBe00,pass_td,0,,,,,
player,201012190cin,cin,ScotBe00,pass_int,0,,,,,
player,201012190cin,cin,ScotBe00,pass_sacked,,,,,,
player,201012190cin,cin,ScotBe00,pass_sacked_yds,,,,,,
player,201012190cin,cin,ScotBe00,pass_long,0,,,,,
player,201012190cin,cin,ScotBe00,pass_rating,,,,,,
player,201012190cin,cin,ScotBe00,rush_att,8,,,,,
player,201012190cin,cin,ScotBe00,rush_yds,40,,,,,
player,201012190cin,cin,ScotBe00,rush_td,0,,,,,
player,201012190cin,cin,ScotBe00,rush_long,8,,,,,
player,201012190cin,cin,ScotBe00,targets,0,,,,,
player,201012190cin,cin,ScotBe00,rec,0,,,,,
player,201012190cin,cin,ScotBe00,rec_yds,0,,,,,
player,201012190cin,cin,ScotBe00,rec_td,0,,,,,
player,201012190cin,cin,ScotBe00,rec_long,0,,,,,
player,201012190cin,cin,ScotBe00,fumbles,0,,,,,
player,201012190cin,cin,ScotBe00,fumbles_lost,,,,,,
player,201012190cin,cin,CaldAn00,pass_cmp,0,,,,,
player,201012190cin,cin,CaldAn00,pass_att,0,,,,,
player,201012190cin,cin,CaldAn00,pass_yds,0,,,,,
player,201012190cin,cin,CaldAn00,pass_td,0,,,,,
player,201012190cin,cin,CaldAn00,pass_int,0,,,,,
player,201012190cin,cin,CaldAn00,pass_sacked,,,,,,
player,201012190cin,cin,CaldAn00,pass_sacked_yds,,,,,,
player,201012190cin,cin,CaldAn00,pass_long,0,,,,,
player,201012190cin,cin,CaldAn00,pass_rating,,,,,,
player,201012190cin,cin,CaldAn00,rush_att,0,,,,,
player,201012190cin,cin,CaldAn00,rush_yds,0,,,,,
player,201012190cin,cin,CaldAn00,rush_td,0,,,,,
player,201012190cin,cin,CaldAn00,rush_long,0,,,,,
player,201012190cin,cin,CaldAn00,targets,6,,,,,
player,201012190cin,cin,CaldAn00,rec,4,,,,,
player,201012190cin,cin,CaldAn00,rec_yds,89,,,,,
player,201012190cin,cin,CaldAn00,rec_td,0,,,,,
player,201012190cin,cin,CaldAn00,rec_long,53,,,,,
player,201012190cin,cin,CaldAn00,fumbles,0,,,,,
player,201012190cin,cin,CaldAn00,fumbles_lost,,,,,,
player,201012190cin,cin,JohnCh01,pass_cmp,0,,,,,
player,201012190cin,cin,JohnCh01,pass_att,0,,,,,
player,201012190cin,cin,JohnCh01,pass_yds,0,,,,,
player,201012190cin,cin,JohnCh01,pass_td,0,,,,,
player,201012190cin,cin,JohnCh01,pass_int,0,,,,,
player,201012190cin,cin,JohnCh01,pass_sacked,0,,,,,
player,201012190cin,cin,JohnCh01,pass_sacked_yds,0,,,,,
player,201012190cin,cin,JohnCh01,pass_long,0,,,,,
player,201012190cin,cin,JohnCh01,pass_rating,,,,,,
player,201012190cin,cin,JohnCh01,rush_att,0,,,,,
player,201012190cin,cin,JohnCh01,rush_yds,0,,,,,
player,201012190cin,cin,JohnCh01,rush_td,0,,,,,
player,201012190cin,cin,JohnCh01,rush_long,0,,,,,
player,201012190cin,cin,JohnCh01,targets,3,,,,,
player,201012190cin,cin,JohnCh01,rec,2,,,,,
player,201012190cin,cin,JohnCh01,rec_yds,36,,,,,
player,201012190cin,cin,JohnCh01,rec_td,0,,,,,
player,201012190cin,cin,JohnCh01,rec_long,20,,,,,
player,201012190cin,cin,JohnCh01,fumbles,0,,,,,
player,201012190cin,cin,JohnCh01,fumbles_lost,,,,,,
player,201012190cin,cin,SimpJe00,pass_cmp,0,,,,,
player,201012190cin,cin,SimpJe00,pass_att,0,,,,,
player,201012190cin,cin,SimpJe00,pass_yds,0,,,,,
player,201012190cin,cin,SimpJe00,pass_td,0,,,,,
player,201012190cin,cin,SimpJe00,pass_int,0,,,,,
player,201012190cin,cin,SimpJe00,pass_sacked,,,,,,
player,201012190cin,cin,SimpJe00,pass_sacked_yds,,,,,,
player,201012190cin,cin,SimpJe00,pass_long,0,,,,,
player,201012190cin,cin,SimpJe00,pass_rating,,,,,,
player,201012190cin,cin,SimpJe00,rush_att,0,,,,,
player,201012190cin,cin,SimpJe00,rush_yds,0,,,,,
player,201012190cin,cin,SimpJe00,rush_td,0,,,,,
player,201012190cin,cin,SimpJe00,rush_long,0,,,,,
player,201012190cin,cin,SimpJe00,targets,3,,,,,
player,201012190cin,cin,SimpJe00,rec,2,,,,,
player,201012190cin,cin,SimpJe00,rec_yds,30,,,,,
player,201012190cin,cin,SimpJe00,rec_td,0,,,,,
player,201012190cin,cin,SimpJe00,rec_long,15,,,,,
player,201012190cin,cin,SimpJe00,fumbles,0,,,,,
player,201012190cin,cin,SimpJe00,fumbles_lost,,,,,,
player,201012190cin,cin,ShipJo00,pass_cmp,0,,,,,
player,201012190cin,cin,ShipJo00,pass_att,0,,,,,
player,201012190cin,cin,ShipJo00,pass_yds,0,,,,,
player,201012190cin,cin,ShipJo00,pass_td,0,,,,,
player,201012190cin,cin,ShipJo00,pass_int,0,,,,,
player,201012190cin,cin,ShipJo00,pass_sacked,,,,,,
player,201012190cin,cin,ShipJo00,pass_sacked_yds,,,,,,
player,201012190cin,cin,ShipJo00,pass_long,0,,,,,
player,201012190cin,cin,ShipJo00,pass_rating,,,,,,
player,201012190cin,cin,ShipJo00,rush_att,0,,,,,
player,201012190cin,cin,ShipJo00,rush_yds,0,,,,,
player,201012190cin,cin,ShipJo00,rush_td,0,,,,,
player,201012190cin,cin,ShipJo00,rush_long,0,,,,,
player,201012190cin,cin,ShipJo00,targets,3,,,,,
player,201012190cin,cin,ShipJo00,rec,2,,,,,
player,201012190cin,cin,ShipJo00,rec_yds,14,,,,,
player,201012190cin,cin,ShipJo00,rec_td,0,,,,,
player,201012190cin,cin,ShipJo00,rec_long,9,,,,,
player,201012190cin,cin,ShipJo00,fumbles,0,,,,,
player,201012190cin,cin,ShipJo00,fumbles_lost,,,,,,
player,201012190cin,cin,CosbQu00,pass_cmp,0,,,,,
player,201012190cin,cin,CosbQu00,pass_att,0,,,,,
player,201012190cin,cin,CosbQu00,pass_yds,0,,,,,
player,201012190cin,cin,CosbQu00,pass_td,0,,,,,
player,201012190cin,cin,CosbQu00,pass_int,0,,,,,
player,201012190cin,cin,CosbQu00,pass_sacked,,,,,,
player,201012190cin,cin,CosbQu00,pass_sacked_yds,,,,,,
player,201012190cin,cin,CosbQu00,pass_long,0,,,,,
player,201012190cin,cin,CosbQu00,pass_rating,,,,,,
player,201012190cin,cin,CosbQu00,rush_att,0,,,,,
player,201012190cin,cin,CosbQu00,rush_yds,0,,,,,
player,201012190cin,cin,CosbQu00,rush_td,0,,,,,
player,201012190cin,cin,CosbQu00,rush_long,0,,,,,
player,201012190cin,cin,CosbQu00,targets,1,,,,,
player,201012190cin,cin,CosbQu00,rec,1,,,,,
player,201012190cin,cin,CosbQu00,rec_yds,11,,,,,
player,201012190cin,cin,CosbQu00,rec_td,0,,,,,
player,201012190cin,cin,CosbQu00,rec_long,11,,,,,
player,201012190cin,cin,CosbQu00,fumbles,0,,,,,
player,201012190cin,cin,CosbQu00,fumbles_lost,,,,,,
player,201012190cin,cin,GresJe00,pass_cmp,0,,,,,
player,201012190cin,cin,GresJe00,pass_att,0,,,,,
player,201012190cin,cin,GresJe00,pass_yds,0,,,,,
player,201012190cin,cin,GresJe00,pass_td,0,,,,,
player,201012190cin,cin,GresJe00,pass_int,0,,,,,
player,201012190cin,cin,GresJe00,pass_sacked,,,,,,
player,201012190cin,cin,GresJe00,pass_sacked_yds,,,,,,
player,201012190cin,cin,GresJe00,pass_long,0,,,,,
player,201012190cin,cin,GresJe00,pass_rating,,,,,,
player,201012190cin,cin,GresJe00,rush_att,0,,,,,
player,201012190cin,cin,GresJe00,rush_yds,0,,,,,
player,201012190cin,cin,GresJe00,rush_td,0,,,,,
player,201012190cin,cin,GresJe00,rush_long,0,,,,,
player,201012190cin,cin,GresJe00,targets,3,,,,,
player,201012190cin,cin,GresJe00,rec,1,,,,,
player,201012190cin,cin,GresJe00,rec_yds,6,,,,,
player,201012190cin,cin,GresJe00,rec_td,0,,,,,
player,201012190cin,cin,GresJe00,rec_long,6,,,,,
player,201012190cin,cin,GresJe00,fumbles,0,,,,,
player,201012190cin,cin,GresJe00,fumbles_lost,,,,,,
player,201012190cin,cin,KellRe00,pass_cmp,0,,,,,
player,201012190cin,cin,KellRe00,pass_att,0,,,,,
player,201012190cin,cin,KellRe00,pass_yds,0,,,,,
player,201012190cin,cin,KellRe00,pass_td,0,,,,,
player,201012190cin,cin,KellRe00,pass_int,0,,,,,
player,201012190cin,cin,KellRe00,pass_sacked,,,,,,
player,201012190cin,cin,KellRe00,pass_sacked_yds,,,,,,
player,201012190cin,cin,KellRe00,pass_long,0,,,,,
player,201012190cin,cin,KellRe00,pass_rating,,,,,,
player,201012190cin,cin,KellRe00,rush_att,0,,,,,
player,201012190cin,cin,KellRe00,rush_yds,0,,,,,
player,201012190cin,cin,KellRe00,rush_td,0,,,,,
player,201012190cin,cin,KellRe00,rush_long,0,,,,,
player,201012190cin,cin,KellRe00,targets,1,,,,,
player,201012190cin,cin,KellRe00,rec,1,,,,,
player,201012190cin,cin,KellRe00,rec_yds,3,,,,,
player,201012190cin,cin,KellRe00,rec_td,0,,,,,
player,201012190cin,cin,KellRe00,rec_long,3,,,,,
player,201012190cin,cin,KellRe00,fumbles,0,,,,,
player,201012190cin,cin,KellRe00,fumbles_lost,,,,,,
player,201012190cin,cin,LeonBr00,pass_cmp,0,,,,,
player,201012190cin,cin,LeonBr00,pass_att,0,,,,,
player,201012190cin,cin,LeonBr00,pass_yds,0,,,,,
player,201012190cin,cin,LeonBr00,pass_td,0,,,,,
player,201012190cin,cin,LeonBr00,pass_int,0,,,,,
player,201012190cin,cin,LeonBr00,pass_sacked,,,,,,
player,201012190cin,cin,LeonBr00,pass_sacked_yds,,,,,,
player,201012190cin,cin,LeonBr00,pass_long,0,,,,,
player,201012190cin,cin,LeonBr00,pass_rating,,,,,,
player,201012190cin,cin,LeonBr00,rush_att,1,,,,,
player,201012190cin,cin,LeonBr00,rush_yds,-1,,,,,
player,201012190cin,cin,LeonBr00,rush_td,0,,,,,
player,201012190cin,cin,LeonBr00,rush_long,-1,,,,,
player,201012190cin,cin,LeonBr00,targets,1,,,,,
player,201012190cin,cin,LeonBr00,rec,1,,,,,
player,201012190cin,cin,LeonBr00,rec_yds,20,,,,,
player,201012190cin,cin,LeonBr00,rec_td,0,,,,,
player,201012190cin,cin,LeonBr00,rec_long,20,,,,,
player,201012190cin,cin,LeonBr00,fumbles,0,,,,,
player,201012190cin,cin,LeonBr00,fumbles_lost,,,,,,
player,201012190cin,cle,RubiAh99,def_int,0,,,,,
player,201012190cin,cle,RubiAh99,def_int_yds,0,,,,,
player,201012190cin,cle,RubiAh99,def_int_td,0,,,,,
player,201012190cin,cle,RubiAh99,def_int_long,0,,,,,
player,201012190cin,cle,RubiAh99,pass_defended,0,,,,,
player,201012190cin,cle,RubiAh99,sacks,0.0,,,,,
player,201012190cin,cle,RubiAh99,tackles_combined,10,,,,,
player,201012190cin,cle,RubiAh99,tackles_solo,5,,,,,
player,201012190cin,cle,RubiAh99,tackles_assists,5,,,,,
player,201012190cin,cle,RubiAh99,tackles_loss,0,,,,,
player,201012190cin,cle,RubiAh99,qb_hits,0,,,,,
player,201012190cin,cle,RubiAh99,fumbles_rec,0,,,,,
player,201012190cin,cle,RubiAh99,fumbles_rec_yds,0,,,,,
player,201012190cin,cle,RubiAh99,fumbles_rec_td,0,,,,,
player,201012190cin,cle,RubiAh99,fumbles_forced,0,,,,,
player,201012190cin,cle,WardT.99,def_int,0,,,,,
player,201012190cin,cle,WardT.99,def_int_yds,0,,,,,
player,201012190cin,cle,WardT.99,def_int_td,0,,,,,
player,201012190cin,cle,WardT.99,def_int_long,0,,,,,
player,201012190cin,cle,WardT.99,pass_defended,1,,,,,
player,201012190cin,cle,WardT.99,sacks,0.0,,,,,
player,201012190cin,cle,WardT.99,tackles_combined,10,,,,,
player,201012190cin,cle,WardT.99,tackles_solo,7,,,,,
player,201012190cin,cle,WardT.99,tackles_assists,3,,,,,
player,201012190cin,cle,WardT.99,tackles_loss,1,,,,,
player,201012190cin,cle,WardT.99,qb_hits,0,,,,,
player,201012190cin,cle,WardT.99,fumbles_rec,0,,,,,
player,201012190cin,cle,WardT.99,fumbles_rec_yds,0,,,,,
player,201012190cin,cle,WardT.99,fumbles_rec_td,0,,,,,
player,201012190cin,cle,WardT.99,fumbles_forced,0,,,,,
player,201012190cin,cle,ColeKe20,def_int,0,,,,,
player,201012190cin,cle,ColeKe20,def_int_yds,0,,,,,
player,201012190cin,cle,ColeKe20,def_int_td,0,,,,,
player,201012190cin,cle,ColeKe20,def_int_long,0,,,,,
player,201012190cin,cle,ColeKe20,pass_defended,0,,,,,
player,201012190cin,cle,ColeKe20,sacks,0.0,,,,,
player,201012190cin,cle,ColeKe20,tackles_combined,9,,,,,
player,201012190cin,cle,ColeKe20,tackles_solo,4,,,,,
player,201012190cin,cle,ColeKe20,tackles_assists,5,,,,,
player,201012190cin,cle,ColeKe20,tackles_loss,0,,,,,
player,201012190cin,cle,ColeKe20,qb_hits,0,,,,,
player,201012190cin,cle,ColeKe20,fumbles_rec,0,,,,,
player,201012190cin,cle,ColeKe20,fumbles_rec_yds,0,,,,,
player,201012190cin,cle,ColeKe20,fumbles_rec_td,0,,,,,
player,201012190cin,cle,ColeKe20,fumbles_forced,0,,,,,
player,201012190cin,cle,RothMa20,def_int,0,,,,,
player,201012190cin,cle,RothMa20,def_int_yds,0,,,,,
player,201012190cin,cle,RothMa20,def_int_td,0,,,,,
