game,2010,14,20101212,201012120crd,den,"Denver Broncos",13,crd,"Arizona Cardinals",43
player,201012120crd,crd,StepLa00,fumbles,0,,,,,
player,201012120crd,crd,StepLa00,fumbles_lost,,,,,,
player,201012120crd,crd,feelyjay01,pass_cmp,0,,,,,
player,201012120crd,crd,feelyjay01,pass_att,0,,,,,
player,201012120crd,crd,feelyjay01,pass_yds,0,,,,,
player,201012120crd,crd,feelyjay01,pass_td,0,,,,,
player,201012120crd,crd,feelyjay01,pass_int,0,,,,,
player,201012120crd,crd,feelyjay01,pass_sacked,0,,,,,
player,201012120crd,crd,feelyjay01,pass_sacked_yds,0,,,,,
player,201012120crd,crd,feelyjay01,pass_long,0,,,,,
player,201012120crd,crd,feelyjay01,pass_rating,,,,,,
player,201012120crd,crd,feelyjay01,rush_att,1,,,,,
player,201012120crd,crd,feelyjay01,rush_yds,5,,,,,
player,201012120crd,crd,feelyjay01,rush_td,1,,,,,
player,201012120crd,crd,feelyjay01,rush_long,5,,,,,
player,201012120crd,crd,feelyjay01,targets,0,,,,,
player,201012120crd,crd,feelyjay01,rec,0,,,,,
player,201012120crd,crd,feelyjay01,rec_yds,0,,,,,
player,201012120crd,crd,feelyjay01,rec_td,0,,,,,
player,201012120crd,crd,feelyjay01,rec_long,0,,,,,
player,201012120crd,crd,feelyjay01,fumbles,0,,,,,
player,201012120crd,crd,feelyjay01,fumbles_lost,,,,,,
player,201012120crd,crd,DoucEa00,pass_cmp,0,,,,,
player,201012120crd,crd,DoucEa00,pass_att,0,,,,,
player,201012120crd,crd,DoucEa00,pass_yds,0,,,,,
player,201012120crd,crd,DoucEa00,pass_td,0,,,,,
player,201012120crd,crd,DoucEa00,pass_int,0,,,,,
player,201012120crd,crd,DoucEa00,pass_sacked,0,,,,,
player,201012120crd,crd,DoucEa00,pass_sacked_yds,0,,,,,
player,201012120crd,crd,DoucEa00,pass_long,0,,,,,
player,201012120crd,crd,DoucEa00,pass_rating,,,,,,
player,201012120crd,crd,DoucEa00,rush_att,1,,,,,
player,201012120crd,crd,DoucEa00,rush_yds,3,,,,,
player,201012120crd,crd,DoucEa00,rush_td,0,,,,,
player,201012120crd,crd,DoucEa00,rush_long,3,,,,,
player,201012120crd,crd,DoucEa00,targets,8,,,,,
player,201012120crd,crd,DoucEa00,rec,2,,,,,
player,201012120crd,crd,DoucEa00,rec_yds,24,,,,,
player,201012120crd,crd,DoucEa00,rec_td,0,,,,,
player,201012120crd,crd,DoucEa00,rec_long,13,,,,,
player,201012120crd,crd,DoucEa00,fumbles,0,,,,,
player,201012120crd,crd,DoucEa00,fumbles_lost,,,,,,
player,201012120crd,crd,FitzLa00,pass_cmp,0,,,,,
player,201012120crd,crd,FitzLa00,pass_att,0,,,,,
player,201012120crd,crd,FitzLa00,pass_yds,0,,,,,
player,201012120crd,crd,FitzLa00,pass_td,0,,,,,
player,201012120crd,crd,FitzLa00,pass_int,0,,,,,
player,201012120crd,crd,FitzLa00,pass_sacked,0,,,,,
player,201012120crd,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201012120crd,crd,FitzLa00,pass_long,0,,,,,
player,201012120crd,crd,FitzLa00,pass_rating,,,,,,
player,201012120crd,crd,FitzLa00,rush_att,0,,,,,
player,201012120crd,crd,FitzLa00,rush_yds,0,,,,,
player,201012120crd,crd,FitzLa00,rush_td,0,,,,,
player,201012120crd,crd,FitzLa00,rush_long,0,,,,,
player,201012120crd,crd,FitzLa00,targets,11,,,,,
player,201012120crd,crd,FitzLa00,rec,6,,,,,
player,201012120crd,crd,FitzLa00,rec_yds,72,,,,,
player,201012120crd,crd,FitzLa00,rec_td,0,,,,,
player,201012120crd,crd,FitzLa00,rec_long,25,,,,,
player,201012120crd,crd,FitzLa00,fumbles,0,,,,,
player,201012120crd,crd,FitzLa00,fumbles_lost,,,,,,
player,201012120crd,crd,SpacSt00,pass_cmp,0,,,,,
player,201012120crd,crd,SpacSt00,pass_att,0,,,,,
player,201012120crd,crd,SpacSt00,pass_yds,0,,,,,
player,201012120crd,crd,SpacSt00,pass_td,0,,,,,
player,201012120crd,crd,SpacSt00,pass_int,0,,,,,
player,201012120crd,crd,SpacSt00,pass_sacked,0,,,,,
player,201012120crd,crd,SpacSt00,pass_sacked_yds,0,,,,,
player,201012120crd,crd,SpacSt00,pass_long,0,,,,,
player,201012120crd,crd,SpacSt00,pass_rating,,,,,,
player,201012120crd,crd,SpacSt00,rush_att,0,,,,,
player,201012120crd,crd,SpacSt00,rush_yds,0,,,,,
player,201012120crd,crd,SpacSt00,rush_td,0,,,,,
player,201012120crd,crd,SpacSt00,rush_long,0,,,,,
player,201012120crd,crd,SpacSt00,targets,1,,,,,
player,201012120crd,crd,SpacSt00,rec,1,,,,,
player,201012120crd,crd,SpacSt00,rec_yds,9,,,,,
player,201012120crd,crd,SpacSt00,rec_td,0,,,,,
player,201012120crd,crd,SpacSt00,rec_long,9,,,,,
player,201012120crd,crd,SpacSt00,fumbles,0,,,,,
player,201012120crd,crd,SpacSt00,fumbles_lost,,,,,,
player,201012120crd,crd,WrigJa01,pass_cmp,0,,,,,
player,201012120crd,crd,WrigJa01,pass_att,0,,,,,
player,201012120crd,crd,WrigJa01,pass_yds,0,,,,,
player,201012120crd,crd,WrigJa01,pass_td,0,,,,,
player,201012120crd,crd,WrigJa01,pass_int,0,,,,,
player,201012120crd,crd,WrigJa01,pass_sacked,0,,,,,
player,201012120crd,crd,WrigJa01,pass_sacked_yds,0,,,,,
player,201012120crd,crd,WrigJa01,pass_long,0,,,,,
player,201012120crd,crd,WrigJa01,pass_rating,,,,,,
