game,2010,16,20101226,201012260den,htx,"Houston Texans",23,den,"Denver Broncos",24
player,201012260den,htx,JoneJa03,pass_yds,0,,,,,
player,201012260den,htx,JoneJa03,pass_td,0,,,,,
player,201012260den,htx,JoneJa03,pass_int,0,,,,,
player,201012260den,htx,JoneJa03,pass_sacked,,,,,,
player,201012260den,htx,JoneJa03,pass_sacked_yds,,,,,,
player,201012260den,htx,JoneJa03,pass_long,0,,,,,
player,201012260den,htx,JoneJa03,pass_rating,,,,,,
player,201012260den,htx,JoneJa03,rush_att,1,,,,,
player,201012260den,htx,JoneJa03,rush_yds,-3,,,,,
player,201012260den,htx,JoneJa03,rush_td,0,,,,,
player,201012260den,htx,JoneJa03,rush_long,-3,,,,,
player,201012260den,htx,JoneJa03,targets,7,,,,,
player,201012260den,htx,JoneJa03,rec,5,,,,,
player,201012260den,htx,JoneJa03,rec_yds,115,,,,,
player,201012260den,htx,JoneJa03,rec_td,0,,,,,
player,201012260den,htx,JoneJa03,rec_long,47,,,,,
player,201012260den,htx,JoneJa03,fumbles,0,,,,,
player,201012260den,htx,JoneJa03,fumbles_lost,,,,,,
player,201012260den,den,TeboTi00,pass_cmp,16,,,,,
player,201012260den,den,TeboTi00,pass_att,29,,,,,
player,201012260den,den,TeboTi00,pass_yds,308,,,,,
player,201012260den,den,TeboTi00,pass_td,1,,,,,
player,201012260den,den,TeboTi00,pass_int,1,,,,,
player,201012260den,den,TeboTi00,pass_sacked,1,,,,,
player,201012260den,den,TeboTi00,pass_sacked_yds,3,,,,,
player,201012260den,den,TeboTi00,pass_long,50,,,,,
player,201012260den,den,TeboTi00,pass_rating,89.4,,,,,
player,201012260den,den,TeboTi00,rush_att,10,,,,,
player,201012260den,den,TeboTi00,rush_yds,27,,,,,
player,201012260den,den,TeboTi00,rush_td,1,,,,,
player,201012260den,den,TeboTi00,rush_long,11,,,,,
player,201012260den,den,TeboTi00,targets,0,,,,,
player,201012260den,den,TeboTi00,rec,0,,,,,
player,201012260den,den,TeboTi00,rec_yds,0,,,,,
player,201012260den,den,TeboTi00,rec_td,0,,,,,
player,201012260den,den,TeboTi00,rec_long,0,,,,,
player,201012260den,den,TeboTi00,fumbles,1,,,,,
player,201012260den,den,TeboTi00,fumbles_lost,0,,,,,
player,201012260den,den,BuckCo00,pass_cmp,0,,,,,
player,201012260den,den,BuckCo00,pass_att,0,,,,,
player,201012260den,den,BuckCo00,pass_yds,0,,,,,
player,201012260den,den,BuckCo00,pass_td,0,,,,,
player,201012260den,den,BuckCo00,pass_int,0,,,,,
player,201012260den,den,BuckCo00,pass_sacked,,,,,,
player,201012260den,den,BuckCo00,pass_sacked_yds,,,,,,
player,201012260den,den,BuckCo00,pass_long,0,,,,,
player,201012260den,den,BuckCo00,pass_rating,,,,,,
player,201012260den,den,BuckCo00,rush_att,11,,,,,
player,201012260den,den,BuckCo00,rush_yds,42,,,,,
player,201012260den,den,BuckCo00,rush_td,1,,,,,
player,201012260den,den,BuckCo00,rush_long,10,,,,,
player,201012260den,den,BuckCo00,targets,3,,,,,
player,201012260den,den,BuckCo00,rec,3,,,,,
player,201012260den,den,BuckCo00,rec_yds,50,,,,,
player,201012260den,den,BuckCo00,rec_td,1,,,,,
player,201012260den,den,BuckCo00,rec_long,23,,,,,
player,201012260den,den,BuckCo00,fumbles,0,,,,,
player,201012260den,den,BuckCo00,fumbles_lost,,,,,,
player,201012260den,den,BallLa00,pass_cmp,0,,,,,
player,201012260den,den,BallLa00,pass_att,0,,,,,
player,201012260den,den,BallLa00,pass_yds,0,,,,,
player,201012260den,den,BallLa00,pass_td,0,,,,,
player,201012260den,den,BallLa00,pass_int,0,,,,,
player,201012260den,den,BallLa00,pass_sacked,,,,,,
player,201012260den,den,BallLa00,pass_sacked_yds,,,,,,
player,201012260den,den,BallLa00,pass_long,0,,,,,
player,201012260den,den,BallLa00,pass_rating,,,,,,
player,201012260den,den,BallLa00,rush_att,5,,,,,
player,201012260den,den,BallLa00,rush_yds,38,,,,,
player,201012260den,den,BallLa00,rush_td,0,,,,,
player,201012260den,den,BallLa00,rush_long,15,,,,,
player,201012260den,den,BallLa00,targets,1,,,,,
player,201012260den,den,BallLa00,rec,1,,,,,
player,201012260den,den,BallLa00,rec_yds,13,,,,,
player,201012260den,den,BallLa00,rec_td,0,,,,,
player,201012260den,den,BallLa00,rec_long,13,,,,,
player,201012260den,den,BallLa00,fumbles,1,,,,,
player,201012260den,den,BallLa00,fumbles_lost,0,,,,,
player,201012260den,den,MoreKn00,pass_cmp,0,,,,,
player,201012260den,den,MoreKn00,pass_att,0,,,,,
player,201012260den,den,MoreKn00,pass_yds,0,,,,,
player,201012260den,den,MoreKn00,pass_td,0,,,,,
player,201012260den,den,MoreKn00,pass_int,0,,,,,
player,201012260den,den,MoreKn00,pass_sacked,,,,,,
player,201012260den,den,MoreKn00,pass_sacked_yds,,,,,,
player,201012260den,den,MoreKn00,pass_long,0,,,,,
player,201012260den,den,MoreKn00,pass_rating,,,,,,
player,201012260den,den,MoreKn00,rush_att,7,,,,,
player,201012260den,den,MoreKn00,rush_yds,19,,,,,
player,201012260den,den,MoreKn00,rush_td,0,,,,,
player,201012260den,den,MoreKn00,rush_long,11,,,,,
player,201012260den,den,MoreKn00,targets,1,,,,,
player,201012260den,den,MoreKn00,rec,1,,,,,
player,201012260den,den,MoreKn00,rec_yds,22,,,,,
player,201012260den,den,MoreKn00,rec_td,0,,,,,
player,201012260den,den,MoreKn00,rec_long,22,,,,,
player,201012260den,den,MoreKn00,fumbles,0,,,,,
player,201012260den,den,MoreKn00,fumbles_lost,,,,,,
player,201012260den,den,LloyBr00,pass_cmp,0,,,,,
player,201012260den,den,LloyBr00,pass_att,0,,,,,
player,201012260den,den,LloyBr00,pass_yds,0,,,,,
player,201012260den,den,LloyBr00,pass_td,0,,,,,
player,201012260den,den,LloyBr00,pass_int,0,,,,,
player,201012260den,den,LloyBr00,pass_sacked,,,,,,
player,201012260den,den,LloyBr00,pass_sacked_yds,,,,,,
player,201012260den,den,LloyBr00,pass_long,0,,,,,
player,201012260den,den,LloyBr00,pass_rating,,,,,,
player,201012260den,den,LloyBr00,rush_att,0,,,,,
player,201012260den,den,LloyBr00,rush_yds,0,,,,,
player,201012260den,den,LloyBr00,rush_td,0,,,,,
player,201012260den,den,LloyBr00,rush_long,0,,,,,
player,201012260den,den,LloyBr00,targets,9,,,,,
player,201012260den,den,LloyBr00,rec,5,,,,,
player,201012260den,den,LloyBr00,rec_yds,111,,,,,
player,201012260den,den,LloyBr00,rec_td,0,,,,,
player,201012260den,den,LloyBr00,rec_long,41,,,,,
player,201012260den,den,LloyBr00,fumbles,0,,,,,
player,201012260den,den,LloyBr00,fumbles_lost,,,,,,
player,201012260den,den,GaffJa00,pass_cmp,0,,,,,
player,201012260den,den,GaffJa00,pass_att,0,,,,,
player,201012260den,den,GaffJa00,pass_yds,0,,,,,
player,201012260den,den,GaffJa00,pass_td,0,,,,,
player,201012260den,den,GaffJa00,pass_int,0,,,,,
player,201012260den,den,GaffJa00,pass_sacked,,,,,,
player,201012260den,den,GaffJa00,pass_sacked_yds,,,,,,
player,201012260den,den,GaffJa00,pass_long,0,,,,,
player,201012260den,den,GaffJa00,pass_rating,,,,,,
player,201012260den,den,GaffJa00,rush_att,0,,,,,
player,201012260den,den,GaffJa00,rush_yds,0,,,,,
player,201012260den,den,GaffJa00,rush_td,0,,,,,
player,201012260den,den,GaffJa00,rush_long,0,,,,,
player,201012260den,den,GaffJa00,targets,7,,,,,
player,201012260den,den,GaffJa00,rec,4,,,,,
player,201012260den,den,GaffJa00,rec_yds,90,,,,,
player,201012260den,den,GaffJa00,rec_td,0,,,,,
player,201012260den,den,GaffJa00,rec_long,50,,,,,
player,201012260den,den,GaffJa00,fumbles,1,,,,,
player,201012260den,den,GaffJa00,fumbles_lost,0,,,,,
player,201012260den,den,RoyaEd00,pass_cmp,0,,,,,
player,201012260den,den,RoyaEd00,pass_att,0,,,,,
player,201012260den,den,RoyaEd00,pass_yds,0,,,,,
player,201012260den,den,RoyaEd00,pass_td,0,,,,,
player,201012260den,den,RoyaEd00,pass_int,0,,,,,
player,201012260den,den,RoyaEd00,pass_sacked,,,,,,
player,201012260den,den,RoyaEd00,pass_sacked_yds,,,,,,
player,201012260den,den,RoyaEd00,pass_long,0,,,,,
player,201012260den,den,RoyaEd00,pass_rating,,,,,,
player,201012260den,den,RoyaEd00,rush_att,0,,,,,
player,201012260den,den,RoyaEd00,rush_yds,0,,,,,
player,201012260den,den,RoyaEd00,rush_td,0,,,,,
player,201012260den,den,RoyaEd00,rush_long,0,,,,,
player,201012260den,den,RoyaEd00,targets,7,,,,,
player,201012260den,den,RoyaEd00,rec,2,,,,,
player,201012260den,den,RoyaEd00,rec_yds,22,,,,,
player,201012260den,den,RoyaEd00,rec_td,0,,,,,
player,201012260den,den,RoyaEd00,rec_long,13,,,,,
player,201012260den,den,RoyaEd00,fumbles,0,,,,,
player,201012260den,den,RoyaEd00,fumbles_lost,,,,,,
player,201012260den,den,QuinRi00,pass_cmp,,,,,,
player,201012260den,den,QuinRi00,pass_att,,,,,,
player,201012260den,den,QuinRi00,pass_yds,,,,,,
player,201012260den,den,QuinRi00,pass_td,,,,,,
player,201012260den,den,QuinRi00,pass_int,,,,,,
player,201012260den,den,QuinRi00,pass_sacked,,,,,,
player,201012260den,den,QuinRi00,pass_sacked_yds,,,,,,
player,201012260den,den,QuinRi00,pass_long,,,,,,
player,201012260den,den,QuinRi00,pass_rating,,,,,,
player,201012260den,den,QuinRi00,rush_att,,,,,,
player,201012260den,den,QuinRi00,rush_yds,,,,,,
player,201012260den,den,QuinRi00,rush_td,,,,,,
player,201012260den,den,QuinRi00,rush_long,,,,,,
player,201012260den,den,QuinRi00,targets,1,,,,,
player,201012260den,den,QuinRi00,rec,0,,,,,
player,201012260den,den,QuinRi00,rec_yds,0,,,,,
player,201012260den,den,QuinRi00,rec_td,0,,,,,
player,201012260den,den,QuinRi00,rec_long,,,,,,
player,201012260den,den,QuinRi00,fumbles,,,,,,
player,201012260den,den,QuinRi00,fumbles_lost,,,,,,
player,201012260den,htx,AlleJa23,def_int,1,,,,,
player,201012260den,htx,AlleJa23,def_int_yds,0,,,,,
player,201012260den,htx,AlleJa23,def_int_td,0,,,,,
