game,2010,13,20101205,201012050oti,jax,"Jacksonville Jaguars",17,oti,"Tennessee Titans",6
player,201012050oti,jax,MillZa02,pass_long,0,,,,,
player,201012050oti,jax,MillZa02,pass_rating,,,,,,
player,201012050oti,jax,MillZa02,rush_att,2,,,,,
player,201012050oti,jax,MillZa02,rush_yds,9,,,,,
player,201012050oti,jax,MillZa02,rush_td,0,,,,,
player,201012050oti,jax,MillZa02,rush_long,8,,,,,
player,201012050oti,jax,MillZa02,targets,3,,,,,
player,201012050oti,jax,MillZa02,rec,3,,,,,
player,201012050oti,jax,MillZa02,rec_yds,34,,,,,
player,201012050oti,jax,MillZa02,rec_td,0,,,,,
player,201012050oti,jax,MillZa02,rec_long,18,,,,,
player,201012050oti,jax,MillZa02,fumbles,0,,,,,
player,201012050oti,jax,MillZa02,fumbles_lost,,,,,,
player,201012050oti,jax,LewiMa00,pass_cmp,0,,,,,
player,201012050oti,jax,LewiMa00,pass_att,0,,,,,
player,201012050oti,jax,LewiMa00,pass_yds,0,,,,,
player,201012050oti,jax,LewiMa00,pass_td,0,,,,,
player,201012050oti,jax,LewiMa00,pass_int,0,,,,,
player,201012050oti,jax,LewiMa00,pass_sacked,,,,,,
player,201012050oti,jax,LewiMa00,pass_sacked_yds,,,,,,
player,201012050oti,jax,LewiMa00,pass_long,0,,,,,
player,201012050oti,jax,LewiMa00,pass_rating,,,,,,
player,201012050oti,jax,LewiMa00,rush_att,0,,,,,
player,201012050oti,jax,LewiMa00,rush_yds,0,,,,,
player,201012050oti,jax,LewiMa00,rush_td,0,,,,,
player,201012050oti,jax,LewiMa00,rush_long,0,,,,,
player,201012050oti,jax,LewiMa00,targets,4,,,,,
player,201012050oti,jax,LewiMa00,rec,3,,,,,
player,201012050oti,jax,LewiMa00,rec_yds,36,,,,,
player,201012050oti,jax,LewiMa00,rec_td,0,,,,,
player,201012050oti,jax,LewiMa00,rec_long,20,,,,,
player,201012050oti,jax,LewiMa00,fumbles,0,,,,,
player,201012050oti,jax,LewiMa00,fumbles_lost,,,,,,
player,201012050oti,jax,ThomMi01,pass_cmp,0,,,,,
player,201012050oti,jax,ThomMi01,pass_att,0,,,,,
player,201012050oti,jax,ThomMi01,pass_yds,0,,,,,
player,201012050oti,jax,ThomMi01,pass_td,0,,,,,
player,201012050oti,jax,ThomMi01,pass_int,0,,,,,
player,201012050oti,jax,ThomMi01,pass_sacked,,,,,,
player,201012050oti,jax,ThomMi01,pass_sacked_yds,,,,,,
player,201012050oti,jax,ThomMi01,pass_long,0,,,,,
player,201012050oti,jax,ThomMi01,pass_rating,,,,,,
player,201012050oti,jax,ThomMi01,rush_att,0,,,,,
player,201012050oti,jax,ThomMi01,rush_yds,0,,,,,
player,201012050oti,jax,ThomMi01,rush_td,0,,,,,
player,201012050oti,jax,ThomMi01,rush_long,0,,,,,
player,201012050oti,jax,ThomMi01,targets,5,,,,,
player,201012050oti,jax,ThomMi01,rec,4,,,,,
player,201012050oti,jax,ThomMi01,rec_yds,31,,,,,
player,201012050oti,jax,ThomMi01,rec_td,0,,,,,
player,201012050oti,jax,ThomMi01,rec_long,12,,,,,
player,201012050oti,jax,ThomMi01,fumbles,0,,,,,
player,201012050oti,jax,ThomMi01,fumbles_lost,,,,,,
player,201012050oti,jax,JoneGr01,pass_cmp,0,,,,,
player,201012050oti,jax,JoneGr01,pass_att,0,,,,,
player,201012050oti,jax,JoneGr01,pass_yds,0,,,,,
player,201012050oti,jax,JoneGr01,pass_td,0,,,,,
player,201012050oti,jax,JoneGr01,pass_int,0,,,,,
player,201012050oti,jax,JoneGr01,pass_sacked,,,,,,
player,201012050oti,jax,JoneGr01,pass_sacked_yds,,,,,,
player,201012050oti,jax,JoneGr01,pass_long,0,,,,,
player,201012050oti,jax,JoneGr01,pass_rating,,,,,,
player,201012050oti,jax,JoneGr01,rush_att,0,,,,,
player,201012050oti,jax,JoneGr01,rush_yds,0,,,,,
player,201012050oti,jax,JoneGr01,rush_td,0,,,,,
player,201012050oti,jax,JoneGr01,rush_long,0,,,,,
player,201012050oti,jax,JoneGr01,targets,1,,,,,
player,201012050oti,jax,JoneGr01,rec,1,,,,,
player,201012050oti,jax,JoneGr01,rec_yds,11,,,,,
player,201012050oti,jax,JoneGr01,rec_td,0,,,,,
player,201012050oti,jax,JoneGr01,rec_long,11,,,,,
player,201012050oti,jax,JoneGr01,fumbles,0,,,,,
player,201012050oti,jax,JoneGr01,fumbles_lost,,,,,,
player,201012050oti,jax,PottZa99,pass_cmp,,,,,,
player,201012050oti,jax,PottZa99,pass_att,,,,,,
player,201012050oti,jax,PottZa99,pass_yds,,,,,,
player,201012050oti,jax,PottZa99,pass_td,,,,,,
player,201012050oti,jax,PottZa99,pass_int,,,,,,
player,201012050oti,jax,PottZa99,pass_sacked,,,,,,
player,201012050oti,jax,PottZa99,pass_sacked_yds,,,,,,
player,201012050oti,jax,PottZa99,pass_long,,,,,,
player,201012050oti,jax,PottZa99,pass_rating,,,,,,
player,201012050oti,jax,PottZa99,rush_att,,,,,,
player,201012050oti,jax,PottZa99,rush_yds,,,,,,
player,201012050oti,jax,PottZa99,rush_td,,,,,,
player,201012050oti,jax,PottZa99,rush_long,,,,,,
player,201012050oti,jax,PottZa99,targets,1,,,,,
player,201012050oti,jax,PottZa99,rec,0,,,,,
player,201012050oti,jax,PottZa99,rec_yds,0,,,,,
player,201012050oti,jax,PottZa99,rec_td,0,,,,,
player,201012050oti,jax,PottZa99,rec_long,,,,,,
player,201012050oti,jax,PottZa99,fumbles,,,,,,
player,201012050oti,jax,PottZa99,fumbles_lost,,,,,,
player,201012050oti,jax,OsgoKa00,pass_cmp,,,,,,
player,201012050oti,jax,OsgoKa00,pass_att,,,,,,
player,201012050oti,jax,OsgoKa00,pass_yds,,,,,,
player,201012050oti,jax,OsgoKa00,pass_td,,,,,,
player,201012050oti,jax,OsgoKa00,pass_int,,,,,,
player,201012050oti,jax,OsgoKa00,pass_sacked,,,,,,
player,201012050oti,jax,OsgoKa00,pass_sacked_yds,,,,,,
player,201012050oti,jax,OsgoKa00,pass_long,,,,,,
player,201012050oti,jax,OsgoKa00,pass_rating,,,,,,
player,201012050oti,jax,OsgoKa00,rush_att,,,,,,
player,201012050oti,jax,OsgoKa00,rush_yds,,,,,,
player,201012050oti,jax,OsgoKa00,rush_td,,,,,,
player,201012050oti,jax,OsgoKa00,rush_long,,,,,,
player,201012050oti,jax,OsgoKa00,targets,1,,,,,
player,201012050oti,jax,OsgoKa00,rec,0,,,,,
player,201012050oti,jax,OsgoKa00,rec_yds,0,,,,,
player,201012050oti,jax,OsgoKa00,rec_td,0,,,,,
player,201012050oti,jax,OsgoKa00,rec_long,,,,,,
player,201012050oti,jax,OsgoKa00,fumbles,,,,,,
player,201012050oti,jax,OsgoKa00,fumbles_lost,,,,,,
player,201012050oti,jax,HillJa00,pass_cmp,,,,,,
player,201012050oti,jax,HillJa00,pass_att,,,,,,
player,201012050oti,jax,HillJa00,pass_yds,,,,,,
player,201012050oti,jax,HillJa00,pass_td,,,,,,
player,201012050oti,jax,HillJa00,pass_int,,,,,,
player,201012050oti,jax,HillJa00,pass_sacked,,,,,,
player,201012050oti,jax,HillJa00,pass_sacked_yds,,,,,,
player,201012050oti,jax,HillJa00,pass_long,,,,,,
player,201012050oti,jax,HillJa00,pass_rating,,,,,,
player,201012050oti,jax,HillJa00,rush_att,,,,,,
player,201012050oti,jax,HillJa00,rush_yds,,,,,,
player,201012050oti,jax,HillJa00,rush_td,,,,,,
player,201012050oti,jax,HillJa00,rush_long,,,,,,
player,201012050oti,jax,HillJa00,targets,1,,,,,
player,201012050oti,jax,HillJa00,rec,0,,,,,
player,201012050oti,jax,HillJa00,rec_yds,0,,,,,
player,201012050oti,jax,HillJa00,rec_td,0,,,,,
player,201012050oti,jax,HillJa00,rec_long,,,,,,
player,201012050oti,jax,HillJa00,fumbles,,,,,,
player,201012050oti,jax,HillJa00,fumbles_lost,,,,,,
player,201012050oti,oti,CollKe00,pass_cmp,14,,,,,
player,201012050oti,oti,CollKe00,pass_att,32,,,,,
player,201012050oti,oti,CollKe00,pass_yds,169,,,,,
player,201012050oti,oti,CollKe00,pass_td,0,,,,,
player,201012050oti,oti,CollKe00,pass_int,2,,,,,
player,201012050oti,oti,CollKe00,pass_sacked,1,,,,,
player,201012050oti,oti,CollKe00,pass_sacked_yds,6,,,,,
player,201012050oti,oti,CollKe00,pass_long,25,,,,,
player,201012050oti,oti,CollKe00,pass_rating,34.5,,,,,
player,201012050oti,oti,CollKe00,rush_att,1,,,,,
player,201012050oti,oti,CollKe00,rush_yds,4,,,,,
player,201012050oti,oti,CollKe00,rush_td,0,,,,,
player,201012050oti,oti,CollKe00,rush_long,4,,,,,
player,201012050oti,oti,CollKe00,targets,0,,,,,
player,201012050oti,oti,CollKe00,rec,0,,,,,
player,201012050oti,oti,CollKe00,rec_yds,0,,,,,
player,201012050oti,oti,CollKe00,rec_td,0,,,,,
player,201012050oti,oti,CollKe00,rec_long,0,,,,,
player,201012050oti,oti,CollKe00,fumbles,0,,,,,
player,201012050oti,oti,CollKe00,fumbles_lost,,,,,,
player,201012050oti,oti,JohnCh04,pass_cmp,0,,,,,
player,201012050oti,oti,JohnCh04,pass_att,0,,,,,
player,201012050oti,oti,JohnCh04,pass_yds,0,,,,,
player,201012050oti,oti,JohnCh04,pass_td,0,,,,,
player,201012050oti,oti,JohnCh04,pass_int,0,,,,,
player,201012050oti,oti,JohnCh04,pass_sacked,,,,,,
player,201012050oti,oti,JohnCh04,pass_sacked_yds,,,,,,
player,201012050oti,oti,JohnCh04,pass_long,0,,,,,
player,201012050oti,oti,JohnCh04,pass_rating,,,,,,
player,201012050oti,oti,JohnCh04,rush_att,13,,,,,
player,201012050oti,oti,JohnCh04,rush_yds,53,,,,,
player,201012050oti,oti,JohnCh04,rush_td,0,,,,,
player,201012050oti,oti,JohnCh04,rush_long,21,,,,,
player,201012050oti,oti,JohnCh04,targets,2,,,,,
player,201012050oti,oti,JohnCh04,rec,2,,,,,
player,201012050oti,oti,JohnCh04,rec_yds,14,,,,,
player,201012050oti,oti,JohnCh04,rec_td,0,,,,,
player,201012050oti,oti,JohnCh04,rec_long,8,,,,,
player,201012050oti,oti,JohnCh04,fumbles,0,,,,,
player,201012050oti,oti,JohnCh04,fumbles_lost,,,,,,
player,201012050oti,oti,CookJa02,pass_cmp,0,,,,,
player,201012050oti,oti,CookJa02,pass_att,0,,,,,
player,201012050oti,oti,CookJa02,pass_yds,0,,,,,
player,201012050oti,oti,CookJa02,pass_td,0,,,,,
player,201012050oti,oti,CookJa02,pass_int,0,,,,,
player,201012050oti,oti,CookJa02,pass_sacked,,,,,,
player,201012050oti,oti,CookJa02,pass_sacked_yds,,,,,,
player,201012050oti,oti,CookJa02,pass_long,0,,,,,
player,201012050oti,oti,CookJa02,pass_rating,,,,,,
player,201012050oti,oti,CookJa02,rush_att,0,,,,,
player,201012050oti,oti,CookJa02,rush_yds,0,,,,,
player,201012050oti,oti,CookJa02,rush_td,0,,,,,
player,201012050oti,oti,CookJa02,rush_long,0,,,,,
player,201012050oti,oti,CookJa02,targets,6,,,,,
player,201012050oti,oti,CookJa02,rec,4,,,,,
player,201012050oti,oti,CookJa02,rec_yds,47,,,,,
player,201012050oti,oti,CookJa02,rec_td,0,,,,,
player,201012050oti,oti,CookJa02,rec_long,18,,,,,
player,201012050oti,oti,CookJa02,fumbles,0,,,,,
player,201012050oti,oti,CookJa02,fumbles_lost,,,,,,
player,201012050oti,oti,WashNa00,pass_cmp,0,,,,,
player,201012050oti,oti,WashNa00,pass_att,0,,,,,
player,201012050oti,oti,WashNa00,pass_yds,0,,,,,
player,201012050oti,oti,WashNa00,pass_td,0,,,,,
player,201012050oti,oti,WashNa00,pass_int,0,,,,,
player,201012050oti,oti,WashNa00,pass_sacked,,,,,,
player,201012050oti,oti,WashNa00,pass_sacked_yds,,,,,,
player,201012050oti,oti,WashNa00,pass_long,0,,,,,
player,201012050oti,oti,WashNa00,pass_rating,,,,,,
player,201012050oti,oti,WashNa00,rush_att,0,,,,,
player,201012050oti,oti,WashNa00,rush_yds,0,,,,,
player,201012050oti,oti,WashNa00,rush_td,0,,,,,
player,201012050oti,oti,WashNa00,rush_long,0,,,,,
player,201012050oti,oti,WashNa00,targets,6,,,,,
player,201012050oti,oti,WashNa00,rec,3,,,,,
player,201012050oti,oti,WashNa00,rec_yds,40,,,,,
player,201012050oti,oti,WashNa00,rec_td,0,,,,,
player,201012050oti,oti,WashNa00,rec_long,21,,,,,
player,201012050oti,oti,WashNa00,fumbles,0,,,,,
player,201012050oti,oti,WashNa00,fumbles_lost,,,,,,
player,201012050oti,oti,GageJu00,pass_cmp,0,,,,,
player,201012050oti,oti,GageJu00,pass_att,0,,,,,
player,201012050oti,oti,GageJu00,pass_yds,0,,,,,
player,201012050oti,oti,GageJu00,pass_td,0,,,,,
player,201012050oti,oti,GageJu00,pass_int,0,,,,,
player,201012050oti,oti,GageJu00,pass_sacked,,,,,,
player,201012050oti,oti,GageJu00,pass_sacked_yds,,,,,,
player,201012050oti,oti,GageJu00,pass_long,0,,,,,
player,201012050oti,oti,GageJu00,pass_rating,,,,,,
player,201012050oti,oti,GageJu00,rush_att,0,,,,,
player,201012050oti,oti,GageJu00,rush_yds,0,,,,,
player,201012050oti,oti,GageJu00,rush_td,0,,,,,
player,201012050oti,oti,GageJu00,rush_long,0,,,,,
player,201012050oti,oti,GageJu00,targets,4,,,,,
player,201012050oti,oti,GageJu00,rec,1,,,,,
player,201012050oti,oti,GageJu00,rec_yds,25,,,,,
player,201012050oti,oti,GageJu00,rec_td,0,,,,,
player,201012050oti,oti,GageJu00,rec_long,25,,,,,
player,201012050oti,oti,GageJu00,fumbles,0,,,,,
player,201012050oti,oti,GageJu00,fumbles_lost,,,,,,
player,201012050oti,oti,StevCr00,pass_cmp,0,,,,,
player,201012050oti,oti,StevCr00,pass_att,0,,,,,
player,201012050oti,oti,StevCr00,pass_yds,0,,,,,
player,201012050oti,oti,StevCr00,pass_td,0,,,,,
player,201012050oti,oti,StevCr00,pass_int,0,,,,,
player,201012050oti,oti,StevCr00,pass_sacked,,,,,,
player,201012050oti,oti,StevCr00,pass_sacked_yds,,,,,,
player,201012050oti,oti,StevCr00,pass_long,0,,,,,
player,201012050oti,oti,StevCr00,pass_rating,,,,,,
player,201012050oti,oti,StevCr00,rush_att,0,,,,,
player,201012050oti,oti,StevCr00,rush_yds,0,,,,,
player,201012050oti,oti,StevCr00,rush_td,0,,,,,
player,201012050oti,oti,StevCr00,rush_long,0,,,,,
player,201012050oti,oti,StevCr00,targets,3,,,,,
player,201012050oti,oti,StevCr00,rec,1,,,,,
player,201012050oti,oti,StevCr00,rec_yds,19,,,,,
player,201012050oti,oti,StevCr00,rec_td,0,,,,,
player,201012050oti,oti,StevCr00,rec_long,19,,,,,
player,201012050oti,oti,StevCr00,fumbles,0,,,,,
player,201012050oti,oti,StevCr00,fumbles_lost,,,,,,
player,201012050oti,oti,MossRa00,pass_cmp,0,,,,,
player,201012050oti,oti,MossRa00,pass_att,0,,,,,
player,201012050oti,oti,MossRa00,pass_yds,0,,,,,
player,201012050oti,oti,MossRa00,pass_td,0,,,,,
player,201012050oti,oti,MossRa00,pass_int,0,,,,,
player,201012050oti,oti,MossRa00,pass_sacked,,,,,,
player,201012050oti,oti,MossRa00,pass_sacked_yds,,,,,,
player,201012050oti,oti,MossRa00,pass_long,0,,,,,
player,201012050oti,oti,MossRa00,pass_rating,,,,,,
player,201012050oti,oti,MossRa00,rush_att,0,,,,,
player,201012050oti,oti,MossRa00,rush_yds,0,,,,,
player,201012050oti,oti,MossRa00,rush_td,0,,,,,
player,201012050oti,oti,MossRa00,rush_long,0,,,,,
player,201012050oti,oti,MossRa00,targets,3,,,,,
player,201012050oti,oti,MossRa00,rec,1,,,,,
player,201012050oti,oti,MossRa00,rec_yds,13,,,,,
player,201012050oti,oti,MossRa00,rec_td,0,,,,,
player,201012050oti,oti,MossRa00,rec_long,13,,,,,
player,201012050oti,oti,MossRa00,fumbles,0,,,,,
player,201012050oti,oti,MossRa00,fumbles_lost,,,,,,
player,201012050oti,oti,ScaiBo00,pass_cmp,0,,,,,
player,201012050oti,oti,ScaiBo00,pass_att,0,,,,,
player,201012050oti,oti,ScaiBo00,pass_yds,0,,,,,
player,201012050oti,oti,ScaiBo00,pass_td,0,,,,,
player,201012050oti,oti,ScaiBo00,pass_int,0,,,,,
player,201012050oti,oti,ScaiBo00,pass_sacked,,,,,,
player,201012050oti,oti,ScaiBo00,pass_sacked_yds,,,,,,
player,201012050oti,oti,ScaiBo00,pass_long,0,,,,,
player,201012050oti,oti,ScaiBo00,pass_rating,,,,,,
player,201012050oti,oti,ScaiBo00,rush_att,0,,,,,
player,201012050oti,oti,ScaiBo00,rush_yds,0,,,,,
player,201012050oti,oti,ScaiBo00,rush_td,0,,,,,
player,201012050oti,oti,ScaiBo00,rush_long,0,,,,,
player,201012050oti,oti,ScaiBo00,targets,4,,,,,
player,201012050oti,oti,ScaiBo00,rec,1,,,,,
player,201012050oti,oti,ScaiBo00,rec_yds,7,,,,,
player,201012050oti,oti,ScaiBo00,rec_td,0,,,,,
player,201012050oti,oti,ScaiBo00,rec_long,7,,,,,
player,201012050oti,oti,ScaiBo00,fumbles,0,,,,,
player,201012050oti,oti,ScaiBo00,fumbles_lost,,,,,,
player,201012050oti,oti,RingJa00,pass_cmp,0,,,,,
player,201012050oti,oti,RingJa00,pass_att,0,,,,,
player,201012050oti,oti,RingJa00,pass_yds,0,,,,,
player,201012050oti,oti,RingJa00,pass_td,0,,,,,
player,201012050oti,oti,RingJa00,pass_int,0,,,,,
player,201012050oti,oti,RingJa00,pass_sacked,,,,,,
player,201012050oti,oti,RingJa00,pass_sacked_yds,,,,,,
player,201012050oti,oti,RingJa00,pass_long,0,,,,,
player,201012050oti,oti,RingJa00,pass_rating,,,,,,
player,201012050oti,oti,RingJa00,rush_att,0,,,,,
player,201012050oti,oti,RingJa00,rush_yds,0,,,,,
player,201012050oti,oti,RingJa00,rush_td,0,,,,,
player,201012050oti,oti,RingJa00,rush_long,0,,,,,
player,201012050oti,oti,RingJa00,targets,1,,,,,
player,201012050oti,oti,RingJa00,rec,1,,,,,
player,201012050oti,oti,RingJa00,rec_yds,4,,,,,
player,201012050oti,oti,RingJa00,rec_td,0,,,,,
player,201012050oti,oti,RingJa00,rec_long,4,,,,,
player,201012050oti,oti,RingJa00,fumbles,0,,,,,
player,201012050oti,oti,RingJa00,fumbles_lost,,,,,,
player,201012050oti,oti,WillDa04,pass_cmp,,,,,,
player,201012050oti,oti,WillDa04,pass_att,,,,,,
player,201012050oti,oti,WillDa04,pass_yds,,,,,,
player,201012050oti,oti,WillDa04,pass_td,,,,,,
player,201012050oti,oti,WillDa04,pass_int,,,,,,
player,201012050oti,oti,WillDa04,pass_sacked,,,,,,
player,201012050oti,oti,WillDa04,pass_sacked_yds,,,,,,
player,201012050oti,oti,WillDa04,pass_long,,,,,,
player,201012050oti,oti,WillDa04,pass_rating,,,,,,
player,201012050oti,oti,WillDa04,rush_att,,,,,,
player,201012050oti,oti,WillDa04,rush_yds,,,,,,
player,201012050oti,oti,WillDa04,rush_td,,,,,,
player,201012050oti,oti,WillDa04,rush_long,,,,,,
player,201012050oti,oti,WillDa04,targets,1,,,,,
player,201012050oti,oti,WillDa04,rec,0,,,,,
player,201012050oti,oti,WillDa04,rec_yds,0,,,,,
player,201012050oti,oti,WillDa04,rec_td,0,,,,,
player,201012050oti,oti,WillDa04,rec_long,,,,,,
player,201012050oti,oti,WillDa04,fumbles,,,,,,
player,201012050oti,oti,WillDa04,fumbles_lost,,,,,,
player,201012050oti,jax,CoxxDe99,def_int,1,,,,,
player,201012050oti,jax,CoxxDe99,def_int_yds,0,,,,,
player,201012050oti,jax,CoxxDe99,def_int_td,0,,,,,
player,201012050oti,jax,CoxxDe99,def_int_long,0,,,,,
player,201012050oti,jax,CoxxDe99,pass_defended,2,,,,,
player,201012050oti,jax,CoxxDe99,sacks,0.0,,,,,
player,201012050oti,jax,CoxxDe99,tackles_combined,4,,,,,
player,201012050oti,jax,CoxxDe99,tackles_solo,4,,,,,
player,201012050oti,jax,CoxxDe99,tackles_assists,0,,,,,
player,201012050oti,jax,CoxxDe99,tackles_loss,0,,,,,
player,201012050oti,jax,CoxxDe99,qb_hits,0,,,,,
player,201012050oti,jax,CoxxDe99,fumbles_rec,0,,,,,
player,201012050oti,jax,CoxxDe99,fumbles_rec_yds,0,,,,,
player,201012050oti,jax,CoxxDe99,fumbles_rec_td,0,,,,,
player,201012050oti,jax,CoxxDe99,fumbles_forced,0,,,,,
player,201012050oti,jax,MiddWi98,def_int,1,,,,,
player,201012050oti,jax,MiddWi98,def_int_yds,2,,,,,
player,201012050oti,jax,MiddWi98,def_int_td,0,,,,,
player,201012050oti,jax,MiddWi98,def_int_long,2,,,,,
player,201012050oti,jax,MiddWi98,pass_defended,1,,,,,
player,201012050oti,jax,MiddWi98,sacks,0.0,,,,,
player,201012050oti,jax,MiddWi98,tackles_combined,0,,,,,
player,201012050oti,jax,MiddWi98,tackles_solo,0,,,,,
player,201012050oti,jax,MiddWi98,tackles_assists,0,,,,,
player,201012050oti,jax,MiddWi98,tackles_loss,0,,,,,
player,201012050oti,jax,MiddWi98,qb_hits,0,,,,,
player,201012050oti,jax,MiddWi98,fumbles_rec,0,,,,,
player,201012050oti,jax,MiddWi98,fumbles_rec_yds,0,,,,,
player,201012050oti,jax,MiddWi98,fumbles_rec_td,0,,,,,
player,201012050oti,jax,MiddWi98,fumbles_forced,0,,,,,
player,201012050oti,jax,MincJe99,def_int,0,,,,,
player,201012050oti,jax,MincJe99,def_int_yds,0,,,,,
player,201012050oti,jax,MincJe99,def_int_td,0,,,,,
player,201012050oti,jax,MincJe99,def_int_long,0,,,,,
player,201012050oti,jax,MincJe99,pass_defended,0,,,,,
player,201012050oti,jax,MincJe99,sacks,1.0,,,,,
player,201012050oti,jax,MincJe99,tackles_combined,3,,,,,
player,201012050oti,jax,MincJe99,tackles_solo,2,,,,,
player,201012050oti,jax,MincJe99,tackles_assists,1,,,,,
