game,2010,11,20101121,201011210jax,cle,"Cleveland Browns",20,jax,"Jacksonville Jaguars",24
player,201011210jax,cle,MoorEv00,pass_rating,,,,,,
player,201011210jax,cle,MoorEv00,rush_att,0,,,,,
player,201011210jax,cle,MoorEv00,rush_yds,0,,,,,
player,201011210jax,cle,MoorEv00,rush_td,0,,,,,
player,201011210jax,cle,MoorEv00,rush_long,0,,,,,
player,201011210jax,cle,MoorEv00,targets,3,,,,,
player,201011210jax,cle,MoorEv00,rec,3,,,,,
player,201011210jax,cle,MoorEv00,rec_yds,69,,,,,
player,201011210jax,cle,MoorEv00,rec_td,0,,,,,
player,201011210jax,cle,MoorEv00,rec_long,38,,,,,
player,201011210jax,cle,MoorEv00,fumbles,0,,,,,
player,201011210jax,cle,MoorEv00,fumbles_lost,,,,,,
player,201011210jax,cle,MassMo00,pass_cmp,0,,,,,
player,201011210jax,cle,MassMo00,pass_att,0,,,,,
player,201011210jax,cle,MassMo00,pass_yds,0,,,,,
player,201011210jax,cle,MassMo00,pass_td,0,,,,,
player,201011210jax,cle,MassMo00,pass_int,0,,,,,
player,201011210jax,cle,MassMo00,pass_sacked,0,,,,,
player,201011210jax,cle,MassMo00,pass_sacked_yds,,,,,,
player,201011210jax,cle,MassMo00,pass_long,0,,,,,
player,201011210jax,cle,MassMo00,pass_rating,,,,,,
player,201011210jax,cle,MassMo00,rush_att,0,,,,,
player,201011210jax,cle,MassMo00,rush_yds,0,,,,,
player,201011210jax,cle,MassMo00,rush_td,0,,,,,
player,201011210jax,cle,MassMo00,rush_long,0,,,,,
player,201011210jax,cle,MassMo00,targets,9,,,,,
player,201011210jax,cle,MassMo00,rec,4,,,,,
player,201011210jax,cle,MassMo00,rec_yds,51,,,,,
player,201011210jax,cle,MassMo00,rec_td,0,,,,,
player,201011210jax,cle,MassMo00,rec_long,17,,,,,
player,201011210jax,cle,MassMo00,fumbles,0,,,,,
player,201011210jax,cle,MassMo00,fumbles_lost,,,,,,
player,201011210jax,cle,StucCh20,pass_cmp,0,,,,,
player,201011210jax,cle,StucCh20,pass_att,0,,,,,
player,201011210jax,cle,StucCh20,pass_yds,0,,,,,
player,201011210jax,cle,StucCh20,pass_td,0,,,,,
player,201011210jax,cle,StucCh20,pass_int,0,,,,,
player,201011210jax,cle,StucCh20,pass_sacked,,,,,,
player,201011210jax,cle,StucCh20,pass_sacked_yds,,,,,,
player,201011210jax,cle,StucCh20,pass_long,0,,,,,
player,201011210jax,cle,StucCh20,pass_rating,,,,,,
player,201011210jax,cle,StucCh20,rush_att,0,,,,,
player,201011210jax,cle,StucCh20,rush_yds,0,,,,,
player,201011210jax,cle,StucCh20,rush_td,0,,,,,
player,201011210jax,cle,StucCh20,rush_long,0,,,,,
player,201011210jax,cle,StucCh20,targets,4,,,,,
player,201011210jax,cle,StucCh20,rec,4,,,,,
player,201011210jax,cle,StucCh20,rec_yds,26,,,,,
player,201011210jax,cle,StucCh20,rec_td,0,,,,,
player,201011210jax,cle,StucCh20,rec_long,16,,,,,
player,201011210jax,cle,StucCh20,fumbles,0,,,,,
player,201011210jax,cle,StucCh20,fumbles_lost,,,,,,
player,201011210jax,cle,RoyaRo00,pass_cmp,,,,,,
player,201011210jax,cle,RoyaRo00,pass_att,,,,,,
player,201011210jax,cle,RoyaRo00,pass_yds,,,,,,
player,201011210jax,cle,RoyaRo00,pass_td,,,,,,
player,201011210jax,cle,RoyaRo00,pass_int,,,,,,
player,201011210jax,cle,RoyaRo00,pass_sacked,,,,,,
player,201011210jax,cle,RoyaRo00,pass_sacked_yds,,,,,,
player,201011210jax,cle,RoyaRo00,pass_long,,,,,,
player,201011210jax,cle,RoyaRo00,pass_rating,,,,,,
player,201011210jax,cle,RoyaRo00,rush_att,,,,,,
player,201011210jax,cle,RoyaRo00,rush_yds,,,,,,
player,201011210jax,cle,RoyaRo00,rush_td,,,,,,
player,201011210jax,cle,RoyaRo00,rush_long,,,,,,
player,201011210jax,cle,RoyaRo00,targets,1,,,,,
player,201011210jax,cle,RoyaRo00,rec,0,,,,,
player,201011210jax,cle,RoyaRo00,rec_yds,0,,,,,
