game,2010,4,20101003,201010030buf,nyj,"New York Jets",38,buf,"Buffalo Bills",14
player,201010030buf,nyj,HartBe00,fumbles,0,,,,,
player,201010030buf,nyj,HartBe00,fumbles_lost,,,,,,
player,201010030buf,nyj,ConnJo00,pass_cmp,0,,,,,
player,201010030buf,nyj,ConnJo00,pass_att,0,,,,,
player,201010030buf,nyj,ConnJo00,pass_yds,0,,,,,
player,201010030buf,nyj,ConnJo00,pass_td,0,,,,,
player,201010030buf,nyj,ConnJo00,pass_int,0,,,,,
player,201010030buf,nyj,ConnJo00,pass_sacked,,,,,,
player,201010030buf,nyj,ConnJo00,pass_sacked_yds,,,,,,
player,201010030buf,nyj,ConnJo00,pass_long,0,,,,,
player,201010030buf,nyj,ConnJo00,pass_rating,,,,,,
player,201010030buf,nyj,ConnJo00,rush_att,0,,,,,
player,201010030buf,nyj,ConnJo00,rush_yds,0,,,,,
player,201010030buf,nyj,ConnJo00,rush_td,0,,,,,
player,201010030buf,nyj,ConnJo00,rush_long,0,,,,,
player,201010030buf,nyj,ConnJo00,targets,1,,,,,
player,201010030buf,nyj,ConnJo00,rec,1,,,,,
player,201010030buf,nyj,ConnJo00,rec_yds,2,,,,,
player,201010030buf,nyj,ConnJo00,rec_td,0,,,,,
player,201010030buf,nyj,ConnJo00,rec_long,2,,,,,
player,201010030buf,nyj,ConnJo00,fumbles,0,,,,,
player,201010030buf,nyj,ConnJo00,fumbles_lost,,,,,,
player,201010030buf,buf,FitzRy00,pass_cmp,12,,,,,
player,201010030buf,buf,FitzRy00,pass_att,27,,,,,
player,201010030buf,buf,FitzRy00,pass_yds,128,,,,,
player,201010030buf,buf,FitzRy00,pass_td,2,,,,,
player,201010030buf,buf,FitzRy00,pass_int,0,,,,,
player,201010030buf,buf,FitzRy00,pass_sacked,3,,,,,
player,201010030buf,buf,FitzRy00,pass_sacked_yds,19,,,,,
player,201010030buf,buf,FitzRy00,pass_long,37,,,,,
player,201010030buf,buf,FitzRy00,pass_rating,83.6,,,,,
player,201010030buf,buf,FitzRy00,rush_att,7,,,,,
player,201010030buf,buf,FitzRy00,rush_yds,74,,,,,
player,201010030buf,buf,FitzRy00,rush_td,0,,,,,
player,201010030buf,buf,FitzRy00,rush_long,22,,,,,
player,201010030buf,buf,FitzRy00,targets,0,,,,,
player,201010030buf,buf,FitzRy00,rec,0,,,,,
player,201010030buf,buf,FitzRy00,rec_yds,0,,,,,
player,201010030buf,buf,FitzRy00,rec_td,0,,,,,
player,201010030buf,buf,FitzRy00,rec_long,0,,,,,
player,201010030buf,buf,FitzRy00,fumbles,0,,,,,
player,201010030buf,buf,FitzRy00,fumbles_lost,,,,,,
player,201010030buf,buf,JackFr02,pass_cmp,0,,,,,
player,201010030buf,buf,JackFr02,pass_att,0,,,,,
player,201010030buf,buf,JackFr02,pass_yds,0,,,,,
player,201010030buf,buf,JackFr02,pass_td,0,,,,,
player,201010030buf,buf,JackFr02,pass_int,0,,,,,
player,201010030buf,buf,JackFr02,pass_sacked,,,,,,
player,201010030buf,buf,JackFr02,pass_sacked_yds,,,,,,
player,201010030buf,buf,JackFr02,pass_long,0,,,,,
player,201010030buf,buf,JackFr02,pass_rating,,,,,,
player,201010030buf,buf,JackFr02,rush_att,3,,,,,
player,201010030buf,buf,JackFr02,rush_yds,21,,,,,
player,201010030buf,buf,JackFr02,rush_td,0,,,,,
player,201010030buf,buf,JackFr02,rush_long,12,,,,,
player,201010030buf,buf,JackFr02,targets,2,,,,,
player,201010030buf,buf,JackFr02,rec,0,,,,,
player,201010030buf,buf,JackFr02,rec_yds,0,,,,,
player,201010030buf,buf,JackFr02,rec_td,0,,,,,
player,201010030buf,buf,JackFr02,rec_long,0,,,,,
player,201010030buf,buf,JackFr02,fumbles,0,,,,,
player,201010030buf,buf,JackFr02,fumbles_lost,,,,,,
player,201010030buf,buf,SpilC.00,pass_cmp,0,,,,,
player,201010030buf,buf,SpilC.00,pass_att,0,,,,,
player,201010030buf,buf,SpilC.00,pass_yds,0,,,,,
player,201010030buf,buf,SpilC.00,pass_td,0,,,,,
player,201010030buf,buf,SpilC.00,pass_int,0,,,,,
player,201010030buf,buf,SpilC.00,pass_sacked,,,,,,
player,201010030buf,buf,SpilC.00,pass_sacked_yds,,,,,,
player,201010030buf,buf,SpilC.00,pass_long,0,,,,,
player,201010030buf,buf,SpilC.00,pass_rating,,,,,,
player,201010030buf,buf,SpilC.00,rush_att,2,,,,,
player,201010030buf,buf,SpilC.00,rush_yds,11,,,,,
player,201010030buf,buf,SpilC.00,rush_td,0,,,,,
player,201010030buf,buf,SpilC.00,rush_long,6,,,,,
player,201010030buf,buf,SpilC.00,targets,1,,,,,
player,201010030buf,buf,SpilC.00,rec,1,,,,,
player,201010030buf,buf,SpilC.00,rec_yds,4,,,,,
player,201010030buf,buf,SpilC.00,rec_td,0,,,,,
player,201010030buf,buf,SpilC.00,rec_long,4,,,,,
player,201010030buf,buf,SpilC.00,fumbles,0,,,,,
player,201010030buf,buf,SpilC.00,fumbles_lost,,,,,,
player,201010030buf,buf,LyncMa00,pass_cmp,0,,,,,
player,201010030buf,buf,LyncMa00,pass_att,0,,,,,
player,201010030buf,buf,LyncMa00,pass_yds,0,,,,,
player,201010030buf,buf,LyncMa00,pass_td,0,,,,,
player,201010030buf,buf,LyncMa00,pass_int,0,,,,,
player,201010030buf,buf,LyncMa00,pass_sacked,,,,,,
player,201010030buf,buf,LyncMa00,pass_sacked_yds,,,,,,
player,201010030buf,buf,LyncMa00,pass_long,0,,,,,
player,201010030buf,buf,LyncMa00,pass_rating,,,,,,
player,201010030buf,buf,LyncMa00,rush_att,4,,,,,
player,201010030buf,buf,LyncMa00,rush_yds,8,,,,,
player,201010030buf,buf,LyncMa00,rush_td,0,,,,,
player,201010030buf,buf,LyncMa00,rush_long,5,,,,,
player,201010030buf,buf,LyncMa00,targets,0,,,,,
player,201010030buf,buf,LyncMa00,rec,0,,,,,
player,201010030buf,buf,LyncMa00,rec_yds,0,,,,,
player,201010030buf,buf,LyncMa00,rec_td,0,,,,,
player,201010030buf,buf,LyncMa00,rec_long,0,,,,,
player,201010030buf,buf,LyncMa00,fumbles,1,,,,,
player,201010030buf,buf,LyncMa00,fumbles_lost,1,,,,,
player,201010030buf,buf,NelsDa01,pass_cmp,0,,,,,
player,201010030buf,buf,NelsDa01,pass_att,0,,,,,
player,201010030buf,buf,NelsDa01,pass_yds,0,,,,,
player,201010030buf,buf,NelsDa01,pass_td,0,,,,,
player,201010030buf,buf,NelsDa01,pass_int,0,,,,,
player,201010030buf,buf,NelsDa01,pass_sacked,,,,,,
player,201010030buf,buf,NelsDa01,pass_sacked_yds,,,,,,
player,201010030buf,buf,NelsDa01,pass_long,0,,,,,
player,201010030buf,buf,NelsDa01,pass_rating,,,,,,
player,201010030buf,buf,NelsDa01,rush_att,0,,,,,
player,201010030buf,buf,NelsDa01,rush_yds,0,,,,,
player,201010030buf,buf,NelsDa01,rush_td,0,,,,,
player,201010030buf,buf,NelsDa01,rush_long,0,,,,,
player,201010030buf,buf,NelsDa01,targets,4,,,,,
player,201010030buf,buf,NelsDa01,rec,4,,,,,
player,201010030buf,buf,NelsDa01,rec_yds,75,,,,,
player,201010030buf,buf,NelsDa01,rec_td,0,,,,,
player,201010030buf,buf,NelsDa01,rec_long,37,,,,,
player,201010030buf,buf,NelsDa01,fumbles,0,,,,,
player,201010030buf,buf,NelsDa01,fumbles_lost,,,,,,
player,201010030buf,buf,JohnSt00,pass_cmp,0,,,,,
player,201010030buf,buf,JohnSt00,pass_att,0,,,,,
player,201010030buf,buf,JohnSt00,pass_yds,0,,,,,
player,201010030buf,buf,JohnSt00,pass_td,0,,,,,
player,201010030buf,buf,JohnSt00,pass_int,0,,,,,
player,201010030buf,buf,JohnSt00,pass_sacked,,,,,,
player,201010030buf,buf,JohnSt00,pass_sacked_yds,,,,,,
player,201010030buf,buf,JohnSt00,pass_long,0,,,,,
player,201010030buf,buf,JohnSt00,pass_rating,,,,,,
player,201010030buf,buf,JohnSt00,rush_att,0,,,,,
player,201010030buf,buf,JohnSt00,rush_yds,0,,,,,
player,201010030buf,buf,JohnSt00,rush_td,0,,,,,
player,201010030buf,buf,JohnSt00,rush_long,0,,,,,
player,201010030buf,buf,JohnSt00,targets,7,,,,,
player,201010030buf,buf,JohnSt00,rec,3,,,,,
player,201010030buf,buf,JohnSt00,rec_yds,31,,,,,
player,201010030buf,buf,JohnSt00,rec_td,1,,,,,
player,201010030buf,buf,JohnSt00,rec_long,13,,,,,
player,201010030buf,buf,JohnSt00,fumbles,0,,,,,
player,201010030buf,buf,JohnSt00,fumbles_lost,,,,,,
player,201010030buf,buf,ParrRo00,pass_cmp,0,,,,,
player,201010030buf,buf,ParrRo00,pass_att,0,,,,,
player,201010030buf,buf,ParrRo00,pass_yds,0,,,,,
player,201010030buf,buf,ParrRo00,pass_td,0,,,,,
