game,2010,5,20101010,201010100det,ram,"St. Louis Rams",6,det,"Detroit Lions",44
player,201010100det,ram,ClayMa01,pass_sacked_yds,,,,,,
player,201010100det,ram,ClayMa01,pass_long,0,,,,,
player,201010100det,ram,ClayMa01,pass_rating,,,,,,
player,201010100det,ram,ClayMa01,rush_att,0,,,,,
player,201010100det,ram,ClayMa01,rush_yds,0,,,,,
player,201010100det,ram,ClayMa01,rush_td,0,,,,,
player,201010100det,ram,ClayMa01,rush_long,0,,,,,
player,201010100det,ram,ClayMa01,targets,1,,,,,
player,201010100det,ram,ClayMa01,rec,1,,,,,
player,201010100det,ram,ClayMa01,rec_yds,6,,,,,
player,201010100det,ram,ClayMa01,rec_td,0,,,,,
player,201010100det,ram,ClayMa01,rec_long,6,,,,,
player,201010100det,ram,ClayMa01,fumbles,0,,,,,
player,201010100det,ram,ClayMa01,fumbles_lost,,,,,,
player,201010100det,ram,JohnDa03,pass_cmp,,,,,,
player,201010100det,ram,JohnDa03,pass_att,,,,,,
player,201010100det,ram,JohnDa03,pass_yds,,,,,,
player,201010100det,ram,JohnDa03,pass_td,,,,,,
player,201010100det,ram,JohnDa03,pass_int,,,,,,
player,201010100det,ram,JohnDa03,pass_sacked,,,,,,
player,201010100det,ram,JohnDa03,pass_sacked_yds,,,,,,
player,201010100det,ram,JohnDa03,pass_long,,,,,,
player,201010100det,ram,JohnDa03,pass_rating,,,,,,
player,201010100det,ram,JohnDa03,rush_att,,,,,,
player,201010100det,ram,JohnDa03,rush_yds,,,,,,
player,201010100det,ram,JohnDa03,rush_td,,,,,,
player,201010100det,ram,JohnDa03,rush_long,,,,,,
player,201010100det,ram,JohnDa03,targets,1,,,,,
player,201010100det,ram,JohnDa03,rec,0,,,,,
player,201010100det,ram,JohnDa03,rec_yds,0,,,,,
player,201010100det,ram,JohnDa03,rec_td,0,,,,,
player,201010100det,ram,JohnDa03,rec_long,,,,,,
player,201010100det,ram,JohnDa03,fumbles,,,,,,
player,201010100det,ram,JohnDa03,fumbles_lost,,,,,,
player,201010100det,det,HillSh00,pass_cmp,21,,,,,
player,201010100det,det,HillSh00,pass_att,32,,,,,
player,201010100det,det,HillSh00,pass_yds,227,,,,,
player,201010100det,det,HillSh00,pass_td,3,,,,,
player,201010100det,det,HillSh00,pass_int,0,,,,,
player,201010100det,det,HillSh00,pass_sacked,1,,,,,
player,201010100det,det,HillSh00,pass_sacked_yds,5,,,,,
player,201010100det,det,HillSh00,pass_long,29,,,,,
player,201010100det,det,HillSh00,pass_rating,117.6,,,,,
player,201010100det,det,HillSh00,rush_att,2,,,,,
player,201010100det,det,HillSh00,rush_yds,9,,,,,
player,201010100det,det,HillSh00,rush_td,0,,,,,
player,201010100det,det,HillSh00,rush_long,8,,,,,
player,201010100det,det,HillSh00,targets,0,,,,,
player,201010100det,det,HillSh00,rec,0,,,,,
player,201010100det,det,HillSh00,rec_yds,0,,,,,
player,201010100det,det,HillSh00,rec_td,0,,,,,
player,201010100det,det,HillSh00,rec_long,0,,,,,
player,201010100det,det,HillSh00,fumbles,0,,,,,
player,201010100det,det,HillSh00,fumbles_lost,,,,,,
player,201010100det,det,BestJa00,pass_cmp,0,,,,,
player,201010100det,det,BestJa00,pass_att,1,,,,,
player,201010100det,det,BestJa00,pass_yds,0,,,,,
player,201010100det,det,BestJa00,pass_td,0,,,,,
player,201010100det,det,BestJa00,pass_int,0,,,,,
player,201010100det,det,BestJa00,pass_sacked,0,,,,,
player,201010100det,det,BestJa00,pass_sacked_yds,0,,,,,
player,201010100det,det,BestJa00,pass_long,0,,,,,
player,201010100det,det,BestJa00,pass_rating,39.6,,,,,
player,201010100det,det,BestJa00,rush_att,17,,,,,
player,201010100det,det,BestJa00,rush_yds,59,,,,,
player,201010100det,det,BestJa00,rush_td,0,,,,,
player,201010100det,det,BestJa00,rush_long,12,,,,,
player,201010100det,det,BestJa00,targets,4,,,,,
player,201010100det,det,BestJa00,rec,4,,,,,
player,201010100det,det,BestJa00,rec_yds,37,,,,,
player,201010100det,det,BestJa00,rec_td,0,,,,,
player,201010100det,det,BestJa00,rec_long,22,,,,,
player,201010100det,det,BestJa00,fumbles,0,,,,,
player,201010100det,det,BestJa00,fumbles_lost,,,,,,
player,201010100det,det,StanDr00,pass_cmp,1,,,,,
player,201010100det,det,StanDr00,pass_att,1,,,,,
player,201010100det,det,StanDr00,pass_yds,11,,,,,
player,201010100det,det,StanDr00,pass_td,0,,,,,
player,201010100det,det,StanDr00,pass_int,0,,,,,
player,201010100det,det,StanDr00,pass_sacked,0,,,,,
player,201010100det,det,StanDr00,pass_sacked_yds,0,,,,,
player,201010100det,det,StanDr00,pass_long,11,,,,,
player,201010100det,det,StanDr00,pass_rating,112.5,,,,,
player,201010100det,det,StanDr00,rush_att,3,,,,,
player,201010100det,det,StanDr00,rush_yds,-3,,,,,
player,201010100det,det,StanDr00,rush_td,0,,,,,
player,201010100det,det,StanDr00,rush_long,-1,,,,,
player,201010100det,det,StanDr00,targets,0,,,,,
player,201010100det,det,StanDr00,rec,0,,,,,
player,201010100det,det,StanDr00,rec_yds,0,,,,,
player,201010100det,det,StanDr00,rec_td,0,,,,,
player,201010100det,det,StanDr00,rec_long,0,,,,,
player,201010100det,det,StanDr00,fumbles,0,,,,,
player,201010100det,det,StanDr00,fumbles_lost,,,,,,
player,201010100det,det,SmitKe02,pass_cmp,0,,,,,
player,201010100det,det,SmitKe02,pass_att,0,,,,,
player,201010100det,det,SmitKe02,pass_yds,0,,,,,
player,201010100det,det,SmitKe02,pass_td,0,,,,,
player,201010100det,det,SmitKe02,pass_int,0,,,,,
player,201010100det,det,SmitKe02,pass_sacked,,,,,,
player,201010100det,det,SmitKe02,pass_sacked_yds,,,,,,
player,201010100det,det,SmitKe02,pass_long,0,,,,,
player,201010100det,det,SmitKe02,pass_rating,,,,,,
player,201010100det,det,SmitKe02,rush_att,4,,,,,
player,201010100det,det,SmitKe02,rush_yds,24,,,,,
player,201010100det,det,SmitKe02,rush_td,0,,,,,
player,201010100det,det,SmitKe02,rush_long,15,,,,,
player,201010100det,det,SmitKe02,targets,2,,,,,
player,201010100det,det,SmitKe02,rec,1,,,,,
player,201010100det,det,SmitKe02,rec_yds,17,,,,,
player,201010100det,det,SmitKe02,rec_td,0,,,,,
player,201010100det,det,SmitKe02,rec_long,17,,,,,
player,201010100det,det,SmitKe02,fumbles,0,,,,,
player,201010100det,det,SmitKe02,fumbles_lost,,,,,,
player,201010100det,det,BurlNa00,pass_cmp,0,,,,,
player,201010100det,det,BurlNa00,pass_att,0,,,,,
player,201010100det,det,BurlNa00,pass_yds,0,,,,,
player,201010100det,det,BurlNa00,pass_td,0,,,,,
player,201010100det,det,BurlNa00,pass_int,0,,,,,
player,201010100det,det,BurlNa00,pass_sacked,,,,,,
player,201010100det,det,BurlNa00,pass_sacked_yds,,,,,,
player,201010100det,det,BurlNa00,pass_long,0,,,,,
player,201010100det,det,BurlNa00,pass_rating,,,,,,
player,201010100det,det,BurlNa00,rush_att,0,,,,,
player,201010100det,det,BurlNa00,rush_yds,0,,,,,
player,201010100det,det,BurlNa00,rush_td,0,,,,,
player,201010100det,det,BurlNa00,rush_long,0,,,,,
player,201010100det,det,BurlNa00,targets,6,,,,,
player,201010100det,det,BurlNa00,rec,4,,,,,
player,201010100det,det,BurlNa00,rec_yds,56,,,,,
player,201010100det,det,BurlNa00,rec_td,1,,,,,
player,201010100det,det,BurlNa00,rec_long,26,,,,,
player,201010100det,det,BurlNa00,fumbles,0,,,,,
player,201010100det,det,BurlNa00,fumbles_lost,,,,,,
player,201010100det,det,JohnCa00,pass_cmp,0,,,,,
player,201010100det,det,JohnCa00,pass_att,0,,,,,
player,201010100det,det,JohnCa00,pass_yds,0,,,,,
player,201010100det,det,JohnCa00,pass_td,0,,,,,
player,201010100det,det,JohnCa00,pass_int,0,,,,,
player,201010100det,det,JohnCa00,pass_sacked,,,,,,
player,201010100det,det,JohnCa00,pass_sacked_yds,,,,,,
player,201010100det,det,JohnCa00,pass_long,0,,,,,
player,201010100det,det,JohnCa00,pass_rating,,,,,,
player,201010100det,det,JohnCa00,rush_att,0,,,,,
player,201010100det,det,JohnCa00,rush_yds,0,,,,,
player,201010100det,det,JohnCa00,rush_td,0,,,,,
player,201010100det,det,JohnCa00,rush_long,0,,,,,
player,201010100det,det,JohnCa00,targets,9,,,,,
player,201010100det,det,JohnCa00,rec,4,,,,,
player,201010100det,det,JohnCa00,rec_yds,54,,,,,
player,201010100det,det,JohnCa00,rec_td,1,,,,,
player,201010100det,det,JohnCa00,rec_long,29,,,,,
player,201010100det,det,JohnCa00,fumbles,0,,,,,
player,201010100det,det,JohnCa00,fumbles_lost,,,,,,
player,201010100det,det,ScheTo00,pass_cmp,0,,,,,
player,201010100det,det,ScheTo00,pass_att,0,,,,,
player,201010100det,det,ScheTo00,pass_yds,0,,,,,
player,201010100det,det,ScheTo00,pass_td,0,,,,,
player,201010100det,det,ScheTo00,pass_int,0,,,,,
player,201010100det,det,ScheTo00,pass_sacked,,,,,,
player,201010100det,det,ScheTo00,pass_sacked_yds,,,,,,
player,201010100det,det,ScheTo00,pass_long,0,,,,,
player,201010100det,det,ScheTo00,pass_rating,,,,,,
player,201010100det,det,ScheTo00,rush_att,0,,,,,
player,201010100det,det,ScheTo00,rush_yds,0,,,,,
player,201010100det,det,ScheTo00,rush_td,0,,,,,
player,201010100det,det,ScheTo00,rush_long,0,,,,,
player,201010100det,det,ScheTo00,targets,6,,,,,
player,201010100det,det,ScheTo00,rec,4,,,,,
player,201010100det,det,ScheTo00,rec_yds,41,,,,,
player,201010100det,det,ScheTo00,rec_td,0,,,,,
player,201010100det,det,ScheTo00,rec_long,15,,,,,
player,201010100det,det,ScheTo00,fumbles,0,,,,,
player,201010100det,det,ScheTo00,fumbles_lost,,,,,,
player,201010100det,det,PettBr00,pass_cmp,0,,,,,
player,201010100det,det,PettBr00,pass_att,0,,,,,
player,201010100det,det,PettBr00,pass_yds,0,,,,,
player,201010100det,det,PettBr00,pass_td,0,,,,,
player,201010100det,det,PettBr00,pass_int,0,,,,,
player,201010100det,det,PettBr00,pass_sacked,,,,,,
player,201010100det,det,PettBr00,pass_sacked_yds,,,,,,
player,201010100det,det,PettBr00,pass_long,0,,,,,
player,201010100det,det,PettBr00,pass_rating,,,,,,
player,201010100det,det,PettBr00,rush_att,0,,,,,
player,201010100det,det,PettBr00,rush_yds,0,,,,,
player,201010100det,det,PettBr00,rush_td,0,,,,,
player,201010100det,det,PettBr00,rush_long,0,,,,,
player,201010100det,det,PettBr00,targets,5,,,,,
player,201010100det,det,PettBr00,rec,4,,,,,
player,201010100det,det,PettBr00,rec_yds,26,,,,,
player,201010100det,det,PettBr00,rec_td,1,,,,,
player,201010100det,det,PettBr00,rec_long,12,,,,,
player,201010100det,det,PettBr00,fumbles,0,,,,,
player,201010100det,det,PettBr00,fumbles_lost,,,,,,
player,201010100det,det,FeltJe00,pass_cmp,0,,,,,
player,201010100det,det,FeltJe00,pass_att,0,,,,,
player,201010100det,det,FeltJe00,pass_yds,0,,,,,
player,201010100det,det,FeltJe00,pass_td,0,,,,,
player,201010100det,det,FeltJe00,pass_int,0,,,,,
player,201010100det,det,FeltJe00,pass_sacked,,,,,,
player,201010100det,det,FeltJe00,pass_sacked_yds,,,,,,
player,201010100det,det,FeltJe00,pass_long,0,,,,,
player,201010100det,det,FeltJe00,pass_rating,,,,,,
player,201010100det,det,FeltJe00,rush_att,0,,,,,
player,201010100det,det,FeltJe00,rush_yds,0,,,,,
player,201010100det,det,FeltJe00,rush_td,0,,,,,
player,201010100det,det,FeltJe00,rush_long,0,,,,,
player,201010100det,det,FeltJe00,targets,1,,,,,
player,201010100det,det,FeltJe00,rec,1,,,,,
player,201010100det,det,FeltJe00,rec_yds,7,,,,,
player,201010100det,det,FeltJe00,rec_td,0,,,,,
player,201010100det,det,FeltJe00,rec_long,7,,,,,
player,201010100det,det,FeltJe00,fumbles,0,,,,,
player,201010100det,det,FeltJe00,fumbles_lost,,,,,,
player,201010100det,det,JohnBr02,pass_cmp,,,,,,
player,201010100det,det,JohnBr02,pass_att,,,,,,
player,201010100det,det,JohnBr02,pass_yds,,,,,,
player,201010100det,det,JohnBr02,pass_td,,,,,,
player,201010100det,det,JohnBr02,pass_int,,,,,,
player,201010100det,det,JohnBr02,pass_sacked,,,,,,
player,201010100det,det,JohnBr02,pass_sacked_yds,,,,,,
player,201010100det,det,JohnBr02,pass_long,,,,,,
player,201010100det,det,JohnBr02,pass_rating,,,,,,
player,201010100det,det,JohnBr02,rush_att,,,,,,
player,201010100det,det,JohnBr02,rush_yds,,,,,,
player,201010100det,det,JohnBr02,rush_td,,,,,,
player,201010100det,det,JohnBr02,rush_long,,,,,,
player,201010100det,det,JohnBr02,targets,1,,,,,
player,201010100det,det,JohnBr02,rec,0,,,,,
player,201010100det,det,JohnBr02,rec_yds,0,,,,,
player,201010100det,det,JohnBr02,rec_td,0,,,,,
player,201010100det,det,JohnBr02,rec_long,,,,,,
player,201010100det,det,JohnBr02,fumbles,,,,,,
player,201010100det,det,JohnBr02,fumbles_lost,,,,,,
player,201010100det,ram,SelvGe99,def_int,0,,,,,
player,201010100det,ram,SelvGe99,def_int_yds,0,,,,,
player,201010100det,ram,SelvGe99,def_int_td,0,,,,,
player,201010100det,ram,SelvGe99,def_int_long,0,,,,,
player,201010100det,ram,SelvGe99,pass_defended,0,,,,,
player,201010100det,ram,SelvGe99,sacks,1.0,,,,,
player,201010100det,ram,SelvGe99,tackles_combined,1,,,,,
player,201010100det,ram,SelvGe99,tackles_solo,1,,,,,
player,201010100det,ram,SelvGe99,tackles_assists,0,,,,,
player,201010100det,ram,SelvGe99,tackles_loss,1,,,,,
player,201010100det,ram,SelvGe99,qb_hits,1,,,,,
player,201010100det,ram,SelvGe99,fumbles_rec,0,,,,,
player,201010100det,ram,SelvGe99,fumbles_rec_yds,0,,,,,
player,201010100det,ram,SelvGe99,fumbles_rec_td,0,,,,,
player,201010100det,ram,SelvGe99,fumbles_forced,0,,,,,
player,201010100det,ram,LaurJa99,def_int,0,,,,,
player,201010100det,ram,LaurJa99,def_int_yds,0,,,,,
player,201010100det,ram,LaurJa99,def_int_td,0,,,,,
player,201010100det,ram,LaurJa99,def_int_long,0,,,,,
player,201010100det,ram,LaurJa99,pass_defended,0,,,,,
player,201010100det,ram,LaurJa99,sacks,0.0,,,,,
player,201010100det,ram,LaurJa99,tackles_combined,7,,,,,
player,201010100det,ram,LaurJa99,tackles_solo,4,,,,,
player,201010100det,ram,LaurJa99,tackles_assists,3,,,,,
player,201010100det,ram,LaurJa99,tackles_loss,0,,,,,
player,201010100det,ram,LaurJa99,qb_hits,0,,,,,
player,201010100det,ram,LaurJa99,fumbles_rec,0,,,,,
player,201010100det,ram,LaurJa99,fumbles_rec_yds,0,,,,,
player,201010100det,ram,LaurJa99,fumbles_rec_td,0,,,,,
player,201010100det,ram,LaurJa99,fumbles_forced,0,,,,,
player,201010100det,ram,AtogO.20,def_int,0,,,,,
player,201010100det,ram,AtogO.20,def_int_yds,0,,,,,
player,201010100det,ram,AtogO.20,def_int_td,0,,,,,
player,201010100det,ram,AtogO.20,def_int_long,0,,,,,
player,201010100det,ram,AtogO.20,pass_defended,1,,,,,
player,201010100det,ram,AtogO.20,sacks,0.0,,,,,
player,201010100det,ram,AtogO.20,tackles_combined,6,,,,,
player,201010100det,ram,AtogO.20,tackles_solo,5,,,,,
player,201010100det,ram,AtogO.20,tackles_assists,1,,,,,
player,201010100det,ram,AtogO.20,tackles_loss,1,,,,,
player,201010100det,ram,AtogO.20,qb_hits,0,,,,,
player,201010100det,ram,AtogO.20,fumbles_rec,0,,,,,
player,201010100det,ram,AtogO.20,fumbles_rec_yds,0,,,,,
player,201010100det,ram,AtogO.20,fumbles_rec_td,0,,,,,
player,201010100det,ram,AtogO.20,fumbles_forced,0,,,,,
player,201010100det,ram,FletBr99,def_int,0,,,,,
player,201010100det,ram,FletBr99,def_int_yds,0,,,,,
player,201010100det,ram,FletBr99,def_int_td,0,,,,,
player,201010100det,ram,FletBr99,def_int_long,0,,,,,
player,201010100det,ram,FletBr99,pass_defended,0,,,,,
player,201010100det,ram,FletBr99,sacks,0.0,,,,,
player,201010100det,ram,FletBr99,tackles_combined,6,,,,,
player,201010100det,ram,FletBr99,tackles_solo,4,,,,,
player,201010100det,ram,FletBr99,tackles_assists,2,,,,,
player,201010100det,ram,FletBr99,tackles_loss,0,,,,,
player,201010100det,ram,FletBr99,qb_hits,0,,,,,
player,201010100det,ram,FletBr99,fumbles_rec,0,,,,,
player,201010100det,ram,FletBr99,fumbles_rec_yds,0,,,,,
