game,2010,11,20101121,201011210sfo,tam,"Tampa Bay Buccaneers",21,sfo,"San Francisco 49ers",0
player,201011210sfo,tam,WoodAl99,fumbles_rec_td,0,,,,,
player,201011210sfo,tam,WoodAl99,fumbles_forced,0,,,,,
player,201011210sfo,tam,GrimCo99,def_int,0,,,,,
player,201011210sfo,tam,GrimCo99,def_int_yds,0,,,,,
player,201011210sfo,tam,GrimCo99,def_int_td,0,,,,,
player,201011210sfo,tam,GrimCo99,def_int_long,0,,,,,
player,201011210sfo,tam,GrimCo99,pass_defended,0,,,,,
player,201011210sfo,tam,GrimCo99,sacks,0.0,,,,,
player,201011210sfo,tam,GrimCo99,tackles_combined,7,,,,,
player,201011210sfo,tam,GrimCo99,tackles_solo,5,,,,,
player,201011210sfo,tam,GrimCo99,tackles_assists,2,,,,,
player,201011210sfo,tam,GrimCo99,tackles_loss,0,,,,,
player,201011210sfo,tam,GrimCo99,qb_hits,0,,,,,
player,201011210sfo,tam,GrimCo99,fumbles_rec,0,,,,,
player,201011210sfo,tam,GrimCo99,fumbles_rec_yds,0,,,,,
player,201011210sfo,tam,GrimCo99,fumbles_rec_td,0,,,,,
player,201011210sfo,tam,GrimCo99,fumbles_forced,0,,,,,
player,201011210sfo,tam,HayeGe98,def_int,0,,,,,
player,201011210sfo,tam,HayeGe98,def_int_yds,0,,,,,
player,201011210sfo,tam,HayeGe98,def_int_td,0,,,,,
player,201011210sfo,tam,HayeGe98,def_int_long,0,,,,,
player,201011210sfo,tam,HayeGe98,pass_defended,0,,,,,
player,201011210sfo,tam,HayeGe98,sacks,0.0,,,,,
player,201011210sfo,tam,HayeGe98,tackles_combined,5,,,,,
player,201011210sfo,tam,HayeGe98,tackles_solo,4,,,,,
player,201011210sfo,tam,HayeGe98,tackles_assists,1,,,,,
player,201011210sfo,tam,HayeGe98,tackles_loss,1,,,,,
player,201011210sfo,tam,HayeGe98,qb_hits,0,,,,,
player,201011210sfo,tam,HayeGe98,fumbles_rec,0,,,,,
player,201011210sfo,tam,HayeGe98,fumbles_rec_yds,0,,,,,
player,201011210sfo,tam,HayeGe98,fumbles_rec_td,0,,,,,
player,201011210sfo,tam,HayeGe98,fumbles_forced,1,,,,,
player,201011210sfo,tam,BiggE.99,def_int,0,,,,,
player,201011210sfo,tam,BiggE.99,def_int_yds,0,,,,,
