game,2010,1,20100912,201009120oti,rai,"Oakland Raiders",13,oti,"Tennessee Titans",38
player,201009120oti,rai,MyerBr00,fumbles,0,,,,,
player,201009120oti,rai,MyerBr00,fumbles_lost,,,,,,
player,201009120oti,rai,HiggJo00,pass_cmp,0,,,,,
player,201009120oti,rai,HiggJo00,pass_att,0,,,,,
player,201009120oti,rai,HiggJo00,pass_yds,0,,,,,
player,201009120oti,rai,HiggJo00,pass_td,0,,,,,
player,201009120oti,rai,HiggJo00,pass_int,0,,,,,
player,201009120oti,rai,HiggJo00,pass_sacked,,,,,,
player,201009120oti,rai,HiggJo00,pass_sacked_yds,,,,,,
player,201009120oti,rai,HiggJo00,pass_long,0,,,,,
player,201009120oti,rai,HiggJo00,pass_rating,,,,,,
player,201009120oti,rai,HiggJo00,rush_att,0,,,,,
player,201009120oti,rai,HiggJo00,rush_yds,0,,,,,
player,201009120oti,rai,HiggJo00,rush_td,0,,,,,
player,201009120oti,rai,HiggJo00,rush_long,0,,,,,
player,201009120oti,rai,HiggJo00,targets,3,,,,,
player,201009120oti,rai,HiggJo00,rec,1,,,,,
player,201009120oti,rai,HiggJo00,rec_yds,2,,,,,
player,201009120oti,rai,HiggJo00,rec_td,0,,,,,
player,201009120oti,rai,HiggJo00,rec_long,2,,,,,
player,201009120oti,rai,HiggJo00,fumbles,0,,,,,
player,201009120oti,rai,HiggJo00,fumbles_lost,,,,,,
player,201009120oti,rai,ReecMa00,pass_cmp,0,,,,,
player,201009120oti,rai,ReecMa00,pass_att,0,,,,,
player,201009120oti,rai,ReecMa00,pass_yds,0,,,,,
player,201009120oti,rai,ReecMa00,pass_td,0,,,,,
player,201009120oti,rai,ReecMa00,pass_int,0,,,,,
player,201009120oti,rai,ReecMa00,pass_sacked,,,,,,
player,201009120oti,rai,ReecMa00,pass_sacked_yds,,,,,,
player,201009120oti,rai,ReecMa00,pass_long,0,,,,,
player,201009120oti,rai,ReecMa00,pass_rating,,,,,,
player,201009120oti,rai,ReecMa00,rush_att,0,,,,,
