game,2010,12,20101125,201011250det,nwe,"New England Patriots",45,det,"Detroit Lions",24
player,201011250det,nwe,GreeBe00,rec_td,0,,,,,
player,201011250det,nwe,GreeBe00,rec_long,0,,,,,
player,201011250det,nwe,GreeBe00,fumbles,0,,,,,
player,201011250det,nwe,GreeBe00,fumbles_lost,,,,,,
player,201011250det,nwe,WoodDa02,pass_cmp,0,,,,,
player,201011250det,nwe,WoodDa02,pass_att,0,,,,,
player,201011250det,nwe,WoodDa02,pass_yds,0,,,,,
player,201011250det,nwe,WoodDa02,pass_td,0,,,,,
player,201011250det,nwe,WoodDa02,pass_int,0,,,,,
player,201011250det,nwe,WoodDa02,pass_sacked,,,,,,
player,201011250det,nwe,WoodDa02,pass_sacked_yds,,,,,,
player,201011250det,nwe,WoodDa02,pass_long,0,,,,,
player,201011250det,nwe,WoodDa02,pass_rating,,,,,,
player,201011250det,nwe,WoodDa02,rush_att,8,,,,,
player,201011250det,nwe,WoodDa02,rush_yds,32,,,,,
player,201011250det,nwe,WoodDa02,rush_td,0,,,,,
player,201011250det,nwe,WoodDa02,rush_long,9,,,,,
player,201011250det,nwe,WoodDa02,targets,2,,,,,
player,201011250det,nwe,WoodDa02,rec,2,,,,,
player,201011250det,nwe,WoodDa02,rec_yds,13,,,,,
player,201011250det,nwe,WoodDa02,rec_td,0,,,,,
player,201011250det,nwe,WoodDa02,rec_long,8,,,,,
player,201011250det,nwe,WoodDa02,fumbles,0,,,,,
player,201011250det,nwe,WoodDa02,fumbles_lost,,,,,,
player,201011250det,nwe,TateBr00,pass_cmp,0,,,,,
player,201011250det,nwe,TateBr00,pass_att,0,,,,,
player,201011250det,nwe,TateBr00,pass_yds,0,,,,,
player,201011250det,nwe,TateBr00,pass_td,0,,,,,
player,201011250det,nwe,TateBr00,pass_int,0,,,,,
player,201011250det,nwe,TateBr00,pass_sacked,,,,,,
player,201011250det,nwe,TateBr00,pass_sacked_yds,,,,,,
player,201011250det,nwe,TateBr00,pass_long,0,,,,,
player,201011250det,nwe,TateBr00,pass_rating,,,,,,
player,201011250det,nwe,TateBr00,rush_att,1,,,,,
player,201011250det,nwe,TateBr00,rush_yds,17,,,,,
player,201011250det,nwe,TateBr00,rush_td,0,,,,,
player,201011250det,nwe,TateBr00,rush_long,17,,,,,
player,201011250det,nwe,TateBr00,targets,2,,,,,
player,201011250det,nwe,TateBr00,rec,0,,,,,
player,201011250det,nwe,TateBr00,rec_yds,0,,,,,
player,201011250det,nwe,TateBr00,rec_td,0,,,,,
player,201011250det,nwe,TateBr00,rec_long,0,,,,,
player,201011250det,nwe,TateBr00,fumbles,0,,,,,
player,201011250det,nwe,TateBr00,fumbles_lost,,,,,,
player,201011250det,nwe,BranDe00,pass_cmp,0,,,,,
player,201011250det,nwe,BranDe00,pass_att,0,,,,,
player,201011250det,nwe,BranDe00,pass_yds,0,,,,,
player,201011250det,nwe,BranDe00,pass_td,0,,,,,
player,201011250det,nwe,BranDe00,pass_int,0,,,,,
player,201011250det,nwe,BranDe00,pass_sacked,,,,,,
player,201011250det,nwe,BranDe00,pass_sacked_yds,,,,,,
player,201011250det,nwe,BranDe00,pass_long,0,,,,,
player,201011250det,nwe,BranDe00,pass_rating,,,,,,
player,201011250det,nwe,BranDe00,rush_att,0,,,,,
player,201011250det,nwe,BranDe00,rush_yds,0,,,,,
player,201011250det,nwe,BranDe00,rush_td,0,,,,,
player,201011250det,nwe,BranDe00,rush_long,0,,,,,
player,201011250det,nwe,BranDe00,targets,5,,,,,
player,201011250det,nwe,BranDe00,rec,3,,,,,
player,201011250det,nwe,BranDe00,rec_yds,113,,,,,
player,201011250det,nwe,BranDe00,rec_td,2,,,,,
player,201011250det,nwe,BranDe00,rec_long,79,,,,,
player,201011250det,nwe,BranDe00,fumbles,0,,,,,
player,201011250det,nwe,BranDe00,fumbles_lost,,,,,,
player,201011250det,nwe,WelkWe00,pass_cmp,0,,,,,
player,201011250det,nwe,WelkWe00,pass_att,0,,,,,
player,201011250det,nwe,WelkWe00,pass_yds,0,,,,,
player,201011250det,nwe,WelkWe00,pass_td,0,,,,,
player,201011250det,nwe,WelkWe00,pass_int,0,,,,,
player,201011250det,nwe,WelkWe00,pass_sacked,,,,,,
player,201011250det,nwe,WelkWe00,pass_sacked_yds,,,,,,
player,201011250det,nwe,WelkWe00,pass_long,0,,,,,
player,201011250det,nwe,WelkWe00,pass_rating,,,,,,
player,201011250det,nwe,WelkWe00,rush_att,0,,,,,
player,201011250det,nwe,WelkWe00,rush_yds,0,,,,,
player,201011250det,nwe,WelkWe00,rush_td,0,,,,,
player,201011250det,nwe,WelkWe00,rush_long,0,,,,,
player,201011250det,nwe,WelkWe00,targets,10,,,,,
player,201011250det,nwe,WelkWe00,rec,8,,,,,
player,201011250det,nwe,WelkWe00,rec_yds,90,,,,,
player,201011250det,nwe,WelkWe00,rec_td,2,,,,,
player,201011250det,nwe,WelkWe00,rec_long,19,,,,,
player,201011250det,nwe,WelkWe00,fumbles,0,,,,,
player,201011250det,nwe,WelkWe00,fumbles_lost,,,,,,
player,201011250det,nwe,GronRo00,pass_cmp,0,,,,,
player,201011250det,nwe,GronRo00,pass_att,0,,,,,
player,201011250det,nwe,GronRo00,pass_yds,0,,,,,
player,201011250det,nwe,GronRo00,pass_td,0,,,,,
player,201011250det,nwe,GronRo00,pass_int,0,,,,,
player,201011250det,nwe,GronRo00,pass_sacked,,,,,,
player,201011250det,nwe,GronRo00,pass_sacked_yds,,,,,,
player,201011250det,nwe,GronRo00,pass_long,0,,,,,
player,201011250det,nwe,GronRo00,pass_rating,,,,,,
player,201011250det,nwe,GronRo00,rush_att,0,,,,,
player,201011250det,nwe,GronRo00,rush_yds,0,,,,,
player,201011250det,nwe,GronRo00,rush_td,0,,,,,
player,201011250det,nwe,GronRo00,rush_long,0,,,,,
player,201011250det,nwe,GronRo00,targets,5,,,,,
player,201011250det,nwe,GronRo00,rec,5,,,,,
player,201011250det,nwe,GronRo00,rec_yds,65,,,,,
player,201011250det,nwe,GronRo00,rec_td,0,,,,,
player,201011250det,nwe,GronRo00,rec_long,26,,,,,
player,201011250det,nwe,GronRo00,fumbles,0,,,,,
player,201011250det,nwe,GronRo00,fumbles_lost,,,,,,
player,201011250det,nwe,CrumAl00,pass_cmp,0,,,,,
player,201011250det,nwe,CrumAl00,pass_att,0,,,,,
player,201011250det,nwe,CrumAl00,pass_yds,0,,,,,
player,201011250det,nwe,CrumAl00,pass_td,0,,,,,
player,201011250det,nwe,CrumAl00,pass_int,0,,,,,
player,201011250det,nwe,CrumAl00,pass_sacked,,,,,,
player,201011250det,nwe,CrumAl00,pass_sacked_yds,,,,,,
player,201011250det,nwe,CrumAl00,pass_long,0,,,,,
player,201011250det,nwe,CrumAl00,pass_rating,,,,,,
player,201011250det,nwe,CrumAl00,rush_att,0,,,,,
player,201011250det,nwe,CrumAl00,rush_yds,0,,,,,
player,201011250det,nwe,CrumAl00,rush_td,0,,,,,
player,201011250det,nwe,CrumAl00,rush_long,0,,,,,
player,201011250det,nwe,CrumAl00,targets,1,,,,,
player,201011250det,nwe,CrumAl00,rec,1,,,,,
player,201011250det,nwe,CrumAl00,rec_yds,27,,,,,
player,201011250det,nwe,CrumAl00,rec_td,0,,,,,
player,201011250det,nwe,CrumAl00,rec_long,27,,,,,
player,201011250det,nwe,CrumAl00,fumbles,0,,,,,
player,201011250det,nwe,CrumAl00,fumbles_lost,,,,,,
player,201011250det,nwe,HernAa00,pass_cmp,0,,,,,
player,201011250det,nwe,HernAa00,pass_att,0,,,,,
player,201011250det,nwe,HernAa00,pass_yds,0,,,,,
player,201011250det,nwe,HernAa00,pass_td,0,,,,,
player,201011250det,nwe,HernAa00,pass_int,0,,,,,
player,201011250det,nwe,HernAa00,pass_sacked,,,,,,
player,201011250det,nwe,HernAa00,pass_sacked_yds,,,,,,
player,201011250det,nwe,HernAa00,pass_long,0,,,,,
player,201011250det,nwe,HernAa00,pass_rating,,,,,,
player,201011250det,nwe,HernAa00,rush_att,0,,,,,
player,201011250det,nwe,HernAa00,rush_yds,0,,,,,
player,201011250det,nwe,HernAa00,rush_td,0,,,,,
player,201011250det,nwe,HernAa00,rush_long,0,,,,,
player,201011250det,nwe,HernAa00,targets,1,,,,,
player,201011250det,nwe,HernAa00,rec,1,,,,,
player,201011250det,nwe,HernAa00,rec_yds,18,,,,,
player,201011250det,nwe,HernAa00,rec_td,0,,,,,
player,201011250det,nwe,HernAa00,rec_long,18,,,,,
player,201011250det,nwe,HernAa00,fumbles,0,,,,,
player,201011250det,nwe,HernAa00,fumbles_lost,,,,,,
player,201011250det,nwe,MorrSa00,pass_cmp,0,,,,,
player,201011250det,nwe,MorrSa00,pass_att,0,,,,,
player,201011250det,nwe,MorrSa00,pass_yds,0,,,,,
player,201011250det,nwe,MorrSa00,pass_td,0,,,,,
player,201011250det,nwe,MorrSa00,pass_int,0,,,,,
player,201011250det,nwe,MorrSa00,pass_sacked,,,,,,
player,201011250det,nwe,MorrSa00,pass_sacked_yds,,,,,,
player,201011250det,nwe,MorrSa00,pass_long,0,,,,,
player,201011250det,nwe,MorrSa00,pass_rating,,,,,,
player,201011250det,nwe,MorrSa00,rush_att,0,,,,,
player,201011250det,nwe,MorrSa00,rush_yds,0,,,,,
player,201011250det,nwe,MorrSa00,rush_td,0,,,,,
player,201011250det,nwe,MorrSa00,rush_long,0,,,,,
player,201011250det,nwe,MorrSa00,targets,1,,,,,
player,201011250det,nwe,MorrSa00,rec,1,,,,,
player,201011250det,nwe,MorrSa00,rec_yds,15,,,,,
player,201011250det,nwe,MorrSa00,rec_td,0,,,,,
player,201011250det,nwe,MorrSa00,rec_long,15,,,,,
player,201011250det,nwe,MorrSa00,fumbles,0,,,,,
player,201011250det,nwe,MorrSa00,fumbles_lost,,,,,,
player,201011250det,det,HillSh00,pass_cmp,27,,,,,
player,201011250det,det,HillSh00,pass_att,46,,,,,
player,201011250det,det,HillSh00,pass_yds,285,,,,,
player,201011250det,det,HillSh00,pass_td,1,,,,,
player,201011250det,det,HillSh00,pass_int,2,,,,,
player,201011250det,det,HillSh00,pass_sacked,2,,,,,
player,201011250det,det,HillSh00,pass_sacked_yds,8,,,,,
player,201011250det,det,HillSh00,pass_long,34,,,,,
player,201011250det,det,HillSh00,pass_rating,65.9,,,,,
player,201011250det,det,HillSh00,rush_att,4,,,,,
player,201011250det,det,HillSh00,rush_yds,23,,,,,
player,201011250det,det,HillSh00,rush_td,0,,,,,
player,201011250det,det,HillSh00,rush_long,13,,,,,
player,201011250det,det,HillSh00,targets,0,,,,,
player,201011250det,det,HillSh00,rec,0,,,,,
player,201011250det,det,HillSh00,rec_yds,0,,,,,
player,201011250det,det,HillSh00,rec_td,0,,,,,
player,201011250det,det,HillSh00,rec_long,0,,,,,
player,201011250det,det,HillSh00,fumbles,0,,,,,
player,201011250det,det,HillSh00,fumbles_lost,,,,,,
player,201011250det,det,MorrMa00,pass_cmp,0,,,,,
player,201011250det,det,MorrMa00,pass_att,0,,,,,
player,201011250det,det,MorrMa00,pass_yds,0,,,,,
player,201011250det,det,MorrMa00,pass_td,0,,,,,
player,201011250det,det,MorrMa00,pass_int,0,,,,,
player,201011250det,det,MorrMa00,pass_sacked,,,,,,
player,201011250det,det,MorrMa00,pass_sacked_yds,,,,,,
player,201011250det,det,MorrMa00,pass_long,0,,,,,
player,201011250det,det,MorrMa00,pass_rating,,,,,,
player,201011250det,det,MorrMa00,rush_att,9,,,,,
player,201011250det,det,MorrMa00,rush_yds,55,,,,,
player,201011250det,det,MorrMa00,rush_td,2,,,,,
player,201011250det,det,MorrMa00,rush_long,17,,,,,
player,201011250det,det,MorrMa00,targets,5,,,,,
player,201011250det,det,MorrMa00,rec,5,,,,,
player,201011250det,det,MorrMa00,rec_yds,20,,,,,
player,201011250det,det,MorrMa00,rec_td,0,,,,,
player,201011250det,det,MorrMa00,rec_long,6,,,,,
player,201011250det,det,MorrMa00,fumbles,0,,,,,
player,201011250det,det,MorrMa00,fumbles_lost,,,,,,
player,201011250det,det,BrowAa00,pass_cmp,0,,,,,
player,201011250det,det,BrowAa00,pass_att,0,,,,,
player,201011250det,det,BrowAa00,pass_yds,0,,,,,
player,201011250det,det,BrowAa00,pass_td,0,,,,,
player,201011250det,det,BrowAa00,pass_int,0,,,,,
player,201011250det,det,BrowAa00,pass_sacked,,,,,,
player,201011250det,det,BrowAa00,pass_sacked_yds,,,,,,
player,201011250det,det,BrowAa00,pass_long,0,,,,,
player,201011250det,det,BrowAa00,pass_rating,,,,,,
player,201011250det,det,BrowAa00,rush_att,13,,,,,
player,201011250det,det,BrowAa00,rush_yds,36,,,,,
player,201011250det,det,BrowAa00,rush_td,0,,,,,
player,201011250det,det,BrowAa00,rush_long,7,,,,,
player,201011250det,det,BrowAa00,targets,8,,,,,
player,201011250det,det,BrowAa00,rec,4,,,,,
player,201011250det,det,BrowAa00,rec_yds,29,,,,,
player,201011250det,det,BrowAa00,rec_td,0,,,,,
player,201011250det,det,BrowAa00,rec_long,10,,,,,
player,201011250det,det,BrowAa00,fumbles,0,,,,,
player,201011250det,det,BrowAa00,fumbles_lost,,,,,,
player,201011250det,det,JohnCa00,pass_cmp,0,,,,,
player,201011250det,det,JohnCa00,pass_att,0,,,,,
player,201011250det,det,JohnCa00,pass_yds,0,,,,,
player,201011250det,det,JohnCa00,pass_td,0,,,,,
player,201011250det,det,JohnCa00,pass_int,0,,,,,
player,201011250det,det,JohnCa00,pass_sacked,,,,,,
player,201011250det,det,JohnCa00,pass_sacked_yds,,,,,,
player,201011250det,det,JohnCa00,pass_long,0,,,,,
player,201011250det,det,JohnCa00,pass_rating,,,,,,
player,201011250det,det,JohnCa00,rush_att,1,,,,,
player,201011250det,det,JohnCa00,rush_yds,15,,,,,
player,201011250det,det,JohnCa00,rush_td,0,,,,,
player,201011250det,det,JohnCa00,rush_long,15,,,,,
player,201011250det,det,JohnCa00,targets,7,,,,,
player,201011250det,det,JohnCa00,rec,4,,,,,
player,201011250det,det,JohnCa00,rec_yds,81,,,,,
player,201011250det,det,JohnCa00,rec_td,1,,,,,
player,201011250det,det,JohnCa00,rec_long,34,,,,,
player,201011250det,det,JohnCa00,fumbles,0,,,,,
player,201011250det,det,JohnCa00,fumbles_lost,,,,,,
player,201011250det,det,PettBr00,pass_cmp,0,,,,,
player,201011250det,det,PettBr00,pass_att,0,,,,,
player,201011250det,det,PettBr00,pass_yds,0,,,,,
player,201011250det,det,PettBr00,pass_td,0,,,,,
player,201011250det,det,PettBr00,pass_int,0,,,,,
player,201011250det,det,PettBr00,pass_sacked,,,,,,
player,201011250det,det,PettBr00,pass_sacked_yds,,,,,,
player,201011250det,det,PettBr00,pass_long,0,,,,,
player,201011250det,det,PettBr00,pass_rating,,,,,,
player,201011250det,det,PettBr00,rush_att,0,,,,,
player,201011250det,det,PettBr00,rush_yds,0,,,,,
player,201011250det,det,PettBr00,rush_td,0,,,,,
player,201011250det,det,PettBr00,rush_long,0,,,,,
player,201011250det,det,PettBr00,targets,7,,,,,
player,201011250det,det,PettBr00,rec,5,,,,,
player,201011250det,det,PettBr00,rec_yds,67,,,,,
player,201011250det,det,PettBr00,rec_td,0,,,,,
player,201011250det,det,PettBr00,rec_long,24,,,,,
player,201011250det,det,PettBr00,fumbles,0,,,,,
player,201011250det,det,PettBr00,fumbles_lost,,,,,,
player,201011250det,det,BurlNa00,pass_cmp,0,,,,,
player,201011250det,det,BurlNa00,pass_att,0,,,,,
player,201011250det,det,BurlNa00,pass_yds,0,,,,,
player,201011250det,det,BurlNa00,pass_td,0,,,,,
player,201011250det,det,BurlNa00,pass_int,0,,,,,
player,201011250det,det,BurlNa00,pass_sacked,,,,,,
player,201011250det,det,BurlNa00,pass_sacked_yds,,,,,,
player,201011250det,det,BurlNa00,pass_long,0,,,,,
player,201011250det,det,BurlNa00,pass_rating,,,,,,
player,201011250det,det,BurlNa00,rush_att,0,,,,,
player,201011250det,det,BurlNa00,rush_yds,0,,,,,
player,201011250det,det,BurlNa00,rush_td,0,,,,,
player,201011250det,det,BurlNa00,rush_long,0,,,,,
player,201011250det,det,BurlNa00,targets,8,,,,,
player,201011250det,det,BurlNa00,rec,3,,,,,
player,201011250det,det,BurlNa00,rec_yds,35,,,,,
player,201011250det,det,BurlNa00,rec_td,0,,,,,
player,201011250det,det,BurlNa00,rec_long,20,,,,,
player,201011250det,det,BurlNa00,fumbles,0,,,,,
player,201011250det,det,BurlNa00,fumbles_lost,,,,,,
player,201011250det,det,JohnBr02,pass_cmp,0,,,,,
player,201011250det,det,JohnBr02,pass_att,0,,,,,
player,201011250det,det,JohnBr02,pass_yds,0,,,,,
player,201011250det,det,JohnBr02,pass_td,0,,,,,
player,201011250det,det,JohnBr02,pass_int,0,,,,,
player,201011250det,det,JohnBr02,pass_sacked,,,,,,
player,201011250det,det,JohnBr02,pass_sacked_yds,,,,,,
player,201011250det,det,JohnBr02,pass_long,0,,,,,
player,201011250det,det,JohnBr02,pass_rating,,,,,,
player,201011250det,det,JohnBr02,rush_att,0,,,,,
player,201011250det,det,JohnBr02,rush_yds,0,,,,,
player,201011250det,det,JohnBr02,rush_td,0,,,,,
player,201011250det,det,JohnBr02,rush_long,0,,,,,
player,201011250det,det,JohnBr02,targets,4,,,,,
player,201011250det,det,JohnBr02,rec,2,,,,,
player,201011250det,det,JohnBr02,rec_yds,26,,,,,
player,201011250det,det,JohnBr02,rec_td,0,,,,,
player,201011250det,det,JohnBr02,rec_long,14,,,,,
player,201011250det,det,JohnBr02,fumbles,0,,,,,
player,201011250det,det,JohnBr02,fumbles_lost,,,,,,
player,201011250det,det,HellWi00,pass_cmp,0,,,,,
player,201011250det,det,HellWi00,pass_att,0,,,,,
player,201011250det,det,HellWi00,pass_yds,0,,,,,
player,201011250det,det,HellWi00,pass_td,0,,,,,
player,201011250det,det,HellWi00,pass_int,0,,,,,
player,201011250det,det,HellWi00,pass_sacked,,,,,,
player,201011250det,det,HellWi00,pass_sacked_yds,,,,,,
player,201011250det,det,HellWi00,pass_long,0,,,,,
player,201011250det,det,HellWi00,pass_rating,,,,,,
player,201011250det,det,HellWi00,rush_att,0,,,,,
player,201011250det,det,HellWi00,rush_yds,0,,,,,
player,201011250det,det,HellWi00,rush_td,0,,,,,
player,201011250det,det,HellWi00,rush_long,0,,,,,
player,201011250det,det,HellWi00,targets,2,,,,,
player,201011250det,det,HellWi00,rec,1,,,,,
player,201011250det,det,HellWi00,rec_yds,13,,,,,
player,201011250det,det,HellWi00,rec_td,0,,,,,
player,201011250det,det,HellWi00,rec_long,13,,,,,
player,201011250det,det,HellWi00,fumbles,0,,,,,
player,201011250det,det,HellWi00,fumbles_lost,,,,,,
player,201011250det,det,FeltJe00,pass_cmp,0,,,,,
player,201011250det,det,FeltJe00,pass_att,0,,,,,
player,201011250det,det,FeltJe00,pass_yds,0,,,,,
player,201011250det,det,FeltJe00,pass_td,0,,,,,
player,201011250det,det,FeltJe00,pass_int,0,,,,,
player,201011250det,det,FeltJe00,pass_sacked,,,,,,
player,201011250det,det,FeltJe00,pass_sacked_yds,,,,,,
player,201011250det,det,FeltJe00,pass_long,0,,,,,
player,201011250det,det,FeltJe00,pass_rating,,,,,,
player,201011250det,det,FeltJe00,rush_att,0,,,,,
player,201011250det,det,FeltJe00,rush_yds,0,,,,,
player,201011250det,det,FeltJe00,rush_td,0,,,,,
player,201011250det,det,FeltJe00,rush_long,0,,,,,
player,201011250det,det,FeltJe00,targets,2,,,,,
player,201011250det,det,FeltJe00,rec,2,,,,,
player,201011250det,det,FeltJe00,rec_yds,7,,,,,
player,201011250det,det,FeltJe00,rec_td,0,,,,,
player,201011250det,det,FeltJe00,rec_long,6,,,,,
player,201011250det,det,FeltJe00,fumbles,0,,,,,
player,201011250det,det,FeltJe00,fumbles_lost,,,,,,
player,201011250det,det,WillDe05,pass_cmp,0,,,,,
player,201011250det,det,WillDe05,pass_att,0,,,,,
player,201011250det,det,WillDe05,pass_yds,0,,,,,
player,201011250det,det,WillDe05,pass_td,0,,,,,
player,201011250det,det,WillDe05,pass_int,0,,,,,
player,201011250det,det,WillDe05,pass_sacked,,,,,,
player,201011250det,det,WillDe05,pass_sacked_yds,,,,,,
player,201011250det,det,WillDe05,pass_long,0,,,,,
player,201011250det,det,WillDe05,pass_rating,,,,,,
player,201011250det,det,WillDe05,rush_att,0,,,,,
player,201011250det,det,WillDe05,rush_yds,0,,,,,
player,201011250det,det,WillDe05,rush_td,0,,,,,
player,201011250det,det,WillDe05,rush_long,0,,,,,
player,201011250det,det,WillDe05,targets,3,,,,,
player,201011250det,det,WillDe05,rec,1,,,,,
player,201011250det,det,WillDe05,rec_yds,7,,,,,
player,201011250det,det,WillDe05,rec_td,0,,,,,
player,201011250det,det,WillDe05,rec_long,7,,,,,
player,201011250det,det,WillDe05,fumbles,0,,,,,
player,201011250det,det,WillDe05,fumbles_lost,,,,,,
player,201011250det,nwe,McCoDe99,def_int,2,,,,,
player,201011250det,nwe,McCoDe99,def_int_yds,73,,,,,
player,201011250det,nwe,McCoDe99,def_int_td,0,,,,,
player,201011250det,nwe,McCoDe99,def_int_long,50,,,,,
player,201011250det,nwe,McCoDe99,pass_defended,2,,,,,
player,201011250det,nwe,McCoDe99,sacks,0.0,,,,,
player,201011250det,nwe,McCoDe99,tackles_combined,7,,,,,
player,201011250det,nwe,McCoDe99,tackles_solo,5,,,,,
player,201011250det,nwe,McCoDe99,tackles_assists,2,,,,,
player,201011250det,nwe,McCoDe99,tackles_loss,0,,,,,
player,201011250det,nwe,McCoDe99,qb_hits,0,,,,,
player,201011250det,nwe,McCoDe99,fumbles_rec,0,,,,,
player,201011250det,nwe,McCoDe99,fumbles_rec_yds,0,,,,,
player,201011250det,nwe,McCoDe99,fumbles_rec_td,0,,,,,
player,201011250det,nwe,McCoDe99,fumbles_forced,0,,,,,
player,201011250det,nwe,GuytGa99,def_int,0,,,,,
player,201011250det,nwe,GuytGa99,def_int_yds,0,,,,,
player,201011250det,nwe,GuytGa99,def_int_td,0,,,,,
player,201011250det,nwe,GuytGa99,def_int_long,0,,,,,
player,201011250det,nwe,GuytGa99,pass_defended,1,,,,,
player,201011250det,nwe,GuytGa99,sacks,1.0,,,,,
player,201011250det,nwe,GuytGa99,tackles_combined,8,,,,,
player,201011250det,nwe,GuytGa99,tackles_solo,3,,,,,
player,201011250det,nwe,GuytGa99,tackles_assists,5,,,,,
player,201011250det,nwe,GuytGa99,tackles_loss,1,,,,,
player,201011250det,nwe,GuytGa99,qb_hits,1,,,,,
player,201011250det,nwe,GuytGa99,fumbles_rec,0,,,,,
player,201011250det,nwe,GuytGa99,fumbles_rec_yds,0,,,,,
player,201011250det,nwe,GuytGa99,fumbles_rec_td,0,,,,,
player,201011250det,nwe,GuytGa99,fumbles_forced,0,,,,,
player,201011250det,nwe,WoodPi20,def_int,0,,,,,
player,201011250det,nwe,WoodPi20,def_int_yds,0,,,,,
player,201011250det,nwe,WoodPi20,def_int_td,0,,,,,
player,201011250det,nwe,WoodPi20,def_int_long,0,,,,,
player,201011250det,nwe,WoodPi20,pass_defended,0,,,,,
player,201011250det,nwe,WoodPi20,sacks,1.0,,,,,
player,201011250det,nwe,WoodPi20,tackles_combined,2,,,,,
player,201011250det,nwe,WoodPi20,tackles_solo,2,,,,,
player,201011250det,nwe,WoodPi20,tackles_assists,0,,,,,
player,201011250det,nwe,WoodPi20,tackles_loss,1,,,,,
player,201011250det,nwe,WoodPi20,qb_hits,1,,,,,
player,201011250det,nwe,WoodPi20,fumbles_rec,0,,,,,
player,201011250det,nwe,WoodPi20,fumbles_rec_yds,0,,,,,
player,201011250det,nwe,WoodPi20,fumbles_rec_td,0,,,,,
player,201011250det,nwe,WoodPi20,fumbles_forced,0,,,,,
player,201011250det,nwe,MayoJe99,def_int,0,,,,,
player,201011250det,nwe,MayoJe99,def_int_yds,0,,,,,
player,201011250det,nwe,MayoJe99,def_int_td,0,,,,,
player,201011250det,nwe,MayoJe99,def_int_long,0,,,,,
player,201011250det,nwe,MayoJe99,pass_defended,1,,,,,
